0:0:46|0:0:50|That day, Prince Bei was rushing to the Divine Mechanism Camp.
0:53:38|0:53:55|Just as she was about to reveal it, she stopped in her tracks, called out to [Yang Luchan], and after [Chen Yuniang] finished speaking, a relieved smile appeared on her face. Upon hearing this, [Yang Luchan] also stopped and walked to [Chen Yuniang]'s side, saying,
0:53:59|0:54:10|As soon as everyone dispersed, a screw in the Trojan suddenly loosened, and then the entire massive steel fortress could no longer withstand the collapse caused by the profound internal force of [Yang Luchan].
0:54:10|0:54:19|Several days later, the Governor of Zhili Province, accompanied by various officials, arrived at an observation platform on the outskirts. At this moment, the three mighty and domineering cannons below the platform were already poised and ready to fire.
0:54:21|0:54:28|Suddenly, a flash of fire appeared on the land thousands of meters away.
0:55:21|0:55:37|Fang Zijing naturally understood the meaning of these words, and then handed over the prepared ten thousand taels of silver notes from the book, offering them with both hands. Upon seeing the silver notes, the governor immediately relaxed and said,
0:56:6|0:56:14|[Fang Zijing] eyes rolled and he immediately had an idea.
0:56:16|0:56:23|That night, [Chen Zaiyang], who was sleeping, suddenly woke up in a panic, gasping for breath. He said to his wife who was guarding beside him,
0:56:28|0:56:36|Shortly after, he immediately got up, lifted the mattress, and a protruding nail appeared on the bed board. He pulled out the nail, and a millennium huai yam popped out from the mechanism.
0:56:42|0:56:50|Upon finishing speaking, he then pulled the rope tied to the blueprint, slowly unfolding it. [Jin Yuner] saw that the blueprint was intricately drawn with detailed parts of the Heavenly Wing.
0:57:1|0:57:11|Late at night, after a day of practicing martial arts, [Yang Luchan] returned to his room exhausted as usual after taking a shower.
0:57:12|0:57:26|After closing the door, he casually put on his pajamas, without saying a word, and dove straight into the bed he had been sleeping on for days. As he lay down, he saw Chen Yuniang standing by the window with a heavy heart, but Yang Luchan, who didn't understand women, did not offer any comfort, only saying,
0:57:27|0:57:39|[Chen Yuniang] turned around and looked at this somewhat silly but extremely innocent young man. Thinking of how he had fought for her today, she closed the window and said to him,
0:57:42|0:57:49|[Chen Yuniang] finished speaking and walked towards the embroidered bed, but when she turned around, she found [Yang Luchan] at a loss on the floor.
0:57:50|0:57:59|After receiving the instructions again, [Yang Luchan] finally felt relieved and crawled out of bed to lie down. [Chen Yuniang] was lying on the bed with her back to [Yang Luchan]. After a moment, she realized that [Yang Luchan] was not moving.
0:57:59|0:58:17|So she shyly turned around, but when [Chen Yuniang] turned back, she saw [Yang Luchan]'s feet. Obviously not understanding the meaning of [Chen Yuniang]'s words, [Yang Luchan] turned around and said,
0:58:19|0:58:25|[Chen Yuniang] took off her hairpin and used it to extinguish the lantern in the room.
0:58:32|0:58:46|Shortly after, [Chen Yuniang] took the initiative to throw herself on [Yang Luchan], and the two began the long-awaited intimacy between husband and wife. In the next room, [Chen Changxing], who was sleeping soundly, suddenly opened his eyes wide upon hearing some movement, hesitantly looking towards the dark room where [Chen Yuniang] was.
0:58:46|0:58:52|After this night, [Chen Yuniang] and [Yang Luchan] became even more spiritually connected in their martial arts practice.
0:59:3|0:59:20|Days have passed since the two of them shared the same room. During this time, [Chen Yuniang] has finally moved on from her feelings for [Fang Zijing] and has wholeheartedly devoted herself to [Yang Luchan]. Day and night, [Chen Yuniang] accompanies [Yang Luchan] in his martial arts practice, helping him to better understand the essence of the Chen Family Boxing.
0:59:23|0:59:38|As [Chen Changxing], who had been observing the two from the shadows, saw [Yang Luchan]'s martial arts skills improving day by day and the relationship between the couple becoming closer day by day, he happily placed a record into the phonograph to listen to the music. Meanwhile, under the careful guidance and yin-yang harmonization of [Chen Yuniang], [Yang Luchan]...
0:59:38|0:59:45|His skills have also made remarkable progress, and although his boxing skills are not as good as the sect leader [Chen Changxing], he is now invincible in the village.
0:59:45|1:0:2|Just as [Yang Luchan] was still diligently trying to comprehend the essence of Chen Family Boxing, no one expected that a disaster was quietly approaching Chen Family Valley. One morning, in the deep gorge leading to Chen Family Valley, [Fang Zijing] was leading a large army. [Fang Zijing] was seen wearing a fourth-rank official uniform, riding on horseback.
1:0:2|1:0:19|His face was dark and his eyes were filled with endless resentment. Behind him followed dozens of fully armed cavalry soldiers from the Divine Machine Camp. Passing through the cavalry camp, one could see the three towering and majestic German Krupp cannons, exuding a domineering aura. These massive cannons, weighing as much as a thousand pounds.
1:0:19|1:0:31|It took a full 12 people to slowly push it. After an hour, a large number of troops had already assembled at the gate of [Chen Family Village], with three heavy cannons lined up in front of the formation. At this time, the villagers of [Chen Family Gou] were still.
1:0:31|1:0:40|Still immersed in a deep sleep, completely unaware. After all preparations were completed, the captain of the Divine Machine Battalion asked [Fang Zijing],
1:0:51|1:1:6|Three cannonballs were seen flying out with a loud noise. Due to the high temperature propulsion, the cannonballs drew three parabolic arcs in the air before accurately landing in the village. After each round of firing, the cannon operator would make slight adjustments to the cannon before reloading the cannonballs, ensuring that each bombarded area was different each time.
1:1:6|1:1:25|In this way, the villagers of [Chen Family Village] were subjected to indiscriminate bombing, and the once beautiful and peaceful [Chen Family Village] was instantly reduced to ruins, with houses collapsing. Although the villagers were all skilled in Chen Family Fist, at this moment they could only flee. As [Chen Yuniang] and her husband evacuated the crowd to escape, they noticed [Chen Changxing] standing on top of a several-meter-high archway.
1:1:33|1:1:48|[Yang Luchan] remained calm after hearing this, instead smiling as he leaped high into the air, kicking several times on the pillar before landing on the archway. Once [Yang Luchan] stabilized himself, [Chen Changxing] suddenly noticed that the three flowers on top of his head had completely disappeared.
1:1:49|1:1:55|[Chen Changxing] nodded in satisfaction, then looked towards the village being destroyed and asked [Yang Luchan],
1:2:8|1:2:20|At this moment, the captain of the Divine Mechanism Camp outside the village looked at the devastated Chen Family Valley and asked,
1:2:28|1:2:42|The once dilapidated Chen Family Valley, driven by [Fang Zijing]'s vengeful heart, is about to be razed to the ground. The captain of the Divine Mechanism Battalion rides to the village entrance and shouts,
1:2:47|1:3:0|In this extremely critical moment, [Chen Changxing] and [Yang Luchan] were calmly having breakfast. At this time, [Chen Youzhi] rushed in and said,
1:3:9|1:3:25|After Chen Youzhi left, Chen Changxing remained calm and composed, not rushing to give orders, but leisurely finished the food in his bowl. Then, he looked at the two of them and slowly said,
1:3:57|1:4:5|Upon finishing speaking, [Chen Changxing] slammed the table and stood on it with such speed and strength that his outer garment still maintained its human shape.
1:4:6|1:4:12|The two of them stood up and walked to their father, bowing with their hands clasped together.
1:4:18|1:4:35|[Chen Changxing] finished speaking, then handed a token shaped like a Bagua mirror to [Yang Luchan]. After exchanging a glance with each other, the two of them, along with [Chen Changxing], walked towards the village entrance. Just as the three of them stepped out of the house, the previous dining table was shattered by a shell, and the house collapsed under the successive bombardment.
1:4:35|1:4:51|After a moment, the village gate slowly opened, and three people walked side by side like shooting stars. Their calm faces and majestic aura made thousands of enemy soldiers hold their breath and break out in a cold sweat. The three of them did not stop at all, and walked straight towards the front of the army.
1:4:51|1:5:7|[Fang Zijing] saw the three approaching closer and closer, a sense of unease rising within him. He then ordered dozens of soldiers in front of the formation to aim their rifles at the three and slowly advance. Even the cavalry in soft armor beside [Fang Zijing] followed closely behind, intending to block the three a hundred meters away.
1:5:7|1:5:20|After a moment, the three were surrounded by dozens of muskets pointed at their heads. The soldiers, though armed with muskets, did not dare to slack off in the slightest in the face of the three in front of them. They were all fully focused, fingers on the triggers, ready to fire at any moment.
1:5:20|1:5:32|The encirclement seemed too tight for Chen Changxing to see Fang Zijing on horseback, so he gently pushed aside the musket in front of him. However, the soldiers showed no mercy and pressed the musket against his face.
1:6:34|1:6:40|As soon as [Fang Zijing] finished speaking, the three of them rushed out of the encirclement of the musketeers like lightning.
1:6:42|1:6:58|At the moment before the gunfire, the three individuals leaped up from the ground, causing the cavalry to fall down. After exchanging a smile, the husband and wife each went their separate ways. The remaining cavalry, armed with sharp blades, charged towards the three with fierce expressions. Despite their imposing stature, they lacked agility.
1:6:58|1:7:4|[Chen Changxing] seized the opportunity, dodging the attack like gliding on the ground, and struck the horse's belly with two fingers, causing the cavalry to fall one after another.
1:7:4|1:7:28|At this moment, the cavalry formation is in chaos, and Yang Luchan and his wife swiftly deal with the remaining cavalry from the edge. Seeing the situation turning bad, Fang Zijing shouts out. The cavalry captain, upon receiving the order, draws his sword and charges towards Chen Changxing. Chen Changxing agilely dodges, then lifts the horse's mouth with one hand, causing the warhorse to raise its front hoof. Seizing the opportunity, he strikes the horse's belly again, sending the captain flying several meters away.
1:7:30|1:7:40|Under the command of [Fang Zijing], thousands of soldiers armed with spears and blades surged towards [Chen Changxing]. After a series of pushes, [Chen Changxing] managed to knock down the vanguard soldiers, but faced with more soldiers charging towards him incessantly.
1:7:40|1:7:58|He could only escape from the ground and jump onto the cannon. Meanwhile, the couple [Yang Luchan] who were still on the ground were engaged in a fierce battle. Although they fought with one punch each, they were no match for four hands, and soon found themselves surrounded by enemy troops. To help them out of the predicament, [Chen Changxing] leaped from the cannon, crossed over the soldiers,
1:7:58|1:8:9|Arriving in front of [Fang Zijing], the soldiers reacted quickly, holding their spears and thrusting them towards [Chen Changxing]. [Chen Changxing] immediately grabbed [Fang Zijing]'s collar and spun in place, kicking away all the spears thrust at him.
1:8:9|1:8:19|When the soldiers had not reacted, [Chen Changxing] acupunctured the row of soldiers closest to him in the encirclement, and the spear was inserted into the gaps in their bodies. At this moment, [Fang Zijing] was sweating profusely.
1:8:19|1:8:33|As he found that this row of soldiers not only couldn't move, but also blocked a large number of reinforcements behind them, this open space at this moment seemed to become the duel ground for the two. Just as [Fang Zijing] nervously paced back and forth, the husband and wife flew into the encirclement from outside the crowd.
1:8:35|1:8:46|Chen Changxing pushed out several punches in a row, and Fang Zijing stood like a stake letting himself be slaughtered. Then Chen Changxing exerted all his strength, and with one punch, Fang Zijing was sent flying out of the crowd.
1:8:53|1:9:1|The officials and soldiers who broke out of the encirclement rushed towards the three like fierce beasts, but in the eyes of the three, such attacks seemed fierce but full of flaws.
1:9:1|1:9:13|With only their agile pushing hands, the three managed to break through the encirclement. However, even with this divine skill, they found themselves in a fierce battle against spears coming from all directions without any pattern. After half a day of rest, Fang Zijing also recovered.
1:9:16|1:9:29|He snatched the musket from the soldier's hand, stood on a high place, aimed at [Chen Yuniang] in the crowd, but hesitated as she was his former lover. After a moment of hesitation, he turned the gun towards [Yang Luchan]. Upon seeing this, [Chen Changxing] quickly shouted,
1:9:30|1:9:39|Just as [Fang Zijing] was about to pull the trigger, a loud roar of engines came from the sky, before anyone could see clearly, several shells fell from the air.
1:9:40|1:10:2|Yes, it was [Chen Zaiyang] who drove the Tianwei Wing to come to the rescue. The shells projected by the Tianwei Wing exploded the soldiers into disarray, causing a large number of them to fall. The remaining soldiers were also in a panic, not knowing what to do. The soldiers on the ground no longer had the heart to fight the three of them, but kept looking up at the sky. At this moment, the Tianwei Wing that attracted everyone's attention soared into the sky and disappeared from people's sight.
1:10:2|1:10:8|Just when everyone thought it was over, Tianweiyi unexpectedly circled back from behind and launched a counterattack.
1:10:18|1:10:25|After a round of shooting that didn't harm Tianwei Yi at all, [Fang Zijing] angrily threw away the musket and said to the artillery,
1:10:26|1:10:43|After receiving orders, the artillerymen quickly climbed onto the cannon to load the shells. Chen Zaiyang saw the enemy setting up the cannon, so he turned the handle and shot out the homemade bullets, causing the soldiers holding long spears to fall like lambs to the slaughter, powerless to fight back.
1:10:43|1:10:53|At this moment, [Chen Changxing] looked at the Tianwei Wings soaring freely in the sky, unable to speak for a long time. Meanwhile, [Chen Zaiyang] continued to bombard downwards to cover the retreat of the three.
1:10:54|1:11:10|[Fang Zijing] saw the Heavenly Wing swiftly flying past the crowd, then commanded the artillery again. When [Chen Changxing] saw the Heavenly Wing diving towards the crowd, he shouted loudly,
1:11:12|1:11:21|At this moment, the cannon has also turned around and adjusted its height to aim at Tianwei Wing. Fortunately, Chen Zaiyang agilely dodged and avoided the cannonball. After dealing with the soldiers in front of him, Chen Changxing turned to his husband.
1:11:23|1:11:28|The two wives said that they seized the opportunity and rushed towards the weakest point in the defense of the soldiers.
1:11:31|1:11:34|At this moment, the Tianwei Wing in the sky suddenly changed its flying posture from before to a sideways flight.
1:11:34|1:11:47|The huge wings glided along the ground. After a moment, they arrived behind the two, and as the wings slid between [Yang Luchan] and [Chen Yuniang], the two leaped precisely and grabbed the wings steadily. The numerous soldiers could only watch as the two flew past them.
1:11:47|1:11:55|Unable to leave, [Fang Zijing] was furious at the sight. He did not allow such a thing to happen, so he shouted to his men,
1:11:56|1:12:11|[Fang Zijing] took the gun and aimed at several people. However, [Chen Zaiyang] loudly taunted, and then threw the last specially customized shell for [Fang Zijing], which, after flipping in the air for several rounds, landed accurately in front of [Fang Zijing].
1:12:11|1:12:25|When he realized he wanted to run, it was already too late. [Fang Zijing], who was blown away, lay unconscious on the ground, while the three people on the Tianwei wings soared freely in the sky, flying further and further away. [Chen Changxing] breathed a sigh of relief after seeing the three of them escape.
1:12:25|1:12:35|Facing the remaining remnants of the enemy, if he were to escape at this moment, no one could stop him. However, for the sake of the villagers in the village, he chose not to resist and was captured.
1:12:35|1:12:48|At this moment, the couple [Yang Luchan] on the wing is also facing difficulties, as the strong airflow from high-speed flight makes it difficult for them to move. Just then, the Tianwei Wing, which was flying steadily just now, suddenly becomes unstable.
1:12:48|1:13:12|Chen Zaiyang, upon discovering the anomaly of the Tianwei Wing, supported himself with mechanical armor to maintain balance. The two on the wing also seized the opportunity and held onto the railing tightly, as the Tianwei Wing seemed to reach its limit. Chen Zaiyang, seeing frequent issues with the mechanical parts, shouted loudly,
1:13:22|1:13:32|After speaking, [Chen Zaiyang] unexpectedly leaped without hesitation and jumped off the Tianwei Wing. Falling from this kilometer-high sky, even a great immortal would not be able to escape death.
1:13:33|1:13:39|Just as the two looked on in despair at the sacrifice of their eldest brother, [Chen Zaiyang] forcefully pulled off the iron ring on his chest.
1:13:39|1:13:50|A large parachute suddenly rose up. [Chen Zaiyang], although saved his life, dozens of soldiers were already waiting for his landing below. After landing, facing the encirclement, [Chen Zaiyang] just set up a fighting stance, but
1:13:50|1:14:0|Covered by the parachute on his head, the officials rushed forward and started punching and kicking [Chen Zaiyang]. Meanwhile, in the capital city, foreigners were taking photos for Prince Bei.
1:14:1|1:14:12|The flash of the camera was so bright that it made the prince unable to open his eyes. The foreigner noticed that the prince had his eyes closed in the photo, so he said to the prince's men,
1:14:23|1:14:32|After pondering for a moment, Prince Bei not only did not get angry, but burst into laughter.
1:14:45|1:14:54|At this moment, a minister hurriedly walked up to [Chen Youzhi] and whispered something in his ear.
1:15:5|1:15:17|After sending off the minister, [Chen Youzhi] turned to [Prince Bei] and humorously remarked that both he and Master Li closed their eyes together.
1:15:18|1:15:23|Returning to Chen Family Valley once again, after [Chen Changxing] was taken away, Duke [Fei Linming] also arrived in a carriage.
1:15:24|1:15:37|Duke [Fei Linming] walked into a simple wooden shed under the guidance of the soldiers. [Fang Zijing], covered in wounds, lay gasping for breath on a bench. Despite his tattered official attire and disheveled appearance, his expression remained full of anger.
1:15:52|1:15:58|At the same time, in the neighboring village, Tianweiyi fell on the roof, while [Yang Luchan] and [Chen Yuniang] hid in the stable on the side.
1:16:1|1:16:10|Listening to Chen Yuniang's question, Yang Luchan couldn't come up with a good solution for a moment. Just then, a horse stuck its head in front of the two, and after glancing at the horse, Yang Luchan smirked mischievously at Chen Yuniang.
1:16:12|1:16:30|So [Yang Luchan] mounted his horse, taking [Chen Yuniang] with him, and galloped non-stop towards the capital city, bearing a heavy responsibility. Despite their exhaustion, they did not rest at all, knowing that they were the hope of the entire village. In the evening, in the prison, the jailer pushed [Chen Zaiyang] in.
1:16:44|1:17:2|After being pushed to the ground, [Chen Zaiyang] stood up and shouted angrily. As he turned around to finish his sentence, he saw his father [Chen Changxing] meditating with his eyes closed. Seeing his father, [Chen Zaiyang] instinctively lowered his head and moved to the corner, feeling scared and guilty. At this moment, [Chen Changxing] spoke,
1:17:6|1:17:14|[Chen Zaiyang], who was already accustomed to such lessons, said,
1:17:30|1:17:39|[Chen Zaiyang] looked at his father in disbelief as he heard these words. [Chen Changxing] said sincerely,
1:18:32|1:18:50|Chen Changxing angrily threw the torn paper on the ground, with the words "Heavenly Wing" still visible on the broken paper. Chen Zaiyang tremblingly picked up the debris from the ground, slowly stood up, and looked at Chen Changxing with a heart as lifeless as ashes.
1:18:53|1:19:8|[Chen Zaiyang] looked at the person who had ruined his own dreams, backing away while saying, then he roared and ran towards the courtyard. Seeing this, [Chen Changxing] also realized that his words were too harsh. He looked at his son's figure, feeling a bit at a loss for a moment.
1:19:8|1:19:17|Chen Changxing, who has always been strict, did not catch up. In the prison, Chen Changxing said from the bottom of his heart,
1:19:22|1:19:33|He looked at his tearful son in front of him and called out softly. After that, [Chen Changxing] slowly reached out his hands towards his son, and [Chen Zaiyang] happily rushed forward to hold them.
1:19:34|1:19:46|At the moment when their hands touched, [Chen Zaiyang] could no longer hide the grievance in his heart. He cried loudly on his father's chest, after so many years of effort and perseverance, he finally gained his father's approval in this moment.
1:19:47|1:19:52|At this moment, even the stern Chen Changxing couldn't help but shed tears in his eyes after decades of strictness.
1:19:55|1:20:5|In the bustling capital city, the streets and alleys are full of prosperity, with numerous shops of all sizes and a constant stream of customers. Despite bearing heavy responsibilities, [Chen Changxing] is...
1:20:6|1:20:19|But seeing this scene, [Chen Changxing] couldn't help but look around. At this moment, a large crowd gathered in front of the billboard in front of [Chen Changxing], and he curiously went forward to check. However, when he reached the front, he found that the wanted poster of the couple was posted on the billboard.
1:20:19|1:20:31|Seeing this situation, [Chen Changxing] knew that time was running out. Following previous instructions, he arrived at the luxurious and exquisite clock shop of the Bagua Sect's head, [Chen Changxing] paused for a moment in front of the shop's decoration, then walked in.
1:20:31|1:20:41|At this moment, the shopkeeper was concentrating on repairing the pocket watch on the quiet second floor. Soon, the waiter who learned about the couple's intentions hurriedly ran up.
1:20:51|1:21:6|After speaking, the shopkeeper handed over the token entrusted to Chen Changxing to Yang Luchan with both hands. Seeing this token, the shopkeeper immediately put down the tools in his hands, went downstairs with the waiter, and said,
1:21:19|1:21:32|[Yang Luchan] finished speaking and assumed a stance. [Chen Changxing] was ready for the duel, tension mounting. As the leader of the Duizi style, he possessed profound skills and vast experience in battles. Just by observing the calm and composed posture of [Yang Luchan], it was evident that he was no ordinary opponent.
1:21:32|1:21:40|He hesitated to make a move for a long time, but after observing for a while, he struck with a palm strike. However, [Yang Luchan] instantly dodged and counterattacked by hitting his ribs, pushing the master away.
1:21:40|1:21:57|Unexpectedly, before the sect leader could stabilize, he swiftly struck towards the chest of [Yang Luchan]. Unable to dodge in time, [Yang Luchan] leaned back, using the internal strength of [Chen Family Fist] to dissipate the force of the blow. Then, in quick succession, a strike leveraging force against force pushed the sect leader back several meters. With the exchange of blows between experts, the outcome was already clear at this point.
1:22:9|1:22:21|As the head of the Duizi sect said, the Bagua sect has eight sect leaders. In addition to the Duizi sect leader, there are also seven other sect leaders, namely the Qianzi, Kanzi, Genzi, Zhenzi, Xunzi, Lizi, and Kunzi sect leaders.
1:22:21|1:22:35|Following the guidance of the leader of the Duizi sect, [Yang Luchan] went to seek advice with the Bagua Disc in hand, in order to meet the Grand Master [Master Li]. Upon learning of [Yang Luchan]'s purpose, the other seven sect leaders all displayed their unique skills and treated him with respect.
1:22:35|1:22:43|These eight sect leaders, although from the same school, have vastly different martial arts techniques, ranging from extreme yin to extreme yang, each unique in their own way. Some are extremely domineering, while others hide a knife behind their smiles.
1:22:45|1:22:52|Even so, in front of the [Chen Family Fist] that [Yang Luchan] comprehended with great care, these ever-changing moves were as simple as child's play. After a round of sparring, these accomplished sect leaders who could stand on their own were completely outmatched.
1:22:54|1:23:6|Not only did [Yang Luchan] not harm a hair on him, but he also held back in every move. [Yang Luchan] displayed the essence of Chinese martial arts to the fullest, and even the onlookers applauded enthusiastically.
1:23:6|1:23:19|After defeating the head of the Kanzi sect, [Yang Luchan] successfully advanced to the seventh level. At this moment, in the kitchen of Prince Bei's mansion, the soldiers sent by [Master Li] to observe secretly arrived to deliver a message. Master Li, who was supervising the kitchen, had his back to the door.
1:23:50|1:23:57|As Headmaster Liu was about to fall heavily from the second floor, [Yang Luchan] quickly steadied him.
1:24:1|1:24:10|After Master Liu finished speaking, he took [Yang Luchan] and his wife to Prince Bei's mansion. Master Li led the two of them all the way to the kitchen and said to them,
1:24:32|1:24:39|In the midst of the conversation, a chef turned around with a plate, and [Master Li] swiftly dodged to the side and agilely slid in front of him.
1:24:57|1:25:9|[Master Li] continued to move forward without saying a word. Although he was a prominent figure by the prince's side, the matter at hand was of great importance, making it difficult for him to intervene. Seeing [Master Li] constantly shuttling back and forth in the kitchen, [Yang Luchan] and [Chen Yuniang] knelt down anxiously and greeted him with clasped hands.
1:25:9|1:25:23|When they looked up, they found [Master Li] kneeling on the ground in the same posture, but the person he was kneeling to was Prince Bei on the second floor. When the prince came out, [Master Li] confidently said,
1:25:32|1:25:46|Prince Bei did not immediately respond after hearing it. Instead, he slowly raised his noble hand, palm facing upwards, lightly flicked his four fingers, and said, "After hearing the voice of the prince, everyone in the kitchen immediately bent over and stood up straight."
1:26:35|1:26:44|[Yang Luchan] just with a bow, quietly took the sesame cake on the table in front of everyone. The prince was very satisfied with this response and said,
1:27:1|1:27:16|Training is not a problem, but [Chen Yuniang] looked at the compactly arranged kitchen with boilers and tables and chairs, feeling puzzled. After looking around, she asked in confusion, while [Yang Luchan] had just turned around to follow [Li Qiankun], [Chen Yuniang] anxiously grabbed his wrist.
1:27:25|1:27:37|Li Qiankun walked towards the stairs, his hands covered in white flour. When he reached the middle of the stairs, he suddenly jumped onto the handrail, using his superb lightness skill to step on the wooden screen between the boilers. The screen was originally used to separate the boilers.
1:27:37|1:27:52|The width of the screen is only slightly wider than three fingers, making it difficult for ordinary people to stand upright, let alone compete here. In the short time, Yang Luchan has already quietly eaten up all the sesame cakes he stole. Seeing Li Qiankun set up his posture, he also stepped onto the screen.
1:27:52|1:28:2|We see that [Yang Luchan]'s lightness skill is on par with [Li Qiankun], with the screen under his feet slightly swaying, but his upper body remains motionless, as steady as Mount Tai. In the blink of an eye, he circles around [Li Qiankun] on the screen.
1:28:4|1:28:13|Standing in front and assuming a stance. [Li Qiankun] looked at [Yang Luchan]'s skills, very satisfied, just about to make a move, but found that there was no movement under his feet, dozens of chefs all looked up and watched the two.
1:28:28|1:28:44|After staring at each other for a long time, [Li Qiankun] couldn't hold back and made the first move. His hands crossed in front of him in a feigned attack, and the next second he kicked [Yang Luchan] on the shoulder with a swift step. Seeing [Yang Luchan] withstand his kick and still stand on the screen, [Li Qiankun] immediately followed up with a direct strike to the face, continuing the attack.
1:29:4|1:29:15|After a moment, the two of them seized the opportunity and each struck a palm towards the other's chest, causing both of them to fly backwards instantly. After flying back to their original positions and circulating their qi in the dantian, this first round of probing finally came to an end.
1:29:19|1:29:28|The prince upstairs praised, and at this moment, Li Qiankun changed his posture and made another move. Li Qiankun, who had previously gained some insights from Chen Ersao's boxing, intended to use Chen-style boxing against Yang Luchan.
1:29:28|1:29:40|The two have identical body movements, techniques, attacks, and defenses, making it difficult to distinguish between them for a moment. Both of them have also comprehended the essence of [Chen Family Fist] and the integration of martial arts with natural living. Just like the fish simmering in the oil at this moment,
1:29:40|1:29:52|The two on the screen are spinning and making their moves again. [Li Qiankun], as an outsider, has only had a few exchanges and already grasped the essence of the [Chen Family Fist]. Although he did not manage to harm [Yang Luchan], [Li Qiankun] also successfully neutralized all of [Yang Luchan]'s attacks.
1:29:52|1:30:2|[Yang Luchan]'s covering hand punch was easily resolved by [Li Qiankun]'s push hands, and immediately followed by a single whip. Before [Yang Luchan] could finish defending, [Li Qiankun] executed a white crane spreads its wings sweeping strike.
1:30:2|1:30:18|[Yang Luchan] dodged in time, but was still caught off guard. Just as [Li Qiankun] made his move, [Yang Luchan] found an opening and nearly kicked [Li Qiankun] off the screen with a whirlwind kick. Fortunately, [Li Qiankun] had an incredibly stable lower body, and he quickly extended his leg back onto the screen.
1:30:19|1:30:27|The two of them then exchanged palm strikes again and flew backwards. In the midst of skilled martial artists in the capital city, [Li Qiankun], who was firmly seated in the top position, held his ground for several rounds.
1:30:27|1:30:37|Although neither was at a disadvantage nor gained any advantage. Just as the two separated to gather their energy, the sweet and sour carp under their feet happened to be ready, filling the entire kitchen with its tempting aroma.
1:30:38|1:30:51|[Yang Luchan] couldn't help but swallow after hearing it, and after being reprimanded by [Chen Yuniang], [Yang Luchan] refocused his attention on the martial arts. At this moment, it seemed as if he had grasped the principle of the interdependence of all things. To others, he appeared to be standing still.
1:30:51|1:31:3|Only he himself could see the scene of the two of them fighting next with his heart. After a few rounds of fighting, [Li Qiankun]'s moves were also seen through by [Yang Luchan] for the most part. After a while, he finally saw a way to defeat [Li Qiankun].
1:31:4|1:31:17|Upstairs, Prince Bei watched the two men who hesitated to make a move with confusion, but as a spectator, he did not speak to disturb. After a moment, Yang Luchan, who was integrated with his energy, stood on the screen with one foot and transformed into a wedge shape with the moves of the Vajra pounding hammer.
1:31:18|1:31:26|Li Qiankun saw the opponent changing moves, and he also prepared a response. This time, Yang Luchan took the lead and rushed towards Li Qiankun. Just as he was about to make a move, Yang Luchan suddenly changed direction.
1:31:28|1:31:39|Flying to the left side behind [Li Qiankun], a swift airborne kick directly hits [Li Qiankun]'s face, catching him off guard. Without panicking, [Li Qiankun] swiftly dodges and retaliates with a Cloud Hands strike aimed at the vital point.
1:31:39|1:31:51|[Yang Luchan] did not evade this move, spinning several times in the air. But as soon as he landed, he was caught off guard by the experienced [Li Qiankun], who delivered a hammer strike to his ear. [Li Qiankun] thought this strike would surely hit, but to his surprise, [Yang Luchan] suddenly moved like water.
1:31:51|1:32:5|The carp is agile like, with a soft waist and abdomen making it easy to dodge. Just as [Li Qiankun] was surprised, [Yang Luchan] struck towards his abdomen with a palm, leaving [Li Qiankun] unable to evade in time. Unexpectedly, [Yang Luchan] suddenly pulled back, then leveraged the force to spin in the air.
1:32:5|1:32:17|During the reversal, [Yang Luchan] dipped his hands in the flour on his chest and struck [Li Qiankun] in the chest. Next, the unstoppable [Yang Luchan], who had grasped the truth, countered every move with ease, neutralizing all of [Li Qiankun]'s attacks.
1:32:17|1:32:24|Instead, [Yang Luchan] began to hold back again. After [Yang Luchan] lightly pushed a palm, the two of them regained their strength, and at this moment, the sound of bells rang under their feet.
1:33:50|1:33:59|The prince asked Yang Luchan after hearing this.
1:34:18|1:34:26|Having defeated [Li Qiankun] and gained the approval of [Prince Bei], the happy couple embraced each other excitedly.
1:34:53|1:35:11|Father and son walked up the mountain in tattered clothes to [Chen Family Valley], and the people who had received the news had already gathered at the mountaintop to welcome them. Seeing their father and elder brother safe and sound despite their disheveled appearance, the children and villagers couldn't hide their joy. When [Chen Changxing] saw his children and the elders again, his eyes became moist.
1:35:11|1:35:19|The affectionate couple [Chen Zaiyang] and his wife were in tears as they embraced each other. Just as the whole family was immersed in the atmosphere of reunion, the little girl shouted to everyone,
