0:1:6|0:1:11|At this moment, they are conducting physical training around the training ground.
1:3:19|1:3:36|He walked out of the bathroom with his hands in his pockets, swaggering until he saw Han Bing. He froze, the coach he hadn't seen in a long time now seemed very unfamiliar. [Liu Li] walked forward and spoke first. Han Bing slowly turned around, looking [Liu Li] up and down.
1:3:36|1:3:40|[Liu Li] squeezed out a smile, but the next second her mouth drooped down and she shook her head.
1:3:44|1:3:54|As soon as the words fell, [Liu Li] froze, the two of them faced each other in silence. Han Bing lowered his head slightly, [Liu Li] turned around, no longer discussing the topic with him.
1:4:0|1:4:5|[Liu Li] looked at him coldly, then turned away without answering, displaying her emotions very well.
1:4:12|1:4:27|Liu Li gazed at Han Bing's departing figure for a long time, leaving only herself in the room, feeling lonely and desolate. The scene shifted, and [Yang Hui], a hunting maid, almost fell to the ground. At this moment, she was practicing, but due to the wound, she couldn't even walk normally.
1:4:27|1:4:34|Sitting alone at home, [Liu Li] is surrounded by her own model posters. Even though she looks glamorous on the posters, she can't bring herself to be happy.
1:4:37|1:4:55|[Yang Hui] tried her best to find a suitable fulcrum, using her injured leg to test, but each attempt almost made her fall. Every time she lifted her leg, her balance was unstable. The intense and unbearable pain made her look fierce and fragile. She tried to throw punches as before, imagining the opponent right in front of her, but to no avail.
1:4:55|1:5:5|Nostalgic for the past, [Liu Li] tried to call [Yang Hui], but couldn't get through. Feeling dejected, [Liu Li] tossed the phone aside and lay alone among the pile of posters.
1:5:7|1:5:24|Childhood memories flashed through his mind. [Yang Hui]'s mother walked down the steps, while [Yang Hui] and [Liu Li] were playing happily.
1:5:31|1:5:43|[Liu Li] and [Yang Hui] were chasing each other, running across the narrow stone steps. In order to prevent [Yang Hui] from getting the egg, [Liu Li] did a handstand directly, sticking tightly to the wall. [Yang Hui] panted heavily and sat down on the ground.
1:5:48|1:5:58|Yang Hui glanced at [Liu Li], then picked up her arrow and tapped it three times, looking it up and down with a disdainful expression. She then threw it on the ground and walked away.
1:6:4|1:6:18|Thoughts returned to reality, with a frozen land in front of her, a vast expanse of white at the boundary of heaven and earth. Speeding down the wide and endless road is a white sedan, with [Liu Li] sitting in the driver's seat. At this moment, she is driving hurriedly towards the training ground.
1:6:18|1:6:31|On the other side, Yang Hui is running in the snow, wearing a thick down jacket, each step looking very heavy and conspicuous in the snow. [Liu Li] drives into the parking lot, turning the steering wheel skillfully, then stops the car.
1:6:32|1:6:44|He wore a pair of sunglasses, a high-end scarf, jeans, and leather boots, looking very capable. [Liu Li] got off the car and strode towards the snowy field, with only his figure in the vast land.
1:6:44|1:7:2|As they crossed over the hill, Yang Hui continued to sprint forward, her long ponytail swaying back and forth, with no clear destination in sight. In contrast, [Liu Li] was much more composed, only when [Liu Li] reached the center of the hill did she see Yang Hui running in the snow. After a moment of contemplation, she lowered her head.
1:7:4|1:7:20|Liu Li didn't call out to [Yang Hui], but stood still, gazing firmly into the distance. The land was covered in silver white, pure and clean, with thick ice making the cold bone-chilling. At this moment, [Yang Hui] was a bit tired, she stopped in her tracks, panting heavily.
1:7:20|1:7:27|Turning around, she locked eyes with [Liu Li], and childhood memories flashed through her mind like a revolving lantern once again.
1:7:30|1:7:47|Remember when they were playing together with their friends as kids, it was a snowy winter day. [Yang Hui] was carrying a basket of eggs, slipped accidentally while chasing around, and the eggs broke on the ground. Other friends picked up the eggs from the ground and started throwing them at each other, but only [Liu Li] bent down, patiently helping her pick up the eggs.
1:7:48|1:7:52|[Yang Hui]'s hand was severely scraped due to the fall, with blood covering it as soon as it was lifted.
1:8:3|1:8:12|No matter how hard Liu Li tried to hold on, all she got was the back view of [Yang Hui] walking away gracefully. Childhood memories kept flashing before her eyes.
1:8:15|1:8:35|The scene shifts, and Han Bing appears in Grandpa Liu Li's house. Han Bing stands at the door for a while, observing the old-fashioned interior. She pushes the door open, still with her hands in her pockets. Han Bing walks into the room, where Liu Li's grandfather is practicing calligraphy. Han Bing takes a few steps forward.
1:8:44|1:8:58|Han Bing pondered for a moment, his eyes wandering over the furnishings and calligraphy on the bookshelf, then walked slowly to the side of [Liu Li] grandfather. [Liu Li] grandfather put down the brush in his hand, waiting for him to speak. Han Bing picked up the Go board on the table and started playing while talking.
1:9:14|1:9:31|Han Bing's eyes were calm like a still ancient well, and Grandpa Liu Li said this sentence before walking away. They were members of the geological team, and encountered an avalanche in Shangri-La during a survey of the snow mountain. Liu Li was only five years old when they left, Liu Li.
1:9:47|1:10:2|The scene shifts to the runway where models are strutting their stuff. The dazzling stage lights cast a floral pattern on the ground. The models, dressed in extravagant gowns, showcase themselves in the center of the stage. Liu Li's face, with distinct features, appears even more enchanting under the bright lights.
1:10:43|1:10:57|Outside, it was pouring rain, and [Liu Li] didn't even have an umbrella as she hurried towards the company. Finally, she stopped in her tracks and saw her grandfather wearing a raincoat, with a few raindrops hanging on his white beard. He held an umbrella in his hand, but it wasn't open, standing alone in the rain.
1:10:57|1:11:2|[Liu Li] quickly followed her grandfather when she saw him, without any of the arrogance and domineering attitude she displayed on stage.
1:11:18|1:11:28|Liu Li's cheeks were marked with two clear tear streaks as she trembled to respond. Sitting cross-legged in front of her grandfather, she trembled and called out "Grandpa," recalling the teachings her grandfather had given her and Yang Hui back then.
1:11:54|1:11:57|[Liu Li] looked determined in her eyes as she raised her head and spoke.
1:12:29|1:12:45|Grandpa hurried away. Time has passed, [Liu Li] stood on the ice rink where she used to practice martial arts, surrounded by a group of children holding swords and practicing with each other. At that moment, Yang Hui walked towards [Liu Li] with a limp in the cold winter wind. [Liu Li] turned her back, unwilling to face her.
1:12:59|1:13:10|Liu Li was unable to argue back, as if the world had suddenly gone silent. Yang Hui walked up behind him and let out a loud roar.
1:13:14|1:13:33|Yang Hui suddenly rushed to Liu Li, snatched the sword and luggage from her hands. Due to the vast difference in size, Liu Li was pushed to the ground during the struggle. Yang Hui took Liu Li's luggage and left, leaving Liu Li standing alone in a daze. The collar of Liu Li's coat was blown open by the cold wind, with a few pieces of partially melted snow still sticking to her body.
1:13:33|1:13:38|She stood still in place, and a little boy walked up to her, about the same age as Liu Li back then.
1:13:42|1:13:46|At this moment, Yang Hui is walking towards Grandpa Liu Li's tombstone.
1:14:49|1:14:52|[Liu Li] was pushed to the ground, his bangs scattered casually in front of his eyes.
1:15:1|1:15:23|The expression on Liu Li's face was very painful as she helped Yang Hui up, her body trembling slightly. She rested Yang Hui's head on her chest and comforted her softly. The two leaned against each other, with Liu Li gently stroking Yang Hui's head. Coming home late, Yang Hui might have caught a cold, shivering all over and running a high fever. Liu Li prepared a towel.
1:15:26|1:15:39|[Yang Hui] was pale and could hardly speak. After taking the towel, [Liu Li] took off her scarf and put it on [Yang Hui], holding her hands tightly together. [Liu Li] looked at her with concern, and suddenly, [Yang Hui] grabbed [Liu Li].
1:15:42|1:15:45|[Yang Hui] looked desperate, with two tears streaming down her face.
1:15:49|1:15:57|His gaze shifted to [Liu Li], as if there was something unsaid. [Liu Li] looked back with a determined gaze mixed with tears.
1:16:0|1:16:5|[Liu Li] turned her head, paused, and what she said next was even more unexpected.
1:16:14|1:16:30|Yang Hui couldn't hold back anymore when she heard this, tightly holding Liu Li's hand and not letting go, starting to sob. Liu Li placed her hand against Yang Hui's ear, the two of them clinging closely to each other. The next day, Liu Li really did push Yang Hui to this training ground that she was once so familiar with.
1:16:30|1:16:37|The other students were younger, just like he used to be. At this moment, Han Bing stood on the training ground, watching them train.
1:16:38|1:16:58|In a series of shouts, that familiar yet unfamiliar feeling surged up. [Liu Li] slowly approached, and Han Bing happened to turn around, seeing the figures of [Liu Li] and Yang Hui. There was no hint of surprise or astonishment in her expression, as if it was expected. However, she immediately turned back, pretending not to have seen them, and continued training.
1:16:58|1:17:7|Liu Li stood behind her, ran to the stage and stared straight at her back. Han Bing seemed to still be focused on training the students, so [Liu Li] slowed down.
1:17:10|1:17:25|Han Bing turned around and looked back, expressionless and indifferent. Yang Hui sat alone in a wheelchair, watching Han Bing and [Liu Li] talking not far away. Then, Han Bing walked up to [Liu Li] and circled around, looking her up and down.
1:17:25|1:17:39|[Liu Li] responded with a determined expression, but still appeared nonchalant and evenly matched. Han Bing's question left [Liu Li] speechless and embarrassed. She avoided Han Bing's words, her eyes cast down.
1:18:28|1:18:45|The scene shifts to the training ground, where Yang Hui is sitting in a wheelchair, while [Liu Li] is shouting instructions, conducting physical recovery training. [Liu Li] has a pair of free weights on her head, one on each side. She exerts all her strength to lift the weights for the final time, then moves on to another training exercise.
1:18:46|1:19:1|[Liu Li] holds the dumbbell plate and rapidly rotates her body from side to side, sweating profusely with the power of her core and abdomen. Then she ties bandages around her feet and runs to the other side of the training ground to start kicking training. Yang Hui is swiftly following behind her.
1:19:16|1:19:21|[Liu Li] exhaustedly tried to stand up, but due to unstable balance, almost fell down.
1:19:24|1:19:34|[Liu Li] threw the dumbbell away, panting heavily, and the dumbbell rolled freely on the ground due to inertia. The next day, Han Bing led her and the students to train together.
1:19:41|1:19:52|1, 2, 3, 4, 5, 6, 7, 8, 9, 10. The students marched in unison, with Han Bing at the center, forming a circle. [Liu Li] was among them, with a headband on her head. As they passed by Han Bing, the two exchanged a glance, but remained silent.
1:19:52|1:19:57|Finally, Han Bing walked to the corner, holding a list in his hand, and called Liu Li over.
1:20:7|1:20:30|[Liu Li], a diligent and righteous worker, was about to leave when he turned back and said a few words. Suddenly, I felt guilty towards Han Bin. For the arrival of this day, he had no idea how much effort he had put in and endured far more pressure than us. When he trained with us day in and day out with a disabled body.
1:20:42|1:20:51|On the day of the Olympic Games opening ceremony, the ten thousand flying warriors arrived in the blink of an eye. The glorious moment finally arrived, stirring the hearts of 1.3 billion men, women, and children.
1:20:51|1:21:8|The grand opening ceremony is underway, with birds in the stadium cheering and chirping. Representatives from various countries first arrived on horseback to deliver the five-ring tickets, and under various lights, the magnificent and spectacular Bird's Nest appeared particularly dazzling and magnificent.
1:21:8|1:21:24|Athletes are officially entering the arena, with bands playing classic music from different continents to showcase the styles of the five major continents. A young girl is performing aerial ballet, while the entering athletes are full of vitality and spirit, smiling and waving to the audience from time to time.
1:21:24|1:21:28|And the audience on site welcomed their arrival with enthusiastic applause and cheers.
1:21:29|1:21:43|In the sound of qin and se, envoys from different countries traveled north through the night sky and performed various opening shows at the Bird's Nest. The lights shone on them, eventually forming the shape of a peace dove, symbolizing world peace.
1:21:43|1:21:58|At the moment when the Olympic flame was lit, a huge torch suddenly burst into flames, and the blazing Olympic flame illuminated the sky above the stadium, creating a brilliant scene. The dazzling fireworks rose synchronously, reflecting a blue rainbow in the sky above the stadium.
1:21:59|1:22:7|The lively music, enthusiastic cheers deafening, the atmosphere on site reaching its climax, and [Liu Li] will not give up the last moment's opportunity.
1:22:34|1:22:51|Liu Li stood directly opposite [Liu Li], like in a formal competition, the two of them stood facing each other in a bow to show respect. Liu Li first walked to the center of the training ground, stood still, and then performed a somersault in the air, but unexpectedly was stopped by Han Bing, who told her not to make any moves.
1:22:51|1:22:56|Shortly after, [Liu Li] imagined the opponent's appearance in the air, pushing off the ground with his right foot and rotating his hip joint to the left.
1:22:57|1:23:16|Subsequently, clenching both fists tightly by the sides of the body, using the left foot as the axis, lifting the right heel off the ground, pushing the foot against the ground, quickly raising the knee forward, arching the foot back, and forcefully springing forward. Then, switching legs and punching in the air, rotating the body 180 degrees backward, occasionally shouting, with both power and speed in sync.
1:23:16|1:23:32|In this scene, Han Bing watched everything. He crossed his arms and watched as [Liu Li] threw punches repeatedly. The two figures, one tall and one short, were cast on the ground by the streetlights. After the training session, Han Bing helped [Liu Li] relax his muscles. At this moment, [Liu Li] was only covered by a towel, quietly lying on the massage table.
1:23:32|1:23:47|Han Bing applied oil to her hands, rubbed them together to warm up, and then pressed them firmly against her skin. Starting from [Liu Li]'s neck, she rubbed downwards with force until reaching the jawline, then shifted the pressure to the arms. [Liu Li] didn't seem to enjoy it like others, but rather appeared somewhat anxious and uneasy.
1:23:48|1:24:5|Han Bing pressed for quite a while, and [Liu Li] gradually entered a good state, but it was not difficult to see that she had something on her mind. [Liu Li] turned her head to the side, arms outstretched. Han Bing lifted [Liu Li]'s calf, gently squeezed and relaxed it, then lifted and stretched it again. However, [Liu Li] did not feel relaxed at all, but instead stared blankly at a certain spot.
1:24:5|1:24:10|Upon returning to the hotel they were staying at, Yang Hui was helping [Liu Li] comb her hair. Seeing that Liu Li seemed distracted, she spoke up and asked.
1:24:23|1:24:28|Yang Hui nodded in agreement, playing with the comb in her hand.
1:24:42|1:24:53|Shortly after, [Liu Li] lay on Yang Hui's arms, seeming to relax a lot. She gazed at the ceiling absentmindedly, with a slight smile on her lips, and her handsome cheeks appeared somewhat thinner.
1:24:53|1:25:1|On the day of the finals, led by the representative of the Chinese team, [Liu Li], Yang Hui, and Han Bing entered the venue, causing a stir in the crowd. The commentator on the side began to give a brief introduction of [Liu Li].
1:25:13|1:25:23|His opponent is the famous Russian player, Rice. He has won the European championship and the world championship several times.
1:25:35|1:25:40|Chinese athlete [Liu Li], known for her fast movements and fierce attacks.
1:25:41|1:25:58|[Liu Li] has won the championship of this year's World Taekwondo Championships and has also achieved the best results in many world competitions. [Rice] is a very strong player, rumored to be of European and American descent.
1:26:5|1:26:12|The match begins, with [Liu Li] and [Rice] facing each other. [Liu Li] starts off by kicking, shifting her weight slightly backward.
1:26:12|1:26:22|[Rice] thought he had an opportunity and started to kick towards [Liu Li], but [Liu Li] swiftly dodged [Rice]'s attack with a back step, followed by a quick roundhouse kick to the back of [Rice].
1:26:23|1:26:33|[Rice] hit the ground heavily and went out of bounds. In order to counterattack, [Rice] subtly shifted his weight back, which was more advantageous for the counterattack. This move deceived [Liu Li].
1:26:33|1:26:42|When Liu Li was about to kick, Lai Si stumbled and kicked, causing Liu Li to fall to the ground. Both of them kept making sounds to cheer themselves up.
1:26:43|1:26:48|Han Bing was even more excited when he saw this, directing [Liu Li] to use her head directly from the sidelines.
1:26:50|1:26:58|Liu Li's sense of crisis is rising, her explosive power is stronger than Blue Silk, so she is more adept at using explosive power to launch attacks quickly and accurately.
1:26:58|1:27:13|But Liu Li, on the contrary, his strategy is often to wear down the opponent's stamina. As long as Liu Li doesn't focus on the center, he can deceive the opponent without exposing any flaws, such as showing a counterattack stance, suddenly stealing a move, launching a surprise attack, catching the opponent off guard.
1:27:13|1:27:28|From the front court match, it is clear that Lai Si has the upper hand, with Liu Li being blocked several times. The audience is more excited, as the strength of these two players is evenly matched. Just as Liu Li stands up again, it seems like a magnetic field from Xiangxi has formed between him and Lai Si.
1:27:28|1:27:43|Once the two are in the same plane, even with the referee trying to intervene in the middle, they cannot stop the confrontation between the two Taekwondo masters. With a momentum to fight as soon as they meet, [Liu Li] is once again kicked to the ground, followed by a back kick from Lais, then his right foot quickly retracts along the line of force.
1:27:43|1:28:0|Liu Li not only was kicked to the ground, but her left arm also violently collided with the ground. Han Bing and Yang Hui were anxiously stomping their feet in the audience. Despite being knocked down time and time again, Liu Li continued the rhythm of falling and getting up, until Les once again attacked her injured arm, causing a sharp pain.
1:28:0|1:28:8|[Liu Li] lay on the ground unable to get up, hiding his arms in his chest and abdomen, a sensation that cut into his bone marrow swept through his body, causing [Liu Li] to roll frantically on the ground.
1:28:31|1:28:39|With a scream from [Liu Li], her mind was brought back to reality, realizing how ruthless Han Bing was at that moment, and how passionate the atmosphere was at the competition venue.
1:29:48|1:30:4|After a moment of inner struggle, [Liu Li] felt numbness in his left hand due to the pain. He tightly bound his left hand with his right hand, raised it towards the sky, and let out a sorrowful cry, as if bidding farewell to himself. Even his opponent, Les, couldn't figure out his condition, and the referee was cheering him on from the sidelines.
1:30:5|1:30:24|Han Bing looked worried on the sidelines, while [Liu Li] clenched his fists and fiercely swung at Han Bing from a distance. Taking advantage of the opponent's unpreparedness, he delivered several hard kicks, originally just hitting the body, but now directly targeting the head. [Liu Li]'s helmet was already soaked with sweat, and with this kick, the sweat flew out directly, leaving his head in a daze.
1:30:24|1:30:27|Until [Liu Li] realized that she was being attacked with one kick after another.
1:30:28|1:30:40|[Liu Li] just realized that the audience below saw this scene, and their emotions were even more intense. Some of the audience even cheered and applauded for [Liu Li], hoping that [Liu Li] could counterattack fiercely.
1:30:40|1:30:49|At this moment, [Liu Li]'s expression became more ferocious, his pupils dilated, staring fiercely at his opponent. In a trance, he recalled his grandfather's words in his mind.
1:30:56|1:31:11|The opponent was still unaware of what [Liu Li] was about to do, feeling a bit relaxed. However, with shouts ringing out, [Liu Li] pinched his arm towards the chest protector, recovered the momentum, kicked wildly, leaped up, and with a final kick, Les was defeated.
1:31:12|1:31:25|The referee quickly ran to the side of Lai Si, counting down to the entire audience, but unfortunately Lai Si struggled to get up. Then, the referee made a gesture of failure, and [Liu Li], due to excessive excitement, unstable balance, and exhaustion, directly knelt down on the ring.
1:31:25|1:31:32|Waving her right fist towards [Yang Hui] and [Han Bing] off the field, she took off her helmet, sweat and tears mingling together.
1:31:32|1:31:49|Still unable to distinguish between sweat and tears, [Liu Li] slowly regained her composure. Joy had clouded her mind, the smile on her face still covering her left arm, but she slowly stood up, deeply bowing to the audience. She had surpassed herself, screaming in excitement.
1:31:49|1:31:57|Shortly after, [Han Bing] and [Yang Hui] entered the scene, and [Liu Li] embraced them affectionately. The audience cheered for her, and [Liu Li] was overwhelmed with joy and tears.
1:31:58|1:32:12|At the end of the match, the master and disciples embraced tightly, with dazzling lights shining above the stadium, as if all were cheering for [Liu Li]. This time, [Liu Li] not only surpassed the enemy, but also surpassed himself.
1:32:12|1:32:17|He also pays tribute to the Olympic spirit, which is a spirit that will never be defeated by the enemy.
1:32:18|1:32:33|At the end of the film is a scene of [Liu Li] holding a gold medal, with the five-star red flag representing China in the background. Her face is filled with the vigor of youth, as well as the determination and steadfastness of an athlete.
