0:1:2|0:1:8|天色灰暗，几只健硕的六角怪飞进山谷中，地面上聚集了数以万计的怪物。
1:0:0|1:0:9|鸿运茶楼前喧闹熙攘，一支游行队伍正经过此地，队伍中扛着巨大号角的人，戴着画皮面具。
1:0:9|1:0:17|满身流苏装扮成仙鹤的人踩着高跷挥舞着手臂，篮子中的小妖王透过缝隙看着他们。
1:0:18|1:0:26|[霍小岚]和[宋天荫]走在队伍的旁边张望着，他们俩一前一后地走在集市内。
1:0:26|1:0:34|[宋天荫]边走着，看到路边摊上坐着的小孩，他们炫耀似的吃着糖画。
1:0:34|1:0:41|他想了想不由得望向背篓中的小妖王，[霍小岚]拍了拍[宋天荫]，示意他赶路。
1:1:5|1:1:18|[大押店老板娘]再次看向桌下，光头们却在桌上换牌，她摸起一张牌，看见图案后，得意地把牌放进自己的牌中。
1:1:19|1:1:24|三个光头庆祝着，[霍小岚]和[宋天荫]在一旁看戏。
1:1:25|1:1:32|[大押店老板娘]见光头们眼神躲闪，便去查看牌桌上的牌。
1:1:35|1:1:40|把手全部伸出来，3个光头每个人举出4只手，袖中麻将全部吊在牌桌上。
1:1:42|1:1:48|三个光头戴着脚铐不舍得上楼，[霍小岚]故意咳嗽了一声。
1:1:52|1:1:57|[大押店老板娘]挑眉回头看到[霍小岚]胸口的两枚铜钱，瞬间她有了笑容。
1:1:57|1:2:6|[宋天荫]把小妖王放在[大押店老板娘]面前。
1:2:8|1:2:24|大押店[老板娘]打开悬赏令上面写着妖胎特征，头圆尖耳金睛，顶上堆砌着苔藓等等。
1:2:24|1:2:30|[宋天荫]笑嘻嘻地抱起小妖王，大押店[老板娘]急忙叫住。
1:2:36|1:2:54|大押店[老板娘]不可置信地看着他，又假装随意地说道:她用扇子圈了块地方，随即走出房间推上铁门，[霍小岚]对[宋天荫]伸出双臂。
1:2:58|1:3:1|她翻着白眼放下手臂。
1:3:1|1:3:10|[宋天荫]看着怀中的小妖王，惋惜地说道。[霍小岚]垂下眼又伸出双臂。
1:3:11|1:3:19|小妖王把触角伸向她索要拥抱，[霍小岚]利落转身，[宋天荫]小心地把小妖王放在地上。
1:3:32|1:3:44|[霍小岚]静默着[宋天荫]深吸口气说道：[宋天荫]冲向笼子，小妖王追到他面前摇晃身体，索求夸奖。
1:3:50|1:4:1|[宋天荫]为小妖王示范，将全身缩进笼子里，没想到却被小妖王关在里面了，[霍小岚]差点笑喷了。
1:4:1|1:4:19|[宋天荫]再次蹲在笼子旁边说道：没想到[霍小岚]一脚把它踢进笼子，迅速关上门，坐在笼子中的小妖王委委屈屈的。
1:4:25|1:4:36|[霍小岚]甩袖走出几步又停下，[宋天荫]看了眼笼子说道：[霍小岚]回头笼里的小妖活力满满。
1:4:37|1:4:46|[霍小岚]轻笑又迅速收起笑容，
1:5:19|1:5:36|大押店老板娘在笼子上贴上一个电符。她把沉甸甸的银子递给[霍小岚]，[霍小岚]看了眼[宋天荫]，他接过银子，[宋天荫]回头看向笼子。
1:5:39|1:5:46|小妖王赶紧扑上前，没想到却被笼子电到冒烟，[宋天荫]刚要上前却被大押店老板娘拦住。
1:5:52|1:5:58|[霍小岚]转身决绝走开，[宋天荫]也背上行李要出门。
1:5:59|1:6:10|小妖王着急地抓上笼子，却被电到无力，[宋天荫]走到门口又回头了。
1:6:10|1:6:20|小妖王似乎看到了希望，[宋天荫]皱着眉头离开了，小妖王顿时失笑，嚎啕大哭。
1:6:30|1:6:36|酒楼里[宋天荫]和[霍小岚]面前摆着丰盛的饭菜。
1:6:38|1:6:51|[宋天荫]看着邻桌和爹娘一起吃饭的孩童，突然说道：[霍小岚]低头默不作声，两个人都不动筷子。
1:6:53|1:6:59|皎洁的月光透过大妖店的窗户照亮屋内，胡巴孤独地坐在笼子里。
1:6:59|1:7:9|仰望外面的窗户，它又缓缓地抱住自己，它一个人在笼子中静静地待着。
1:7:9|1:7:18|夜色黑暗也遮挡不住[霍小岚]难过的脸色。第二天，
1:7:18|1:7:25|天色大亮了，[大押店老板娘]凑到胡巴笼子前亮出两张牌。
1:7:26|1:7:35|胡巴疑惑到用触手敲打麻将，尴尬地陪笑，[大押店老板娘]无语地撇着嘴巴。
1:7:35|1:7:45|集市上人头攒动了，猴子商贩吆喝着猴子、松鼠、小狗等动物被关进笼子中。
1:7:45|1:7:54|[宋天荫]和[霍小岚]穿行在集市当中，摊位上密密麻麻挂着已经宰杀完毕的动物。
1:7:54|1:8:12|[霍小岚]突然注意到背篓上挂着一块破布，他扯出破布展开一看，镜头一转，当初胡巴在墙角撕咬这块破布，咬出了一家三口的镂空图案。
1:8:12|1:8:21|[霍小岚]和[宋天荫]羞愧地对视着，一个摊贩在案板上切白萝卜，每一刀都切得他俩心颤着。
1:8:43|1:8:52|[霍小岚]和[大押店老板娘]焦急的等待。
1:9:12|1:9:20|登山楼雄伟气派，门前还有两个小司看守，镜头上移，楼体黄绿相间，花纹繁复，
1:9:26|1:9:36|楼内，宰妖第一家5个大字赫然在目，厨师们忙忙碌碌。墙角堆满了笼子，有两个孩童在笼子里看着。
1:9:53|1:10:0|胡巴也学她鼓起腮帮子，一个厨师打开了两个孩童的笼子。
1:10:9|1:10:22|灯仙楼[厨子天师]照镜理发施施然地走过来。
1:10:52|1:10:58|[厨子天师]接过双刀在空中转花刀后定住。
1:12:9|1:12:20|滚烫的大油锅，令胡巴感到害怕，厨师松手让它掉进油锅中。
1:12:23|1:12:31|街道上[竹高]和[胖莹]相互交替眼神，他们大摇大摆地走向登仙楼。
1:12:38|1:12:41|两个人开心地进楼。
1:12:43|1:12:50|厨房里[厨子天师]和厨师满脸疑惑地看着油锅胡巴从油锅中心慢慢浮了上来。
1:12:50|1:12:57|他突然吐出一口油，笑着在油锅里扑腾起来。
1:12:57|1:13:3|胡巴开心地在油锅里游着泳，几个厨师被四溅的油花烫伤了。
1:13:22|1:13:29|[罗刚]抱过一条狗走到[胖莹]面前。
1:13:50|1:13:59|[霍小岚]和[宋天荫]从墙后探出脑袋，小心观察着。[霍小岚]示意[宋天荫]出发，他俩便小心地到了一堵墙前。
1:14:0|1:14:4|墙上有一个4周标有数字的妖面铺手衔环。
1:14:5|1:14:13|[宋天荫]试探地叩响门环，突然她两指插向闭着的妖眼。
1:14:26|1:14:31|缓慢旋转，它依次指向三个数，438。
1:14:33|1:14:41|[宋天荫]二人小心进入，墙又缓缓合上了。
1:14:42|1:14:51|包扎好烫伤的大师傅得意地看着眼前冒烟的罐子。
1:14:52|1:14:55|大师傅突然觉得不妙，罐子瞬间爆炸了。
1:14:58|1:15:2|充气的胡巴在屋子里像放气的气球一样乱飞。
1:15:2|1:15:8|厨师们满身扎着罐子的碎片，大师傅趴在地上抖着腿，
1:16:7|1:16:12|大师傅洗手后拿起双刀。
1:16:14|1:16:32|胡巴见刀口锋利便缩成一个球，[大押店老板娘]闭上眼睛自信地对案板上的胡巴一顿狂剁。胡巴被剁成了一块葱花饼。
1:16:33|1:16:43|胡巴被放进蒸笼中，[胖莹]小心地赶来和[竹高]会合，两个人左顾右盼，小心离去。
1:16:43|1:16:56|没有想到[罗刚]抱着狗，紧跟在他们身后，面目全非的[大押店老板娘]一众守着蒸笼起锅。
1:16:58|1:17:8|[大押店老板娘]凑上前去看着，没想到胡巴吐着舌头跳起来蹦达着。
1:17:16|1:17:22|胡巴喷出一口蒸气，[大押店老板娘]被喷的满脸面粉。
1:17:28|1:17:33|孩童模样的两个小妖还在腌制。
1:17:33|1:17:41|他们发现4下无人偷偷的带着腌制锅一起逃跑。
1:17:51|1:17:58|两个后厨师傅面面相觑，胡巴被卡在生吃妖脑的专用餐车上。
1:17:58|1:18:4|[宋天荫] [霍小岚]小心地潜入后厨当中。
1:18:4|1:18:9|房间中灰暗阴森，到处挂着已经被宰杀的妖。
1:18:14|1:18:21|[宋天荫]忽然看到一只挂在房顶的妖，他满眼悲伤地快步往前走着。
1:18:25|1:18:27|[宋天荫]立刻奔向厨房当中，
1:18:29|1:18:38|[宋天荫]看见小五还活着，立马抄起大铲子赶走帮徒们，他欣喜地解开小五的锁链。
1:18:46|1:19:0|一个练锤直冲[宋天荫]的面飞来，他一个低身躲开。[厨子天师]现身，他挥舞着练锤向[宋天荫]身上招呼着，[宋天荫]狼狈地抵挡着[厨子天师]的攻击。
1:19:3|1:19:7|天师躲过了[宋天荫]扔过来的铜炉。
1:19:7|1:19:12|这时小五抱住[厨子天师]的腿，[李大妈]一个猛撞撞倒了他。
1:19:23|1:19:29|[宋天荫]想要转身理论，却没想到踩到了脚底的一根木棍，他顿时失去平衡向[宋小岚]扑去。
1:19:29|1:19:33|两个人双唇相接，四目相对。
1:19:33|1:19:40|[宋小岚]瞬间收回了搭在[宋天荫]肩上的手，他俩无辜地眨巴着眼睛慢慢分开。
1:19:40|1:19:49|[宋小岚]似乎还没反应过来，[宋天荫]便甜笑着转身离去了。
1:19:49|1:19:55|后厨中[李大妈]和[宋天荫]都不敌[厨子天师]，[霍小岚]赶过来用鞭子拽住铁锤。
1:20:6|1:20:13|[霍小岚]被[厨子天师]踹倒在地，[宋天荫]趁其不备敲晕了[厨子天师]。
1:20:13|1:20:22|一脚把他踹到果蔬架上。[宋天荫]匍匐着爬向[霍小岚]，小五搀扶着[李大妈]缓慢离开了。
1:21:7|1:21:12|火炉内柴火逐渐升空，幻化成一个火星四溅的大火球。
1:21:16|1:21:26|[厨子天师]操纵着火球追逐[宋天荫]和[霍小岚]，火球像一只巨兽的血盆大口，咆哮着撞翻了门口的火盆。
1:21:27|1:21:36|[宋天荫][霍小岚]跑到牢房后兵分两路，火球果断追着[宋天荫]把他逼到墙角，他躲过慌乱逃跑。
1:21:40|1:21:47|[霍小岚]发现了[宋天荫]背上的火符立马摘掉了，并且扔在了恰巧赶来的[厨子天师]身上。
1:21:54|1:22:2|[厨子天师]被火球撞倒在地，[霍小岚]趁机翻到他身上的钥匙，到了牢房打开[大押店老板娘]的牢门。
1:22:4|1:22:12|[宋天荫]郑重地把钥匙交给[大押店老板娘]，[大押店老板娘]目送二人离开。
1:22:14|1:22:22|锁着胡巴的餐车被送到直梯里，帮厨推动闸门。
1:22:22|1:22:25|胡巴随着梯厢缓缓上升着，
1:22:27|1:22:40|[竹高]和[胖莹]谨慎地走在走廊中，他们二人拉开直梯的门。货箱正在通道里缓缓上升，二人相视一笑。
1:22:41|1:22:49|而此时[宋天荫]和[霍小岚]正潜入厨房，[胖莹]二人变回妖的形状，他们缓缓地爬到梯厢上。
1:22:52|1:23:1|两个妖看到胡巴，表情如沐春风，两个妖拽住了梯厢的底部。
1:23:1|1:23:10|[罗刚]发现了[胖莹]二人扔下的人皮，放下怀中的小狗，站在直梯上向下看去。
1:23:15|1:23:24|他往下纵身一跃，重重地落在梯厢上，[竹高]探出脑袋看到[罗刚]。
1:23:25|1:23:40|[罗刚]拽着绳子到两妖面前，[罗刚]挥刀砍向[竹高]，梯厢也随之移动。
1:23:42|1:23:48|[竹高]背着[胖莹]一路攀爬，不料[罗刚]就在头顶。
1:23:48|1:23:55|轮番攻击[罗刚]，[罗刚]用腿卡住墙壁不让自己掉下去。
1:23:55|1:23:59|而这时直梯到站，胡巴被一名侍女拉了出去。
1:24:2|1:24:10|[罗刚]不敌[竹高]和[胖莹]，被两个妖完美配合，打得节节败退，[胖莹]坐在[罗刚]肩上捶打他。
1:24:10|1:24:28|跳到高处时给他一个猛冲，他们打着打着，三个人全部跌落在直梯通道中，两个要看到箱梯掉落，便跳出通道，没想到[罗刚]还在通道中，
1:24:34|1:24:53|千钧一发之际两妖拽出[罗刚]，[罗刚]获救了，他一展笑颜。而此时不远处，火天师醒来了，他用大锤击打[竹高]。
1:24:54|1:24:58|[罗刚]接过[竹高]手中的斧子摆出应战姿势。
1:25:1|1:25:11|[罗刚]和天师打斗，两妖也在附近轮番上阵，一人两妖配合默契。
1:25:11|1:25:20|他们在一旁打斗着，而另一边侍女推着餐车把[胡巴]缓缓送进。
1:25:54|1:26:4|另一边[宋天荫]二人到了厨房发现菜筐中有异动。
1:26:4|1:26:10|两个人把[奶奶]从筐中扶了出来。
1:27:22|1:27:27|虫子在[胡巴]头顶爬行，随即店内飞进一群窗花小人。
1:27:27|1:27:33|他们在[胡巴]面前站定之后，把活甲虫丢到空中一顿好打。
1:27:34|1:27:42|但是没想到[厨子天师]一挥扇子就扇飞了。[霍小岚]二人冲进殿中，她用勾子拉回[胡巴]，
1:27:43|1:27:48|转身攻击却被挡下了。
1:27:49|1:28:3|[霍小岚]两步做三步冲上餐桌和奉[厨子天师]对打，[宋天荫]拍了拍[胡巴]的脸，它已经醉得神志不清了。
1:28:3|1:28:13|[宋天荫]先开餐车的卡扣抱起[胡巴]，[霍小岚]被一脚踢飞在地，
1:28:23|1:28:43|[霍小岚]丢出烟雾弹，众人人在烟雾中失去了方向。突然[厨子天师]被拽倒后退，他跳起来迅速反击，[霍小岚]被风卷的半空中动弹不得，可[葛千户]笑道：
1:29:39|1:29:52|[奶奶]口中念咒，手上发功，桌上的餐具都浮在半空中。空中餐具没几秒就全部掉落了，[厨子天师]对她一阵扇风。
1:30:41|1:30:47|[宋天荫]捂着[胡巴]的嘴慢慢走了出来。
1:30:56|1:30:59|[宋天荫]看着[奶奶]和[霍小岚]，她俩都艰难地看着[宋天荫]。
1:31:1|1:31:18|[宋天荫]突然一笑说道，他捂开[胡巴]的嘴部，[胡巴]的嘴像机关枪一样扫射水果。[奶奶]和[霍小岚]安全降落，[厨子天师]和宾客们四处躲避着。
1:31:19|1:31:25|[胡巴]边吐水果边撇嘴巴高速冲击，让[宋天荫]和地面平行腾空。
1:31:25|1:31:34|[宋天荫]手握胡巴背靠凳子滑行的攻击着，[奶奶]和[霍小岚]都捂头趴下了，奉天师跃上二楼。
1:31:35|1:31:44|刚到二楼就被一个榴莲击中脸部，倒地不起了，[宋天荫]让胡巴继续吃水果装弹，片刻后又出来扫射。
1:31:44|1:31:51|[葛千户]的头冠被水果打飞，他旋转升空在桌面站定。
1:31:51|1:32:1|胡巴吐着舌头累得够呛，[葛千户]嘲讽道。他的左脸突然出现一道口子，
1:32:1|1:32:8|[葛千户]用不可置信的眼神摸了摸，正要发作，右脸也出现一道血印。
1:32:11|1:32:21|[宋天荫]不解地看着他，众人也都站起来围观，届时[葛千户]的脸抽动着开始疯狂变脸。
1:32:21|1:32:29|一张张脸皮在他脸上弹了出去，他接连放了5张脸之后无力地倒下。
1:32:34|1:32:38|[葛千户]变成一只身上长满蘑菇的灰皮怪。
1:32:38|1:32:44|他怯生生地蜷缩着又突然膨胀起来。
1:32:51|1:32:58|[宋天荫]却把石柱拍的粉碎。
1:33:0|1:33:9|他掀翻宴席，[宋天荫]等人重摔在地，手持乐器的[厨子天师]聚起来，对[葛千户]发起声波攻击。
1:33:10|1:33:20|他吼叫着拍碎长桌，[厨子天师]们都被他甩了出去。
1:33:22|1:33:29|[奶奶]冲上去猛踩[葛千户]的小爪，又叉腰瞪着他，[葛千户]一巴掌把她拍飞了。
1:33:29|1:33:32|[奶奶]撞破了围栏。
1:33:32|1:33:39|平日里跟在[葛千户]身边的小妖飞来，看到他的疯态立刻被吓得飞走了。
1:33:40|1:33:47|[霍小岚]用鞭子缠住着[葛千户]的脖颈绑在石头上想控制他。
1:33:51|1:33:54|谁料石柱被[葛千户]蛮力拽得粉碎。
1:33:54|1:34:0|[宋天荫]用琵琶打他，却把琵琶生生拍断了。
1:34:0|1:34:9|扔出一个香蕉，插中[葛千户]的鼻孔，[葛千户]喷出香蕉，香蕉居然把[宋天荫]打飞了。
1:34:10|1:34:19|[葛千户]抓起4个[厨子天师]，发力把他们撞在墙上，[奶奶]拿着宝剑到[宋天荫]面前。
1:34:28|1:34:32|天荫看着正在闹腾的[葛千户]。
1:34:33|1:34:38|他跳上房梁又旋转落地，一脚蹬飞飞来的[厨子天师]。
1:34:38|1:34:45|天荫提着生锈的宝剑要砍[葛千户]，[葛千户]双手夹住宝剑让他动弹不了了。
1:34:45|1:34:54|随即他一拳把他捶在柱子上，天荫痛苦地呻吟着，[胡巴]揉着脸不知所措，[葛千户]开始狂笑着。
1:34:56|1:35:2|宝剑正中天荫的胸口，
1:35:48|1:36:5|[霍小岚]再也忍不住恨意。[胡巴]小心翼翼地靠近天荫，看到他身上插的宝剑，便颤颤巍巍地爬到他身上。
1:36:5|1:36:11|[胡巴]小心翼翼地走过去，它在天荫身上站稳。
1:36:11|1:36:20|用四肢娇嫩的触手拔着生锈的宝剑，触手被剑划出伤口。
1:36:21|1:36:27|宝剑终于被拔出，[胡巴]的血也洒了一地。
1:36:27|1:36:33|天荫全身脉络突然涌动起来了，浮现出一层淡淡的金色。
1:36:33|1:36:37|地上的宝剑吸收了[霍小岚]的血，锈迹全部消散了。
1:36:37|1:36:47|瞬间光亮如新，地上洒落的血迹也稀稀缩缩地长出嫩草来，[宋天荫]全身猛地一抽苏醒过来。
1:36:47|1:36:56|郑夫人护着身下的郑涛，举着木板警告[葛千户]。慌乱中她居然放出暗器射伤[葛千户]的眼睛。
1:36:57|1:37:4|[霍小岚]腾空用匕首扎向[葛千户]的眼睛，却被他重甩在地。
1:37:8|1:37:14|危急关头，[宋天荫]划过用宝剑刺穿它的脚爪，[葛千户]抱脚猛跳。
1:37:17|1:37:21|[宋天荫]立刻拉开招式，完整地打完宋家十段锦。
1:37:22|1:37:34|宝剑立刻染上红光，像刚刚铸造出来一样，[宋天荫]拿着宝剑朝[葛千户]奔去。
1:37:34|1:37:41|宝剑冒着炙热的火焰直直捅进[葛千户]的肚皮。
1:37:42|1:37:49|[宋天荫]双脚飞起，蹬着[葛千户]的肚皮，拔出宝剑。
1:37:50|1:37:59|可[葛千户]的肚皮被烧得通红，他嚎叫着撞碎柱子重重倒地，[霍小岚]把[宋天荫]搀扶起来。
1:38:0|1:38:7|说罢，[葛千户]咽了气。
1:38:7|1:38:16|牢房里[罗刚]和两边合作，把[厨子天师]打进了笼子中，[罗刚]累得在地上盘坐着，[胖莹]和[竹高]也凑了过来。
1:38:17|1:38:28|两妖对视一眼，一起亲上[罗刚]的脸颊。
1:38:32|1:38:38|[罗刚]痴痴地笑着看着两妖消失在视线当中。
1:38:39|1:38:47|而此时店内一片狼藉，[宋天荫]和[霍小岚]扶起[奶奶]。
1:38:50|1:38:58|[霍小岚]无声地指着[宋天荫]，[奶奶]顿时尴尬了。
1:39:28|1:39:35|小妖吓得一跳，赶紧飞走，[奶奶]揭开花纹繁琐的窗帘，纵身就跳了下去。
1:39:39|1:39:42|[霍小岚]和[宋天荫]看着[奶奶]的身影相视一笑。
1:39:43|1:39:50|灯仙楼中灯笼歪斜，宴客的大堂中布满了尸体，[胖莹]和[竹高]看到狼藉的餐车。
1:39:56|1:40:3|[胖莹]和[竹高]相拥痛哭着。
1:40:5|1:40:15|山谷中永宁村的村民站满路口，望着[宋天荫]和[胡巴]。
1:40:21|1:40:28|小五和两位大娘站在队伍前面，[胡巴]眨着眼睛转向[宋天荫]。
1:40:54|1:41:11|[胡巴]瞬间没了影子，[胡巴]瞬间从[宋天荫]后面冒出来欢乐的转着圈，[宋天荫]笑着看着它，随后摸了摸它的肩膀。
1:41:22|1:41:30|[胡巴]听到自己的名字展开触角摇晃身体，[宋天荫]缓缓站起来说道：
1:41:41|1:41:59|伸出触角想要抱抱的[胡巴]顿时被[宋天荫]吓傻了。[宋天荫]用宝剑划出一圈火焰，逼着[胡巴]离开他。
1:42:7|1:42:14|记忆浮现，多年前父亲赶他走的样子，和现在的[宋天荫]如出一辙。
1:42:16|1:42:29|[胡巴]伸出触角抹掉眼泪，转身默默走掉，在进山的拐角处，它静静的回头看了看[宋天荫]，抹了抹眼泪离开了。
1:42:29|1:42:33|[霍小岚]走到[宋天荫]身边，望着[胡巴]说道：
1:43:3|1:43:9|[霍小岚]硬是背上了行李，甩着双臂感叹道：
1:43:25|1:43:34|[霍小岚]抓起[宋天荫]的手臂装作要咬他，又嬉笑着放开了。
1:43:43|1:43:50|草地上[霍小岚]和小五莫大娘[李大妈]一起走着，远处说：
1:45:16|1:45:26|山谷中一群小喇叭怪整齐的跳着舞。
