0:0:37|0:0:44|影片开始，画面上一群可爱的小狗趴在狗妈妈的身边争先恐后地吃奶。
1:15:44|1:15:46|他们会去曾经一起玩耍的公园。
1:15:59|1:16:1|小Q会和[陈芷乔]一起荡着秋千。
1:16:28|1:16:33|芷桥和小Q坐出租车回家，路过了[李宝庭]常待的公园。
1:16:38|1:16:46|小Q兴奋地望着窗外，现在那个长椅没有人坐了，他大概又想起了和[李宝庭]一起玩耍的时光。
1:16:46|1:16:51|有一天，小Q跑丢了，警卫对[陈芷乔]和[Simon]说。
1:17:2|1:17:4|小Q朝[陈芷乔]跑过去。
1:17:11|1:17:16|不一会儿，小Q又回到床椅旁蹲下。
1:17:16|1:17:26|以前[李宝儿]，等着小Q玩磕了回来。
1:17:50|1:17:55|之后，芷桥经常带小Q到厂里晒太阳。
1:17:55|1:17:57|小Q安静地趴着，芷桥看书。
1:18:5|1:18:19|就这样，时间从夏天慢慢转向秋季，长椅旁大树的叶子纷纷落下来，天气又一天天转寒，直到整个世界都光秃秃的。
1:18:19|1:18:26|时间慢慢流逝，小Q的身子慢慢变得虚弱，可[李宝庭]却一直没有回来。
1:18:38|1:18:41|一天清晨，[陈芷乔]从楼上下来。
1:18:56|1:18:59|她发现小Q碗里的狗粮没有少，是不是要busy啊？
1:19:0|1:19:0|只瞧给小Q带上狗绳，想带他去上厕所。
1:19:0|1:19:1|可小Q却不肯站起来。
1:19:1|1:19:2|任凭只瞧怎么抱他，他仍不为所动。
1:19:2|1:19:2|只瞧这才觉得有些不对劲。
1:19:28|1:19:32|镜头一转，兽医[Ryan]为他做着检查。
1:19:40|1:19:44|因为它走的路比一般的狗多，所以劳损会更严重。
1:20:10|1:20:16|小Q带上了护具，两个轮子支撑他的肚子，可以减少腿的受力。
1:20:16|1:20:28|[陈芷乔]就在长椅上给小Q讲故事。
1:20:28|1:20:32|晚上，[李宝庭]放学回家。
1:21:8|1:21:24|小Q看着柜子上那些珍贵的照片，有和训导员的合影，有和[李宝庭]一家的合影，东姑的照片，还有小Q的掌印。
1:21:24|1:21:28|他缓缓入睡。
1:21:28|1:21:35|日子一天天过去，小Q的身子也渐渐变差，他再次做了检查。
1:21:49|1:21:50|小Q的情况确实不太乐观。
1:22:17|1:22:25|只巧听了心疼极了，他缓缓说道。
1:22:41|1:22:44|小Q仍然在坚持等[李宝庭]回来。
1:22:44|1:22:53|这一天终于到了，小Q似乎感受到[李宝庭]的到来，定定地看着门口。
1:22:53|1:23:0|他艰难地站起来，左后腿已经无法着地。
1:23:0|1:23:2|他步履蹒跚地走向门口。
1:23:15|1:23:24|[李宝庭]心疼地抚摸着小Q。
1:23:34|1:23:45|小Q舔着[李宝庭]的脸，[李宝庭]眼里充满泪花，久别重逢，他紧紧抱住小Q。
1:23:45|1:23:47|小Q被[李宝庭]接回了家。
1:24:28|1:24:46|[李宝庭]和小Q重逢了，再次生活在了一起，屋子空荡荡的，却不显得孤单。
1:24:46|1:24:51|小Q努力把导盲鞍推到[李宝庭]身旁，想再次为他引路。
1:25:4|1:25:28|[李宝庭]抚摸着小Q，[李宝庭]带着小Q出了门，夜晚的人行道上，小Q走得很慢，却依然一丝不苟地为[李宝庭]指引着道路。
1:25:34|1:25:40|走到路口，他们安静地等待红绿灯。
1:25:40|1:25:46|夜晚的城市空空荡荡，安静得很。
1:25:46|1:25:56|小Q的身体很虚弱，等待红绿灯时也必须坐下休息。
1:25:56|1:25:58|安静的道路上，只有依稀的车辆。
1:26:3|1:26:24|绿灯亮起，[小Q]努力起身，反而，他听到[李宝庭]说过无数遍的向前，他们慢慢地通过路口，从前的一点一滴涌进[李宝庭]的脑海，不舍，心痛，感动，化作泪水滑过他的脸颊。
1:27:7|1:27:21|[小Q]疲惫地趴下，脑袋靠着[李宝庭]的膝盖，[李宝庭]坐在地上抚摸着[小Q]。
1:27:27|1:27:40|宠物医院里，[Ryan]正抢救着[小Q]，给他做心肺复苏，急救室外，只瞧[李宝庭]等人都在焦急地等待着结果。
1:27:40|1:27:46|看到一只导盲犬牵着一个盲人从身边走过，[陈康燕儿]说。
1:28:47|1:28:49|[小Q]抢救成功了。
1:28:49|1:28:52|他带着呼吸器疲惫地躺着。
1:28:52|1:28:54|大家都围在他身边。
1:28:54|1:29:1|[小Q]也安静地看着他们。
1:29:1|1:29:7|最后，[李宝庭]决定再次带[小Q]到那座小岛上玩耍。
1:29:7|1:29:11|此时的[小Q]已经走不动了。
1:29:16|1:29:23|李先生在[李宝儿]的搀扶下，背着小Q前进，纸桥也在旁边。
1:29:23|1:29:35|小Q看着熟悉的小岛，熟悉的河流。
1:29:35|1:29:38|走到河边，李先生把小Q安顿到椅子上。
1:29:56|1:29:59|只瞧站起身感慨道。
1:30:16|1:30:22|李先生接过[李宝儿]手里的手机，几个人围着小Q摆好姿势。
1:30:55|1:31:3|远处一群人牵着自己的狗狗在草坪上嬉戏。
1:31:3|1:31:11|小Q睁着眼睛，看着远处玩耍的人们，抚摸着小Q的李先生感受到此刻小Q的情绪。
1:31:23|1:31:33|小Q被搀扶到草地上。
1:31:46|1:31:59|小Q拖着沉重的步伐，慢慢走向远处玩耍的人群。
1:31:59|1:32:4|走到半途，他回头看着李先生。
1:32:10|1:32:12|他扭过头，朝人群走去。
1:32:14|1:32:18|远处的人们发现了小Q，疼爱地抚摸她。
1:32:39|1:32:41|[李宝庭]陷入了想象和回忆。
1:32:46|1:32:52|他想象现在的小Q正跑着，跳着，玩得开心。
1:32:52|1:32:55|阳光下，小Q充满了活力。
1:33:0|1:33:13|他回忆起和小Q在一起的时光，在导盲犬协会，看着纸鞘迎接，训练新的导盲犬。
1:33:15|1:33:23|他和小Q一起在长椅上晒太阳，只瞧给小Q挠痒痒，自己和小Q一起在雪地玩棒球。
1:33:36|1:33:47|小Q的生日，人们为他准备了棒球形状的蛋糕。
1:33:47|1:33:52|还有那次，[李宝儿]蒙起眼睛，在小Q的带领下奔跑。
1:33:52|1:33:54|[李宝庭]带小Q到宠物医院做检查。
1:34:16|1:34:23|还有那次，如果自己并不是偷偷藏起了棒球，而是给了孩子们钱买下了那个棒球。
1:34:32|1:34:45|第一次相遇的晚上，小Q被[李宝庭]赶到车底下，是[酒吧老板]给小Q喂了吃的，而[李宝庭]自己也一夜未眠。
1:34:45|1:34:51|小Q和[李宝庭]相遇前，在导盲犬协会，[陈芷乔]耐心地训练他，给他洗澡。
1:34:56|1:35:5|时间再向前，原来[陈芷乔]和[李宝庭]经常在[陈康燕儿]走后，偷偷给小Q玩棒球。
1:35:5|1:35:16|有时，[陈康燕儿]为[李宝庭]吹头发，[李宝庭]帮[陈芷乔]吹头发，[陈芷乔]就给东姑和小Q一起打理毛发，一家人其乐融融。
1:35:16|1:35:19|[陈芷乔]和小Q在公园游玩的场景，也都历历在目。
1:35:28|1:35:51|最后[李宝庭]还想到了小Q还是幼年时的样子，那时小Q像是一个小毛球，那时候他还和自己的兄弟姐妹在一起，而他们今后都会成为很优秀的导盲犬。那时候小Q还带着红色的项圈在妈妈身边，爬着肚子上的胎记，像只展翅翱翔的海鸥。
1:35:54|1:35:58|小Q去世后，只瞧在院子里种着花花土。
1:35:58|1:36:4|突然，他在土里发现了那个棒球。
1:36:5|1:36:10|小Q叼着棒球，把它埋了起来。
1:36:10|1:36:11|只瞧[李宝庭]欣慰地笑着。
1:36:18|1:36:30|[李宝庭]没有要第二只导盲犬，他一个人来到那个熟悉的小岛露营，手里紧握着小Q喜欢的棒球。
1:36:30|1:36:44|然后他用力把棒球扔了出去，棒球滚到一块石头旁，石头上刻着小Q，你的足迹永留我心间，旁边是那个充满回忆的导盲鞍。
