0:3:12|0:3:17|弄堂里，两个小男孩捏手捏脚地走到杂货店门口。
1:5:23|1:5:28|两人站在同一起跑线，一如当年在学校运动场上的那场比赛。
1:5:34|1:5:40|还没跑几步，[周以晴]就停了下来，捂住胸口，大口喘息。
1:5:40|1:5:53|小虫跑远了，发觉[周以晴]没跟上，他停住脚步，转头喊道。
1:5:53|1:5:57|乙晴笑着看着他。
1:5:57|1:6:0|临别，瓶子瓶上到处都是依依不舍的亲友们。
1:6:2|1:6:16|小虫伸出手给以情遮住阳光，帮她把头发捋到耳朵后面，把自己的帽子摘下来给她戴上。
1:6:16|1:6:27|以情摸着小虫的头发，把她的脑袋靠近自己，凑上去，在小虫的额头上郑重地吻了一下。
1:6:31|1:6:40|说完，恶作剧般地又把帽子扣回到小虫头上，帽檐遮住了他的大半张脸。
1:6:40|1:6:46|有人在催促小虫。
1:6:56|1:7:1|以前目送着小虫离开，转过身走了两步又停下。
1:7:7|1:7:24|他放下背包，扎起头发，朝着小虫离开的方向用力奔跑着。
1:7:24|1:7:30|他张开双臂，直到喘不过气，捂住胸口，笑着停下了。
1:7:41|1:7:49|教堂里，[周以晴]穿着婚纱走向新郎，他们笑着看着对方慢慢靠近。
1:7:49|1:8:1|正在他们将要亲吻的时候，帐篷里的小虫突然惊醒，原来婚礼只是小虫的一场梦。
1:8:1|1:8:8|小虫醒来，大口呼吸着，抬头看向夜空，月亮高悬，很圆，很亮。
1:8:11|1:8:14|小虫参加的马拉松被电视台报道。
1:8:14|1:8:21|在美国犹他州所举办的273公里大峡谷超级马拉松比赛，150位各国好手齐聚起跑线。
1:8:21|1:8:24|开赛前，[方崇宇]一度因为脚伤差点弃赛。
1:8:29|1:8:31|两人在比赛中不断前后拉锯。
1:8:35|1:8:42|挂着吊瓶的爸爸看到这则报道又惊又喜，小柯抱着女儿在电视前为小虫加油。
1:8:42|1:8:56|沙漠里，小虫一刻也没有放松，队伍后面的一位女选手超过了小虫和查理，两人又努力超越了那名女选手，对手仍是小虫和查理的拉锯战。
1:8:56|1:9:5|临近终点，两人都有些体力不支，小虫转头看着查理越来越差的状态，咬着牙继续发力。
1:9:12|1:9:17|小虫回头看到倒到地上的查理，停下了脚步。
1:9:17|1:9:24|紧随两人后面的那位女选手挥动着双臂，第一个冲过终点线，人群中一阵欢呼。
1:9:29|1:9:33|小虫把[周以晴]扶起来，架着他一起向前跑。
1:9:33|1:9:34|小虫对他说。
1:9:40|1:9:46|小虫和[周以晴]笑着冲过了终点线，紧紧抱在了一起。
1:9:46|1:9:51|小巷里，[阿轩]逮住了一个小偷，杂货店的电视机播报着新闻。
1:9:58|1:10:23|小偷爬进了杂货店，[阿轩]把杂货店半关的防盗门撑起来和小偷扭打在一起，杂货店老板娘劝着[阿轩]又一拳砸向倒在地上的小偷，这时电视里放着王大璐的采访。
1:10:52|1:10:55|[阿轩]看到电视里关于小虫的报道。
1:11:17|1:11:19|[阿轩]专注地看着报道。
1:11:19|1:11:23|小偷趁机从地上爬走，[阿轩]转身把他抓回来。
1:11:43|1:11:47|阿璇痛苦地抓住头发，蹲坐在地上大哭。
1:11:47|1:11:52|电视上是小虫和查理冲过终点线欢喜相拥的场景。
1:12:9|1:12:19|老板把老板娘支去泡茶，她走过来蹲在[阿轩]身边，拍着[阿轩]的肩膀安抚着。
1:12:19|1:12:22|她懂得[阿轩]是在恨自己没有坚持梦想。
1:12:25|1:12:53|关于马拉松的报道仍在继续，小虫的爸爸看到电视里振臂挥舞的儿子喜极而泣，总积分出来了，小虫是世界冠军。
1:12:56|1:13:9|爸爸伸出大拇指，隔着屏幕为儿子庆祝，电视里还在播放着小虫这一路的点滴记录。
1:13:9|1:13:17|爸爸颤巍巍地私下医用胶布，拔掉静脉输液针，跑出家门，用尽全力在路上奔跑。
1:13:18|1:13:29|年迈的病体已经不允许他跑太久了，可是他依然竭尽全力摆动双臂，似乎在那一刻找回了年轻的自己。
1:13:29|1:13:38|爸爸大口喘息着，在失去最后一丝力气之前跳起来，平倒在地上，举起双臂大喊。
1:13:47|1:13:51|比赛结束后，小虫第一时间赶回来。
1:13:51|1:13:53|他用最快的速度跑向教堂。
1:13:53|1:14:3|教堂里，牧师正在宣读结婚证词。
1:14:6|1:14:10|等他站定，才发现新娘不是已情。
1:14:10|1:14:14|在宾客们疑惑的眼神中，[周以晴]道歉，准备转身离开。
1:14:19|1:14:25|坐在前排的孤儿院院长叫住了小虫，跑过去跟他说了几句话，小虫点了点头。
1:14:30|1:14:34|[周以晴]躺在医院的病床上。
1:14:34|1:14:40|小虫坐到床边，握住[周以晴]的手，注视着她。
1:14:52|1:14:57|[周以晴]气弱犹思，声音断断续续，小虫贴近了听。
1:15:15|1:15:22|以前痛苦地闭上眼睛，在睁开时，眼睛里满含泪水。
1:15:34|1:15:43|[周以晴]把小虫拉近，费力地抬起头，和小虫的额头贴在一起。
1:15:43|1:15:59|说完，[周以晴]闭上了眼睛，头和手同时松了力，倒在病床上。
1:15:59|1:16:1|小小的诊疗室里，[阿轩]跪在怪医面前。
1:16:3|1:16:7|[阿轩]没有答应，怪医摇了摇头命令保镖。
1:16:30|1:16:52|[阿轩]和保镖扭打起来，[阿轩]夺走保镖手里的刀，冲上前用刀抵住怪医的脖子，大吼。
1:16:52|1:16:56|触及到[阿轩]的软肋，他收回刀，重新跪在地上。
1:17:24|1:17:32|医院里，小虫抚摸着以前躺过的病床，现在，内里空空荡荡的，没有一丝温度。
1:17:41|1:17:50|[周以晴]的未婚夫走进来，交给他一个鞋盒。
1:18:0|1:18:14|他在他们一起跑死路的时候，小虫难过地盯着那双以前曾经给他穿过的红色运动鞋。
1:18:26|1:18:32|小虫用力地攥着那双鞋子上的红色鞋带，低着头哭出了声。
1:18:41|1:18:50|一间废旧的浴室里，弥漫着阴森的气息，天花板上昏黄的灯摇摇欲坠。
1:18:50|1:19:2|[阿轩]从昏迷中醒来，发现自己赤裸上身，躺在一个满是血水的浴缸里。
1:19:2|1:19:6|他忍痛跪坐起来，腰身上是一个长长的刀疤。
1:19:11|1:19:21|他意识到，怪医在他昏迷的时候已经取走了他的肾。
1:19:21|1:19:24|[阿轩]嘶吼着，无力地倒下。
1:19:24|1:19:38|想到小柯和女儿，他忍着痛抓住浴缸的一侧，用尽全身力气从浴缸里翻出来，拿起搭在洗漱台上的衣服，推开门跑出去。
1:19:38|1:19:40|家里，小柯正在哄女儿睡觉。
1:19:51|1:19:56|[阿轩]捂住伤口，跌跌撞撞地一路狂奔，跑到家门口用力砸门。
1:20:6|1:20:10|没有人给他开门，[阿轩]只好从窗户翻进去。
1:20:10|1:20:15|他跑到婴儿床旁边，发现女儿不在里面，以为女儿遭遇了不测。
1:20:15|1:20:27|他抓起女儿的衣物，把她们紧紧抱在身上，嚎啕大哭。
1:20:27|1:20:32|这时，小柯推门进来了，[阿轩]紧紧地抱住他。
1:20:32|1:20:35|小柯摸到[阿轩]身上的血，大惊失色。
1:20:51|1:20:57|夜深了，小虫坐在出租车里喝啤酒。
1:20:57|1:21:5|阿萱走过来，把手搭在车旁，弯着腰看着小虫。
1:21:15|1:21:33|[阿轩]紧盯着小虫，小虫带着哭腔失落地回答。
1:21:38|1:21:50|阿璇拿起一根铁棍爬到车的发动机盖上。
1:21:50|1:21:53|阿璇用力地砸着挡风玻璃。
1:22:5|1:22:11|阿璇最后踹了一脚已经碎得七零八落的挡风玻璃，跳下车走开了。
1:22:11|1:22:21|她不想看到小虫变得像她一样失去梦想，苟且偷生。
1:22:21|1:22:28|白天，[小虫]来到孤儿院，看到院长正在带着小朋友们画画。
1:22:44|1:22:46|[小米]抱住了[小虫]。
1:22:50|1:22:58|[小虫]向外看，他似乎看到了沙漠里以前奔跑的背影，和夕阳下以前的剪影。
1:22:58|1:23:6|一天，[小虫]和[阿轩]像小时候那样坐在高高的台阶上，[阿轩]一把搂住[小虫]，摸了摸他的脑袋。
1:23:14|1:23:19|[小虫]把[阿萱]的手拿开，笑着回应，[阿萱]也笑着用手怼了他一下。
1:23:19|1:23:22|沙漠里，[小虫]遇到了一匹狼，狼腿上受伤了，痛苦地趴在地上。
1:23:44|1:23:52|[小虫]慢慢走过去，判断没有危险性，便取出包里的纱布给狼包扎。
1:23:52|1:24:0|狼疼得一下子咬住了[小虫]的胳膊。
1:24:0|1:24:3|狼好像听懂了[小虫]的话，松了口。
1:24:3|1:24:12|包扎好之后，它舔着自己的伤口，记住了[小虫]的模样。
1:24:12|1:24:13|小虫继续奔跑。
1:24:22|1:24:26|医院里，潘教练遇见了[阿轩]一家人。
1:24:52|1:24:59|[阿轩]顿时收起了笑容，神色紧张地看着潘教练。
1:24:59|1:25:10|沙漠里，机场陆路的小虫趁着营地的主人进屋取东西，把外面的食物猛地塞进嘴里。
1:25:14|1:25:20|小虫拿起食物匆忙逃跑，主人举着枪朝他射击，小虫倒在了地上。
1:25:23|1:25:37|医院里，[周以晴]躺在病床上，看着电视报道落泪。
1:25:37|1:25:48|未婚夫穿着衣裳的白大褂，走进来急忙把电视关机，坐在床边。
1:25:55|1:26:2|潘教练带着[阿轩]前来探望，潘教练对以前未婚夫说。
1:26:2|1:26:16|以前未婚夫随[阿轩]走到病房外，[阿轩]揪住他的衣领质问道。
1:26:16|1:26:20|以前未婚夫拿出证件给[阿轩]看。
1:27:6|1:27:20|潘教练和[阿轩]趁着医护人员不注意，偷偷把已情的病床推走。
1:27:22|1:27:25|[阿轩]把他打倒在地。
1:27:30|1:27:40|一名医生走过来问，[阿轩]逼迫医生说出了心脏的地方，开车带引擎去找怪医。
1:27:40|1:27:50|诊疗室里，女助手给怪医递了个葡萄，怪医白白手，没有吃。
1:27:50|1:27:57|正喝着水，突然[阿轩]踹开门，把保镖踢到一边，把钱扔到一旁，对怪医说，
1:28:3|1:28:9|阿璇把乙晴推进来，她是要用这些钱让怪医帮乙晴换心脏。
1:28:9|1:28:15|怪医换上手术服，连接好仪器，准备开始手术。
1:28:35|1:28:44|阿炫带好装备，出门对抗警察的武力搜捕，为以前的手术争取时间。
1:28:44|1:28:53|看着黑暗的走廊尽头，警队手电筒的光照越来越近，他把废弃的病床用力推向对面，希望可以尽可能久地拖住警队。
1:28:55|1:29:1|沙漠中，重枪受伤被绑的小虫在枪口下咬牙站起来，用脚反击。
1:29:1|1:29:5|小虫双手被绑，只能用脚和胳膊搏斗。
1:29:5|1:29:12|由于重枪和长途奔波机长路，本就即将耗尽能量的小虫很快被对方两个壮汉打倒在地。
1:29:12|1:29:15|阵疗室外，[阿轩]独自一人和警队搏击。
1:29:15|1:29:29|昏暗狭窄的走廊里，[阿轩]抄起棍子，打倒前面一人，然后双手抓住门框跳起来，利用高度优势把后沙漠里，小虫救过的那匹狼突然冲过来把绑住小虫手的绳子咬断，在小虫身边冲着对方怒吼，和小虫并肩作战。
1:29:55|1:30:1|持枪的人朝狼开了几枪。
1:30:1|1:30:8|小虫把另一个人暂时制服后，急忙赶来打掉枪，和对方徒手搏斗。
1:30:8|1:30:16|在狼的帮助下，对方被赶走了。
1:30:16|1:30:22|诊疗室内，[阿轩]用力抵住门，但警方力量太强大，他们持枪破门而入，制服了[阿轩]。
1:30:27|1:30:36|沙漠营地旁，小虫对着狼说。
1:30:42|1:30:48|狼跑远了，小虫看着狼在远处的沙丘上冲着天空嚎叫。
1:30:58|1:31:15|诊疗室里，怪医也被戴上了手铐，正在手术的病人停止了呼吸。
1:31:15|1:31:18|跑过沙漠之后，是一望无际的草原。
1:31:41|1:31:43|孤儿院收到了越来越多的捐款。
1:31:45|1:31:58|小虫跑到了藏区，在五色经幡旁，脑海里浮现出已情的回眸一笑。
1:31:58|1:32:2|进藏和亲的文成公主雕像伫立在一旁。
1:32:9|1:32:19|夜晚，当他手脚并用地爬过山坡，在他最无力的时刻带给他力量的也是以情分柔的笑脸。
1:32:19|1:32:22|他似乎就在高处看着小虫，等他追上。
1:32:27|1:32:28|小米望着远方说道。
1:32:57|1:33:2|熊鹰在天空翱翔，小虫在油菜花盛开的大地上奔跑。
1:33:6|1:33:19|不是为了赢任何人，跑着跑着，小虫似乎看到了以前在油菜花田里漫步的身影。
1:33:23|1:33:29|岩湖风景如画，只是物是人非。
1:33:29|1:33:36|小虫奔跑着，看到岩湖旁蚁蜻的身影，它静静地看着湖水。
1:33:36|1:33:43|小虫停下脚步，愣了片刻，随即冲进水里，站在那里的蚁蜻却消失不见了。
1:33:45|1:33:56|小虫被迫面对现实，它盯着空荡荡的空气，痛苦地蹲下身子，低下头，大口喘息着。
1:33:56|1:34:2|在清澈的水面上，它似乎又看到了[周以晴]的倒影。
1:34:2|1:34:8|它慢慢站起身来，发现[周以晴]就站在它的不远处，和它对视着。
1:34:11|1:34:25|[周以晴]温柔地笑着，一步步向他走来，伸出手抚摸他的脸颊，在他额头上印下一个吻。
1:34:25|1:34:28|他们的额头靠在一起，一如当年。
1:34:35|1:34:44|或许对小虫而言，跑步真的能带他穿越时光，再看见所爱之人的笑容。
1:34:44|1:34:54|回忆里的[周以晴]在沙漠里快乐地奔跑着，笑着回头向他招手，示意他赶紧跟上来。
1:34:54|1:35:1|在小虫跌倒的时候，[周以晴]永远都在一步之遥的地方，翻下腰向他伸出手。
1:35:12|1:35:22|夕阳下，小虫又一次爬上沙丘，道路绵绵长长，这是通往梦想的方向。
1:35:22|1:35:30|夜幕降临，有人变成了星星守护着它前行，浩瀚星河，爱与梦，祝其永恒。
1:35:36|1:35:49|我们的电影到这里就结束了，感谢您的聆听。本片的音频讲述由中国传媒大学制作出品。不要着急离开，片尾还有一个彩蛋。
1:38:2|1:38:5|年，[方崇宇]的第12张个人专辑《十二星座》正式发行。
