0:1:51|0:1:58|在日口侵占的金浦铁路临沼支线上，日本鬼子的列车载着抢夺而来的煤炭疾驰着。
0:55:1|0:55:6|这时，饭店伙计端着托盘从吃饭的客人中经过。
0:55:6|0:55:9|他一进包间，只见人去无踪。
0:55:9|0:55:13|朝窗外看去，只有四个鬼子兵远去的身影。
0:55:13|0:55:23|他放下托盘，发现餐桌的茶杯下，压着一叠钞票。
0:55:23|0:55:28|在临城火车站的站台上，大批日本军官正在登车，准备奔赴战场。
0:55:31|0:55:47|在军乐声中，日本侨民高声欢呼着，欢颂的人群举着标语和旗帜，而化妆成鬼子军官的游击队员们也来到火车站，混入了热闹的人群中，准备伺机控制鬼子的军乐。
0:55:47|0:55:50|刘红等队员沿着铁路来到了鬼子正在登车的军列前。
0:55:53|0:56:1|一刀干掉了鬼子哨兵，刘红和[彭亮]迅速登上了军列车头，用手枪制服了鬼子司机，[王强]坐到了驾驶座上。
0:56:5|0:56:11|这时，拿着信号灯的车站卧底向军列摇了三下绿灯。
0:56:11|0:56:16|车头内收到信号后，刘红向军列车头下的[小坡]示意。
0:56:16|0:56:21|[小坡]接到暗号，吹起口哨，[鲁汉]改变了原来的行车轨迹。
0:56:21|0:56:26|军列启动，开足马力，装满弹药和鬼子官兵的军列驶出了临城火车站。
0:56:29|0:56:34|站台上的战长急忙摇着手里的信号灯，企图让军列停下来。
0:56:34|0:56:40|站台上的日军舰纷纷迎枪示警。
0:56:40|0:56:43|鬼子的军列在铁道上挤压着。
0:56:43|0:56:49|这时，一名鬼子军官带领着一队鬼子，从列车顶部向车头冲来。
0:56:49|0:56:53|刘红和[小坡]持枪趴在车头顶，看到了鬼子的行动。
0:56:53|0:56:57|刘红转身，走近了车头，往炉子里大铲大铲地送着煤。
0:57:4|0:57:15|这时，迎面的一列鬼子火车开了过来，[王强]开足马力，向迎面而来的鬼子列车撞去，并与其他队员一起跳下了火车。
0:57:15|0:57:19|在鬼子的惨叫声中，两列火车撞在了一起，发生了爆炸。
0:57:25|0:57:36|之后，得知此事的[鲁汉]和[芳林嫂]对火车撞车事件惊恐不已。
0:57:36|0:57:41|这件事后，又连续发生了多起日军火车脱轨、铁路桥被炸等事件。
0:57:45|0:57:52|镜头一转，在[芳林嫂]指挥部会议室里，[芳林嫂]气愤的给了[鲁汉]一记狠狠的耳光。
0:57:52|0:57:58|其他鬼子将领坐在会议桌前默不吱声。
0:58:16|0:58:20|随后，大批的日本猎队来到了威山湖。
0:58:20|0:58:37|他们扛着磁刀，带着物资，驾着小船，开始对威山岛的游击队进行围剿。
0:58:37|0:58:40|晚上，[芳林嫂]划着小船朝威山岛驶来。
0:58:42|0:58:50|在威山岛上，[刘红]，[王强]和[小坡]站在湖边的芦苇旁，观察着对岸鬼子的情况。
0:58:50|0:58:57|只见湖对岸的铁路上有一列火车呼啸而过，湖边上还不时升起鬼子的信号弹。
0:58:57|0:59:2|[芳林嫂]来到了威山岛上，她拴好小船，朝[刘红]他们跑过来。
0:59:49|0:59:51|[刘红]思考片刻。
0:59:53|0:59:59|晚上，一名鬼子联络员来到了国民党某部的指挥所。
0:59:59|1:0:2|他将一封信递给了国民党军官。
1:0:3|1:0:5|鬼子联络员[鲁汉]点了点头。
1:0:7|1:0:13|第二天，鬼子的炮兵开始对威山岛游击队驻地进行疯狂炮击。
1:0:13|1:0:19|与此同时，鬼子们在大炮的掩护下开始乘坐汽船向威山岛发起了进攻。
1:0:22|1:0:43|游击队员们在刘红的带领下用机枪对汽船上面的敌人进行射击，游击队员向鬼子的汽船投出了手榴弹，被炸的鬼子从船上翻进水中，有部分鬼子开始登陆，刘红一声认下，游击队员们纷纷扔出手榴弹，炮弹炸开。
1:0:43|1:0:56|登陆的鬼子们被炸倒在地，但马上又有一波鬼子紧接着冲了上来，汽船上的鬼子队员拔刀发力，彼此开炮，轰炸战壕，战况愈发激烈。
1:0:56|1:1:1|烟雾散去，刘红关键地查看着身边[小坡]的情况。
1:1:5|1:1:9|此刻，往日丽宁静的威山岛已被浓浓的硝烟笼罩。
1:1:20|1:1:31|傍晚，在威山湖东面的鸭儿屯，日本鬼子控制了这一地区，他们设下关卡，严格搜查。
1:1:31|1:1:36|[芳林嫂]被堵在这里，无法返回威山岛。
1:1:36|1:1:43|画面一转，在颤动间隙的威山岛上，夕阳西下，威山湖闪烁着灵灵的波光。
1:1:44|1:1:50|[小坡]拿出自己的土琵琶，吹了吹上面的灰尘，并开始调琴弦。
1:1:50|1:1:55|在游击队的阵地里，鲁汉和[王强]抽着烟交谈。
1:2:58|1:3:3|在歌声中，有的战士随着哼唱，有的战士擦着枪。
1:3:33|1:3:39|清晨，游击队员彭亮划着小船出岛侦查。
1:3:39|1:3:40|这时，彭亮回来了。
1:3:40|1:3:41|鲁汉神情凝重。
1:3:59|1:4:5|[小坡]拿着枪跳了下来。
1:4:5|1:4:16|[王强]和队员们都朝鲁汉围了过来，鲁汉被他们的情绪感染，他猛的拔出手枪，正要准备下达与鬼子拼了的命令，然而他突然冷静下来。
1:4:34|1:4:40|游击队员们都朝村里走去，这时，[王强]转身，来到鲁汉跟前。
1:4:46|1:4:56|镜头一转，化装成日本鬼子的游击队员们列队在威山岛的山路上行进，扮成鬼子军官的鲁汉和[王强]走在最前面。
1:4:58|1:5:4|扛着机枪的几名游击队员迅速将机枪端在了手里，做好了战斗的准备。
1:5:4|1:5:10|此时，在鬼子围剿部队指挥部里，[鲁汉]来到了小林的办公桌前。
1:5:15|1:5:16|小林看完战报。
1:5:16|1:5:18|在围山岛上，一队鬼子沿着山路正在搜索着。
1:5:18|1:5:19|与此同时，游击队员发现了这些敌人。
1:5:49|1:5:53|游击队员们迅速散开，做好了战斗的准备。
1:5:53|1:5:59|[王强]向鬼子打着奇语，鬼子军官从望远镜里看到[王强]的奇语后，以为是自己人，就带队离开了。
1:5:59|1:6:1|刘红插好手枪，带领着队员们朝鬼子搜索相反的方向走去。
1:6:12|1:6:34|傍晚，刘红带领着长城的队伍来到威山湖边的一片芦苇荡旁，并开始徒步涉水渡湖。
1:6:34|1:6:41|晚上，[芳林嫂]的行踪被便衣特务发现了，他带领着鬼子开始对[芳林嫂]进行搜捕。
1:6:45|1:6:50|鬼子们举着火把分散开来，开始在附近进行搜查。
1:6:50|1:6:54|[芳林嫂]提着篮子，穿梭在芦苇丛中，隐蔽起来。
1:6:54|1:7:1|他掏出一颗手榴弹，投向鬼子，接着观察着前方。
1:7:1|1:7:5|然而，一名鬼子兵悄悄摸到了他身后，比在他暗道在地。
1:7:10|1:7:17|晚上，[岗村]带领一队鬼子乘着小船，在微山湖岸边的芦苇荡旁搜索着。
1:7:17|1:7:25|这时，游击队正涉水，来到芦苇荡旁，并与[岗村]带领的鬼子迎面撞上。
1:7:25|1:7:31|[刘红]带领着队员朝鬼子迎了上去。
1:7:45|1:7:54|港村没有回答，打开了手电，[刘红]也拿出手电，双方都暴露了身份。
1:7:54|1:7:58|话音刚落，队员们开火射击，打得鬼子们措手不及，乱成一团。
1:8:0|1:8:5|鬼子纷纷掉入水中，[岗村]翻到船下，他搬住船边。
1:8:5|1:8:10|混战中，游击队员们开枪射击，[鲁汉]咒弹掉到了水里。
1:8:10|1:8:27|游击队员们扔出手榴弹，炸翻了鬼子的小船，日军的旗帜落入水中。
1:8:27|1:8:29|1945年，日寇宣布投降。
1:8:38|1:8:51|日本无条件投降的消息传来，老百姓们兴高采烈奔走相告，此时在游击队驻地的山里，[芳林嫂]的女儿凤儿正高兴地在山坡上采摘着野花，这时[小坡]来了。
1:9:5|1:9:14|凤儿拿着花，跑到了[刘红]的怀里。
1:9:25|1:9:38|穿着八路军军装的[李正]骑着马，来到了游击队的驻地，他挥手向队员们致意，队员们都鼓着掌围了过去，[李正]跳下马，来到了[刘红]的面前，他们紧紧拥抱在一起。
1:9:57|1:10:1|凤儿将手里的野花送给了[李正]，[李正]高兴地抱起凤儿亲了一下。
1:10:10|1:10:17|[刘红]和[李正]骑着战马，带领着游击队员们，开始向临城一带的铁路边进发。
1:10:17|1:10:20|游击队员的部队一起风发地开始了行军。
1:10:25|1:10:42|此时，国民党军上校军官带领着部队，正骑马耀武扬威地朝临城开来。
1:10:42|1:10:49|另一边，国民党军在临城从日本鬼子的监狱中接管了犯人，[芳林嫂]也在其中。
1:11:14|1:11:18|与此同时，游击队做完了作战部署。
1:11:18|1:11:27|山路上，[芳林嫂]等抗战志士，被国民党军五花大绑的，押往临城火车站。
1:11:27|1:11:31|[刘红]，[小坡]和[刘飞]骑着马赶在前面。
1:11:31|1:11:36|其他游击队员们紧随其后，全速向国民党军袭来。
1:11:47|1:11:49|[刘红]驾马，飞奔在铁路线旁。
1:11:49|1:11:57|同时，国民党军押着[芳林嫂]等人朝山沟走去，准备执行枪决。
1:11:57|1:12:1|[刘红]等人快马加鞭，超越了一列正在飞驰的列车。
1:12:1|1:12:4|在山沟里，士兵举枪，准备枪决。
1:12:23|1:12:26|举枪的国民党兵纷纷倒下，原来是游击队员们及时赶到。
1:12:51|1:13:7|远处临城火车站的鬼子小林，听到远处传来的密集枪声，感觉不妙，便命令部队赶紧登车，鬼子们迅速登上了铁甲车，另一边，[王强]率领着队员来到了鬼子列车的必经之路上，然而鬼子的装甲车已经驶得过了。
1:13:7|1:13:12|无据队员们对前来的鬼子装甲车进行猛烈射击，却没什么效果。
1:13:14|1:13:18|[王强]和[彭亮]起身，引着鬼子的装甲车冲了过去。
1:13:18|1:13:26|与此同时，[刘红]和[李政]带领着队伍仍在激战。
1:13:26|1:13:33|有机队扔出手榴弹，国民党的士兵被炸伤，有的摔进了山沟，大批的国民党军被消灭。
1:13:40|1:13:53|这时，[刘红]找到了还在绑枝的[芳林嫂]，她一把抱住虚弱的[芳林嫂]，[芳林嫂]激动地晕倒在她的怀里。
1:13:53|1:14:0|国民党军官骑着马想要逃跑，[刘飞]开了一枪，没有打中，并且骑着马在后面追赶着。
1:14:0|1:14:7|[刘红]看到后，将[芳林嫂]交给[小坡]，拿着步枪，子弹上膛，瞄准，扣动扳机。
1:14:7|1:14:10|随着一声枪响，军官重弹落马。
1:14:13|1:14:26|另一边，鬼子的铁甲车还在铁路上飞速地行驶着，小林在车内不停地朝窗外看着。
1:14:26|1:14:35|王强和[彭亮]登上了铁甲车后，解脱了火车头与装甲车厢的挂钩。
1:14:35|1:14:42|火车头带着王强和[彭亮]继续向前驶去，而装甲车厢被袁勇地甩在了后面，并慢慢停了下来。
1:14:54|1:15:2|鬼子们打开了装甲车厢的门，放下了梯子，[小坡]从装甲车厢里走了下来。
1:15:2|1:15:10|他茫然地向四周张望，只见火车头已不见踪影，只有他的车厢孤零零地停在了野外的铁路上。
1:15:10|1:15:33|报告，飞虎队送来的通牒，[小坡]接过飞虎队的通牒看着，额头上冒出汗珠，之后[小坡]率领着铁甲车部队，劣质队向飞虎队投降。
1:15:44|1:15:48|火车头上，游击队高举红旗，庆祝着胜利。
1:15:48|1:15:50|铁道两旁的人也在高声欢呼。
