0:1:32|0:1:38|夜色渐深，身着破漏衫的[马尚来]在电脑屏幕前与好友视频聊天。
1:5:59|1:6:14|夜晚，[孙二香]屋外，[马尚来]独坐在阳台上，他拿起身旁的手机，轻轻一按，屏幕上是一家三口的合影，独屋思人，自己答应妻子的事情没有完成，他内心十分愧疚。
1:6:14|1:6:23|另一边，老[马尚来妻子]也在家中的阳台上静静地望着窗外，手机屏幕上，同样也是一家三口的合照。
1:6:23|1:6:26|看了一会儿合照，他收起手机，深深地吸了一口气。
1:6:46|1:6:53|毛雪望挥手告别，小弟们扭头离去，与迎面而来的中年男子撞了个满怀。
1:6:53|1:7:2|目送小弟离去之后，中年男子走上前，看着办公室内的[茅雪旺]，敲响了办公室的门。
1:7:47|1:7:51|宫内的[孙二香]默默地看着[马尚来]。
1:8:35|1:8:36|[孙二香]敞开心扉。
1:8:38|1:8:40|[马尚来]没有说话。
1:8:50|1:8:53|[马尚来]边听边思考着这家火锅店。
1:9:1|1:9:11|此时，[马尚来]成了唯一的倾听者，他坐在台阶上扇着扇子。
1:9:13|1:9:16|[孙二香]缓和情绪，继续说道。
1:9:20|1:9:30|敞开心扉的她，主动诉说着埋藏在心底的故事，看似强硬的钉子户，背后也有着温柔的一面。
1:9:33|1:9:35|面对逝去的丈夫。
1:9:41|1:9:51|[孙二香]的选择是守护夫妻二人共同的梦想，将火锅店保留下来，不受任何人的侵害。
1:9:51|1:9:58|[马尚来]扭头看去。
1:9:58|1:10:0|看着橘子树，[孙二香]触目惊叹。
1:10:9|1:10:14|[孙二香]的固执与坚持都化作了脸上悄无声息流下的泪滴。
1:10:21|1:10:26|第二天清晨，[孙二香]漫步在废墟里，一夜的疲惫早已击垮[马尚来]。
1:10:26|1:10:30|他以前而睡，脚步声丝毫没有干扰到他。
1:10:30|1:10:33|[孙二香]见此，缓缓蹲了下来。
1:10:33|1:10:38|他将[马尚来]邀请到家中，为他倒上一杯酒。
1:10:51|1:10:58|[马尚来]听后有些愣神，没想到对方这么快就做出了决定。
1:11:7|1:11:15|[孙二香]面向[马尚来]，双手举杯，[马尚来]愁出片刻后与对方碰杯，两人约定的誓言似乎都藏在了这杯酒里。
1:11:27|1:11:34|很快，[孙二香]开始搬迁，他手抱丈夫[李一向]，在拆迁工人的注视下缓缓地离去。
1:11:34|1:11:43|[马尚来]一行人如同保镖一般跟在身后，徒弟[露露]则帮忙抱着[孙二香]的孩子，刚子则手里拿着火锅店的牌匾。
1:11:43|1:11:49|一行人刚走，拆迁队就火急火燎地动手，他们缠走了[孙二香]最珍惜的橘树。
1:11:49|1:11:59|[马尚来]健壮连忙拦下，和徒弟们将这棵橘树挪到了安全的地方，另一边，[茅雪旺]子在拆迁对老板那边讨要着属于自己的酬劳。
1:12:16|1:12:19|[茅雪旺]气愤离去，扭头来到办公室。
1:12:38|1:12:40|为了孩子，中年男子来到了银行。
1:12:46|1:12:49|[贵园]借过银行卡，开始办理业务。
1:12:49|1:12:56|一家网吧内，网瘾儿子正在电脑前奋战，他突然感到十分不适，停下游戏开始揉着额头。
1:12:56|1:13:4|突然，他头部直直砸向键盘晕了过去，身旁的女伴发现不对劲。
1:13:4|1:13:7|他将男子扶起，对方脸色十分苍白。
1:14:5|1:14:9|胖瘦兄弟听到声音，从厕所跑出来，此时裤子还悬在半空。
1:14:42|1:14:45|铃声响起，[马尚来妻子]接起电话。
1:14:45|1:14:52|[茅雪旺]驾驶油罐车从小路冲出，撞开路障来到主路上，另一边，[马尚来]闲自紧张。
1:14:52|1:14:54|油罐车一路狂奔，驶向市区。
1:15:5|1:15:16|[马尚来]驾驶摩托车向[茅雪旺]追去，车内[茅雪旺]观察着车流，中年男子则爬向窗边狠狠一个褶挥，驾驶室的玻璃硬针而碎。
1:15:16|1:15:23|二人缠斗在一起，另一边，竞争驱车前往医院，[金针]依旧昏迷，随时都有危险。
1:15:25|1:15:32|油罐车内的缠斗还在继续，中年男子占据了上风，抢到了方向盘。
1:15:32|1:15:37|马路上，[马尚来]骑着摩托车飞驰，已经赶到了油罐车的身后。
1:15:37|1:15:41|副驾驶上的[茅雪旺]想要夺取方向盘，[马尚来]被中年男子武力压制。
1:15:44|1:15:56|油罐车的速度不减，摩托车想尽办法稳随其后，突然，摩托车的转速陡然拉高，迅速来到了油罐车的右侧，副驾驶上的[茅雪旺]好似看到了救星，他拍着窗户求救着。
1:16:4|1:16:16|忠彦男子说完，向右猛打方向盘，摩托车被挤在身后，[马尚来]稳住车速，与油罐车保持一致，接着从摩托车上站起，纵身一跃，来到了油罐车尾部。
1:16:16|1:16:25|忠彦男子看向后视镜，发现不对镜头，接着挂倒明彩油门，车顶上的[马尚来]失去了重心，被甩飞了出去，千钧一发之际。
1:16:26|1:16:39|他单手勾住车顶栏杆稳住身形，本想将自己拉上去，血量，油罐车太滑无处落脚，车速逐渐加快，他陷入到了危险之中，多次尝试之后，终于他又回到了车顶。
1:16:41|1:16:44|一抬头看到电视的播报。
1:16:58|1:17:8|画面再次来到油罐车上，重回车顶的[马尚来]走向车头连接处，他卸下头盔向驾驶室里纵身愉悦，双手稳稳地抓住了驾驶室的门框。
1:17:17|1:17:28|请回声从身后传来，[马尚来]扭头盼去，公安部队已经来到。
1:17:44|1:17:49|车厢右侧是一块硕大的电子屏幕。
1:17:49|1:17:58|宣传车正在转播一场手术，手术台上躺着的则是中年男子的儿子。
1:17:58|1:18:7|中年男子踩下刹车，车速并没有丝毫的减弱。
1:18:7|1:18:8|[马尚来]翻进驾驶室内。
1:18:14|1:18:23|毛[茅雪旺]特紧抓住机会向前接人，毛雪旺和中年男子安全转移。
1:18:23|1:18:30|毛[马]没有条件离开，只得继续将车开下去，好在这里是一处未完工的大桥，路上并没有其他人。
1:18:53|1:18:56|众人向坠落地点飞奔而去。
1:18:56|1:19:6|[马尚来]生死未卜，毛雪旺想要查看仔细，却被警察拦住。
1:19:6|1:19:16|[金针]姗姗赶来，她看着江上逐渐沉没的油罐车，神情激动。
1:19:20|1:19:31|俊贞不敢相信眼前的一切，心里的支撑仿佛在这一刻崩塌殆尽，江面又恢复了平静，油罐车的跌落，仅能掀起短暂的波澜。
1:19:31|1:19:41|毛[雪旺]懊恼地垂地，中年男子也泪流满面，眼中尽是悔恨。
1:19:41|1:19:43|突然，桥边的水槽中钻出一个身影。
1:19:45|1:19:49|[马尚来]探出头来，大家伙都松了一口气。
1:19:49|1:19:52|记者赶忙上前，递上麦克风询问。
1:19:55|1:19:56|[马尚来]艰难地移动。
1:20:1|1:20:4|老[马尚来妻子]将毛雪旺推开。
1:20:4|1:20:8|陆陆抱住身边的钢子，老[马尚来妻子]则紧紧地守在电视机前。
1:20:13|1:20:17|心中悬着的石头，随着[马尚来]的获救，也缓缓地放了下来。
1:20:17|1:20:25|夜色降临，获救的[马尚来]独自走在街上，身后则悄悄地出现了两个滑板少年。
1:20:25|1:20:27|他们经过[马尚来]，一把将其跨包抢走。
1:20:39|1:20:46|[马尚来]双臂摆动，多年来的东奔西跑，为调解对象的来回奔波，无形地锻炼了他的身体。
1:20:46|1:20:59|这一刻，他得到了回报，马路上灯火通明，很快来到了一个下坡，即将追到对方的[马尚来]，此时却被拉开了差距，躲坡为滑板助力，他们飞快地向坡底滑去。
1:20:59|1:21:7|[马尚来]仍然坚持地追逐着，滑板少年滑过街边的餐厅，炫耀似的举起胯包，吸引着[马尚来]的注意力。
1:21:8|1:21:12|随后，他们乘坐自动扶梯，来到了一处空地内。
1:21:12|1:21:18|[马尚来]终究不是少年，体力渐渐达到了极限，滑板少年跟丢了。
1:21:18|1:21:23|他无助地来到广场上，却意外地发现站在观音桥下的[马尚来妻子]。
1:21:23|1:21:26|无人机载着跨包，缓缓向[马尚来妻子]飞去。
1:21:26|1:21:32|突然，一束光打在了[马尚来妻子]脸上，岁月沉淀了[马尚来妻子]的气质。
1:21:32|1:21:36|此刻，她像熟透了的水果，散发着迷人的香气，[马尚来]看呆了。
1:21:38|1:21:41|见[马尚来]没有反应，气质扭头准备离去。
1:21:41|1:21:44|这时，头顶的大屏幕突然亮起。
1:23:3|1:23:12|[马尚来]隐藏在心底的话，借着酒劲一股脑地说了出来，一直误会[马尚来]的妻子，在此刻已明白了对方的心意。
1:23:12|1:23:19|[马尚来]扭头看向妻子，眼里如水一般温柔，妻子也看向[马尚来]，楚楚可怜。
1:23:19|1:23:22|大屏幕上，[茅雪旺]的身影突然出现。
1:23:38|1:23:48|聚光灯缓缓亮起，观音桥下灯火通明，大家伙都围着[马尚来]夫妇跳起了广场舞，曾经的调解对象也一一出现。
1:23:48|1:23:54|[马尚来]有些不知所措，可立即被大家的热情所淹没，逐渐加入到跳舞的队伍中。
1:23:54|1:24:0|[马尚来]的妻子站在一旁，默默地看了这一切，她破涕微笑，也加入了其中。
1:24:1|1:24:9|欢乐洋溢在夜晚的广场上，重庆人火辣外向的性格也在此刻展现了淋漓尽致。
1:24:9|1:24:16|[茅雪旺]经过油罐车事件之后，与[马尚来]兵士前嫌，而他的心脏人[金针]对待他的态度也不再是那么的冰冷。
1:24:17|1:24:21|闹离婚的江氏夫妇也带着儿子前来跳舞。
1:24:21|1:24:26|他们夫妻的感情经过[马尚来]的修复，也不再互相勾心斗角。
1:24:26|1:24:36|[马尚来]似乎天生就为条姐而生，条姐被他当成一门艺术，在各个人群中游走周旋，每次都能巧妙地化解矛盾。
1:24:40|1:24:45|[马尚来]与妻子的矛盾，让他这个金牌调解员也似乎没了脾气。
1:24:45|1:24:52|好在他还有一群能够交心的朋友，能够托付的徒弟，来帮助他挽救自己的感情危机。
1:24:52|1:24:57|庆典结束，[马尚来]也顺利回到家中，桌上放着的是老[马尚来妻子]的笔记。
1:25:9|1:25:13|[马尚来]笑容消失，十分嫌弃地看向光头。
