0:0:38|0:0:41|城郊偏僻的小路上，一辆大巴车急乘而过。
1:2:37|1:2:45|待[章丽蕾]写好之后，[宋大雄]将他送回了宿舍门口。
1:2:45|1:2:47|[宋大雄]不舍得望向[章丽蕾]。
1:3:20|1:3:25|炒茶工人与各式各样的制茶机器出现在二人院前。
1:3:56|1:4:2|魏家峰的茶叶在机器里翻腾着，经由一道道工序，最终蜕变成茶。
1:4:4|1:4:9|[宋大雄]带领[章丽蕾]，继续向厂房的领先走去。
1:4:44|1:4:49|[宋大雄]走向最里间，笑意盈盈地望向里面的炒茶工具。
1:4:51|1:5:0|他胸有成竹地点燃炉火，滚烫的炉火将炒茶锅烧得火热，准备好一切，他站起身，炒茶才正式开始。
1:5:15|1:5:26|[宋大雄]粗糙的大手在炒茶锅里不断翻炒，已经被晒干的茶叶在他手中翻腾并逐渐成形，茶叶泛起的幽香沁入心脾。
1:5:26|1:5:33|[章丽蕾]站在一旁观察他娴熟的动作，迟疑许久，终于将手搭在[宋大雄]的手臂上。
1:5:33|1:5:38|[宋大雄]因为他的动作反而一愣，慌乱地望向面带羞涩的[章丽蕾]。
1:5:38|1:5:42|在[章丽蕾]的引导下，二人的手慢慢地交叠在一起。
1:5:43|1:5:47|[宋大雄]呆愣地站着，任凭本能配合着[章丽蕾]的动作。
1:5:47|1:5:52|[章丽蕾]抬手揽过[宋大雄]的下巴，慢慢地靠近他的双唇。
1:5:52|1:5:58|在宁静的夜色里，他们的心越靠越近，温热的唇已经附露上来。
1:5:58|1:6:2|[宋大雄]悄悄地伸出手臂，将[章丽蕾]圈进自己的怀中。
1:6:3|1:6:14|他们在夜色中忘情地拥吻着，只是本能地想要抱住眼前的人，谁也未曾发现门口留意的骆明英是什么时候出现的。
1:6:14|1:6:17|[宋大雄]猛地抬眼发现了门口的骆明英。
1:6:24|1:6:32|骆明英说完转身就走，屋内陷入一种尴尬的局面，只剩炒茶锅里无人在意的茶叶散出缕缕茶香。
1:6:34|1:6:41|混乱的一夜过去，宋家小院里，宋母望着远处采茶的姑娘们。
1:6:47|1:6:58|宋母说完小口品茶，浇菜的[宋大雄]听到这话转头，看向身后茶园里的姑娘，憨厚的脸上露出一抹幸福的微笑。
1:6:58|1:7:2|茶园里，姑娘们也在谈论着自己的话题，[练友情]跑向[章丽蕾]。
1:7:43|1:7:46|[练友情]有些疑惑地看着打哑谜的二人。
1:7:46|1:7:50|[章丽蕾]并不向他解释，拿着碑楼就向骆明英走去。
1:7:50|1:7:53|[练友情]不解的吐吐舌头，并不再追问。
1:7:53|1:8:0|骆明英见[章丽蕾]走来，转身带她去了一处偏僻无人的地方，犹豫再三才慢慢开口。
1:9:2|1:9:18|骆明英说完转身就走并不给[章丽蕾]辩解的时间一转过身她就抬手试去眼角的泪珠加快了步伐想要快点逃离这个伤心地[章丽蕾]愧疚地看向她倔强的背影慢慢地低下头叹了口气。
1:9:22|1:9:28|夕阳西下，姑娘们排队走出茶园，门口的[宋大雄]已经等候多时。
1:9:28|1:9:34|他笑着与姑娘们招手，眼睛却紧盯着站在令友琴身旁的[章丽蕾]。
1:9:34|1:9:39|可[章丽蕾]路过[宋大雄]时却低头不语，还往令友琴那边躲了躲。
1:9:39|1:9:41|[宋大雄]见状，失望地愣了许久。
1:9:47|1:9:59|傍晚时分的天台上忙碌了一天的姑娘们三三两两地聚在一起谈天说地。[宋大雄]贴心地为她们泡好茶水，一一给她们送去。“谢谢大雄哥，谢谢大雄哥。”
1:10:7|1:10:20|姑娘们纷纷感谢着[宋大雄]的心意，可茶水断到[章丽蕾]面前时，她只是冷淡地接过茶杯便一言不发。[宋大雄]再也维持不住笑意，端着托盘失望地走了。
1:10:20|1:10:38|粗枝大叶的令友琴也看出了不对劲，疑惑地望向[章丽蕾]，[章丽蕾]并没有多做解释，摇摇头搪塞了过去。晚风伴随着夜色袭来，茶厂的办公室里吵吵闹闹的，[宋大雄]在一边摆弄着花草，姑娘们聚集在电脑前。
1:10:38|1:10:49|围观斜溜行女孩与男朋友的视频聊天，她身旁的姑娘百无聊赖地摆弄着茶杯，这场景与前几日像极了，唯独少了[章丽蕾]和另友情。
1:10:51|1:10:59|听到招呼声的[宋大雄]松开促起的眉头，朝姑娘们笑了一下，继续摆弄着架子上的植物。
1:10:59|1:11:4|此时此刻的宿舍里，令友琴与[章丽蕾]正促膝长谈，她拿起茶杯。
1:11:44|1:11:46|[章丽蕾]脸上写满了愁容。
1:11:46|1:11:51|第二天一早，与[宋大雄]母在小院里摘菜的[宋大雄]也苦闷极了。
1:11:51|1:11:55|[宋母]看了一眼儿子。
1:12:30|1:12:35|[宋大雄]睁睁地望向桌子。
1:12:35|1:12:39|[宋母]见[宋大雄]这般反应，转头看向不远处采茶的姑娘们。
1:13:7|1:13:16|不远处的[章丽蕾]正采着茶叶，她的动作越发地娴熟，举止间像一个土生土长的茶乡人。
1:13:16|1:13:19|天色已晚，月色正浓，树影婆娑。
1:13:19|1:13:31|[宋大雄]蹲在浴室外的石墙前，安静地听着屋内姑娘们的欢呼，他双手纠结在一起，眉头紧促，嘴巴紧紧拧着，周遭沉静的氛围与屋内截然不同。
1:13:34|1:13:37|画面一转，已经是两个月后了。
1:13:37|1:13:44|春茶的采摘季节很快就过去，姑娘们也准备返乡，她们拉着行李箱鱼贯而出。
1:14:3|1:14:9|[章丽蕾]匆忙地将行李递给了令友琴，跑上了天台。
1:14:9|1:14:17|她急匆匆地跑向晾衣绳，她的衣服果然孤零零地搭在晾衣绳上，随风无力地飘摇。
1:14:17|1:14:20|她连忙上前将衣服拿好，转头却看到不远。
1:14:23|1:14:28|[章丽蕾]无奈地朝他的方向叹了口气，拿起手上的衣服便离开了。
1:14:28|1:14:33|匆忙间，并未注意到晾衣绳上还有一双被他遗漏的袜子。
1:14:33|1:14:36|临近中午，姑娘们早已坐上大巴准备出发。
1:14:39|1:14:44|送别姑娘们的大巴车前围满了依依不舍的村民们。
1:14:44|1:14:51|他们聚在车前与姑娘们做最后的道别，收下[章丽蕾]面膜的大姐推开人群，拿着包裹走向车窗前。
1:14:54|1:14:59|[章丽蕾]望向送别的人群失落地转回了头。
1:15:16|1:15:24|送别村民后，大巴缓缓启动，绕过恋令不舍的村民们，顺着蜿蜒的村道要使出茶香。
1:15:24|1:15:28|刚走没一会儿，大巴外就传来重重的拍门声。
1:15:34|1:15:38|[章丽蕾]急匆匆地跑出座位，在车门前候着。
1:15:38|1:15:44|[牛医生]写下心由境生四个字，看向[章丽蕾]士。
1:15:44|1:15:45|[章丽蕾]走上前去。
1:16:6|1:16:35|等[骆明英]坐稳后，司机打开了音乐，转头看向车里的姑娘们。伴着歌声，一车人摇摇晃晃地再次出发。大巴走过平坦的村路，来到了紧挨着山谷的小路。细窄的小路盘旋着，与远山融为一体。大巴车晃晃悠悠地驶在山路中，载着姑娘们奔向城市。路的两旁是茂密的树丛，使劲地挥舞着枝叶，好像在和姑娘们做最后的道别。
1:16:40|1:16:47|阳光透过车窗洒在[章丽蕾]的脸上，她低垂双眸俯视着窗外的风景，发呆。
1:16:47|1:16:56|此时长原里的[宋大雄]也不好过，他呆愣愣地站在女工宿舍门口，可惜这里空无一人，姑娘们并未留下什么。
1:16:56|1:17:0|春风乍起，吹飞了窗帘，也吹乱了他的思绪。
1:17:2|1:17:29|[宋大雄]看着[章力雷]遗落的袜子，呆愣愣地不知道在想些什么。此刻的大巴里，[聂友琴]拉过[章力雷]的手。现在凭什么还来得及？[章力雷]沉着脸摇摇头。[聂友琴]见他摇头，也只好转头望向前方，不再与[章力雷]搭话。与此同时，[宋家小院]里，[宋母]与[小娟]正收拾着姑娘们放在院里的采茶楼。
1:17:54|1:18:5|[宋大雄]此时正站在浴室外的石墙边，紧锁着眉头。[村长]慢慢地走到他的身边，见[宋大雄]没有反应，[村长]继续。
1:18:41|1:18:47|[村长]大笑着拍了拍[宋大雄]的胳膊，勾着他的肩膀，将他带去。
1:18:47|1:18:53|二人并肩来到[宋大雄]家小院，[宋大雄]仍然紧锁眉头，看上去心事重重。
1:18:53|1:18:57|小娟见到村长来，热情地招呼。
1:19:2|1:19:9|倒水，[宋母]放下手中的活计，与[宋大雄]和村长在一旁的小桌前坐下。
1:19:9|1:19:16|三人面面相觑，没人开口打破尴尬的气氛。
1:19:16|1:19:19|村长局促地抬头四处望了望。
1:19:20|1:19:22|村长的话让气氛更加古怪。
1:19:22|1:19:26|[宋母]伸头看了看沉默着的[宋大雄]。
1:19:27|1:19:30|他一走，[宋母]就望向村长。
1:19:55|1:19:59|[宋大雄]将茶具端来，又回屋去拿别的工具。
1:20:2|1:20:7|[宋母]将信将疑地看向[宋大雄]，清了清嗓子，摆足了要驯化的拍头。
1:20:9|1:20:14|[宋大雄]一阔地探出头，拎着茶壶从屋内走过到小桌前。
1:20:14|1:20:16|宋母犀利地扫视着他。
1:21:25|1:21:27|[宋大雄]慌忙跑出茶园。
1:21:51|1:21:55|村长朝[宋大雄]摆了摆手，私下摸索着西装口袋。
1:21:59|1:22:4|[宋大雄]不解地看向村长，村长摸索半天后，终于掏出电话本。
1:22:4|1:22:12|村长，并不搭理[宋大雄]，眯着眼睛自顾自的翻看着厚厚的电话本。
1:22:12|1:22:20|一会之后，村长终于找到目标，从腰间掏出手机，仔细地对比着电话本拨通电话。
1:22:20|1:22:34|回程的大巴里，司机的手机铃声忽然响起，他四下翻找着接通了电话。
1:22:36|1:22:47|说完，村长潇洒地向前走去。
1:22:47|1:22:49|说完，村长潇洒地向前走去。
1:22:55|1:23:26|[宋大雄]这才舒展开皱在一起的眉毛露出朴实的笑容，大巴车里司机挂断电话后立即一脚刹车，大巴旋即发出撕心裂肺的摩擦声。车上的姑娘们惊慌失措地看向司机。司机师傅，这什么意思啊？我就说了，我再往前开一米就打伤我的腿。姑娘们都有些疑惑不解。我要是腿折了就开不了车了。护制的司机说完不再理会姑娘们。
1:23:26|1:23:46|物字欣赏起窗外的美景，路的两旁是高大茂密的树林，树干粗细相杂，伸展着繁茂的枝叶。司机打开音乐按钮，悠扬的歌声娓娓传来，他渐渐陶醉在欢快的歌曲中，手指跟随音乐的律动在方向盘上轻点阵。
1:23:46|1:24:0|他像是想起了什么一般，从座椅边掏出一罐茶叶，也不管茶具与泡茶水的讲究，用手粘起一簇茶叶放入玻璃杯中，提起一旁的热水壶，快速地冲泡了一杯热茶。
1:24:3|1:24:10|他捏着发烫的茶杯轻轻地吹走热气，这才小口地品起清香的茶水。
1:24:10|1:24:16|与司机悠哉悠哉地派头不同，车内的姑娘们欣慰索然。
1:24:16|1:24:20|他们不断调整坐姿，异性阑珊地望向窗外。
1:24:20|1:24:26|阳光越来越大，乏味地等待不知什么时候才能结束，有人索性戴上墨镜沉沉睡去。
1:24:28|1:24:39|在车外曲折的小路上，一辆汽车打破了山林的静谧，汽车远远地从大巴后方的小道上驶过来，一个急刹车停在了大巴的不远处。
1:24:43|1:24:47|还没等车停稳，一个身影缓缓地从车内走下。
1:24:47|1:24:52|她站在车外顿了顿，这才鼓起勇气向大巴车上走去。
1:24:52|1:24:58|车内的姑娘们此刻也发现了他，纷纷将头凑在车窗外，一个个好奇地张望着。
1:24:59|1:25:5|那个身影走到大巴车前站好，姑娘们这才发现前来追车的是[宋大雄]。
1:25:5|1:25:13|[章丽蕾]认真地看向车外的[宋大雄]，只见[宋大雄]两手聚成喇叭状，大喊了一些什么。
1:25:13|1:25:21|由于音乐与车窗的阻隔并不能听得真切，[章丽蕾]站起身。
1:25:21|1:25:25|音乐声停下，可在车里仍旧听不真切[宋大雄]的喊话。
1:25:27|1:25:31|姑娘们拉开车窗想一听究竟，可还是徒劳。
1:25:40|1:25:43|车门打开，[章丽蕾]急匆匆地下了车。
1:25:43|1:25:50|下车后，她并不像刚才那般着急，反而面无表情地一步步向[宋大雄]走去。
1:25:50|1:25:54|[宋大雄]不知所措地放下手，不敢与[章丽蕾]对视。
1:26:2|1:26:5|[宋大雄]慢慢抬起头。
1:26:9|1:26:12|宋大雄又垂下头。
1:26:20|1:26:47|不等[宋大雄]说完，[章丽蕾]猛地哭向他的怀中。二人靠得很近，[章丽蕾]将唇瓣贴向[宋大雄]。未说尽的言语都融化在温月的亲吻之中。天地与山林见证着他们之间滔滔的爱意。此刻谁都不能将他们分开。这一瞬间的美好让他们忘记了周围的一切。围观的村长张大嘴巴探出头望向望寝的二人。大巴车的司机也默默地拨通了村长的电话。
1:26:51|1:26:56|大巴车再次启程，绕过拥抱在一起不愿分开的二人，缓缓移动着。
1:26:56|1:27:1|车里的姑娘看出头，挥手与[宋大雄]、[章丽蕾]道别。
1:27:1|1:27:12|大巴车逐渐消失在弯曲盘旋的小路上，茶香的故事也缓缓地落幕。
