0:2:1|0:2:8|小悠将藏宝图放在桌上，吸引了某种二人的目光。
1:0:17|1:0:29|[安仔]拿着刚买的零食走到桥边，站定打算再给[冬瓜]打个电话。
1:0:58|1:1:1|[冬瓜][安宰]二人的谈话被[盟主]听见。
1:1:12|1:1:16|[冬瓜]看着[盟主]不由得惊慌失措。
1:1:45|1:1:47|[冬瓜]逃跑不成，被抓了回来。
1:1:47|1:1:49|[瑶子]在一旁看戏，看着[冬瓜]的惨状。
1:2:18|1:2:20|[花音]刚落，[苗子]也被绑了起来。
1:2:20|1:2:22|[苗子]与[冬瓜]都被绑在墙上。
1:2:22|1:2:25|一个头朝下，一个头朝上。
1:2:48|1:2:58|旅馆内，[沙沙]沉浸在金钱的幸福中，不知道即将要发生的事。
1:2:58|1:3:5|房门外，一个拿着卡片的男人伴随着悠扬的音乐缓缓地走过来，尽显风流。
1:3:5|1:3:12|随着敲门声的响起，[沙沙]赶紧把钱装好，前去开门。
1:3:12|1:3:15|打开房门，看见一个妖娆的木偶男子。
1:3:20|1:3:25|男子的言语中竟是轻佻。
1:4:5|1:4:9|进击关头，[安仔]及时赶到，解救[沙沙]。
1:5:7|1:5:12|[安仔]强行要求去611看看情况，上楼之前还不忘床上的背包。
1:5:12|1:5:13|思索再三，决定将包背上。
1:5:35|1:5:42|[肖啸天]与[沙沙]挨到了旅馆外，[肖啸天]一个亮枪险些摔倒。
1:5:42|1:5:49|二人在119的门口，将耳朵贴着房门，想要听屋内的动静。
1:5:49|1:5:55|[肖啸天]小心地扣下房门，随即将猫眼堵住。
1:5:55|1:5:58|见屋内没人，他们掏出[安仔]遗失的房卡。
1:6:0|1:6:8|打开了房门，[沙沙]一个滚地进入屋内，[肖啸天]无奈喊道。
1:6:11|1:6:16|[盟主]在旅馆外整理仪容，做好打架的准备。
1:6:16|1:6:19|[胡子]健壮，模仿着[盟主]的样子。
1:6:19|1:6:24|[肖啸天]在屋内一通翻掌，仍然是一无所获，心中不免有些焦虑。
1:6:32|1:6:34|先拿下墙上的照片。
1:6:34|1:6:41|[盟主]二人在屋外，听见房间内的声响，随即拿出装备，准备进入战斗状态。
1:6:41|1:6:46|[肖啸天]转身，发现自己已经陷入危机。
1:6:46|1:6:51|[胡子]默契地配合抬起腿，让[盟主]在自己腿上将打火机点燃。
1:6:51|1:6:52|屋内四人陷入僵局。
1:6:56|1:7:5|很明显，[肖啸天]傲人处于下风，呆愣在原地。
1:7:13|1:7:20|[安仔]和[沙沙]从611房间出来，说笑着返回房间，就看到[肖啸天]从屋内被踢了出来。
1:7:20|1:7:27|二人惊叹出气，就看见[肖啸天]再次被捉进房内。
1:7:27|1:7:34|[安仔]见状，急忙拉着[沙沙]逃跑。
1:7:34|1:7:38|屋内，[肖啸天]与仙仙被捆住手脚。
1:7:38|1:7:40|[肖啸天]疑惑不解。
1:7:58|1:8:4|[盟主]一刀砍在了桌上，误打误撞，显示自己武艺高强。
1:8:4|1:8:9|[胡子]见此情景，吓得急忙收回手。
1:8:24|1:8:29|[胡罪]掏出手机，打开照片，质问道。
1:8:31|1:8:35|[萧萧]听二人忙凑上前去。
1:8:58|1:9:3|[盟主]决定以[冬瓜]威胁[安宰]现身。
1:9:3|1:9:6|萧孝天一脸苦笑，期望[盟主]能将他们二人放走。
1:9:8|1:9:19|[安仔]与[沙沙]逃跑后，察觉到事情不对，不停地给[冬瓜]打电话，但都无人接听。
1:9:30|1:9:36|[安仔]觉察到了宝剑的不一般，从包内掏出宝剑，仔细看了起来，心中充满疑惑。
1:9:43|1:9:46|警局内，警察接到报案。
1:9:51|1:9:57|接到报案后，警察立刻驱车前往案发现场，寻找蛛丝马迹。
1:9:57|1:10:12|到达杨家后，随即展开调查，了解可疑事情，只见他们在被盗房间内拍照取证，准备将证据带回警局，大家一起分析情况。
1:10:14|1:10:18|屋内的[张任发]早已气急败坏，对他来说，
1:10:28|1:10:32|几人坐下开始笔录。
1:10:46|1:10:49|突然，新郎想到了什么。
1:10:56|1:10:58|新郎觉察到了不对劲。
1:11:0|1:11:8|带领众人前往窑洞，映入他们眼中的便是一个巨大的地洞。
1:11:21|1:11:24|几人围绕在地洞前。
1:12:3|1:12:26|[盟主]胡子将[冬瓜]和[苗子]当成了发泄对象，用棒球棍不停地打着饮药瓶往他们身上砸去。
1:12:26|1:12:28|发哥一个电话给[黑子]老大。
1:13:1|1:13:4|[张任发]一个电话给[黑子]老大打了过去。
1:13:4|1:13:9|[张任发]气愤地挂断电话，只留下疑惑的[黑子]老大。
1:13:9|1:13:14|[黑子]老大越想越气。
1:13:14|1:13:21|仓库内，[盟主]练球练得正欢，[黑子]老大的电话打了过来。
1:13:21|1:13:27|[盟主]随即脸色一沉，与[胡子]对视一眼，最后才接通电话。
1:13:29|1:13:33|[盟主]临机一动，决定来一个叠中叠。
1:14:5|1:14:9|交代完事情，[黑子]傲慢地挂断电话。
1:14:9|1:14:13|萧孝天看着[盟主]不知所措。
1:14:33|1:14:36|[胡子]提起[黑子]，就咬牙切齿，不禁骂道。
1:14:36|1:14:37|[胡子]暴跳如雷。
1:14:57|1:15:12|拿起棍子走向[萧孝天]，[萧孝天]被打得惨叫连连，边叫边跑，哀嚎声响彻整个仓库。
1:15:12|1:15:16|打完[萧孝天]，[盟主]二人来到了[苗子]和[冬瓜]面前。
1:15:32|1:15:38|[盟主]竟会这么好心，帮[冬瓜]解开了绳索。
1:15:38|1:15:44|[冬瓜]顾不上被绑着的双脚，一路跳着往前跑。
1:15:44|1:15:49|不料被[胡子]一脚踹倒在地，[冬瓜]看事态不对，吓得双脚往前爬行。
1:16:18|1:16:24|[盟主]一通威胁，吓得[冬瓜]快哭了出来，声音都变得颤抖。
1:16:24|1:16:28|急忙拨通[安仔]的电话。
1:16:28|1:16:30|[安仔]一看是[冬瓜]，急忙问道。
1:16:49|1:16:52|[盟主]一把将电话夺去。
1:17:16|1:17:20|飞机缓缓降落，[黑子]老大来到了神墓。
1:17:20|1:17:26|他来的第一件事情竟不是去杨家拿剑，而是带着小弟游玩。
1:17:26|1:17:34|[黑子]老大在沙滩上开着车，身后紧跟着四名小弟，毫不为风。
1:17:37|1:17:47|[安仔]与[沙沙]打定主意要去营救[冬瓜]。
1:17:47|1:17:56|二人如约来到仓库，打算先看一下仓库内的情况，只见他们猫着腰躲在窗户下，朝屋内探头看去。
1:17:56|1:18:2|[安仔]小心翼翼地趴在窗口，害怕被屋内的人发现。
1:18:2|1:18:7|映入他眼帘的是几个被五花大绑的熟人，与喝酒吃肉的[盟主]二人。
1:18:9|1:18:17|[冬瓜]被绑着手臂，蜷缩在墙角，旁边还有被倒吊着的[苗子]。
1:18:17|1:18:21|[安仔]与[沙沙]商量解救计划。
1:18:21|1:18:29|此刻，二人毫无头绪，不知如何是好。
1:18:39|1:18:44|[安仔]随即决定先等待时机，按兵不动。
1:18:44|1:18:51|突然，远处传来一阵声响。
1:18:51|1:18:56|等待之际，一辆汽车驶来。
1:18:56|1:19:0|来车正好停在[安仔]车后，[安仔]二人顿时陷入危机。
1:19:2|1:19:8|好在[黑子]一心只有杨家剑，并未注意到异常车辆。
1:19:8|1:19:14|[黑子]一行人气势汹汹地走进仓库，还不忘通知八哥一声。
1:19:14|1:19:19|但杨家剑已经丢失，[盟主]又该如何应对？
1:19:30|1:19:35|只见手下打开保险箱，里面放的竟然是一堆[黄瓜]。
1:19:35|1:19:39|[黑子]从中拿起一根，吃了起来。
1:19:39|1:19:45|由此可见，[黑子]对于[黄瓜]真是情有独钟。
1:19:45|1:19:58|[黑子]一边吃[黄瓜]，一边带着一众小弟向仓库走去，一脚踹开仓库大门，接着向[盟主]等人步步紧逼，充满了压迫感。
1:20:12|1:20:20|[胡子]一把拉起坐在椅子上的仙仙，让他将位子让给了[黑子]。
1:20:20|1:20:27|[盟主]随手一指，连搭在桌上的脚都不曾放下，便示意[黑子]落座。
1:20:33|1:20:37|[黑子]一听，顿时觉得自己的威严受到了蔑视。
1:21:8|1:21:14|一个示意，手下们便朝[肖啸天]走去。
1:21:14|1:21:18|手下直接将[肖啸天]带到了[黑子]面前，对他教训起来。
1:21:26|1:21:45|这边的[肖啸天]被打得生不如死，另一边被吊着的[冬瓜]与[苗子]仿佛是没事人，两人还分着零食吃。
1:21:45|1:21:58|[安仔]靠在墙边分析着仓库内的情况，眼前的一个小孩让他灵机一动，一个绝妙的想法在他脑海中呈现。
1:21:58|1:22:1|小孩按照[安仔]的指示跑进仓库。
1:22:3|1:22:12|将一张纸条交给了[黑子]。
1:22:12|1:22:19|[黑子]看完纸条，顿时感觉威严受到挑衅，将手中的黄瓜一扔，掏出手枪指向[盟主]。
1:22:40|1:22:46|[盟主]还没搞清楚发生了什么事，就被[黑子]的手下绑了起来。
1:22:50|1:22:54|事已至此，[盟主]仍然要维护自己最后的尊严。
1:22:54|1:22:58|下一秒，还是与[冬瓜]几人一起，被绑在了墙角。
1:22:58|1:23:1|画面略显心酸与好笑。
1:23:1|1:23:5|[黑子]将仓库内的几人捆绑好，便带人离去。
1:23:5|1:23:11|[安仔]和[沙沙]怕被[黑子]发现，在车边与他们玩起了躲避游戏。
1:23:11|1:23:17|只见他们绕道车前，冒着危险等待[黑子]一行人上车离开。
1:23:17|1:23:20|[安仔]二人刚要进入仓库解救[冬瓜]。
1:23:26|1:23:32|不远处又是一辆汽车驶来，吓得他们慌忙继续躲在车前观察情况。
1:23:32|1:23:38|从车内走下的是[张任发]和小倩，看来[张任发]为了得到杨家剑也是迫不及待。
1:23:38|1:23:50|[安仔]二人绕道车后，看着[张任发]一行人进入仓库，内心盘算着下一步计划，只见他们在车后紧盯[张任发]动作。
1:23:50|1:23:55|[张任发]一走进仓库，就被仓库内的景象所震惊。
1:23:59|1:24:6|倩倩看着被倒吊在墙上的[苗子]，身体瞬间僵硬，不知如何是好。
1:24:15|1:24:19|[张任发]正在四处寻找[肖啸天]。
1:24:19|1:24:20|只见[张任发]拿起棒球棒。
1:24:53|1:24:54|[肖啸天]急忙解释。
1:25:16|1:25:25|[张任发]还没有动手，只是将手中的棒球棍举起。
1:25:25|1:25:28|[肖啸天]竟被吓得晕了过去。
1:25:28|1:25:32|[张任发]带着手下走到被捆的众人面前。
1:25:43|1:25:52|[胡子]注意到被吊着的[苗子]，[沙沙]看着[苗子]内心慌乱不已。
1:26:5|1:26:7|[盟主]一听，内心充满疑惑。
1:26:7|1:26:11|一听是秘密，[胡子]来得兴趣。
1:26:37|1:26:46|[胡子]此话一出，[张任发]转头看向[沙沙]，[沙沙]惊慌失措，眼神中充满恐惧。
1:26:55|1:26:59|[沙沙]没了刚才的假笑，目光凶狠。
1:27:24|1:27:28|[沙沙]只能按照[张任发]的话照做，蹲下身来。
1:27:52|1:27:54|[苗子]赶紧解释。
1:27:54|1:27:57|小倩被[张任发]无情推开。
1:27:57|1:28:8|[张任发]注意到[苗子]脖子上的器具。
1:28:13|1:28:14|小倩电话响起。
1:28:18|1:28:27|小倩被吓得不知如何是好，[张任发]一把将电话夺了过去。
1:28:53|1:29:5|[张任发]转头看向小倩，显然她被小倩的这一举动彻底惹怒。
1:29:36|1:29:40|气愤地让手下将小倩也捆了起来。
1:29:47|1:29:51|[张任发]此时顾不上与小千算账，心中只有杨家剑。
1:30:1|1:30:4|留下米歇尔看守众人，便离去了。
1:30:4|1:30:7|轰鸣的发动机，彰显着[张任发]的急切。
1:30:7|1:30:11|见[张任发]走远，[安仔]二人才从车后走出来。
1:30:11|1:30:16|[安仔]从身后掏出假枪，打算借此来威慑米歇尔。
1:30:16|1:30:19|此刻，这把枪终于派上了用场。
1:30:19|1:30:23|[黑子]在等待中，渐渐发现事情不对劲。
1:30:38|1:30:42|立刻安排[盟主]，带两名手下返回仓库。
1:30:43|1:30:46|米歇尔吓得高举双手。
1:30:46|1:30:49|[冬瓜]连忙呼救。
1:30:55|1:30:58|[冬瓜]见到[沙沙]，连忙撒娇，让她给自己解开。
1:31:4|1:31:21|[安仔]发现，椅子上还有一个被捆的人，抬起他的头，发现竟是[肖啸天]。
1:31:24|1:31:31|看着[肖啸天]现在的凄惨状态，心中暗爽，只剩下[肖啸天]吓得不知所措。
1:31:31|1:31:36|门外，[沙沙]带着两名小弟，正向仓库走来。
1:31:36|1:31:39|[沙沙]正在端详宝剑，察觉到门外的声音，大喊道。
1:31:44|1:31:52|[安仔]和[冬瓜]见状，急忙一人拿起一根棒球棍，躲在仓库门口，准备偷袭。
1:31:52|1:31:59|[沙沙]带着两名小弟走进仓库，[冬瓜]直接一棍，打晕了一名小弟。
1:31:59|1:32:4|[安仔]见状，吓得[沙沙]尖叫着逃跑。
1:32:4|1:32:10|[黑子]见联系不上[沙沙]，气得开车返回仓库，墙角被捆住的众人略嫌喜剧。
1:32:25|1:32:26|张任发很是无奈。
1:32:31|1:32:33|[安仔]难以置信。
1:32:52|1:32:57|仓库外再次响起车声，令[安仔]等人心头愈紧。
1:32:57|1:33:0|[黑子]来了，[安仔]集中生智，想到应对办法。
1:33:5|1:33:11|让[沙沙]躲起来，远离危险，自己再次带着[冬瓜]藏在门口准备偷袭。
1:33:11|1:33:15|[黑子]打开仓库门，察觉事态不对，谨慎地观察着进入仓库内。
1:33:15|1:33:21|随着[安仔]一声，[黑子]被[安仔]一棍打晕。
1:33:21|1:33:26|[安仔]一些人看着墙角被捆得越来越多的人，心里很是无奈，不知如何处理。
1:33:34|1:33:35|[安仔]觉察到。
1:33:38|1:33:43|门外，一辆熟悉的汽车驶来，原来是[张任发]回来了。
1:33:43|1:33:48|[张任发]急冲冲地下车，便向仓库走去。
1:33:48|1:33:55|[沙沙]见此熟悉的情景，很是自觉地给自己安排了任务。
1:33:55|1:34:0|[安仔]带领[冬瓜]决定故技重施，只见他们在仓库门口站定。
1:34:5|1:34:13|[胡子]一敬明，便被一棍打晕在地。
1:34:13|1:34:26|[肖啸天]从裤子内侧掏出一把匕首，准备划开绳索自救。
1:34:26|1:34:34|就在[安仔]三人决定放弃绑剑离开时，仓库外又一次响起了车声，警察们到了。
1:34:35|1:34:42|几辆警车稳稳地停在了仓库门口，随后，警察举起枪冲进了仓库内。
1:34:49|1:34:55|[安仔]等人还不知道情况的紧急，[沙沙]这次竟要求一起加入行动。
1:34:55|1:35:6|他们丝毫没有注意到，原本被绑在椅子上的[肖啸天]已经跳窗逃跑，只见[肖啸天]将上衣翻面，另一面竟是一件警服。
1:35:11|1:35:15|警察的一句问话，让[肖啸天]得知自己已经被发现。
1:35:20|1:35:28|警察举起手枪，将墙角的众人团团围住，众人被警方一网打尽，听从警方的处理。
1:35:28|1:35:32|至此，杨家剑盗窃一事终于落下帷幕。
