0:2:2|0:2:5|镶在中间的大颗宝石闪闪发光。
0:57:17|0:57:24|[Amber]笑着摇摇头，[皮埃尔]却接着说道：
0:57:32|0:57:40|[皮埃尔]看向了窗外，回忆涌上心头。
0:57:48|0:58:6|[皮埃尔]的眼前浮现出父亲被抓时的场景，[皮埃尔]故作轻松，却红了眼眶，玻璃上倒映出十四岁的[皮埃尔]以及那张失望的脸庞。
0:58:15|0:58:21|[皮埃尔]扭头看向[Amber]，[Amber]眼眶湿润地问道：
0:58:38|0:58:47|[皮埃尔]恢复平静说道：[Amber]心情沉重，[皮埃尔]去转移话题问道：
0:58:47|0:58:55|此时的[Amber]已经对[皮埃尔]放下了心防，思索一番便缓缓开口：
0:59:30|0:59:38|这时[皮埃尔]收到了一张邀请函，他打开一看，说道：
0:59:48|0:59:55|此时[叶红]和[小宝]已经展开了行动，他们来到了一个破旧的仓库，[叶红]从楼梯上走了下来，说道：
1:0:5|1:0:24|[小宝]躺在滑板上，从车底滑了出来，手里还拿着修车的工具，他放下手中的扳手取下手套，向[叶红]走了过来，[叶红]背对着他，[小宝]上前帮她系紧腰间的指纹扫描器，突然间神情低落，
1:0:51|1:1:5|[叶红]皱着眉头说道：[小宝]急忙松了松绳子，小心翼翼地帮她绑好。系好扫描器后，[小宝]转身走向了电脑桌，熟练地开启了设备。
1:1:5|1:1:40|[叶红]将衣服穿好，整理好背带，对[小宝]说道：[小宝]走到[叶红]的身后，双手抱住她的腰，回头看着电脑显示器的画面，谁知却显示扫描失败，[叶红]转过身子，一把抓过[小宝]的手说道：[叶红]抬起头看着他，两人四目相对，[小宝]的手被[叶红]握住，紧紧地按在她的腰上，[小宝]的喉结动了动，抬起头不敢看她，[叶红]瞄了一眼显示器扫描成功了。
1:2:7|1:2:15|他将模型货车放到一个小路上，伴随着[张丹]的讲解，计划开始实施。
1:2:15|1:2:28|货车的车厢里藏着[小宝]和[张丹]，[小宝]看着一旁的大酒桶愁眉不展，酒庄的门卫看到司机拿出的证明，立即将闸门打开。
1:2:30|1:2:39|[老魔]滚动着两个巨大的酒桶走在酒庄的楼道里，
1:2:50|1:3:4|他拿起一个模型小人给[小宝]看，随后丢进桌上的模型地道里，[小宝]顺着梯子稳稳地滑到了地面，[张丹]只身一人在酒庄寻找出口。
1:3:7|1:3:19|[小宝]一点一点靠近监控室，一群保安正在为同事过生日，下一秒却被麻醉倒地，[小宝]举着麻醉枪出现在门口，解决掉所有人之后迅速将门锁上，
1:3:24|1:3:39|[张丹]身姿敏捷地穿梭在城堡的外墙上，[小宝]在监控室内敲着键盘，将所有摄像头的时间点全部换掉，不一会儿一排排监控画面上的人全都消失不见了。
1:3:40|1:4:10|[张丹]收到信号后，从外墙上一跃而下，平稳地落在了草地上，他快速跑向城堡，抬头望着几十米高的观测塔，随后按下背包上的机关，一条绳索弹了出来，绳索一头的鹰爪紧紧地抓住了观测塔的顶端，他按下按钮一跃而上，随后便翻上了一个天台，他背靠着城堡的墙壁，按下另一个机关，背包上瞬间弹出了四个小滚轮。
1:4:10|1:4:26|此时监控室内的[小宝]紧紧盯着屏幕，火急火燎地帮[张丹]解除城堡内的机关，[张丹]顺着墙壁一路滑行，顺利抵达了观测塔的顶端，他小心翼翼地打开了观测室的门，走了进去。
1:4:26|1:4:57|房间正中心的地板上是一个可以打开的圆形盖子，[小宝]打了个响指，稳操胜券地说道：时间拉回几天前，[叶红]跟着[查理]来到密室的当天，她趁其不备将手中那颗机器球扔向一边，吸附在一旁的桌底，而此时，[张丹]已经将房间内的盖子打开了，映入眼帘的是通往密室的路，
1:4:57|1:5:0|然而却布满了错综复杂的镭射
1:5:0|1:5:4|激光。监控室内[小宝]马不停蹄地操作着电脑，
1:5:4|1:5:26|不一会儿防御系统便被解除，[张丹]抬头看了一眼屋顶，心中便有了计划，将头上的眼罩摘掉，[小宝]将手背到脑后松了一口气，大厅里，乐队演奏着舞曲，参加宴会的众人都盛装打扮，男女成队，伴随着音乐翩翩起舞。
1:5:26|1:5:29|查理与一位女伴跳得正尽兴，[叶红]便出现了。
1:5:31|1:5:46|她换上了优雅美丽的礼服，站在门口含笑看着查理，随后提着裙摆走了进来，查理已经沦陷了，着了魔般地缓缓地走向[叶红]，眼含笑意说道：
1:5:55|1:6:21|查理将左手伸向[叶红]。[叶红]将手搭了上去，两人便走进了舞厅，此时[张丹]已经将自己倒挂在了天井中央，他小心翼翼地观察着四周，最后视线落在了地板的洞上，他一点点顺着绳索往下滑去，每一层的房间里面，相同位置上都有一个大洞，
1:6:21|1:6:36|洞的终点便是查理的密室，这时，监控室的一名保安逐渐苏醒，他睁开眼睛摸向身后，[小宝]盯着屏幕毫不知情，被保安从身后抓住了肩膀，一把推向了一边。
1:6:38|1:6:46|保安急忙上前重启了镭射网，[小宝]起身和他打成一团，[张丹]在距离目的地仅一步之遥的地方，被重启的镭射网拦住了去路。
1:6:46|1:7:3|[小宝]和保安厮打在一起，却因为体力悬殊被保安一拳打飞在地，[张丹]飞快地拽着绳索往上爬去，躲避身后追上来的激光，[小宝]灵机一动，拿起桌上的键盘砸向保安，扑向电脑，想要扭转局面。
1:7:4|1:7:30|谁知保安迅速反击，从背后抱住[小宝]，[小宝]趁机拿起桌上的麻醉枪，保安见状急忙伸手去抢，[小宝]用尽全身力气将枪口扭向保安的大腿，连中两枪的保安立即失去了意识，重重地压在了[小宝]的身上，[小宝]使出全身力气将他推开，忍着伤痛快速起身，
1:7:30|1:7:47|此时的[张丹]已经被烧掉了衣角，千钧一发之际，镭射网终于被关掉了，[张丹]松了口气，扭头向下看去，虽然一切恢复平静，他却不敢贸然行动，[小宝]喘着粗气解释道：
1:7:55|1:8:9|了解情况后，[张丹]才放心地滑入了密室中，熟练地解开绳索，而此时的查理还陶醉在与[叶红]的温柔乡里，
1:8:16|1:8:31|[叶红]趁机握住查理的手，慢慢拉向自己装有指纹采集器的腰间，就在这时，乐队换上了一曲探戈舞曲，查理跟着强烈的节拍，扭身转头。
1:8:31|1:8:36|[小宝]在监控室内将一切尽收眼底，无奈地汇报着情况。
1:8:36|1:8:54|[叶红]忍不住翻了个白眼，深吸一口气，再次进攻，她将手搭在[查理]的肩上，迫使他转过身来，用力拉过他的手，按在了自己的腰上，[小宝]坐不住了，醋意大发，紧紧盯着屏幕，
1:8:57|1:9:5|[查理]趁机上手抚摸[叶红]的大腿，[叶红]一把拽过他的手再次放在腰间，
1:9:12|1:9:35|[小宝]迫不及待地叫停，[叶红]便停了下来，她在[查理]依依不舍的眼神中扭头离开，随即掏出了一个遥控器，将指纹信息传送给[小宝]，[张丹]此时也赶到了密室门口，他靠在墙边向队友们汇报情况，[小宝]掏出了一个远程遥控器，按下开关后说道：
1:9:38|1:10:9|[张丹]在门口焦急地等待着，被[叶红]藏在密室桌底的机器球接收到了信号，蓄势待发，不一会儿机器球被成功开启，变成了一只八条腿的机器蜘蛛，[小宝]开启了蜘蛛头上的摄像头，观察着密室的环境，确认安全后，[小宝]操控着蜘蛛开始行动，不一会儿，蜘蛛便沿着墙边的石柱爬到了地面，小心翼翼地往门口爬去，门外的[张丹]心急如焚，
1:10:9|1:10:14|不停地看着手表掐算时间，就在这时[查理]的大黑狗突然出现，
1:10:23|1:10:54|蜘蛛拼命挣扎，大黑狗一口咬掉了它的一条腿，[小宝]于心不忍地按下了遥控器的按钮，大黑狗被蜘蛛狠狠电击了一下，扔下蜘蛛便仓皇而逃，蜘蛛迅速起身恢复状态，化身一个小球向前滚去，不一会儿，机器球便滚到了密室的门下，转眼又变成了八条腿的小蜘蛛，它一边往门上爬去，一边射出一道激光，寻找着门锁的位置，
1:10:54|1:11:7|大门在激光的扫描下仿佛变成了一扇透明的门，没多久蜘蛛便找到了锁孔，它抬起一条腿将其变成了一个电焊头，瞬间火光四起。
1:11:7|1:11:13|[查理]还在宴会厅等待着[叶红]，侍从上前说道：
1:11:15|1:11:36|[查理]顺着侍从的视线扭头望去，[皮埃尔]急忙上前打招呼，而另一边，小蜘蛛还在忙着开锁，[叶红]也对[皮埃尔]的到来毫不知情，在一群沉浸在跳舞中的宾客中寻找着[查理]的身影，谁料竟看到了[皮埃尔]，她急忙向[张丹]汇报情况。
1:11:41|1:12:8|所有人都在等着[小宝]，[小宝]却不急不躁，不动声色地操控着小蜘蛛，手上的动作却不自觉地加快，不一会儿蜘蛛穿透了大门，一时间电流闪烁，而此时从[皮埃尔]那里得知事情真相的[查理]，红着眼神回过了头，视线正好对上了宴会厅门口的[叶红]，[叶红]知道自己暴露了，眼里写着心虚，[皮埃尔]在一旁戏谑地看着两人，
1:12:8|1:12:17|就在这时，小蜘蛛解锁成功，门口的石像亮起了绿灯，随即大门便打开了，大黑狗悠哉悠哉地跑了出来。
1:12:17|1:12:29|不明真相的大黑狗以为是主人来了，摇着尾巴跑出来与[张丹]面面相觑，[小宝]还沉浸在胜利的喜悦中，下一秒便看到了宴会厅里的状况。
1:12:29|1:12:39|[叶红]想要逃跑，却被四散而来的警察和保安围得水泄不通，被[皮埃尔]锁在了宴会厅里，[张丹]跑进密室，耳边传来[小宝]的声音。
1:12:40|1:12:52|[张丹]愣住了，眉头紧锁不作声，随后看向了眼前的灵之泉，狠下了心，摘掉手套，[小宝]只好妥协。
1:12:57|1:13:4|[皮埃尔]在一旁提醒[查理]，[查理]拿出手机，通过监控看到密室里面一切如常。
1:13:4|1:13:12|这时，本该在密室里的大黑狗突然出现，[皮埃尔]说道：[查理]这才醒悟。
1:13:14|1:13:32|[查理]急忙带着人往密室赶来，[皮埃尔]将[叶红]制服，将她铐在了钢琴上，[查理]和一大帮保安在楼道里狂奔，[张丹]戴上了特制的手套，焦急地等待着上面的进度条，终于在火烧眉毛的时候等来了指纹信息。
1:13:34|1:13:42|[查理]一行人上了楼梯，[张丹]已经成功打开了灵之泉的玻璃柜，[张丹]一把取下了灵之泉。
1:13:44|1:13:55|[小宝]心系[叶红]的安危，皱着眉头犹豫不决，而这时，[查理]和保安终于赶到了密室，看到了空荡荡的玻璃柜，[查理]冷着脸说道：
1:13:58|1:14:16|一时间陈堡里各处的保安都收到了指令，纷纷拿起武器全体出动，被关押在宴会厅里的[叶红]，此时已经接受了命运，咬着嘴唇放弃挣扎，[小宝]突然闯进来，用麻醉枪击倒了看押[叶红]的警察，帮她解开了手铐，[叶红]疑惑道：
1:14:20|1:14:37|保安们全副武装，纷纷戴上头盔，骑着摩托车离开城堡，向树林的方向追去。[张丹]将自己伪装成保安藏匿在队伍中，一出城堡便上了另一条路，保安们竟毫无察觉，任其在自己眼皮子底下给逃走。
1:14:37|1:14:43|而此时，[皮埃尔]开车带着[Amber]也来到了城堡附近寻找[张丹]的身影。
1:14:43|1:15:12|[小宝]为了救[叶红]错过了最佳的逃跑时间，两人冒着危险离开城堡，却早已被身后的保安盯上，而[张丹]自以为已经甩掉了追捕，这时[皮埃尔]和[Amber]已经找到了他，[叶红]穿着行动不便的礼服和[小宝]二人在树林中狂奔，不一会儿，便被追赶而来的保安给围堵，两人只好改变方向，一个保安朝着[叶红]开枪，子弹却擦肩而过，打在了树上。
1:15:13|1:15:31|树林里的路崎岖不堪，[叶红]提着裙摆跑得十分艰难，而在这时，[小宝]掀开地面上遮盖的一大片草皮，藏在底下的一辆沙滩摩托车，看得[叶红]是瞠目结舌，保安队伍也不是吃素的，转眼间便骑着摩托车追了上来。
1:15:31|1:15:58|山间的公路上，[张丹]骑着摩托车急速前进，躲避着[皮埃尔]和[Amber]追捕，他慌不择路，迎面开上了一片正在施工的场地，几辆大货车正在进出，[皮埃尔]紧追不舍，丝毫不给他留退路，一旁的[Amber]却神色担忧，祸不单行，[小宝]和[叶红]也被身后骑着摩托的保安们步步紧逼，[张丹]想要抄近路，迎头冲进了工地里，
1:15:58|1:16:16|谁知[皮埃尔]率先绕到了路的尽头，[张丹]加速冲过去，再次将[皮埃尔]甩到了身后，看到[皮埃尔]掏出了手枪，[Amber]急忙制止他，[皮埃尔]表示不会要他的命，[皮埃尔]对着[张丹]连连开枪，虽然避开了他的身体，却成功干扰到了他。
1:16:16|1:16:39|此时的[小宝]骑着沙滩摩托车带着[叶红]，两人穿梭在树林中，保安们对待手无寸铁的两人毫不手软，两人一边逃跑，一边躲避着身后的枪林弹雨，山上的公路正在维修，[张丹]没多久又遇到了几辆大货车，可是他没有减速，反而猛地冲上前去，在即将撞上的时候急转弯躲了过去。
1:16:39|1:16:52|他越过公路旁的大石块，想要抄近道甩掉[皮埃尔]，而[小宝]和[叶红]这时已经逃出了树林，来到了一片空地，失去了遮挡物的他们，处境变得更加危险。
1:16:52|1:17:2|[张丹]使尽浑身解数也没能甩掉[皮埃尔]，反倒给自己弄了一身的污垢，他像无头苍蝇一样只顾着向前跑，前方却没有路了。
1:17:2|1:17:3|[皮埃尔]狠下心，
1:17:8|1:17:21|同样被逼到绝境的[小宝]和[叶红]来到了河边，[小宝]却没有停车，反而冲进了水中。他按下车头的一个按钮，两边的轮胎瞬间旋转起来，摩托变成了一个快艇。
1:17:21|1:17:30|保安们停在岸边看着离去的两人，束手无策，[张丹]中了一枪后便倒地不起，疼得直打滚，摩托车也被甩飞出去。
1:17:31|1:17:39|[皮埃尔]将车停下，一边用枪指着[张丹]，一边下车，大步地向他走来，大喊道：
1:17:42|1:17:46|[张丹]挣扎着起身，一把将头盔扔到了地上，冲[皮埃尔]大喊：
1:17:46|1:18:0|[皮埃尔]冷笑道：[张丹]却不以为然，转身向摩托车走去，[皮埃尔]一枪打在了[张丹]的脚边，[张丹]被迫停了下来，
1:18:9|1:18:29|坐在车里的[Amber]看着被胁迫的[张丹]，心疼之色溢出眼底，[皮埃尔]用枪指着[张丹]的脑袋想要逼迫他投降，身后却冲来一辆车，[皮埃尔]躲闪不及，摔倒在地，他没有想到[Amber]竟临阵倒戈，背叛了自己。
1:18:29|1:18:36|[皮埃尔]站起身来，望着两人逃跑的方向，呆滞地站在原地，久久不能回神。
1:18:36|1:18:42|[Amber]带着[张丹]一路疾驰，不一会儿便逃到了公路上，两人一路无言。
1:18:44|1:18:50|[张丹]坐在副驾上，时不时偷瞄一眼[Amber]，却不知该如何打破沉默。
1:18:50|1:18:56|他思考良久，忍不住扭头盯着[Amber]，欲言又止，[Amber]嗔怪道：
1:19:32|1:19:55|时隔五年，[张丹]终于将心中的秘密说给[Amber]听，[Amber]回过头，看到[张丹]还在流血的胳膊柔声道：[张丹]不顾伤口的疼痛，笑着调侃[Amber]，[Amber]也忍不住笑了起来，两人冰释前嫌。
1:20:32|1:20:37|[金刚]突然出现，带领着一行人从一旁的树林里走了出来。
1:20:37|1:21:9|[张丹]几人愣在了原地，扔下了手中的降落伞，两拨人面对面地站在悬崖边，[金刚]盯着[张丹]满脸笑容，[金刚]脸上的笑容微动，将手伸向一旁，手下们见状纷纷掏出枪对着他们，
1:21:18|1:21:41|[张丹]将手伸向了背后的手枪，却被[叶红]一把夺走，[叶红]用枪指着[张丹]，[金刚]看着[叶红]露出了满意的笑容，[张丹]红着眼睛，对着[叶红]扯出一个笑容，脸上的肌肉抽动着，
1:21:44|1:21:53|[叶红]用枪指着[Amber]带她一起向[金刚]的身后走去，[金刚]得意地对着[张丹]晃了晃手中的灵之泉。
1:21:53|1:22:0|与此同时，[皮埃尔]带着大批警车沿着山路赶来，前来抓捕[张丹]一行人，
1:22:0|1:22:9|[叶红]跟着[金刚]的人赶忙上了飞机，并且带走了[Amber]。[张丹]看着眼前发生的一切无可奈何，
1:22:9|1:22:13|[金刚]上了飞机之后还不忘威胁[张丹]。
1:22:16|1:22:34|直升机缓缓起飞，[张丹]喊道：[小宝]这才反应过来，赶忙拿出蜘蛛扔向直升机，蜘蛛顺利地粘在了直升机的底盘上，随后慢慢从两人的视线里消失远去。
1:22:34|1:22:48|就在这时，一大批的警察赶到了山顶，两人转身一看已经被团团包围了，其中一名警察手持着喇叭大喊道：
1:22:49|1:22:54|[皮埃尔]从车里走了出来，怒气冲冲地盯着[张丹]，
1:23:0|1:23:17|看着来势汹汹的警察，[小宝]不再犹豫，转身跳下了悬崖，十几名全副武装的警察从四面八方一拥而上，朝[张丹]逼近，[张丹]放弃了抵抗，缓缓将双手举过头顶，等待着被抓捕。
1:23:17|1:23:30|警察局里，两名警察站在审讯室的门口看守着[张丹]，他坐在桌子前低着头，手上戴着手铐，一个胖警官在他的身边踱着步问道：
1:23:33|1:23:38|[张丹]的死对头[皮埃尔]出现在了门外，胖警官开门说道：
1:23:40|1:23:45|[皮埃尔]开门见山地问道：
1:23:52|1:23:58|[皮埃尔]拉开椅子坐了下来询问[张丹][金刚]的下落，[张丹]摇摇头说道，
1:24:7|1:24:16|[张丹]淡定地看了一眼房内的摄像头，凑近[皮埃尔]说道：
1:24:42|1:25:5|[张丹]坚定地点了点头，[皮埃尔]放下戒心，拿出钥匙替他解开了手铐，[皮埃尔]不动声色地看着[张丹]，这次，他选择了相信自己的对手，而此时[金刚]带着一行人已经逃到了乌克兰基辅，在一个毫不起眼的烂尾楼外，周围杂草丛生，楼下停着两辆车，
1:25:5|1:25:22|几个人在车的周围转悠着，鬼鬼祟祟地留意着四周的情况，烂尾楼内，[Amber]被绑在了椅子上，周围几个人在看管着她，[金刚]拎着一个手提箱走下楼梯，随后将箱子放在了[Amber]身旁的桌子上。
1:25:22|1:25:31|他看着[Amber]冷笑一声，随后一脸得瑟地将箱子打开，箱子里，是三条项链拼凑完整的GAIA。
1:25:32|1:26:3|[叶红]坐在一旁的木箱子上，面无表情地看着[金刚]，无意间，瞄到了角落里悄悄移动的蜘蛛，[金刚]提起箱子往外走，[叶红]叫住他，此时[张丹]和[小宝]已经跟随他们来到了烂尾楼的附近，两人坐在车里盯着电脑屏幕，在蜘蛛的监控下，他们对里面的情况了如指掌，
1:26:13|1:26:32|[张丹]笑了笑说道：[张丹]无视了[小宝]的疑虑，转身小心翼翼地打开车门走了出去，这时电脑上的监控画面突然花屏，蜘蛛失去了信号，[小宝]急忙地将遥控器举起来寻找信号，却于事无补。
1:26:32|1:26:46|[张丹]在腰间绑着一个小包，右手持枪穿梭在杂草丛的小树林中，[张丹]猫着身子小心翼翼地慢慢靠近烂尾楼，[小宝]打开车门检查车顶的信号接收器，
1:27:1|1:27:17|[小宝]看着[叶红]，眼里满是无奈与困惑，这时[张丹]已经爬上了烂尾楼，整栋楼破旧不堪，没有一丝生气，危机四伏，墙体和窗户已经坍塌，将楼里的一切暴露在外。
1:27:17|1:27:46|[张丹]来到了[金刚]一行人所在的房间，他小心翼翼地探出脑袋，双手持枪观察着周围迅速跑进来，躲在了一扇墙后，确认安全后，他举枪冲进房间，令人意外的是，房间内空无一人，桌上放着一个俄罗斯套娃，外表是[张丹]的画像，[张丹]困惑不已，慢慢走上前去盯着套娃陷入了思考，随后慢慢地俯下了身子，
1:27:46|1:28:4|他轻轻地将套娃打开，里面的一层变成了[Amber]的画像，他继续一层层地打开，紧接着便是[小宝]，而最后一层是[叶红]，他皱着眉头不明所以，伸手去拿最后一层，却发现里面是一个定时炸弹。
1:28:4|1:28:10|他被吓了一跳，急忙将手弹开，缓缓起身，倒计时走到了零，[金刚]出现了。
1:28:31|1:28:46|这时[小宝]也被[金刚]的人押送了过来，[叶红]站在最后面，默不作声。
1:29:2|1:29:27|[张丹]死死地盯着[金刚]，眼神低沉又凶狠，[金刚]笑了笑，示意手下将[Amber]和[小宝]推向[张丹]，扭头对[叶红]说道：
1:29:37|1:29:47|[金刚]看了一眼神情古怪的[叶红]，伸出手拍了拍她的肩膀，随后扭头看着[张丹]，眯着眼睛以示威胁，带着身后的手下转身下了楼。
1:29:47|1:30:12|[小宝]的视线一直没有离开[叶红]，眼睛里满是气愤与失望，[叶红]眼眶湿润发着愣，不一会儿便回过神来，用枪指着[张丹]，[金刚]带着手下来到了一个黑漆漆的工厂，[金刚]与一个白胡子老头握了握手，
1:31:6|1:31:17|[金刚]半信半疑地把箱子递给他，一旁的鉴宝师接过箱子，此时的烂尾楼内，[叶红]拿着枪坐在板凳上，翘着二郎腿，
1:31:46|1:32:0|[叶红]冷着脸，慢慢将枪举起来对准了[张丹]。与此同时尤里克的鉴宝师打开了箱子，戴上手套，轻轻地拿出了GAIA查看，
1:32:3|1:32:10|远处突然传来了一声枪响，尤里克的手下立刻拔出武器，指着[金刚]，
1:32:17|1:32:29|尤里克的手下却不放心，依然举着枪，直至尤里克发话才将枪放下。[金刚]故作轻松地让他们继续，鉴宝师见状继续忙活了起来。
1:32:29|1:32:36|尤里克紧紧盯着对面的人，鉴宝师抬头对尤里克点点头，尤里克便发话让手下进行交易。
1:32:37|1:32:54|[金刚]满脸堆笑，眼神里尽是得意，背过身子站在一旁，[金刚]的手下走到桌前，鉴宝师将电脑打开示意他输入银行账号，[张丹]的声音打破了寂静。
1:32:56|1:33:23|[张丹]用枪指着[叶红]的后脑勺，从一旁的楼梯上慢慢往下走，[金刚]的脸上闪过一丝疑虑，随后变得愤怒不已，他从身后掏出了手枪，毫不犹豫地对[叶红]的胸前中了一枪，倒在了[张丹]的眼前，[张丹]立马蹲下来查看情况，他难以置信地扭头说道：手下将他们的对话翻译给了尤里克，
1:34:51|1:34:57|[叶红]突然起身一枪打掉了[金刚]的武器。
1:34:58|1:35:23|[叶红]拉开外套的拉链，说道：外套里是一件防弹衣，[金刚]气得怒目圆睁，却被[张丹]的手枪抵着额头，[张丹]将手枪上膛，回忆涌上心头，回忆里，白胡子老头给牢里的[张丹]报信，
1:35:23|1:35:53|他聘请了东欧仔，抢了你的森之瞳，随着记忆中警车的爆炸声，[张丹]的思绪被拉回了现实，他恶狠狠地咬着牙，恨不得立马开枪打死[金刚]，这时[小宝]的蜘蛛出现在角落里，对着屋内的众人伸出了一个枪口，此时[小宝]和[Amber]躲在暗处，焦急地操控着蜘蛛的运行，
1:35:53|1:35:58|另一只蜘蛛也从暗中爬了出来，从肚皮中伸出了一个枪口。
1:35:58|1:36:5|[张丹]犹豫了片刻，伸手关上保险，将手枪从[金刚]的额前慢慢移走。
1:36:5|1:36:16|[金刚]恶狠狠地看着[张丹]，毫不畏惧，[张丹]扭头对着尤里克说道：尤里克欣然接受，
1:36:16|1:36:28|白胡子老头将他的话翻译给了[金刚]听，尤里克又缓缓说道：[金刚]想到刚才的机器，
1:36:28|1:36:37|嘴唇忍不住颤抖，[小宝]准备开始行动了。
1:36:41|1:36:48|其中一直吊在房顶的蜘蛛引爆了自己，引得众人纷纷拿起武器展开了枪战。
1:36:48|1:37:15|在混乱中，[叶红]掩护着[张丹]一把偷走了桌上的GAIA，这一切没有逃过[金刚]的眼睛，[金刚]急忙起身拿着一把机关枪追了上去，[张丹]和[叶红]从枪林弹雨中逃了出去，不料此时[金刚]已经追了上来，[金刚]开枪射击，将两人逼到了角落，
1:37:18|1:37:26|两人躲在了一块巨大的钢板后，[张丹]时不时地向后开一枪，但是终究抵不过[金刚]手里的机关枪。
1:37:26|1:37:48|此时的[金刚]气急败坏，发了疯一样地拼命射击，[张丹]和[叶红]对视了一眼，知道这样僵持着不是办法，[张丹]便将手中装有GAIA的手提箱扔了出去，[金刚]见状立马扔下枪，提起箱子就往外跑，他的手下将车开到了门口，[金刚]边跑边留意身后，
1:37:49|1:38:1|上车后，一前一后两辆车立马逃之夭夭，[Amber]和[小宝]一直躲在角落里暗中观察，看到[金刚]一行人逃走，两人急忙推开门追了出来。
1:38:1|1:38:7|此时，死里逃生又拿到宝物的[金刚]露出了得意的笑容。
1:38:7|1:38:20|他突然听到箱子里有什么动静，脸色一沉打开箱子一看惊呼道：箱子里放着那颗套娃炸弹，显示距离是九百九十八米，
1:38:24|1:38:32|距离立马变为一千米，[张丹]四人站在天桥上，看着不远处爆炸产生的浓烟，唏嘘道：
1:38:42|1:38:48|[张丹]却面无表情，从兜里掏出了GAIA，放在了[小宝]眼前。
1:38:50|1:39:0|原来就在刚才他们被[金刚]追杀时，[张丹]就已经偷偷地将GAIA与炸弹掉包，
1:39:14|1:39:33|不等[Amber]回答，[张丹]便亲了她一口，随后两人仿若无人地拥吻在了一起，[小宝]盯着两人看，[张丹]睁着眼睛给[小宝]使了一个眼色，[小宝]瞬间领会，他含情脉脉地看向[叶红]，嘟着嘴巴凑了过来。
1:39:34|1:39:43|谁知[叶红]甩了[小宝]一个耳光，给了他一个白眼，[张丹]忍不住笑出声来，[小宝]尴尬不已，说到：
1:39:55|1:40:9|[张丹]的一句话逗笑了四个人，大家笑得前仰后合，惊心动魄的一天就这样过去了。一切都尘埃落定，万恶之源，[金刚]已经自食恶果。
1:40:9|1:40:14|[张丹]和女友[Amber]也解除了多年来的误会，重归于好。
1:40:14|1:40:31|此时的[皮埃尔]就在家中享受着清晨的阳光，他的手里拿着一份报纸，一条新闻吸引了他的视线，标题是：GAIA已物归原主，捐赠者身份成疑，[皮埃尔]喜笑颜开，赞许地点点头。
1:40:31|1:40:36|门外突然有人敲门，[皮埃尔]连忙将报纸放在茶几上，起身去开门。
1:40:39|1:40:41|快递员向[皮埃尔]问了句早安，将一个纸盒递给了他。
1:40:41|1:41:6|[皮埃尔]一边道谢一边接过纸盒，随后用小刀一点一点地将其拆开，他看了一眼不禁愣住了，将里面的一个精致的盒子拿了出来，眼底是藏不住的笑意，他打开盖子，映入眼帘的是一对刻着龙纹的保定球，他将保定球拿出来把玩着，喜爱之情溢于言表。
1:41:6|1:41:16|[张丹]开着一辆豪华跑车，行驶在田野间，身旁坐着[Amber]，[Amber]轻抚着被风吹乱的发丝，开心地欢呼着。
1:41:16|1:41:29|后排的[小宝]戴着墨镜，跟随着音乐节奏耍酷，[叶红]咬着棒棒糖兴奋地张开双臂，四人肆意地大笑着，俨然一副人生赢家的姿态。
1:41:29|1:41:37|影片到这里就要跟您说再见了，感谢您的聆听，现在为您讲述彩蛋部分。
1:41:37|1:41:46|野外的公路边，[张丹]和[小宝]站在了树下解手，[叶红]站在了不远处，正在使用[小宝]的小便神器。
