0:0:53|0:0:58|影片开始，[成哥]的女婿[万Sir]在天桥上抽着烟等人。
1:1:32|1:1:41|而被强制休假的[万Sir]，独自坐在空荡的家中，他看着这个和[祖儿]一起生活多年的房间，心中难过的情绪将他包围。
1:1:46|1:1:50|身为警察的[万Sir]从未感到如此的无力。
1:1:50|1:1:54|这时门铃响了，[万Sir]如同行尸走肉般缓缓将门打开。
1:1:58|1:2:7|[万Sir]有气无力地签好名后关上了门，他还无法从[左儿]死去的事实中走出来，他不想和外界沟通，便一句话都没和快递员说。
1:2:7|1:2:17|当他拆开信封后，是[左儿]死都不愿意交出的底片，心情烦闷的[万Sir]并没有心情去看，但警察的直觉让他觉得这组底片并不简单。
1:2:18|1:2:27|[万Sir]看着漆黑的底片，却并不能直接看出照片的内容，于是他出门，来到了打印店，将照片印了出来。
1:2:27|1:2:33|就在他一张张翻看时，恰好看到了黄志强在船舱内拍到了谭林尸体的照片。
1:2:33|1:2:40|他立刻摘掉墨镜仔细看了看，确认内容后，他来到监狱探望父亲，父亲见到他后安慰道。
1:3:31|1:3:39|[万Sir]见父亲若有所思，便掏出写好的照片递到父亲面前，然后当着父亲的面继续分析道。
1:4:52|1:4:56|说来也巧，就在父亲思考时，[阿华]也来看望父亲。
1:4:56|1:5:3|[万Sir]见[阿华]来后，便知道自己的探视时间已经到了，于是识趣地自己走了出去。
1:5:4|1:5:10|[万Sir]并没有理会[阿华]，而是站在门外，眼睛湿润地看着[阿华]的一举一动。
1:6:23|1:6:24|第二天在监狱的牢房里。
1:6:47|1:6:48|老黄急忙解围。
1:7:9|1:7:14|老黄是[成哥]在江湖上的兄弟，[成哥]和老黄计划着上演一场苦肉计。
1:7:14|1:7:30|就在[成哥]正淋浴的时候，突然从外面冲进来三名小弟，一名用毛巾勒住[成哥]的脖子，其余两名用牙刷当凶器刺向他，猝不及防地偷袭，让身经百战的[成哥]都无法还手，很快便被打倒昏迷，还好狱友叫来了狱警。
1:7:37|1:7:42|很快，受重伤的[成哥]便被监狱的车辆紧急送往医院救治。
1:7:42|1:7:52|躺在担架上的[成哥]带着氧气面罩陷入昏迷中，一同随行的医生时刻看着他的情况，而车内的狱警却掉以轻心地打起了瞌睡。
1:7:52|1:7:54|车开到郊外时，[成哥]突然清醒，开始摇晃。
1:7:59|1:8:5|可就在这时，[成哥]一把摘掉氧气面罩，恍然起身将医生打晕到一边。
1:8:5|1:8:10|惊醒的狱警刚睁开眼，还没搞清状况，便被[成哥]踹下车。
1:8:10|1:8:18|可怜的狱警在地上连滚带爬，好在没有生命危险，[成哥]也抓住机会跳下警车，向一旁的树林中逃离。
1:8:18|1:8:22|很快，望永强便在电视上听到了父亲越狱的消息。
1:8:36|1:8:41|望永强听后，低头思索着，这时，警局中的领导开会说道，
1:8:47|1:8:49|他一出来第一件事，就会去找[大傻]。
1:9:0|1:9:8|陈队长，夜晚，[大傻]回到家后，在门口看到了警车，便毫不客气地询问。
1:9:26|1:9:30|[大傻]得意地嘲讽完后，便让小弟一脚油门，开进了豪宅。
1:9:30|1:9:34|门口的警察对[大傻]十分不爽，但也只能忍气吞声。
1:9:34|1:9:41|带车开到门口后，[大傻]得意痒痒地从车里下来，身旁还搂着两个小妹。
1:10:3|1:10:21|就在这时，房间的木门被散弹枪瞬间击碎，[成哥]一脚踢了木门，对着[大傻]就是一枪，但[大傻]反应快，一个飞扑撞碎玻璃逃出了房间，小弟们见状掏枪还击，但还没瞄准好，就被[成哥]一枪一个全部解决，[成哥]还要继续追击。
1:10:25|1:10:34|但警察都是[万Sir]的同事，见到[成哥]也没有立刻开枪，[成哥]很清楚这一点，便没理他们，静止朝[大傻]逃跑的方向追去。
1:10:34|1:10:42|[大傻]一路逃到泳池边，见前方无路可逃，他直接跳进泳池，这时，收到通知的大批特警也赶到豪宅外。
1:10:48|1:10:51|[大傻]憋着气，藏在泳池底部，不敢露头。
1:10:51|1:10:55|[成哥]愤怒地朝水面乱开枪，这时，特警只从赶到。
1:10:58|1:11:7|气急的[成哥]不管不顾地朝水下开枪，在两声枪响后便发现枪没了子弹，这时特警见状也开始向[成哥]开火。
1:11:7|1:11:21|成哥见状急忙躲到树林里，还好在夜色的加持下，特警没能击中成哥，[万Sir]的同事们也及时赶到救出[大傻]。
1:11:21|1:11:25|成哥见[大傻]路头准备拿手枪继续射击，却突然被一个蒙面人带走。
1:11:31|1:11:35|事后，[万Sir]的同事们悄悄地在树林里寻找成哥的踪迹。
1:11:35|1:11:41|与此同时，成哥已经被蒙面人骑着摩托带到了安全地点。
1:11:41|1:11:45|但二人进入房间后，才发现蒙面人就是[万Sir]。
1:11:45|1:11:49|他警觉地关好门，拉上窗帘，随后转身问道。
1:13:2|1:13:15|[万Sir]缓缓起身走到父亲身边，手轻轻地搭在他的肩膀上，安慰地说道。
1:13:15|1:13:19|就在这时，门铃突然响了起来。
1:13:27|1:13:32|[万Sir]见父亲走进卧室后，趴在猫眼看了看，确认是同事后才打开门。
1:13:46|1:13:52|王哥则手足无措地坐在卧室里环顾自周，随后便听到几人在客厅商量。
1:14:4|1:14:9|这时，[阿敏]拿出一个黑匣子，交给了[万Sir]，并对他说道。
1:14:30|1:14:33|听完录音带的内容后，在场的众人都沉默了。
1:14:33|1:14:37|在卧室的[成哥]听到之后，更是劳累纵横。
1:14:54|1:14:59|[万Sir]这会儿根本没有心思和[同事]开玩笑，[阿敏]见状说道。
1:15:5|1:15:11|[阿敏]在收拾屋子时，意外看到一份写着123清洁香港大行动的报纸。
1:15:19|1:15:26|父亲将几人的对话听得一清二楚，转眼第二天，[阿华]等人便和曹老板联系。
1:15:26|1:15:32|[大傻]和[阿华]几人带着小弟装成小学老师，他们神态轻松地从大巴车上走下来。
1:16:28|1:16:34|曹老板和[大傻]两拨人得意洋洋地看着小学生们卖力地将毒品都捡到垃圾袋中。
1:16:34|1:16:38|殊不知，[万Sir]已经带人在暗中观察他们。
1:16:38|1:16:47|单纯的小学生和老师们，还不知道自己已经沦为工具。
1:16:58|1:17:9|这时，汪永强不经意间，看到了[成哥]手持手枪，也埋伏在一边。
1:17:9|1:17:14|[同事]们还摸不着头脑时，汪永强已经赶到了[成哥]面前。
1:17:30|1:17:43|面对女婿的阻拦，[成哥]犹豫不决，不料就在[成哥]犹豫的跟腹，望永强突然对父亲出手，先是一把夺过父亲的手枪，随后毫不留情地将父亲撂倒，紧接着跟上去，一掌将父亲敲晕。
1:17:45|1:17:48|王永强说吧，便给父亲戴上了手铐。
1:17:48|1:17:55|另一边，[大傻]为了演的逼真，还给学生们准备了雪糕和饮料。
1:18:2|1:18:7|毒品收集得差不多后，手下们将毒品拿到[大傻]和[阿华]面前。
1:18:7|1:18:12|[阿华]看后十分满意地和手下点了点头，这也预示着他们的交易成功了。
1:18:12|1:18:18|与此同时，被[万Sir]敲晕的[成哥]也逐渐恢复了意识，可手上的手铐将他拦住了。
1:18:18|1:18:24|这时，[大傻]和曹老板等人来到桌前，一人开一瓶饮料，提前庆祝了起来。
1:18:30|1:18:33|就在这时，[万Sir]的[同事]突然赶到。
1:18:55|1:19:3|警察听命后，立马打开几个小弟手中的纸箱，却发现里面全是崭新的百元大钞，急忙向[万Sir]汇报道。
1:19:24|1:19:27|老叶说法，便冲到沙滩边查看情况。
1:19:27|1:19:34|他看着小学生们拖着一袋又一袋的垃圾朝回收点走去，一时间也没有发现什么端倪。
1:19:34|1:19:41|身为多年刑警的老叶，知道此事绝不简单，但看着满沙滩不同种类的垃圾袋，一时间也犯起了难。
1:19:41|1:19:48|这时，一个小学生的垃圾袋中露出了一些细小的粉末，老叶捏起一搓，发现就是毒品。
1:19:48|1:20:1|他刚想汇报，没想到却被人开枪击中手臂，刚才还平静响火且充满怀生笑容的沙滩，刹那间如同战场一般枪云弹雨，[万Sir]见状急忙喊道。
1:20:1|1:20:17|[大傻]一脚踹翻餐桌，拿出提前站在餐桌背面的机枪，手下们拿好枪后疯狂扫射，[万Sir]几人急忙反击，可此时沙滩上到处都是逃散的学生和老师还有游客，[万Sir]见状急忙向其他警察们喊道。
1:20:25|1:20:34|小弟们将大把的钞票扔向空中，刚才还害怕到抱头的游客们，见到钱之后也不怕匪徒开枪，都一股脑子蜂拥而上。
1:20:34|1:20:39|此刻，他们的眼中只有钞票，一眨眼的功夫，道路上已经被围得水泄不通。
1:20:48|1:21:6|[万Sir]带队，继续朝暴徒们追去，眼看这里越来越近，暴徒回头，继续无差别扫射，[万Sir]连忙指挥打，小弟们朝[万Sir]射击，[万Sir]反应迅速趴在地上，随后转身反杀了两名小弟，另一边，[阿华]和小王也追上了曹老板。
1:21:8|1:21:13|二人开枪，击毙了拿着钱箱的小弟，歹徒见状，愤怒地还击。
1:21:13|1:21:15|小王立马扑倒[阿敏]，但自己也被击中。
1:21:20|1:21:38|曹老板甩掉警察后，吉芒和小弟朝不远处的轿车跑去，[阿敏]连滚带爬，吉芒调整好姿态后，朝二人射击，但无奈二人太灵活，还是让他们上了车，即使是这样，[阿敏]也没有放弃，他直接跑向一旁的小路，刚好二人的车辆失了。
1:21:39|1:21:55|[阿敏]不顾危险地直接跳上车顶，但光滑的车顶没有让他借力的地方，很快他便从车顶滑落，即将掉下车时，[阿敏]抓住了车辆后面的保险杠，而身体也被汽车拖着前行，不一会儿便被司机借助前方的油桶甩掉，[阿敏]不顾胸痛。
1:21:55|1:22:5|起身急忙射击，一枪精准打爆了汽车的油箱，汽车瞬间起火，行驶几秒后便突然爆炸，曹老板和小弟双双迷人车中。
1:22:5|1:22:12|另一边，[万Sir]追着[大傻]和[阿华]，来到了一处废弃的大楼里，双方边跑边射击，但都没有击中对方。
1:22:12|1:22:14|这时，[成哥]也潜伏进了大楼。
1:22:16|1:22:23|[阿华]听后，伸手敏捷地朝楼上爬去，而[大傻]则是藏进房间里，通过窗户观察着[万Sir]。
1:22:23|1:22:31|刚好[大傻]进的房间就是[成哥]躲藏的地方，见[大傻]来后，没有武器的[成哥]悄悄地躲到了木板后。
1:22:31|1:22:38|[大傻]打碎玻璃，将机枪伸出窗外，瞄准着[万Sir]的方向，而[成哥]则屏住呼吸，一点点地挪动着身体。
1:22:39|1:22:45|奈何左手被[万Sir]靠在了水管上，[成哥]还得小心手铐发出的声音。
1:22:45|1:22:54|这时，[大傻]看到[万Sir]便果断射击，力行不力的[万Sir]先是躲避，随后趁[大傻]攻击的间隙，飞升来到了另一边。
1:22:54|1:23:2|不料，屋顶上的[阿华]突然向他开火，[成哥]为了挣脱手铐，竟然忍着剧痛，准备强行将手铐摘掉。
1:23:2|1:23:5|但是手铐摩擦骨头的声音，还是被[大傻]听到。
1:23:6|1:23:10|[大傻]警惕地拿着机枪朝[成哥]的方向走去。
1:23:10|1:23:13|此时，[成哥]的手已经被手铐勒得血润满户。
1:23:13|1:23:20|就在这生死时刻，[成哥]大吼一声，挣脱了手铐，随后迅速撞破木板，将[大傻]扑倒在地。
1:23:20|1:23:30|此时，在楼外的[万Sir]听到动静后，也悄悄地转移位置，就在他移动到了[大傻]窗户内面准备射击时，忽然看到[成哥]正在暴打[大傻]。
1:23:30|1:23:33|他误伤[成哥]，便收枪跑进楼里。
1:23:33|1:23:36|就在进楼时，又和[阿华]发生了激烈的枪战。
1:23:36|1:23:41|阿华手持冲锋枪，但还是没能压制住满腔怒火的[万Sir]。
1:23:41|1:23:50|阿华一阵火力压制后，急忙钻进楼道里，望[永强]转角追到楼道里时，却发现了楼道里空空如也。
1:23:50|1:23:57|望[永强]看不见人后，瞬间提高警惕，手持手枪慢慢地向前摸索，楼道两边有几十个窗户。
1:23:57|1:24:4|望[永强]小心地环顾着四周，就在他紧张地排查时，阿华已经在楼上悄悄地伸出冲锋枪瞄准了他。
1:24:4|1:24:13|阿华无情地扣动了扳机，还好[万永强]反应及时，迅速躲避后进行反击，还好子弹只是击中了[万永强]的胳膊。
1:24:13|1:24:29|在楼里，[大傻]被[成哥]一脚踹飞，[成哥]立即扑上去继续暴揍，可这时，[大傻]捡起砖头，反手将[成哥]拍到一边，[大傻]立刻爬出去，拿到机枪疯狂小射，[成哥]此刻飞扑上来，打掉机枪，随后一脚将[大傻]踹吐血。
1:24:29|1:24:31|但[成哥]也被机枪击中腿部。
1:24:32|1:24:36|[成哥]靠着强大的意志力，扶着墙站起身来，朝[大傻]走去。
1:24:36|1:24:40|另一边，追击阿华的[万Sir]也陷入了被动。
1:24:40|1:24:45|他一路追去，直到走进了一个暗房里，四周只有几扇小窗透着微弱的光亮。
1:24:45|1:24:47|一时间，他也不敢贸然追击。
1:24:48|1:25:4|就在这时，躲在暗处的[阿华]突然从草垛中钻出，对着[万Sir]的方向，就是一阵扫射，[万Sir]一个前滚翻，从门口翻到房间角落，隐蔽自己，随后抓准时机瞄准开枪，一气呵成，直接击中[阿华]的腹部。
1:25:4|1:25:17|随后，[万Sir]机敏地躲到墙后，准备随时出击，等到一阵没有听到动静后，果断追了出去，一束光线照了进来，发现一条通道直通房顶，[万Sir]二话没说直接走上房顶。
1:25:23|1:25:28|另一边，因为[成哥]的胳膊和腿受到重创，战斗的优势已一边倒倒向[大傻]。
1:25:28|1:25:36|[大傻]拿着粗壮的木桩不停地砸向[成哥]，[成哥]行动不便，只能用身体硬生生地扛着每一次的重击。
1:25:36|1:25:47|终于，[成哥]抓住[大傻]攻击的间隙，全力地将[大傻]的腰绑住，[大傻]手里的木桩没办法发挥全力，[大傻]扔掉木桩，改用肘部击打着[成哥]的背。
1:25:47|1:25:52|[成哥]虽然手脚使不上力，但他张开嘴，狠狠地一口咬住了[大傻]的肚子。
1:25:52|1:25:57|[大傻]疼得大叫，慌忙把[成哥]甩在墙上，这才迫使[成哥]松开了嘴。
1:25:58|1:26:13|而[万Sir]在上了楼顶后，便也没发现[阿华]的踪迹，他小心地在房顶，朝着[阿华]可能走的路线缓慢前进，他轻手轻脚地尽量让自己不发出声音，可他没想到的是，[阿华]就藏在屋顶下方。
1:26:14|1:26:23|[阿华]听到动静后，对着屋顶就是一阵扫射，[万Sir]慌忙躲避，一不小心便从屋顶摔了下去，正好摔进了鸽子笼中。
1:26:23|1:26:30|鸽子受到惊吓后，纷纷在笼中扑腾，数不清的鸽子和羽毛，让[万Sir]无法看清外面的状况。
1:26:31|1:26:41|他在笼中手忙脚乱地摸索着，试图找到笼门走出去，而这时，[成哥]已经被[大傻]打得只剩半口气，全靠为着女儿报仇的怒火硬撑着。
1:26:41|1:26:46|这时，[大傻]拿起地上的绳子，套在[成哥]脖子上，准备将他勒死。
1:26:46|1:26:55|[万Sir]在笼子边缘恰好看到了这一幕，于是，他一个飞扑撞坏笼子，从顶楼滚到地上，对着[大傻]连开两枪，直接将其击毙。
1:26:56|1:27:10|可就在这时，[阿华]在[万Sir]的身后，射中了他持枪的手。
1:27:10|1:27:14|[阿华]惨无人道地开枪，连续击中了[万Sir]的四肢。
1:27:14|1:27:21|就在[阿华]准备一枪解决掉[万Sir]时，自己的腹部传来一阵撕裂般的疼痛，他难以置信地看向父亲。
1:27:25|1:27:30|就这样，[成哥]为了救下[万Sir]，亲手开枪终结了儿子[阿华]的罪行。
1:27:30|1:27:40|看着[阿华]从屋顶摔下，[成哥]的内心痛苦无比，嘴里不断地念着[阿华]的名字，但难过的情绪让他的喉咙发不出任何声音。
1:27:43|1:27:51|虽然损失惨痛，但[成哥]和女婿[万Sir]还是成功地端掉了香港的贩毒集团，也终于亲手为女儿报了仇。
