0:0:44|0:0:50|女子坐在银行的椅子上，把怀里的八哥放到了地上。
1:16:42|1:16:47|一个阿姨冲上来，质问一声，掉头就走，胡子大爷疑惑地追了出去。
1:17:14|1:17:19|武子大爷指着铁塔愣住了，阿姨顺之看了过去。
1:17:19|1:17:30|此时，[大徐]骑自行车回到了装甲车所在的路边，下车指着就问，[郑太太]慌张地退了一步。
1:18:19|1:18:20|[大徐]弄了弄。
1:18:26|1:18:31|你……你……[大徐]摸了摸鼻子，四处找着。
1:18:44|1:18:48|他朝车尾走了两步。
1:18:48|1:18:52|说着，他掏出手机转了个圈，擦了下屏幕，开始拨号。
1:18:52|1:18:56|[郑太太]还在后面扒拉着树枝，企图把树枝拿开。
1:18:56|1:19:0|[大徐]把手机放到耳边，却无人接听。
1:19:0|1:19:2|转过头后，他对[郑太太]说。
1:19:6|1:19:10|他又再次给[张俐]打电话，[张俐]在售楼部门口接起电话。
1:19:59|1:20:12|[大徐]眉头紧皱看着手机屏幕，[张俐]则回到前台，合上翻盖手机。
1:20:12|1:20:17|他一只胳膊冲在台子上，目光转向了刚刚拿出来的坦克模型，回忆起来。
1:20:50|1:20:56|他回忆起[王小坡]说过的话，又想到[大徐]的话，便打开手机拨通电话。
1:20:56|1:21:4|可等了一会儿，他合上手机皱起眉头，用食指戳着坦克模型。
1:21:4|1:21:9|画面回到装甲车旁，[郑太太]继续自己努力挪开树枝。
1:21:9|1:21:11|这时，[张俐]记者和[大徐]走了过来。
1:21:17|1:21:25|两人都惊讶地看向装甲车，[大徐]从包里掏出相机准备拍照，[张警官]则一手掏出电话转身接听。
1:21:29|1:21:32|[大徐]停下拍照的动作，转到[张警官]身旁。
1:21:48|1:21:50|[郑太太]蹲在地上也听着。
1:22:1|1:22:3|[郑太太]凑过来。
1:22:57|1:23:8|下面有人用一只手等着阳光，有人双手插腰，还有人交谈着，所有人的目光都集中在铁塔上，人群后，警车已经赶到。
1:23:8|1:23:11|[张警官]拨开人群，同事们紧随其后。
1:23:14|1:23:17|三个警察[张和哥哥]，把人群朝后推动着。
1:23:17|1:23:23|[张警官]面朝铁塔，看了一遍上面，拿过同事手里的喇叭，调试好后。
1:23:30|1:23:32|只见铁塔上的身影活动起来。
1:25:11|1:25:12|消防车驶过来停下。
1:25:23|1:25:32|[张警官]声音渐弱。
1:25:32|1:25:35|庄家车旁，[郑太太]终于抽出了庄日前的袋子。
1:25:44|1:25:51|[郑太太]从袋子里掏出纸包好的钱，沈彦拍了拍陈记者，[郑太太]拿出一叠钱。
1:26:32|1:26:35|瘦肉部内，[张力]看着报道。
1:26:38|1:26:40|[大徐]接起电话。
1:26:40|1:26:48|他一只小臂全冲在车上，一手拿着手机，边听[张力]说话边眨着双眼。
1:26:48|1:26:54|他的身子直了一些，眼珠快速地转动着。
1:27:8|1:27:16|陈记者硬生拉过去，而[张俐]和上手机就往外跑，焦急的出发去找[王小坡]。
1:27:16|1:27:18|铁塔旁，升降机已经升起来。
1:27:20|1:27:29|[王小坡]看着缓缓靠近的升降机，上面有两个消防员带着安全帽看着自己，他张开嘴转过头，十分的无奈。
1:27:52|1:27:57|生降机缓缓下降，地面上[张俐]就要闯过警戒线。
1:27:59|1:28:1|[大徐]直接冲向盲小户。
1:28:45|1:28:53|[大徐]快的装甲车，陈记者扮起身子露出车顶，向路人挥着手。
1:28:53|1:29:4|装甲车刚刚驶过的路口，一位小伙骑着自行车拐弯，旁边的施工架上却掉下一个油脂粉放在他的脑袋上，小伙失去方向，哭倒在了两个老人的围棋桌上。
1:29:6|1:29:11|一位二楼的阿姨正开向车外，却被装甲车挂走了亮着的内衣。
1:29:11|1:29:17|陈记者全然不知，在车顶上双手抱拳后又挥着手，高兴地笑着。
1:29:17|1:29:25|街上的小孩追着装甲车，还有几个停下来看着摔倒的小伙，两个下围棋的老人揪着满头油气的小伙。
1:29:26|1:29:30|床下的装甲车却已经驶上了另一条路。
1:29:30|1:29:34|江边的宽马路上，装甲车缓缓地在非机动车道上行驶。
1:29:34|1:29:39|警车赶了上来，在路口处拐进去，逼停了装甲车。
1:29:39|1:29:45|陈记者在上面做了个停的手势，[张警官]和[王小坡]纷纷下车，[大徐]连忙跑过来。
1:30:17|1:30:24|另一边，[郑谨]正在家，眉宫紧皱地坐在沙发上，手上拿着一份报纸，翻过去又翻回来。
1:30:24|1:30:30|这时，[郑太太]推开门，[郑谨]合上报纸又忙起身，从两个沙发中间翻过去，上前问道。
1:30:40|1:30:45|[郑太太]疲惫地一屁股坐在沙发上，[郑锦]则给她捏着肩。
1:30:48|1:30:49|[郑锦]弯着腰问道。
1:30:53|1:30:55|[郑锦]想了想。
1:30:56|1:30:58|[郑太太]斜了个白眼。
1:31:2|1:31:12|钱哪是未知物啊，只要我们家[郑小坡]满满平安回来，正经停下按摩的手，坐回沙发上，而[郑太太]一言不发地看向他。
1:31:12|1:31:15|此时，[张警官]已经把人都带回了警察局里。
1:31:19|1:31:21|女儿[张俐]站在最右边，开口说道。
1:32:0|1:32:3|陈记者边在笔记本上写着，边点头。
1:32:24|1:32:30|[张警官]对着刚进来的同事说道，[张俐]想教育生爸，[张警官]却已经走了出去。
1:32:42|1:32:51|另一边，可以看见穿着睡衣的[郑锦]在路灯旁半蹲着，捡起下面的塑料袋，而这一切被[郑太太]看在了眼里。
1:32:51|1:33:0|[郑锦]翻开塑料袋掏出钱栽进怀里，同时不停留意着查看身边是否有人，然后她轻手轻脚地回到家里。
1:33:2|1:33:10|[郑太太]已经躺在了床上，[郑锦]小心地靠近床边坐了上去，摘下眼镜后，慢慢地放上双腿躺了下来。
1:33:10|1:33:16|她抱着双臂挠了挠，又抠了抠眼角，最后摸了摸脖子上的伤口。
1:33:16|1:33:24|郑太太则侧过头看向她，扯了一下嘴角之后，翻了一个身，拉起被子的一边给她盖上。
1:33:29|1:33:32|镜头向上，床头的墙上是两人的合照。
1:33:32|1:33:45|合照里，郑锦坐着小狗的模样，两只手像爪子一样放在胸前，[郑太太]则双手搭在她的肩膀上，两人头靠着头。
1:33:45|1:33:50|画面回到警局内，一个女警走进来。
1:34:34|1:34:37|说完，[大徐]耸着肩膀走了出去。
1:34:40|1:34:43|走吧，拉着他也走了出去。
1:34:48|1:34:53|进去外，采访着程记者的记者们，看见[王小坡]纷纷跑不上去。
1:34:56|1:34:58|[王小坡]低头想了想说道。
1:35:40|1:36:6|但是我觉得，只要我们星辰，只要想去做努力去做我们的梦想都会实现[张俐]也抓住[王小坡]的手我妈总是担心你不能给我一个幸福安全的家确实你也没有大的房子也没有好的工作两人紧紧松拥，周围的人都鼓起掌来。
1:36:24|1:36:31|画面来到一片草地上，在众人的掌声中，新娘提着婚纱裙摆，慢慢地走上裙盆。
1:36:31|1:36:36|[张警官]为女儿挽着胳膊，顾着牙齿，高兴地笑着。
1:36:36|1:36:44|地毯的左前方停着那辆装甲车，而新郎[王小坡]正在等待着他的新娘，他悄悄地整了整自己的西装。
1:36:44|1:36:48|[张警官]将[张俐]的手交给[王小坡]，两人对视一眼。
1:36:56|1:37:9|郑锦弯腰看向一边，大家都沉默了一会儿，[张太太]挽着[张警官]开口讲话，几个人都笑了，也开口说几话，大家都认真地听着。
1:37:10|1:37:25|又看向了[王小坡]，[王小坡]听着[张警官]的话，使劲点了下头，[张俐]则欣慰地低下头，说完，[张警官]就捂住自己的眼睛，侧身转过来，大家都鼓起掌来，这时，[大徐]起空道。
