0:4:8|0:4:11|故事要从狐族的居住地青丘开始讲起。
1:10:9|1:10:14|叶华将头紧贴[白浅]的额头，[白浅]把玩着她脸庞的长发。
1:10:22|1:10:28|[白浅]同她鼻尖抵着鼻尖，双手环上她的颈部，忍不住凑上去，亲了亲她。
1:10:28|1:10:31|夜华也捧着她的脸，温柔地回吻着她。
1:10:31|1:10:41|她的唇从[白浅]的唇移到她的手上，又移到她的下巴上，一点一点细细轻咬着，同时又将她终身的衣物脱去。
1:10:41|1:10:49|嘴唇又沿着下巴，一路移向她的嘴角，柔柔地清理一会儿后，手便抚过她的后腰，扶着将她压倒在床上。
1:10:49|1:10:54|两人的唇短暂分离后，又重新粘在一起，撕磨起来。
1:10:54|1:10:58|天宫里，那颗不开花的铁树，此时也绽开了花瓣。
1:10:58|1:11:5|这一夜浮浮沉沉，等到夜华再次醒来时，[白浅]还依偎在他的胸膛上沉睡着。
1:11:5|1:11:9|夜华搂着[白浅]，脸上洋溢着幸福的笑。
1:11:9|1:11:15|[白浅]醒来后，回到了青丘，她来到盐滑洞内，看着师父[墨渊]的宾馆，开口道。
1:12:11|1:12:20|[白浅]说完话，脸上不禁浮现出笑意，九重天上，太子夜华正在书桌前看书，侧妃[素锦]在旁边说道。
1:12:38|1:12:43|叶华没有说话，只是盯着手中的书，而脑子里却想着肃静的话。
1:12:43|1:12:48|[白浅]从青丘回到九重天后，[夜华]向她提出了一个要求。
1:12:51|1:12:57|[白浅]再次拿起梳子，像在凡间俊吉山一样，细细地为[夜华]整理着发丝。
1:13:26|1:13:33|[夜华]转身，抓住[白浅]的手，见他一言不发，又起身继续向他说道。
1:13:49|1:13:58|[夜华]将[白浅]揽入怀里，将自己的脑袋埋在他的紧握处，一瞬间，他抱着[白浅]的手，止不住地颤抖起来。
1:13:58|1:14:7|[白浅]轻拍他的后背，随着一声啜泣，一滴泪从[夜华]的眼里掉落出来，[白浅]双手环抱住[夜华]，沉溺在他的怀里。
1:14:8|1:14:14|[夜华]又向他的井窝深处埋了埋，随后松开手，躲开[白浅]的目光，朝门外走去。
1:14:14|1:14:19|[白浅]的眼神紧追着他，但还是看到了他脸上的泪痕。
1:14:19|1:14:23|[夜华]越走越远，很快消失在[白浅]的余光里。
1:14:23|1:14:30|[白浅]站在原地沉思片刻之后，来到梳妆台前，她重重地坐在椅子上，注视着截破灯。
1:14:30|1:14:36|随即，灯照缓缓打开，灯心内，[白浅]忘掉的过去，一一涌现出来。
1:14:36|1:14:41|她看到了俊吉山岭，她和[夜华]相拥，在桃林间跳舞。
1:14:41|1:14:46|后来，[夜华]带她来到了天宫，这之前的一切都让她感觉很幸福。
1:14:46|1:14:52|可再后来，她日日只能独自坐在院内捂摸着肚子里的孩子，等待着[夜华]。
1:14:52|1:14:59|这天，她如往常一样坐在院内，仙鹅奶奶看到之后，端着茶壶水杯走过来。
1:14:59|1:15:6|[白浅]接过她递来的水杯，刚喝了一小口，门口传来声响，她抬头便看见了[素锦]。
1:15:35|1:15:40|此时，[素锦]看到赶来的[夜华]，转身直接跳下了阴间。
1:15:40|1:16:0|[夜华]正中，赶忙纵身跳下，从朱仙台的深渊下，及时救回了[素锦]。
1:16:0|1:16:3|看着[素锦]失明的双眼，[夜华]不知如何是好。
1:16:16|1:16:19|[夜华]从[素锦]身后走上来。
1:16:23|1:16:42|叶华沉着脸说完，跪在地上的宿祖愣住了，他失神地看着前方，眼睛一眨不眨，直到叶华转身面对他时，他的眼泪才止不住从眼眶里涌了出来，[夜华]只是悲痛地看着他。
1:16:42|1:16:49|回忆到此，[白浅]几乎崩溃，她痛苦地大喊出来。她头痛欲裂，回忆紧接着再次袭准而来。
1:16:57|1:17:0|十几名天兵天将追赶[素素]。
1:17:0|1:17:3|失明后的[素素]抱着孩子不慎跌倒在地上。
1:17:6|1:17:11|奶奶将可以呼唤[夜华]的铜镜交给[素素]，催促她快点离开。
1:17:11|1:17:14|[素素]在逃命中不慎再次跌倒，铜镜也掉落在地上。
1:17:17|1:17:21|在快要摸到铜镜时，一只猛虎的爪子按在了铜镜上。
1:17:21|1:17:24|[素素]害怕地缩回手，呆坐在原地。
1:17:28|1:17:31|[素素]听到[素锦]的声音，没有反抗。
1:17:31|1:17:35|抱着孩子向前摸索，一路走上了诸仙台。
1:17:35|1:17:39|[素锦]带着猛虎回偏偏天降，紧随其身后。
1:17:49|1:18:7|[素素]抱着孩子站在原地，忍不住抽气起来。
1:18:7|1:18:9|听到[素锦]这样说。
1:18:9|1:18:10|[素素]抱紧了怀里的孩子。
1:18:14|1:18:19|[夜华]慢慢向站在钟仙台旁边的[素素]靠近，[素素]开口说。
1:18:21|1:18:27|[夜华]一把将[素素]抱住，[素素]惊魂未定，向后缩了半步。
1:19:16|1:19:22|因果轮回循环反复。
1:19:33|1:19:36|[苏锦]一把将[白浅]推向身后的诸仙台。
1:19:36|1:19:40|此时，[白浅]同当为[素素]，别无两样。
1:19:41|1:19:45|[素素]将孩子递给[夜华]之后，便纵身跳向诸仙台。
1:19:45|1:19:50|诸仙台力气骤险，失明[素素]无所畏惧。
1:19:58|1:20:16|鹅尖的封印显现出来，蒙在眼前的丝带也被利器所带去，[素素]在半空中昏倒，昏睡前，她的脑海里还充斥着关于俊吉山的事情，每一个场景里都是[夜华]的身影，奈何诸仙台的力气太强，这些记忆也被尽数滚去。
1:20:16|1:20:21|鹅尖的封印被利器所劈开，[素素]也恢复了真身，变成一只九尾狐。
1:20:57|1:21:4|宿锦夺过[夜华]的剑，朝眼睛滑去，[白浅]却感同身受，惨叫出声。
1:21:4|1:21:15|[夜华]连忙抱住[白浅]，[白浅]看着[夜华]更加的心痛，她忍耐着自己的情绪，用牙齿紧咬着下嘴唇，拽着[夜华]的衣领，晃动着她的身子。
1:21:15|1:21:21|前尘往事分支踏来，三百年前被弯掉双眼之痛，仿佛就在刚才。
1:21:21|1:21:27|[白浅]气恼地将叶华推倒在地上，独自一人，伤心地离开了诸仙台。
1:21:27|1:21:33|叶华看着离去的[白浅]，眼里充满了泪水，多种情绪充斥在她的心间。
1:21:33|1:21:46|[白浅]离开了九重天，来到了折颜的十里桃林里，她仰头将几口桃花醉灌入了肚里，在桃林间左晃右倒，时不时苦笑一声，随后又举起酒瓶喝了起来，就这样如此往复。
1:21:46|1:22:5|她走走停停，手中却时刻不离桃花醉，薄雾像肃沙般在桃林间缠绕着，蔓延在整片桃花林中，一簇簇桃花压在枝头上，[白浅]抬头看着漫天飘落的桃花，回忆再次将他击垮，他捂着脸跪倒在地上，又顺势躺在了地上。
1:22:5|1:22:7|[夜华]在桃林外苦苦等待着。
1:22:34|1:22:40|金[夜华]执意如此，哲言便不再多言，而是走进桃林找到[白浅]。
1:22:40|1:22:53|[白浅]仰头喝了一口酒后，对他说道。
1:22:53|1:22:55|哲言带她来到一处泉水旁。
1:23:47|1:24:0|哲言此时说出的话和[夜华]在俊吉山上给[白浅]讲的一模一样，[夜华]日复一日在桃林外等待着[白浅]，花开花落，四季更迭，肃谨也迎来了他应有的审判。
1:24:46|1:24:51|跪倒在地上的[素锦]，很快从苦笑的神情中，露出了皎洁阴险的笑容。
1:24:51|1:24:59|就在刚才拥抱阿离的一瞬间，她已经用法器，在神不知鬼不觉中，吸取到了阿离的鲜血。
1:24:59|1:25:8|等被流放到东皇中后，[素锦]摸准时机，趁四周没有天兵天将把守之际，徒手攀爬至东皇中的顶部。
1:25:29|1:25:48|说吧，他将盛满阿里鲜血的火气向东房中炸去，刹那间，浓烟滚滚，落水之滨附近的土地开始轰隆鼓动，上空的云也不断地翻滚着，周围的响方觉察到这不同寻常的异动，纷纷驻足观望，此时，东房中的浓烟中，他就要走了。
1:26:11|1:26:18|苦苦等不到[白浅]的[夜华]，眼中带泪，朝着桃林深处挤出一丝微笑，便转身离开了桃林。
1:26:18|1:26:21|桃林内的哲言此时也收到了蜂鸟带来的消息。
1:26:21|1:26:26|他叹出一口气，对[白浅]说。
1:26:26|1:26:29|[白浅]听到，立马转身看向他。
1:26:41|1:26:47|趴在泉水边的[白琴]起身，她看着[折颜]挤出一丝微笑。
1:26:47|1:26:55|说晚，[折颜]就化身成凤凰，朝吴望海飞去。
1:27:12|1:27:15|米古带着[阿离]来到桃林。
1:27:15|1:27:28|[白浅]笑中带泪，一把将[阿离]抱住。
1:27:28|1:27:32|好不容易收住泪意的[白浅]，眼泪再次决堤。
1:28:14|1:28:15|谁知被[肃静]翻身。
1:29:8|1:29:12|他们从此，两不相见。
1:29:12|1:29:16|诸仙台上，纵身跳了下去。
1:29:20|1:29:23|夜华伸出了只手，拼命想要抓住[素素]。
1:29:23|1:29:27|几次，他的手都即将触碰到[素素]，但都失败了。
1:29:27|1:29:34|他看着[素素]越陷陷深，离开越来越远，却无能而地，只能崩溃地闭上双眼，无助地哀嚎着。
1:30:4|1:30:13|奶奶将[白浅]不知道的事一股脑的全部说了出来，[白浅]止不住哽咽抽气，最后痛哭起来，弥谷也感动的跟着落泪。
1:30:13|1:30:17|此时，东皇附近，[玄女]召集来了上千万鬼族士兵。
1:30:31|1:30:49|九重天也派出了上万名将士，鬼王秦沧守住门章，从东逢中上一跃而下，长枪落地的冲击波，直接将下面四五名奴隶击飞出去，夜华从天而降，挥着长剑来到秦沧身后，直劈其头部，但警觉的秦沧早已识破，密码准时回答，
1:31:1|1:31:6|听到这话，秦仓一惊方休，直刺岳华的铠甲。
1:31:6|1:31:9|岳华猝不及防，赶忙闪躲。
1:31:9|1:31:13|秦仓却步步紧逼，接领出招，无奈岳华飞升来到天上。
1:31:13|1:31:18|另一边，贫富心情的[白浅]，从东海以东的十里逃营，飞快地向无望海跑去。
1:31:18|1:31:25|岳华和秦仓脚踩着三个强度，在空中打得难分难解，很难分辨出究竟是谁占了上风。
1:31:43|1:31:47|上千万鬼族士兵拉动弓弦，齐齐向空中放出箭。
1:31:47|1:31:54|云雾中的[夜华]，看到数以万计的箭矢朝他袭来，快速挥动手中的长箭，将迎命而来的箭矢披向一旁。
1:31:54|1:31:59|冷不丁，一只箭从他身后袭来，将其肩膀一侧的鸽脚所击落。
1:31:59|1:32:8|鬼族士兵又发动了第二轮攻击，数万只带着红莲月火的箭矢向空中射出，不少天兵天将被击中后，直接灰飞烟灭。
1:32:9|1:32:18|感到的[折颜]看到这一幕后，推人口上，召唤出数万只蜂鸟，抵挡住鬼族的劲势，让天边天下免于灰灰烟灭。
1:32:21|1:32:37|天兵天将急胸怒吼之后，接连从空中跳下，将手中的枪朝鬼族士兵驾驱，处境位置十分不利的鬼族士兵，看到这个架势，个个都慌一手，只能任由天兵天将摆弄着，只见天兵天将伸手情意，被制定了。
1:32:37|1:32:43|用长枪挑起一个鬼族士兵后，又飞上半空，了结完一个之后，才再次冲下去。
1:32:43|1:32:54|叶华和秦仓还在互相搏斗，作战过程中，秦仓用长枪斧的棍棒打中叶华的左臂，鲜血瞬间便顺着叶华的胳膊流到了他的手腕处。
1:33:5|1:33:13|另一边，[白浅]丝毫不敢停歇，拼命地向着吴望海登复战，而秦沧和[夜华]在短暂的交涉后，又开始了新一轮的搏斗。
1:33:13|1:33:30|夜华再次使用先前的战术，先飞上高处的云雾中，再猛然下落，用力狠狠一脚踹在秦沧的胸前，[折颜]的蜂鸟也飞到鬼族士兵的面前，看着这些鸟，士兵们都愣在原地，紧接着又全部后退，上一只蜂鸟挥动着翅膀。
1:33:30|1:33:37|并发出巨大的嗡嗡声，蜂鸟在空中围剧出一个硕大的矩形，笼罩在鬼族士兵的上空。
1:33:37|1:33:46|没一会儿，鬼族士兵脚下的地面就被震裂开来，士兵们难以忍受蜂鸟发出的嗡嗡声，纷纷埋头捂起耳朵。
1:33:46|1:33:51|地面上的石块已被慢慢地吸附到半空中，蜂鸟集体向高空飞去。
1:33:51|1:33:58|一瞬间，石头静止在半空中，又猛然间从高空倾泻而下，重重地砸在鬼族士兵的身上。
1:33:58|1:34:14|鬼族士兵的队伍瞬间溃不成军，而[白浅]，依旧在网络中还是白带战，[夜华]和秦桑的大战已在持续中，[夜华]反复交手之中，经意外从云端掉落，最终消失在云雾中，突然间，云雾中的[夜华]化身成了一条龙。
1:34:14|1:34:33|朝令云端上的[擎苍]冲了上去，一声怒吼之后，一束雷电从他的口中喷出，但[擎苍]闪身躲避他雷电的攻击，[夜华]渐壮，将龙身靠近[擎苍]，朝其重重地甩出尾巴，又接连喷射出多条雷电，东横中下，刚刚遭受巨石攻击的鬼族士兵。
1:34:33|1:34:38|此时又面临着雷电的攻击，凡被雷电击中者，立刻化为灰烬。
1:34:38|1:34:45|[玄女]不可置信地看了眼前的一切，一道雷电劈中了她，惨叫一声后，便化为了灰烬。
1:34:45|1:34:52|无数雷电从空中射下，没一会儿，东皇中下便生灵涂炭，鬼族全军覆没，惨死在雷电之下。
1:34:52|1:35:0|从近距离对战脱身的叶凡，在远程对战中明显占距离优势，又加上雷电的攻击，完全是如虎添翼。
1:35:0|1:35:6|先前不可一世的秦沧，被雷电击中后，肉身也不断化为灰烬，跌入云端。
1:35:16|1:35:23|此刻，埋藏在心底七万年的回忆冲了出来。
1:36:3|1:36:12|七万年前，[白浅]眼睁睁看着尸狐[墨渊]，手持一把寒光冷冷的宝剑迎风冲头而下，直逼炙热的东皇中。
1:36:12|1:36:16|此时此刻，[夜华]的首领也拿着那把宝剑。
1:36:16|1:36:22|[夜华]不断向东皇中逼近。
1:36:22|1:36:25|[夜华]的动作和[墨渊]当年如出一辙。
1:36:29|1:36:39|在[白浅]生死历劫的阻止之后，涅槃还顺意无反顾，将手中的剑插向了洞房中，顿时云雾翻腾，气流旋转，飞石翻滚。
1:36:52|1:37:10|看到[白浅]前来，[夜华]脸上露出了紧揉的笑容，也就在这一瞬间，涌在半空中的海浪，在光子间凝结成冰，未被遮掩召回的蜂鸟，在拍打了两下翅膀之后，也全身僵硬，永远地停在了岩石上，东横中也被封在了冰冻的无望海下。
1:37:10|1:37:20|红炼夜火也不复存在，草乱的无望海此时也寂静无声，仿佛一切都被静止，只剩下被困在冰层下的[夜华]在其中漂浮。
1:37:21|1:37:26|[白浅]朝她所在的冰面扑了过去，但只摸到了寒冷的冰块。
1:37:44|1:37:46|趴在冰面上的[白浅]哽咽地哭泣着。
1:38:48|1:38:56|任由[白浅]如何撕心裂肺地呼喊着[夜华]，[夜华]的身体也不为所动，只是一味地向着无望海的深处沉去。
1:38:56|1:39:1|[白浅]在绝望和无力中倒在冰面上，哽咽和哭泣声丝毫没有停歇。
1:39:2|1:39:10|一瞬间，[白浅]仿佛看到了[夜华]，她站在俊吉山的桃树下，看着盛开又凋零的桃花，笑着说。
1:39:14|1:39:25|[夜华]幻影高落，随即时光移转，凋落的桃花又重新点缀在枝头上，[白浅]也及时制止了[夜华]以身封印，生计东棚中的举动。
1:39:25|1:39:34|她也没有去银洲岛盗取陈芝桃，没有在清秋的长种，[夜华]也并未带她去逛天灯，没有在东海龙宫印种[白浅]。
1:39:34|1:39:43|这一世的情节似乎都并没发生，丝带也回到了钓镜朱仙台的宋术身上，戾气也并未将她由阵封印所离开。
1:40:7|1:40:14|突然有一天，冰封着[夜华]的海面，突然出现了裂痕，紧接着冰面全部破裂了。
1:40:14|1:40:17|[夜华]也从中苏醒过来，他许诺的三生三世即将实现。
1:40:18|1:40:35|不知不觉间，[折颜]的桃林也重新焕发生机，桃花又开遍了整整十里，压满枝头的桃花争先恐后，纵情绽放着，不远处的桃树下立着一个熟悉的身影，眼前的这一切都像做梦一样，[白浅]不自觉地追了上去。
1:40:35|1:40:41|树下那人仍如初见时那般，清秀俊朗，眉眼如画。
1:40:41|1:40:46|[夜华]只是微微一笑，伸出一只手，琴声朝[白浅]的方向唤道。
