0:0:47|0:0:54|雄鹰掠过天际，伴随着苍劲有力的喊叫，沉寂多年的[岳峰]眼神坚毅，徐徐向前。
0:57:53|0:58:0|二人试探性地围走阵，[岳峰]的眼里显现出誓死如归的决心，赢了上去。
0:58:0|0:58:5|拳手率先试探，使出拳脚，被[岳峰]一一接住。
0:58:5|0:58:12|了解到[岳峰]的实力后，拳手渐渐使出拳力，领上了玩物人性。
0:58:12|0:58:27|然而[岳峰]并没有展露实力，却被[岳峰]一脚踢飞，两前后退，拍了拍外套上的灰尘后，还好防御备战此时，左右游走调整站位，看准方论后，展开猛烈进攻。
0:58:27|0:58:32|[岳峰]被挡住下巴，后退紧步，以退为进，防守迷离。
0:58:32|0:58:38|拳手并未击中弹牌，更是轻刻间以无准局势，化防一攻。
0:58:38|0:58:40|拳头飞速抵压，一个尸首并未打紧。
0:58:41|0:59:2|[岳峰]借着躲闪的劲子，一往扳过拳手，往肚子扭曲一脚，拳手已从[岳峰]的肚子踢去，腰牌却被[岳峰]抓住，[岳峰]顺势将行李放在土地上，几乎合作之后，从背后转向[岳峰]，拳手的手被压制得动作不浓，一删就躲避不起。
0:59:2|0:59:11|[岳峰]带着胜利者的姿态回头，[李少]脸色阴沉，神秘男子坐在阴影处，回忆起[李少]找他的场景。
0:59:18|0:59:39|画面一转，[李少]为第二位拳手的出场，击掌喝彩一扫之前的阴霾。第二位拳手活动筋骨，面容十分嚣张，他胸有成竹的样子和淡然冷静的[岳峰]形成鲜明的对比。拳手凑近到[岳峰]的面前，抬手挑衅，随即立即出拳。
0:59:45|0:59:50|他的出拳踢腿速度极快，[岳峰]防守有些吃力。
0:59:50|0:59:54|[李少]和拳手揭露出了势在必得的优秀效能。
0:59:57|1:0:6|此时，拳手得意忘形，几次飞起踩锋，[岳峰]顺势输拳攻打，抓住机会使出组织的拳法。
1:0:6|1:0:13|二人对仗几回合后，摆出独立的拳姿，改为近身肉搏，抓住彼此的腰带。
1:0:13|1:0:21|拳手步步紧逼，[岳峰]得想抓着拳手的手臂将其摔倒，反被拳手抢探先机。
1:0:21|1:0:29|拳手拦腰抱起[岳峰]，将他从身后重重地摔倒在地上，我的命是你给的，有什么话直说？
1:0:58|1:1:18|回忆与现实交织，伴随着感叹声，男子回到现实，只见[岳峰]一把抓住拳手的一只脚，绕拳甩到一边，拳手踢开[岳峰]，[岳峰]用火炸的弹琴一脚，拉开距离，拳手怒撕外套。
1:1:18|1:1:42|[岳峰]也脱下外套，一旁的[李少]本来提手，画面从台球上转回到对决场面，越风再次冲出，将拳手踹飞在货物堆上，随其高速出拳，最后朝拳手的脸上补上一脚，拳手倒地不起，解决了麻烦的敌人，[岳峰]气喘吁吁地看向[李少]。
1:1:42|1:1:45|[李少]阴森地笑着，边鼓掌边起身。
1:1:45|1:1:50|暗处，一个神秘男人默默地看着一切，暗自较劲。
1:1:50|1:1:54|全体手下起身，缓缓向[岳峰]的背后靠近。
1:1:54|1:1:59|神秘男人从[李少]和[阿龙]的背后，慢慢地走进[岳峰]的视野。
1:1:59|1:2:5|四目相对时，[岳峰]震惊地站在原地，盯着眼前这个熟悉的面旁，[阿海]。
1:2:6|1:2:28|[阿海]的眼神里满是复杂的情绪，[岳峰]忧心忡忡，两兄弟对视良久，[阿海]开口道，
1:2:28|1:2:31|[李少]阴阴站起，在[阿海]背后的阴暗处叮嘱道。
1:2:38|1:2:44|阿海听从，侧影被职业杀手的[阿龙]取代，率先攻击。
1:2:54|1:3:6|[李少]疑惑二者的关系，低头的演员，闪过一丝迷迷的侧影，[阿海]冲着[岳峰]的下巴拿去，[岳峰]受着重重一击，不乏不稳，[阿海]挥舞着拳头冲进来，恍惚回忆起从前。
1:3:10|1:3:20|想到从前，兄弟二人玩到碰拳，[阿海]挥舞的拳头悬在了半空，在[岳峰]面前停住，[岳峰]感到诧异不已。
1:3:20|1:3:40|[李少]阴沉的脸和侧后方的[阿龙]对视一眼，随其瞪着朝自己坚定走来的[阿海]，[阿海]在[李少]强压怒火的注视下，一字一顿地说出，[李少]垂下眼眸，藏住一闪而过的错愕，再抬眼，压住满腔的怒火。
1:3:40|1:3:48|[李少]盯着[阿海]悠悠起身，深邃的眼眸看不清情绪，取而代之的是他似笑非笑的神情。
1:3:48|1:3:54|[李少]用其武器，朝[阿海]的腹部打去，[李少]瞪着[阿海]，[阿海]挡住[岳峰]，要求[李少]。
1:3:57|1:4:12|[李少]身不可测的脸上闪过诡异的笑容，一边盯着[阿海]和[岳峰]两人，一边缓缓拿起先前与[岳峰]签订的生死合约，在众人的注视下将其撕成碎片。
1:4:12|1:4:18|[李少]手下的壮汉们恶狠狠地盯着[岳峰]和[阿海]，将二人的退路堵住。
1:4:18|1:4:24|[李少]发怒大喊，带[阿海]回家后，[岳峰]问。
1:4:42|1:4:45|躺着的[阿海]望向天花板，茫然地摇头。
1:4:53|1:4:57|满脸担忧的[岳峰]握住[阿海]的手，语重心长。
1:5:3|1:5:10|一日，朝阳一扫阴霾，[岳峰]告别收容所离开，小姨从门内追出来，红着眼。
1:5:18|1:5:20|[岳峰]愣在原地，皱眉。
1:5:24|1:5:34|小姨在门口模糊了双眼，看着[岳峰]告别孩子们。
1:5:34|1:5:41|孩童绕西，依依不舍，[岳峰]作别，泪珠从小姨湿润的眼眶里流淌出来，悲痛万分。
1:5:41|1:5:48|小姨模糊的眼周，看着[岳峰]单肩背包，头也不回地离去，泪水再也绷不住。
1:5:48|1:5:50|台球厅里，[阿龙]对[李少]说。
1:6:18|1:6:29|[李少]的眼神闪过一丝光亮，有了新主意，他俯下身，对准母球，用力一击，球便进洞。
1:6:29|1:6:37|第二天，出宫的[岳峰]父亲刚一打开出租车的车门，就被后方追上来的壮汉拖下车用武器暴打。
1:6:38|1:6:51|背包归家的[岳峰]在远处看到这一幕，冲向攻击父亲的人，吓得壮汉们连滚带爬的赶紧逃跑。
1:6:51|1:6:54|[岳峰]父亲被打得满脸是伤的父亲，问道。
1:6:57|1:7:3|谁知父亲并不领情，擦了擦脸上的血迹，做事要推开[岳峰]。
1:7:3|1:7:12|[岳峰]紧紧抓住父亲的手臂，待父亲进屋后，在桌上准备棉球，父亲轻轻活动右臂，问道。
1:7:12|1:7:16|父亲和[岳峰]都低着头，互不看对方。
1:7:16|1:7:26|[岳峰]搭拉着肩膀，拿着棉球准备为父亲上药，小心翼翼地一手抓住父亲的左手，一手轻轻擦拭父亲右侧的额头。
1:7:27|1:7:31|下一秒，父亲夺过棉球，甩掉[岳峰]的手。
1:7:36|1:7:38|父亲率先打破沉默。
1:7:59|1:8:6|听完父亲的教诲，[岳峰]抬起头，微微皱眉，有些不耐烦地走出家门。
1:8:6|1:8:13|父亲心软，满脸不舍地看着孩子远去的背影，起身却不知道自己能做什么。
1:8:13|1:8:21|[岳峰]吹着冷风，在这座将自己隔绝在外的城市里游荡着，走到烧饼婆婆摊前，已知夜幕。
1:8:26|1:8:29|婆婆伸出双手，为[岳峰]理了理一顶。
1:9:3|1:9:18|一老一少倚靠在路边，画面转到园长的收容所，几个男子扮着夜色闯入，看不清面孔。[岳峰]坐在手术室外，满面愁容，护士走出，观望走廊后开口问道。
1:9:21|1:9:29|[岳峰]联盟起身，走向护士。
1:9:29|1:9:40|目纵护士离开，[岳峰]自责转过身时，手机突然响起，他担忧地接起电话。
1:9:40|1:9:46|晨光稀微，[岳峰]站在熟悉的楼顶天台徘徊着，步履维艰。
1:9:51|1:9:57|回忆在过往经历间流转，不停地倒退，倒退到原点。
1:9:57|1:10:10|恍惚间，还在和[阿海]生子对决，[阿海]悬空的拳头，[李少]重击在[阿海]身上的铁棍，一转眼，就变成众人一锤一锤敲打在父亲身上的棍子。
1:10:18|1:10:25|恐惧、不安、担忧、柔情和伤心崩溃就一起涌上了心头。
1:10:25|1:10:29|复杂的情绪交织着，牵扯着月光回到了现实。
1:10:31|1:10:48|正中地披上严绍时对决的训练外套，[岳峰]仿佛披上了战袍，昂首挺胸，从黑暗中走向光亮里，蔑视眼前的一切，来到仓库，准备和[李少]一众手下决一死战，营救园长。
1:10:50|1:10:58|仓库里，早已跃跃欲试着二十多名状犯，皆手持铁棍钢管，恶狠狠地盯着前来应战的[岳峰]。
1:11:35|1:11:41|双头状态在二楼身旁面前，众人连伤，阶底的斧盾冲向[岳峰]。
1:11:41|1:11:52|[岳峰]丝毫不顺畅，蔑视全球，对着前来的二层状态使出飞踢，众人跟本靠不近[岳峰]的身体。
1:11:52|1:11:57|[岳峰]甚至还未出拳，使出卷风劈，他自己就已将众人处理了。
1:12:54|1:13:1|从雄鹰一般傲视四周，周围的壮汉将[岳峰]层层围住，却依旧怎么也不敢上前。
1:13:1|1:13:8|战战兢兢地盯着[岳峰]，光头壮汉怒视眼前的一切，再也坐不住了。
1:13:8|1:13:15|三步多一步冲上前，拳脚速度极快，却被[岳峰]一脚踢倒在地上。
1:13:15|1:13:18|壮汉恃不罢休，爬起来继续进攻。
1:13:18|1:13:23|[岳峰]将其扛起，从背后重重地摔倒在地上。
1:13:23|1:13:26|气急败坏的壮汉，使得其他人大喊道：
1:13:40|1:13:47|无人敢伤前，只受沃尔玉一掌握不成势牌，都被[岳峰]打倒。
1:13:47|1:13:56|此时，光泽众叛抄起了木板，重击[岳峰]的阵后，反击圣经越城老范，光头召唤其他人。
1:14:32|1:14:38|一把都不爬砖，狠狠地枪下追捕来犯者的头上，一敲不倒上一人。
1:14:38|1:14:46|而[岳峰]正对抗着来犯者的围树鼠，举着两米长的一根胡状汉从远处奔来，向[岳峰]的腹骨捅去。
1:14:47|1:15:1|月峰躺在废弃的沙发之里，光头壮汉含冤红红，月峰抓住长棍，借势使出全力，一把夺过长棍，以其人之道还治其人之身，光头壮汉瞬间被挑飞。
1:15:2|1:15:8|周围接近的壮汉皆被长棍击倒，身临着，无法起身。
1:15:8|1:15:15|[阿龙]站在高处看着，四目相对之时，[岳峰]露出胜利者的微笑，扔下长棍。
1:15:15|1:15:22|至此，生死存亡之际，光头壮汉捡起身边的长刃，用尽最后一丝力气砍向[岳峰]。
1:15:23|1:15:29|常任上下翻转，就被[岳峰]轻易地占为己用，光头壮汉倒地不起。
1:15:53|1:15:58|突击者使出一定的力度，逼近转发局势，跨上阳光。
1:15:58|1:16:3|[阿龙]感到力度不够，用力击砍到了旁边的面团。
1:16:3|1:16:8|力道之大，木板直接碎成碎片，又赶紧大力地砍向[岳峰]。
1:16:8|1:16:15|[岳峰]被逼近墙角时，猛地一踹，将[阿龙]踹飞三米开外。
1:16:15|1:16:18|二人调整状态，捏紧拳头，摆上对战姿势。
1:16:39|1:17:0|[阿龙]随即飞身下来，龙手挥刀，[岳峰]远远躲开，龙刀持续上去，加快了挥刀的速度，[阿龙]几次挥刀不准，砍向周围的固定物，二人出招的速度越来越快，看得人眼花缭乱，[阿龙]持续出刀，对准[岳峰]的脸，[岳峰]向后下腰躲过一截。
1:17:3|1:17:12|起身后，越风力行高速挥刀，将[阿龙]的左臂划伤，[阿龙]吃痛扶刀，吃力地转换握刀的手势。
1:17:13|1:17:35|[岳峰]挥刀朝[阿龙]的腰部砍去，[阿龙]毫无还手之力，腰部被砍出一道伤口，站定后痛苦地扶住受伤的腰，却仍拼死决斗，右腰流下鲜血，脸上流露杀气，[阿龙]受伤的左手扶住右腰，右手吃力地挡住[岳峰]的刀法，被逼得节节后退。
1:17:35|1:17:39|快到墙边时，[岳峰]一踢，将[阿龙]踢倒在地上。
1:17:40|1:17:50|[阿龙]吃力地尝试站起，却并未成功，他小心地捡起脚边的长刀，尝试借力扶刀起，仍然失败。
1:18:0|1:18:13|[岳峰]却扔下手中长刃，转头看向被自己打倒的众人，跑进了库房，园长被绑在仓库的中间，动弹不得，嘴里被棉布堵着，无法说话。
1:18:13|1:18:19|[岳峰]飞奔向前，解着捆绑园长的绳子。
1:18:27|1:18:31|[李少]阴险地从箱子后面走出来，靠近二人。
1:18:31|1:18:37|[岳峰]没有理会园长的担忧，怒视着[李少]，起身。
1:18:37|1:18:39|[李少]不耐烦地朝[岳峰]开枪。
1:19:0|1:19:6|[岳峰]猛地拽住[李少]持枪的右手，随即身体转体，秒速将枪对准[李少]。
1:19:6|1:19:11|擦枪走火，一声枪响下，射中[李少]的要害。
1:19:11|1:19:14|[李少]扶住命门，坐倒在地上。
1:19:14|1:19:19|一旁的[岳峰]待在原地，震惊地看着自己不小心开枪的左手。
1:19:19|1:19:26|心里热才感到，方才被[李少]开枪射中左臂的疼痛，意识模糊着，倒在地上。
1:20:3|1:20:8|说吧，[少年]双手抓住身后的网格围栏，边起身边说。
1:20:13|1:20:16|话音刚落，画面就来到了医院。
1:20:16|1:20:26|[岳峰]躺在病床上，意识朦胧，缓缓睁眼，才意识到刚才只是一场梦，注意到病床旁的小医担忧地守着自己，轻声问他。
1:20:37|1:20:40|身着警服的警察，正步走进病房里。
1:20:44|1:20:47|随着镜头，我们走出病房。
1:20:47|1:20:50|时间来到一个月后。
1:20:50|1:20:55|跟着[岳峰]的视角，我们来到[岳峰]父亲家门口。
1:20:55|1:21:0|[岳父]正擦着车厢。
1:21:0|1:21:7|父子二人温情道别后，父亲继续高兴地擦着车，然后驾驶出租车，开启新一天的工作。
1:21:9|1:21:33|月峰依旧不舍地目睹着父亲驾车离开，才缓缓走出胡同，抱着给小姨买的花和礼盒，穿过人潮车流，走到纵深处时，月峰赶到远处，一辆车侧后方注视自己的目光，回头看却并未发现什么异样，于是月峰继续走进停车场。
1:22:2|1:22:8|回忆中的[岳峰]欣喜地点头，现实中的他昏迷不醒。
1:22:8|1:22:18|小姨说，一个精美的银项链从他手中滑落，项链的图案是一只张开双翼的熊鹰，[岳峰]很是感动。
1:22:18|1:22:25|二人站在桥上看向江面，紧紧地站在一起，画面看上去十分地和谐和幸福。
1:22:27|1:22:40|画面转回现实，月峰的手机掉落在一旁，月峰意识模糊地记忆中，还是小一温柔地为他亲手戴上项链。
1:22:40|1:22:46|突然响起的手机铃声并未将昏迷的月峰拉回现实，来电显示正是小一。
1:22:48|1:22:53|月峰倒在地上，脖子上仍然带着小依送她的雄鹰项链。
1:22:53|1:23:1|空中翱翔的雄鹰象征着月峰，也是小依心目中的月峰。
1:23:1|1:23:2|传说。
1:23:2|1:23:9|鹰是世界上寿命最长的鸟，当它的生命过半之时，要飞到一处悬崖峭壁之上。
1:23:10|1:23:18|用岩石撞碎弯曲如镰刀的旧会，以心慧为欠拔掉早已老化的指甲，薅落沉重无用的旧语。
1:23:18|1:23:22|他再生力加与心语，才可再次飞翔。
1:23:22|1:23:27|他冒着疼死、饿死的危险，与过去诀别。
1:23:27|1:23:29|这一过程叫做重生。
