0:2:20|0:2:27|拍完后，皮草男坐在中国女孩对面打量着她。
0:48:54|0:49:5|[吴富春]颤颤巍巍地向前走了两步，站到了最边上，鼓足勇气朝下看了一眼脚下的万丈深渊，暗到发黑看不见镜头。
0:49:5|0:49:28|外界依旧风雪交加，木屋在广阔的南极原野上显得格外渺小，[荆如意]锦披着皮草颤抖着趴在床上看着书屋里的电暖炉，她从来不会一个人的时候打开，此时[吴富春]越走越深，光线也变得越来越暗，他斜着身子拼命的挤过一处奇形怪状的空洞后。
0:49:28|0:49:37|只得到了一条死胡同。[吴富春]叹了口气，四下望了望，又原路返回，重新寻找下一个出口。
0:49:37|0:49:48|转眼间第二十八天过去了，木屋内的温度也维持在了-5摄氏度，此时[吴富春]依就没有找到出口，昏暗的冰缝里照不到一丝阳光。
0:49:48|0:49:59|精神和身体的双重疲劳迫使他躺在地上，但他深知这样下去后果不堪设想，想到这里[吴富春]又打起精神试图坐起来。
0:49:59|0:50:3|只见他盘起腿靠在冰墙上。
0:50:6|0:50:12|[吴富春]盘着腿恶狠狠的盯了前面，看了许久，又指了指旁边的鱼竿。
0:50:25|0:50:34|[吴富春]盯着鱼竿沉默了许久，又抬头看向透过冰层微弱的光芒。
0:50:38|0:50:50|这个与世隔绝的角落不会给[吴富春]想要的回应，[吴富春]抿着嘴看着透过冰层的日光，又低下头思索着，突然身后的声响吸引了他。
0:50:50|0:51:4|[吴富春]警惕地转过头，看到上方一个巨大的空洞，他急忙站起身看到空洞的全貌后，[吴富春]不由得张开了嘴巴，另一边[荆如意]盖着皮草躺在床上，她显然睡得很不安稳。
0:52:54|0:53:13|外面的暴风雪太大了，吹的木门吱吱作响，屋内的吊灯都在不断摇晃着，屋外发电机的小棍们终于不堪重负飞了出去，同时还撞断了通进木屋的电线，发电机霎时间停止了运作，时间一点一点的流逝。
0:53:13|0:53:45|此时通到了一片寂静，心脏跳动的声音清晰而有力，[吴富春]被厚厚的积雪压着说不出话，许久后他才终于在周围顶开了一点薄弱的空间，能勉强活动开身体，在这伸手不见五指的深地里，他本能地掏出了打火机，打火机微弱的光给[吴富春]一线希望，一只手举着打火机，另一只手不断的向前攀爬，然而脚上的背包被压在雪里很难拖动。
0:53:46|0:53:58|突然打火机灭了，[吴富春]慌里慌张地擦着打火机，他越是心急，打火机就越是打不着，过了好半天火机终于亮了，[吴富春]继续焦急地向前爬去。
0:53:58|0:54:11|然而只要他动作稍微大一些，就会有积雪，不断的跌落，再次压面火苗，就这样[吴富春]不断的打灭打火机，向前攀爬两件事中来回切换着。
0:54:11|0:54:23|此时的[吴富春]用右手举着希望用左手为自己创造希望，他的发梢和睫毛上都凝着厚厚的寒霜，每次打火机熄灭都会给他带来巨大的恐惧。
0:54:23|0:54:29|[荆如意]躺在床上将观音吊坠郑重的握在手心。
0:54:42|0:54:48|[吴富春]再一次打燃打火机，拿着铁镐不停地戳着前面的积雪。
0:54:48|0:55:0|每一次的动作都给他带来无限的希望，又充满着未知的绝望。后来他主动熄灭了打火机，双手并用拿起铁镐不断的铲着前面的积雪。
0:55:0|0:55:6|时他前面的积雪早已凝结成了冰，铲了许久也没有掉下多少碎渣。
0:55:6|0:55:17|[吴富春]终于抵不住心里的焦虑，再次点燃了打火机，他用右手端着打火机单手凿冰的速度慢了许多，火苗再次熄灭了。
0:55:17|0:55:29|[吴富春]留下了崩溃的泪水，手里的动作也停了下来，随后他丢下打火机，举着铁镐玩命的凿了起来，此时透过冰层已经能感受到微弱的光芒了。
0:55:29|0:55:39|小木屋的温度依旧处于零下5摄氏度，[荆如意]光着下半身拖着吃力的腿，向墙边放着罐头的货架爬去。
0:55:39|0:55:50|[荆如意]撑着一口气，左手扶住脚下，右手攀住一截层板，努力往上站，然而多年失修的层板难以承受一个成年人的力气。
0:55:50|0:55:57|[荆如意]刚站起来就侧翻了过去，罐头顺势滚了一地，[荆如意]也再次摔倒在地。
0:55:57|0:56:3|窗外风雪依旧丝毫没有停下来的迹象，[荆如意]靠在货架上伸着腿。
0:56:4|0:56:10|一边啜泣一边吃着罐头，丝毫没有往日的形象。
0:56:10|0:56:23|[荆如意]嘴里的食物在她哭泣中掉了下来，屋外的天气没有任何好转的迹象，屋顶积雪的厚度已经超过了半米，窗户结霜的声音异常清晰。
0:56:23|0:56:30|[荆如意]迷茫地转过头，只见玻璃上的寒霜越冻越厚，已经看不清屋外的样子了。
0:56:30|0:56:36|她拖着双腿竟从木屋里爬了出来，室内外的温度不可比拟。
0:56:36|0:56:42|[荆如意]光着腿蹭在雪地中，她强撑着一口气，愣是朝着发电机爬了过去。
0:56:42|0:56:48|等[荆如意]爬到的时候，她找到了拉绳，用最后的一丝力气将它扯了出来。
0:56:53|0:57:3|[荆如意]的力气太小，根本打不燃发电机只见她双手握住绳子，咬紧牙关用力向外一拽，拉绳竟然被扯断了。
0:57:3|0:57:8|她被巨大的冲力甩在地上，手里还握着半蹲被拉断了绳子。
0:57:8|0:57:19|另一边一只铁镐伸出积雪，[吴富春]终于从缝隙中爬了出来，他转过身，用最后的力气将脚上的背包也拽了出来。
0:57:19|0:57:30|大风暴已经停下，日光毫无遮拦地洒在大地上，[荆如意]靠在发电机旁，抬头愣愣地看着天空平静而绝望。
0:57:30|0:57:37|过了许久，她看向木箱上被丢弃的几个铁皮罐头盒，锋利的罐头肆意的张着口子。
0:57:37|0:57:48|她呆呆的看着罐头盖，心里萌生出另一种想法，没过多久[荆如意]的胳膊无力的垂了下来，手里还握着锋利的罐头盖。
0:57:48|0:58:7|而她另一只手瘫在地上，做完这一切后，[荆如意]歪着脑袋靠在墙上，轻轻的闭着双眼，[吴富春]的不归，让她彻底绝望而失败的自救让她再也没有活下去的勇气，而她不知道如今她是[吴富春]心里仅存的希望。
0:58:7|0:58:22|一离开冰缝，[吴富春]就马不停蹄的往回走，一刻也不敢停下，直到他满怀欣喜的冲进张开地入门时，却没有找到[荆如意]的身影，他立刻朝发电机奔去，看到了那个让他魂牵梦萦的身影。
0:58:22|0:58:28|此时[荆如意]的面容是前所未有的静谧，歪着身子安静地靠在一边。
0:58:28|0:58:37|[吴富春]连滚带爬地扑到她身边，又抬起她的手腕看到了被割的鲜血淋漓的伤口。
0:58:39|0:58:50|在[吴富春]满怀希望的目光下，[荆如意]缓缓睁开双眼，看到[吴富春]的脸后，她露出了一丝欣慰而虚弱的笑意。
0:58:54|0:59:5|[吴富春]听完这句话难过得快要哭了出来，他弯下脊梁将[荆如意]紧紧地搂在怀里，再也不肯分开。从这一刻起，两个人的心紧紧的
0:59:5|0:59:7|靠在一起，再也不愿分离。
0:59:7|0:59:16|[吴富春]修好了发电机，并用小电炉熬出一锅汤，[荆如意]则拥着毛毯和皮草重新坐在下铺。
0:59:16|0:59:23|[吴富春]收回视线将装好的饭盒小心翼翼地端向床边，她坐在床边的凳子上。
0:59:27|0:59:38|劫后重生的[荆如意]似乎并不欣喜，她垂着眼睛面容充斥着心灰意冷，过了许久她才缓缓伸出双手接过鱼汤。
0:59:38|0:59:49|她呆呆地望着手里的饭盒，没有任何想吃的欲望，最后她还是偏开了视线，将鱼汤缓缓地搁在腿上，[吴富春]委屈地抬起头。
0:59:52|1:0:1|她又低着头自嘲地笑了笑，[荆如意]的眼神在这一刻终于有了聚焦，她抬起头定定地看着[吴富春]。
1:0:2|1:0:8|[吴富春]认真地看着[荆如意]，眼里还闪过一丝泪光。
1:0:10|1:0:19|此时[荆如意]早已泪流满面，不敢看向[吴富春]的眼睛，[吴富春]强忍着泪水，眼神充斥着坚持与不放弃。
1:0:19|1:0:26|风雪终于停了，乌云也慢慢散去，木屋前迎来了久违的平静。
1:0:27|1:0:37|[吴富春]再一次收好行囊准备出发，他不放心地回头看了眼下铺，此时[荆如意]面向着墙壁，侧着身躺着一动也不动。
1:0:37|1:0:48|[吴富春]知道她还在对自己的晚归耿耿于怀，想到这里[吴富春]把背包搁在桌子上，自己靠坐在桌边面无表情地盯着这个背影。
1:1:1|1:1:9|说完这席话，[吴富春]静静地等待着[荆如意]的回应，[荆如意]依旧以动未动，只是缓缓地睁开了双眼。
1:1:9|1:1:20|[吴富春]提起背包头也不回地走出屋子，[荆如意]心里默默地回味着他说过的每一句话，她能想象到[吴富春]那天所经历的一切。
1:1:20|1:1:31|为了他们二人活下去而做的所有。
1:1:31|1:1:40|死里逃生的[吴富春]回到木屋，他一边认真盘点好屋内剩余的全部物资，一边还要照顾虚弱的[荆如意]。
1:1:54|1:2:1|墙上的第三十四个数字也被画上了，鞋凳留给他们的时间越来越少。
1:2:1|1:2:12|[吴富春]行走在雪地中，从空中俯视下去，只能看到一个小黑点，没有面罩的他鼻头已经被冻得通红，他的眼睛也出现了不适。
1:2:12|1:2:22|只见[吴富春]用力地眨了下眼睛，勉强缓解了一下，又眯着眼抬起头向四周望去，[吴富春]手握铁镐缓缓的向前走着。
1:2:22|1:2:33|眼睛不适感越来越强，终究他被迫停下了脚步，又用力睁了睁，双眼依旧无视与补，仔细瞧上去就能发现他的眼睑通红。
1:2:33|1:2:44|结膜充血，为了缓解疼痛，他握了两团积雪，捂在自己的眼睛上试图缓解，然后再放下雪球时，眼睛已经不太能睁开了。
1:2:44|1:2:56|他试图眯起双眼，发现视线一片模糊，只能感知到光线，眼泪也不住的流了下来，他迷茫地盯着前方，许久发现自己根本无法识别方向一。
1:2:56|1:3:7|想到这里[吴富春]就立刻趴在地上手忙脚乱的寻找铁镐，前面是一个下坡路，[吴富春]毫无察觉，只见他脚一滑直接滚了下去。
1:3:7|1:3:15|此时没有铁镐的，他只能任由惯性带自己下坡，沉重的背包让[吴富春]站了半天才站起来。
1:3:15|1:3:30|南极洲在晴天时能见度极高，此时从小木屋可以清楚地看到，[吴富春][吴富春]清楚自己没有离开小木屋多久，心急火燎地想往回走，他站在原地思索半天。
1:3:30|1:3:54|终于认准一个方向，试探性的向前走去，只见[吴富春]小心地伸出一条腿向前试探着，当踏实了这一步确认无误后，他才敢颤颤巍巍地迈出另一条条腿，他瞪大着双眼试图辨别木屋的大致方向，他迷茫着张望着前面又不确定的看向4周，其实木屋就应该在他的视线内。
1:3:54|1:4:4|他却找不到自己回家的方向，毛线帽上一摇一摇的红线团，再配上这欲哭无泪的表情，俨然像一个找不到家的孩子。
1:4:40|1:4:52|这声回应仿佛一道光，他猛然地回头冲着声音的方向狂奔而去。
1:5:13|1:5:23|[吴富春]在此刻终于卸下了全身的恐惧，他摸索着握住[荆如意]的手，跪在木门的楼梯上，一点一点的朝她靠近。
1:5:23|1:5:33|[荆如意]伸出双手捧住了[吴富春]的脸，[荆如意]看着[吴富春]被吹得皲裂的脸颊，又盯着他无神的双目看了许久。
1:5:33|1:5:42|最终将他轻轻拥入怀抱，[吴富春]仿佛像一个孩子一样靠在[荆如意]肩上。
1:5:42|1:5:50|[吴富春]这段时间的痛苦和委屈终于在此时肆无忌惮地释放了出来。
1:5:58|1:6:5|她在纱布中包了雪块，轻轻地按着[吴富春]的眼睛。
1:6:14|1:6:22|[吴富春]这段时间的疲累交加，他闭上双眼刚说完话就睡着了。
1:6:25|1:6:32|[荆如意]看着[吴富春]的脸，轻轻地抚摸着他的头发。
1:6:32|1:6:39|曾经的浮夸和情绪在这场灾难中被磨得一干二净，生活仍旧要继续。
1:6:39|1:6:44|这天[吴富春]就地取材，将一盆积雪倒进煮饭的锅里。
1:6:49|1:6:54|[吴富春]乖乖地转了个弯，绕开前面的柱子继续向前走。
1:6:56|1:7:1|[吴富春]听从指挥，再次转了方向，继续边走边踢。
1:7:4|1:7:14|[吴富春]将锅里的热水全部倒进[荆如意]面前的盆里，然后把盆放在一旁的木桌上，顺势靠在桌角准备歇息。
1:7:23|1:7:29|[吴富春]愤愤不平地瞪了[荆如意]一眼，还是转过身贴着步子向前走过去。
1:7:31|1:7:42|[荆如意]看着[吴富春]笨拙的动作，嘴小不由自主的地扬起一丝笑意，随后他拿起小剪刀毫不犹豫的剪下自己的头发。
1:7:42|1:7:51|对于[荆如意]和[吴富春]来说都是新的开始，她端起罐子将盆里的热水浇在自己的头上，又轻闭着双眼，
1:7:51|1:8:1|感受着热水留下温润的感受。洗完头发后她攥干头发上的水分，又屈着腿坐在长椅上，拿着毛巾擦拭着小腿，
1:8:1|1:8:9|她偷偷看向[吴富春]，只见[吴富春]乖乖的背对着自己蹲在门口，不由得让她产生一丝异样的情绪。
1:8:9|1:8:19|她发现胳膊内侧长着一些红色的小斑点，在简单沐浴后，[荆如意]让[吴富春]坐回长椅，细心的为他修剪胡子。
1:8:33|1:8:45|[荆如意]停下手中的动作，温柔地看着[吴富春]的眼，殊不知[吴富春]已经可以通过纱布条清晰的看着她的眼神，他的脸上浮出一丝笑意。
1:8:45|1:8:54|感染的[荆如意]也扬起嘴角，只见[吴富春]小心地摸上[荆如意]的脸，将她的碎发撇向一边，又心虚地咽了口唾沫。
1:8:54|1:8:59|捧着[荆如意]的脸缓缓地俯下身来，[荆如意]皱起眉头。
1:9:2|1:9:6|[荆如意]羞愧难当，一头撞进[吴富春]的胸口。
1:9:9|1:9:16|这一天失去墨镜的[吴富春]获得了一件新的装备，那就是[荆如意]的内衣。
1:9:16|1:9:25|[吴富春]将内衣扣在眼睛上。
1:9:28|1:9:36|如意宠溺地笑了一声，又低下头认真的在本子上写写画画起来。
1:9:47|1:9:59|如意诧异地抬起头，却发现[吴富春]的视线竟停留在自己的胸口，她急忙坐直身体捂住自己敞开的衣领，但其实[吴富春]并没有看她的胸口。
1:9:59|1:10:10|只见他一脸肃穆，跪直身体双手合十举在面前，虔诚地闭上双眼，这才发现[吴富春]看的是她脖子上悬挂着的观音吊坠。
1:10:10|1:10:15|她捧着吊坠看着眼前虔诚祭拜的男人终于被打动了。
1:10:15|1:10:19|她收起情绪，庄重地将吊坠举到[吴富春]的面前。
1:10:19|1:10:37|[吴富春]得到充分的休息后，再次收拾好行囊走向门口，此时屋外风雪肆虐，突然[吴富春]伸向门栓的手停在半空，犹豫地收了回来，他往后退了几步，恰好站在如意可以看到的地方，如意坐在床上看向[吴富春]。
1:10:39|1:10:48|[吴富春]站在门口一言不发，但这句话像是一针强心剂，住进了他的心里，他义无反顾地打开门，强劲的风雪立刻吹开木门。
1:10:56|1:11:7|[吴富春]一手挡在前面，顶着风雪走出了木屋，只见他将内衣扣在眼睛上，充当着墨镜，[吴富春]又四处打量了一番，适应眼前的环境后。
1:11:7|1:11:18|顺着之前计划好的方向走去，留给他们的时间越来越少了，他必须抓住每一次外出的机会，这一次[吴富春]速度慢了许多。
1:11:18|1:11:30|他谨慎地走在雪地中，不知过了多久，周围的海鸟引起了[吴富春]的注意，只见那海鸟在山峰上盘旋片刻后，向更远的地方飞去。
1:11:30|1:11:41|[吴富春]顶着暖阳，顺着海鸟飞走的方向继续前行，[吴富春]爬到一处山坡向下看去，发现了一个头圆滚滚的海豹，这海豹并不怕人。
1:11:41|1:11:52|即使看到[吴富春]也只是懒洋洋地拍拍尾巴[吴富春]，一屁股坐在海豹身边，撩起眼罩用力眨眨眼睛，随后也懒散地卧在雪里。
1:12:30|1:12:37|[吴富春]揪着手套宠腻地看向一旁扭来扭去的海豹。
1:12:42|1:13:0|海豹仿佛听懂了[吴富春]的自言自语，抬头冲他翻了个白眼，此时木屋里[荆如意]正坐在床上，端着一面小镜子仔细地观察自己，她的嘴唇早已干的起皮，黑眼圈也变得越来越严重，即使这样。
1:13:0|1:13:8|她依旧尝试勾起一丝笑意，此时[吴富春]正撅着屁股好奇地打量着冰层下方游动的海鱼。
1:13:8|1:13:19|为了看得更清楚，他趴的相当的低，这些海鱼在[吴富春]眼里就是现成的食物，然而在看到一头巨鲸贴着冰面游过时。
1:13:19|1:13:33|他的脸霎时变得铁青，[吴富春]一动不动，静悄悄地趴在冰面上等待这头庞然大物的离去，只见原本就有裂痕的冰面，在一头巨鲸的摆尾下会撞得粉碎。
1:13:33|1:13:42|[吴富春]根本来不及逃跑，他坐在地上慌里慌张地向后蹭了几步，就直接落入了水里，海水湍急，深不可测。
1:13:42|1:13:51|用来护眼的内衣和毛线帽均被冲走，更不幸的是[吴富春]一只鞋也掉进了深海里消失的无影无踪。
1:13:51|1:14:8|但此刻[吴富春]根本无暇顾及这些，他用尽全身的力气游到最上层，但由于光的折射产生了视觉偏差，导致他与冰洞擦肩而过中撞上了冰层，万般无奈下他只能游到另一处继续寻找出口。
1:14:8|1:14:20|然而不管试了多少次，依旧只能撞到冰面上，根本无法看清楚出口[吴富春]从来没有这么绝望，过长时间的闭气导致大脑缺氧。
1:14:20|1:14:28|他最后的一口气也吐了出来，[吴富春]无助地睁着双眼，双手还举过头顶，缓缓的向海底沉去。
1:14:28|1:14:36|突然一些神奇的生物仿佛鱼雷般嗖嗖的进入海底，灵活的游动着，他们绕着[吴富春]转一个圈。
1:14:36|1:14:44|趴着他的身体冲向地面，他迷茫地抬头看去发现这些企鹅不约而同的冲进同一个方向。
1:14:44|1:15:7|那是出口，[吴富春]仿佛看到了生的希望，拼命摆动着双臂朝企鹅的方向游去，他撑住最后一口气，硬是靠着意志力摆动四肢，向上游着这些小企鹅轻而易举地就从冰面里跃出来，一摇一摆地向前走去，而[吴富春]也在他们的帮助下终于扒住冰面，喘了好几口气。
1:15:7|1:15:16|还强撑着爬出来，[吴富春]蜷缩在冰面上，抱着胳膊瑟瑟发抖，帽子、背包、鞋子全部都没了。
1:15:16|1:15:43|如何生存在[吴富春]这里变得异常艰难，只见他怀抱双臂光着脚踉跄地向前走着，他急忙拉开衣服口袋，掏出几颗水果糖，[吴富春]的手早已经冻僵了，糖纸都撕不开，一不小心还将糖滚在了地上，他艰难地跪在地上，捡起糖果，颤颤巍巍地放进嘴里咀嚼着，这些水果糖是他目前获得能量的唯一来源。
1:15:43|1:15:52|转眼间，南极的天气又是风雪交加，[吴富春]不知走了多久，再次穿过山坡走在一处平原。
1:15:52|1:16:0|没有防滑靴的保护，[吴富春]的右脚已经冻得硬邦邦，身上的衣服已经在风雪中被冲得冻成一块。
1:16:0|1:16:18|发梢眉毛睫毛更是结着一层冰霜，他面色僵硬，双眼迷离，靠着一股毅力，下意识地摆动身体[吴富春]知道他不能倒下，有一个人正在等着他回家，就这样[吴富春]顶着凛冽的寒风一步一步地向家走去。
1:16:19|1:16:28|此刻[荆如意]正坐在床上假寐，突然被屋外发电机的声音所惊醒，她睁开眼睛看着电炉。
1:16:30|1:16:46|[吴富春]颤颤巍巍地走进屋子，关上门又扶着架子，一瘸一拐地走过玄关，只见[吴富春]的脸已经被冻成了黑紫色，在看到[荆如意]安然无恙后。他再也支撑不住，直挺挺地倒了下去。
1:16:55|1:17:8|[荆如意]跪在[吴富春]身边，立刻替他拉开衣服，脱下手套，他毫无知觉地躺在地上。任由[荆如意]摆布，[荆如意]撑起[吴富春]的上半身，将冻成冰壳的滑雪服丢在。
1:17:8|1:17:19|一边，又将里面湿漉漉的羽绒服也拽了下来，随后她又解开[吴富春]的鞋子，脱掉他的袜子，没有鞋的右脚早已冻成了黑紫色。
1:17:19|1:17:31|此刻[荆如意]的眼里只有担忧和害怕，平静地看着毫无知觉的[吴富春]，慢慢的解开自己的外套，在这种时刻能救他的办法或许只有相互取暖了。
1:17:32|1:17:50|[吴富春]变成这样何尝不是为了自己，只见[荆如意]褪去全身的衣物，赤身贴上[吴富春]被冻得通红的胸膛，她头靠在[吴富春]的胸口，将自己的体温慢慢传递到他身上，[荆如意]闭上双眼，抱紧[吴富春]睡了过去。
1:17:50|1:18:4|风雪停了，乌云散开后，太阳再次高悬在南极上空，木屋被阳光照得暖烘烘的，电暖炉也依旧亮着光，[荆如意]和[吴富春]躺在方桌旁边的地板上未曾醒来。
1:18:4|1:18:17|[荆如意]在地上细心的铺上了毯子，还将毛毯盖在二人身上，此时[吴富春]身上的寒意已经褪去，恢复了正常的肤色，他迷茫地睁开双眼愣了片刻。
1:18:17|1:18:29|在确认自己活下来后，[吴富春]长出了一口气，愣愣地盯着天花板，在这短短的几秒内，他的脑海里已经将之前发生的事情想了个遍。
1:18:29|1:18:39|他身子一动不动，只是悄悄地侧过脑袋看向这个赤身躺在自己身边，还在酣睡的女孩，[吴富春]一改平素嚣张的模样。
1:18:39|1:18:52|宠溺地盯着[荆如意]熟睡的脸，他忍不住勾起一丝笑意，又紧张地咽了口唾沫，脑袋一点一点地向[荆如意]靠去，然而[吴富春]眼看着就要亲到[荆如意]时。
1:18:52|1:19:4|突然闻到一股不明的味道，原来电暖炉旁的滑雪服已经冒了烟[吴富春]一个箭步冲上去，将滑雪服抱进怀里，只见肩膀处已经被烧了一个大洞。
1:19:4|1:19:15|通过这个大洞，他看到了被惊醒的[荆如意]，[吴富春]心疼地看着已经开始飞毛的洞，用不解的眼神回应着[荆如意]，在[荆如意]避嫌似的侧过头后。
1:19:15|1:19:33|他才懂得[荆如意]刚才的眼神，他赶紧将衣服盖在自己的下身，二人相视无言，滑雪服破了，[吴富春]只能裹着厚毯子，这天他他拿着一个铁锹不停的翻着雪，渐渐的一只黑色鞋底漏了出来，[吴富春]停下了动作。
1:19:38|1:19:44|[吴富春]双手捧着雪仔细地将娜塔莎的脚重新掩埋了起来。
1:19:44|1:19:53|而娜塔莎的靴子被[吴富春]脱了下来，套在了自己的脚上，一双不起眼的防滑靴却是支撑着他们生存的重要条件。
1:19:55|1:20:14|突如其来的敲门声吓得[吴富春]立马站了起来，他有些惊慌丢下饭盒后直冲门口，[荆如意]也着急地站了起来，[吴富春]打开木门瞬间就被冻得打了个冷战，他仔细的打量着4周，却没有发现什么。
1:20:14|1:20:18|[荆如意]撑着桌子满脸担忧地看着门口。
1:20:18|1:20:30|而[吴富春]站在门口张望了好半天，也没见着半个人影，他身上穿着一件毛衣，根本扛不住门口的寒风，又过了片刻后缓慢的关上了门。
1:20:31|1:20:38|[荆如意]不放心地把视线从门口转移到了窗户上。
1:20:42|1:20:54|如意皱着眉头突然想起了小鹿的鞋子。
1:20:56|1:21:6|两个人眼睛眨也不眨的看着门口，但木门被吹开的瞬间吓得六神无主，[吴富春]直接跳上了桌子缩成一团。
1:21:6|1:21:18|如意拉着[吴富春]将头死死地埋在他的胳膊上，[吴富春]又抄起手边的饭盒举在头顶，壮着胆目不转睛地盯着门口，此时他们的神经像是被拉满了弓弦。
1:21:18|1:21:29|随时都有可能断掉，透过架子可以看到一个灰色的身影，路过玄关，正朝屋内走来，一只肉嘟嘟的小企鹅出现在两人面前。
1:21:29|1:21:50|[吴富春]和如意在看到小企鹅的那一瞬开怀大笑，小企鹅一点都不怕，人类摇摇晃晃的走到中央后，抬起头4处打量着，随后又在屋子里走来走去，[吴富春]急忙跳下桌子，拿起桌子上的衣服小心翼翼地朝企鹅走去，小企鹅正在好奇地打量着。
1:22:5|1:22:12|不甘心地看着眼前肉嘟嘟的企鹅又撇了一眼如意。
1:22:12|1:22:29|垂头丧气地将衣服扔到地上，赌气似的靠在床尾坐了下来，傻乎乎的企鹅好奇地看着眼前的衣服，伸长了脑袋钻了进去，[吴富春]眼巴巴地看着盖着衣服的小企鹅不由得眨巴眨巴嘴。
1:22:34|1:22:41|小企鹅一头撞在柱子上，被摔得四仰八叉，[吴富春]一脸无奈地看着企鹅。
1:22:51|1:23:2|[吴富春]皱起眉头，不满地看着如意，将目光移到了企鹅身上，小企鹅乖乖地站在[吴富春]面前，[吴富春]看着如意，那满脸撒娇和请求的表情。
1:23:26|1:23:33|[吴富春]想伸手摸摸小胖却被啄了一口，但它跳到如意面前，任由她摸着脑袋。
1:23:36|1:24:0|[吴富春]看着叽叽喳喳的一人一鸟脸上泛起了一丝笑意，时间不等人，[吴富春]再次寻找南极科考站，[荆如意]的腿在长时间的休养下已经有了好转，在闲暇之余，[吴富春]还为他打造了一副简易拐杖，叫她使用企鹅，小胖的成功加入成为家里的一员，它调皮地在[吴富春]做饭的时候
1:24:0|1:24:12|去啄他的腿，一人一鸟经常玩的不亦乐乎，每次两个人在家的时候都会寻找方向，重新划分，[吴富春]也会根据经验提出一些建设性的意见。
1:24:12|1:24:24|[吴富春]依旧睡在上铺，而每次[荆如意]醒来后，看向上铺的眼神也全无一开始的冷漠，而是充满柔情。他伸出手悄悄的点向[吴富春]垂下手的指尖。
1:24:24|1:24:35|时光飞逝[荆如意]，也终于可以拄着拐杖站稳身体。在[吴富春]的帮助下，[荆如意]拄着拐杖勉强走了几步，转眼间48天过去了。
1:24:35|1:24:44|[吴富春]站在山顶眺望着，他搞来一只雪橇，让[荆如意]坐在上面推着她飞快地朝坡顶爬去。
1:24:59|1:25:7|小胖依旧喜欢在[吴富春]做饭的时候啄他的屁股，这段时间两个人不执着于寻找科考站。
1:25:7|1:25:15|而更愿意把大把的时间花给对方，[吴富春]拎起鱼扔到远处，看着小胖摇摇晃晃的样子，别有一番风味。
1:25:15|1:25:19|55天过去了，食物越来越少。
1:25:19|1:25:25|[吴富春]默默地将罐头留给[荆如意]。
1:25:26|1:25:38|[吴富春]将鱼肉重新放回[荆如意]的碗中，用变小的语言掩饰着自己的关怀，吃完饭后，[吴富春]将所有的罐头空瓶整理出一整箱丢在木屋外。
1:25:38|1:25:48|一旁的柴油罐上刻度清晰地显示，柴油已经所剩无几，[吴富春]时不时也会推上雪橇，带着[荆如意]来到不远的山坡上散心。
1:25:48|1:26:0|这一天两个人肩并肩坐在雪破边，突然[荆如意]从鼻孔里流出血来，[荆如意]明白这意味着什么。
1:26:0|1:26:6|缓缓地靠在[吴富春]的肩头，[吴富春]笑了笑揽住[荆如意]的肩膀，将她抱得更紧了。
1:26:6|1:26:12|如今海报早已被[荆如意]画得满满当当，她将南边分出30个方向。
1:26:12|1:26:22|[吴富春]寻了整整60天，依旧一无所获。这天[吴富春]出门后，他站在雪地里举着一块黑色石头仔细打量着。
1:27:24|1:27:30|[吴富春]献宝似的将石头递给[荆如意]，[荆如意]接过石头看了半天。
1:27:40|1:27:47|突然石头像是底部融化了一块陷了下去，[吴富春]忍不住凑近闻了闻。
1:28:10|1:28:30|[吴富春]欣喜若狂的笑容突然僵在脸上，[荆如意]意识到后急忙捂住自己的鼻子，但血还是止不住的流了出来，她低下头慌乱地擦着鼻血。怎么擦也擦不干净，看向[吴富春]的眼神里带着一丝忧伤，却依旧打起精神安慰地冲他笑了笑。
1:28:31|1:28:39|[吴富春]面向墙壁躺着，[荆如意]则面向屋内，眼神里还带着一丝迷茫。
1:30:21|1:30:32|[吴富春]仰面躺着，用胳膊盖住眼睛，尽力忍着泪。[荆如意]说完这些话也难过地将头埋进了枕头。
1:30:32|1:30:45|突然[吴富春]像是做了什么决定？他从上面爬了下来，点燃一只烛台放在木桌上，烛台的后面放着一尊圣母玛利亚雕像，[吴富春]单膝跪在[荆如意]面前。
1:31:23|1:31:31|[荆如意]看着面前的[吴富春]也哽咽着说不出话，[吴富春]在空中做了一个拖着戒指盒的动作，举到她的面前。
1:31:44|1:31:49|[吴富春]认真地从盒子中拿出臆想中的戒指，将它举在[荆如意]面前。
1:32:54|1:33:1|[荆如意]哭得泣不成声，不舍得看着眼前的[吴富春]，忍不住扑进他的怀里。
1:33:1|1:33:11|[吴富春]坚定地拥抱着[荆如意]，再也不愿放手，这一刻他们再也不用掩饰自己的情绪，痛痛快快地哭了一场，对于他们来说
1:33:11|1:33:22|时间是无比的残酷，转眼间75天时间到了，柴油耗尽，电暖炉的光渐渐暗了下去，最后彻底消失。
1:33:22|1:33:30|户外再次刮起风雪，气温骤降，没有柴油的发电机失去动力，卡了几次后缓缓停了下来。
1:33:30|1:33:43|残酷的生存问题如同达摩克里斯之箭再次悬在二人头顶，屋外风雪肆虐，[吴富春]却再也不能安然地待在家里，他们必须破釜沉舟再寻出路。
1:33:44|1:33:53|屋内[荆如意]为[吴富春]整理好行囊，又从怀里掏出一本册子。
