0:1:24|0:1:33|1949年1月，中国人民解放军将国民党50万军队围困于北平、天津两地。
1:7:52|1:7:58|[蔡兴福]连连躲避，[姚哲]也笨拙地举着手枪，跟在[蔡兴福]后面。
1:7:58|1:8:7|[蔡兴福]一边向前射击，一边灵活地前进，虽然击毙不少宪兵，但最后还是被多方涌来的宪兵直接用枪杆打晕了。
1:8:7|1:8:16|在后面一直举着手枪不敢射击的[姚哲]看到[蔡兴福]被一群宪兵拖拽走了。
1:8:25|1:8:35|提前总工的解放军们已经调试好坦克的炮弹，而此刻的宪兵司令部前桌群将煤焰吊在屋顶，[蔡兴福]被捆绑着。
1:8:54|1:8:58|解放军进攻天津的炮火已经打响。
1:9:2|1:9:5|钱卓群按动了给子弹上膛的机关。
1:9:5|1:9:7|[梅艳]身后的鼓风机被打开。
1:9:13|1:9:14|钱卓群咬了口桃子。
1:9:16|1:9:19|钱卓群将桃子扔向鼓风机。
1:9:19|1:9:21|桃子瞬间被搅碎。
1:9:26|1:9:45|[蔡兴福]被绑在椅子上，他的脖子被一道铁丝线拉着，铁丝线的那头是一个启动装置，装置连通着一把手枪，手枪正对准[蔡兴福]的脑门，[蔡兴福]那头一旦松懈，机关就会驱动一根铁杆，拨动枪的机关。
1:9:45|1:9:48|而吊在屋顶的[梅艳]也会被卷进鼓风机里丧命。
1:9:52|1:9:57|夭折此时绑着万三，带他来到关押[蔡兴福][梅艳]的楼门口。
1:9:57|1:9:59|[梅艳]的头发离古风姬越来越近。
1:10:21|1:10:24|宪兵小队长叫住了摇车和万三。
1:10:47|1:10:50|万三打开外套是一身的炸药。
1:10:50|1:10:52|小队长还没反应过来。
1:10:52|1:10:55|小队长还没反应过来就被万三一把抱住脖梗。
1:10:55|1:10:59|此时[梅艳]的头发就快被绞进鼓风机了。
1:10:59|1:11:1|[蔡兴福]也在拼命支撑着。
1:11:1|1:11:5|万三驾着小队长来到屋内并迅速将小队长掐死在地。
1:11:7|1:11:12|[梅艳]快要支撑不住了，[蔡兴福]和[梅艳]命悬一线。
1:11:12|1:11:17|[姚哲]将[万三]推进一处小屋，里面两个宪兵正在整理炸药。
1:11:17|1:11:28|[万三]再次打开自己的外套，向两个宪兵展示自己满身的炸药。
1:11:28|1:11:34|[姚哲]拿起宪兵的枪杆将两人打晕，并和[万三]一起将宪兵拴在铁栏杆上。
1:11:40|1:11:49|夭折迅速用枪杆将[万三]也打晕在地，然后跑向关押[梅艳]和[蔡兴福]的地下室，同被关押的还有北平军署们。
1:11:58|1:12:5|遥哲赶紧去拉电闸，停掉了鼓风机，然后用刀割开捆绑[蔡兴福]和[梅艳]的绳子。
1:12:5|1:12:9|[梅艳]从屋顶掉下来，遥哲扑上去接住[梅艳]。
1:12:9|1:12:23|之后，遥哲又试图用枪杆撞开关押军属的铁门锁，几次没撞开，遥哲举起枪，锁被打开，家属们获救。
1:12:23|1:12:27|外面，解放军的炮火精准击穿了宪兵的多处射击点。
1:12:36|1:12:43|前卓群带着几名宪兵守在司令处外面，宪兵们在调试炸弹启动装置。
1:12:43|1:12:47|钱卓群目视前方，等待着时机。
1:13:16|1:13:21|军属们迅速一起撞墙，寻找暗门。
1:13:21|1:13:24|解放军的炮火已炸向钱卓群所处的位置。
1:13:43|1:13:46|[姚哲]敞开外套，他也携带着满身的炸药。
1:13:46|1:13:48|[蔡兴福]拿下一捆，把炸药扔进墙内。
1:13:56|1:14:13|炸药迅速炸开了墙体，一处密封的铁门呈现出来，在外面解放军的炮火已过，钱卓群趴在地上，他渐渐苏醒过来，四下望去周围一片狼藉。
1:14:24|1:14:32|突然，他看到不远处启动司令部炸药装置的宪兵已死，就迅速跑过去。
1:14:32|1:14:42|他扒开宪兵的尸体，手扶炸药装置，恶狠狠地看向司令部。
1:14:42|1:14:45|此时在司令部里，众人已经穿过了暗门。
1:14:52|1:14:54|钱卓群按下炸药装置。
1:15:0|1:15:6|整座司令部里每间房子的炸药都被一一引燃，连环爆炸。
1:15:6|1:15:18|虽然司令部里的众人已经躲进地下室的暗门，但上方炸弹强大的威力摧毁建筑，不时有乱石向下砸来。
1:15:18|1:15:26|[蔡兴福]、[姚哲]带着军属们在暗门通道里艰难前行，忽然一大片乱石堵住军属们前进的通道。
1:15:32|1:15:36|又有一大片乱石堵住了所有人后退的通道。
1:15:36|1:15:41|所有人被夹在了乱石中间狭窄的通道里，无处可逃。
1:15:41|1:15:54|军术们都是老幼妇孺，他们抱着头蹲在地上，以防随时有乱石从上方砸来。
1:15:54|1:15:58|渐渐的，爆炸声平息了些许。
1:16:9|1:16:14|[姚哲]抬头看去，一道微光从上方透进来。
1:16:14|1:16:29|[姚哲]慢慢站起身，冲[蔡兴福]说。
1:16:29|1:16:34|[姚哲]试图爬上出口，正一点点把上方出口处的乱石推开。
1:16:38|1:16:44|而[曹春生]赶来爆炸的司令部。
1:16:44|1:16:53|[曹春生]继续向前奔跑，但还有房间的炸药不断被引燃，他一度被炸药的冲击波推倒在地。
1:16:53|1:16:56|[姚哲]通过推开的狭窄出口小洞。
1:17:49|1:17:52|一个个从出口的小洞中被拉了出来。
1:17:52|1:18:0|而此刻的中正桥上，躲避解放军炮火的宪兵们，见炮火停歇，渐渐站起身来。
1:18:0|1:18:5|而解放军正潜藏在前行的坦克后，向中正桥处的宪兵防御线进攻。
1:18:18|1:18:40|[姚哲]和[蔡兴福]已带着军属们成功逃脱了危险的司令部，这么一大帮人接下来怎么办？大部队已经打到中正桥了，硬骨头，让我们坚持，坚持在罗斯布鲁百货大楼会合。[蔡兴福]摇折在前，军属们跟在后面，[蔡兴福]一举手，示意众人停步。
1:18:40|1:19:0|[蔡兴福]从隐蔽的墙后探了个头，见一小队宪兵从远处走来，迅速躲到街边的沙袋屏障后，宪兵们从他身后匆匆跑过，两人说着悄悄向四下张望。
1:19:11|1:19:18|所有人要从隐蔽处跑向接中心的那辆电车，[梅艳]和军属们相互搀扶着横跨过马路。
1:19:26|1:19:33|此时楼顶上的礼兵正通过望远镜看着[蔡兴福]带着军属们往电车方向小心前进。
1:19:50|1:19:59|[蔡兴福]看到了高楼上投射炮弹的礼兵，就带着曹春生和小葛赶往高楼，进入高楼平台。
1:19:59|1:20:4|[蔡兴福]观望了一下，一面有四个宪兵炮兵，一面有两个。
1:20:4|1:20:12|他用手冲后面的曹春生和小葛，比划着宪兵数量，和曹春生对视了一眼，两人迅速向六名炮兵出击。
1:20:16|1:20:27|六名炮兵还没反应过来就被悉数击倒，[蔡兴福]拿了两发炮兵的炮弹和炮兵设备，小葛拿了一把炮兵的优质步枪，迅速回撤。
1:20:27|1:20:34|[蔡兴福]冲平台上的阁楼开了两枪，躲在里面的礼兵仓皇地跑了出来。
1:20:41|1:21:0|李兵突然疯狂地在高楼屋顶奔跑，[蔡兴福]见用枪射击无法锁定移动目标，就转而用炮弹，他拿起炮弹装在设备弹口，用大拇指对着李兵的位置侧距，李兵慌慌张张地向前奔跑，[蔡兴福]预估了李兵奔跑的距禿和速度。
1:21:0|1:21:8|沉着冷静地发射了炮弹，在李兵翻过一堆沙袋障碍物时，成功击中了他。
1:21:17|1:21:20|之后，[蔡兴福]带着军属们都上了电车。
1:21:20|1:21:34|[姚哲]启动电车，站在车厢后面的[梅艳]，随着电车的行驶，看着此时窗外一片狼藉，空荡荡的街道。
1:21:34|1:21:39|[蔡兴福]等人也都站在车厢内，时刻观察车厢外的情况。
1:21:43|1:21:50|突然，一辆车从另一条街道侧拐进电车所在的这条街。
1:21:50|1:21:56|正在突袭，[蔡兴福]忙蹲下隐蔽，使[姚哲]带着三名宪兵追击而来。
1:22:0|1:22:3|[蔡兴福]看到身旁害怕的军属小朋友。
1:22:3|1:22:8|为了保护大家安全，他端起步枪站起身来，朝尾随的车射击。
1:22:8|1:22:16|军属小朋友看到[蔡兴福]刚刚蹲下的地方遗留着一滩血迹。
1:22:16|1:22:20|此时，中正桥上战火激烈。
1:22:20|1:22:25|宪兵防御线上，一支机枪连连射中坦克后行进的解放军。
1:22:28|1:22:33|随着进攻的行径，急救员也迅速跟上，救助受伤的士兵。
1:22:50|1:22:58|另一边，宪兵的机枪威力极强，车厢后的[蔡兴福]和小葛在密集的子弹中迅速蹲下身躲避。
1:22:58|1:23:10|[蔡兴福]的腹部已被多发子弹击中，他已经不从电车前的入口处探出身，朝车后尾随的前着群射击。
1:23:10|1:23:15|宪兵朝电车内扔了枚手榴弹，[蔡兴福]迅速扑上去，用身体护住了手榴弹。
1:23:19|1:23:21|没有让榴弹炸伤车上的其他人。
1:23:26|1:23:29|[曹春生]英勇牺牲了。
1:23:29|1:23:47|又一次亲眼看到战友的牺牲，[蔡兴福]奋力站起身，抓起手中机枪就朝一直尾随的[钱卓群]射击，这一发发子弹中潜藏着愤怒，[钱卓群]车上的士兵被[蔡兴福]悉数击倒，只剩[钱卓群]一人，他拿起机枪跳下车。
1:23:47|1:23:54|车直冲冲地撞上缓慢前行的电车，[姚哲]和[蔡兴福]回过身来，电车要撞上前面的废墟。
1:24:1|1:24:18|剧烈撞击下，整辆电车倾倒，另一边，中正桥上，解放军势如破竹，两辆解放军的坦克形成坚固的前进防御攻势，不断向前进攻，解放军就要攻下中正桥，向城内进发了。
1:24:35|1:24:49|这一边，[蔡兴福]正带着军属们从电车里爬出来，要者先将孩子从电车里抱了出来，再去拉电车里困住的妇女和老人。
1:24:49|1:24:56|[蔡兴福]赶到车尾，[梅艳]和一些军属正被困在车厢里。
1:24:56|1:24:58|[蔡兴福]用枪敲开车厢玻璃。
1:25:12|1:25:17|小葛去找观测点，之前跳下车的[钱卓群]也渐渐苏醒过来。
1:25:17|1:25:26|他从地上爬起来，正好看到[蔡兴福]带着所有军属逃往中原百货的楼里。
1:25:40|1:25:55|解放军已顺利攻下了中正桥，大部队继续向城内进发，但城内高楼上的宪兵火力也依然不容小觑。
1:25:55|1:25:57|此时，中原百货内。
1:25:59|1:26:9|众人向后看去，一个装甲坦克正朝中原百货逼近，坦克上正站着凶狠的[钱卓群]。
1:26:9|1:26:17|他势在必得地冲众人一笑，抓起坦克上的机关枪。
1:26:17|1:26:22|[钱卓群]挤发子弹后，中原百货的门玻璃破碎散落。
1:26:31|1:26:45|坦克的一发炮弹下，中原百货的门瞬间被炸开，而高楼上方观测点的小哥看到[钱卓群]迅速向其方向发射了一枚炮弹，[钱卓群]机警地躲藏在坦克里，在百货楼内。
1:27:1|1:27:5|[梅艳]脱下自己的外套，抱起一位老奶奶怀中的小女孩。
1:27:5|1:27:10|前桌群的坦克突然移动炮火攻击方向，正对准了高楼。
1:27:10|1:27:15|高楼上的小哥还没来得及躲藏，就被直接炸死。
1:27:15|1:27:22|又看到一名战友的牺牲，[蔡兴福]愤怒地朝坦克开枪，坦克突然向百货大楼驶来。
1:27:36|1:27:47|坦克冲破建筑，挑衅地朝躲在二楼的军属们射击，又一发炮弹轰向二楼。
1:27:52|1:28:8|[蔡兴福]和[姚哲]跑向另一侧，他们见坦克又要向二楼的军属们发射炮弹，[蔡兴福]迅速朝坦克发射几枪子弹，吸引坦克内的守卫群，改变进攻方向，坦克果真调整了方向，直直地朝[蔡兴福]二人进攻。
1:28:12|1:28:31|二人赶忙跑向货架的隐蔽处，[钱卓群]从坦克内稍稍探出头，观察进攻方向，而躲在货架处的二人突然发现，头顶慢慢出现了坦克的炮弹口，二人忙继续向前躲避，坦克拧压着货物架，坦克发射的子弹也击中了他们的一只胳膊。
1:28:31|1:28:34|二人好不容易跑到了吧台后。
1:28:40|1:28:47|[太幸福]抓起吧台一瓶酒，看向[姚哲]，然后起身翻过吧台，跑向另一边，吸引坦克内[钱卓群]的注意力。
1:28:47|1:29:1|这边，[姚哲]心领神会地迅速抓起吧台上的几瓶烈性酒，看向一侧摆放旗袍的货架。
1:29:1|1:29:5|[姚哲]前去撕开旗袍的布料，并将布料塞在酒瓶口上。
1:29:9|1:29:13|这边负责引诱[钱桌群]的[蔡清福]快招架不住了。
1:29:13|1:29:23|[蔡清福]坐在地上，按下手上的手榴弹，一闪身，将榴弹扔向[钱桌群]驾驶的坦克车车底。
1:29:23|1:29:27|坦克被炸停，但坦克的炮口正在对准刚站起身的[蔡兴福]。
1:29:32|1:29:45|这时，夭折带着燃烧的酒瓶赶来，并麻利地将酒瓶扔进坦克的窗口，促使坦克内的钱卓群钻出坦克。
1:29:45|1:29:51|钱卓群刚从坦克里探出头，[蔡兴福]举枪射击，钱卓群被击中，掉回坦克里。
1:29:59|1:30:12|高楼上的宪兵枪弹依然强势不少行进的解放军被机枪子弹击伤。解放军的两架坦克依然并行作掩护，坦克炮筒对准高楼上宪兵的射击点。
1:30:24|1:30:29|数颗炮弹下，险兵最后的防御点被击落。
1:30:29|1:30:40|解放军顺利挺进城内，一名士兵挥舞着一面红旗跑进队伍，并将红旗插在了中正桥的一侧，天津城终于攻下来了。
1:30:47|1:30:56|而在此刻的百货大楼内，[蔡兴福]和[姚哲]缓步走向二楼的君属们，本以为要庆祝胜利了。
1:30:56|1:31:3|一个小女孩突然指向[姚哲]身后，钱卓群竟然还活着。
1:31:3|1:31:14|他正举枪瞄准二楼的君属们，[姚哲]健壮忙用身体挡在他们面前，枪弹直射[姚哲]的心脏。
1:31:37|1:31:44|[梅艳]拿着一把手枪射向钱卓群，钱卓群惊讶地看向[梅艳]，[梅艳]举着枪从二楼往下走。
1:31:54|1:32:4|[梅艳]果断地击中钱卓群的腹部、腿部，钱卓群跪倒在地。
1:32:4|1:32:9|[梅艳]又果断地射出一枪，正中钱卓群的眉心。
1:32:9|1:32:12|[梅艳]终于亲手击毙了钱卓群。
1:32:19|1:32:30|解放军大部队也在此时顺利赶到中原百货，所有人终于获救了。
1:32:30|1:32:34|而被钱卓群击中的[姚哲]此刻正奄奄一息。
1:33:28|1:33:33|[姚哲]拼尽最后的力气向[蔡兴福]道歉。
1:33:50|1:34:4|渐渐地，[姚哲]的眼神变得迷离，喘息声也变得平静，他不再说话，慢慢地死去了。
1:34:4|1:34:8|[蔡兴福]哭着，用头捶着身侧的墙壁。
1:34:17|1:34:22|转场后，[蔡兴福]推开教堂的大门，走了进去。
1:34:53|1:34:57|[蔡兴福]抱起小兰离开教堂，三小姐跟在后面。
1:34:57|1:35:7|三人走出教堂，小兰疑惑地看向远方，现在的她还不知道自己的爸爸已经去往了天堂。
1:35:7|1:35:14|但[姚哲]英勇就义，挽救几十名君属性命的英雄事迹将永远被人们铭记。
1:35:19|1:35:31|电影画面来到新中国成立之时，解放军们老百姓们驾着车，车上贴着中华人民万岁的横幅，放着伟大领袖毛主席的头像。
1:35:31|1:35:37|[蔡兴福]抱着小兰走在人群中，小兰也举着一个小红旗。
1:35:37|1:35:41|他们和路边等候他们的[梅艳]小五子和三小姐一起继续向前走。
1:35:44|1:35:49|[梅艳]也穿着军装，此时的她也是解放军的一员了。
1:35:49|1:35:58|他们奔向天安门的方向，看到百姓的欢呼中，解放军们列着整齐的方阵正走过天安门前。
1:35:58|1:36:2|[蔡兴福]似乎看到人群中有一个拿着小号的小解放军。
1:36:24|1:36:39|天安门城楼下一片沸腾，[蔡兴福]兴奋地嚎叫着。
1:36:39|1:36:41|听后，小兰也开心地嚎叫起来。
1:36:51|1:37:2|画面定格拍下了这张五人欢庆新中国成立时的照片，这张黑白照片背后是满满的历史与记忆。
