0:1:40|0:1:46|[林向宇]和[李大鹏]扎着马步，亮出了他们中间的秘密武器，羊驼。
1:15:41|1:16:5|[管超]也回忆起跟[杜潇潇]第一次相遇时的一眼万年。[林向宇]的回忆里是[徐美心]跟自己小时候巧遇的照片，还有怀里[徐美心]甜甜的笑容，面前的炭火不停地燃烧，兄弟们昏昏睡去，一夜无话。
1:16:5|1:16:14|第二天清晨，[李大鹏]听到外面有车的鸣笛声跑向楼边见，外面的天光渐渐亮了，[李大鹏]便回头招呼兄弟们
1:16:17|1:16:28|4个人并排站在楼边看着渐渐苏醒的城市，那是从未见过的凌晨的上海，
1:16:37|1:17:2|[谢训]点燃一支烟，抽了一口自然地递给旁边的[林向宇]，随后他一把拽下脖子上的项链，打开看着里面小静的照片[谢训]用尽全身力气把项链扔了出去，他终于放下了，
1:17:12|1:17:24|说完[林向宇]狠狠地抽了一口烟，顺手递给了身边的[李大鹏]，[李大鹏]则缓缓开口道
1:17:42|1:17:51|一段时间之后，伴随着一群白鸽飞上天空，学生们也往天上扔出自己的学士帽，他们终于迎来了毕业
1:18:2|1:18:14|操场上[谢训]在为兄弟们拍摄毕业照，留下学生时代最后的记忆。正式上班的第一天，[林向宇]西装整洁，头发油亮地站在公司楼下
1:19:28|1:19:47|在[王总]的带领下，大家都发自内心的欣赏这个勇敢自信的小伙子，为他起立鼓掌，送上祝福。走出公司大楼已经快要黄昏了，但[林向宇]的人生才刚刚开始，他把背包甩到肩上，仍然像个少年微笑着冲进人群里面。
1:19:47|1:19:58|第二天他笑容灿烂地跟浩浩荡荡的毕业大军一起蜂拥着涌进人才招聘会，重新开始靠自己寻找工作的机会。
1:19:59|1:20:8|富二代[李大鹏]的生活就安逸多了，悠闲地在路边的店里买了两只冰激凌，一转身却发现羊驼罗杰不见了。
1:20:10|1:20:18|[李大鹏]开始顺着路边寻找，他看见周围的路人都在讨论着羊驼的可爱，于是赶紧上前开口问道，
1:20:23|1:20:48|顺着路人的指引，[李大鹏]跑了过去，发现在一家精品店外，羊驼罗杰正靠在一只母羊驼身边，温柔地蹭着他的脖子而牵着母羊驼的，是一个戴着珍珠项链的少女，她正微笑着抚摸罗杰的脑袋，少女抬头对着[李大鹏]微笑，[李大鹏]面露羞涩，紧张地递上刚买的冰淇淋，少女扑哧一笑居然接了过去，
1:20:48|1:21:10|又是一段美好的开始，美国洛杉矶陆潇潇的宿舍里陆潇潇的室友在一边聊天，陆潇潇坐在自己的床上收拾着从国内带来的行李，突然发现多出了一样东西，这是[管超]从不离身的大菜刀，居然漂洋过海跟随自己而来。
1:21:10|1:21:17|陆潇潇泪流满面，激动地打开了包装
1:21:26|1:21:39|就在陆潇潇伤感的同时，身在上海的[管超]也端详着那枚曾经属于陆潇潇的平安符，回忆着曾经的点点滴滴。他们相隔万里，但他们心心相惜。
1:21:40|1:22:5|另一边[谢训]在小巷子里擦洗着自己的二手小汽车[谢训]听着熟悉的声音和称呼愣住了，过了很久才慢慢起身，回过头看着面前的小静，眼里是复杂的情绪，有眷恋，也有怨念。
1:22:5|1:22:9|小静站在原地对[谢训]微微一笑，还像两人年少时那样安静美好。
1:22:12|1:22:26|谢训注意到[小静]平坦的肚子，[小静]低头淡淡地说道。
1:22:27|1:22:34|谢训紧咬着嘴唇心疼地别过头，去[小静]眼里擒着泪水，看着眼前的大男孩。
1:22:52|1:23:10|[小静]转身拖着箱子离开，谢训冲上前去从背后拉住了她的手，犹豫着谢训终于开口说道。
1:23:14|1:23:18|[小静]看看车子，再看看谢训真诚的脸庞也动容了。
1:23:19|1:23:26|于是谢训开着车去送[小静]，两人相视一笑，仿佛以前的那些不愉快都消失了。
1:23:26|1:23:36|小汽车在上海车水马龙的高架桥上缓缓驶动着，送别了[小静]，也送别了谢训心中的青春懵懂和愤愤郁结。
1:23:37|1:24:1|一年之后，上海忙碌的清晨，街边的小吃店里藏着平凡人家的烟火气，身穿保险工作服的[林向宇]从早餐店的窗口钻出小笼包和粥饭刚刚把早点放在外面桌上摆好，就看到街边朝自己驶来的小轿车，于是[林向宇]赶忙挥了挥手，喊道，
1:24:4|1:24:11|车子缓缓停在路边，一个身穿职业装的长发美女下了车向[林向宇]款款走来。
1:24:11|1:24:19|正是[徐美心]看着已经点好早餐的[林向宇]，[徐美心]喜笑着说了一句。
1:24:53|1:24:57|[林向宇]接过[李大鹏]递来的头盔，戴上。
1:25:9|1:25:14|驶过车水马龙的高架桥，肆意的在风中挥舞着手臂的大男孩们在似火的骄阳里大笑着，驶向曾经最熟悉的地方，母校。
