0:1:18|0:1:26|雾蒙蒙的天色中，整个城市冷障在一片昏暗里，清晨的道路上响起了稀稀落落的鸣笛声。
1:4:9|1:4:12|奶奶眼睛里露出一丝惊喜，微微向着。
1:4:12|1:4:15|放学时，[韩雪]和同学走在街上。
1:4:42|1:4:50|画面一转，在人潮涌动的大街上，几个小朋友聚在一处，每个人手里都捧了一小把玫瑰花。
1:4:50|1:4:53|向来往的行人主动打招呼，很少有人驻足停下。
1:5:3|1:5:18|此时，[韩雪]追上一个憨厚的男人，嘴里似乎在说着什么推销的话，男人像异样的想要推开女孩离去，但[韩雪]一直追着男人，将手里的花递到男人面前，男人好像好不容易被说动了，拿走了一枝。
1:5:24|1:5:34|面对[韩雪]的欢呼喝彩，同学们却反应不大。
1:5:34|1:5:42|这样想着，孩子们再一次鼓起干劲，整理好手中的花，在大街上徘徊，向每一个路人兜售。
1:5:42|1:5:47|他们拦下半路上买菜的奶奶，追着旁边提着袋子的小情侣。
1:5:47|1:5:52|他们只是希望能够多卖出去一点，然而生意总是不尽如人意。
1:6:22|1:6:32|男孩跑回家拿来了手风琴，然后和[韩雪]一起去了兮兮然女的大街上，一边拉着琴，一边唱歌，一边向路过的人卖花。
1:6:32|1:6:37|而这一幕，也被不远处天桥上的两个人看在眼里。
1:6:52|1:6:59|这样说着，天台上的男女相识一笑，收起手里的设备，走下台阶，向[韩雪]的方向走去。
1:6:59|1:7:8|这天晚上，[韩少芬]照例收拾起房间的卫生，她手里拿着一块皱巴的抹布，在昏暗的灯光下收拾桌子上的东西。
1:7:8|1:7:14|她将桌面上的书本拿过来，然后用抹布擦拭着每一个角落，收拾到[韩雪]的铅笔盒时。
1:7:15|1:7:22|他顺手将笔盒打开，没想到在文具盒的底下，却发现一张大额的纸币，用铅笔压着。
1:7:22|1:7:31|他拿着那张皱巴的纸币，在微弱的台灯下翻来覆去地看了半天，脸上闪过一丝惶恐，一丝愤怒，片刻之后便成了难掩的疑惑。
1:7:31|1:7:34|于是，他来到[韩雪]的床边。
1:9:9|1:9:14|[韩少芬]伸出手，紧紧地将[韩雪]揽在怀里，细心地帮她衣好被子。
1:9:14|1:9:20|第二天放学，孩子又背着自己的小书包，走到了路边的一处栏杆旁。
1:9:20|1:9:24|[韩雪]缓缓坐下，微微蹙着眉，脸上露出了纠结的神色。
1:10:12|1:10:16|空气好像凝固一般，听了这话，[韩雪]一下子站起来。
1:10:59|1:11:2|寒雪想了想，然后微微点头。
1:11:2|1:11:8|次日，市中心的天桥上，[韩雪]跪在垫子上，头上插着草，同学们站在她的身后。
1:11:15|1:11:17|旁边的小女孩儿似乎对[韩雪]做了个挺心。
1:12:58|1:13:4|而在刘阿姨家里，正在忙着家务的阿姨，突然听到了电视传来的声音，大娘，您好。
1:13:44|1:13:52|女人话音刚落，奶奶当场僵在原地，连手里握着的玻璃瓶都恍然未觉，一不留神摔在了地上。
1:13:52|1:13:56|看着女人摘下眼镜后熟悉的面孔，奶奶这才悔过神来。
1:14:0|1:14:6|[韩奶奶]脸上的表情，有刚才的茫然，逐渐转变为一种后知后觉的惊喜。
1:14:6|1:14:10|她向[韩雪]的妈妈露出真挚的笑容，连忙将她领到屋子里。
1:14:10|1:14:21|[韩雪]的妈妈跟着奶奶亮亮呛呛的脚步，慢慢地走进了这所破旧的老房子里，走进了[韩雪]从出生到现在住了近十年的一处居所。
1:14:21|1:14:28|房间里四处透露着古朴和艰苦的气息，墙上的屋子斑驳陆离，墙壁年久失修。
1:14:29|1:14:35|一共只有两千房，唯一值钱的可能只有那个重金买来的六英斤，静静地躺在桌上。
1:14:35|1:14:47|[韩雪]的妈妈茫然地看到屋子里的一切，这样艰苦的环境让她有些无所适从，她的视线没有落点地在屋里扫射着。
1:14:47|1:14:48|奶奶跛着脚。
1:14:52|1:15:3|[韩雪]的妈妈弯下腰，有些诚惶诚恐地接过奶奶递来的水碗，放到面前的桌上后，又和奶奶面对面地坐下。
1:15:3|1:15:8|女人低头避过奶奶的目光。
1:15:15|1:15:25|就在这时，一直照顾[韩雪]一家的刘阿姨推门而入，看向[韩雪]妈妈的眼神几乎带着绿色，奶奶赶忙将她拉到一边。
1:15:40|1:15:43|刘阿姨握住奶奶的胳膊，低头思考片刻。
1:15:46|1:15:51|刘阿姨摇摇嘴唇，绕过奶奶，静止地走向[韩雪]妈妈。
1:16:39|1:16:42|听到这话，在场的两人都愣住了。
1:16:42|1:16:44|片刻之后，[刘太太]望着他开了口。
1:16:56|1:16:59|[韩雪]妈妈握住奶奶的手，痛苦不已。
1:18:0|1:18:21|说着[韩雪]妈妈脸上的泪几乎要落下来，她垂下的脸上写满了愧疚。
1:18:21|1:18:24|做到这时，房间的门又被推开了。
1:18:28|1:18:32|听了记者的指责，[韩雪]妈妈的脸上已经挂不住。
1:18:32|1:18:37|她一言不发地推开屋子的门，亮亮呛呛地从里面跑了出来。
1:19:14|1:19:18|深夜里，[韩雪]在梦中喃喃自语。
1:19:52|1:19:59|奶奶紧紧地抱着[韩雪]，心痛地将她揽在怀里，用双手捧起她的脸，拂去她脸上的泪痕。
1:19:59|1:20:5|次日，[韩雪]妈妈坐在办公室里，手里拿着一根笔，在本子上写着什么。
1:20:45|1:20:47|男记者义正言辞地说道。
1:20:47|1:20:50|旁边的女人侧过身向男人示意领下。
1:21:18|1:21:21|小[韩雪]的妈妈搓起眉头，转身就走。
1:21:21|1:21:25|另一边，小[韩雪]、刘阿姨和奶奶三人正走在路上。
1:21:30|1:21:32|阿姨笑着摸了摸小[韩雪]的头。
1:21:32|1:21:35|与此同时，小[韩雪]妈妈刚出单位。
1:22:0|1:22:7|在秘书帮她向媒体读唱语录的这段时间里，小[韩雪]的妈妈浑浑噩噩地走在街上。
1:22:14|1:22:18|不久，我的男朋友结识了一位高官的女儿。
1:22:31|1:22:35|这时，我已有了几个月的身份。
1:22:42|1:22:47|说着，小[韩雪]正托她奶奶和阿姨的手，撒开脚向前方跑去。
1:22:47|1:22:51|而小[韩雪]的妈妈穿过人群，脚步越来越快。
1:23:41|1:23:48|两人离开了市政厅门口，此时的[韩雪]妈妈走过了人群，来到一片郁郁葱葱的树林中。
1:23:48|1:23:58|她快步越过地上零碎的枯枝和落叶，影子在身后拉出孤单而瘦削的形状，她的目光空洞向前方走着。
1:23:58|1:24:5|一路无言，她一直走到了悬崖边，站在孤零零的海峡上望向海面，只留下一个轻瘦的背影。
1:24:43|1:24:48|[韩雪]妈妈垂下眼眸，在黄草地中一步一步走过来。
1:24:48|1:24:53|她逆着光，脸上的光影变幻莫测，似乎思考着来路与归途。
1:24:53|1:24:59|最终，她站在那个熟悉的垃圾箱前，过去与现实在她眼前重叠。
1:24:59|1:25:5|那个破旧的垃圾箱一如往昔地安静地矗立着，只是多了一些水尖的裂痕。
1:25:5|1:25:11|他忽然有所感地转过头，没想到，映入眼帘的是独自冲出来找他的[韩雪]。
1:25:11|1:25:22|他的身体一瞬间地僵直了，命运的因果此刻在他眼前汇聚，坍缩又重现，丢弃的记忆，过去的人生，[韩雪]的幻想，妈妈的愧疚。
1:25:25|1:25:30|那一声识破惊天的呼唤，好像把在云端的妈妈拉回到了人间。
1:25:30|1:25:39|她几乎是踉跄的，双腿有些不听使唤地向[韩雪]跑去，然后伸出手，将这个熟悉又陌生的孩子揽在怀里。
1:25:39|1:25:59|在细微的天色中，在临近春天的回暖中，在韩奶奶与刘阿姨欣慰与触动交织的曝光中，这一对母女终于抱在了一起，[韩少芬]一手揽住[韩雪]的腰，将她抱到自己的肩上，[韩雪]将头渗渗地埋在妈妈的颈部处，肩部轻轻抽动着，
1:25:59|1:26:1|发泄着压抑的情感。
1:26:1|1:26:5|而直到此刻，[韩少芬]的魂魄才堪堪回到身体里。
1:26:6|1:26:16|他茫然的表情瞬间消失，眼角不知觉得已经湿润，整张脸也因为激动而皱了起来，仿佛是在宣泄这十年的压抑。
1:26:16|1:26:26|刘阿姨与韩奶奶站在不远处，静静地望着这感人的一幕，他们在无声中对视了一眼，都在彼此的眼中看到了欣慰、平和与爱。
1:26:27|1:26:34|而此刻，[韩少芬]则闭上了眼睛，用心感受着怀中人温暖的躯壳和炽热的内心。
1:26:34|1:26:45|而[韩雪]也紧紧地望着妈妈的面旁，不知抱了多久，妈妈将[韩雪]放下，拉着[韩雪]的手，缓慢而坚定地走向阿姨和奶奶二人。
1:27:3|1:27:10|说着，在韩奶奶惊愕的梦中，[韩少芬]居然跪了下来，还仰头望着奶奶的眼睛。
1:27:27|1:27:30|奶奶用力拉起他。
