0:1:57|0:2:0|董宪洲手把手教年幼的[董海川]习武，
1:37:36|1:37:59|锣鼓声再次响起，新上来的清朝武将展开攻击，还没进入状态，就被洋人撂倒在地，面对再一次的失败，台下观众的气氛降到了冰点，[四王爷]格格还有不少王公大臣此时面露难色，只有[萧王爷]气定神闲，稳坐其中。
1:38:2|1:38:27|咸丰皇帝黑着脸忧心地看着台下，好在没过一会儿又一名清朝武将上台应战，但是对手太过强大，还没出几招，又被洋人撂倒在地，看着接连败下阵的武将，[董海川]再也坐不住了，他挺着腰板站起身，在众人的目光下阔步走上台。
1:38:27|1:38:32|看到[董海川]上台，王公大臣似乎被打了一剂强心针。
1:38:32|1:38:40|在街上被[董海川]打败的洋人意识到情况不妙，他清楚地知道[董海川]是个不好惹的角色，
1:38:50|1:39:2|[董海川]和洋人的较量开始了。开局，洋人便极具嘲讽地笑了声，随后步步紧逼，拳风虎虎，拳拳都是奋不顾身的招式，
1:39:3|1:39:14|招式虽然不是很精妙，但自带的那股杀气却也足够令人心惊。[董海川]沉着应对，然后身躯后仰左右双拳，在空中各画了一个圆弧，
1:39:14|1:39:24|相继交挥而出，雄浑的掌风伴随着一声呼斥声，洋人瞬间脚步踉跄连连后退，台下众人惊呼。
1:39:34|1:39:37|台下的观众看到这一幕热血沸腾，纷纷拍手叫好。
1:39:37|1:39:43|咸丰皇帝看到局势有所扭转，脸上的阴霾也减去了不少。
1:39:43|1:39:51|又一名赤裸上身浑身充满肌肉的洋人壮汉上场，[董海川]在民众的呼喊声中正面迎敌，
1:39:55|1:40:8|和洋人壮汉迂回了几圈，在不了解对方战术的情况下，[董海川]选择保守出击，谁料，在后仰躲避中被抓住软肋，结结实实挨了那人一拳。
1:40:8|1:40:21|显然，这个洋人的武功并不弱，他的拳法刚猛迅疾，[董海川]抓住时机猛出一掌，回击了刚才洋人的那一拳。洋人脸色越发难看，但依旧横冲直撞。
1:40:21|1:40:28|几番较量之后，[董海川]似乎已经算定洋人的出掌套路，他攻防有序，稳扎稳打，
1:40:28|1:40:33|在洋人赤裸的上身留下明显的印记。趁洋人躲避之际，
1:40:33|1:40:48|[董海川]一举将他撂倒在地，洋人壮汉凌空翻转起身，怒冲如牛，但还没靠近[董海川]，就被他一掌劈在脖颈处，紧接着，又反手一掌直冲他的下巴。
1:40:48|1:40:54|洋人壮汉的身躯腾空而起，[董海川]又一掌将他摁倒在地上。
1:41:8|1:41:14|台下的民众更加的兴奋，高声呼喊着他的名字，经此一战。
1:41:14|1:41:23|[董海川]不仅振奋了民心，让清政府扬眉吐气，还得到了咸丰皇帝亲笔御题的八卦宗师牌匾。
1:41:23|1:41:45|民众敲锣打鼓，[董海川]的徒弟举着牌匾走街串巷，将牌匾挂在武馆门上，敲锣打鼓的声音不绝于耳，鞭炮声混杂在其中好不热闹，大批的门徒聚集在武馆门前，分列两旁前来。
1:41:49|1:41:56|[董海川]双手抱拳向4周的门徒回礼，又意味深长地对他们说。
1:42:7|1:42:24|他看着众弟子会心地笑了笑，时至今日，他终于完成了白师傅的遗愿，将多种拳法会于一身，融会贯通，自创八卦掌成为一代武学宗师，也在逐步将武当的武学发扬光大。
