0:3:40|0:3:44|另一边，女主[沙律]踩着一双精美的高跟鞋。
1:23:10|1:23:13|向上笼子[沙律]，架着石先生就跑。
1:23:13|1:23:15|两个正手被一群人冲倒在地上。
1:23:18|1:23:22|一辆汽车停在[石先生]面前，几人快速上车。
1:23:22|1:23:29|[项少龙]奋力将一众房产销售推开。
1:23:29|1:23:33|司机一虎头，竟然是[阿黑]。
1:23:33|1:23:37|他一个掉头转弯，就将一众房产经纪甩得老远。
1:23:37|1:23:46|[阿黑]逆行，连续躲过两辆汽车，将车里的[项少龙]、[沙律]和[石先生]，连同助手耍龙面目玄妃，尖叫违联。
1:23:50|1:23:59|随着发动机的轰鸣声和排气恐吓的黑烟，房产经纪仿佛开着赛车一般地追了上去，甚至将路过的对向车辆逼停。
1:23:59|1:24:5|[阿黑]开车来到一座大桥上，透过后视镜看到身后一辆辆疯狂追逐的车。
1:24:5|1:24:10|[阿黑]十分淡定，换挡加速一气呵成，在车群中遥遥领先。
1:24:39|1:24:44|其他房产经纪的车紧随其后，[阿黑]顺势拐进了一个环岛。
1:24:44|1:24:49|就在此时，一辆麦凯伦从侧插进了车队里，将其他车辆逼停。
1:24:49|1:24:57|[Very Wong]开着麦凯伦和[阿黑]并驾齐驱，向[项少龙]惊讶地指向窗外，车上的几人纷纷看向[Very Wong]。
1:24:57|1:25:3|[阿黑]向[Very Wong]比了一个大拇指，[Very Wong]用拇指蹭过鼻尖，做了一个耍帅的动作。
1:25:4|1:25:13|紧接着，[阿黑]又指了指自己的眼睛，并向后方指了指，示意[Very Wong]后，顺着环岛开了出去。
1:25:13|1:25:33|[阿黑]这边一路畅通无阻，几人和[Very Wong]会合，车都没停，[Very Wong]就拉开车门上了副驾，去无双台的必经之路，工人们正辛勤地给地上原本的线条上色。
1:25:35|1:25:55|将没用的路牌也搬走了，路后处挂起了大大的议员海报，上面写着成功改善半山交通拥堵问题，单行道路牌换成了双行，最低车速改成了70码，路面上的停止线也被油漆刷掉，女议员站在路边向路人们挥着手打着招呼。
1:25:55|1:25:59|还有摄影师在一旁拍摄。
1:26:13|1:26:19|向[项少龙]和[沙律]，中间隔着石先生，就在车上捡了起来。
1:26:21|1:26:23|几人抵达无双台。
1:26:42|1:26:45|两位助理在一旁坐着，看着文件。
1:26:45|1:26:47|向少龙和[沙律]将阳台门打开。
1:27:4|1:27:20|石先生抱住向少龙的脸，吻了一下，他又一次吻了一下，笑了笑说。
1:27:20|1:27:26|石先生看向坐在一旁的助理，助理向他比了一个OK的手势，他向[沙律]伸出右手。
1:27:37|1:27:48|两人正要拥抱时，向少龙横插进来。
1:27:48|1:27:55|向少龙激动地和[沙律]抱在一起，原地转着圈。
1:28:2|1:28:6|向少龙说完，剩下三人静静地盯着他的脸上看。
1:28:19|1:28:25|大家都开心地笑了起来，四个人抱在一起，幸福地欢呼着。
1:28:25|1:28:30|镜头一转，一个非洲美女坐在一辆敞篷货车的后面。
1:28:30|1:28:34|[Very Wong]和[阿黑]两人穿着背心向货车挥着手。
1:28:48|1:28:54|镜头来到一个远离城市的湖边，周围有几栋三层高的小楼。
1:28:54|1:29:0|[沙律]在里面翻看着来信，幸福地笑了。
1:29:0|1:29:7|她递给正在浇花的[项少龙]两张明信片，又打开一封信，拿出一张印满房源的广告纸。
1:29:12|1:29:18|[项少龙]从他手中拿走广告，[沙律]看着他笑了笑走开了。
1:29:18|1:29:22|他将广告揉成一团，扔进了一旁的垃圾桶里。
1:29:22|1:29:28|随后，两人一起卷着睡袋，面前的桌子上还放着许多出游用的东西。
1:29:28|1:29:32|两人一边打闹，一边开心地收拾行囊。
1:29:52|1:29:59|他们背上行囊，快乐地奔跑在坡道上，来到了一块生机盎然的草坪上野营。
1:29:59|1:30:4|[沙律]从营帐中走出来，坐在[项少龙]对面的小椅子上。
1:30:15|1:30:20|两人手拉手，在草地上自由地奔跑着。
