0:2:2|0:2:8|接着，他用力撑起上半身，坐了起来。随后走到屋外。
0:50:44|0:50:50|[林凯]仿佛意识到了什么，他皱着眉头，慢慢睁开了双眼。
0:50:51|0:50:59|但只是机械性地眨了眨，眼神混沌无光，接着，又歪过头沉沉地昏睡了过去。
0:51:0|0:51:6|一转眼，天亮了。
0:51:19|0:51:26|看到[林凯]已经清醒，又看到停在河对岸的轿车，老人将他扶上船坐下后，
0:51:26|0:51:31|带着他来到了对面。[林凯]则左右观察着四周的环境，
0:51:31|0:51:36|但没一会儿，就被两个男人抓住肩膀，拉下了船。
0:51:36|0:51:45|原本在轿车上坐着的[清水]，看到[林凯]走近，立刻开门下车，绕到他身后，用布条蒙住他的眼睛。
0:51:46|0:51:54|从河边离开后，轿车来到一个热闹的集市，穿过了拥挤的人群，继续向前开去。
0:51:56|0:52:1|集市各个地方都安插了[清水]爸爸的眼线，他们默默注视着这辆车的走向。
0:52:2|0:52:10|被蒙着眼睛的[林凯]，只能靠听觉感受周围的嘈杂，而[清水]只是面无表情地坐在他身边。
0:52:10|0:52:16|随后轿车来到郊外，慢慢拐进一所学校里。空旷的教室内，
0:52:16|0:52:20|[清水]爸爸正在大声询问孩子们，谁想和他玩。
0:52:38|0:52:47|而当[清水]带着[林凯]走进后，孩子们都欢呼地将[清水]团团围住。[清水]爸爸则无所谓地坐在椅子上，
0:52:47|0:52:54|来回晃着帕子，注视着这一切。接着，三人一起走进了学校食堂。
0:52:54|0:53:4|孩子们看到为首的[清水]，立刻停下打扫的动作，上前拉住她。[清水]爸爸则炫耀般地对[林凯]说。
0:53:4|0:53:14|接着摆手示意[林凯]坐在自己对面。
0:53:42|0:53:46|[林凯]突然猛地一打哈欠。
0:53:46|0:53:50|[清水]爸爸则用力吸了一口手帕。
0:53:58|0:54:4|[清水]爸爸听完，饶有兴趣地看着他。
0:54:4|0:54:11|而[林凯]此时又没忍住，打了个哈欠。
0:54:26|0:54:34|此时，[林凯]不适地动了动肩膀。见此，[清水]爸爸向他伸出右手，双方刚一交握，
0:54:34|0:54:41|他就用力将[林凯]拉向自己的方向。随后，盯着他的眼睛轻飘飘说道。
0:54:46|0:54:51|[林凯]听完，震惊地瞪大双眼，呼吸也越发急促起来。
0:54:52|0:54:58|随后他想起，在河边的木屋中，老人用针筒给自己注射时的画面。
0:55:6|0:55:15|[林凯]看着手里的东西，整张脸开始不受控制地哆嗦着。而[清水]爸爸则毫不在意地转身离开。
0:55:16|0:55:24|为了制止自己吸毒的欲望，[林凯]疯狂敲打自己的头，无意间，竟将毒品甩了出去。
0:55:24|0:55:29|接着，他用双手紧紧扣住桌面，努力控制自己。
0:55:29|0:55:36|但下一秒，他就像个无意识的傀儡，站起身，寻找被他甩出去的毒品。
0:55:36|0:55:45|一阵翻动间，食堂的凳子，还有桌面上的餐具，被他弄得七倒八歪。夜深了，
0:55:45|0:55:48|宿舍内静悄悄的，孩子们都香甜地睡着。
0:55:48|0:55:53|隔壁房间里，[林凯]拿着一张纸，坐在桌子前面画着什么。
0:55:53|0:55:57|边画边吸鼻子，强迫自己陷入思考。
0:55:59|0:56:12|原来在去学校的路上，他一直用手和脚轻轻拍打计数，并根据这些，在纸上画着地图。然而毒瘾使他呼吸急促，脸上的肉甚至抽搐起来。
0:56:12|0:56:17|因此，他只能手捂着头，强迫自己集中注意力。
0:56:17|0:56:25|此时，面前的纸变得越来越模糊，字和图案仿佛从上面走了下来。
0:56:25|0:56:32|[林凯]握紧双手，努力地想让自己镇定，然而，他还是没有忍住。
0:56:32|0:56:39|床头柜上，[清水]爸爸给的那包毒品仿佛被放大一般，让他一扭头就精准锁定。
0:56:40|0:56:45|但他强迫自己扭回头，颤抖着拿出两根烟，塞进嘴里。
0:56:45|0:56:52|刚吸了两口，又看向那一小包毒品，终于，他回身把东西攥在手里。
0:56:53|0:57:0|盯着拳头想了一会儿，他又再次敲打自己的头，随后，一甩手将毒品扔到了地上。
0:57:1|0:57:8|然后，他猛地站起身，拿起水壶向杯中倒水，一饮而尽后，在房间中焦躁地转着圈。
0:57:10|0:57:19|此时，他看到了一捆麻绳，于是立刻用它将自己的手绑住，固定在床头。
0:57:19|0:57:26|恍惚中，蜷缩在床上的他看到，不远处墙壁上，用粉笔画的小人走了下来，
0:57:28|0:57:40|然后飘在空中，随后，竟化身成[清水]爸爸的样子。[林凯]被吓得猛地一哆嗦，接着，就看到他甩着手帕，向自己的方向走来。
0:57:49|0:57:58|一转头，[林凯]又看到了[李建国]，紧接着，妈妈也出现了。看到妈妈，他终于忍不住崩溃大哭。
0:57:58|0:58:5|而妈妈则扬起嘴角，慢慢走近，坐在了他的身边。
0:58:15|0:58:23|望着痛苦的[林凯]，妈妈轻柔地拍打着他的后背，接着，慢慢将头依偎进他的颈窝中。
0:58:23|0:58:31|[林凯]像孩子般哭诉着。
0:58:31|0:58:40|但这一切都只是[林凯]的幻想，抱住他的人并不是妈妈，而是[清水]。
0:58:41|0:58:46|看到[林凯]松开了自己，[清水]拧开药瓶，在他唇边滴了几滴药水。
0:58:46|0:58:57|接着，又用毛巾温柔地擦拭着他的额头。很快，[林凯]抱着她的胳膊，逐渐停止了挣扎。
0:58:58|0:59:1|见此，[清水]用手抹去[林凯]痛苦的眼泪。
0:59:2|0:59:11|仿佛真的将自己当成了他的妈妈，轻轻抚摸拍打着。终于，[林凯]沉沉地睡了过去。
0:59:11|0:59:15|而[清水]就这样坐在他身边，陪他度过一整晚。
0:59:15|0:59:20|第二天，[林凯]浑身是汗地醒了过来。
0:59:20|0:59:30|他恍惚地眨了眨眼睛，扭过头后，发现枕头边放着昨晚用来捆自己的麻绳。然后又向床头望去，
0:59:30|0:59:39|发现毒品还在后，叹了一口气。书桌前，[清水]正在收拾着桌上的画笔。
0:59:39|0:59:48|[林凯]则慢慢来到她面前，疑惑地问。[清水]停下手上的动作，没有回答问题，
0:59:48|0:59:56|而是站起身，越过他向楼梯口的方向走去。[林凯]则牢牢盯着她，转身望向她的背影。
0:59:57|1:0:5|走出去一段路后，[清水]突然停下脚步站定，然后从裤子口袋中，掏出一张揉成团的纸。
1:0:5|1:0:12|接着转身来到[林凯]面前，举着纸团说。
1:0:13|1:0:20|随即将其扔给[林凯]后，头也不回地离开了。望着已经走远的[清水]，
1:0:20|1:0:25|[林凯]打开纸团，赫然发现，竟是自己画的那幅地图。
1:0:25|1:0:31|正午时分，两辆轿车穿过曲折的林道，向前行驶。
1:0:31|1:0:38|[林凯]坐在第二辆车的后排，而[清水]则坐在他身边，面无表情地望着窗外。
1:0:38|1:0:43|此时，[林凯]注意到，车上的GPS定位一直显示失灵。
1:0:43|1:0:48|就这样开了很久，车队进入了一处隐秘的工厂。
1:0:48|1:0:52|[林凯]透过窗户，不动声色地向外张望着。
1:0:52|1:0:59|此时，工厂一楼，工人们正有条不紊地加工制毒原料。
1:1:0|1:1:7|[清水]则带领[林凯]穿过人群来到二楼，掀开门帘后，[林凯]瞬间呆住了。
1:1:8|1:1:17|面前竟然出现了一座三层楼高的温室培养架，培养架上种植的，正是毒品的原材料，罂粟花。
1:1:17|1:1:24|花的旁边不仅放着加湿器和检测仪，同时，过道中还有持枪把守的护卫。
1:1:33|1:1:40|[清水]爸爸走到[林凯]身边炫耀着。[林凯]扶着护栏回应道。
1:1:52|1:2:0|二人随即相视一笑，但很快，[清水]爸爸又望向培养架，扬起的嘴角瞬间消失。
1:2:0|1:2:7|画面一转，回到云来市，[林凯]正驾着车，载着[清水]向前行驶着。后方，
1:2:7|1:2:15|[清水]小弟则带着兄弟，驾驶第二辆车紧紧跟随。突然，[林凯]从后视镜发现，
1:2:15|1:2:23|[清水]小弟的车后方，跟着一辆企图超车的小轿车。收回目光后，他掏出一根烟叼在嘴里，
1:2:23|1:2:31|接着，拿出打火机点燃。一旁的[清水]看到后，不耐烦地降下副驾驶的车窗。
1:2:32|1:2:42|[林凯]注意后，也放下了自己这边的窗户。随后，漫不经心地将拿烟的手轻轻搭在车门外。
1:2:44|1:3:0|原来，那辆车里坐着[李建国]，他摘掉眼镜，拿出望远镜仔细观察，然后发现，[林凯]正在隐蔽，却有规律地敲击车身。[李建国]立刻吩咐同事。
1:3:2|1:3:7|然后神色轻松地带回眼睛。此时，轿车加速与[林凯]擦肩而过。
1:3:7|1:3:18|[李建国]则在与他平行时，无意降下了车窗。仓库中，装满原木的卡车慢慢启动，向前开去。
1:3:18|1:3:26|宾馆里，[汪波]蜷缩在床上，双手被铐上手铐。随后，便衣警察将他唤醒，
1:3:26|1:3:34|打开手铐后，带他离开了房间。另一边，[林凯]带着[清水]，来到一处破旧的楼内，
1:3:34|1:3:40|穿过曲折又狭窄的过道，最终见到了拿文件袋的[汪波]。
1:3:41|1:3:49|入境关口处，[林凯]和[清水]带着装有原木的大卡车被拦下。
1:3:50|1:3:58|但持枪武警看到批文，便立刻盖下公章，将其放行。随后，车队来到一个木材加工厂中，
1:3:58|1:4:4|工人们正不断从原木里，取出印有双鹰牌字样的毒品。
1:4:5|1:4:10|另一边，[清水]则监视着工人们将一捆捆美金堆满货车。
1:4:10|1:4:16|接着，又打开一旁的箱子，数着里面金条的数量。
1:4:17|1:4:25|几天后，[林凯]再次带着车队，来到云来市。本次他与小北约好，还是像上次一样，
1:4:25|1:4:29|先用卡车运来毒品，再将现金拉回金三角。
1:4:30|1:4:35|互相交换完卡车钥匙后，[林凯]带着手下们，先行离开了。
1:4:35|1:4:43|随即，[李建国]慢慢从工厂深处走了出来，看了眼小北后，从口袋里掏出手机。
1:4:44|1:4:53|宾馆内，[林凯]及另外两人草草吃了方便面，就睡下了。夜半时分，睡得正香的他，突然满头是汗，
1:4:53|1:4:57|脸不自然地抽搐。显然，
1:4:57|1:4:58|这是毒瘾发作了。
1:4:59|1:5:5|于是，在急促的喘息下，他慢慢从熟睡中醒来。刚睁开朦胧的睡眼，
1:5:5|1:5:15|就看到一股股烟，从宾馆门缝下方冒了进来。还没来得及反应，就再次沉睡过去。
1:5:15|1:5:21|突然，房门被轻轻推开，随后，两个人找到[林凯]，将他抬了出去。
1:5:21|1:5:26|房间内包括[清水]等所有人，都对此毫无知觉。
1:5:26|1:5:35|此时，[林凯]的头被按进水缸，窒息感很快让他清醒。随后，猛地抬起了头。
1:5:35|1:5:44|竟然能听到关心的话，[林凯]猛地转身，赫然发现，[李建国]站在自己旁边。
1:5:45|1:5:55|随后，接过他扔来的毛巾，随便擦了擦被打湿的头发。听到这里，[林凯]停下擦头发的动作。
1:6:8|1:6:12|暴怒之下，[林凯]将毛巾狠狠摔在地上。
1:6:12|1:6:21|水顺着他额前的湿发流进眼眶，但他却毫不在意，狠狠瞪向[李建国]。见此，
1:6:21|1:6:27|[李建国]缓缓弯腰，捡起毛巾，重新扔到[林凯]手里。
1:6:29|1:6:39|说完，[林凯]撸了一把头发，大步越过[李建国]，来到天台边。随后，[李建国]走上前，与他并肩而立，
1:7:14|1:7:16|[李建国]皱紧眉头，十分震惊。
1:7:16|1:7:23|叹了口气后，向[林凯]解释。
1:7:47|1:7:54|树林中，轿车突然侧翻，[李建国]直接被甩飞出去。
1:7:57|1:8:3|车内，他的战友[张海涛]，还没来得及爬出来，整辆车就直接炸了。
1:8:4|1:8:10|看着悲愤的[李建国]，[林凯]上前一步，严肃问道。
1:8:16|1:8:30|低头思考一阵后，[李建国]戴上眼镜，再次开口。
1:8:40|1:8:50|[林凯]吸吸鼻子，郑重回应，随后，看了一眼[李建国]，便快步离开天台。相安无事，回到金三角。
1:8:50|1:8:59|[林凯]此时，正坐在肃穆的佛堂外，一根接一根地抽烟。随后，他被[清水]领着走进了佛堂。
1:8:59|1:9:7|此时，僧人正式开始祷告。愿佛祖能转化不幸，也愿能消除疾病，
1:9:17|1:9:25|才能获得长寿、貌美、快乐和健康。此时，僧人双手合十，对佛像深深鞠躬。
1:9:27|1:9:31|接着，转身示意大家，可以献上花环了。
1:9:31|1:9:36|人群先向站在队伍最前方的[清水]爸爸鞠了一躬。
1:9:36|1:9:45|接着，便陆续离开了佛堂。[清水]见状，一言不发地走到佛像面前，望着花环边玉楠的遗像，
1:9:45|1:9:53|她深深看了一眼，然后双手合十，闭上眼睛，真诚地鞠躬。[林凯]则好奇地站在后方。
1:9:55|1:10:7|此时，[清水]爸爸来到他身边，望着遗像，缓缓开口道。望着照片上的玉楠，他温柔地笑了笑。
1:10:8|1:10:15|随后眼神一变，转身盯着[林凯]。
1:10:17|1:10:35|[清水]爸爸听完，动了动被烧伤的左耳，接着，再次转身看向玉楠，勾起嘴唇，意味不明得笑了一下之后，慢慢向佛堂外走去。
1:10:35|1:10:44|[林凯]则看着他的背影，若有所思。夜晚，他随着[清水]来到一个旋转石梯前，
1:10:44|1:10:51|接着，慢慢向下走去。透过墙壁上微弱的灯光，[林凯]发现，
1:10:51|1:11:1|这是一个用岩石垒成的地下基地。此时，[清水]打开一扇门，二人随后进入一个酷似地牢的地方。
1:11:1|1:11:8|接着，[清水]停在一个持枪守卫的面前，轻轻点了点头，又一扇门被拉开了。
1:11:10|1:11:15|身穿西服的[清水]爸爸，正坐在长桌主位上，喝着红酒。
1:11:15|1:11:22|待[林凯]走进屋中后，身后的铁门立刻关上。
1:11:34|1:11:40|[林凯]看着长老们打探的眼神，
1:11:40|1:11:50|坦然回视后，礼貌性地点了点头。说完，[清水]爸爸用餐布擦擦嘴，
1:11:50|1:11:56|随后起身，向[林凯]走去。
1:12:6|1:12:13|被[清水]爸爸搂着肩膀的[林凯]，意有所指的望向他。而长老们听完，
1:12:13|1:12:19|则哄堂大笑。原来[李建国]说的[老鹰]，正是[清水]爸爸。此时，
1:12:19|1:12:26|他转身为[林凯]拉开身边的凳子，让其坐下，并亲自为他倒上已经醒好的红酒。
1:12:52|1:13:0|[老鹰]晃着酒杯，走到桌围，然后掏出一小袋粉末，展示给各位长老。
1:13:34|1:13:43|身穿西装的长老竟直接回绝了。[老鹰]饶有兴趣地吞下一块披萨后，又慢悠悠地绕回自己的座位。
1:14:14|1:14:20|[老鹰]打断他的话，站起来，用叉子将菜放进自己面前的盘子中。
1:14:20|1:14:30|慢条斯理地将餐布摆在腿上后，低下头，自顾自地吃了起来。随即，饭局陷入死一般的沉寂。
1:14:32|1:14:38|画面一转，鸟群因为日光阵中的干扰器，迷失了方向。随后，
1:14:38|1:14:44|西装长老顶着烈日，来到镇子中一个天台。
1:14:47|1:14:52|[老鹰]恍若未闻地，拿起竹筐里正在晾晒的罂粟闻了闻。
1:14:52|1:14:56|[林凯]则跟着[清水]，穿过楼道，来到二楼的走廊里。
1:14:59|1:15:5|刚准备上楼，就看到西装长老头朝下，掉在露台上。
1:15:5|1:15:12|一阵密集的扫射后，他就这样，当场毙命。[清水]看完，催促[林凯]道。
1:15:13|1:15:19|[老鹰]则站在天台边，望着尸体，用手帕擦了擦脸。[清水]叫了叫[老鹰]。
1:15:24|1:15:31|[老鹰]转过身，指着[林凯]说。说完，[老鹰]示意[林凯]上前。
1:15:48|1:15:58|[老鹰]甩甩手帕，示意[林凯]走到自己身边。
1:16:10|1:16:14|说完，他沉吟着转身，目光投向镇子远处。
1:16:23|1:16:31|[老鹰]坚定地说。[老鹰]抬头望天，又用帕子捂住双眼。
1:16:32|1:16:41|冲[林凯]吩咐完后，径直越过他，走下了天台。[林凯]不解地转身，但也只看到[老鹰]匆忙离开的背影。
1:16:42|1:16:47|于是，他不得不跟上，然后又来到那个地下基地中。
1:16:47|1:16:59|此时，[老鹰]停在一间牢房门口，让守卫离开后，果断拉下了门上的小窗。半身赤裸的男人听到响声，立刻缩进墙角。
1:17:0|1:17:10|他的头发已经掉光，浑身都是烧伤，[林凯]不可思议地向里望去。
1:17:32|1:17:45|回忆中，[李建国]、[老鹰]还有怀孕的玉楠正在制毒工厂中忙碌。爆炸声过后，工厂的半面墙壁被炸毁，全副武装的警察迅速冲了进来。
1:17:45|1:17:53|[老鹰]急忙赶去搀扶妻子，并在两个毒贩的护送下，向屋外跑去。眼看着就要坐上车离开。
1:17:53|1:18:1|身后却传来[李建国]警告的声音。夫妻二人震惊极了，
1:18:1|1:18:5|于是，双双转身，死死盯着他。
1:18:6|1:18:11|[李建国]先解决掉两个毒贩，随后，一击击中[老鹰]的右肩。
1:18:11|1:18:16|哪料，玉楠随即反击，打中了他的左臂。
1:18:16|1:18:25|此时，[李建国]身体失去平衡，向后倒去，无意间扣动扳机，子弹瞬间穿进玉楠的胸口。
1:18:25|1:18:35|[老鹰]丢下枪，跑到玉楠身边。颤抖的手摸向她鼓起的肚子，接着，将头，
1:18:36|1:18:41|埋进她的颈窝。此时，张海涛急忙将[李建国]拉了起来。
1:18:43|1:18:52|随后，二人一起向前方望去，[老鹰]无力地跪在玉楠身边，周围全是举枪瞄准他的特警。
1:18:52|1:19:1|接着，他慢慢直起身子，转过头，阴郁地盯着[李建国]。一切都似乎尘埃落定。
1:19:4|1:19:11|两辆车一前一后从工厂里驶出，为首车的后排上，[李建国]和张海涛分做[老鹰]两侧。
1:19:11|1:19:19|随后，车队拐进了一处树林中，突然，一辆越野车从岔路口处追上来。一名毒贩探出身子，不断扫射。
1:19:21|1:19:30|后车的特警很快回击，一枪直中驾驶室里毒贩的心脏。此时，又出现了第二辆越野车。
1:19:31|1:19:35|一个毒贩直接用火箭筒，轰掉了特警的车辆。
1:19:35|1:19:41|[李建国]震惊地向后望去，张海涛则死死按住[老鹰]的身体。
1:19:43|1:19:47|突然一个急转弯，车辆失去平衡，翻滚出去。
1:19:47|1:19:54|[老鹰]惊恐地望着正在漏油的车，而张海涛则被压在座位上，亦是一片昏沉。
1:19:54|1:20:4|随后，毒贩们急忙下车，率先将[老鹰]从已经开始着火的车里抬出来。
1:20:6|1:20:14|[老鹰]近乎癫狂地让手下将张海涛拉出来。而就在这个过程中，汽车终于受不住，
1:20:26|1:20:30|回忆结束，[林凯]回头向牢房里望去。
1:20:30|1:20:38|张海涛正靠在湿滑的墙壁边，瑟瑟发抖。
1:20:52|1:21:2|然后定定地望向[老鹰]。此时[老鹰]拿起帕子，用力擦了擦自己烧伤的左耳。
1:21:2|1:21:9|伸手不见五指的树林中，两辆车一前一后向前开着。
1:21:12|1:21:17|坐在副驾驶上，被蒙住双眼的[林凯]，十分好奇地问正在开车的[清水]。
1:21:48|1:21:56|随后，[清水]皱紧眉头，脑海里想起一个男人说过的话。
1:22:6|1:22:11|接着，一滴泪水顺着[清水]的眼眶，直直流留下，
1:22:11|1:22:18|但车辆还是驶入了黑暗之中。画面一转，在一个阴郁的午后，
1:22:18|1:22:24|[林凯]开车带人来到一个KTV的门口。不远处的室内球馆中，
1:22:26|1:22:35|[李建国]和几个便衣警察，正通过监视器观察着。接着，他坐到椅子上，将监听耳机，放在自己耳边。
1:22:35|1:22:43|此时，[林凯]带着人走进了KTV。诺大的地方，就只有一个正在打扫卫生的保洁阿姨，和[汪波]。
1:22:43|1:22:53|长舒一口气，[林凯]放松地靠在[汪波]旁边的布艺沙发里。
1:22:53|1:22:58|[汪波]则点了支烟。[李建国]瞬间愣住。
1:23:15|1:23:27|[林凯]听完站起身，揽住[汪波]的肩膀，坐在他身边，认真说道。
1:23:33|1:23:37|正在监听的[李建国]，难以置信地按住耳机。
1:23:46|1:23:53|此时，熊熊燃烧的车辆，张海涛的关切，立刻涌入[李建国]脑海。
1:23:55|1:24:3|一切的一切，都使其心如刀绞。接着，他皱紧眉头，将耳机缓缓从头上摘下。
1:24:3|1:24:6|过程仿佛被放慢了一般，
1:24:6|1:24:17|似乎快上一秒，就能让他用尽全身的力气。之后，他站直身体，突然又大吼一声，猛地拿起自己的椅子，奋力向前摔去，
1:24:18|1:24:24|引得同事们纷纷侧目。太阳东升西落，日子很快就过去。
1:24:25|1:24:33|阴郁的天气里，[林凯]驾车与[清水]停在小道旁，随后，一辆轿车缓缓驶来。接着，
1:24:33|1:24:37|[汪波]打开后车门，来到[林凯]面前。
1:24:38|1:24:45|坐在副驾驶位置上的[清水]听完，若有所思地垂下了眼睛。
1:25:19|1:25:25|[李建国]站在室内球馆中，决然地切断了与局长的通话。
1:25:25|1:25:31|随后他摘下眼镜，头也不回地离开了，脚步没有一丝一毫的迟疑。
1:25:32|1:25:41|很快，他就跟随[林凯]，来到宾馆一处房门外，连续被三个毒贩搜身。确认无误后，二人走了进去。
1:25:42|1:25:50|听到声响，原本坐在桌旁的[清水]，立刻站起身，目光一直追随着[李建国]。随后汪波说。
1:26:7|1:26:12|[李建国]拦住他后，[清水]则低头，拨通了[老鹰]的电话。
1:26:16|1:26:26|[李建国]看了[清水]一眼，接着，深呼一口气，从她手中拿过电话，放在耳边。
1:26:30|1:26:35|[老鹰]站在牢房中，背对着奄奄一息的张海涛，他欣喜地回答。
1:26:42|1:26:50|随后他转过身，将电话拉远，下属会意后，抽起棍子，就抡向张海涛。
1:26:50|1:26:57|痛苦的呻吟通过听筒，传到电话另一头。[李建国]不忍心地闭上眼睛。
1:26:57|1:27:6|随后，[老鹰]收回电话。
1:27:6|1:27:14|听到[李建国]的要求，[老鹰]突然颤抖起来，接着，想起自己死去的老婆孩子。
1:27:17|1:27:23|话语间，泪水在眼眶中打转。
1:27:25|1:27:33|[李建国]刚要挂电话。闻言，
1:27:34|1:27:42|[李建国]立刻看向[林凯]。
1:27:45|1:28:0|[清水]刚接过电话，就被[李建国]抽出腰间的手枪，随后，他回身一脚，踹向[林凯]胸口，并迅速放枪，导致[林凯]头朝下，从窗户掉下二楼。
1:28:1|1:28:7|说完，[李建国]越过[清水]，率先走出房门。汪波也要跟出去，
1:28:7|1:28:13|却被一个毒贩用枪指着脑门拦住了。
1:28:13|1:28:17|随后，一行人迅速上车，快速驶离了宾馆。
1:28:17|1:28:25|经过路口时，[清水]悲伤地看向[林凯]掉落的方向，直到彻底不见，才收回目光。
1:28:25|1:28:30|此时，便衣民警迅速赶到，趴在面包车顶上的[林凯]，突然睁开眼睛，
1:28:30|1:28:42|盯着[李建国]离开的方向，不甘心地喘着粗气。此时，坐在车辆后排的[李建国]被蒙住双眼，
1:28:42|1:28:50|特警正通过他手腕上的表，锁定他的位置。随后，车辆越过稻田，驶入一个茂密的树林中。
1:28:52|1:28:59|车身摇摇晃晃的，[清水]坐在[李建国]的身边，竟一直低垂着双眼。
1:28:59|1:29:10|一缕阳光突然洒进车内，她向窗外看去，然后，回忆起了从前。[老鹰]扣动扳机。
1:29:13|1:29:18|小[清水]躲在地板下，透过缝隙看到，爸爸被[老鹰]亲自射杀。
1:29:18|1:29:25|当[老鹰]离开后，[李建国]突然通过缝隙，发现了紧紧抱着玩偶的小[清水]。
1:29:25|1:29:29|此时，[老鹰]正虔诚地站在天台上祭拜。
1:29:41|1:29:49|另一边，寂静的山路上，[林凯]正驾驶一辆摩托车飞驰而过。而[李建国]此时被毒贩抓着肩膀，拉下车，
1:29:49|1:29:56|随后，向一栋小楼走去。[清水]则站在车边，眼神复杂地望向他的背影。
1:29:58|1:30:6|天台上方，原本盘旋在干扰器旁的鸟儿们飞走了，随后，[李建国]被卸掉眼睛上的布，走了过来。
1:30:7|1:30:16|原本正在祭拜的[老鹰]转过身，看到他之后，立刻走上前来，并且眼神一直黏在他身上。
1:30:16|1:30:29|李建国也一直回望着。此时，[老鹰]在李建国不远处，停住了脚步。
1:30:29|1:30:41|然后像个老朋友一般笑着说道。[李建国]打断他的叙旧。
1:30:46|1:30:56|[老鹰]原本上扬的嘴角僵住了，看了眼[李建国]后，他动了动嘴角，接着，他举起左手，弯了弯手指。
1:30:57|1:31:2|随即，一个毒贩压着[张海涛]，向二人的方向走来。
1:31:2|1:31:6|然后，毒贩用力一踹他的膝盖，又扯下了他的帽子。
1:31:7|1:31:14|面目全非的[张海涛]，抬眼看见[李建国]，瞬间捂住脸颊，但无奈，被毒贩架开了双臂。
1:31:15|1:31:22|[李建国]想上前，却被身后的毒贩紧紧按住。
1:31:35|1:31:42|接着，他举起右手，后面的毒贩立刻递给他一把左轮手枪。
1:31:42|1:31:51|随后，他将枪里的子弹全部卸下，挑出两颗，重新装填到弹夹里之后，走到[张海涛]的面前，缓缓蹲下。
1:32:4|1:32:10|[张海涛]瞬间瞪大了双眼。
1:32:26|1:32:31|张海涛听完，湿了眼眶。望着[李建国]，无助地颤抖着。
1:32:31|1:32:42|随后，右手被[老鹰]强制塞进手枪。此时，毒贩放开了张海涛的双臂，他低头看向手里的枪，右手止不住哆嗦着。
1:32:43|1:32:55|[老鹰]原本正要大笑，哪料张海涛，突然抵住自己的下巴，[老鹰]一枪击中[李建国]左脚。
1:32:57|1:33:12|毒贩将张海涛拖到[李建国]面前，强迫他用枪指着对方的头，但他死死不愿开枪。[老鹰]用枪指向张海涛威胁。
1:33:14|1:33:18|无奈之下，他收紧食指，颤抖着，扣下扳机。
1:33:18|1:33:24|千钧一发之际，[林凯]用火箭筒，接连击落信号干扰器。
1:33:24|1:33:32|趁所有人注意力都被吸引过去，[李建国]和张海涛同时起身。[李建国]先抽出毒贩的刀，抹断两个人的脖子。
1:33:33|1:33:38|张海涛则翻身一滚，用枪解决另外两人。
1:33:39|1:33:44|此时特警欣喜地发现，[李建国]的定位终于又出现在地图上。
1:33:44|1:33:50|[林凯]扔掉火箭筒后，来到另一栋楼的天台，举枪向毒贩射击。
1:33:50|1:33:57|此时[老鹰]趁乱，一刀捅进[李建国]左肩，但随后被他一枪打中右膝。
1:33:58|1:34:6|而埋伏在楼顶的毒贩，立刻向[李建国]开枪，于是他猫腰一躲，拽着[张海涛]就向楼下跑去。
1:34:7|1:34:14|眼看着[老鹰]捡起一把枪就追上去，[林凯]立刻瞄准，乱枪扫射，命中他的左肩。
1:34:15|1:34:25|于是跑到门口的[老鹰]回身就射，看到[林凯]躲进墙壁，同时，毒贩前来帮忙后，立刻毫不恋战，转身离开了天台。
1:34:26|1:34:31|此时[李建国]两人来到一堵墙后，看到对面的[林凯]，使了个眼色。
1:34:31|1:34:39|于是，他先将插入左肩的刀拔出，接着，拽起[张海涛]纵身一跃，踩裂房顶，掉入了平房。
1:34:43|1:34:48|两名毒贩刚从上方对其进行射击，就被对面天台的[林凯]，一一狙杀。
1:35:2|1:35:6|迎面碰上[清水]后，要求她将玉楠的骨灰坛抱走。
1:35:7|1:35:13|工厂内，成群结队的毒贩们，从柜子里拿出各种各样的武器。
1:35:14|1:35:20|[林凯]则在天台上，发现了一根绳子，于是，他将其拴在木杆上，打了一个死结。
1:35:20|1:35:31|然后拽着绳子纵身一跳，落到了街道上。另一边，[李建国]抬手解决掉一个毒贩，
1:35:32|1:35:40|将手枪递给身后的张海涛，捡起毒贩的冲锋枪，来到了一个小巷。二人瞄准着四周，背靠背行进，
1:35:40|1:35:43|随后，停在与街道相连的一扇门前。
1:35:43|1:35:50|透过门上的小孔，[李建国]看到[老鹰]带着大批身背冲锋枪的毒贩，向前奔袭。
1:35:50|1:35:54|镇上的居民见状，纷纷避进家门。
1:35:55|1:36:3|随后，张海涛拉开车门率先走了出去。接着，[李建国]带着他，沿着道沿，继续前进。
1:37:7|1:37:14|迎着枪林弹雨，来到了队伍的正后方。接着，轻松地点掉了几个毒贩的脑，
1:37:14|1:37:18|终于，队伍的毒贩清得差不多了。
1:37:20|1:37:35|他微微一瞄准，子弹从枪口破风而出，接连穿过两名毒贩的肩膀后，又再次直直插入[老鹰]的左肩。但[老鹰]仿佛练就了金刚不坏之身，丝毫没有停下扫射的动作。
1:37:36|1:37:48|突然，前方路口处驶来一辆车，里面的毒贩疯狂向[林凯]开枪。得到喘息机会的[李建国]见状，赶忙推着张海涛，钻进右前方的小道里。
1:38:3|1:38:10|[李建国]二人，来到了一个种满盆栽的小道，甚至后有追兵的他们，迅速分立矮墙两侧。
1:38:10|1:38:17|毒贩刚一冒头，就被[李建国]击毙。随即，张海涛顺利解决掉紧跟而来的第二人。
