0:0:39|0:0:46|开门的是一个戴着贝雷帽的年轻男子，二人对视后，眼镜男提着篮子进入了报馆。
0:44:3|0:44:7|睡了一觉的[林翔]，精神看起来明显好了很多。
0:44:7|0:44:12|他在窗户前准备着饭菜，被香味吸引的[贺兰芳]走过来问道。
0:44:15|0:44:20|[贺兰芳]拿起筷子，从锅里挑起一根蔬菜，放进了嘴里。
0:45:45|0:45:51|[林翔]在教完[贺兰芳]之后，还在阁楼教[陈子墨]如何发电报。
0:45:57|0:46:0|[大猫]来到一家医馆，让[医生]给自己听诊。
0:46:0|0:46:4|[医生]写好药方，盖好章后将其递给[大猫]。
0:46:4|0:46:13|[大猫]拿着药方端详了一会儿，然后扭头看向一排排摆放好的药材柜子，在每一数列的柜子上都有数字标签。
0:46:13|0:46:17|它对照药方上的药材和柜子摆放的位置，得到了一系列的数字。
0:46:18|0:46:24|回到了住所后，[大猫]将这列数字写在纸上，又对照着书来提取情报。
0:46:24|0:46:33|她将提取出来的情报写在纸上，装进带有晨光照相馆字样的信封，然后又将带有数字的纸张烧掉。
0:46:33|0:46:36|接着，她回到晨光照相馆。
0:46:39|0:46:42|[大猫]对着前来拿照片的[贺兰芳]说，
0:46:45|0:46:53|[贺兰芳]就拿着装有照片的信封离去了，她大步走在大街上，谁知[梁栋]却在身后跟踪她。
0:46:53|0:47:6|[贺兰芳]上了一辆黄包车，[梁栋]正想追上去，谁知装醉汗的[大猫]缠住了她。
0:47:6|0:47:9|二人纠缠间，[贺兰芳]早已上车离开，
0:47:12|0:47:15|被[梁栋]摔在地上的[大猫]抱怨着。
0:47:32|0:47:38|大街上，一群年轻人举着旗帜，手里拿着宣传单，给街边的群众派发展。
0:47:38|0:47:44|随着一声哨响，一群执法人员从各个街道冲出来，制止这场游行。
0:47:44|0:47:48|三个女同志在逃跑到一条街道时，遇到了[梁栋]。
0:47:48|0:47:57|[梁栋]手臂一伸，示意他们向这边走，又将他们手里的旗帜扔掉，确保他们不会被抓后，才放心地让他们离去。
0:48:1|0:48:7|几个执法人员姗姗来迟，[梁栋]不耐烦地给他们指了一条完全相反的道路。
0:48:7|0:48:20|待他们离开之后，坐在二楼窗户台阶上的[大猫]给他竖起了大拇指，[梁栋]看到之后摘下墨镜会心语笑，在一声声鞭炮声中，拦上裁缝铺正式开业。
0:48:20|0:48:25|[梁栋]坐在观众席，默默地看着[贺兰芳]，[大猫]坐到他身旁。
0:48:28|0:48:31|[梁栋]扭头看向[大猫]目不作声。
0:48:34|0:48:39|说着，[大猫]将自己吃了一半的油条递到[梁栋]面前。
0:48:39|0:48:45|[梁栋]拿过油条，就往嘴里大口地塞着，画面转向一个富丽堂皇的大厅内。
0:48:45|0:48:58|舞台上，两个衣着暴露的女人摆着动作，[秋山雅子]落座在二楼看台处，[秦凤梧]舞一家三口在相邻的看台落座，[秦凤梧]扭头挤出一个笑容向[秋山雅子]打招呼。
0:48:59|0:49:7|[贺兰芳]和多名副太太也来到此处，他们来到舞台下的观众席位，一名副太太开口说道。
0:49:39|0:49:45|[贺兰芳]扭头看向卖点心的女孩，这女孩竟是自己的朋友，[万斌]。
0:49:55|0:50:4|贺[兰芳]低下头无奈地摸了摸头发，万斌看了看她，最后还是将一包零食放在她的手中。
0:50:4|0:50:8|贺[兰芳]看向万斌欲言又止。
0:50:12|0:50:17|说完，二人本来相握的手，随着万斌的离去而分开。
0:50:17|0:50:21|贺[兰芳]看着他离去的背影，眼眶渐渐闪出泪光。
0:50:21|0:50:27|贺[兰芳]低头，将手里的零食包拆开，拿出一颗瓜子，放在嘴中嗑了起来。
0:50:27|0:50:33|她停顿了一下，用缓缓喘气来压住自己心底的不安。
0:50:33|0:50:37|就在这时，刚刚还在卖零食的万斌冲向舞台，大声喊道。
0:51:13|0:51:19|大雨倾盆，贺[兰芳]从礼堂走出来，淋着雨走在空无一人的街道上。
0:51:19|0:51:25|她想起刚才万斌被枪射杀在舞台上的画面，痛苦地用双手捂住脸庞。
0:51:25|0:51:34|她弯着腰毫无顾忌地大声哭了出来，昔日与万斌一起共事的画面一幕幕地闪回在自己的眼前。
0:51:48|0:51:52|万斌死的时候，甚至连双眼都没有闭上。
0:51:52|0:51:56|[贺兰芳]再也支撑不住，她的身体跌倒在地上。
0:51:56|0:52:2|大雨中，[贺兰芳]跪在地上捂着嘴呼气。
0:52:2|0:52:5|[林翔]坐在住所的沙发上看着报纸。
0:52:5|0:52:9|[贺兰芳]头发散落，面带泪痕地出现在她的面前。
0:52:9|0:52:12|[林翔]见状，赶紧上前询问。
0:53:59|0:54:2|[贺兰芳]把包和首饰扔在地上。
0:54:14|0:54:19|[贺兰芳]弯下腰，将包里的宣传单拿起，展开在[林翔]面前。
0:54:22|0:54:32|[林翔]从[贺兰芳]手里拿过宣传单，他低头看了一会儿后，又将目光看向神情激动的[贺兰芳]。
0:55:23|0:55:29|凌祥看着[贺兰芳]的心情稍微平复了一点，轻声对着她。
0:55:32|0:55:41|说完，他低头将手里的宣传单折好，放到[贺兰芳]的手里，然后弯下腰，捡起散落在地上的包包和首饰。
0:55:41|0:55:46|[贺兰芳]手里攥着宣传单，心情也慢慢地平复下来。
0:55:46|0:55:50|深夜，[贺兰芳]按照和[林翔]规定的时间来到阁楼。
0:55:50|0:55:54|她将阁楼的门关好之后，就往深处走去。
0:55:54|0:55:58|在弯腰过了一个矮小的门洞后，静悄悄地坐在了[林翔]的旁边。
0:56:0|0:56:5|虽然已经是凌晨两点，可[林翔]还是在聚精会神地工作着。
0:56:5|0:56:13|他戴着耳机，身前放着一张写满字的纸条，眼睛注视前方，右手不知疲倦地按压着电台的按钮。
0:56:14|0:56:24|[贺兰芳]在一旁看着桌上复杂而破旧的机器，以及在认真工作的[林翔]，她低下头不知在思索着什么。
0:56:24|0:56:42|此日，[贺兰芳]走在喧闹的大街上，在中途和[大猫]碰了面，[大猫]在她面前严肃地说着组织的纪律，[贺兰芳]拿着小镜子观察是否有人跟踪。
0:57:1|0:57:6|[贺兰芳]白天和傅太太打麻将，夜晚在阁楼陪着[林翔]。
0:57:26|0:57:31|[林翔]接过水杯，耐心地看着[贺兰芳]熟悉电台的基本原理。
0:57:31|0:57:37|原本不熟悉的二人，也慢慢在日常生活中变得熟悉，变得亲密。
0:57:55|0:58:9|大雨滂沱的夜晚，路上的行人行色匆匆，一个男人带着雨衣，飞快地骑着自行车，在晨光照相馆门口停下，他直接将车子抛下，快步走进屋内，拿出两卷胶卷对[大猫]说。
0:58:44|0:58:49|见羽披楠不说话，[秋山雅子]一脚将他踹倒在地上。
0:58:49|0:59:3|另一边，[大猫]拿着两叠胶卷重叠，他将得出的信息用数字记录下来，又翻开书，寻找对应的汉字。
0:59:3|0:59:7|羽披楠口吐鲜血，[秋山雅子]下令手下给他上刑。
0:59:10|0:59:16|两个日军将羽披楠绑在一个长椅上，[秦凤梧]慢慢地走到她的面前。
0:59:16|0:59:22|原来，羽披楠进入照相馆后，无意间踩到了印有晨光照相馆的信封。
0:59:22|0:59:26|[秦凤梧]将羽披楠的鞋脱下后，对着[秋山雅子]说。
0:59:30|0:59:44|另一边，[大猫]终于拼凑出情报，他呆呆地愣了几秒之后，赶紧擦了支火柴，将面前的纸张焚烧，火光中映着他那张惊慌失措的脸。
0:59:44|0:59:57|晨光照相馆的门突然被人踹开，[秦凤梧]无待人闯了进来，他走进来后，观察了四周，然后将地上的垃圾桶拿到桌上，看着里面有纸张焚烧的痕迹，便得出结论。
1:0:9|1:0:16|[贺兰芳]看着[大猫]着急的背影，她内心深感不妙。
1:0:16|1:0:23|[大猫]来到饭店找[林翔]，这时突然有一大群黑衣人从外面冲进来。
1:0:23|1:0:26|[大猫]拔腿就跑，[秦凤梧]如在后面大声喊道。
1:0:29|1:0:37|[大猫]疯狂地在楼梯间强奔着，他推开一扇门后找可以躲藏的地方，可黑衣人根本不给他这个机会。
1:0:37|1:0:43|画面一转，[林翔]还在给一位富太太[梁栋]提醒，此时，[贺兰芳]可以赶到了饭店。
1:0:48|1:0:53|[大猫]跑到饭店的大厅内，却被黑衣人拿枪传统围住。
1:0:53|1:0:57|他用手机击退了几个人之后，从二楼直接跳到了一楼的大堂。
1:0:57|1:1:2|在大堂弹琴的[陈子墨]听到动静后起身观察着。
1:1:2|1:1:8|看到同伴被围攻，他快步走上前，但是被[大猫]的眼神给击退。
1:1:8|1:1:12|几个黑衣人将[大猫]按在地上，枪口点在他的胸前。
1:1:12|1:1:15|[大猫]抢过手枪，对着其中一人扣动了扳机。
1:1:18|1:1:21|巨大的响声惊到了[贺兰芳]以及[林翔]。
1:1:21|1:1:27|饭店大堂内，众人乱成一锅粥，[大猫]互扑重量车之后躺在地上。
1:1:35|1:1:41|[大猫]眼发身受重伤，也还是拿起枪跟他们战斗着，众人朝门外跑去。
1:1:41|1:1:46|[贺兰芳]逆着人流往大堂内走去，[林翔]也在往生源处靠近。
1:1:46|1:1:52|[大猫]持枪干掉一人之后，捂住腹部的伤口，在楼梯转角处遇到了[林翔]。
1:1:52|1:1:57|她看向[林翔]无声地摇了摇头，[林翔]眼眶发红地点了点头。
1:2:4|1:2:9|话音刚落，他就和追上来的[秋山雅子]缠斗着。
1:2:9|1:2:20|[林翔]对着刚到的[贺兰芳]说着，[秋山雅子]一脚踹向[大猫]，又将腿重击在她的肩膀上，没有给她任何的喘息时间，直接一脚踹在她的脸上。
1:2:20|1:2:26|大猫从二楼跌落到了一楼，[林翔]和[兰芳]看着这一幕，整个人都震惊了。
1:2:32|1:2:39|[梁栋]大摇大摆地走到大堂，拿枪指向二楼，微笑着朝[秋山雅子]点了下头。
1:2:54|1:3:1|大猫慢慢应声站了起来，二楼的[秋山雅子]和[秦凤梧]饶有兴趣地看着。
1:3:1|1:3:8|[梁栋]犀利地盯着大猫，大猫则是虚弱地站不直身体。
1:3:8|1:3:12|大猫要求[梁栋]开枪，而[梁栋]则是默不作声。
1:3:12|1:3:14|大猫看着此情此景。
1:3:24|1:3:28|[梁栋]被他逼得双目充血，也没有按动手枪的扳机。
1:3:28|1:3:33|突然，大猫满是鲜血的双手将[梁栋]的枪拉到自己的胸口处。
1:3:33|1:3:38|接着，他微笑地看着[林翔]和[兰芳]，然后扣动了手枪的扳机。
1:3:40|1:3:49|瞬间，鲜血喷溅到[梁栋]的脸上，[林翔]赶紧用手遮住了[兰芳]的双眼，在场的众人皆是目瞪口呆。
1:3:49|1:3:57|大猫的身体逐渐没有了生机，仰面朝着后方倒去，被喷溅得满脸是血的[梁栋]还处在震惊当中。
1:3:57|1:4:1|他看着倒下的大猫，手里的手枪已滑落在地上。
1:4:2|1:4:7|大堂内，巨大的鱼缸突然破碎，流出的水冲溅到大猫的身体上。
1:4:7|1:4:13|[林翔]看着这一幕，咬紧了后槽牙，气氛使他浑身颤抖，眼红出血。
1:4:13|1:4:18|但为了隐藏身份，他不得不眼睁睁地看着同伴牺牲。
1:4:18|1:4:25|双眼被遮挡的[兰芳]，哪怕没有看见最血腥的一幕，光是听见枪声，也足以让他知道最后的结果。
1:4:26|1:4:32|他的手搭在[林翔]的手上，无声的哭泣使他整个人都处在颤抖中。
1:4:32|1:4:37|[岑子默]皱着眉头也无能为力。
1:4:37|1:4:42|夜晚，天空下起了大雨，街道上没有闲杂的人士。
1:4:42|1:4:50|饭店门口，工作人员从里面抬出一具具尸体往卡车上装着，大猫的尸体也在其中。
1:4:50|1:4:52|[林翔]打着伞在暗处观察着他们的动向。
1:4:53|1:5:2|工作人员弹完尸体之后，将卡车后面的遮挡盖上，然后驱车来到一处破旧且毫无人烟的大楼前。
1:5:2|1:5:8|他们站在卡车上，将尸体随意地往地上一抛，许多尸体慢慢堆成了一个小山丘。
1:5:9|1:5:13|[梁栋]回到了家中，在自家水缸里清洗着脸庞。
1:5:13|1:5:21|他想起白天发生的那一幕，内心的愧疚由内而生，不由地干呕了起来。
1:5:21|1:5:26|母亲听见声音后前来，[梁栋]对着她问道，
1:6:8|1:6:14|凉冻听着母亲所说的话，不禁抱住她的大腿，大声地哭了出来。
1:6:14|1:6:20|另一边，[林翔]跟随卡车来到众多尸体处，[大猫]正躺在许多尸体的上方。
1:6:20|1:6:25|[林翔]放下雨伞，淋着大雨，缓缓地走到尸体旁。
1:6:25|1:6:30|他想起今天，[大猫]牺牲自己，也不愿同伴给自己帮助的场景。
1:6:30|1:6:32|[林翔]看着[大猫]的尸体缓缓蹲下。
1:6:33|1:6:39|在[大猫]的身体上翻来翻去，最终在胸前的口袋中找到一块布条。
1:6:39|1:6:44|他紧握布条，双手颤抖地看着[大猫]再也不会醒来的脸。
1:6:44|1:6:51|一会儿之后，[林翔]为了不放过任何一条消息，继续在[大猫]身上搜寻着什么。
1:6:51|1:6:57|在翻找的途中，[林翔]突然无法控制情绪，趴在[大猫]的尸体上，久久缓不过神来。
1:6:58|1:7:3|在确定没有遗漏什么线索之后，她怀着沉重的心情回到了住所。
1:7:3|1:7:10|她将衣服换下，然后接了盆清水，将在尸体里搜到的布条放入里面清洗。
1:7:10|1:7:15|[林翔]流着眼泪，把布条清洗干净，上面印着东风雨，珍珠类的字样。
1:7:16|1:7:27|他回想着自己和[大猫]初见的场景，以及[大猫]和[贺兰芳]一起打麻将的时候，所有的记忆都是那么清晰，仿佛就发生在昨天。
1:7:27|1:7:36|[贺兰芳]坐在缝纫机前发着呆，上面还放着自己给[大猫]织的毛衣，只可惜[大猫]再也没有机会穿上了。
1:7:36|1:7:42|[林翔]看着惊魂未定的[贺兰芳]，然后轻声对她说道，
1:7:50|1:7:54|[贺兰芳]没有硬答，而是直接走出了房门。
1:7:54|1:7:59|曾子墨看了看[林翔]，紧接着就跟随[贺兰芳]一起出去了。
1:7:59|1:8:6|街道上，日军的一栋电台信号车正在行驶着，[林翔]则是来到了阁楼。
1:8:6|1:8:12|他戴上耳机，将电台的电源接通，然后对照纸条，把自己获得的情报传递给外界。
1:8:31|1:8:41|话音刚落，[秋山雅子]眼前的城市，正分区域的停电，正在发电报的[林翔]以及躺在家里的[梁栋]都不知道是怎么回事。
1:8:41|1:8:54|过了一会儿，电源又亮了起来，深感不妙的[梁栋]起身拿起衣服出了门，[林翔]则是在阁楼上传递着情报，电台上的指示灯飞快地闪烁着，预示着现在的情况异常地紧急。
1:8:55|1:9:2|日军的移动电台信号车正在每条街道上巡查着，电台车上的日军紧急搜查着。
1:9:2|1:9:6|[林翔]自感不妙，在阁楼上强装镇定地发着电报。
1:9:41|1:9:49|[秋山雅子]邪魅一笑，命令手下传递消息称，地下电台出现在租借区，呼叫其他单位交叉定位。
1:9:49|1:9:55|大批日军赶往[林翔]的住所，而[林翔]还在阁楼上传递着重要的情报。
1:9:55|1:9:59|远处的我方战士对着首长敬礼。
1:10:8|1:10:11|钱子墨和[兰芳]看着住所的灯束。
1:10:13|1:10:16|[岑子默]说完，赶紧往裁缝铺跑去。
1:10:16|1:10:18|[兰芳]在身后也跟了上来。
1:10:18|1:10:23|此时，几辆军用大卡车已经来到了南上裁缝铺的门口。
1:10:23|1:10:29|上面的日军打开巨大的强射灯，透过窗户将[林翔]的脸庞照亮。
1:10:29|1:10:32|大批日军持枪冲进裁缝铺里。
1:10:32|1:10:35|[岑子默]和[兰芳]在街上狂奔着。
1:10:35|1:10:40|[林翔]在阁楼发完最后一封电报，然后将纸张放入小杯子里烧毁。
1:10:45|1:10:51|首长拿着战士递来的电报，上面写着，同志再见，署名是[刘阳]和。
1:10:51|1:10:56|周围的战士们全部都起身哀悼着，整个屋子内沉浸着悲伤。
1:10:56|1:11:3|日军在裁缝铺里肆意搜刮着，[贺兰芳]和[岑子默]站在远处，心痛地看着这一情景。
1:11:3|1:11:8|[林翔]将焚烧过后的纸张灰尘倒入水，然后将它喝了下去。
1:11:8|1:11:11|接着，他又将电台的零件拆除。
1:11:37|1:11:40|日军将搜到的发报机交给他们的首领。
1:11:40|1:11:45|[林翔]见事已至此，眼神反而越发地坚定起来。
1:11:45|1:11:50|[梁栋]飞奔着来到[兰芳]裁缝铺，却发现店面已经被封条给查封了。
1:11:50|1:11:53|他站在门口愣了愣，不知在想些什么。
1:11:54|1:12:0|日本海军特别陆战队司令部内，院子里站着两排日本官兵。
1:12:0|1:12:6|房内，[林翔]赤裸上身，身体被架在空中，双手被吊在铁垫之上。
1:12:6|1:12:14|日军拿起两根细长的通电钢管，就往[林翔]的身上贴。
1:12:14|1:12:16|[林翔]被电得浑身发抖，哭喊道。
1:12:18|1:12:26|见[林翔]还是不说实话，日军拿起垫棍就开始垫他，[秦凤梧]无惧时拿着一个箱子。
1:12:57|1:13:0|[秦凤梧]将箱子放在刑具台上，然后打开。
1:13:0|1:13:6|打开之后，里面装着一卷卷的麻布，搓一个铁制的莲花手柄。
1:13:6|1:13:14|他拿起莲花手柄，慢慢地走到[林翔]的面前，然后将铁制的花瓣尖端在[林翔]的身体上划破，一道接一道。
1:13:15|1:13:18|[林翔]的身体此时已经血肉模糊。
1:13:18|1:13:27|接着，[秦凤梧]舞将莲花手柄随意地扔在箱子内，然后拿起白色的颗粒物撒向[林翔]的身体，白色的颗粒物附着在血肉上。
1:13:27|1:13:34|这时，[秦凤梧]舞拿起麻布贴在[林翔]的伤口处，并用莲花手柄将伤口和麻布相贴。
1:13:34|1:13:37|凌翔因为疼痛喘着粗气。
1:13:37|1:13:39|[秦凤梧]见他还是嘴硬，就开口道。
1:13:45|1:13:48|灵祥也因为支撑不住，而暂时晕了过去。
1:13:48|1:13:55|另一边，因为灵祥被日军抓走，曾子墨懊恼地对[贺兰芳]说。
1:14:3|1:14:5|曾子墨出门，碰见了[梁栋]。
1:14:5|1:14:6|曾子墨瞪大双眼，问[梁栋]。
1:14:37|1:14:44|[贺兰芳]越过两个人就跑了出去，结果一路一圈来一辆车，陈子墨赶紧上前问道。
1:14:54|1:14:59|得知车上笑夜如花的女人正是[秦凤梧]屋的身边人。
1:14:59|1:15:3|[岑子默]扭头示意[梁栋]，[梁栋]微笑着上前。
1:15:13|1:15:19|[岑子默]在隐蔽的屋子里模仿[林翔]的发报手法，日军那边也检测到了信号。
1:15:40|1:15:48|日军电台指挥官直言说抓错了人，[秋山雅子]大喊，一定是他。
1:15:48|1:15:52|[贺兰芳]衣着华丽地来到[秋山雅子]的办公室。
1:15:59|1:16:2|[秋山雅子]哑嘴接过[贺兰芳]递来的纸条。
1:16:17|1:16:22|[贺兰芳]拿起桌上的香烟点燃，放进嘴里就开始吞云吐雾。
1:16:22|1:16:27|[秋山雅子]从座位上站起来，绕过桌子走到[贺兰芳]的身旁。
1:16:27|1:16:30|[贺兰芳]吸得口烟，转身对她说道。
1:16:44|1:16:56|朱宗，童友，生妻，[贺兰芳]说完吐了口烟圈，[秋山雅子]带她来到牢房内。
1:16:56|1:17:5|[贺兰芳]远远地就看见，[林翔]被吊在牢房的正中央，她激动地跑上前，可在看到[林翔]身上的伤势时，还是被吓了一跳。
1:17:5|1:17:9|她平静了一下心情，然后轻声对[林翔]说道。
1:17:16|1:17:23|[贺兰芳]神情激动地说着，[秦凤梧]上前，双手握住她的手臂，让她冷静一些.
1:17:23|1:17:27|贺[兰芳]眼里闪着泪光，恶狠狠地瞪着她。
1:17:27|1:17:31|接着，[秦凤梧]拿着一杯水，泼向还在昏迷中的[林翔]。
1:17:31|1:17:34|她眼睛死死地盯着[林翔]，然后轻声说道。
1:17:43|1:17:52|[秦凤梧]吾将[林翔]身上已经被水浸湿的麻布揭开，[贺兰芳]对他的举动吓得尖叫。
1:17:52|1:17:59|[林翔]目光坚定地看着[秦凤梧]，[秦凤梧]见他还不肯开口，就伸手将[林翔]身上剩余的麻布全部揭下。
1:18:2|1:18:6|[林翔]疼得直闯出气，汗水遍布了整个脸庞。
1:18:6|1:18:10|贺[兰芳]看着他隐忍的表情，流下了泪水。
1:18:21|1:18:38|请[秦凤梧]翻了个白眼，转身看向身后，脸上带着不耐烦的神情，他一把将手中的布条甩在地上，然后又转身，将[林翔]身上的布条一一揭开，[贺兰芳]看见后马上阻止。
1:18:38|1:18:45|日军表示，已经接通了太宫码头，并将电话交给[秋山雅子]，[贺兰芳]赶紧上前，通过电话说展。
1:18:51|1:18:53|[秋山雅子]又将电话抢过。
1:19:3|1:19:9|秦凤舞又撕掉[林翔]身上的一张麻布，[贺兰芳]赶紧收到。
1:19:15|1:19:27|秋山雅子打断了他的话，然后看向奄奄一息的[林翔]，被折磨得不成样子的[林翔]，眼神迷离，众人的眼光此时都看着他，他说出了几个数字。
1:19:52|1:19:56|秦凤舞转身，走到桌旁，摇动了眼前的电话机。
1:20:13|1:20:19|听到求救声音的秦凤舞明显慌了神，她拿着电话继续听[梁栋]说着。
1:20:25|1:20:30|秦凤舞扭头看着[林翔]，[林翔]眼神坚定地回看他。
1:20:30|1:20:35|另一边，[梁栋]说完放下电话，秦凤舞的小妾也停止了惨叫。
1:20:35|1:20:40|门外，[岑子默]和一个外国人正和秦凤舞的儿子在吃东西。
1:20:40|1:20:49|秦凤舞站在牢房内思考，不一会儿，他就走向[林翔]，破口大骂。
1:21:15|1:21:20|秋山雅子说完，秦凤舞和[贺兰芳]两人都露出了不同心思。
1:21:20|1:21:26|大批日军来到码头搜查货物，秋山雅子等人站在二楼的看台上。
1:21:26|1:21:32|此时，[秦凤梧]和[贺兰芳]心情十分忐忑，日军找了一会儿，没有什么发现。
1:21:32|1:21:35|[秋山雅子]沉声问道
1:21:35|1:21:41|[秦凤梧]的表情难以言喻，[秋山雅子]身感不对劲，拔刀架在[贺兰芳]的脖子上。
1:21:50|1:21:51|楼下的日军大喊道
1:21:53|1:22:14|[秋山雅子]放下长刀，然后下楼走向货物的方向，[秦凤梧]与[贺兰芳]紧随其后，日军将一罐汽油打开，[秋山雅子]手持长刀，往油桶的开口处捅去，然后把长刀抽出点燃，只见长刀瞬间被火淹没，这时，[贺兰芳]开口说道
1:22:14|1:22:18|[秋山雅子]看了看[贺兰芳]，又扭头看向[秦凤梧]说道
1:22:25|1:22:29|[秋山雅子]下了命令后，转身离开了码头。
1:22:29|1:22:36|夜晚，在一条临间小路上，[岑子默]开着一辆载货物的小车正缓慢地行驶。
1:22:36|1:22:41|[林翔]虚弱地躺在车上，[贺兰芳]拿着水壶为他喝水。
1:22:41|1:22:44|[林翔]深情地盯着[贺兰芳]，说道
1:23:6|1:23:10|二人深情地看向彼此，眼神间有着不可言语的情意。
1:23:10|1:23:15|[林翔]微微抬起左手，[兰芳]赶紧用手回卧住。
1:23:15|1:23:19|她明亮的双眸盯着[林翔]，然后慢慢地躺在他的身边。
1:23:19|1:23:25|此时，二人的眼神都没有离开彼此，车子还在缓缓地行驶着。
1:23:25|1:23:29|二人深情对望了一块儿后，[林翔]缓缓开口道。
1:23:51|1:23:57|坐在椅子上的[秋山雅子]听到这些话之后，气得脸部都有些扭曲。
1:24:13|1:24:17|在一声声枪林弹雨中，汽车上满是弹孔。
1:24:17|1:24:23|[秦凤梧]睁大双眼地在一旁躺着，已经没有了呼吸，她的儿子也没有了踪影。
1:24:24|1:24:30|路边优美的风景，此时十分宁静，仿佛什么事情都没有发生过。
1:24:30|1:24:36|上海城内，日军在街上张贴了印有[林翔]和[兰芳]的通缉令。
1:24:54|1:25:7|凌翔看着正在说话的[梁栋]，没有回答。
1:25:7|1:25:10|[梁栋]说完，低下头陷入沉思。
1:25:10|1:25:13|凌翔看着他的神情，缓缓开口问道。
1:25:37|1:25:42|[梁栋]听着这一番话，目光隐晦地转头看向[林翔]。
1:25:42|1:25:45|画面一转，来到了一处风景优美的湖边。
1:26:13|1:26:16|照片中是一个骨瘦如柴的男人。
1:26:16|1:26:18|南京伪政府的最高首脑。
1:26:19|1:26:23|惠子冒着生命危险，拿相机将这个男人拍了下来。
1:26:23|1:26:26|[林翔]转身进入一间屋子。
1:26:56|1:27:0|[林翔]在屋内，将情报传递给上级。
1:27:0|1:27:5|上海城内，许多纸张在天空中散开，缓缓落入到[梁栋]的手中。
1:27:5|1:27:9|纸张上印着汪精卫在病虫上犹如魔鬼的照片。
1:27:9|1:27:10|下面写着：
1:27:14|1:27:19|[秋山雅子]躺在豪华的沙发上，拿着长杆烟吞云吐雾着。
1:27:19|1:27:21|广播里播报着最新的消息。
1:27:51|1:27:55|喧闹的大街上，日军正排查着过往的百姓。
1:27:55|1:27:59|旁边的大卡车上，还有许多随时待命的日军。
1:27:59|1:28:5|大街上贴满了许多人的通缉令，街边上的商铺全部都关门。
1:28:5|1:28:10|外国人开着一辆装满了大型铁桶的大卡车缓缓驶过来。
1:28:10|1:28:15|在将车开到一个关卡后，日军抬手拦住了这辆车，然后走上前问道。
1:28:22|1:28:29|日军大手一挥，手下一群人拿刀将车上的红酒桶刺穿，躲在桶里的[秦凤梧]大叫。
1:28:37|1:28:43|外国人见此情景，直接拉开手刹，将卡车启动，冲出了围栏。
1:28:50|1:29:8|卡车在街道上飞速地行驶，周围的行人纷纷避让，躲在酒桶里的[林翔]和[岑子默]此时也都出来，日军开枪对他们进行射击，[林翔]和[岑子默]将车上的酒桶推下去，酒桶顺着地面滚到正在骑摩托的日军面前。
1:29:8|1:29:15|日军因为这个变故而摔得人仰马翻，装载着多名日本官兵的卡车撞上了街边的铁桶。
1:29:31|1:29:35|得到消息的[秋山雅子]立马向郊区进发。
1:29:35|1:29:38|凌晓几人来到废弃的工厂外，外国人打开铁门。
1:30:2|1:30:8|正在查看飞机的几人，不知道[秋山雅子]正带着人向这边靠近。
1:30:8|1:30:8|[林翔]问外国人。
1:30:17|1:30:22|[林翔]看着喝醉的外国人，思考了一下，转身。
1:30:41|1:31:0|说完，[林翔]站在飞机上向[兰芳]伸出了手，[兰芳]的眼眶渐渐湿润了，她看着[林翔]久久说不出话来，接着她微微点头，握住了[林翔]的手，大批日军穿过废弃的工厂，将大门撞得稀碎，两位女同志最终上了飞机。
1:31:0|1:31:14|[林翔]握住[贺兰芳]的手揉搓着，二人互相看着对方，眼神中透露出不舍，[贺兰芳]对着[林翔]微微点头，温存了一会儿之后，[林翔]不再犹豫，而是转身离开。
1:31:14|1:31:17|[贺兰芳]的眼神则追随着[林翔]，最终流下了泪水。
1:31:19|1:31:26|飞机即将启动，[林翔]和[岑子默]将前方的大门打开，外国人启动飞机反向前。
1:31:26|1:31:31|此时，[秋山雅子]带领大批的日军将他们团团包围。
1:31:31|1:31:36|飞机缓缓行驶在废弃的街道上，拐弯处突然拐进一辆日军的大卡车。
1:31:40|1:31:44|[林翔]和[岑子默]准备离去，没想到刚走出工厂就碰到了日军。
1:31:44|1:31:50|子弹密密麻麻地射向他们，爆炸声接连不断。
1:31:50|1:31:54|[林翔]与[岑子默]凭借矫健的身手躲过一劫。
1:31:54|1:32:0|另一边，日军在卡车上架着重机枪，疯狂地朝着营运驶来的飞机射击。
1:32:0|1:32:5|就他二者即将撞上的时候，飞机突然一个转弯拐到另一条街上。
1:32:6|1:32:10|日军紧随其后，还是不断地向他们开枪。
1:32:10|1:32:16|前面已经无路可走，外国人驾驶飞机丝毫不慌，直直地撞向了墙壁。
1:32:16|1:32:23|[秋山雅子]看着眼前的情景，直接将己方的驾驶员一脚踹了下去，自己坐在驾驶位上开起车。
1:32:28|1:32:34|[秋山雅子]面无表情地驾车飞快驶来，车辆撞击着飞机的后轮。
1:32:34|1:32:39|[贺兰芳]和惠子扭头看着已经发疯的[秋山雅子]，内心深感不妙。
1:32:39|1:32:47|飞机在经历了几次撞击之后，[秋山雅子]所驾驶的车辆前方的保险杠勾住了飞机后方的铁片。
1:32:50|1:33:0|[秋山雅子]踩下刹车，车辆随即停在原地，而飞机也因为后方被勾住的原因停了下来。
1:33:17|1:33:22|飞机驾驶员[皮埃尔]听到之后，开心地裂开嘴答应，临想跑向日军车辆，坐上了驾驶位，脚踩油门将车辆启动，[贺兰芳]和惠子见状，赶紧在飞机上坐好。
