0:1:58|0:2:3|可在[凉夏]回家的路上，被暗恋自己已久的[茅亮]表白了。
0:48:33|0:48:37|封面还有他专属的签名和绘画年份，2005年。
0:48:37|0:48:50|他翻阅着自己曾经的画作，每一张都是回忆，他的绘画里充满了生活气息，达到了写生与写意的统一，工笔与笔意的统一，无限升级跃然纸上。
0:48:51|0:48:55|最终，他的目光落在了一张玫瑰花的页面上。
0:48:55|0:48:58|他看了许久，最终决定重拾画笔。
0:48:58|0:49:2|准备就绪后，他双手环胸，紧盯画板。
0:49:2|0:49:5|随后，他沾了沾颜料，就开始在纸上勾勒。
0:49:5|0:49:10|没一会儿，他便完成了一幅画，并满意地欣赏着。
0:49:10|0:49:13|在接连画了好几幅后，却找闺蜜鉴赏。
0:49:13|0:49:16|闺蜜拿着放大镜仔细地观察。
0:49:56|0:49:59|闺蜜也束手无策。
0:50:0|0:50:2|她将作画工具摆放在桌上。
0:50:49|0:50:56|沉浸在幻想中的[凉夏]突然睁开眼，拿出一捆麻绳。
0:50:56|0:51:3|[凉夏]看着手里的巧克力，深叹一口气，随后将巧克力一把塞进嘴里。
0:51:3|0:51:8|她边嚼边看向闺蜜，而此刻，闺蜜也满脸好奇地盯着她。
0:51:8|0:51:13|就在这时，画面的右上角出现计时器，下一秒，闺蜜就被捆在凳子上。
0:51:14|0:51:16|大致的[茅亮]夏立刻来得兴趣。
0:51:43|0:51:53|大闺蜜反应过来，她极力用微笑掩饰尴尬，可[凉夏]一脸坏笑地盯着她。
0:51:53|0:51:55|[凉夏]揪下摆件上的羽毛。
0:52:17|0:52:21|随即，[凉夏]举起手中的羽毛。
0:52:21|0:52:31|[凉夏]的闺蜜紧闭双眼，将头转向另一边，可此时，[凉夏]的举动却令闺蜜大为震惊，她不但没有继续折磨闺蜜，反倒给她松了绑。
0:52:41|0:52:49|说完，闺蜜站起身走向桌子，她即刻拿起金龟壳准备离开，可她的小心思却被[凉夏]一眼识破。
0:52:49|0:53:7|[凉夏]激动地拍着凳子站起身，[凉夏]挡在她的面前，[凉夏]一把抢过闺蜜手中的金龟壳，反应过来的闺蜜，立即将其夺了回去，随后，在拉扯中，金龟壳飞了出去，里面的铜板和巧克力都被甩了出来，二人分别接住散落的东西。
0:53:7|0:53:11|闺蜜看着落在地上的铜板，说道。
0:53:11|0:53:16|说完，她转头望去，只见[凉夏]拿着一颗巧克力向她炫耀，随后跑了出去。
0:53:24|0:53:31|回到家里的[凉夏]，到处翻找着巧克力，橱柜里的东西都被她散落在地。
0:53:31|0:53:39|她注意到烤箱里有个盒子，随即便走向前拉开烤箱门，拿出包装盒，可当她打开后，里面却是空的。
0:53:39|0:53:41|紧接着，她拨通厂商电话。
0:53:52|0:53:57|他毫不犹豫地按下2，可对方却没了声音，于是他反复拨打。
0:54:8|0:54:17|[凉夏]心如乱焚的躺在沙发上，这时，左上角又出现了计时器，时间显示4小时35分55秒。
0:54:17|0:54:20|恍惚间，她睁开眼，将主意打到了冰箱的饮料上。
0:54:51|0:54:54|二人还对视了一下，很快便到达了球场。
0:54:54|0:55:3|众人都在热身，高总则先接听起了电话，而最吸引眼球的还是高总的秘书，他通过拉伸来展现曼妙的身姿。
0:55:3|0:55:7|而此刻，[凉夏]就站在他的对立面，很是不屑地看向他。
0:55:9|0:55:14|随后，高总率先发球，[茅亮]毫不客气地将球打了回去。
0:55:14|0:55:23|对面的秘书没有接住，众人震惊地看向他，可当[毛亮]回头看时，[茅亮]立刻收起笑容。
0:55:23|0:55:34|说完，高总准备重新发球，[茅亮]尴尬地后退回位置，这一次他没有逞强，接连好几个回合都输给对面，越打越没意思，他坐在旁边休息。
0:55:47|0:56:0|随后，[茅亮]拿起旁边的饮料喝了起来，可就在这时，手机响了。
0:56:24|0:56:29|此刻的[凉夏]丝毫不知小凉夏将巧克力融化到了他刚喝的饮料里。
0:56:49|0:56:55|小[茅亮]生气地挂断电话，高总却走了过来。
0:56:55|0:56:57|小[茅亮]不屑地上下打量他。
0:57:2|0:57:14|画面上方出现二人的战斗值，[毛亮]慌张的左顾右盼，接着，小[茅亮]用尽全力将球打过去，高总被吓到，战斗值瞬间下减之6，[毛亮]不可思议地看着小[茅亮]。
0:57:17|0:57:26|高总调整好姿势准备接招，而休息区的[毛亮]不停地给小[茅亮]使眼色，可小[茅亮]不理会，轻蔑一笑转头发球。
0:57:26|0:57:34|这一次，高总没有轻视，稳稳地接住球，二人就这样你来我往地打了好几个回合，却怎么都分不出胜负。
0:57:34|0:57:42|毛亮和助理震惊的眼神跟随球来回摆动，反倒场上的二人打得越来越起劲，势必要分出胜负。
0:57:43|0:57:48|小[茅亮]夏不愿再纠缠，使了个大招，球飞旋地向对面冲去。
0:57:48|0:57:53|高总见状扑了上去，可还是没能接住，他重重地摔在地上。
0:57:53|0:58:2|此时，战斗值下降至零。
0:58:2|0:58:10|瞪大双眼的毛亮和助理，立即上前查看。
0:58:14|0:58:22|此时，对面场地只剩下球和球拍。
0:58:22|0:58:27|另一边，妍妍载着小[茅亮]夏与其友一同飞驰在大桥上。
0:58:34|0:58:48|夜幕降临，繁星闪烁，星星们就像许多小灯笼点缀了单调的夜空，随着点点星光渐渐增多，大地也融入到夜色中，人们在满天繁星下搭起帐篷，自由地聊着天。
0:58:57|0:59:15|言言将抱着小[茅亮]夏的手缓缓上衣，她顺势撑起身子，将小[茅亮]夏压在身下，小[茅亮]夏不知所措地抖闪着，可她却以为是小[茅亮]夏不好意思，持续着手上的动作，小[茅亮]夏无法接受地推开她。
0:59:15|0:59:21|小[茅亮]夏将头转向一边，躲避着言言的眼神，言言见她如此反感，便坐起身子问。
0:59:22|0:59:33|小[凉夏]见他误会了，立即坐起身，严严皱紧眉头看着他，而小[凉夏]说完，就收回了眼神，低下头说出了自己的原因。
0:59:33|0:59:40|紧张的神情也舒缓开来，随后，他将双手搭在小[凉夏]的肩膀上，温柔地亲上了他的脸颊。
0:59:40|0:59:51|小[凉夏]闭上双眼，尝试着接受，严严的手竟不老实起来，就在快要摸上小[凉夏]的胸时，被他一把抓住，刚好他手表的时间被小[凉夏]注意到。
0:59:52|1:0:0|随即，小[凉夏]双手推开他，拉开帐篷的拉链，拿着外套走了出去，只留妍妍一人呆坐在帐篷里。
1:0:0|1:0:10|小[凉夏]火急火燎地跑到远离人群的地方，她边喘粗气边掏手机，在调整好气息后，她举起手机按下录像键。
1:0:15|1:0:17|小[凉夏]扭扭捏捏地说。
1:0:25|1:0:29|说完，她按下暂停键，看向露营方向。
1:0:29|1:0:35|此时，画面的左下角出现了倒计时，真正属于她的时间还剩不足半分钟。
1:0:35|1:0:39|渐渐地，收心闭上疲倦欲睡的眼睛，隐退消失。
1:0:39|1:0:47|[凉夏]拿掉假发回到帐篷前，她缓慢地弯下腰，看向里面侧躺的妍妍。
1:0:47|1:0:51|[凉夏]没有理会她，一屁股坐在帐篷内的睡袋上。
1:1:0|1:1:2|妍妍深情地看着[凉夏]的侧脸。
1:1:30|1:1:34|[凉夏]被她突如其来的表白所震惊，猛然坐着身子捧起她的脸。
1:1:34|1:1:38|在犹豫片刻后，紧闭双眼，亲上她的脸颊。
1:1:38|1:1:42|正当言言沾沾自己时，[凉夏]将她的外套扔在面前。
1:1:44|1:1:49|言言瞬间愣在原地，而[凉夏]已经拿着包走了出去。
1:1:49|1:1:57|第二天，[凉夏]为了避免发生意外，她将冰箱里所有的饮料都倒进水池，随后将瓶子扔进了垃圾桶里。
1:1:57|1:2:8|接着，从书架上拿出一本厚厚的书，放在手臂上将其打开，只见书里被挖出一个洞，而洞里则装满了魔法巧克力，随后[凉夏]拿着书走了出去。
1:2:31|1:2:35|小[凉夏]边听语音边画画，很快便完成了一幅。
1:2:35|1:2:39|而画上的两名女子，双手抱胸，背靠背，就好像此刻的她们。
1:2:39|1:2:45|另一边，正在修理摩托车的[凉夏]手机响了，她掏出手机，来电显示竟是[茅亮]。
1:3:13|1:3:18|[凉夏]满脸失望地挂断电话，刚好就在这时，同伴前来找她。
1:3:28|1:3:33|同伴很不识趣地点头向外走去，[凉夏]则继续干着手里的活。
1:3:33|1:3:38|另一边，小[梁夏]将话放到了[茅亮]的书桌上。
1:3:47|1:3:52|留给小[梁夏]的时间仅剩两小时，她回头轻笑了一下，便走出去。
1:3:52|1:3:58|随后，二人来到惊魂医院，光线极度昏暗，灯光异常阴森。
1:3:58|1:4:9|小[梁夏]立刻甩开她的手，[茅亮]质疑地看向小[梁夏]，可小[梁夏]却一把将她推了出去，这时，一只手骨搭在她的肩上。
1:4:11|1:4:17|突然，刀疤男张着血盆大口向小[梁夏]走来。
1:4:17|1:4:29|刀疤男用手指向另一边，小[梁夏]将假手鼓还给他转身离开，可当他打开门，里面的人呲牙咧嘴冲他大喊，他兴奋地走向人群中间。
1:4:42|1:4:45|他躺在病床上，让所有人都将他围起来。
1:4:45|1:4:50|此时，右下角出现计时器，离他便回[茅亮]下，仅剩几秒钟。
1:4:50|1:4:55|不一会儿，[茅亮]睁开眼，看到这一幕，被吓坏了。
1:4:55|1:5:1|他连忙做起，不停地闪躲着僵尸，随手抓起放在旁边的医疗用品，就扔了上去。
1:5:9|1:5:18|鬼屋里的工作人员迅速向外跑去，[凉夏]张牙舞爪地追了出来，可一道铁门却拦住了工作人员的路。
1:5:18|1:5:34|在外对抗鬼怪的[凉夏]震惊地看向里面，紧接着，[凉夏]拿起一旁的东西向他们扔去。
1:5:47|1:5:56|[凉夏]淡定自若地赤着鸡翅，而对面的男子在同伴的鼓舞下狂赛鸡翅，严严在一旁宠溺地看着小[凉夏]。
1:5:56|1:6:7|不一会儿，男子就坚持不住了，他痛苦地倒下去。
1:6:10|1:6:17|[凉夏]不紧不慢地喝了口饮料，接着拿出魔法巧克力一口吃了下去，得意洋洋地举绝战。
1:6:17|1:6:31|即时开始，在变态辣的作用下，小[凉夏]闹起肚子，她即刻冲向厕所打开门，厕所破烂不堪的样子令小[凉夏]戛然而止，可肚子痛却实在无法忍受。
1:6:31|1:6:56|吓得小[凉夏]立刻关上门，转身打开另一扇，她看着陈旧的马桶很无奈，可此时，肚子又翻滚起来，他无奈只能强忍着恶劣的环境去上厕所，另一边，严严四处寻找他。
1:6:56|1:6:58|严严不甘心地坐上摩托车。
1:7:10|1:7:15|正在上厕所的[凉夏]，听到窗外的摩托车声，瞬间慌了神。
1:7:15|1:7:21|他刚想站起来呼喊，可肚子又传来强烈的疼痛。
1:7:21|1:7:26|无奈的他只能再次坐下，单手撑在隔板上缓解。
1:7:26|1:7:28|随后，二人用语音来交流。
1:7:29|1:7:36|在小[凉夏]的帮助下，[茅亮]很快完成了高总所有的需求，二人也正式签了合同。
1:8:1|1:8:12|[白晓柠]欣慰地看着他，二人激动地相视一笑，高总说道。
1:8:12|1:8:20|高总握紧[凉夏]的手赋予众望，[凉夏]如释重负地看着[茅亮]，他终于做到了，也体现出了自身的价值。
1:8:20|1:8:24|随后，[凉夏]与闺蜜在外静坐，二人在包间内开怀大笑。
1:8:26|1:8:28|[凉夏]也觉得不错，满意地点点头。
1:8:28|1:8:30|闺蜜透过门缝，看到[茅亮]的身影，二人立刻扒在门框上。
1:9:22|1:9:31|两人失望地低下头，随后回到家里，他看着[茅亮]十年前向他表白时的录像。
1:10:29|1:10:34|看到此时，[凉夏]早已泪流满面，然后她将录像倒放至前面。
1:10:38|1:10:48|两人边看边将零食塞进嘴里，吃完后，他顺手摸向一旁的零食堆，就误将包里的魔法巧克力拿起，看都没看就直接塞进嘴里。
1:10:48|1:10:56|过了一会儿，他意识到味道不对，便低头看向手里的包装纸，紧接着，他迅速趴在垃圾桶上狂吐不止。
1:11:2|1:11:9|突然，[凉夏]一时恍惚，她猛然地抬起头，摇摇晃晃地站起身，耳边还在嗡嗡作响。
1:11:9|1:11:17|这时，计时器出现了，小[凉夏]撩起头发，一脸茫然地看向凌乱的地面。
1:11:32|1:11:39|晚上，[茅亮]下班回到家，他刚关上门，就看到地上有个写着好好看看四个字的卡片。
1:11:39|1:11:42|随后，他打开放在桌上的文件袋，拿出里面印着[茅亮]告白视频的光盘，才恍然大悟。
1:11:56|1:11:59|此刻，他也被拉回到十年前的回忆里。
1:11:59|1:12:5|第二天，两人身穿画画的围裙，左手拿着抹布，右手拿着画笔，躺在画室的中间。
1:12:5|1:12:12|不久，他模糊地醒来，在看清楚墙上的画时，立刻清醒过来，起身，欣赏着眼前的这幅画。
1:12:12|1:12:17|画面是由两个青春少女为主体，可身处的环境截然不同。
1:12:18|1:12:29|左边的女孩充满了活力和朝气，整个人被绽放的花朵所笼罩，右边的女孩韵味十足，时而娇羞万千，时而温柔如水，浑身散发着女孩的成熟气息。
1:12:29|1:12:40|两人向彼此靠近，伸手去尝试接纳对方，画上的二人像极了此刻的他们，两人看得入了神，突然，他注意到一旁小画板上有留言。
1:12:44|1:12:50|他欣慰地低下头笑了起来，在[凉夏]的鼓舞下，他决定重新开始。
1:12:50|1:13:0|他给小画板重新画上纸，用图钉固定住它的四角，再给调色盘挤上所需的颜料。
1:14:26|1:14:33|[茅亮]一把拦住即将关闭的电梯门，里面的[凉夏]内心毫无波澜地看向他，就在[茅亮]要开口时。
1:14:34|1:14:47|助理从容不迫地走进电梯，[凉夏]用微笑回应着她的问候，转过身后便立刻收起了笑容，很快，电梯到一楼。
1:14:47|1:14:53|随后，她快步离开电梯，商场内，包装使用[凉夏]作品的化妆品得到了大众的喜爱。
1:15:8|1:15:20|另一边，坐在镜子前的[凉夏]刚化好妆，化妆师正要用卷发棒给她卷头发。
1:15:20|1:15:22|这时，闺蜜拿着平板走过来。
1:15:25|1:15:27|此时，工厂被浓烟笼罩。
1:16:0|1:16:5|闺蜜暂停直播，一脸担心地看向[凉夏]。
1:16:5|1:16:8|此时，[凉夏]也束手无策。
1:16:8|1:16:15|接着，二人坐在前往画展的车上，闺蜜拿出一颗巧克力问道。
1:16:20|1:16:22|说完，[凉夏]肯定地看向闺蜜。
1:16:22|1:16:28|二人相视一笑，她接过闺蜜手中的魔法巧克力，拨开巧克力的外包装。
1:16:28|1:16:33|她看着手中的巧克力，期待着小[凉夏]的到来，随后便一口吃掉。
1:16:33|1:16:42|随着豪车的缓缓到来，周边的记者和粉丝兴奋地大声表白，接着车门打开，一双球鞋映入眼帘。
1:16:42|1:16:45|小[梁夏]用飞吻，回应着每位粉丝的热情。
1:16:48|1:16:56|这次画展的规模很大，一整面的墙体上都挂满了[凉夏]的作品，每一幅画都让人如痴如醉。
1:16:56|1:17:2|熙熙攘攘的人群一波接一波地来回欣赏，大家都沉浸在画的意境之中。
1:17:2|1:17:6|画展中心还为所有人都准备了丰富的食物和酒水。
1:17:11|1:17:14|[梁夏]转身后，向身后的各位记者挥手示意。
1:17:14|1:17:26|最后，她提起裙子走上讲台，并拿出手机背对着大家录像。
1:17:51|1:17:55|她转身面向大家，[茅亮]却若有所思地看向地面。
1:18:11|1:18:17|正沉浸在成功喜悦中的小[梁夏]突然脸色大变，笑容在她脸上瞬间消失。
1:18:17|1:18:25|众人见她如此反常，便开始在私下议论纷纷。
1:18:25|1:18:27|闺蜜见状赶紧出来解围。
1:18:46|1:18:54|[凉夏]紧张地走下演讲台，闺蜜此刻的心也被揪了起来，她的目光紧随[凉夏]移动。
1:18:55|1:19:2|众人满怀期待地看着[凉夏]，可[凉夏]此刻的内心无比紧张，甚至不敢抬头看向高总。
1:19:3|1:19:8|说完，她穿过人群走了出去。
1:19:8|1:19:11|众人议论纷纷，她却毫不在乎。
1:19:11|1:19:16|紧接着，她来到卫生间里，拿出一颗魔法巧克力放在水池边。
1:19:16|1:19:22|在看了许久后，她抬起头看向镜中的自己，迷茫的眼神中也带了一丝坚定。
1:19:22|1:19:26|随后，她缓缓拿起手机，按下录像的开启键。
1:19:30|1:19:37|说完，她笑着面对屏幕，接着按下暂停键，她看着镜中的自己，内心不断地加油打气。
1:19:37|1:19:42|在小[凉夏]的帮助下，她决定突破现状，找回曾经的自己。
1:19:42|1:19:46|于是，她重新回到画展，走向人群中。
1:19:46|1:19:51|她抬头挺胸，见[茅亮]一脸担心地盯着她，便害羞地低下头。
1:19:51|1:20:6|在走到闺蜜身边时，她停下脚步，将手里的魔法巧克力交到她的手里，并示意她要将闺蜜一脸诧异地看向他，随后他自信地走上演讲台，站在画板的正前方。
1:20:6|1:20:14|他看着画板的尺寸，脑海里不由自主地浮现出此刻想要表达的东西，[白晓柠]站在一旁满意地笑着。
1:20:14|1:20:21|闺蜜在底下满脸欣慰，手里还握着魔法巧克力，只见他抓起画笔，就在纸上轻柔地描绘着。
1:20:23|1:20:31|他专注地盯着笔尖，旁若无人，只剩下铅笔在纸上摩擦的声音，重拾他的世界。
1:20:31|1:20:38|此时的[凉夏]竟让底下的[茅亮]看得出了神，助理看着[茅亮]痴迷的样子，一脸醋意。
1:20:38|1:20:43|不知不觉中，[凉夏]已经开始为画上色，不同的色彩丰富了画面的细节。
1:21:8|1:21:11|结束了画展后，[茅亮]亲自送[凉夏]回去。
1:21:11|1:21:16|而此刻，坐在后排的[凉夏]看着窗外，内心止不住窃喜。
1:21:16|1:21:20|突然，[茅亮]放下挡板，透过后视镜看着[凉夏]。
1:21:20|1:21:26|这时，[凉夏]被他的举动吸引住目光，缓缓转头看了看后视镜，再看向他。
1:21:33|1:21:39|[凉夏]抿着嘴看向窗外，他终于等到了[茅亮]的解释，可他已经释怀。
1:22:12|1:22:16|他终于卸下一身的伪装，去面对最真实的自己。
1:22:16|1:22:22|接着，[茅亮]将车停靠在路边，疑惑地转身，看向坐在后面的他。
1:22:22|1:22:26|[凉夏]从容不迫地说完后，转头打开车门走了下去。
1:22:26|1:22:30|他关上门，毫无留恋地向车的反方向走去。
1:22:30|1:22:34|而此刻，坐在车内的[茅亮]内心五味杂陈。
1:22:34|1:22:38|回到家，[凉夏]坐在画室看着与小[凉夏]互动的所有视频。
1:23:16|1:23:21|关掉手机，[凉夏]的脑海里闪现着与小[凉夏]的美一幕。
1:23:21|1:23:29|接着，她抬头看向挂满整面墙的画作，这都是她与小[凉夏]的共同努力，是属于他们二人美好的回忆。
1:23:29|1:23:32|忽然间，她想到了闺蜜在之前提醒她的话。
1:23:35|1:23:50|于是，她将视线转移到一旁桌角上的魔法巧克力，看着她暗自下了决定。
1:23:50|1:23:57|另一边，以妍妍为首的摩托车队停靠在路边，大家三五成群地在一起嬉戏打闹。
1:23:57|1:24:4|[白晓柠]一改往日的风格，悠闲地向他们走来，可她突然看到一个女孩走向妍妍，二人很是暧昧。
1:24:8|1:24:14|他不知所措地站在原地，见他们是向自己驶来时，他立刻跑到墙角，偷偷观察他们。
1:24:19|1:24:29|一个个摩托车飞速地向前驶去，[白晓柠]听见没有动静后，缓缓将头转过来，她紧盯着沿摩托车上女孩的背影。
1:24:29|1:24:36|直到摩托车队消失在视野里，她才收回眼神，此刻她目光呆滞，任由泪水滑过脸颊。
1:24:36|1:24:40|回到家，梁夏蜷缩在地上，四周全是散落的零食。
1:24:41|1:24:47|不一会儿，他舒展开身体，抬眼看见的就是灵石，他一脸茫然，慢慢从地上爬起。
1:24:47|1:24:56|与此同时，他观察着凌乱的地面，忽然间，他紧盯着墙面向前走去，他蓬头垢面，眼妆都晕在了脸上。
1:24:56|1:25:6|而此时，对面的墙上早已发生了翻天覆地的变化，只见画面上的女孩用手指指向脑袋，眼眶的泪水夺眶而出。
1:25:6|1:25:9|这幅画也生动地体现出[凉夏]此刻的心情。
1:25:16|1:25:26|随后，[茅亮]来到言言的俱乐部，一眼就看见言言和那个女孩坐在桌前有说有笑。
1:25:58|1:26:3|严严不知所措地站在原地，看着他的背影，紧接着他擦去脸上的水。
1:26:7|1:26:18|突然，一个拳头向妍妍袭来。
1:26:18|1:26:24|躺在地上的妍妍抬手示意同伴们止步，随后，同伴们发动摩托车为她助力。
1:26:33|1:26:37|两人很快扭打在一起，实力不分上下。
1:26:37|1:26:40|[茅亮]紧抱妍妍的腰，将其撞向墙面。
1:26:40|1:26:43|妍妍也不停地用胳膊肘，砸向他的后背。
1:26:43|1:26:53|忽然，[茅亮]拎起妍妍的衣服。
1:26:53|1:26:56|另一边，[凉夏]来到闺蜜家。
1:26:58|1:27:2|[凉夏]止步于客厅中间，深叹一口气，转身看向闺蜜。
1:27:7|1:27:28|闺蜜接过[凉夏]递出的手机，随后[凉夏]将巧克力一口吞下，紧接着，小[凉夏]紧盯手机。
1:27:28|1:27:32|闺蜜转身看向小[凉夏]，并将手搭在她的胳膊上安慰道。
1:27:34|1:27:51|闺蜜一脸无奈，小[凉夏]恶狠狠地看向她，吓得她立刻将头转了过去。
1:27:51|1:27:55|最后，她来到妍妍俱乐部前，狂敲大门。
1:27:55|1:27:58|她见妍妍打开门，立刻推着她向里走去。
1:28:3|1:28:17|她边说边脱掉衣服，在去脱妍妍的衣服时，被抓住双手。
1:28:17|1:28:20|小[凉夏]捧起她的脸。
1:28:30|1:28:40|女孩冲上前给了小[凉夏]一巴掌，最后推开妍妍挡在身前的胳膊。
1:28:40|1:28:45|小[凉夏]强忍心中的不甘。
1:28:45|1:28:50|热泪盈眶的她看向妍妍，可妍妍却避开她的眼神，于是她转身离开。
1:29:17|1:29:23|气不成声的小[凉夏]一脸委屈地看向闺蜜，而此刻，闺蜜却被她气得说不出话来。
1:29:25|1:29:31|闺蜜心中的怒火在胸中翻腾，她极力压制着，无奈只能将头转向另一边。
1:29:31|1:29:35|小[凉夏]见她不为所动，便将怒气又撒向书架。
1:29:35|1:29:41|突然，装有巧克力的书散落在地，小[凉夏]立刻上前去拿。
1:29:47|1:30:0|闺蜜紧按住小[凉夏]的手去阻止，可此刻，小[凉夏]却恶狠狠地看着她，闺蜜看着她满眼心疼，泪珠倔强地从眼角滑落，怕她做出什么过分的事，只能无奈地放手。
1:30:0|1:30:4|她缓缓起身，可眼神却从未离开。
1:30:4|1:30:10|拿到巧克力的小[凉夏]，疯狂地将其塞进嘴巴里，而包裹在外面的包装纸也没有来得及去撕掉。
1:30:14|1:30:19|闺蜜看着她此刻狼狈的样子，泪流满面。
1:30:19|1:30:29|第二天，[凉夏]快速跑进火车站，她四处寻找[白晓柠]的身影，二人相遇的场景此时浮现在脑海里，一切仿佛像昨天。
1:30:46|1:30:53|突然，[凉夏]在火车旁看到了[白晓柠]。
1:31:9|1:31:14|可对面的[白晓柠]却没有听到她的呼唤，持续拉着女友的手向前走。
1:31:14|1:31:24|随后，[凉夏]的脑袋出现了眩晕，意识模糊不清，就在她即将倒下去时，及时抓住一旁的扶手，接着跪倒在地上，用尽全力喊道。
1:31:26|1:31:36|正在检测的[白晓柠]似乎听到了她的声音，可当[白晓柠]回头在人群中寻找时，却并没有发现她，[白晓柠]失望地回过头走进火车。
1:31:36|1:31:45|而[凉夏]透过人群在看到[白晓柠]不为所动后，支撑起自己的信念，瞬间崩塌，身体也重重地砸向地面。
1:31:45|1:31:49|在失去意识的那一刻，[凉夏]仿佛来到了自己的内心世界。
1:31:50|1:31:56|四周漂浮着浓密的烟雾，当破开了层层的烟雾后，才发现了[凉夏]的身影。
1:31:56|1:32:1|她紧紧地抱着大腿，蜷缩在地上，还在不停地抽气。
1:32:1|1:32:5|此刻，她的内心无比的孤独，好似一个被抛弃的小孩。
1:32:36|1:32:39|听到[凉夏]的呼喊，小[凉夏]缓缓地站起身。
1:32:39|1:32:45|[凉夏]发现她后，长出一口气。
1:32:45|1:32:48|小[凉夏]站在原地，早已哭成一个泪人。
1:32:51|1:32:54|她的身上被医生插满了各种医剂，脸色极度苍白。
1:33:26|1:33:34|感同身受的[凉夏]，耐心地劝说着小[凉夏]，并一步步地向她挪近，伸出双手迎接她的归来。
1:33:34|1:33:40|小[凉夏]仿佛听进去了她的话，握紧拳头，缓缓地朝她挪动着。
1:33:40|1:33:48|小[凉夏]伸手去触碰，可就在二人即将接触的一瞬间，竟被一道透明的墙所隔开。
1:33:48|1:33:50|[凉夏]一脸吃惊地抚摸着墙面。
1:33:58|1:34:8|护士即刻注射肾上腺素，顺着输液管，可以看到小[凉夏]此时仿佛身陷大海。
1:34:8|1:34:11|[凉夏]急切地高举双手，击打着透明墙。
1:34:13|1:34:19|突然，透明墙被敲击出裂缝，[凉夏]现状使出全身力气去撞击。
1:34:19|1:34:25|随着透明墙的破裂，医院的[凉夏]瞬间心跳停止，心电突击扒出刺耳的声音。
1:34:25|1:34:35|医生两手重叠，紧贴患者的胸部，利用上半身的力气连续按压，另一边，漂浮在水里的小[凉夏]任由海水将自己带走。
1:34:36|1:34:40|可同时又向[凉夏]伸出手，祈求他能救救自己。
1:34:40|1:34:46|此时的[凉夏]奋尽全身力量游向小[凉夏]，接着他伸出双手紧紧地将她抱在怀里。
1:34:50|1:34:56|就在二人沉浸在重逢的喜悦时，小[凉夏]的身体发生了微妙的变化。
1:34:56|1:34:59|她看着正在分解的手，紧皱了眉头。
1:34:59|1:35:7|就在这时，[凉夏]也注意到这一现象，她不可思议地看着小[凉夏]，随后捧起她的脸仔细观察。
1:35:7|1:35:12|病床上，[凉夏]面色苍白，没有一丝血色，鼻子上插着氧气管。
1:35:25|1:35:34|小[凉夏]说完，[凉夏]一脸感动地看着她，小[凉夏]在自己即将消失之际，用尽全力将[凉夏]向上推去。
1:35:34|1:35:44|此刻，[凉夏]没有再次反抗，她知道小[凉夏]自始至终都没有离开过自己，反而是胆怯的自己不敢面对现实，失去了自我。
1:35:44|1:35:50|[凉夏]知道此次分别就是永别，她紧盯小[凉夏]的脸，看着她一点点地消失。
1:36:16|1:36:25|此刻，漂浮在水里的[凉夏]被许多气泡环绕着，仿佛小[凉夏]化身为小气泡在保护她，并带着她飘向水面。
1:36:25|1:36:29|医院里，[医生]见心脏复苏没有效果，准备用电击去刺激心脏。
1:36:33|1:36:43|就在这时，一名护士的话引得在场所有人看向床边的心电图机，它显示的不再是一条直线，心率也在逐渐增加。
1:36:43|1:36:54|躺在病床上的[凉夏]眼角含有泪珠，她努力睁开双眼，还没有从失去小[凉夏]的痛苦中缓过来，只见泪珠顺着眼角就滑落了下去。
1:36:54|1:37:0|紧接着，她闭上双眼将头侧向另一边，可难过的情绪还是压制不住。
1:37:1|1:37:7|于是，她紧皱眉头，轻声哭泣，过了好一会儿，她才缓慢地睁开双眼。
1:37:7|1:37:13|此刻，她想起了小[凉夏]所说的话，她永远都不会离开他。
1:37:13|1:37:16|此后，她舒展眉头，情绪也缓和很多。
1:37:16|1:37:23|至此之后，[凉夏]重拾梦想，她将自己过去十年丢失的东西全部都寻找回来。
1:37:36|1:37:44|几年后，[凉夏]的艺术照出现在各大杂志的封面上，他的设计作品也几乎被整个行业所采纳。
1:37:44|1:37:48|从宅女到著名设计师，他的成功是大家有目共睹的。
1:37:49|1:37:55|妍妍在路过街边时，无意间发现商场的大屏幕上播放着[凉夏]的杂志。
1:37:55|1:38:0|她若有所思地紧盯大屏幕，随后不甘心地戴上头盔，发车离开。
1:38:18|1:38:21|[凉夏]激动地回头张望着。
1:38:48|1:38:57|他扶在窗前向下看，随后，[茅亮]高喊。
1:39:5|1:39:18|说完，[凉夏]撩过头发用余光看向他，随后又看着外面的[茅亮]，而此刻的[茅亮]依旧坚定地高举写着[凉夏]我爱你的牌子，站在原地等待他的答复。
1:39:18|1:39:25|最后，画面在水墨画的背景上，浮现出小[凉夏]写给[凉夏]的话。
