0:2:29|0:2:34|[李行]说完盯着她弩了弩嘴，女孩被这一举动逗笑了。
1:21:8|1:21:31|坐在病床上的[何俏俏]惊喜地看向[毛毛]，吃着便当里的精致饭菜，她若有所思的说道：一朵萝卜花点缀在肉上，依旧是[李行]在准备饭菜，[何俏俏]望着饭盒里精致的食物，夹起肉细细品尝，她忍着胃痛努力地吃了一口。
1:21:34|1:21:49|在厨房忙碌的[李行]拿出手机，[毛毛]发短信告诉他，[何俏俏]今天吃不下饭，[李行]有些担心，病房里的[何俏俏]干呕起来。
1:21:56|1:22:3|厨房里，[李行]为[何俏俏]准备着甜点，饭盒里装有美味的草莓蛋糕和芋泥蛋糕。
1:22:7|1:22:11|另一边的[何俏俏]捂住了嘴，她努力调整着自己的状态，将饭盒递了出去。
1:22:11|1:22:20|[毛毛]一脸担心地看着她。
1:22:23|1:22:29|[何俏俏]摇了摇头，眼泪缓缓滑落。
1:22:30|1:22:37|[毛毛]十分心疼，却不知如何安慰，只好默默低下头去整理餐盒。
1:22:37|1:22:46|[何俏俏]下定决心，她眼神坚定。闻言[毛毛]立刻走到[何俏俏]身边，对她说道：
1:22:47|1:22:54|[何俏俏]泪痕未干，出院的想法却依旧坚定，她看向[毛毛]拽着他的手请求道：
1:23:3|1:23:31|[何俏俏]双手拉着[毛毛]。[毛毛]侧过头去，[何俏俏]哽咽道：[何俏俏]仰头望向[毛毛]，[毛毛]吸了吸鼻子，望向窗外。
1:23:31|1:23:46|他不愿面对这一切，[何俏俏]如释重地说道：她越想越难过。
1:23:46|1:23:54|[毛毛]清楚两人的感情，他比[何俏俏]更难过。
1:23:55|1:24:2|[毛毛]侧过头强忍情绪，努力忍着泪水，[何俏俏]看着他乞求道。
1:24:4|1:24:12|阳光照进病房，二人拉着手对视，默默不语。红叶餐厅里出院的[何俏俏]，静静坐在吧台。
1:24:12|1:24:17|她抚摸着桌子，接着又站在餐厅门前。
1:24:19|1:24:25|她回头看着餐厅熟悉的一切。
1:24:27|1:24:35|于是她推门而出，迈出了属于自己的一步，午后的阳光穿透树叶格外温柔。
1:24:35|1:24:43|大街上人来人往，[何俏俏]走在胡同中，看着眼前的一切，似乎在做告别。
1:24:43|1:24:50|[李行]默默出现在[何俏俏]身后，紧紧跟随着她，就这样[何俏俏]走过了大街小巷。
1:24:50|1:24:55|她看着路边的风景，偶尔伸出手摸一摸身旁的枝叶。
1:24:55|1:25:12|[李行]无声地跟在身后关注着[何俏俏]的一举一动，看向长椅上坐着的姑娘，年龄相仿的两个人，面对的命运却完全不一样，她一时间有些恍惚停下了脚步，[李行]随之停下。
1:25:12|1:25:22|望着给自己鼓劲打气的[何俏俏]，透过橱窗[李行]发现[何俏俏]正在商店里挑衣服，[何俏俏]的身体已经不能支撑她大幅度的运动。
1:25:22|1:25:24|她艰难的扶着玻璃店门走了出来。
1:25:25|1:25:31|[李行]迎面走来，[何俏俏]看到他后慢慢停下了脚步。
1:25:31|1:25:42|二人相互凝视许久，[李行]突然露出了笑容，[何俏俏]也被感染，嘴角上扬，[何俏俏]闻言点点头，想了下说道：
1:25:53|1:26:0|[何俏俏]眼神躲闪，她刚要离开却被叫主。[李行]温柔说道：
1:26:13|1:26:21|[李行]笑着摇了摇头，对她说道。
1:26:22|1:26:28|[李行]的态度让[何俏俏]有些意外，夜晚两人来到婚房里。
1:26:40|1:26:46|他揭开盖子，[何俏俏]露出了久违的笑容。
1:26:57|1:27:5|她用勺子盛了一小口，刚送到嘴边，却又停下，身体的疼痛让她有些喘不过气。
1:27:5|1:27:15|她努力将粥咽下，[李行]期待地看着她，为了不辜负对方期望，她又喝了一口。
1:27:15|1:27:24|[何俏俏]实在忍不住了，生理的疼痛让她将食物全都吐了出来。[李行]抽出纸巾递给对方。
1:27:37|1:27:39|[李行]歪过头看着对方。
1:27:39|1:27:45|[何俏俏]听到铃声惊了一下，[李行]将手机夺了过去。
1:27:58|1:28:4|[李行]顺手为她接了杯水，[何俏俏]接过水杯。
1:28:4|1:28:8|有些艰难地吞下药，[李行]没有拆穿她的谎言。
1:28:8|1:28:13|只是静静地看着她，[何俏俏]再次拿起勺子，不想辜负对方的心意。
1:28:14|1:28:19|粥到嘴边却怎么也喝不下去，[李行]见状赶紧制止。
1:28:22|1:28:31|他握着[何俏俏]的手说道，[何俏俏]有些沮丧，
1:28:55|1:29:18|[李行]的话句句死刀，一点点扎在[何俏俏]心上。她无法控制自己的情绪，于是拿起包快速离开了，[李行]站在原地没有动，隐藏情绪的他暂时也控制不住自己，眼泪缓缓流出，他低下头哽咽难鸣，舞台灯光亮起，厨神比赛开始了。
1:29:40|1:29:48|开始[何俏俏]与[毛毛]也来到现场，他们在观众席为[李行]鼓着掌。台上的[李行]表情沉稳，
1:29:48|1:29:55|只见他左手拿起一个西红柿掂量了一下，[何俏俏]紧张地注视着他，期待着接下来的动作。
1:29:56|1:29:59|[李行]将未去皮的西红柿放进沸水中。
1:29:59|1:30:8|小火慢煮去皮，接着熟练地将咸笋与去皮西红柿切丁，场上的其他厨师也各显其能。
1:30:8|1:30:17|用着熟悉的工具制作着一道道精美的菜品，台上认真的[李行]，吸引着[何俏俏]的目光，她怔怔出神。
1:31:2|1:31:15|只见[李行]将汤碗端到[何俏俏]面前，俯下身子缓缓蹲下，那是[何俏俏]再熟悉不过的汤，盛放它的容器是高中时用来装食物的铝制餐盒。
1:31:38|1:31:45|[李行]盛了一口汤，轻轻对勺子吹了口气，接着缓缓送到[何俏俏]面前说道：
1:31:52|1:31:59|在[李行]期待的目光下将汤喝了进去。[李行]眼神有些紧张，等待着结果。
1:32:0|1:32:18|恰巧满意地点了点头说道，[李行]打开手中盒子，里面静静躺着一枚精致的钻戒他目光坚定握着钻戒的手却有些颤抖，[何俏俏]吸了口气，努力控制着情绪。
1:32:21|1:32:27|[李行]坚定的语气感动了[何俏俏]，她似乎在纠结，最终挣脱了自我的囚禁。
1:32:27|1:32:34|不再封闭自己的内心。[李行]呆呆地注视着眼前人。
1:32:34|1:32:41|[何俏俏]这次没有再犹豫，点头答应了，现场所有观众都起身为他们鼓掌。
1:32:41|1:32:48|在热烈的掌声中，[李行]拿起戒指，现场所有观众都起身为他们鼓掌。
1:32:48|1:33:1|在热烈的掌声中，[李行]拿起戒指，历经坎坷的他们，在这一刻终于圆满5年之期的分手合约，也在戒指戴上无名指的瞬间烟消云散。
1:33:1|1:33:10|[李行]深情亲吻[何俏俏]的手背，[何俏俏]有些恍惚，唯恐大梦一场，他们紧紧拥抱在一起，世间的深情也莫过如此。
1:33:10|1:33:18|[李行]开心地笑着，这一刻他们成了所有人的焦点，可他们的眼中却只有对方。
1:33:18|1:33:31|夜晚的胡同稍显清冷，[李行]走在熟悉的路上来到了红叶餐厅，餐厅外灯光温暖，点缀着室外放置的一盆盆植株，[李行]穿过小院来到了餐厅门口。
1:33:31|1:33:40|他透过玻璃门四处张望，[何俏俏]在吧台里忙碌着，他推门而进，开门声引起了[何俏俏]注意，她看向门口。
1:33:45|1:33:58|[李行]闻言收回视线，打量着餐厅里的一切，墙上挂满了[何俏俏]亲手制作的瓷器，从盘子到罐子应有尽有，[李行]被眼前的场景惊呆了。
1:33:58|1:34:6|有些诧异地看向[何俏俏]，[何俏俏]拿着两副碗筷缓缓走到[李行]身旁，[李行]有些心疼的看着她。
1:34:6|1:34:14|本来阳光活泼的女孩，如今被病痛折磨得弱不禁风，[何俏俏]放下碗筷。
1:34:15|1:34:20|看着面前的饭菜说道：
1:34:24|1:34:50|[李行]听完笑了笑，拿起木筷，端起饭碗，从盘中夹了一口肉放入嘴中细细品尝起来。[何俏俏]看着他，有些期待的问道，[李行]幸福地点头，[何俏俏]听完脸上多了几分笑意，[李行]静静听着。
1:34:52|1:34:56|[李行]看着碗里的饭菜偷乐，没有回应对方的问题。
1:35:4|1:35:11|预感到接下来的话题，[李行]表情凝固。
1:35:45|1:35:54|[何俏俏]看着旧照片陷入回忆了
1:36:38|1:36:44|[李行]强忍眼泪带着哭腔问道：
1:37:0|1:37:8|得知真相的[李行]哭得像个孩子。
1:37:10|1:37:34|[李行]努力控制自己的情绪。[何俏俏]面带笑容，缓缓靠近[李行]，她用食指托起[李行]的嘴角，将他摆出微笑的样子。
1:37:37|1:37:46|[李行]无法想象[何俏俏]就这么离去，胸中排山倒海，脸上却只是默默流泪，。
1:38:6|1:38:32|戏中常常写到的生离死别，如今就出现在身边，出现在眼前人身上，万般情绪化作无言的拥抱，世间情爱自古心酸，或许命运对他们来说是残酷的，从遇见[何俏俏]的那天起，[李行]第一眼便喜欢上了，他们在青春里遇见相爱，
1:38:39|1:39:8|可是[李行]还未等到每人白头的那一天，红颜却早已薄命，如同随风消逝的花朵。半年后[李行]接管了红叶餐厅，餐厅内摆满了他和[何俏俏]有关的一切，她亲手做的盘子，收集的小物品，两人的婚纱照小店被[李行]打理得井井有条，这时的[何俏俏]早已离去，[李行]身着毛衣正在吧台里看书，
1:39:8|1:39:20|而此时恰好有客人推门而入。
