0:1:49|0:1:54|[朱广生]看着手上的烤肉，说完他将手中的烤肉串放在碟边，
0:50:2|0:50:11|此时[王蓉]将头埋在[朱林]的怀里撒娇着，傍晚一张离婚协议书斜放在床头的桌子上，老朱坐在炉子旁说道，
0:50:17|0:50:43|妻子面无表情，看着墙上的照片，曾经那对相濡以沫的夫妻，现如今却到了这副田地，[朱广生]决定将所有的事情都扛下来，妻子依旧看着照片不为所动，[朱广生]心烦意乱地将手中的酒一饮而尽，此刻他就算再怎么不舍也要学会放下，他不想连累妻儿，让他们陪自己吃苦。
0:50:44|0:51:8|随后他不紧不慢地拧紧酒瓶盖，像是将这一段过往也尘封在了酒瓶里，他缓缓地把酒瓶放在身旁的箱子上，看着酒瓶，他深深地叹了一口气，紧接着他拿起一旁的帽子站起身，迈着沉重的步伐向门口走去，可没走几步他却停了下来，他站在卧室门口，低头对妻子的背影说道，
0:51:13|0:51:39|说完见妻子没给出任何反应，他便走出房门，妻子站在柜前通过相框的玻璃反射看着自己，她强忍着泪水不让其流出，墙上的相框里贴的满是两个女儿小时候的照片，而每张照片的旁边都趴着一条狗，此时的屋外，只见天地间白茫茫的一片，雪花纷纷扬扬从昏暗的空中飘落下来，
0:51:39|0:52:0|给世界万物都盖上了一层厚厚的棉被，[朱广生]带着蓝波顺着小路渐行渐远，另一边妻子拿着离婚协议书，失魂落魄地坐在炉子旁，她目光呆滞的看向正前方，[朱广生]走累了，坐在半山坡上那积满雪花的木头上，蓝波则乖乖地坐在他的身边，
0:52:0|0:52:6|此刻他内心无比空虚，原本温馨幸福的家如今只剩下一人一狗。
0:52:6|0:52:15|不知过了多久，[朱广生]与蓝波的身上也落了一层积雪，远处山峰层层叠叠，盖上了一层又一层的白雪，
0:52:15|0:52:24|就像大海里卷起的滔天白浪。第二天凌晨雪依旧下着，洋洋洒洒的雪花，伴随着冬日的瑟瑟冷风，
0:52:24|0:52:34|让人莫名的感觉孤独。妻子在收拾好行李之后，就将房门钥匙悬挂在门外的墙上，她一手拿着一个包，迈着沉重的脚步向外走去，
0:52:34|0:52:37|怎么也想不到事情会发展到如此地步。
0:52:37|0:52:57|她刚走到半坡上，就被前面的风车所吸引，风车耸立在风雪中不停地转动，吱呀的叫声唤着二人过去的记忆，可就在她将头缓缓地落下时，她却看到了对面的狗场，此时的狗场也被积雪覆盖，只有那悬挂在空中的五星红旗迎风飘扬，
0:52:58|0:53:4|不知为何，狗场内的狗不停地狂叫，或许在呼唤[朱广生]回家。
0:53:4|0:53:25|妻子在这一刻也明白了，她不该去磨灭[朱广生]的理想，在她没有了解详细情况的时候，就恼羞成怒地对[朱广生]一顿责怪，现如今的她继续沿着小路前进着，妻子踹着[张彪]家的门，见[张彪]开门，她索性将门一把掀开，门口的酒瓶被碰倒，
0:53:31|0:53:38|[张彪]靠在门框上无奈地看着她，她将怨气发在[张彪]身上，[张彪]却反过来质问她，
0:53:56|0:54:17|还没等[张彪]说完，委屈的她眼泪已经夺眶而出，可[张彪]并不理会，而是伸手直接将门关上。站在门外的妻子无助地抽泣着，随后她便转过身，靠在身旁的围栏上调整自己的情绪，可当她看见门外台阶上陈列着数不清的酒瓶时，瞬间陷入了沉思。
0:54:17|0:54:35|另一边许多老年人和中年人都在广场上整齐有序地排练，随着轻快的音乐，个个踩着欢快的鼓点挥洒舞姿，一辆警车映入眼帘，他缓缓地停在几位妇女的面前，紧接着几位妇女便迎了上去，[刘所长]下车说道，
0:54:50|0:55:12|几位妇女强行将[刘所长]推入舞池，可[刘所长]丝毫不胆怯，在人群中一点也不逊色，他站在中心位不经意的动作也不失法度，身法手眼都踩着鼓点，可正当他享受舞蹈带来的快乐时，手机突然响了，他边跟着节奏边掏出了手机，
0:55:20|0:55:29|老朱垂头丧气地坐在草滩上，随后他缓缓抬起头看向[刘所长]，瞬间明白的[刘所长]扔下烟头便走向他说道，
0:55:43|0:55:58|老朱抿着嘴将头埋进围脖里，[刘所长]走到他的身边拍了一下他的肩膀，并示意他向另一边挪挪，紧接着[刘所长]一屁股坐在他的身边，此刻的老朱还在执拗，
0:56:10|0:56:36|[刘所长]见老朱不为所动，便杵了他一拳，老朱此刻心烦意乱地盯着地面，[刘所长]气愤不已，站起身来走到老朱的正对面，老朱则抬起头眯着眼睛看着他，[刘所长]指着他骂道，随后无奈地站直身子，[刘所长]气愤的准备将手插进口袋，可还没插进去，就指着老朱，
0:56:41|0:56:48|说完[刘所长]便启动车子从老朱面前驶过，而老朱则抬起头目送着他离去，随后
0:56:48|0:57:0|[朱广生]若有所思地看着手中的皮鞭。医院里，妻子提着水果走进病房，她先是看了看一旁的病人正被家人照顾着，而自己面前的病人则侧身躺着睡觉，
0:57:0|0:57:10|她轻轻地将水果放在床头柜上，在仔细地观察过后推了推妇人，妇人莫名其妙的被叫醒，她缓缓地转过头看向[朱广生]的妻子，
0:57:32|0:57:52|妻子随后开始收拾起来，妇人在听到是儿子的安排后，便放下心来，另一边[朱广生]背着大竹筐走向深山里，随后他将洁白无瑕的积雪一点一点地铲进竹筐，待积雪没过竹筐时，他还用铁锹将其拍了拍，筋疲力尽的他将铁锹杵在地上，
0:57:53|0:58:14|他一只手扶着铁锹，一只手将帽子向上拨了拨，接着他便背起竹筐原路返回，他小心翼翼地走在凹凸不平的山路上，生怕将筐中的积雪打翻，回到家[朱广生]把竹筐中的积雪全部倒进一个大铁盆里，他将竹筐放在地上，大口地喘着粗气，随后他便捧起一把积雪吃进嘴里。
0:58:14|0:58:28|在他不停地咀嚼时还不忘观察着盆中的雪，紧接着他将炉子里正燃烧的木炭夹出来，放在盆底下面，就在他调整木炭时，大女儿[朱丛]推门而入并缓缓走向前，
0:58:36|0:58:43|说完[朱广生]便站起身，二人同时看向铁盆中的积雪，[朱广生]擦着手中的铁夹子，
0:58:49|0:58:58|[朱丛]点着头回应道。随后[朱广生]便拿着竹筐走出房门，[朱丛]站在身后看着父亲的背影在门被关上的那一刻消失了。
0:58:58|0:59:12|大盆的积雪在木炭的加热下逐渐消融，父亲对子女的感情都是深沉而宽广的，他们只懂默默付出并不善言表，他需要担当起父亲的责任和对家庭的负责。
0:59:12|0:59:16|随着雪水不停加热，很快冒出了热气。
0:59:16|0:59:39|[朱林]在姐姐的帮助下跨进到铁盆中，骨瘦如柴的她，后背就像那层层叠叠的山峰，鲜细的胳膊自然地垂落在身体的两旁，此时她披散头发低着头，看着姐姐帮她清洗那笔直的长腿，随后她弯下腰任凭姐姐用水瓢向她的头上浇水，可就在姐姐回头盛水时，她直接将头发甩了起来，
0:59:39|0:59:49|自溅的水花落到姐姐脸上，姐姐立马抓起一大把水向[朱林]撒去，[朱林]下意识躲着迎面而来的水，不一会儿她便洗好了。
0:59:49|0:59:59|随后老朱用铁铲将盆底的木炭铲出来放回炉子中，再把放在一旁的凳子和盆子放置盆角，就在他收拾的时候，[王蓉]跳进盆中
1:0:4|1:0:27|老朱走到[王蓉]的身边，不停的抚摸着它的脑袋，紧接着他脱掉外套坐在凳子上细心的给[王蓉]擦拭着，并拿出水瓢给[王蓉]冲洗，一边冲洗一边不停地用手揉搓着，待老朱给[王蓉]洗完之后，它便调皮的甩动着自己的皮毛，另一边[昌子]飞奔地跳进了水池，水花溅到了一旁的[张彪]脸上，
1:0:40|1:0:46|说完[张彪]将头向后仰，若有所思的[张彪]突然看向[昌子]，
1:0:51|1:1:2|紧接着[张彪]挥了挥放在水中的手，示意[昌子]走向前来。二人双目对视，不知在密谋些什么。歌舞厅内，[昌子]将[朱丛]拉到一旁说，
1:1:8|1:1:43|[朱丛]的表情瞬间变得紧张起来，[朱丛]一把拉住准备离开的[昌子]，[昌子]眉头紧皱，很不理解[朱丛]的做法，说完[昌子]无奈地转身离去，[朱丛]则瞬间瘫软靠在墙上，深山里老朱牵着马行走在满是积雪的山坡上，越往山上走积雪越深，他在没过膝盖的积雪中艰难地前行，
1:1:43|1:2:4|穿着厚重的他不停地喘着粗气，待爬上山坡后，他才骑上马继续他的巡山，一人一马一狗逐渐消失在视野里，与此同时[昌子]缓慢地爬上楼梯，他走到[张彪]的面前，在喘粗气的同时递出一个黑色瓶子，[张彪]接过瓶子，仔细地观察着瓶子上写着硫酸，
1:2:5|1:2:32|夜晚在歌舞厅内彩色灯光在头顶闪烁，伴随强烈的鼓点，舞者们翩翩起舞，舞台上的[朱丛]早已经注意到坐在台下的[张彪]，她纤细的罗衣从风飘舞，缭绕的长袖左右交横，络绎不绝的姿态飞舞散开，曲折的身段手脚合并，舞姿轻灵，身轻如燕，身体软如云絮，双臂柔弱无骨，步步生莲，花般的舞姿，如花间飞舞的蝴蝶，
1:2:32|1:2:35|牵动着[张彪]的心。
1:2:35|1:2:53|此时[张彪]紧盯着台上的[朱丛]，他怕不是早已经忘了自己此次前来的目的，而[朱丛]在跳舞的同时，还时不时地看向[张彪]，她那双顾盼撩人的大眼睛，令[张彪]如痴如醉，让[张彪]惊叹于她那清雅灵秀的光芒。
1:2:53|1:3:7|她的每个动作都撩拨着[张彪]的心弦，在完成最后一个动作时，她紧盯着[张彪]露出妩媚的表情，随即便缓缓离场，台下的[张彪]恋恋不舍地看着她离去的方向。
1:3:7|1:3:23|随后在[朱丛]走出歌舞厅时，突然有人叫住她，二人来到她面前，[张彪]转过头，用眼神指责[昌子]，
1:4:11|1:4:19|[张彪]一把拉住[朱丛]，却被[朱丛]反擒拿住，说完她便放开[张彪]，头也不回地转身离去，
1:4:33|1:4:38|见[张彪]准备离开，[昌子]立刻叫住他，
1:4:43|1:4:53|说完他便转身离去，随即[昌子]用嘴巴将瓶盖咬开，直接仰头猛灌一口，
1:5:5|1:5:15|随后她看着[张彪]说到，[张彪]这突如其来的夸赞惹得[朱丛]欣喜若狂，震惊不已的[朱丛]怎么也没想到，[张彪]真的会为了自己想尽一切办法去筹10万块钱，
1:5:20|1:5:35|此时正陷入爱情的[张彪]听到这话立刻转身走出房门，[昌子]看了看[朱丛]晃着脑袋便跟了上去，随后，[张彪]特意收拾一番，便来到[朱丛]家，他双手拎着礼品盒大步走到老朱面前，
1:6:10|1:6:20|老朱看着眼前的[张彪]强压着心中的愤怒，他不明白为什么这个人总是出现在他的生活中，于是他缓缓走上前，紧盯着[张彪]怒斥道，
1:7:4|1:7:14|蓝波被狗场的老伙计紧紧拽住，老朱双眼充满了愤怒，随后他来到[朱丛]工作的地方，[朱林]紧随其后，老朱走到[朱丛]面前直接给了她一巴掌。
1:7:52|1:8:12|[朱丛]将久在心底的话全部发泄出来，说完她便转身离去，[朱林]见状立刻追了上去，此刻的老朱被[朱丛]的一番话击中了内心，他不知道自己所坚持的一切给给这个家带来了这么多伤害，他无助的像是被定格住，站在原地久久挪不开步子，他看着[朱丛]逐渐远去的背影，
1:8:12|1:8:23|心里满是愧疚，晚上回到家[朱广生]用打火机将墙角的蜡烛点燃，再拿出印泥放在镜子前，他将锅翻过来，用双指抹了一下锅灰，
1:8:42|1:9:2|老朱用简单的材料勾勒出武生的妆容，随后他站在半坡上，带起用马尾做的口条和着京剧的配乐，他精准地踩在每一个鼓点上，音色宽阔洪亮，演唱粗壮浑厚，动作造型鲜明而顿挫，[朱广生]和狗场的老伙计围坐在火堆的两边，
1:9:46|1:9:58|他此刻戴有伪装的面具，却被唤醒内心深处的知性，月光下的他看向远处尽量不让眼泪再次流出，他借助歌曲将心中的憋屈全部喊了出去。
1:10:8|1:10:30|他借助戏曲的高潮呐喊着自己内心的不满，脸色胀红，健儿发青，脖子胀得像是爆炸的样子，整个峡谷都回荡着他的声音，逐渐地他冷静下来，他眼含着泪缓缓的抬起头看向一望无际的夜空，这时的月亮已被大山遮住了半边，却依旧发着耀眼的光芒。
1:10:30|1:10:49|随后回到屋内的[朱广生]看着镜子里的自己，眼泪却不由自主地滑落下来，四分五裂的镜面映照出不同角度的他，紧皱眉头的他自我安慰地说道，他在背后默默的付出，可更多的是自己一个人咀嚼心痛。
1:10:49|1:10:59|泪流不止的他看着眼前这沧桑的自己，边说边哽咽的他最终还是将所有的心事都埋在了心底。
1:10:59|1:11:3|随后他深深的叹了一口气，便对镜子中的自己鞠了一躬。
1:11:3|1:11:6|医院里，[张彪]正在水盆里清洗着毛巾，
1:11:16|1:11:28|他将手上的水擦在裤子上，弯下腰扶着母亲的肩膀，令其慢慢地坐起来。他整理完被子便坐到母亲的身后，将毛巾伸进母亲的衣服里，帮她擦着后背。
1:11:41|1:11:50|母亲缓缓转过头看着眼前的[张彪]，若有所思的母亲紧皱着眉头，
1:12:12|1:12:18|此刻的[张彪]停下了手中的动作看着母亲，
1:12:24|1:12:30|二人之间的气氛瞬间变得伤感起来，[张彪]紧紧地抱住母亲了，
1:12:32|1:12:56|说完她便靠在[张彪]的肩膀上，双手抱紧[张彪]的胳膊，而身后的[张彪]则抱着母亲强忍泪水，次日的凌晨，老朱牵着狗走在深山里，天地间笼罩在白雾中，近处的花草树木都在浓雾中时隐时现，他艰难地牵着狗爬上山坡，时而停下来观察着四周，另一边收拾好的[朱丛]背着单肩包走出大门。
1:12:56|1:13:14|正当她同往日一样走在熟悉的小道上，警觉的她突然觉得身后有人跟着，就在进入小道的时候，她还特意往回看了一眼，可并没有发现什么，但她还是加快脚步走了出去，而身后的那个人见她消失在自己的视野里，便一路小跑起来。
1:13:14|1:13:27|而在这时[朱丛]也跑进了胡同，她仔细的观察着四周，见四下无人迅速抄近道跑了出去，惊魂未定的[朱丛]在确认过后便离去了，可当她走到两辆车的中间时突然被拦住了。
1:14:2|1:14:15|说完他转头看向[朱丛]，[朱丛]看着眼前的刀被吓得不敢作声，可就在这时对面维持秩序的交警走了过来，车内的[张彪]瞬间变得紧张起来，而[昌子]立刻转身摇过驾驶室的车窗，
1:14:28|1:14:35|随后车子继续行驶，另一边的医院里，[张彪]的母亲正在给老朱的妻子诉说，
1:14:43|1:14:52|老朱妻子听完后瞬间谨慎起来，紧皱眉头的她反复思考着。深山里厚厚的积雪被三人踩出或深
1:14:52|1:15:14|或浅的脚印，[张彪]走在最前面四处张望着，身后的胖子架着被绑的[朱丛]艰难地向前走着，晴天烈日和风习习，圣洁无瑕的雪山背衬湛蓝的天空，坐落在广袤的大地上，朵朵雪白的云彩，轻盈地围绕在雄山的腰间。山脚下，是一片浓绿林立的松柏。
1:15:14|1:15:30|与此同时，老朱牵着狗继续穿梭在朦胧的深山里，仰头望去直插云霄的雪山山顶在缭绕的云雾间若隐若现，半山腰灰白色的嶙峋石层层叠叠，幻化无穷，无数条银色的冰川一泻千里。
1:15:30|1:15:49|[朱广生]牵着狗，深一脚浅一脚地走在雪地里，洁白的雪地治愈着他的内心，随后他站在铺满积雪的小溪里准备将蓝波牵下来，可他一个踉跄却倒了下去，确定蓝波没有受伤，他索性直接躺了上去，缓缓地闭上眼睛，蓝波则乖乖地守在一边，
1:15:49|1:16:4|另一边精疲力尽的[朱丛]一屁股坐在雪地上，实在走不动的她选择向[张彪]妥协，体力严重消耗的她，大口喘着粗气，
1:16:12|1:16:20|[昌子]迅速挪到[朱丛]身后，[张彪]静静地看着[昌子]为[朱丛]解绳子，车内的[刘所长]电话响起，
1:16:26|1:16:43|他们迅速前往[朱广生]的家，此刻的[朱广生]早已开车载着[朱林]和蓝波去寻找[朱丛]，尽管前方道路泥泞，他也从未停下，还在生气的[朱广生]紧皱着眉头，他无奈地说道，
1:16:56|1:17:8|紧急打转方向盘的同时，车子深陷泥坑才迫使他停了下来。另一边翻过山的三人正缓缓地走向一间破旧的小屋，走在最前面的[张彪]紧盯着小屋的角落，
1:17:8|1:17:32|最后，他谨慎地观察着周围，在确定无人后，他走向小屋地面凸起的地方，他跪在凸起的地方，直接用手将表面的积雪刨开，很快地面露出一个木质的盒子，他迫切地将其打开，撕掉表面的牛皮纸，露出一把枪，[朱丛]震惊地捂住嘴巴，[张彪]举起枪瞄准[朱丛]和[昌子]，
1:17:48|1:17:56|就在这时[朱广生]出事的地方下起了雪，漫天的雪花从灰色的天空中飘落下来，不一会儿只见雪花逐渐扩大，
1:17:56|1:18:7|从微不足道的零星小雪变成了鹅毛大雪，周围一片寂静。深陷泥坑的车子不停地打着双闪，而车内的[朱广生]趴在方向盘上一动不动，
1:18:7|1:18:20|坐在后排的蓝波并无大碍，它用嘴巴来回地蹭着奄奄一息的[朱广生]，见他还没有动静，蓝波便转头蹭着紧靠在座椅上的[朱林]，潜意识昏迷的[朱林]很快就清醒了过来。
1:18:23|1:18:33|[朱广生]在[朱林]的晃动下逐渐醒了过来，他缓缓地将头抬起，可嘴边却不停地流着血走流血了，说完[朱林]着急地左右翻找着外套上的口袋，
1:18:37|1:18:45|[朱林]拿出纸巾为老朱擦着嘴边的鲜血，而老朱却转过头努力尝试着将身子从车里挪出去，
1:18:55|1:18:59|就在这时，车内的[蓝波]像是察觉到了什么？不停地狂吠着，
1:18:59|1:19:6|瞬间理解[蓝波]举动的老朱，警惕地观察着四周，老朱顺着叫声望去，竟看到山上有狼的身影。
1:19:8|1:19:14|他一边安慰[朱林]，一边观察狼的动向，而山头的狼也已经注意到了车内的他们。
1:19:16|1:19:27|紧接着山顶上的狼群在同伴的呼喊下逐个来到山下，它们从不同的方向将老朱的车团团围住，而此时车内的老朱对这一切都毫不知情，
1:19:35|1:19:54|逐渐冷静的老朱瞬间反应过来，说完老周便立刻将车发动起来，耀眼的车灯形成两道光柱。与此同时狼的眼睛被光柱照射，瞬间变成了白色，随后狼群逐个撤退，他们恋恋不舍地回头张望着，可由于怕光他们不得不先放弃，
1:20:0|1:20:13|[朱林]在父亲的激发中勇敢地转过身后将车窗摇下，而老朱通过后视镜看见车窗摇下来便转过头，他紧靠在座椅上，看着后排的[蓝波]喘着粗气，随后对[蓝波]说道，
1:20:20|1:20:55|老朱将所有的希望都寄托在[蓝波]的身上，身受重伤的老朱不停地喘着粗气，此时[蓝波]像是听懂了老朱的话，它哼唧地回应着老朱深陷困境的老朱只能尝试着赌一赌，[蓝波]接到命令立刻跳出窗外，老朱用仅剩的力气奋力喊出，随后他将自己头上的帽子抛出窗外，[蓝波]一个跳跃并顺利接住，它按照老朱的嘱托，顺着车灯的方向一路向前跑去，它奋尽全力地奔跑着，从未停歇。
1:20:56|1:21:8|当[蓝波]跑出危险区时，车灯开始变得若隐若现，而狼群并未离开，它们看着车灯逐渐消失，便虎视眈眈地紧盯着车子，于是又开始了新的行动。
1:21:8|1:21:20|狼群在头领的号召下准备再次进攻，而此时的老朱并无防备，聪明机智的狼改变了策略，他们从车后的方向悄无声息地爬过去，待狼在扒车窗时，
1:21:25|1:21:46|[朱林]鼓足勇气迅速将车窗摇上，并成功地阻挡了狼群的偷袭，而身处半山腰的狼群见同伴没有得逞，便纷纷下山，快速跑到了车旁。数额庞大的狼群将面包车团团围住，护林站里[刘所长]驾驶着警车快速赶到老朱家门前，车子刚刚停稳，他就立刻下车径直走向屋内，
1:21:52|1:22:4|这时蓝波将帽子叼至门前，蓝波见老朱的妻子注意到了它，便立刻转身跑向另一个方向，它迅速跑到住在狗场的老伙计门前，狂吠的叫声，成功地将老伙计叫醒。
1:22:5|1:22:12|老伙计走出房门，就看见蓝波对他狂叫不停，他也察觉到狗场所有的狗都变得狂躁坏了。
1:22:13|1:22:31|于是他打着手电筒快速跑向狗舍，以最快的速度逐个打开笼子，将狗舍里的所有狗都放了出来，他们逐个跑出狗场，在蓝波的带领下迅速跑去支援老朱，而得知老朱遇难的妻子和[刘所长]驾驶着车子到处调查着老朱此时的位置。
1:22:44|1:23:7|妻子担心地点了头，被困在车里的[朱林]害怕地躲进老朱的怀里，而此刻的老朱惊恐地看着车窗外的狼群，它们张着血盆大口来回转悠，还有几只早已等不及的恶狼不停地扒着窗子，车内的[刘所长]立即组织警务人员前往大峡谷救人，车队即刻出发，以最快的速度前往目的地，
1:23:7|1:23:27|只见那盘山公路上不停地回荡着警笛声，蓝波带领同伴抄最近的小道，勇往直前的它们此刻唯一的目的就是冲到老朱的面前，可天空突然下起了雪，大片的雪花，从腾云密布的空中簌簌的飘落下来，而这并没有影响狼狗前进的脚步。
1:23:27|1:23:32|另一边[张彪]面对着[朱丛]说道，他为爱情丧失理智，
1:23:37|1:23:44|他站在情人谷的中心，真心诚意地看着[朱丛]。他此刻的眼里满是[朱丛]的身影，
1:24:6|1:24:12|[张彪]的这段话发自肺腑，[朱丛]从未见过如此痴情的男人，
1:24:38|1:24:48|说着的同时，[张彪]的脸上浮现出了笑容，[张彪]迅速将背上的猎枪拿了下来，而[昌子]和[朱丛]见状被吓得连连后退，
1:24:55|1:25:3|张彪把枪举过头顶，可手机突然响了起来，他立刻脱掉手套，拿出手机，在看到显示屏后他立刻将其接了起来。
1:25:13|1:25:19|张彪挪动着身体，此时他的脑海里出现了[朱广生]的妻子在医院细心照顾母亲的场景，
1:25:27|1:25:42|听着母亲的话，张彪缓缓地放下手机，他看着[朱丛]也将手中的猎枪放了下来。随后[朱广生]的妻子给[朱丛]拨通了电话，她着急地询问着[朱丛]当下的具体位置，
1:25:50|1:26:5|而另一边的野狼沟，躲在[朱林]身后的[朱林]，拿着扳手护在身前，狼不断地围攻车子，并用爪子不停地扒着车窗的缝隙见爬上来的狼越来越多，[朱广生]就用扳手吓唬他们，可谁知它们并不害怕，反而攻击得更加猛烈。
1:26:6|1:26:29|突然一只狼爪伸进了驾驶室里，[朱广生]毫不犹豫地用短刀割着狼的爪子，狼刺痛地叫着，随后便跳下了窗子，[朱广生]赶紧将车窗摇上，就在这时狼狗们终于越过山岭来到了[朱广生]的身边，而坐在车内的[朱广生]目瞪口呆地看着车窗外，大批的狼狗向自己跑来，
1:26:29|1:26:46|他怎么也没想到蓝波将所有的同伴全部带了过来，跑在最前面的蓝波径直跑向他的方向，而就在这时狼的首领也注意到了蓝波首领盯着蓝波，呲着锋利的尖牙并发出嚎叫的声音，仿佛在向同伴传递消息。
1:26:46|1:27:6|而狼群在收到消息后便转身四处打量着，为首的蓝波不顾一切地向它们跑去，紧随其后的便是大批的狼狗，狼群在确定了他们的方向之后，便成群结队地跑了过去，狼与生俱来的血性和傲气，使得他们对眼前的狼狗无所畏惧。
1:27:6|1:27:17|狼群卓越的智慧、耐性、组织性和纪律性在此刻淋漓尽致地表现了出来。昏暗的夜色，空旷的山野，安谧的森林到处都回荡着狼与狗撕咬的声音，
1:27:17|1:27:39|车内的[朱广生]紧紧地将[朱林]抱在怀里，用手遮住她的双眼，不忍心让她看到这副残忍的场景，而就在这时一只狼跑到了副驾驶的车窗边，吓得[朱林]立刻将车窗锁紧，这才将它阻挡在外，可狡猾的狼却绕到车的另一边，并扒开了后排的窗户，它直接将爪子伸向[朱广生]。
1:27:39|1:27:48|由于穿得很厚，仅让他撕破外套的[朱广生]也侥幸逃脱了它锋利的爪子，惊魂未定的[朱广生]迅速将车窗摇上并说道，
1:27:52|1:28:3|得到命令的[蓝波]使出浑身力气将狼死死地咬住，注意力都在[蓝波]身上的[朱广生]并未注意到趴在窗前的狼，这一声枪响吓得[朱广生]打了个哆嗦，
1:28:13|1:28:21|[张彪]一枪立刻瞄准狼群，一枪一个。震惊的[朱广生]通过后视镜观察着[张彪]，不一会儿所有的狼都被[张彪]所击毙，
1:28:21|1:28:32|经历惨烈的战斗，现场狼狈不堪，横尸遍野，狼与狗都倒在了血泊之中，坐在车里的[朱广生]看着此刻的场景瞬间热泪盈眶。
1:28:32|1:28:59|他怎么也没想到这群狼狗竟为了救他，不惜牺牲自己的性命，紧皱眉头的他强忍着泪水，可他看着自己亲手养大的狼狗们十分不舍，他深知生命长河之难测也无法释然失去的痛，于是他闭上双眼缓缓地将头低下为它们做着祷告，他将头深深地埋在手臂里，迟迟不愿抬起，同时他也陷入了深深的自责中。
1:28:59|1:29:6|另一边[朱广生]的妻子站在窗外不停地张望着外面，同时期待着他们能够平安归来。
1:29:6|1:29:32|不一会儿[刘所长]带领的警车也赶了过来，他们有序地将车停靠在[朱广生]所在的地方，担心[朱广生]的[刘所长]在车停住的那一刻便下了车，他一路小跑地奔向[朱广生]的方向，其他警员也紧随其后，可[刘所长]被[朱广生]车前的一幕惊呆了，他看着尸横遍野的尸体，一时间也不知道该怎么办，只有仅存的几条狼狗不停地向他发出哀嚎声，
1:29:32|1:29:54|而得知警察前来的[张彪]立刻转过头看着[朱丛]说道，他突然笑着向[朱丛]眨眼，此时的[朱丛]并不理解他所说的意思，而在[张彪]说完之后，便转身对着山下的警察大喊道，[张彪]将枪举过头顶，缓慢地从山坡上走下来。
1:29:54|1:30:18|[朱丛]和[昌子]默默地跟在他的身后，这时[朱广生]在车内抬起头看着他深深叹了一口气，而站在人群中的[刘所长]立即下令捉捕[张彪]，随即警务人员便举着枪警惕地走到[张彪]的面前，给他戴上冰冷的手铐，而看到这一切的[朱广生]不忍地将眼睛紧紧的闭上，在警务人员将[张彪]押送前，
1:30:18|1:30:27|他依依不舍地看向一旁的[朱丛]，瞬间大悟的[朱丛]终于明白他刚才所说的意思，她想上前阻止可话到嘴边欲言又止。
1:30:27|1:30:32|下车后的[朱广生]先是走到受伤的[蓝波]面前，并将它紧紧地抱在怀中，
1:31:44|1:31:56|与此同时，一只雄鹰盘旋于天空，俯瞰大地振翅九霄，它挥动着矫健而强劲的双翼，不受羁绊地翱翔于天际，时间仿佛回到了从前。
1:31:56|1:32:9|[朱广生]站在山坡上呼喊着蓝波，正玩耍在雪地里的蓝波就会立刻奔向他，大雪纷纷扬扬地下着，天和地连在了一起，白茫茫的一片，分不出哪是天哪是地。
1:32:9|1:32:25|一片片晶莹洁白的雪花从空中飘落下来，那洋洋洒洒的雪花随着飒飒的寒风满天飞舞，像轻柔的柳絮似随风飘扬的鹅毛在广阔的天地中遨游着。
1:32:25|1:32:36|护林员[朱广生]听到枪声时的那一脸惊愕，在他瘫坐在雪地上，抱着蓝波时的失声痛哭，就像影片最后他的那段独白，最后什么都没了。
1:32:36|1:32:53|[朱广生]是个将军，这一场战役让他破敌一万，自损八千，他失去了爱将失去了战友，更失去了他一心想守护的东西，心里在这一刻瞬间崩塌，没有比这更让一个将军所难受的了。
1:32:53|1:33:5|可[朱广生]又是一个平凡无奇微不足道的将军，他置于这份事业的情感，就像爱这一片林海雪原，爱这些誓死追随他的狼狗们。
