0:1:58|0:2:5|画面开始于上海护士学校的大门口，几个女学生正陆陆续续地走进校门。
1:12:44|1:12:48|他盖上被子，屈膝而坐，摸着腮，不知如何是好。
1:12:51|1:12:53|他拿起了日记本。
1:13:3|1:13:11|[简素华]翻着之前的日记，已经记了大半本，他提笔写道。
1:14:26|1:14:27|沈昊如低下头。
1:14:37|1:14:42|此时，画面上火车呼啸而过。
1:14:42|1:14:45|沈昊如决定去找[简素华]。
1:14:45|1:14:48|他坐在火车上思考着。
1:15:18|1:15:20|听到喇叭里高唱的广播，一位工人喊道。
1:15:23|1:15:27|听到喊声，工人们纷纷向工地跑去，各自忙着自己的工作。
1:15:45|1:15:55|车辆继续向前开去，大风扬起沙尘，好像为工地蒙上了一层沙，什么也看不清了。
1:15:55|1:15:58|莫站长叼着烟斗拿着药箱在医务站走来走去。
1:16:4|1:16:12|[简素华]、顾慧英和老张准备去工地。
1:16:12|1:16:15|莫站长走到[简素华]和顾慧英身边。
1:16:27|1:16:32|说完，莫站长连忙跑回办公室寻找听筒，找了半天都没找到。
1:16:32|1:16:36|莫站长走到老张身边说。
1:16:36|1:16:41|莫站长突然注意到听筒就挂在脖子上。
1:16:41|1:16:48|四人正准备出发，迎面碰上了沈浩如。
1:16:48|1:16:52|[简素华]冲上去抱住了沈浩如，沈浩如高兴地望着他。
1:16:55|1:17:2|[简素华]突然想起了身后的同事，便拉着沈浩如介绍大家认识。
1:17:3|1:17:5|二人走到大家面前。
1:17:14|1:17:16|[简素华]对沈浩如说。
1:17:29|1:17:38|[简素华]笑着朝莫站长点点头，几个人一起向工地走去。
1:17:38|1:17:44|一位受伤的工友找到[简素华]，[简素华]急忙翻找药箱为工人治疗。
1:17:44|1:17:49|大风仍在咆哮着，沈昊如站在一旁，把头缩进衣领中。
1:17:52|1:18:2|他慌忙四处张望，寻找避风处。
1:18:20|1:18:23|他在一个建筑旁发现了正在避风的沈浩如。
1:18:30|1:18:33|[简素华]将沈浩如拉了出来。
1:18:33|1:18:39|这时，钱焕章正在奋力地转动着机器的转轮。
1:18:39|1:18:42|风力太强，他没站稳，一不小心摔了下来。
1:19:0|1:19:18|[高昌平]拿着手电筒进屋查看，屋里堆满了装有水泥的麻袋，[高昌平]向身边的工人叮嘱。[高昌平]说完，开始帮着搬运水泥。[高昌平]接过工人手中的水泥袋。
1:19:25|1:19:30|在工地的医务站内，大家都在忙碌着。
1:19:30|1:19:35|沈浩如帮钱焕章包扎额头伤口。
1:20:7|1:20:9|沈浩如生气的离开了。
1:20:12|1:20:18|[简素华]见状追了出去，顾慧英继续为钱焕章包扎。
1:20:22|1:20:29|二人走回了医务站，沈浩如在椅子上坐下。
1:20:29|1:20:33|[简素华]走到自己的宿舍旁，对沈浩如说。
1:20:48|1:20:54|[简素华]放下药箱，脱下外套，边倒水边说。
1:20:54|1:20:58|沈昊儒脱下外套，摘掉围巾，望着[简素华]。
1:21:5|1:21:8|[简素华]望着沈浩如，温柔地说。
1:21:9|1:21:17|沈浩如缓缓地向[简素华]靠近，二人的影子分明地映在墙上，沈浩如抱住了[简素华]。
1:21:29|1:21:32|[简素华]慢慢将头靠在他的肩上。
1:21:47|1:21:56|[简素华]深情地看着沈昊如，沈昊如不满地别过头去，推开了[简素华]。
1:21:56|1:22:2|沈昊如走到墙边，从衣服里掏出几封信，转身对[简素华]说。
1:22:22|1:22:26|[简素华]走到沈浩如身边。
1:22:41|1:22:45|[简素华]握住沈浩如的手。
1:23:3|1:23:8|[简素华]坐到沈浩如的身边，继续说道。
1:23:27|1:23:32|听到这话，沈浩如十分激动，他望着[简素华]说道。
1:23:51|1:24:0|沈皓如走到一旁，将信收好，转身回到[简素华]的身边。
1:24:25|1:24:27|沈昊如用力地拉住[简素华]。
1:24:33|1:24:39|[简素华]看到沈浩如的举动十分伤心，他强忍着泪水跑了出去。
1:24:39|1:24:45|沈浩如想要追上去，却听到了猛烈的关门声。
1:24:45|1:24:49|沈浩如低着头，不知如何是好。
1:24:49|1:24:54|[简素华]面色凝重，一个人在大风中慢慢走着。
1:24:54|1:25:0|他扶着路旁的树，无奈地摇了摇头，接着轻叹一声，趴在树上哭了起来。
1:25:4|1:25:12|沈浩如穿戴好衣帽，气愤地坐在凳子上思索着。
1:25:12|1:25:24|突然，拿起行李，快步离开了。
1:25:24|1:25:29|[简素华]失神地靠在树上，无意中看到了提着行李离开的沈浩如。
1:25:30|1:25:36|他望着沈昊如远去的背影，激动地喊道，
1:25:36|1:25:46|沈昊如听到喊声后放慢了脚步，看了一眼[简素华]，扭头走开。
1:26:26|1:26:28|沈昊如拿出两张车票。
1:27:7|1:27:14|听到沈昊如的话，[简素华]伤心欲绝，泪眼婆娑地跑开了。
1:27:14|1:27:21|沈昊如望着[简素华]远去的背影，他摘下手套，拿出[简素华]之前写的信，把信撕得粉碎。
1:27:26|1:27:37|沈昊如张开手，信的碎片瞬间被风吹散了。
1:27:37|1:27:45|沈昊如拿起行李，决绝地离开了。
1:27:45|1:27:50|风力依然不减，天空阴云密布。
1:27:50|1:27:53|[简素华]回到房间，趴在枕头上痛哭起来。
1:28:0|1:28:6|窗外电闪雷鸣，突然下起了瓢泼大雨。
1:28:6|1:28:13|[简素华]听到雷声猛地站起身来，她想起了工地的工人以及义务站忙碌的同事。
1:28:13|1:28:19|[简素华]感到有些眩晕，他站稳了脚，用力擦去自己的眼泪，向门外跑去。
1:28:27|1:28:33|在工地上工人们纷纷跑进屋里避雨。
1:28:33|1:28:37|雷电和暴雨并没有阻止[简素华]的脚步。
1:28:37|1:28:40|他来到工地，木箱被吹得到处都是。
1:28:43|1:28:54|工地的牌子被吹倒，装满水泥的仓库也开始漏雨。[高昌平]看了漏雨的仓库，大声喊道。
1:28:54|1:29:3|[简素华]听到喊声，赶忙向仓库跑去。[高昌平]边跑边喊，陆豪也赶了过来。
1:29:7|1:29:17|工人们顾不上大雨，都带着工具跑了出来。[高昌平]顺着梯子跑到仓库房顶，陆豪也背着麻绳爬了上去。
1:29:17|1:29:23|大雨倾盆，使得陆豪睁不开眼，他一不小心从梯子上摔了下来。
1:29:23|1:29:31|[简素华]赶来，看到倒在地上的陆豪，赶忙上前探查。他扶起陆豪，用力地摇着身子试图唤醒他。
1:29:43|1:29:45|[高昌平]看到二人反倒。
1:29:45|1:29:57|陆豪不顾自己的伤，在另一位工人的帮助下，背着绳子，爬到了房顶。
1:29:59|1:30:4|他把麻绳递给[高昌平]，仓库旁许多工人都拉住绳子。
1:30:4|1:30:10|[高昌平]、陆豪和其他工人们一起用力加固仓库漏雨的一角。
1:30:10|1:30:15|大雨瓢泼，雷声阵阵，所有人的衣服都湿透了。
1:30:17|1:30:27|他们不顾大雨，不顾寒冷，终于将仓库被风吹起的一角拉了下来，保护了仓库中的水泥。
1:30:27|1:30:37|之后，有的工人搬运水泥，有的工人加固仓库，积水已经没过了脚踝，但没有一个人停下。
1:30:37|1:30:40|[简素华]抱来一个木板。
1:30:45|1:30:49|[简素华]快步走开去取木板。
1:30:49|1:31:3|他走到堆放木板的位置，费力地抱起一个向前走去。
1:31:3|1:31:9|走了几步便没了力气，但他仍在继续坚持。
1:31:9|1:31:13|又走了几步，[简素华]晕倒在倾盆大雨中。
1:31:19|1:31:35|画面转到医院的一间病房，[简素华]右脸贴着纱布，[高昌平]，陆豪，莫站长，顾慧英等人担忧地守候在床边。
1:31:35|1:31:42|[简素华]慢慢地睁开了双眼，他看着身边的人虚弱地问道。
1:31:49|1:32:2|画面一转，唐晓芳和[高昌平]走在医院的走廊上。
1:32:2|1:32:7|[高昌平]手捧一束花，唐晓芳戴着口罩，二人一起向[简素华]的病房走去。
1:32:12|1:32:18|唐晓芳笑了，她接过[高昌平]手里的花，轻轻推开病房的门。
1:32:18|1:32:22|唐晓芳朝[高昌平]点点头走了进去，[高昌平]离开了。
1:32:24|1:32:28|唐晓芳关上门，小心翼翼地向床边走去。
1:32:28|1:32:34|病床上，[简素华]虚弱地靠在床头，旁边插了一束同样的花。
1:32:34|1:32:39|唐晓芳把花递给[简素华]，[简素华]接过花，开心地笑了。
1:32:42|1:32:44|唐晓芳摇摇头。
1:32:49|1:32:53|[简素华]坐直身子，抱着这束花望向窗外。
1:32:54|1:33:0|窗外正飘着雪花，纷纷扬扬落在树枝上。
1:33:0|1:33:5|镜头一转，窗外的树上已是繁花锦簇。
1:33:5|1:33:11|[简素华]一手拿着吃了一半的水果，一手正在写日记。
1:33:11|1:33:14|唐晓芳端着药走进来。
1:33:14|1:33:18|[简素华]喝完后放在桌上。
1:33:18|1:33:22|唐晓芳坐了下来。
1:33:23|1:33:24|这时，[顾慧英]和莫站长走了进来。
1:33:52|1:33:53|[顾慧英]说。
1:34:27|1:34:29|顾慧英不好意思地笑了。
1:34:49|1:34:57|此时，画面上是建好的厂房，厂房的一角矗立的大烟囱冒着烟。
1:34:57|1:35:1|工厂大门的柱子上贴着横幅，上面写道。
1:35:10|1:35:15|[高昌平]和[简素华]一起走到人来人往的工厂门前，抬头望着横幅。
1:35:18|1:35:19|[简素华]感叹道。
1:36:36|1:36:38|这一年多。
1:36:58|1:37:1|说完，二人并排走着。
1:37:16|1:37:30|画面一转，[高昌平]以及工人们正在告别。
1:37:30|1:37:36|唐小芳回头望，仍没有看见[简素华]。
1:37:36|1:37:38|[高昌平]遗憾地说。
1:37:47|1:37:58|人们陆陆续续上了车，送行的人不住地挥手告别。
1:37:58|1:38:5|车开动了，这时，[简素华]匆忙向这里跑来，他焦急地寻找[高昌平]的身影。
1:38:9|1:38:18|[简素华]从人群中挤出来，向[高昌平]喊道。
1:38:18|1:38:31|车停下来了，[高昌平]跳下车向[简素华]跑去，二人激动地握紧双手，[简素华]解释道。
1:38:31|1:38:35|[高昌平]微笑地看着[简素华]问道。
1:38:35|1:38:36|[简素华]抬起头。
1:38:38|1:38:40|[简素华]递给[高昌平]一封信。
1:38:40|1:38:44|[高昌平]刚准备打开看，[简素华]害羞地拦住了他。
1:38:51|1:38:53|[高昌平]的女儿在车上喊道。
1:38:53|1:38:55|[简素华]走过来。
1:38:58|1:39:2|[简素华]摘下围巾。
1:39:2|1:39:5|[高昌平]点点头，上了车。
1:39:8|1:39:23|[高昌平]紧紧地握着[简素华]的手，车开动了，[简素华]边跑边挥手告别，坐在车上的[高昌平]打开了[简素华]的信，他开心地笑了，信上只有四个字，我一定来。
1:39:23|1:39:28|[高昌平]激动地挥帽致意，[简素华]也挥动着丝巾向[高昌平]告别。
