0:1:55|0:2:3|五岳之地，深山奇里，竹林繁茂生长，冬雪两无痕迹。
0:52:46|0:53:4|凌空接种那种断剑，王殿下将羽林卫手中长剑击飞，撸乱见状开口道剑[无鸾]，躺靠于地并无大碍，[婉后]转身望向周遭羽林卫冷面开口道0:53:5-0:53:12羽林卫慌忙屈身说道，皇后抬眼向身后看去，便见新帝步入殿下，
0:53:13|0:53:19|行至[婉后]身侧，幽幽开口说道
0:53:42|0:53:59|待到皇后见此走远[无鸾]忽儿拔剑转身将那贵服于地上的羽林卫一剑封喉，突然而至的杀，意不知是因为此人破坏了剑术表演而盛怒，还是因为他未能击杀[无鸾]而做出的惩戒。
0:54:0|0:54:9|另一边皇后去往太子寝宫替他梳洗长发
0:54:17|0:54:25|感受着[婉后]玉指纤细，[无鸾]轻声回答
0:54:52|0:55:8|以池中侵权换洗双手，然后漫上[无鸾]脖颈[婉后]，扭转娇躯，贴靠上去问道，[无鸾]抬眼看着[婉后]回答道
0:56:6|0:56:18|[婉后]说罢，将那素色面具扔在[无鸾]胸前，而后拖曳裙摆气冲冲地离开了太子寝宫，重归于寂静。月华如洗，穿过天井包裹在吴鸾身上，更添孤寂。
0:56:18|0:56:23|他将那面具覆盖在自己脸上，似乎不愿承认[婉后]方才所说，
0:56:23|0:56:50|正当此时却见一方绸绢飘飘然，从天井落了下来，[无鸾]伸手将其握住，细看之下发现其上会有纹路，便缓缓将之展开，果然素色仇眷之上会有两具人偶，其中一人气宇轩昂，身着华服衣裳会有龙纹是帝王形象，却脑后染血，再看其侧，另有一人则佝髅身姿卓越行复式刺客形象。
0:56:51|0:57:6|[无鸾]观之则会意把持筹卷之手不住颤抖，长夜慢慢而过，第二日早都城集市内，无论天朝一米置于番邦，一族皆与此中交易往来。
0:57:6|0:57:22|纷乱之中有一白袍人穿梭麒麟，行于一处横隔之上掩人耳目，往城墙下阴暗小楼中去，步入其内便见一人坐扶于二层棚格木板之上，见有人来，那人开口道
0:57:33|0:57:39|[无鸾]身手接住后，搁于眼前细查正欲以鼻嗅之，却听那人道
0:58:27|0:58:42|直至归于寝宫之中仍是不住的念叨着
0:58:48|0:59:5|我听皇后说的，[无鸾]闻言向[青女]看，去墓中似有责备，[青女]慌乱急忙垂下眼帘，不敢与心上之人对视，宫殿不是灯烛，唯有陇光如洗，故此而今无言之时更觉清冷。
0:59:5|0:59:26|无论见状将手边那刻着越人歌的卷轴递了过去，[青女]从[无鸾]手中将之接过推开卷轴，轻声诵念道
1:0:20|1:0:41|[无鸾]虽扯着亲你的衣衫大殿空旷，吴岚峰也似的追逐着[青女]将他身上本就浅薄的衣衫扯下纤纤玉体见此红尘[无鸾]，眼中迷乱着他炽热的双瞳，将[青女]强行揽入怀中，感受着二人肌肤刮蹭时的撩拨，
1:0:43|1:1:0|[青女]胆怯又无助的呼号，以及透过天井淋漓而下的菲菲淫女，怀抱着暖玉一般的人儿，[无鸾]装饰难以忍受，就在冰冷的地板上面夺走了[青女]，从未想过会以这种方式失去的东西。
1:1:0|1:1:6|绵密的雨水顺着瓦当流淌，化作水帘默默遮掩了店内攒动的人儿。
1:1:6|1:1:17|天井之下，金女怀抱着赤裸的[无鸾]，像是母亲爱抚着顽皮的孩子，水珠在二人身上徜徉，勾勒着方才的飘柔与坚挺。
1:1:26|1:1:33|一日清晨天光罕至，城郊山峦连绵，万里不绝，都内云雾缭绕，阴阳难辨。
1:1:33|1:1:44|皇城高耸有连接天穹，冠绝云雾之势，泾渭列阵于宫墙之外，繁茂更胜山野林木，其贾政万臣其声势无量。
1:1:44|1:2:14|隋内饰之朗声传颂，[婉后]之册封大典正是起行只见皇城甬道当中有黑甲禁军分裂左右，护卫皇后此行无恙，又有高举惊奇，驾驭骏马者列阵最前，随五岳之声，缓步往新帝所在朝廷中去，在其身后另有掌持黄金辅乐礼器者顺遂行五中间六架高头大马身披金甲，由专人牵引，
1:2:14|1:2:22|带动[婉后]车驾缓而前行，只见那车价足足一丈有余，通体由紫檀木所致。
1:2:22|1:2:29|座榻之下相克纯金云纹，车中可供[婉后]等庶人共坐而犹有宽裕。
1:2:29|1:2:39|再看顶上华盖由纯金打造，即便天光罕至，饶恕熠熠，生辉富有，锦娟丝绸垂钓而下，极尽奢靡。
1:2:40|1:2:50|[婉后]而今身着茜素红所制凤袍端坐于鸾驾当中，行过甬道置于大殿当中，凡文武百官仪仗行武。
1:2:50|1:3:23|至于羽林卫、内侍、公主皆分裂，左右夹道相迎，只见[婉后]披罗伊之璀璨而摇臂之华基，戴金翠之首饰缀明珠一要居，可见今日册封其妆容不同，以往格外艳丽，待其行至新帝身侧，有内侍将以奉文奇货呈于[婉后]，并由新帝亲自开启便见，其中安放有阳脂玉玺印上，篆刻[婉后]之喜四字，
1:3:24|1:3:34|[婉后]笑而传唤身册宫娥将应玺收好后，与新帝携手共厚群臣来拜我，拜拜。
1:3:48|1:4:18|羽林卫，新帝之策，内饰监声传唤便见大定两侧雨林卫身披血袍，甩动甲斗铿锵行至大殿，中央禀鉴于身前向殿上新帝与[婉后]屈身失礼，而后分裂擂台两侧只代太子前来，半晌不见[无鸾]踪迹，内侍焦急地望向[无鸾]咀嚼，其目光阴冷无比，正当此时便见太子穿戴面具，双手端一座屁股置于身前，
1:4:18|1:4:39|缓步行至擂台之上，屈身行礼之际，一黑衣蒙面者从其背后跳跃而出，蹲伏于太子身前，为[无鸾]口舌黑衣，人拱手于胸，朗生开口又辅掌于兄对场中百官说道
1:4:41|1:4:47|随后腾空翻了几个跟头，对擂台两侧的羽林卫说道
1:4:49|1:5:5|说罢将分裂于擂台上的羽林卫全部推了下去，只留自己与[无鸾]两人伶人走上擂台，将[无鸾]身边的烛具点燃，带领人离开[无鸾]，用鼓槌一指黑袍人表演便开始了
1:5:12|1:5:37|说如是便听鼓声，剑起，有华夫男子步入舞台当中颇具醉态，见此起舞。再看黑衣人正于台上倒立，扮作宫墙模样，[华夫男子]倚靠黑衣人身上随鼓声而动，旋转起舞。四是最意盎然难辨西东，继而侧卧于黑衣人之辈，继而侧卧于黑衣人之辈，昏昏睡去。
1:5:37|1:5:47|正在此时又建议白衣男子撩起裤沿缓步行于台上，目视周遭伴上，轻声往[华夫男子]所在刑具。
1:5:47|1:5:55|[无鸾]坐于殿上见如此做若有所思之状，又见白衣男子随鼓声缓缓前行。
1:5:55|1:6:1|敦聚于[华夫男子]近处于地毯之上摸索，故而与[华夫男子]之脚踝相处。
1:6:1|1:6:22|二人皆是一颤，[华夫男子]受惊而起，白衣男子一作惊鸟之状，皇后娇眼冷峻做与殿上关系如此，便知[无鸾]所意何为故此不作言语静观其变。再看场中二人虽互为惊动，却因夜光黯淡，并未发觉对方所在。
1:6:22|1:6:29|二人之间仅隔方寸，始终互不相知。[华夫男子]查探半晌后，只觉无意，
1:6:29|1:6:39|遂愤而拂袖，白衣男子慌忙避开其袖口摔于地上，狼狈起身后方才发觉[华夫男子]已然席地而眠。
1:6:39|1:7:4|殿上皇后见如此，似是所有记忆再难平复，心境欲守仙仙置于凤袍之上，时而紧握，时而震颤，全然沉浸其中，忽闻鼓声激昂，便见白衣男子于台上横空翻转一周绕行至[华夫男子]身后，缓缓伸出右手，又要力劈在[华夫男子]脖颈之上动，而辄止似乎是有所顾虑，
1:7:4|1:7:15|又避过身去从怀中取出荧屏与鹅毛一根殿上新帝皆如此，木有异彩，继而笑意凛冽，连同顶上珠帘都在微微颤动。
1:7:15|1:7:29|再看场中只见白衣男子用羽毛一端拨开瓶口，继而倒置瓶内白色粉末与羽毛之上，新帝见如是何长于父，随鼓乐之声轻敲手指而神情无义。
1:7:30|1:7:41|须于片刻之后，鼓声愈发阴沉，便见白衣男子将鹅毛置于华夫男子耳探，继而轻吹粉末，使其缓缓往华夫男子耳中飘去。
1:7:41|1:8:5|正于此时便见新帝，眼前有一副黄金假重浮现，正是先帝旧物敬而观之，那铁面眼角所在似乎还残留着鲜血，新帝在回神时便见场中华夫男子仰面摔躺在地了，无声息，见状新帝终是难以平静直视场中那华夫男子面容无比冷峻。
1:8:5|1:8:29|似是戏中所演牵动其内心深处之隐秘，念及于此，先皇甲住铁面之上，眼角处有赤血涓涓长流，无穷无尽，新帝之策，[婉后]见戏如此再度陷入回忆当中，先帝崩除那日之场景历历在目，正是眼前戏中所演，于是神情崩坏，郊区纤细而不住颤抖，
1:8:29|1:8:55|画上金钗，耳边坠式，随其呼吸摇曳，满朝文武关系如此，皆作若有所思之状，却无人敢出一言，于是朝廷之中鸦雀无声，拜赏之后，新帝方才反应过来强装镇定，目视身测[厉帝]义演，继而换上笑脸起身往殿下行去，[厉帝]亦是起身伴星帝同行，
1:8:55|1:9:22|二人缓步行于殿中步入台上新帝观那华服男子扮上，继而缓缓抬起双手，轻击掌心，旋即又面向台下文武百官鼓掌，不断见如此百官便顺遂其意，于是店内掌声雷动，一扫方才之清冷，只是因太常心有筹谋，顾此不为所动，冷面旁观。
1:9:22|1:9:27|趁此间隙，台上演员便起身告退，混入店中不见踪迹。
1:9:27|1:9:42|[无鸾]见状衣食起身，只是伶人面具依然富于脸上，不曾卸下，待百官鼓掌过后，新帝转身行至[无鸾]深浅缓儿，开口说道
1:9:50|1:10:4|闻新帝所言，太子[无鸾]摘下面具，只见他双目无神泪与汗俨然一副沉浸于戏中勿难自拔。模样新帝见状上前一步开口说道
1:11:15|1:11:23|[殷太常]缓缓退回朝臣队伍之中，清帝亦是转身看向皇后又面朝群臣说道
1:11:39|1:11:46|听闻皇后说的决绝，新帝副手愚背缓缓行至深浅，盯着他扮上冷冷质问道
1:12:2|1:12:11|皇后这才意识到自己方才无比失态，慌忙垂下眼帘，收拢心神，又听新弟陈升问道
1:12:50|1:12:59|随太子启程。新帝三言两语于朝堂之上，群臣之前就将[无鸾]定为质子，
1:12:59|1:13:8|遣其前往契丹苦寒之地，美其名曰担当大任，实则只为绝其复仇之念，想拱卫皇权无恙。
1:13:8|1:13:30|皇后无欲凝耶，只得缓步行至[无鸾]身前，伸手替他抚平衣山上之褶皱，热泪将侵华运开，只见皇后强装镇静，挤出一抹凄惨笑意轻声说道，会逢[无鸾]心碎。
1:13:32|1:13:50|正要离去之时，却听店中有女生阻拦道[无鸾]身子已将循声所至，便见[青女]于群臣侧目中向擂台走来，行至台上，[青女]贵服余地向新帝与皇后所在拱手失礼，而后说道
1:14:5|1:14:17|[青女]天真直抒胸臆，却不料皇后廷罢怒火中烧，本面上笑意凛冽无比心寒，他望着[青女]冷冷开口说道
1:14:30|1:14:39|[无鸾]闻皇后所言脱口而出，丝毫不隐是其中埋怨[青女]贵服于地上仍做失礼之状，更是不解皇后何故如此愤怒。
1:14:39|1:14:51|此间是告一段落，皇帝金口玉言，质子[无鸾]便同羽林卫一道赶赴契丹，[无鸾]深知新帝此番安排作何用途，不过他已是全然不顾。
1:14:51|1:15:9|蒙城之中布满阴沉与优惠，置身于此只能徒增伤痛，不若一走两只反倒清静，只不过苦了[青女]尚未出阁之际，于帝后群臣之前袒露心意，却又因新帝之顾忌皇后之度恨而不得所愿，遭受鞭挞。
1:15:9|1:15:32|此时正伏于踏上苦不堪言看着女儿背上血淋淋的伤疤，[殷太常]江创伤药抹匀在手上说道
1:15:41|1:15:50|正当此时却听有内侍高声呼喊，[殷太常]顿时慌了手脚，连忙人去墓中老泪往太常府外恭迎皇后移驾，
1:15:52|1:16:15|接引众人步入府中皇后领内侍宫娥，快步行至太常府，内禁止走到[青女]所在，伸手掠过其背上窗口，毫无怜惜之意见，[青女]忍着不出声，皇后便开口问道
1:16:38|1:16:59|见[青女]不与他回话，于是皇后抵着[青女]的脸将他面朝自己贴靠上去，满面寒冰又微笑着问道
1:17:34|1:17:51|说罢便宁笑着转身离去见太常跪了下来，皇后的脸上隐秘地闪过一丝愉悦。
1:17:52|1:18:0|画面来到茫茫雪原之上，[无鸾]开口询问同行的羽林卫
1:18:23|1:18:40|与林卫说罢便继续勒马前行，太子勿自感慨之际，却见身边羽林卫做如此状，毫无敬意可言，于是面露不快，可如今新帝当道，不比从前无可奈何之下，只得随众人继续往契丹地界前行。
1:18:40|1:18:44|待到行至雪球之上，众人稍事歇息。
1:18:44|1:18:59|[无鸾]放眼望去，恰巧见到异形打扮与己方极其相似的队伍，正于雪路中前行，[无鸾]不解，遂转身向羽林卫中领头者问道
1:19:15|1:19:23|闻太子所言，羽、林卫等从怀中抽出长剑扔下手中所持，太子旌旗，目光阴冷开口说道，
1:19:33|1:20:0|正当羽林卫言语之际，[无鸾]偷偷从马安下扯出短剑准备殊死一搏，领头者似是有所察觉，遂立即挥舞长刀往[无鸾]身上去，正当此时只听地下传来一声咽喉，接着血沫飞溅，竟有一人从后雪中腾空跃起，长持成刀力劈在领头之羽林卫胸前，于是血溅当场，尸身冰冷，而邻里暖阳。
1:20:0|1:20:30|突逢此变故，众羽林卫尚不及反应，又见四周雪地中跃出无数白袍兵士，手持劲弩将羽林卫包围，其中树剑齐发，毫无还手之地众羽林卫便被弩箭穿心而过，站毙当场摔落雪地之上，待到众白袍人收件，集结[无鸾]方才睁开双眼，遍见四周尸身横陈众羽灵卫皆身处黑袍，此时坠落雪地当中，又浸染鲜血无比刺目。
1:20:30|1:20:36|又听领头白衣人开口说道
1:20:38|1:20:50|白衣人将脸上面筋掀起，正是当朝太常之子[殷隼]得其父密令，率精兵强将埋伏于幽州与契丹交界所在，从羽林卫手中救下[无鸾]。
1:20:50|1:21:15|众人清理的狮身血迹坐伏于木筏，由骏马牵引奔驰于雪原之上，[无鸾]与[殷隼]同坐一处，却相顾无言，[殷隼]面容无比冷静，始终不苟言笑，[无鸾]心中百般疑惑，却实难发问，犹豫半晌之后，方才艰难开口问道
1:21:25|1:21:31|太子文[殷隼]所言，目视其良久，而心有愧疚，坐伏于穆华之上避开其目光。
1:21:37|1:21:51|[殷隼]简单回应之后，便不再言语，[无鸾]一时沉默下来，一行人拖曳后，雪向着远处山林行径步入深处，[殷隼]前手下兵卒升起篝火，将雨林未知尸身衣物一并焚毁。
1:21:51|1:21:57|眼见火势燎人[无鸾]再度开口问道，
1:23:2|1:23:15|[殷隼]心绪起伏之际，放生质问过后，竟拔剑置于[无鸾]脖颈之上，怒目而视。闻过[殷隼]此番论调，[无鸾]似乎也有所触动，任由他行冒犯之举而不做言语。
1:23:15|1:23:30|镜头一转画面来到都城皇宫之内，[殷太常]携棋子幽州节度使阴隼进攻述职，见兄弟将那染血之伶人面具置于手中，反复把玩父子俩皆是无比紧张。
1:23:31|1:23:41|不知过了多久，方才听新帝开口说道，按着这面具
1:23:54|1:24:0|你们恐怕就是对另一个人说的
1:25:8|1:25:14|闻内侍所言，新帝深吸一口气，目视虚空，良久之后，继而感慨道
1:25:38|1:25:44|画面一转来到太常府中，因太常祭奠过先祖之后，转身一边走向[殷隼]，一边说道，
1:26:24|1:26:41|所向之处正是[青女]闺房所在，[殷隼]行于其上，隐约听闻[青女]吟唱，故而停下脚步，[青女]有感转身嬉笑道，将伶人面具置于眼前，[青女]似是不相信[无鸾]已死，缓缓说道。
1:26:55|1:27:2|见小妹轻拂手中，面具沉浸于梦境当中，自说自话。
1:27:3|1:27:36|见小妹日渐消瘦的背影良久心疼不已，于是缓缓贴靠上去，立于小妹身后，将其环抱入怀开解道听闻小妹说的决绝，[殷隼]无比痛心，思虑激荡间又紧了紧闭弯，而后倾诉道，
1:27:42|1:27:56|又听闻他在自己耳边如此说道，[青女]婉转着，双眼灵动轻寒，下巴巧笑，茜茜经此一笑，似乎它粉嫩的双颊连同而上的坠势都隐隐闪烁着光彩。
1:27:56|1:28:9|再看他束手芊芊将那副灵人面具按在胸前摸索爱抚着上面的纹路，就好似那日云雨过后将[无鸾]揽在怀中一般，感受着如今仅剩的温存。
1:28:9|1:28:23|与此同时，[青女]正牵挂的那人身骑白马辗转于雪原上犹豫再三终是朝着群山勒马疾驰，皇城阴云诡谲，集市却买卖依旧热闹往来。
1:28:23|1:28:32|有一黑袍人穿梭于其中，往城墙下阴暗小楼中去，清风徐来便见那面纱之下正是当朝皇后。
1:28:32|1:28:55|楼内[婉后]把玩手中的荧屏，继而开口问道，[婉后]听罢猛地转头看向那人，继而说道，听闻那制药师所说，
1:28:57|1:29:14|面纱下[婉后]那张俏脸显得愈发阴冷，他从怀中取出一纸包，而后行至制药师身旁蹲下，轻缓温柔地托起制药师的手，将那纸包递了过去，一双目光无辜的看着他，继而说道，
1:29:27|1:29:31|却丝毫不吝啬其言语中涓涓涌动的森坎。
1:29:31|1:29:45|说罢御旨匆匆加纳裹了砒霜的纸包摁进了药师的手，心里[婉后]身边有随从护卫无数药师形单已知下场务虚多言，处理过此事，[婉后]并未离去，
1:29:45|1:29:53|只是静坐于小楼之中。四是有所等候，果然稍事片刻后，有一人行于道上往小楼中来，
1:29:53|1:30:4|敬而观之，正是幽州节度使阴损，只见其迈，步行至[婉后]深浅，继而贵服于地向[婉后]复命，见其如此，[婉后]便知[无鸾]无恙。
1:30:4|1:30:13|罪孝儿离去，归于寝宫，又见其少桌衣装，裸露乡间玉玺，仓皇于殿上。四是有所筹谋，
1:30:13|1:30:39|听得内饰如此呼唤，[婉后]急忙从唐氏归于倾塌，趴伏床上做鬓礁无立之状，店中侍女亦是贵服于地恭迎圣上驾龄须鱼之客，便借新帝举马求杆自台阶漫步而上，撇下身后跟随之内饰，新帝误自往[婉后]重塌所在刑去，又以球杆拨开杀杖，
1:30:39|1:30:51|只见其中[婉后]气息虚浮，长发其腰散漫在其玉玺之上，勾勒曼妙身姿，新帝不知其何故如此，遂开口问道
1:31:18|1:31:39|听闻[婉后]说如此，又见其蜿蜒于轻纱慢胀之下，少着衣物，新帝虽挥手并退了内侍行至[婉后]床榻上，坐下继而说道，顺应新帝之意，[婉后]送郊区汝怀，一面凝脂，玉脊上牵挂肚兜，所系红线，相互映衬，更显娇嫩。
1:31:39|1:31:48|经腹新帝臂弯，[婉后]开口道
1:32:28|1:32:46|不着意闻心递言，有热泪徜徉于[婉后]粉颊之上，便听其说道感受新帝手掌温润，游走于背稍作停顿，[婉后]继而说道
1:33:2|1:33:8|新帝闻言低头看向怀中可人，[婉后]又从其臂弯中抽离，四目相投许久方才说到
1:33:28|1:33:42|听闻新帝方才所说，[婉后]似是有所触动，而今哺育明耶墓中有泪水盈盈，继而奔赴于新帝怀中，一双玉璧交织在其脑后，待没局促而涕泪徜徉。
1:33:42|1:33:51|在成为皇后之前，她不过也只是个情窦初开渴望爱情的孩子，先帝将她禁锢，却未予他爱意。
1:33:51|1:34:17|[无鸾]与他青梅竹马，却从不曾为他迈出过哪怕一步，唯有眼前这人毒杀先皇，甚至不惜屠戮群臣，也要将自己纳入皇后，或许正与此刻[婉后]隐约感受到新帝对他浓厚的爱意，于是也就任由他在身上做这最后一次的放肆了。他说什么听[殷隼]所言，[殷太常]穿衣镜继续问道。
1:34:17|1:34:35|[婉后]说其实从太子被逼当人质的那一刻起，他就已经下了决心，皇上猜忌多遍，就算眼前他集三千宠爱于一身，
1:34:59|1:35:6|他便当众宣布皇上师兄篡位的罪恶。他这样是替天行道，为先帝
1:35:14|1:35:17|再度确认了[殷隼]之言太常目中震惊仍是不减。
1:35:17|1:35:26|不过惊讶之余，他已然行至新帝所赐雪豹屏风之前倚靠其上感慨道
1:35:50|1:36:10|说罢[殷太常]思绪万千，墓中谋略深远，游走于堂室之内扮上，继而说道
1:36:25|1:36:59|迎上儿子惊讶的目光[殷太常]问道，怕了父子二人四目相对，目光之中神采愈发坚韧，[殷隼]会议紧握其副首长相互扶持，断然开口道[殷隼]说罢，便与其父行于府邸暗阁之中，[殷隼]手持匕首坐于榻上，又见其父，从隐秘处取一黑匣置于矮桌上，匣中有液体乌黑，宛如水墨，
1:36:59|1:37:14|待其父首肯，[殷隼]便将匕首锋刃置于其中，浸润煞时，便见乌烟四起，方知匣中乌液蕴含剧毒，两父子为保计划，万无一失，决意暗藏萃毒匕首赴宴以备不患。
1:37:14|1:37:33|与此同时，皇后亦作筹备，与请殿梳妆台前身着倩素红凤袍宛若痊愈之火，将其包裹撩拙，再无从前稚嫩模样，端坐于铜镜之前，撩拨纯纸，使得红妆如下，其浓妆艳抹，更甚于册封那日。
1:37:33|1:37:52|而今皇后墓室镜中人王二一笑已再无从前温婉直觉阴冷森寒，半晌后又见其以长针探入荧屏，取其中剧毒粉末，小心置于指甲内侧，待到筹备完毕，又目视镜中人良久，而后厉声开口道，
1:38:39|1:38:50|新帝金口玉言，说如此后便有内侍，将其所言记录在仇卷之上，旨意既定新帝了，却心头大事，笑意盎然，却不知正于此时。
1:38:50|1:39:7|[无鸾]就牵引白马于山野之中，遥遥望着眼前的皇都，各方势力暗潮涌动之际，夜宴即食，内侍宫娥穿梭于朝殿之上，置办佳肴美酒，掌持主举明灯，文武百官亦是渐次入宴。
1:39:7|1:39:13|另有宫中御林军督察来者，除去其身上兵刃，用以保全圣上。
1:39:13|1:39:39|[殷隼]身为武官变着黄金甲咒敷衍[殷隼]将军宫，中内侍将身份玉牌递给[殷隼]，[殷将军]收下一排，将腰间配件交于内饰保管后，[殷隼]方才被准许进入朝殿当中夜宴，即使百官往来皆身着华服往朝殿中行去，待百官入宴之后，便见朝殿四周往来，甬道中
1:39:39|1:40:6|皆有禁军暗中把守，新帝又要在夜宴时间[殷太常]一脉从朝臣中剔除，为保万无一失，故此特意安排朝殿中灯烛明媚一改往日阴沉模样，百官随即入座分裂朝廷左右，于是宫中乐师舞姬缓步往殿内行去，行舞慢慢贯穿朝堂内外，足见夜宴声势之浩大，待到乐师舞姬各司其职。
1:40:6|1:40:22|堂前百官俯首向新帝行礼，见百官皆治霎时琴瑟蹭，蹭钟鼓如潮夜宴，便于此时正式开始。
1:40:22|1:40:35|新帝与皇后坐于殿上，有宫娥长吃金丝孔雀羽罗伞置于[厉帝]后之辈，以示庄严罗伞之后更有金碧屏风一座雕刻龙凤祥云缭绕。
1:40:35|1:40:43|正是那日新帝应承皇后之龙凤呈祥屏风，由此可见新帝挚爱皇后无疑。
1:40:43|1:40:52|可探先帝在时，以雪山玄豹玉屏风置于此处，用以告诫起身需司机隐忍以图天下。
1:40:52|1:41:18|如今江山易守先皇后又与其弟苟合，自比龙凤，此时与此金碧屏风之下推杯换盏，好不快活，不知先帝有灵，该作何感想，百官群臣见[厉帝]后如斯，亦是宽衣解带，喜笑颜开，或绸光交错，畅所欲言，或清新歌舞，沉浸取悦朝堂之上，一副君臣一体其乐融融之状，
1:41:18|1:41:45|却不知此浮华盛世之下，早已暗潮涌动微情蛰伏，满朝文武中唯有[殷太常]，与其子[殷隼]不练歌舞，少酌美酒，小心翼翼的观察着殿上帝后之动向，正与此刻殿中舞姬汇聚一处些身着轻纱体态盈盈起舞于帝后百官之前，煞时便将众人之目光吸引过去，见殿内群臣引入佳境。
1:41:45|1:41:53|皇后萃取金尊入怀，将纸加上剧毒粉末，抖落其内，又假意与身侧新帝谈笑，使其放松警惕。
1:41:53|1:42:7|殿下太常，[殷隼]目光如炬，察觉皇后此举有意，便支那金尊中已然藏有剧毒，不由的神色意境，却也不动声色，静观其变，皇后继而禀金尊其身，
1:42:15|1:42:32|听闻皇后说如此，那世间便行于大殿之中招手并退了殿中乐师舞姬，又听皇后说到于是内侍兼取酒壶，往皇后手中金尊祝酒，待其砧板，皇后朗生开口道，
1:42:53|1:43:1|皇后继而禀金尊于新帝之前跪拜被新帝扶稳站起，皇后又与其耳畔思魔道
1:43:6|1:43:22|恕此一击，新帝喜笑颜开，满面心驰神往之色。从[婉后]手中接过金尊捧杯于身前，朗生开口道
1:43:28|1:43:34|一起举杯满朝，文武策应。一时间上至帝后，下至群臣皆面露喜色，
1:43:34|1:44:2|新帝笑看盛景置久于唇边，正要饮食窃听，店内有一女声传来小女子[青女]为皇上皇后县城歌舞，循声所至，便见[青女]身着白衣引伶人若干于舞台上向帝后行礼，于是新帝暂未饮酒，向[殷太常]所在开口问道，太常卿称赞，
1:44:40|1:44:46|眼见[青女]交融，皇后目中无情，反倒是新帝有所感慨叹道
1:45:12|1:45:31|见新帝果决，皇后不由得面容一致，内侍兼见状遂取新帝手中金尊赐予台上[青女]谢公公[青女]不会喝酒，圣意不可违听，内侍兼说如此，[青女]遂接过金尊开口道
1:45:41|1:46:3|只将其当做对自己此番决断的斥责，于是莞尔一笑轻嘬金樽，那杯子还回那时间，客座之上太常，[殷隼]只得眼睁睁看其饮下毒酒，无可作为[青女]尚不自知，待到内世间离去之后，将太子曾经所用面具敷于脸上，又见帝后二人落座，
1:46:7|1:46:14|然在场众人皆未察觉，[青女]身后有一灵人面具之下目光震荡分外异常，
1:47:32|1:47:37|更不用说此时记以歌舞祭奠先皇遗子，[青女]领佳妓数人游自歌舞于台上。
1:48:26|1:48:52|却目中莹莹遥望电动凌人而无语凝焉，不知是在为[青女]之死而痛心，或是为计划败露而愤懑，在看场中，但见那伶人将[青女]放躺于台上，焦急开口道只见那灵人将面具扯下，正是死而复生的[无鸾]，此番显露真容，新帝直觉难以置信，
1:49:2|1:49:14|见心上人就在自己眼前挣扎着，想要说些什么，却咳出一股鲜血顺着脸颊潺潺流进了耳廓里，半晌才缓过劲来泣然一笑。
1:49:28|1:49:56|听到[无鸾]啜泣着如此说道，[青女]终是满足身上气力散尽，安静的躺在了[无鸾]怀里客座上，[殷隼]一时无可忍受，推开面前珍惜玉盘，被神奔蒙于舞台之上。
1:49:56|1:50:24|跪伏于[青女]尸身之前，[殷隼]似是不敢相信，看着小妹身上流淌的鲜血不敢动作，半晌方才发疯似地推开[无鸾]将[青女]赶进自己的怀里，失声处气，眼见小女毒发身亡，[殷太常]，亦是苦难自溢，仅攥着长福浑身颤抖，观此惨剧，满朝文武便知酒中藏毒，此时既然不敢作声，
1:50:24|1:50:44|朝堂上为新笋，怀抱小妹轻声言语可可西里的有点深的时候，舞台之上[殷隼]已然失心，全然不顾殿上帝后，勿自沉浸于痛失小妹之苦楚当中，新帝于龙椅上，静观殿下态势。
1:50:44|1:50:53|虽说目中萧索，却也有泪水盈盈，他行将就木般缓缓转过身子，望向皇后支架在其身侧。
1:50:53|1:51:9|本该母仪天下的女子，此时却泪染铅华而上坠势，亦随皇后之躯而颤动，只是不知其泪为何人而流新帝，大为震惊，心中已然知晓真相，却仍是缓儿开口发问皇后道。
1:51:14|1:51:26|皇后文言轻起单纯不与新帝对视，执拗着回答道见皇后甚至不愿看自己，一眼新帝缓缓起身，半跪于其面前，颤抖着伸出双手
1:51:26|1:51:35|扶在皇后脸颊上，虽说动作简单，却好似将新帝浑身气力抽走一般。当他强迫着皇后看向自己
1:51:35|1:51:40|两人目光有所交汇的时候，方才颤抖着发问
1:51:48|1:52:8|新帝问地申请皇后却也答得肯定，愣了半晌，新帝方才说道听闻新帝说如此，皇后目视其良久，继而说道，皇后冷冷注视着新帝如此说道。
1:52:8|1:52:17|新帝几近颤抖着起身面上已然有泪水纵横，他背朝群臣朗声开口道
1:52:21|1:53:3|闻言，内侍兼抬头窥看[厉帝]后，二人目不相投，各自饮泪，又见新帝仰望穹顶，岿然叹道台独的女人，正当此事台上[无鸾]，从袖中抖落出越女剑，一柄闻刀锋狰狞[厉帝]高呼道，[无鸾]自然知晓新帝设宴身边，然其付出心切又痛失轻语，此刻已是全然不顾跻身安危，
1:53:11|1:53:39|就见穹顶阴暗处，凌空月下与临卫数人挡下[无鸾]兵刃，将其禁锢于方阵之中，吴峦便先行止步，引戟防御同众与林卫对峙这剩余此刻又听新帝深测内室间高声唤道，御林军护驾，内饰间言出法，随便见自殿下涌入御林军无数，身披骑铠，手持长矛立身于大殿，通往新帝锁在长街之上，
