0:2:20|0:2:26|画面来到夜晚的开封捕房当中，捕快们聚在一起赌钱。
1:10:27|1:10:32|怎料那妖兽虽略受影响，可制住[诸葛清云]的爪牙，却丝毫没有放松。
1:10:32|1:10:36|[铁蜻蜓]救人心切，一个失神，再度被那妖兽掀飞，摔倒在地上。
1:10:52|1:11:11|终于，听着男人口中熟悉的呼唤，妖兽的心神意识不稳，浑身的妖力竟在一瞬间消散了去，连同自己巨大的躯体都化作了灰飞，其中包裹着的[小圆]，一如那日地牢的模样，赤身裸体，失去意识，软软地靠在了[诸葛青云]的怀中。
1:11:12|1:11:21|另一边，[刀宜长]爬到[铁蜻蜓]身边关心着，可[铁蜻蜓]的目光一直落在照顾[小圆]的[诸葛清云]身上。
1:11:26|1:11:31|看到[诸葛清云]望向自己，[刀宜长]急忙将搭在[铁蜻蜓]肩上的手撤了下来。
1:11:33|1:11:42|看到[小圆]清醒过来，[诸葛清云]正要说些什么，却见[铁蜻蜓]向自己走来，便没有开口，只是看向他。
1:11:48|1:11:51|招呼了一句，众人便准备离去。
1:11:51|1:11:58|见他没有为难[小圆]，[诸葛青云]终于一口气回进干库的肺液当中，止不住地咳嗽起来。
1:11:58|1:12:6|语录无话，众人连夜赶到了洛阳城中，此处人声鼎沸，行人摩肩接踵，一副盛世模样。
1:13:0|1:13:4|穿过闹市人群，众人来到一所客栈暂时歇脚。
1:14:1|1:14:9|或许是出于内疚，[诸葛青云]这几句话说得格外诚恳，[刀宜长]也听得心绪起伏。
1:14:9|1:14:16|自打成为捕快以来，[刀宜长]第一次感受到了被关照的感觉，整理过心情，他沉沉地回复道。
1:14:18|1:14:27|听到他的回应，[诸葛青云]也不多待，转身向楼下走去，到一场目送他离开之后，甩了甩发懵的脑袋，往客房里走去。
1:14:27|1:14:36|可就在这时，自己断织处的伤口，再一次剧烈地疼痛起来，而屋内，在床边坐着的[小圆]，此时也默默地开口说道。
1:15:33|1:15:45|二楼客房内，[小圆]轻轻将手掌放在了[刀宜长]断肢所在的肩膀上，继而试探着稍稍引导神通向伤口涌去。
1:15:45|1:15:51|见到[刀宜长]反应巨大，伤口处又涌现鲜血，腹肉退缩，心肉生长。
1:15:51|1:15:59|于是，[小圆]不再犹豫，双手紧紧抓住[刀宜长]的肩膀，随后便将体内汹涌的神通一股脑地灌注进了伤口所在。
1:16:0|1:16:9|伴随着[道一长]难以控制的喊叫，只见那断肢伤口处有白骨血肉交织，竟又完好无缺地再度生长了出来。
1:16:9|1:16:14|而与此同时，[小圆]本就苍白的面孔，已然变得毫无血色。
1:16:28|1:16:34|还不等到问清楚，他就感受到了自己左腿伤口里那股钻心的疼痛。
1:16:34|1:16:46|在他怀中的[小圆]，强迫的神通涌动之下，鲜血竟从天灵盖里涌溢出来。
1:16:46|1:16:53|当那种痛苦消散的时候，左腿便生长了出来。
1:17:7|1:17:25|看到消耗过度的[小圆]几乎昏厥在床上，[刀宜长]起身向洗漱的铜盆走去，只是断肢重生的他还不慎习惯新的肢体，踉跄着取了毛巾，用清水净湿，随后便回到了床边，擦拭着[小圆]脸上的血痕，[刀宜长]开口。
1:19:18|1:19:24|就在二人暗自神伤之际，老鬼却发现餐盘中有[老大]的暗号。
1:19:24|1:19:28|此言一听，众人立马精神一振，向餐盘中看去。
1:19:30|1:19:38|终于发现了[老大]的行踪，众人即刻起身，在周围喧闹的人群中寻找着。
1:19:38|1:19:43|与此同时，[小圆]和[铁蜻蜓]都感受到了不同寻常的气息。
1:19:43|1:19:50|说吧。[铁蜻蜓]便领着师弟们在客栈周围警戒起来，[诸葛青云]则向着[小圆]居住的客房走去。
1:19:50|1:19:56|就在这时，两枚金铜打造的飞环突然出现，正是[唐门唐坤]的独门暗器——无顶飞环。
1:19:58|1:20:3|客栈二楼，[小圆]已然失神，口中不住地念叨着。
1:20:3|1:20:11|再说那无定飞环，眼看要直击之[诸葛清云]密门之时，金刚指抡盾大锤狠狠砸在了那飞环之上。
1:20:11|1:20:20|怎料一击之下，两枚飞环竟放发无数，金刚指手中的大锤直接被飞环击碎，连同自己也遭受重击，口吐鲜血。
1:20:20|1:20:26|一时间，无数飞环在客栈里轮冲直撞，[唐门唐坤]控制无定飞环，肆无忌惮地攻击着每一个人。
1:20:27|1:20:38|见状，[千里眼]和[穿山甲]一脚踹在[唐门唐坤]侧身的脚手架上，希望借此将[唐门唐坤]束缚，纵[顺风耳]也同时发力，各种神通道法朝着[唐门唐坤]飞去。
1:20:38|1:20:44|只是那[唐门唐坤]道法强樊，众人拼死相搏，竟也被他一一破解。
1:20:44|1:20:48|随后更是如碧指使，将物与门一众进驻击退。
1:20:48|1:20:53|见状，[诸葛青云]不敢耽误，飞身往二楼行去，却被[刀宜长]拽了下来。
1:21:0|1:21:5|听闻道一长说的紧急，[诸葛青云]便把[小圆]圈背上，随即准备离去。
1:21:5|1:21:14|与此同时，[铁蜻蜓]融入布匪当中，单刀直入，避开周遭无定飞环，直接进入阵眼，与[唐门唐坤]短兵相接。
1:21:14|1:21:26|怎料着[唐门唐坤]拳脚功夫亦是两得，交手不过数招，便寻得一个破绽，叶障将毒雾打进了[铁蜻蜓]的手臂当中，受此一击，[铁蜻蜓]坠落客栈当中，无力再战。
1:21:56|1:22:5|二人争执的时候，[刀宜长]心急如焚，习惯性地用左脚坐在了地上，哪知这一脚之力竟将自己直接推到了空中。
1:22:5|1:22:19|等落地之时，[刀宜长]竟站在了[诸葛青云]与[铁蜻蜓]身前，而那坚弱金石的无定飞环，与他不过一掌距离，[刀宜长]心中大惊，却也无可奈何，于是便挤着眼睛，举起双手挡在脸前。
1:22:19|1:22:23|怎料，想象中的重击迟迟没有出现。
1:22:23|1:22:28|睁开眼才发现，那些无定飞环居然受自己使唤，停在了三人面前。
1:22:28|1:22:34|道一长试探着摆了摆手，飞环竟直接将[唐坤]击飞砸进了街市的店铺当中。
1:22:37|1:22:43|说吧，众人也顾不上追究原因，便准备撤退。
1:22:43|1:22:44|[诸葛青云]不再多说。
1:22:44|1:22:53|背起[小圆]，立刻朝外走去，翻过客栈围墙，[铁蜻蜓]四周望了望，却不见[刀宜长]的身影，于是转身对[诸葛青云]说道。
1:22:56|1:23:2|二人随即望着客栈的方向许久，[铁蜻蜓]犹豫半场，开口道。
1:23:2|1:23:13|与此同时，[道一长]正在和[唐坤]对峙，看着[唐坤]一步一步逼近，[刀宜长]只能强撑着防守。
1:23:13|1:23:21|可就在这时，自己刚刚生长出的左腿，好像是有无意识一般，不听从使唤，有意无意地踩在一根竹棍上。
1:23:21|1:23:24|受他一踢之力，那竹棍竟直接砸在了[唐坤]的脸上。
1:23:24|1:23:32|紧接着，[刀宜长]双手一拍地面，又飞到了空中，居然用脑袋来立一记重击，将[唐坤]击倒跪在了地上。
1:23:34|1:23:42|另一边，[铁蜻蜓]和[诸葛青云]刚出巷口，就看见不远处一架马车飞速驶来，稳稳停在二人面前。
1:23:59|1:24:16|带着三人进入马车，[神算子]便扬鞭启程，而[刀宜长]仍然在与[唐门唐坤]周旋，只见[刀宜长]无所畏惧，直朝[唐门唐坤]逼去，不知为何身为掌门的[唐门唐坤]此时竟难敌眼前的年轻人。
1:24:16|1:24:24|[刀宜长]伸手制住了[唐门唐坤]，将其凌空举起，难以动弹，就在这时，[烈火祖师]突然赶到，不由分说。
1:24:24|1:24:31|一通[烈火祖师]，赤焰眨眼间就将[唐门唐坤]焚烧殆尽，而[刀宜长]却毫发未损。
1:24:40|1:24:42|见[烈火祖师]也不多说。
1:24:42|1:24:48|涌动神通将[烈火祖师]的威力提升至最高，随即向着[刀宜长]奔去。
1:24:48|1:24:55|[刀宜长]此时逐渐适应了自己的新力量，也不畏惧地身向前，迎上了那记[烈火祖师]。
1:24:55|1:25:5|二人接触的瞬间，那[烈火祖师]上的赤焰在[刀宜长]身上居然不得寸进，反倒是[烈火祖师]深受其害，浑身被赤焰包裹，痛不欲生。
1:25:5|1:25:14|[刀宜长]见状，一掌将其从空中击落，坠入地下，随后不过瞬息功夫，那赤焰就将[烈火祖师]焚化做一捧鸡粉。
1:25:14|1:25:19|另一边，[神算子]带着[铁蜻蜓]三人来到洛阳城郊的树林当中。
1:25:19|1:25:28|电影的第五回《物影门灭门》正式开始。
1:25:28|1:25:35|几人行至偏僻角落，只见[神算子]摇身一变，竟是《物影门》的[老大]，[铁蜻蜓]惊喜地叫出声来。
1:25:55|1:26:1|所以现在，[老大]一边看着不远处被众人安置在树下的[小圆]圈，一边开口道。
1:26:1|1:26:20|正当他想要继续说下去的时候，[铁蜻蜓]像是想到了什么，突然示意[老大]尽声，随后以手语冲着[老大]比划了许久，盯着[铁蜻蜓]变幻无常的手掌看了半场，[老大]似乎是明白了他此举的意义，随即从怀中取出一段布匹，在上面写道。
1:26:21|1:26:31|看到布匹上的文字，又看到[老大]如此笃定[小圆]圈的身份，[诸葛青云]一阵恍惚，盯着[小圆]圈思虑了半晌，方才开口说道。
1:26:39|1:27:1|这不关信不信，我太了解你了，拦住要去结果了[小圆]圈的[诸葛青云]，[铁蜻蜓]自己走上前去，因为帮助[刀宜长]重新获得肢体的缘故，此时的[小圆]圈已然是筋疲力竭，躺靠在树上完全动弹不得，只得看着[铁蜻蜓]冷着脸色。
1:27:1|1:27:4|一步步朝自己逼近。
1:27:4|1:27:7|走到[小圆]圈面前蹲下，[铁蜻蜓]开口说道。
1:27:41|1:27:54|说完这些话，[小圆]圈托起[铁蜻蜓]中毒的左臂，用为数不多的神通，替[铁蜻蜓]将那些毒物逼出体外，似乎也有所感动，[铁蜻蜓]哽咽道。
1:27:54|1:27:59|另一边，[诸葛青云]死死地盯着身边的[老大]，回想着方才[铁蜻蜓]离去的一幕。
1:28:1|1:28:21|方才阻拦自己去了结[小圆]圈时，[铁蜻蜓]用手语在自己腹部比划着表示，身旁的[老大]看不懂《物影门》的暗语，[诸葛青云]随即高呼一声，见身份暴露，那人不再隐藏，立刻运气用神通将[诸葛青云]从身边逼退，见状，[铁蜻蜓]开口道。
1:28:27|1:28:32|如今的[小圆]圈虚弱至极，生如蚊蝇，根本无法阻拦[铁蜻蜓]。
1:28:32|1:28:37|只见半空中，[铁蜻蜓]制出飞刀竖饼，朝假[老大]逼去。
1:28:37|1:28:42|而那人不慌不忙，一甩袖袍，就将[铁蜻蜓]的攻势完全扭转。
1:28:42|1:28:51|那几柄飞刀反倒朝着[铁蜻蜓]飞去，见[诸葛青云]心急如焚，飞身挡在[铁蜻蜓]之前，用手中的竹杖一一将那些飞刀击溃。
1:28:52|1:28:57|随即施展神通，幻化出浓烟滚滚将自己于[铁蜻蜓]包围，伺机逃离。
1:28:57|1:29:6|贾[老大]见二人不知所踪，也不在意，反倒飞驰着朝[小圆]圈奔去，气势之强盛，令周遭连夜凋零，地脉震荡。
1:29:6|1:29:15|眼看那人就要一头撞在[小圆]圈身上的时候，一道身影突然从地铁窜出，将[小圆]圈背着逃离了贾[老大]的攻击范围。
1:29:15|1:29:23|等突然出现，就下[小圆]圈那人站定，转过身后，众人才看清，此人居然又是一副误以门[老大]的长相。
1:29:28|1:29:36|说吧，二人的目光便聚集到新出现的[老大]身上，只见那人以手语暗中比划，示意二人保全[小圆]圈，撤离此地。
1:29:40|1:29:51|验证了[老大]的身份，二人立即带着[小圆]圈离开，而那假[老大]也在此时冲着几人逼近过来，同时现出了真身，正是武大派掌门之一的不老阎王。
1:30:2|1:30:18|只见那不老阎王摇身一变，化作一团浓郁的黑雾，其中纠缠着无数行将就木的手臂，卷动周遭的枯叶尘埃，朝着[老大]逼去，反观这边，[老大]也不犯触，并只做应绝，召唤出无数神兵历任与之周旋。
1:30:18|1:30:31|可就在此时，附近的河流中，突然冲天而起数条水龙，电光火石之间，[老大]连同不老阎王都被那水龙贯穿了胸膛，[老大]趴伏在地上，体内神通纹乱，一口鲜血涌了出来。
1:30:55|1:31:7|巴碧云招手，再度换出数条水龙，分别将不老阎王，[老大]，连同[诸葛青云]和[铁蜻蜓]牢牢困住，继而涌动神通，眼看就要将这几人压迫至死。
1:31:7|1:31:15|最终活不长久，不老阎王用尽全力开口骂道。
1:31:15|1:31:19|说吧，便被那巴碧云用神通捏死，浑身经脉寸断。
1:31:19|1:31:22|见如此，[诸葛青云]对[铁蜻蜓]说道。
1:31:30|1:31:38|在水龙的威压之下，[铁蜻蜓]嘴角溢出一缕鲜血，还转头望向身后，只见[老大]早已没了动静，于是悲凉地开口道。
1:31:59|1:32:2|临死之前[诸葛清云]如此说道。
1:32:2|1:32:4|随后便和[铁青云]双双与日。
1:32:18|1:32:25|看到这些时日与自己朝夕相处的朋友们死在眼前，[小圆]心中的仇恨已经攀升到了极点。
1:32:25|1:32:35|愤恨之下，也不知哪来的力气，他仰天长笑起来，连带着蕴藏在灵魂最深处的神通，一并扩散到整片树林当中。
1:32:35|1:32:44|[诸葛青云]生前使用的那支竹杖受其感召，竟微微颤动起来，漂浮在了心中，随后一个冲刺戳穿了芭比园的胸膛。
1:32:44|1:32:50|这一秒钟的失神，足以让[小圆]的神通接管了芭比园控制的水龙。
1:32:50|1:32:56|也就是这转眼的功夫，[小圆]控制着那几条水龙，穿透了芭比园的胸膛。
1:32:56|1:32:59|这片树林终于恢复了往日的宁静。
1:32:59|1:33:8|时间缓缓流逝，几乎失去意识的[诸葛青云]隐隐约约地察觉到，自己的生命力正在一丝一缕地回到了身体里面。
1:33:8|1:33:14|等到他完全清醒之后，发现自己居然毫发未损，来不及思考这是怎么回事。
1:33:19|1:33:24|试探之后竟发现，[铁蜻蜓]居然已活了过来，[诸葛青云]连忙跑向[小圆]。
1:33:34|1:33:41|[诸葛青云]几乎不敢相信，眼前这个发丝枯乱，皮肉毫无血色的姑娘就是[小圆]。
1:33:41|1:33:47|将她抱在怀里，[诸葛青云]忽然看到了一幅前任掌门留下的画面。
1:34:3|1:34:4|但其后。
1:34:41|1:34:51|从那记忆里跳脱出来再度看到怀中的[小圆]那如同焦炭一般干枯的身躯，[诸葛青云]忍不住地呼唤着。
1:35:19|1:35:26|[小圆]甚至来不及再拥抱一次自己心爱的男人，浑身的气力便抽丝剥茧地消散了。
1:35:38|1:35:56|大概是听到了[诸葛青云]无比痛心的哭泣声，[铁蜻蜓]和[老大]晕晕沉沉地醒了过来，看了看[小圆]的状况，感受着身体里澎湃的神通，二人便知道是[小圆]牺牲自己，拯救了众人，一时间也都无言沉默了。
1:35:56|1:36:7|不知过了多久，在[老大]的召集下，众师兄弟汇聚到树林当中，萧瑟的冷风卷动着众人的心绪，简单将[小圆]掩埋后，[铁蜻蜓]开口问道。
1:36:29|1:36:33|亲手将石碑立在坟墓上之后，[老大]缓缓开口说道。
1:36:46|1:36:56|说着，[诸葛青云]转头看向站在角落的[刀宜长]，[老大]像是早有打算，涌动神通汇聚在手掌之上，随即向[刀宜长]冲去。
1:36:56|1:37:1|不知此举是何缘由，[刀宜长]伸出手臂，与[老大]对上一掌。
1:37:1|1:37:8|那只二人的神通似乎不相上下，两掌相冲之后，同派的神通竟将其余人逼退了好几步。
1:37:8|1:37:10|但听[老大]开口说道。
1:37:29|1:37:42|只见众师兄弟接连行至[刀宜长]身前，每人一脚踢在[刀宜长]身体各个要害所在，既知是入门仪式，也早有准备，于是[刀宜长]便默默地承受了。
1:37:42|1:37:48|众师兄弟离去之后，二师兄[诸葛青云]走上前去，他先是拍了拍[刀宜长]的肩膀，继而说道。
1:37:50|1:37:55|随后，一记高鞭腿，就要直击[刀宜长]的面门，却在紧要关头止住了力道。
1:37:55|1:37:58|[刀宜长]咧嘴一笑，感激道。
1:37:58|1:38:10|最后一关，便是大师姐，[铁蜻蜓]的一角，似乎是因为其余师兄弟都讲下流情，[刀宜长]心中不愤，看到来人是[铁蜻蜓]，于是[刀宜长]便高呼。
1:38:13|1:38:21|听到这话，[铁蜻蜓]也不拒绝，向后撤了几步，随即一个助跑，飞身一脚踢在了[刀宜长]的胸口。
1:38:21|1:38:37|受此一击，[刀宜长]七尺男儿居然凌空飞了出去，一直到离开众人视线之时都还尚未落地，惹得众师兄弟们一阵惊呼，[铁蜻蜓]也十分纳闷，自己的功力受到[小圆]的灌注之后，居然强横到了如此地步。
1:38:37|1:38:43|若不是[刀宜长]身体中也存在[小圆]的神通，恐怕这一脚就能让他魂飞魄散。
1:38:44|1:38:56|此间事了，画面来到那两只妖人所在的城郊，电影第六回《盾甲再现》正式开始，只见那赤木和白虎分离两侧，正在商议御神机的归属。
1:38:56|1:39:8|就于此时，天空中突然出现了两块巨石，一块由[老大]亲自控制，另一块则是[铁蜻蜓] [诸葛青云] [刀宜长]一起控制，巨石互相照应，朝着白虎砸去。
1:39:9|1:39:18|感受到凌厉的杀气，[白虎]怒吼地劈碎了[老大]控制的巨石，也就在这一空档，另一块巨石狠狠地砸在了[白虎]身上。
1:39:18|1:39:25|等到[白虎]掀开巨石后，赫然发现，天上居然凌空站立着四个人类，这便是盾甲的力量。
1:39:26|1:39:38|[白虎]怒不可遏地直朝[刀宜长]飞去，却见[刀宜长]此时身边拨动着几乎实质化的神通，凭借此物，居然不到三合功夫，就把[白虎]打落，摘在地上。
1:39:38|1:39:47|赤木见雾影四人焕然一新，如此强悍，便也不敢轻敌，暂且搁置了与[白虎]的私怨，冲身向[铁蜻蜓]飞去。
1:39:47|1:39:54|见这妖人如此迅猛，[铁蜻蜓]先是一惊，随即立刻备战，与赤木在高空中打得有来有回。
1:39:54|1:39:57|赤木大吃一惊，不敢再继续纠缠。
1:39:57|1:40:0|寻得一个破绽，连忙撤退到[白虎]身边。
1:40:0|1:40:6|此时的[白虎]最之难以抵御物影四人的攻击，索性将御神机扔给了赤木。
1:40:6|1:40:10|于是，赤木将御神机和灵珠融为一体，成为最强兵母。
1:40:11|1:40:14|准备尽全力发动一击，歼灭雾影四人。
1:40:14|1:40:28|看着周遭崩坏的大地，以及突如其来甚至可以割裂肌肤的强风，[雾影]四人终于感受到完整预神机的威力，心中都暗自紧了紧，他们不知道己方四人是否能扛下这惊天一击。
1:40:28|1:40:34|看着从预神机中喷射而出，通体血色长满肉刺的小球，[诸葛青云]连忙冲着[铁蜻蜓]大喊道。
1:40:37|1:40:46|此后，根本不顾自己的安危，直接飞身冲到了[铁蜻蜓]的身前，期望能用自己的身体，替[铁蜻蜓]挡下这致命的一击。
1:40:46|1:41:4|也就在这时，时间仿佛停滞了下来，陷入狂暴的赤木，舍己救人的[诸葛青云]，惊慌失措的[铁蜻蜓]，在这一刻，完全停止了行动，而另一边，方才安葬了[小圆]的坟墓周围，忽然引现出澎湃的生机，连带着周遭枯死的花草树木。
1:41:4|1:41:6|都在一瞬间，盎然新生。
1:41:6|1:41:18|片刻之后，一只浑身闪耀着光芒，巨大的孔雀妖兽，也就是[小圆]的本体，从坟墓中冲天而起，笑叫着扇动巨大的翅膀，一瞬间就赶到了战场。
1:41:18|1:41:37|紧接着，以大神通将五隐私人安全传送到了地面上，自己与赤木和白虎缠斗，攻击被化解后，赤木暴翘如雷，直接将满身的肉条祭出，缠绕在[小圆]身上，令其难以动弹，继而手持御神机，准备发射那致命的血色小球，而此时。
1:41:37|1:41:55|白虎也飞入高空，张牙舞爪地朝着[小圆]的背部冲了下来，千钧一发之际，[小圆]再度施展大神通，将时空停滞，随即周深释放出电光无数，解开了赤木对自己的束缚，就在那些血色小球即将接触到自己的瞬间。
1:41:55|1:42:4|[小圆]逃离了这片区域，反倒是从身后冲下来的白虎，与那些小球撞了个正着，浩大的爆炸声顿时响彻了整片空域。
1:42:5|1:42:22|夹杂着血肉在半空中炸开，始作俑者赤木难以置信地愣在了当场，也就是在这愚弄神的功夫，[小圆]抓住随机，将赤木禁锢在立脚之下，赤木哀嚎着被[小圆]带到高空中，用尽全力，也无法动弹的他。
1:42:22|1:42:25|第一次感受到了深入灵魂的恐惧。
1:42:25|1:42:29|他或许从来没想过，死亡会如此近距离地与自己相遇。
1:42:29|1:42:36|只见[小圆]圈调整好角度，稍一用力，直接将赤木扔向了那片漂浮着血色小球的空域。
1:42:36|1:42:41|正是方才，赤木想要歼灭物隐私人，所释放出的致命杀器。
1:42:41|1:42:46|甚至感受不到自己与红色小球接触的瞬间，巨大的爆炸就将赤木掩埋。
1:42:46|1:42:53|天宫中，两团巨大的血色烟雾，是两个天外妖人留在此方世界的最后的印象。
1:42:53|1:43:4|处理完了赤木和白虎，[小圆]从巨大的烟雾中冲生而出，已然恢复了作为人类的模样，看着自己亲手掩埋的[小圆]，如今好端端地站在面前。
1:43:6|1:43:17|大战告停，众人紧紧地相拥在一起，心绪激昂又澎湃着，既庆幸着天下苍生不再遭受劫难，也感慨着同门劫后余生，再度相逢。
1:43:17|1:43:21|画面一转，来到开封城下物影门的秘密基地。
1:43:21|1:43:26|众师兄弟在新掌门[小圆]的带领下，继续背负着维护苍生的使命。
1:43:26|1:43:32|一群人聚拢在议事桌前，商议着那幅神秘的清明上河图。
1:43:39|1:43:55|只见拼贴了两幅画卷之后，其上出现了歪歪扭扭十数个文字。
