0:3:28|0:3:37|[沉香]来到案前登记姓名，主太监站在她身后弹了弹她的耳朵，
1:13:51|1:13:55|太医站在她的身后催促着，表情淡漠，冷血至极。
1:13:55|1:14:2|[沉香]紧闭双眼，脑海里浮现出十三阿哥的笑容，振作了起来。
1:14:5|1:14:13|[琉璃]突然出现在门口，快步走到[沉香]面前，[沉香]疑惑地扭头。
1:14:37|1:14:43|[沉香]看着泪流满面的[琉璃]，回想起两人曾经亲密无间的岁月。
1:14:43|1:14:49|正在动容之时，却听见[琉璃]冷笑一声，脸上的表情也逐渐扭曲。
1:14:50|1:15:6|[沉香]一听急忙低头看去，却发现[琉璃]手握弯刀正要刺向她，谁知她并没有如意料中被捅伤，而是扑腾着浮出水面，水池周围爬满了已经不成人形的实验品，原来一切都是幻觉。
1:15:8|1:15:15|傍晚京城的夜市依旧十分热闹，一个神秘的男子穿梭在熙熙攘攘的人群中。
1:15:15|1:15:20|慌慌张张行色匆忙，一路小跑来到一个小吃摊旁的桌前。
1:15:21|1:15:27|他俯身凑到[胤禟]耳旁，一阵轻语过后，[胤禟]依旧不动声色地喝着汤。
1:15:27|1:15:39|不一会儿[胤禟]便摸索着来到了一个戏院，屋子里挂着诡异的木偶，看起来十分骇人。[胤禟]虽觉古怪，却未曾退却，仔细观察着四周。
1:15:40|1:15:45|突然头顶的帽子被一股无形的力量拽飞出去，[胤禟]大惊。
1:15:46|1:15:52|一位老人抱着一顶白帽子出现在角落，
1:16:20|1:16:36|周围的木偶已经开口说话了，七嘴八舌在屋内回到回荡，[胤禟]无惧色，竟还忍不住开怀大笑起来。深夜，饱受折磨的[沉香]终于脱离了苦海，直奔宗人府。[胤祥]却将自己隐藏在黑暗中。
1:16:48|1:16:55|[沉香]一阵转身欲走，[胤祥]又一把将她拽回。
1:17:11|1:17:19|[沉香]害怕极了，将已经陷入癫狂的[胤祥]一把推开，慌乱地整理自己的衣领。
1:17:19|1:17:26|[沉香]激烈的反抗仿佛给[胤祥]泼了一头冷水，他转身跪倒在地，痛苦地抽泣。
1:17:38|1:17:50|[沉香]回过神来，看到如困兽一般可怜的十三阿哥顿时心如刀绞，她忍不住冲上前去，俯身蹲下，在[胤祥]耳边轻声说道。
1:17:51|1:18:6|[胤祥]红着眼眶正欲抬头，[沉香]湿热的吻便轻轻落在了他的脸颊上，[胤祥]的呼吸一窒，很快反客为主，[沉香]一声惊呼便被[胤祥]压倒在了身下。风雪过后天色渐亮。
1:18:38|1:18:47|见[胤祥]笑得甜蜜，[胤禟]的脸色变了，他长叹了一口气说道。
1:18:49|1:18:54|不久后[沉香]一如往常抱着食盒走进宗人府，脸上的笑容却格外的灿烂。
1:19:33|1:19:38|[胤祥]慢慢摸索着走出门。[沉香]想要解释却无从说起，
1:19:49|1:19:57|[沉香]被这番言语伤到，忍不住甩了[胤祥]一耳光。
1:20:29|1:20:53|[胤祥]绝情冷酷的语气像刀子一样扎进[沉香]的心里，她彻底绝望了，呆滞地点头。右眼滴落一大颗泪珠，[沉香]抬头看了一眼[胤祥]的脸，随即匆忙将眼神挪开，转身逃也似的离开了。[胤祥]呆立在原地。本以为会痛快，却不由得心痛了起来。
1:20:53|1:21:1|黑夜降临，太医急匆匆地从乾清宫出来，却不慎摔倒在地，急忙爬起跑上面前的楼梯。
1:21:4|1:21:8|[胤禟]全副武装穿戴着盔甲，伸手打断太医的话。
1:21:9|1:21:14|他转身冷笑一声，身后的一众将士便心领神会，整装待发。
1:21:15|1:21:20|太医傻眼了，看着大批即将涌入乾清宫门的士兵吓得不敢动弹。
1:21:21|1:21:30|军队浩浩荡荡，在九阿哥的带领下气势汹汹地前行着，对皇位是势在必得。不久宫门顺利被打开，
1:21:32|1:21:36|身后的士兵将宫门锁上，[胤禟]带着一支队伍直奔大殿而去。
1:21:37|1:21:45|此时四阿哥[胤禟]坐在殿内气定神闲地弹着琴，身处险境却镇定自若，缓缓开口。
1:22:22|1:22:34|[胤禟]一听，众人皆停下脚步面面相觑，不敢再上前，殿外的将士们浑然不知里面的情况，转眼便被包围了，惊慌不已。
1:23:51|1:23:58|殿外也是炮火连天，殿内却无人敢动。
1:23:58|1:24:6|[胤禟]气急败坏拔刀向[胤禛]，龙塌上皇上突然坐直了。
1:24:29|1:24:36|皇上像提现木偶般被人操控着，身后有人影晃动，话音未毕又躺倒在床上。
1:25:9|1:25:17|话音刚落，乾清宫的大门缓缓打开，[胤禟]扭头一看才明白大势已去，绝望地闭上了双眼。
1:25:55|1:26:4|喇嘛们吹奏着乐器离开乾清宫，瞬间恢复了寂静。
1:26:5|1:26:11|[胤禛]站在龙塌前灯光下，那张阴沉的脸上写满了不容置疑的威严。
1:26:11|1:26:18|公元1722年，清圣祖康熙皇帝驾崩，命四子[胤禛]继位，年号雍正。
1:26:18|1:26:26|一双苍老的手捧着印玺，在遗诏的末端按下，新皇的登基典礼也随之开始。
1:26:26|1:26:37|随着鸣赞官的口令，[雍正]皇帝身着龙袍走出大殿，群臣开始行三跪九叩之礼。
1:26:58|1:27:7|[雍正]登基伊始便册封十三阿哥为怡亲王。世袭王替，
1:27:7|1:27:25|往日里凄惨冷清的宗人府今日突然门庭若市，站满了侍从，太医正在为床上的[胤祥]扎针，诚惶诚恐，皇上站在一旁冷静地等待。结束后，太医将[胤祥]眼睛上的布条拿下，转身向皇上点点头。
1:27:25|1:27:31|[胤祥]皱了皱眉，躲避着窗外直射进来的阳光，缓缓地睁开双眼。
1:27:32|1:27:40|他踉踉跄跄地站起身来，视线从一团模糊逐渐变得清晰起来，终于看清了眼前的人，[胤祥]惊呼。
1:27:41|1:27:56|皇上欣喜若狂，忍不住大笑，一切尘埃落定，冰冷的冬天也渐渐远去，随之而来的是皇宫里争相开放的春花。
1:27:56|1:28:8|乾清四所的树下，一群宫女正在嬉笑打闹着好不热闹，[沉香]却坐在窗边发呆，[春寿]巴巴地赶来送消息。
1:28:38|1:28:44|[春寿]的话仿佛给[沉香]的伤口上撒了一把盐，[沉香]不愿再听，转身逃离。
1:28:44|1:28:58|她走上一座小桥，却看到身着华服的[胤祥]迎面走了上来，意气风发，一如往常，[沉香]不敢直视他，急忙避开。
1:29:16|1:29:24|皇上俯身勾起[琉璃]的下巴，眼神愈发冰冷。[琉璃]被吓到哆嗦着说道。
1:29:26|1:29:30|皇上忍不住冷笑。
1:29:30|1:29:36|他转身离开，留下[琉璃]一人跪在偏殿，瞪大的双眼中满是恐惧。
1:29:36|1:29:49|[琉璃]自知没了希望便想要逃出宫去，混迹在宫里出宫的队伍中，身后的侍卫却十分警觉。
1:29:59|1:30:7|[胤祥]的神色复杂，禀退了侍卫后，看着跪在地上的[琉璃]。[琉璃]一声不吭，面无惧色。
1:30:25|1:30:32|[胤祥]以为她只是在怄气，低头极力地忍耐着说道，
1:31:6|1:31:14|此刻的[琉璃]什么都不顾了，哪怕是玉石俱焚也不要别人好过。
1:31:14|1:31:21|[胤祥]的手指慢慢松开，尽管已经怒不可遏，却也无可奈何。
1:31:34|1:31:41|[琉璃]的脸上挂着泪，突然扭头看着[胤祥]，换上了一抹妖媚的笑容。
1:32:5|1:32:12|[琉璃]用尽全力将[胤祥]一把推开，得意地大笑着转身跳上了马。
1:32:12|1:32:29|尽管笑容再狠厉，[琉璃]的眼里依旧闪着不甘心的泪花，她策马狂奔，外面的世界近在咫尺。突然城楼上布满了御林军，数箭齐发，顷刻间[琉璃]便被射成了刺猬，眸子里的光芒瞬间消散。
1:32:29|1:32:38|她从马背上掉落重重地砸在了地上，一旁的[胤祥]大惊失色，回头一看皇上站在城楼之上漠视前方。
1:32:38|1:32:50|[胤祥]飞跑上前将浑身是血的[琉璃]从地上扶起，[琉璃]口吐鲜血气息孱弱。
1:32:51|1:32:57|话音刚落，[琉璃]的气力已被抽走，大大的眼睛却依旧圆睁着。
1:32:57|1:33:5|机关算尽，到了最后却尽失人心，甚至赔上了性命，这就是[琉璃]短暂的一生。
1:33:5|1:33:11|夜晚，回廊尽头的角落里火光跳跃。
1:33:26|1:33:32|[沉香]将纸钱放进火盆，[春寿]看着远处的天空突然惊呼。
1:33:34|1:33:40|[沉香]被吓了一跳，慌忙扭头却被夜空中，飘过的一样东西吸引了目光。
1:33:40|1:33:50|两人顾不上烧纸了，一路追随着跑到了墙根底下，抬头望去竟是一盏孔明灯徐徐飞上天际。
1:33:50|1:34:6|御花园内[胤祥]站立在湖边，身旁的几个宫女忙忙碌碌将一盏又一盏的孔明灯放飞上天，每盏灯下都挂着一幅字，一时间满天的灯光点点与水面交相辉映。
1:34:35|1:34:40|[沉香]眼眶却隐含笑意，心中又重新燃起了希望。
1:34:40|1:34:49|她转身跑开，[春寿]却站在原地，神情落寞。[沉香]下定了决心，想要勇敢一回，回到房间开始梳妆打扮。
1:34:58|1:35:9|[沉香]将那单只耳坠放进盒子里，紧张地长舒一口气。她摸了摸头上的发饰容光焕发，
1:35:9|1:35:18|脸上是少女怀春般的羞涩与期许。[春寿]抬手帮他整理着头发，眼底温柔，发自内心地为她高兴。
1:35:18|1:35:25|门外站着四个宫女，手里掌着灯。
1:35:27|1:35:35|[沉香]愣住了，紧张地咽了咽口水，虽然疑惑却不敢多问。她来到乾清宫，忐忑不安地跪地，
1:37:10|1:37:25|皇上转身离去，[沉香]跪在殿内，娇小纤弱的身体微微颤抖着，泪珠无声地砸落在地上。
1:37:48|1:37:59|御花园中[胤祥]双手合十默默祈祷，满心期待着与深爱之人的重逢。
1:38:2|1:38:7|[沉香]的心仿佛被寸寸凌迟，无声的落泪逐渐变为了嚎啕大哭。
1:38:8|1:38:13|她紧紧咬着嘴唇，声泪俱下，眼泪将整张脸颊浸湿。
1:38:13|1:38:24|回想起宗人府的那个夜晚，两个人紧紧依偎着，彼时的温热似乎就在眼前，此刻却随着[沉香]的泪水渐渐变得遥不可及。
1:38:24|1:38:34|漫长的一夜过去了，曙光撒进大殿中，[沉香]的泪已流尽，眼眸里已经没有了任何色彩。
1:38:34|1:38:40|此时的[胤祥]仍保持着双手合十的动作，眼里的希望却渐渐散去。
1:39:33|1:39:42|[沉香]颔首垂眸不再多言，[沉香]将金子分给众人，
1:39:52|1:39:57|姑姑一来大家慌忙散开，[沉香]手中的盘子里转眼只剩下了十几块金锭。
1:40:0|1:40:18|姑姑不愿收[沉香]的金锭，一句话使[沉香]泪眼盈盈笑着点点头。姑姑一如往常的严肃而冷漠，转身离开的一瞬竟也红了眼眶。[沉香]扭头来到[春寿]身旁。
1:40:48|1:40:55|[沉香]为情所困，依然放不下与[胤祥]这段造化弄人的感情。
1:40:56|1:41:2|深夜宗人府里黑暗一片清冷阴森，只有微弱的月光照进院子里。
1:41:2|1:41:8|[沉香]换上平民的衣服，提着一盏昏暗的灯笼悄无声息地走了进来。
1:41:9|1:41:15|她踏进[胤祥]住过的房间打量着，周围的陈设与记忆中的差别无几。
1:41:16|1:41:25|视线所及之处将尘封的记忆一点点打开，那曾经共度的幸福时光如梦般的美好尽显眼前。
1:41:57|1:42:4|在这深宫里一路走来的一桩桩一件件全都涌上心头，令她心痛不已。
1:42:4|1:42:23|这时身后突然传来一个熟悉的声音，[沉香]的身子一震，手中的灯笼差点掉落，转身看向身后，直到看到黑暗中那个若隐若现的人影，[沉香]才意识到这不是幻觉，开口问道。
1:42:46|1:42:52|[胤祥]的深情告白落入[沉香]的耳中，化作一串串泪珠滑落脸旁。
1:42:52|1:42:59|可是她却再次变得胆怯，扔下灯笼便往门外跑去，一心想要逃离。
1:43:0|1:43:6|[胤祥]抢先一步将[沉香]揽入怀中，扯下眼前的布条。
1:43:38|1:43:45|[沉香]尽管诚惶诚恐，却被[胤祥]的温柔蛊惑，情不自禁地低头浅笑，[胤祥]问道。
1:43:48|1:43:59|转眼间两人十指紧扣，绕过拱门，穿过回廊，[胤祥]拉着[沉香]向前奔跑，脸上挂着孩子般的笑容，时不时回头与之深情对望。
1:43:59|1:44:5|[沉香]笑靥如花，眼神落在[胤祥]的身上便不愿再挪开。
1:44:5|1:44:13|不一会儿两人来到了延禧宫的门口，[胤祥]笑着继续说道。
