0:0:22|0:0:25|夜幕降临，整个小镇仿佛陷入沉睡。
0:55:33|0:55:38|在他的正对面，一个男人站在牢房里忍受着鞭子的抽打。
0:55:38|0:55:42|在另一边，[王大猫]坐在贴着喜字的房间前喝酒。
0:55:42|0:55:46|马上要入洞房的他，开心地大笑起来。
0:55:46|0:55:49|宅子里的佣人们都赤着膀子，相对无言。
0:55:49|0:55:54|[春天]在房间里，仿佛赴死一般地弹奏着琵琶。
0:55:54|0:56:1|随着琵琶声闭，另一处的房间里，那名被打的男子抬起头，竟然是所有官兵的领导者[老K]。
0:56:28|0:56:31|[老推]和[顺子]一起对着打枪的把子跪下。
0:56:33|0:56:49|[老K]将酒摔在前方，一口闷的[顺子]转头疑惑地问他，大帅。
0:57:11|0:57:14|佣人们赤着膀子，站在[王大猫]宅院里。
0:57:14|0:57:19|[王大猫]坐在院子正中央，听着[方片]管家抱着大家所送的彩礼。
0:57:19|0:57:24|[刘太太]在屋内，一边将金枪布倒完倒入酒里，一边咒骂着。
0:57:36|0:57:40|[春天]穿着喜服，跪在父亲的琵琶前哭诉着。
0:57:40|0:57:44|门外，[王大猫]还沉浸在新婚的快乐中。
0:58:19|0:58:29|大批官兵涌入[王大猫]宅，副官笑呵呵地带着[顺子]进入，看着院子到处张贴的喜字说道。
0:58:29|0:58:32|[方片]管家赶紧上前，对着副官低头说道。
0:58:36|0:58:38|副官惊讶地看向[顺子]。
0:58:42|0:58:58|副官听了[方片]管家的话，猛地向头转向[王大猫]。
0:58:58|0:59:4|他迈着稳健的步伐，眼神犀利地走到他的面前，然后弯腰盯着他问道。
0:59:17|0:59:30|这番话将[方片]管家吓了一跳，副官看向院子里的众人，他手指着[顺子]，众人望向副官手指的方向不吭声，副官不耐烦地大喊，这就对了。
1:0:0|1:0:4|[王大猫]出言反对，副官立马威胁道。
1:0:5|1:0:8|[王大猫]迫于副官的威严，只好答应。
1:0:13|1:0:18|副官的目光转向桌上的酒杯，他端起酒杯问[王大猫]。
1:0:23|1:0:29|端起酒杯一饮而尽，大太太在一旁看他这么豪爽都呆住了。
1:0:46|1:0:53|[方片]管家带着副官以及两个官兵向后院走去，副官边走边向身旁的手下嘱咐道。
1:1:46|1:1:57|[王大猫]叫住了想去坦白的[顺子]，然后走到他身旁顿了顿，随即又走了两步，向门外瞧了瞧，最终在[顺子]的面前，一脸着急地说道。
1:1:59|1:2:4|紧接着，[王大猫]又对大太太和家里的佣人们说道。
1:2:19|1:2:26|大太太想出言反驳，想了一下，娇羞地扭捏道。
1:2:26|1:2:42|大太太说完话，害羞地摇着扇子扭着腰肢离开了房间，[王大猫]一脸不解地看向她，后院的屋子内，被救的[春天]躺在昏床上，她昏昏沉沉地醒过来，睁眼一看，面前竟是三个穿着军装的人，她吓得惊作起身子。
1:2:58|1:3:4|顺天被官兵压在[王大猫]和[顺子]所在的房间。
1:3:4|1:3:6|听到有人叫自己，他转头看去。
1:3:8|1:3:13|[春天]一把甩开[春天]的手，然后搂住他的肩膀向官兵走去。
1:3:41|1:3:47|[春天]看着眼前的官兵，立马就明白了[顺子]的意思，然后一脸不情愿地搂着他说道。
1:4:12|1:4:15|[春天]靠在盛子的肩膀上与其交谈。
1:4:27|1:4:29|副官在屋外，上了一场战。
1:4:29|1:4:34|他身体发热，摇扇子都不管用，只能用撞墙来缓解。
1:4:34|1:4:37|他突然想到，今天喝的喜酒不对劲。
1:4:44|1:5:1|话音刚落，[大太太]光着胳膊身穿肚兜从她身旁走过，副官的眼睛直勾勾地盯着[大太太]的背影，还偷偷在她身后猥琐了一段，直到自己面色潮红，才停下脚步，意犹未尽地看着她离开的方向，她嘴唇微微颤抖。
1:5:1|1:5:4|拿扇子的手自然下垂。
1:5:4|1:5:17|好巧不巧，地上的影子出现了滑稽的一幕，扇子的影子正好印在她的胯部，而此时的[王大猫]正心情烦躁地盘腿坐在床上，[大太太]扇着扇子走向她，关心道。
1:5:38|1:5:44|进屋的副官看到这一幕，鼻血都流了出来。
1:5:44|1:5:55|画面一转，[顺子]眉头紧锁地坐在主位上，他转头看向坐在旁边流着鼻血的副官，副官接着吸鼻子大喊道。
1:5:55|1:5:58|他坐在椅子上缓缓继续道。
1:6:4|1:6:9|副官掏出一把手枪，将它递给[顺子]，目光犀利地说道。
1:6:11|1:6:21|[顺子]一把拿起桌上的手枪，直指跪在地上的[王大猫]，谁知又突然将枪口对着副官，众人都吓了一大跳。
1:6:29|1:6:30|然后看向[王大猫]。
1:7:1|1:7:6|[王大猫]拉木拉得满头大汗，[方片]管家却在一旁嬉皮笑脸。
1:7:6|1:7:9|终于，他泪瘫在地上睡着了。
1:7:9|1:7:15|就在他进入木箱的时候，有人出声将他叫醒。
1:7:15|1:7:22|他从睡梦中惊醒，抬起头脸色茫然地看向来人，只见那仙仙玉手中拿着一个窝窝头递给他。
1:7:24|1:7:31|[王大猫]看着眼前的窝窝头咽了咽口水，然后双手将它接过，仰起头说道。
1:7:35|1:7:39|[春天]身着富贵，缓缓蹲下身子说道。
1:8:1|1:8:4|[春天]推开[王大猫]的手说。
1:8:38|1:8:53|[王大猫]对着[春天]说着心里话，还承诺一定让他过上好日子，傻兮兮的他还不知道自己已经被套化了，他自以为谁也找不到的全部财产，当天就被得到消息的[顺子]带人给挖了出来。
1:8:53|1:8:59|[顺子]把这些钱财分给长期被[王大猫]压榨的穷苦佣人们，让他们拿钱回去好好过日子。
1:9:0|1:9:17|夜幕降临，[红桃]身着艳丽的衣服，身披鲜艳的袍子，偷偷摸摸地从自己的房间里溜出来，她左顾右盼地观察着周围有没有人，然后静止来到了伙房，她迅速将门打开，然后走了进去，又谨慎地将门关闭。
1:9:18|1:9:29|在确定没有人看到的时候，才转头看向屋里的人，只见[方片]管家赤裸着上身，脖子上挂着个长铃，穿着大裤衩，戴着顶帽子背对着[红桃]。
1:9:29|1:9:35|她头微低，单手扶着帽子，另一只手自然下垂地定格着姿势。
1:9:35|1:9:43|这时，黑胶唱片机播放音乐，她将头上的帽子直接甩飞出去，然后身体开始跟着音乐舞动起来。
1:9:43|1:9:47|[红桃]看着他舞动的背影，身体也跟着扭动起来。
1:9:47|1:9:52|[方片]管家转身看向[红桃]，并向她抛了一个媚眼。
1:9:52|1:10:0|[红桃]一手插腰，另一只手在自己的嘴边轻轻地划过，做出诱惑的姿态，[方片]管家直接兴奋地甩出长铃。
1:10:0|1:10:4|[红桃]也将手中的帽子甩飞，用一只手指勾了勾。
1:10:4|1:10:9|紧接着，二人爬到餐桌上，分别从两侧开始往中间聚拢。
1:10:9|1:10:28|一边爬一边做出姿态来诱惑对方，就在二人马上要贴在一起时，突然一把手枪出现在他们面前，副官头顶着刚才[大太太]甩杯的帽子，一脸震惊地感叹道。
1:11:4|1:11:8|副官当场拿刀削了黄瓜，吓得[方管家]大叫。
1:11:8|1:11:10|隔天，官兵向副官报告。
1:11:23|1:11:27|副官喝了口碗里的酒，然后将碗涮在桌上。
1:11:33|1:11:38|画面一转，[老K]恶狠狠地盯着[顺子]，咬牙切齿道。
1:12:1|1:12:19|[王大猫]和[方管家]面朝天地地交谈着，印堂发黑的[方管家]低头看了看自己的裤裆，嘴一咧就哭出声来。
1:12:19|1:12:24|[王大猫]在地上匍匐着向着[方管家]爬去，两个难生难地商量着造反。
1:12:41|1:12:52|两人就此达成一致，不约而同地看向同一个方向，二人的脸一个干瘦一个圆润，此刻形成仙云的对比，只见他们目光所在处是一把砍柴的弯刀。
1:13:1|1:13:7|[老K]拿着枪指着[顺子]。
1:13:7|1:13:11|此时，拿着弯刀的[王大猫]和[方管家]闯进屋内。
1:13:11|1:13:15|二人见状，直接下跪将弯刀双手奉上。
1:13:58|1:14:9|[老K]凶神恶煞地恐吓着[王大猫]和[顺子]，他在房梁上钓了一颗拳头大小的地雷，又把[顺子]和[王大猫]分别捆绑在地雷两侧的柱子上。
1:14:9|1:14:17|随着地雷引线的点燃，[王大猫]越来越不安，地雷即将要爆炸的一瞬间，他喘着粗气，尖叫着闭上了双眼。
1:14:18|1:14:21|嚎叫了半声，想象中的爆炸却并未出现。
1:14:21|1:14:27|[王大猫]和[顺子]睁开双眼，只见眼前的影线燃尽，地雷却安然无恙。
1:15:10|1:15:16|[方片管家]点头答应，目送着[王大猫]离开，然后眼睛转来转，死死地盯住[顺子]。
1:15:40|1:15:53|[顺子]被[方片管家]绑在院内的梁柱上，大太太[红桃]身穿青花瓷旗袍，身披短款丝织披风，手拿尖刀，目光坚定地缓缓向二人走来，微风吹动了他飘逸的绣发。
1:16:55|1:17:4|怒火中烧的[方片管家]，不顾一切地去争夺大太太手中的尖刀，想要拿它去杀死[顺子]，了结近日来无厘头的仇怨。
1:17:4|1:17:12|而被[顺子]和[春天]真挚爱情感动的大太太也是用尽了全力，想要守护她不曾拥有，所以无比向往的爱情。
1:17:12|1:17:18|二人在院子里互相拉扯着，怎料一个不留神，那尖刀竟然插入了[红桃]的体内.
1:17:18|1:17:28|方管家目光呆滞地看向[红桃]受伤的地方，只见那潺潺流淌的鲜血，连带着大太太[红桃]的生命，一并缓缓地流逝了。
1:17:28|1:17:31|大太太软在方管家的怀里。
1:18:7|1:18:10|[顺子]看着这一幕，皱眉叹了口气。
1:18:25|1:18:29|随着方管家的怒吼，画面来到了王家祖坟。
1:18:31|1:18:35|怎料，其中竟是中毒而死的两个官兵的尸体。
1:19:4|1:19:8|随即，他面色凝重，慢吞吞地向床边走去。
1:19:8|1:19:13|[老K]和他的手下们也都举起枪，警惕地跟在[王大猫]的身后。
1:19:13|1:19:24|走到床边顿了顿，[王大猫]像是下定了决心一般，突然撩开床帘，从床边的暗匣中抽出一把步枪，尖叫着转身瞄准了[老K]。
1:19:24|1:19:28|在场的官兵，被这突如其来的变故惊得不敢作声。
1:19:29|1:19:36|看着眼前满头大汗，止不住喘息的男人，老柯知道孤注一掷的[王大猫]什么事都做得出来。
1:20:40|1:20:46|跟随[顺子]的回忆，画面来到[方片]管家挥刀砍向自己的时候。
1:20:46|1:20:49|一刀挥出，手臂却僵在了半空。
1:20:58|1:21:8|转头看向大门口，只见[王大猫]的其他佣人们赤裸着上身，每个人的手上都拿着衬手的工具，像是铁锹、镰刀、榔头、木棒。
1:21:8|1:21:12|看到这一幕，帮管家手拿短刀向他们走去。
1:21:12|1:21:18|平日里，对他悲风屈膝的佣人们，此时却毫无畏惧地迎上他恶狠狠的目光。
1:21:32|1:21:42|从房间里冲出来，[王大猫]刚走到[顺子]面前就停下了脚步，他向左右两边看了看，竟然都是赤裸上身，手里拿着武器的庸人们。
1:21:43|1:22:1|他们人数众多，气势汹汹地聚集在[顺子]身后，[王大猫]被这阵长吓破了胆，一言不发地向后退展，看着眼前胆怯的[王大猫]，[顺子]怒目横眉，继续朝他逼近，身后的庸人们也跟着他一步一步向前走着，感受着面前气势汹涌。
1:22:1|1:22:8|毫无畏惧的[顺子]和庸人们，[王大猫]颤抖着将步枪高举过头顶，随即跪下屈服。
1:22:8|1:22:10|看到这一幕，屋内的[老K]气愤地喊道。
1:22:12|1:22:24|[老K]一声令下，周围的手下一马举起长枪挡在门前，瞬间在[老K]身前围起一个屏障。
1:22:24|1:22:32|可[顺子]面对如此严肃的阵势，脸上丝毫没有畏惧之色，而是汹涌成竹一般将双手交叉在胸前。
1:22:32|1:22:47|目光如举的盯着[老K]，[老K]虽举着手枪，但也不敢轻举妄动，只能与其对峙着。[春天]在高楼之上，看着眼前的一幕，也弹奏起琵琶来，这音乐让本就紧张的对峙变得更加严峻。
1:22:48|1:22:54|就在这时，堵在门口的佣人们齐刷刷地往两边散去，中间流出一条过道。
1:22:54|1:22:58|[老K]定睛一看，来人竟是赤裸着上半身的[方片管家]。
1:22:58|1:23:7|只见他头戴一顶礼帽，手上赫然拿着一颗脑袋大小的地雷，大摇大摆地朝着[老K]的方向走去。
1:23:7|1:23:9|阳光下，他的身姿显得格外伟岸。
1:23:10|1:23:15|他迎着大家的目光，缓缓地走到[王大猫]的面前后，潇洒地将礼帽丢到一边。
1:23:15|1:23:21|他在[老K]的注视下，将手中的地雷放到跪在地上的[王大猫]的头上。
1:23:21|1:23:25|本就溃败的[王大猫]见此情景更是吓得不敢动弹。
1:23:25|1:23:29|[方片管家]放好地雷后，在一旁不紧不慢地热起了身。
1:23:29|1:23:33|他活动了下手腕，然后弯腰用双手沾了沾地上的土。
1:23:34|1:23:40|接着，他直起身子拍了拍双手，大喊了一声，从[王大猫]的脑袋上竟然拿起了地雷。
1:23:40|1:23:49|就在众目睽睽之下，[方片]管家丝毫不惧瞄准自己的数条长枪，竟像抛千球似的将地雷扔向[老K]的方向。
1:23:50|1:24:2|就在地雷还在空中翻滚之际，[顺子]说时迟那时快，一脚将[王大猫]头上的枪提到空中，紧接着，他在空中翻了几个跟头后，稳稳地接住成枪。
1:24:2|1:24:11|[顺子]如同神枪手一般，竟然在落地的一瞬间，拉栓，瞄准，开火，一气呵成，精准地朝着飞去的地雷开了一枪。
1:24:12|1:24:24|子弹在空中追着地雷，在地雷到达[老K]的面前时，后面的子弹也刚好射中，在[老K]和众多手下的尖叫声中，地雷被引爆了。
1:24:24|1:24:29|随着地雷的爆炸，也宣示了以[春天]为首的百姓们的胜利。
1:24:29|1:24:38|大家历尽千辛万苦，终于打倒列强，脸上也逐渐浮现出得意的表情。
