0:0:44|0:0:47|[戚佳]目光空洞地上了一辆公交车。
1:7:12|1:7:33|[戚佳]和[袁晓鸥]快步走过校园内花草丰长的小丘，[戚佳]把手放进兜里，不时回头确认[袁晓鸥]是不是跟在了身后，[袁晓鸥]傻乎乎地模仿他插兜回头看，两人走到江边的桥上，[戚佳]若无其事地伸展双臂，身后的[袁晓鸥]也跟着照做。
1:7:33|1:7:48|两人的身影消失在桥的对面，静谧的湖面急雨骤降，细密的雨点在整片湖上打出涟漪，桥下立刻变得雾气朦朦，雨势在一声闷雷后变得更加急躁。
1:7:48|1:8:0|江边写生的学生来不及反应就被淋得湿透，他们连忙拿着调色盘拎起画板和支架逃离毫无遮挡的堤坝，而[戚佳]和[袁晓鸥]却在江边大踏步的前进展。
1:8:5|1:8:14|[戚佳]头也不回地穿过马路，[袁晓鸥]亦步亦趋地半举着外套跟着她。
1:8:14|1:8:16|林树儿坐在车里看到了他们。
1:8:22|1:8:27|[戚佳]看到林书儿从车窗看出头，立马飞速跑到车边。
1:8:27|1:8:32|[袁晓鸥]愣神后，举着衣服追了过去，两人先后坐进车后座。
1:8:38|1:8:42|两人互相看了一眼，又收回视线，气氛尴尬。
1:8:42|1:8:46|林书儿立马察觉到不对劲，转头打亮两人的表情。
1:8:56|1:8:58|车内没人接话。
1:9:10|1:9:21|林书儿撑伞推开车门，外面电闪雷鸣大雨流注，积水漫过他的脚踝，他修长了双腿，放到前面的车旁，抬起腿猛踹一脚。
1:9:24|1:9:28|似乎不解恨，他又捕了一脚才继续往前走。
1:9:28|1:9:33|车内，[袁晓鸥]转头看向[戚佳]，对方的目光赶忙避开。
1:9:33|1:9:35|他率先打破僵局，嘱咐道。
1:9:41|1:9:42|[戚佳]点了点头。
1:9:44|1:9:46|他想了想，继续说道。
1:9:53|1:9:54|气氛再次凝固。
1:9:54|1:9:57|[袁晓鸥]吞了下口水，[戚佳]开口道。
1:9:59|1:10:3|[袁晓鸥]睁大了双眼，深吸一口气。
1:10:9|1:10:13|[袁晓鸥]傻笑着，[戚佳]脸上也浮现了微笑。
1:10:14|1:10:20|[戚佳]坚定地看着[袁晓鸥]，[袁晓鸥]的笑容浆在了脸上。
1:10:20|1:10:23|雨水漫进车里，两人的脚不知不觉被积水浸泡着。
1:10:33|1:10:35|林书儿站在积水里打个电话。
1:10:47|1:10:50|雨水拍打着车顶，[戚佳]有点着急。
1:10:50|1:10:53|[袁晓鸥]一拉车门，却发现门被锁死了，她顿感不妙。
1:11:7|1:11:9|车外的水位已经逼向车窗。
1:11:37|1:11:41|林书儿的[前男友]趴在车顶上，竟飘到了林书儿的面前。
1:11:41|1:11:43|车内，[戚佳]在水里铺顶着。
1:12:9|1:12:16|林书儿与[前男友]继续打着电话对骂着，[袁晓鸥]怎么都打不通他的手机。
1:12:16|1:12:18|[袁晓鸥]只好留言给他。
1:12:55|1:12:59|[戚佳]的手在空中胡乱地比划着，双腿蜷缩在胸前。
1:13:1|1:13:4|[戚佳]伸手推开[袁晓鸥]。
1:13:12|1:13:21|[戚佳]的目光一直直视前方，半天听不到回话，他才侧头看向[袁晓鸥]，[袁晓鸥]坐在水里一动不动。
1:13:25|1:13:30|[戚佳]意识到[袁晓鸥]在干什么，扑过去掰开她的嘴，[袁晓鸥]紧闭嘴巴。
1:13:38|1:13:41|[袁晓鸥]终于憋不住，大口喘着气。
1:13:45|1:13:50|[戚佳]退回到车窗旁，靠着车门端坐枕，两人互相对视。
1:13:50|1:13:52|[袁晓鸥]抹了抹脸，凑到[戚佳]跟前。
1:13:54|1:14:0|他捧着[戚佳]的脸，将自己的额头靠在[戚佳]的额头上，虚弱地说出压在心底的话。
1:14:4|1:14:8|冰冷和缺氧让[袁晓鸥]浑身直打颤。
1:14:10|1:14:16|[戚佳]忍不住笑开，主动张开双臂抱住[袁晓鸥]，[袁晓鸥]立刻温柔地搂住他。
1:14:22|1:14:27|林书二后知后觉地发现车子不见了，这才挂了电话打开通讯软件。
1:14:33|1:14:37|凌舒尔猛地转身，艰难地朝车的方向走去。
1:14:37|1:14:42|此时，车内的[戚佳]和[袁晓鸥]勾着脖子紧紧相拥。
1:14:42|1:14:49|几个消防员和[凌舒尔]朝车子围过来，[凌舒尔]干脆扔掉雨伞，跳着扑到车窗前。
1:14:49|1:14:53|消防员大声安慰着他们两个，[戚佳]和[袁晓鸥]终于得救了。
1:14:54|1:15:5|午夜，暴雨已经停歇，弄堂的雨水从高处流淌下来，[戚佳]和[袁晓鸥]并肩走上弄堂的阶梯，一前一后地朝家里走去。
1:15:5|1:15:11|路灯照亮两人的脸庞，[袁晓鸥]垂着眼，却藏不住嘴边的笑意。
1:15:11|1:15:16|[戚佳]披着[袁晓鸥]的外套抱紧了双臂，神奇却有些木然。
1:15:16|1:15:20|很快，两人走到了居民楼下。
1:15:20|1:15:22|[袁晓鸥]看着[戚佳]的背影，柔声叫住她。
1:15:25|1:15:27|[戚佳]，[戚佳]转过身来。
1:15:35|1:15:40|[戚佳]听罢，低头私察了一下，抬头回答道。
1:15:44|1:15:49|[袁晓鸥]待站在原地，久久地看着[戚佳]，眼里诸多不舍。
1:15:49|1:15:54|[戚佳]见他不说话，便伸手拉开居民楼的小铁门，跨步走了进去。
1:15:55|1:16:2|[袁晓鸥]独自在门口站了一会儿，任命般地走进楼里，带上铁门。
1:16:2|1:16:8|窄窄的巷道深处摆着泡沫箱接着雨水，弄堂重归寂静。
1:16:8|1:16:14|第二天，清风浮动的窗帘，[戚佳]在城市的白噪音中自然苏醒。
1:16:14|1:16:18|她坐起身，感觉身体有了难以言喻的变化。
1:16:19|1:16:24|[戚佳]一时愣住，轻轻呼了口气，眼珠灵巧地转动着。
1:16:24|1:16:28|他低头看着自己的小腹，立马喊道。
1:16:28|1:16:33|他没有得到回音。
1:16:33|1:16:39|[戚佳]边喊边起身查看，他冲到[袁晓鸥]的卧室门口，却发现门前的地上躺着一封信。
1:16:41|1:16:46|[戚佳]蹲下身，拿起那封信，信封上一片空白。
1:16:46|1:16:50|[戚佳]站直身子将信拆开，沿着折痕展开信纸。
1:16:50|1:16:55|与此同时，[戚佳]放在床头柜上的手机恰好响了。
1:16:55|1:17:2|屏幕上显示的是一个通讯软件的语音通话邀请，来电的正是[袁晓鸥]。
1:17:2|1:17:8|[戚佳]小心翼翼地按下接听键，[袁晓鸥]的声音传来。
1:17:58|1:18:4|[戚佳]拉开厨房的抽屉，刀具都被[袁晓鸥]裹上了带碎花的包装纸。
1:18:32|1:18:38|[袁晓鸥]临走前，把仙人掌放到了窗台上，落寞地叹了口气。
1:18:38|1:18:47|眼下，[戚佳]来到窗前，仙人掌开出了娇嫩的花，她抬手去摸，却被刺扎破了手指。
1:18:47|1:18:53|她看着指尖渗出的血珠，尽笑逐言开，仿佛这代表了自己的身体重获新生。
1:18:54|1:19:6|街区里，[戚佳]斜穿道路，却没注意到不远处有辆大货车呼响而来，货车在他身后稳稳刹住。
1:19:6|1:19:12|[戚佳]被吓得呆在原地，反应过来后站在路边给车让路，大货车急驰而去。
1:19:13|1:19:18|齐家发现[路顿]面上挂着一个画展的巨幅海报。
1:19:18|1:19:23|他走上前细细查看，海报主体是一幅古树的油画。
1:19:23|1:19:30|下方写着，面朝大海，春暖花开，第十届厦门市中小学生写生作品展。
1:19:30|1:19:35|齐家在展厅里走着，仔细看着墙上展出的画作。
1:19:35|1:19:39|突然，他的眼神变得疑惑，凑近一幅画仔细端向着。
1:19:41|1:19:58|那幅画上画着一对恋人在巨大的古树下亲吻着，他有些惊愕，他走动着继续看下一幅作品，可见下来的每一张画上都画着一个短发女孩和一个男孩在树下接吻，一整条走廊上全部都是这个画面。
1:19:59|1:20:4|[戚佳]看着这些画，不知不觉中泪水冲赢了眼眶。
1:20:4|1:20:9|她静静地矗立在墙角，大颗的泪水奔涌而出。
1:20:9|1:20:16|面前的这幅画上，女孩闭上了双眼，她知道那画上就是自己和[袁晓鸥]。
1:20:16|1:20:22|[戚佳]再也压抑不住悲伤的情绪，仿佛被惊醒了一样看着眼前的画。
1:20:22|1:20:25|她低下头，回忆汹涌而至，全部都是[袁晓鸥]。
1:21:6|1:21:11|七家走向展厅的出口，离开了这个复刻[袁晓鸥]和她回忆的地方。
1:21:32|1:21:37|[袁晓鸥]把外国客户送进电梯里，表情立刻松弛下来。
1:21:37|1:21:43|她扶着额头走进公司，成员们见她走进来，都站起来殷切地看着她。
1:21:43|1:21:47|四面八方的同事走过来将她围住，她挠着头站住脚步。
1:21:59|1:22:3|众人欢呼雀跃，三五成群地围在一起庆祝着。
1:22:3|1:22:6|[袁晓鸥]却转身，接起一通电话。
1:23:1|1:23:6|暴躁如雷的[袁晓鸥]，把周遭的同事都吓得动都不敢动。
1:23:6|1:23:12|一辆豪华的SUV急停在医院的门口，[袁晓鸥]下了车就奔进医院的大厅。
1:23:12|1:23:19|她急忙跑到倒衣台前正要询问，却被不远处一个消瘦的短发女孩吸引了注意力。
1:23:19|1:23:23|短发女孩站在稀疏的人群中看着什么，又微低着头离开。
1:23:24|1:23:32|大厅的玻璃幕墙上倒映出医院中空的景象，也倒映出短发女孩的身影。
1:23:32|1:23:40|短发女走上电梯去了二楼，[袁晓鸥]立马追了过去，她跑上电梯，一步跨三阶地冲上了二楼。
1:23:40|1:23:48|穿着病号服的短发女摸着脖子走到住院部的前台，[袁晓鸥]眼看着就要追上她，又输得停下步子。
1:23:49|1:23:55|住院部大厅人来人往，大多是和短发女穿着同款病号服的病人。
1:23:55|1:24:2|[袁晓鸥]望着前方那个和短发女相似的背影，不远不近地跟在她的身后。
1:24:2|1:24:8|短发女微微回头后，右转拐进一个小花园，[袁晓鸥]也跟了进去。
1:24:8|1:24:13|她的目光跟随短发女坐下，自己则一步一顿地走向她。
1:24:13|1:24:18|[袁晓鸥]满眼怜惜地在她跟前蹲下来。
1:24:18|1:24:37|七家啊，短发女停下了按打火机的手，她叼着一支烟，却被[袁晓鸥]收走。
1:24:37|1:24:40|[袁晓鸥]双手拨着耳朵，用韩语说道。
1:24:42|1:24:46|短发女仍旧斜眼看着他，争争地摇了摇头。
1:24:46|1:24:48|[袁晓鸥]沮丧地说。
1:24:51|1:24:56|她凝视着短发女的双眼，又低头忏悔。
1:25:16|1:25:22|七家的声音突然响起。
1:25:22|1:25:25|[袁晓鸥]扭过头，七家就在她的身后。
1:25:27|1:25:29|七家憋着笑，看着[袁晓鸥]。
1:25:29|1:25:32|[袁晓鸥]看着眼前的七家，一时说不出话。
1:25:47|1:26:3|七家话音未落，[袁晓鸥]便一把拢过她，猛烈地附上她的双唇，七家双手抱紧[袁晓鸥]的腰，闭着眼沉醉在这个细致的庸纹里。
1:26:4|1:26:11|[袁晓鸥]一只手臂环住七家的腰身，另一只手扶着她的后脑勺，深深地吻着她。
1:26:11|1:26:17|两人唇齿相迷，[袁晓鸥]抵住[戚佳]的额头，抿了抿嘴站直身子。
1:26:18|1:26:23|[袁晓鸥]情难自已地带着点哭相，[戚佳]也满眼泪水。
1:26:23|1:26:30|[袁晓鸥]翻了翻裤兜，又掏了掏马甲口袋，掏出了那枚一年前就买好的钻戒。
1:26:39|1:26:47|[戚佳]看着眼前的这枚戒指，抽抽搭搭地道着歉。
1:26:47|1:26:51|[袁晓鸥]单膝跪地，拉过[戚佳]的手。
1:26:51|1:27:1|[戚佳]紧张又感动地看着[袁晓鸥]，眼里尽是温柔，哽咽地说出。
1:27:4|1:27:11|[袁晓鸥]虔诚地把戒指放在[戚佳]的左手无名指上，戒指上的微型铁塔一一生辉。
1:27:11|1:27:22|[戚佳]瞬间泪奔，她捂住嘴巴，克制呼声，随即就被[袁晓鸥]紧紧抱在怀里，两人闭着双眼将对方抱紧，不禁甜笑出声。
1:27:22|1:27:29|[袁晓鸥]抱着[戚佳]原地旋转，两人好耻名谋，笑得十分幸福而明媚。
1:27:29|1:27:31|画面见黑，本片导演郭再荣。
1:27:53|1:28:0|大学毕业那天，[袁晓鸥]坐在台下的毕业生中间，目睹了[戚佳]求婚的全过程。
1:28:0|1:28:6|凌树儿扶着[戚佳]走出了礼堂，她和周围的同学一样，目送着[戚佳]离开。
1:28:6|1:28:7|她咬着食指，备受打击。
1:28:33|1:28:39|一堆男生求女生宿舍的阿姨送他们进去，却都被阿姨无情地拦在楼梯口。
1:28:39|1:28:45|醉醺醺的[袁晓鸥]在地上蠕动着爬进了主房里，一路来到了七家的宿舍门口。
1:28:45|1:28:54|她正要敲门，没想到门没关，她一下扑到了地上。
1:29:3|1:29:19|[袁晓鸥]从地上支起身子，老白偷偷地爬到七家的床上，伸出一只手把[袁晓鸥]拉上床。
