0:4:0|0:4:6|早已做好万全之策的[钟小年]紧紧地盯着[刘文世]，而[刘文世]故作镇定地说道，
0:51:1|0:51:13|[钟小年]关闭在密室里的第三天，毫无睡意的他坐在角落里，眼前放着一个小巧的机器人，它在电力的带动下旋转身体。
0:51:14|0:51:28|时间在9:30的时候，他进入客厅，看着显示屏上准时出现的两道选择题，a曝光杀害腾远基金前CEO曾广文b曝光腾远基金洗钱。
0:51:30|0:51:38|[钟小年]走向对讲机，拔掉正在充电的对讲机后讲道，
0:52:4|0:52:22|[钟小年]有些不知所措，就在他刚坐上沙发后，屏幕中b选项跳转为说出私密账户钱的去向，于是[钟小年]毫不犹豫地说，回答完问题后，他直接将对讲机的频道转向另一个频道，双手捧着对讲机再次求助，
0:53:51|0:54:2|随后[田雨]便开车出发寻找[钟小年]的方向。而在医院里的[魏思蒙]通过电视上财经新闻的报道得知[钟小年]的死因。
0:54:11|0:54:23|[魏思蒙]盯着电视感到晴天霹雳，待[唐万元]坐在病床旁的凳子上后，[魏思蒙]那洞察一切的眼睛，根本不给[唐万元]留余地。
0:54:43|0:54:50|魏思蒙不敢相信自己的耳朵，私密账户的事情自己都不知道，他是怎么知道的。
0:55:3|0:55:10|闹腾的[魏思蒙]听见[唐万元]的话后立刻冷静下来，大脑一片空白，但仍旧保持着捶打[唐万元]的动作。
0:55:10|0:55:18|随后[唐万元]从怀中掏出一张报告单，难以置信的[魏思蒙]一把抢了过去，仔细地查看。
0:55:39|0:55:50|说完[唐万元]盯着[魏思蒙]的眼神，从威胁变成了阴狠，最后转身离去，只留[魏思蒙]坐在床上紧盯报告单。接着她的手指摸着报告单上的B超图潸然泪下，
0:55:50|0:55:57|心里想着[钟小年]却没有机会看到这一幕。而密室里显示屏的声音再次响起，
0:56:52|0:57:5|说完[钟小年]跑向卧室，捡起地上的书籍扔在床上，接着又在更衣室里拿出大量的衣服，并将吹风机插上电源，再用衣服把吹风机包裹起来，随后塞进全是衣服和书籍的床上。
0:57:5|0:57:12|过一会儿床上冒起烟雾，床的中心位置燃起火焰，[钟小年]希望火势能够更猛烈一些，
0:57:12|0:57:23|手撕书籍扔向火焰的中心，而浓烟顺着卧室正上方的洞口飘了出去。这时开车的[田雨]疯狂的穿梭在山间的小路上，
0:57:23|0:57:25|寻找着[钟小年]给出的信号。
0:57:25|0:57:59|火势逐渐变大，浓烟填满了整个房间，而[钟小年]站在火堆旁将浓烟扇向洞口，这时对讲机发出声音，崇山峻岭中传出浓密的黑烟向空中飘着，此时的[钟小年]踩着跑步机爬上书架，顺着通风口的洞口向外爬出，浓烟使他寸步难行。
0:57:59|0:58:4|突然想起有个东西忘带，气愤的他顺着管道艰难地爬下去，
0:58:6|0:58:26|浓烟呛的他反复咳嗽，下去后他在床上到处翻找，接着在床边他拿起一条裤子，从裤兜中翻出戒指，是他在拍卖会上重金买下来打算送给[魏思蒙]的。随后他拿起手帕捂住口鼻，阻挡烟雾进入鼻腔，他再次爬上管道，步履维艰地向管道的顶端爬去，
0:58:26|0:58:35|就在他撑起身体伸手去抓通风口铁框的时候，脚下没有踩稳，使整个身体都滑了下去。
0:58:35|0:58:44|突然，身后长年累月的管道由于受力不均脱落一截，[钟小年]急忙抓住上面管道内侧突出的边沿，这才使他没有掉下去。
0:58:47|0:58:57|而此时的[田雨]在看见浓烟后及时锁定位置，在看见地面里传出大量黑烟后，他立刻将车停在一旁，下车寻找[钟小年]。
0:59:6|0:59:17|管道里的[钟小年]听到了希望，竭尽全力地向外爬。而[田雨]听见声响后，立刻跑向车在后备箱拿出牵引绳，先将一头固定在汽车的前面，
0:59:17|0:59:23|再迅速返回到[钟小年]所在的通风口处，把牵引绳牢固的绑在铁框上。
0:59:24|0:59:40|接着[田雨]将车发动向后退，牵引绳在动力的牵扯中绷紧，而通风管道内[钟小年]用胳膊敲击着铁框，浓烈的烟雾使他喘不过气，迫切被解救的他伸出手，可在手触碰到铁框的那一刹那没有了力气。
0:59:43|0:59:51|奄奄一息的[钟小年]倒在了距离铁框只有一步之遥的地方，对于现在毫无力气的他迈出这一步是多么的艰难。
0:59:53|1:0:0|突然在[田雨]的努力下，铁框被汽车强大的拉力强行拽开。洞口烟雾滚滚不断向外涌出。
1:0:0|1:0:2|而[钟小年]此刻还躺在里面。
1:0:4|1:0:14|这时在医院里的[魏思蒙]坐在窗下，看着窗外被夹在两座高楼中间的太阳，夕阳划过她的脸庞后，她才缓慢的低下头。
1:0:15|1:0:24|宽敞的房间没有阳光的照射，变得死气沉沉，[魏思蒙]依旧保持着坐在窗前的动作，内心却五味杂陈。
1:0:24|1:0:31|突然放在一旁柜子上的手机震动起来，她有气无力地拿起手机查看，
1:0:31|1:0:38|虽然看着是陌生的号码，但还是选择了接听。于是她滑动按键缓慢地将手机放在耳边，
1:0:42|1:0:49|手机对面传来的是[钟小年]的声音，[魏思蒙]激动地捂住嘴巴，那个让自己一直忧心忡忡的人，他终于回来了。
1:0:49|1:0:58|随后她迅速调整好自己的情绪，平静地说，
1:1:20|1:1:27|挂掉电话的[魏思蒙]迟迟不肯放下手机，沉浸在即将见到[钟小年]的喜悦中，那颗悬着的心终于放下了。
1:1:27|1:1:39|这时的[钟小年]驾驶着[田雨]的车踏上回家的路，熟练了输入密码，在进入别墅后，他先是打开房间里所有的灯光，看着既陌生又熟悉的一切，心中满是遗憾。
1:1:39|1:1:47|[钟小年]心里想着神秘人肯定是为了钱，于是他径直走向更衣室内。
1:1:47|1:1:52|[田雨]则是跟在[钟小年]身后开始用摄像机记录。
1:1:53|1:2:1|果不其然，[钟小年]看着眼前空空如也的保险箱，觉得自己的猜测是正确的。
1:2:1|1:2:14|就在他反复检查保险箱时，突然听到了房门的声音，于是他转身走出更衣室前去查看，跟在身后的[田雨]使用摄像机记录，不放过每一个细节。
1:2:14|1:2:24|走到二楼拐角处的[钟小年]看见了[魏思蒙]正在关门，可并没有立刻叫住她，而是注视她着急寻找自己的身影，眼里和心里满是心疼。
1:2:25|1:2:33|当[魏思蒙]见一楼没有[钟小年]的身影时，打算上二楼。刚转身的她就看见站在楼梯上的[钟小年]，
1:2:34|1:2:40|而[钟小年]见她注意到自己时，立刻隐藏住内心的激动，缓缓地走下楼梯。
1:2:40|1:2:45|倔强的[魏思蒙]大步上前给了[钟小年]一巴掌，哭着捶向[钟小年]的胸口，
1:2:47|1:2:53|[钟小年]双手紧紧抓住[魏思蒙]的手腕，使她冷静了下来。最后[魏思蒙]开口说道，
1:3:38|1:3:59|[魏思蒙]失望地转过身背对着[钟小年]口是心非地说道，在[魏思蒙]失望地坐在沙发上，手扶着头，情绪特别激动的时候，机械的声音使他抬起头，便看见站在楼梯上的[田雨]。
1:4:3|1:4:14|转眼他们就出现在一个老旧的房子门口，[钟小年]推开门打开灯，[魏思蒙]才缓缓走了进去，这里是他和[钟小年]还没有富裕时所生活的地方。
1:4:16|1:4:24|房间里面所有的东西都保持着原本的样子，[魏思蒙]仔细地观察这个拥有他们共同美好回忆的房间。
1:4:24|1:4:32|她突然停住脚步，转过身对上[钟小年]的眼神，原来这个男人是爱她的，随后对其开口说道，
1:4:44|1:4:50|[魏思蒙]听完后点点头，转身便进入卧室，按下灯光的开关，整间卧室变得温馨。
1:4:50|1:4:56|床头两侧的吊灯照亮了放在床头上面的合照，合照中的二人亲密无间。
1:4:57|1:5:28|而跟在[钟小年]身后的[田雨]悄无声息地将窃听器放进[钟小年]的口袋中，说完[钟小年]将眼神再次放在[魏思蒙]的身上，卧室里的[魏思蒙]看着过去的点点滴滴，若有所思的她抽泣地转过身去看向站在身后的[钟小年]，而另一边的[田雨]在进入房间后，打开电脑插上耳机，偷听着[钟小年]和[魏思蒙]的对话，
1:6:17|1:6:33|过去的种种回忆浮现在[魏思蒙]的脑海里，于是她放下饭盒，抱着[钟小年]的肩膀说道，
1:7:16|1:7:26|突然一道铁门被打开，[钟小年]和[田雨]偷偷摸摸地走了进去。铁门里面放着各种各样的家具，此时的[田雨]手持摄像机采访[钟小年]，
1:8:11|1:8:40|[钟小年]和[田雨]到处翻阅各式各样的订单，架子上陈列的订单被两人翻得乱七八糟，突然[田雨]发现了[钟小年]的订单，随后便拿着那叠订单激动地找[钟小年]核对，[钟小年]接过[田雨]手中的订单，坐在椅子上仔细查看，翻开自己名字的下一页却是曾广文的名字，他震惊地抬起头，
1:9:15|1:9:19|由于涉及商业机密，[钟小年]便起身合上[田雨]的摄像机后继续说道，
1:9:52|1:10:1|因为曾广文的订单上写的就是帽檐胡同，于是他们俩冒雨开车来到胡同里，由于胡同空间狭小，只能将车停在转角。
1:10:4|1:10:16|看着[钟小年]在雨中离去的身影，[田雨]坐在车内戴上了耳机，[钟小年]走在历经沧桑的胡同里，一户家门口还有位老人正在烧纸，他莫名的觉得阴森，于是加快脚步向胡同的最里面走去。
1:10:20|1:10:24|穿过一道道胡同，他所寻找的那个地方却没有任何踪影。
1:10:24|1:10:34|这时的他注意到一户门上的门牌号，他顺着门牌号挨家挨户地寻找，就在一个电线杆的后面，他发现了所找的门牌号。
1:10:34|1:10:40|站在正门前的他先是环顾四周，再径直走上前，直接推开门向里走去。
1:10:41|1:10:48|门后是悠长窄小的过道，过道旁堆积着闲置品，而[钟小年]迈着矫健的步伐前进。
1:10:49|1:10:55|随后他的面前是漆黑一片的院子，他站在院子的中心位置环顾四周。
1:10:55|1:11:2|夜色变得深沉，大雨放肆倾泻，雨水砸在屋顶的黑瓦上，发出滴滴嗒嗒的声音。
1:11:3|1:11:13|此时的[钟小年]紧皱眉头感到十分诧异，偌大的四合院里竟没有一个人，难道这个地址是假的，他不甘心地反复查看周围。
1:11:13|1:11:20|[钟小年]在反复寻找过后，确定没有任何动静，他决定给坐在车上的[田雨]打电话。
1:11:20|1:11:26|就在他拿出手机拨通电话的时候，身后的房间突然亮起了灯光。
1:11:28|1:11:39|他惊讶地转过头看着房间，突然灯光又被熄灭，于是[钟小年]马不停蹄地闯了进去，一脚踹开门的他并没有直接走进去，而是站在门口观望着里面。
1:11:42|1:11:55|他慢慢挪向房间里面，警惕地观察着周围，然后他抬头发现灯的开关，好奇心使他打开了灯，随着灯光的照射，房间内的一切尽收眼底。
1:11:55|1:12:3|眼前的一切令他震惊，他看见紧挨着门凌乱的桌子上放着一个模型，是他别墅二楼的构造。
1:12:3|1:12:11|于是他继续向里面移动，悬挂在头顶的照片全是和他有关的，还有神秘人跟他说话的变声器设备。
1:12:11|1:12:23|旋转的椅子后面排列着两排显示屏，此刻所有的显示屏出现的画面都是雪花，接着他又看到墙面上无数条彩色的线，用涂针错综复杂地
1:12:23|1:12:33|钉在一张自己的画像上。就在他详细观察这惊人的一幕时，突然身后传来瓶子掉落的声音，
1:12:33|1:12:38|接着神秘人从身后的房间向外跑，[钟小年]立刻追了上去。
1:12:39|1:12:51|就在神秘人即将跑出房门的那一刻，他将神秘人从后背紧紧地抱住，神秘人在他的怀里极力挣扎，然后突然发力将他推倒在地便跑出了房门。
1:12:52|1:13:3|神秘人还将过道两旁的闲置物推撒在道路中间，这时的[钟小年]在灯光昏暗的过道里穿过每个障碍，随后两人进入胡同里继续追逐。
1:13:4|1:13:13|就在胡同的转弯处，神秘人被前面的路障绊倒在地，他见状加速跑向神秘人压倒在地，可最终还是让神秘人挣脱了。
1:13:16|1:13:30|停在转角的[田雨]想利用车子堵住去路，可神秘人穿过缝隙逃走了，恼羞成怒的[钟小年]双手叉腰，站在雨里大口喘着气。
1:13:31|1:13:45|随后他带着[田雨]来到那间神秘的房间，[田雨]将[钟小年]的特写照片拿了下来，而[钟小年]在一边拿起纸箱翻看里面的资料，但这些资料对他毫无用处，愤怒的他扔下资料看着周围。
1:13:45|1:13:51|时间到了第四天的早上，[钟小年]站在窗口，呆滞地盯着窗外，听着电视里财经新闻的报道。
1:14:25|1:14:39|此时依靠在窗口的[钟小年]将身体站直，惭愧地低下头，然后他来到餐桌前，而[魏思蒙]早已在此等候。他径直坐在[魏思蒙]的对面，然后[魏思蒙]开口说道，
1:14:42|1:14:50|说完[魏思蒙]便夹起碗中的面条，可[钟小年]心思沉重地看向一旁，最后眼神看了一眼[魏思蒙]后，便开始动起了筷子。
1:14:54|1:15:3|他先是夹起旁边碗里的香菜，准备放进自己的碗里时，愧疚使他停住，看了看[魏思蒙]的碗里，将香菜放了进去。
1:15:3|1:15:8|可[魏思蒙]却将香菜夹起，放进旁边的空碗。[钟小年]惊奇地说道，
1:16:27|1:16:33|听到这些话，[钟小年]的内心更加愧疚，好像自己真的不够了解[魏思蒙]。
1:16:52|1:17:0|[魏思蒙]吐露心声，试图挽回执迷不悟的[钟小年]，而[钟小年]低着头不敢说话，此时的时间是早上9:30。
1:17:0|1:17:7|餐桌前[钟小年]的手机响起，屏幕显示的是私密号码。
1:17:8|1:17:13|[钟小年]转身离开餐桌，避开[魏思蒙]，而另一边的[田雨]戴上耳机通过窃听器偷听[钟小年]讲话。
1:18:27|1:18:46|身为妻子的[魏思蒙]决定帮助[钟小年]拿回钱财，于是她只身一人来到一家日料餐馆，包厢里面坐着正在品尝美食的[唐万元]。而[魏思蒙]在服务员的带领下进入包厢，[唐万元]见到她满是欣慰地说道，
1:18:54|1:19:5|临危不惧的[魏思蒙]将随身携带的新合同推至[唐万元]的面前，而[唐万元]在认真地翻阅完合同后，脸色突变，眼神犀利地说道，
1:19:46|1:19:53|此时的[唐万元]默默思考着。随后[魏思蒙]又找到正在做按摩的[庄艺]，
1:20:34|1:20:39|趴在按摩床上的[庄艺]忽然转头看向[魏思蒙]，
1:21:44|1:21:56|随后在宽阔的停车场里，一辆面包车缓缓前行，停在车位上。车上下来一位年轻的小伙子，他环顾四周后将手中的车钥匙扔进旁边的垃圾桶里。
1:21:56|1:22:12|而躲在暗处的[钟小年]关注着小伙的一举一动，待他走后，迅速走向扔着车钥匙的垃圾桶，快速拿出钥匙走向面包车后面，打开后备箱，随后出现的是密不透风的密码门。
1:22:12|1:22:21|[钟小年]则是拿出手机，根据手机上所显示的密码开启密码门，随着密码门的打开，一目了然的黄金映入眼帘。
1:22:21|1:22:32|[钟小年]洋洋得意地看着满车的黄金，随后赶紧将车门紧锁，可他并没有想到事情哪有那么简单，在车轮胎下面有个东西闪烁着红色的光。
1:22:33|1:22:44|而另一边在宏伟豪华的腾远基金内，老奸巨猾的[唐万元]高视阔步地走在宽敞的过道上，他为了利益可以不惜一切代价。
1:22:44|1:22:50|此时的他决定乘胜追击，召开紧急会议与公司高层协商股价。
1:22:50|1:22:59|在会议室里，紧靠墙竖立的每个显示屏都呈现出不同的数据，而[唐万元]在中间的白板上书写并说道，
1:23:7|1:23:20|突然[朱楠]被害的画面出现在显示屏中，[唐万元]震惊地看着显示屏，他没有想到是以这样的方式揭露他的罪行，而坐在中间的每位员工都目瞪口呆地看着显示屏。
1:23:22|1:23:28|慌张的他连忙跑出会议室来到停车场，一边跑一边观察四周有没有人。
1:23:28|1:23:37|就在走向自己的车时，手机响了起来，他拿出手机，显示的是庄艺的电话，毫不犹豫地接起来。
1:24:9|1:24:16|此时的[钟小年]来到与神秘人约好的地方，他站在铁道桥上看着脚下路过的货车，内心毫无波澜。
1:24:17|1:24:28|忽然桥的另一头传来脚步声，[钟小年]手插兜里缓缓转过身，十分沉着冷静地看着神秘人向前走来。神秘人和[钟小年]保持着安全的距离，
1:24:28|1:24:30|他伸出手将戴在头顶的帽子掀下后，
1:24:33|1:24:42|现在他的外貌完全暴露在外，伸出手中密封的袋子，对[钟小年]说，
1:24:55|1:25:9|神秘人信誓旦旦地说完后，[钟小年]便走上前拿过密封袋，随后转身走向桥的另一头，打开密封袋，查看自己的资料。而神秘人站着的方向传来一声巨响，
1:25:12|1:25:22|[钟小年]转身后看到了残忍的一幕，[唐万元]不知道什么时候出现在神秘人的身后，使用铁棍敲击了神秘人的脑袋，神秘人瞬间倒落在地。
1:25:24|1:25:51|而路过的火车灯光照在[唐万元]的脸上，此时的他脸上露出邪恶的笑，随后他还连续使用铁棍敲击神秘人的身体。突然他产生一个大胆的想法，他将奄奄一息的神秘人抱起，越过铁道桥的围栏将其扔了下去，正巧掉进桥下面路过的火车厢。而[唐万元]他在围栏上露出满意的笑，此时[钟小年]开口说道，
1:25:55|1:25:59|[唐万元]转过阴险狡诈的脸，接着弯腰捡起地上的铁棍并说道，
1:26:50|1:26:57|听到警车的声音后，[唐万元]惊慌失措地放下顶在[钟小年]脖子上的铁棍，落荒而逃。
1:27:12|1:27:36|迫在眉睫的[唐万元]跳下铁道桥，走在两边都是围栏的铁路上，而[钟小年]站在桥上看着落荒而逃的[唐万元]，心里满是心酸，手里拿着警灯的[田雨]走上桥说，
1:27:39|1:27:45|[田雨]听后连忙点头，而这边房间里的[魏思蒙]坐在客厅的沙发上，心急如焚地等待[钟小年]的归来。
1:27:45|1:28:0|突然房门被打开，[钟小年]从外面火急火燎地回来，见到爱人平安归来，[魏思蒙]激动地站起身，[钟小年]也迫不及待的想跟[魏思蒙]分享好消息，两人紧紧相拥。
1:28:9|1:28:18|随后[钟小年]放开[魏思蒙]，两人深情对视，接着他从裤兜中掏出一枚戒指，他要将这个和他一起经历生死的东西送给[魏思蒙]。
1:28:20|1:28:28|于是他抬起[魏思蒙]纤细的手把戒指缓缓戴在无名指上，他牵着[魏思蒙]的手迟迟不肯放开挽回地说道，
1:28:28|1:28:46|[魏思蒙]热泪盈眶地点头回应，看到[魏思蒙]哭得如此伤心，[钟小年]满是心疼，随后将[魏思蒙]拥入怀中，两人深深依偎在一起，此时的[钟小年]感到前所未有的轻松。
1:28:46|1:28:51|幕后黑手被[唐万元]杀害，妻子也回到了自己的身边。
1:28:51|1:29:0|第五天早上9:11，记者会如期举行，[钟小年]迈着沉重的步伐走上讲台，而台下沸沸扬扬地坐满了记者。
1:29:0|1:29:8|走上台的[钟小年]，先是给记者们鞠了一躬，随后说道，我是[钟小年]，
1:30:23|1:30:29|[钟小年]拜谢完记者，转身离去的时候，时间正是9:30。突然灯光熄灭，
1:30:29|1:30:32|这时[钟小年]的手机响起，
1:30:32|1:30:45|还没有走下台的他掏出手机查看着消息，在他打开手机后显示的画面竟是被捆绑的[魏思蒙]，而且身上还有炸弹。怛然失色的他抬起头，手机
1:30:45|1:30:46|再次响起。
1:30:48|1:30:57|这次[钟小年]看到的是私密号码发出的两道新选择题，a选择离开b继续游戏，他毫不犹豫地选择b。
1:30:57|1:31:8|做完选择后灯光再次亮起，记者们打算离开，[钟小年]立刻拿起手机查看短信，游戏升级，你只有90分钟，把西服脱掉。
1:31:8|1:31:16|[钟小年]站在讲台上目光呆滞，台下的记者都在向外走，唯独只有[田雨]站在人群中高举摄像机。
1:31:16|1:31:24|这时的[钟小年]如同行尸走肉，再次回到讲台中间。
1:31:24|1:31:47|记者们陆续回头集中在[钟小年]的正前方，他脱掉外套扔在一旁，[钟小年]立刻查看放在讲台上的手机，消息竟是让他脱掉裤子，他虽然很不解，但又无能为力，只能选择执行。他解开皮带，拉开裤链，直接将裤子脱下扔在一旁。
1:31:47|1:32:5|台下的记者不放过每一个细节，看着[钟小年]此刻的所作所为，不停地在提问着，而[田雨]全程都在录像，此时狼狈不堪的[钟小年]逐渐变得麻木，丝毫不在乎记者们的眼神，短信的内容更加肆无忌惮，居然让他脱掉内裤。
1:32:6|1:32:15|他看着下半身仅剩的内裤不敢想象待会出现的画面，更不敢想象自己的未来，可他没有别的选择，只有执行。
1:32:15|1:32:29|他双手撩起上衣准备脱裤子的时候，手机铃声使他停止动作，他这举动吓坏了在场的女记者们。而停止动作的他马上查看消息，不用脱了，把东西从桌子底下拿出来。
1:32:29|1:32:43|他给记者示意停止的手势，随后蹲下拉开讲台后面的帘子，里面放着正在倒计时的炸弹。他紧皱眉头，小心翼翼的将装着炸弹的马甲穿在身上，并扣好固定带。
1:32:43|1:32:51|在场的所有记者都目不转睛地盯着[钟小年]，采访的声音也变得模糊，谁都无法理解他此刻的心情。
1:32:53|1:33:8|手机屏幕上显示着广场垃圾桶，[钟小年]抱起手机就跑进后台，穿过防盗门，大步向外面跑去。阳光的照射使他眯着双眼环顾四周寻找着垃圾桶。
1:33:9|1:33:20|就在这时记者也穿过后台找到了[钟小年]，他大步跑向广场两侧翻找垃圾桶，他完全顾不得路人的眼光，大量记者紧随其后，抓拍每一个精彩瞬间。
1:33:20|1:33:33|站在人群中的[钟小年]将垃圾桶翻倒在地，拉出里面的塑料袋徒手翻找，将垃圾都从袋子里面拿了出来，也没有发现什么特别的东西，于是他站起身寻找周围其他的垃圾桶。
1:33:35|1:33:47|接着他在人群的缝隙中看见不远处的垃圾桶，奋进全力向前跑去，大量记者追在身后，可他根本没有时间理会。他又将垃圾桶平放在地上，仔细寻找，
1:33:47|1:33:48|还是一无所获。
1:33:48|1:34:0|他绝望地看向天空，随后立刻推开包围他的记者向外跑去，他现在的目标只有垃圾桶。绕过喷泉找到一个垃圾桶，这次他没有将垃圾桶平放在地上，
1:34:0|1:34:10|而是直接用手在里面掏去，突然他摸到一个袋子，然后将袋子拿出来，上面写着a记者的命，b你老婆的命。
1:34:10|1:34:13|他立刻把袋子抱在怀里，避免记者抓拍。
1:34:14|1:34:25|接着他手握住里面的东西时，袋子垂直滑落了下去，露出的是[钟小年]手里拿着的枪，而记者和路人被吓得连连后退，此时的[钟小年]一脸茫然。
1:34:26|1:34:38|随后他看见广场银幕上出现他的身影，就在他无奈地低下头时，随着一声巨响，接着[田雨]倒在血泊中。
1:34:55|1:35:6|这件事竟当众闹出人命，[钟小年]举着枪警告记者不要再跟着他，他转身看见停在广场外装满黄金的面包车，毫不犹豫地跑过去。
1:35:6|1:35:17|慌乱中的他索性扔掉手枪坐上车，而车上的导向系统给他显示了一个位置，询问他是否前往，他毫不犹豫的点下是，随后车子便出发了。
1:35:17|1:35:20|此时坐在车上的[庄艺]听着广播，
1:35:33|1:35:54|救护车在众目睽睽之下拉走[田雨]，另一边驾驶着面包车的[钟小年]来到目标位置，而目标的位置竟是宽阔的停车场，他将车停在指定位置上后便下车查看。心急如焚的他查看着停车场的每一个角落，可并没有发现任何人。
1:35:54|1:36:6|此时的他惊慌失措，拿出手机迫切想得到新的消息，但他不知道的是此时也有一辆车开进了他所在的停车场，不一会儿[钟小年]就听见了远处有车门关闭的声音。
1:36:7|1:36:12|它缓慢地接近，就在他绕过柱子，看清楚来者是谁的时候，
1:36:14|1:36:34|他紧皱眉头觉得不可思议，那个口口声声说爱他的人，背地里却在折磨他伤害他，现在还要用他最爱的人在威胁他，而[庄艺]喜地踩着高跟鞋缓慢地走到了[钟小年]的面前，她是根据面包车上的追踪器得知此处并前来拯救[钟小年]。
1:36:34|1:36:45|可[钟小年]紧皱眉头，诧异地对[庄艺]说道，
1:36:50|1:36:58|临近崩溃的[钟小年]，这时手机突然响起，
1:37:4|1:37:23|屏幕出现a跟[庄艺]离开b保险箱密码。[庄艺]被[钟小年]一把推开，他快速地输入密码，屏幕显示，上天台，走楼梯。
1:37:27|1:37:34|突然冲出一辆车，此时抱着[钟小年]的[庄艺]在危急时刻将[钟小年]推了出去，自己则被撞倒在地。
1:37:35|1:37:54|[钟小年]目瞪口呆地看着奄奄一息的[庄艺]，随后撞人的轿车上面下了一个人，而这个人不是别人，正是逃掉的[唐万元]，而[唐万元]从容不迫地转过身看向被推倒在地的[钟小年]，脑子里似乎在想些什么，然后用力将车门关上。
1:37:55|1:38:5|[唐万元]关上车门径直走向[钟小年]，而被吓呆的[钟小年]瘫软在地上，任由[唐万元]拎住他所穿的背心，将他拖向面包车。
1:38:5|1:38:13|他拼命地反抗，可健壮的[唐万元]不给他喘息的机会，直接将他扔在面包车的后面。
1:38:13|1:38:24|于是[钟小年]艰难的爬起身走进面包车后备箱，他当着[唐万元]的面将后盖打开，随后把拿在手里的手机装进背心的口袋里，感叹地说道，
1:38:29|1:38:40|说完，他就手扶着车身，上前输入密码，然后用尽全力将密码门打开。在打开门的同时，他偷偷藏起一块黄金，而此时的[唐万元]满眼都是黄金，
1:38:40|1:38:50|根本注意不到他的小动作。在[唐万元]上前查看黄金的时候，他使用手中的黄金砸向了[唐万元]的脑袋。
1:38:54|1:39:7|第一次并没有打晕[唐万元]，于是他咬牙切齿地再次抡起手中的黄金砸向[唐万元]的脑袋，见[唐万元]倒在地上不动的时候，他将手中的黄金扔进车里，锁上密码门关上车门。
1:39:8|1:39:19|转身准备离开的他，目光扫过[唐万元]，停在了庄艺的身上，他站在原地替庄艺惋惜，他不值得庄艺为他这么做，随后立刻冲进楼梯间。
1:39:20|1:39:31|一刻不敢耽误的他不知爬了多少层，就在双腿酸软毫无力气的时候，他探出头，看着即将接近的天花板，拖着沉重的步伐推开天台的铁门。
1:39:31|1:39:40|[钟小年]大步从里面冲了出来，站在天台的他喘着粗气，目光环顾四周寻找[魏思蒙]的身影。
1:39:42|1:39:49|终于他在天台的中间发现了[魏思蒙]，心急如焚的[钟小年]立刻跑过去，将[魏思蒙]嘴巴上的带子先解下来。
1:39:55|1:40:4|[魏思蒙]听后震惊地看着[钟小年]身上的炸弹，而[钟小年]蹲在[魏思蒙]的旁边帮她解着铁链，铁链缠绕在[魏思蒙]和凳子之间。
1:40:4|1:40:17|他反复尝试后毫无作用，于是气愤地站起身，突然他发现一旁竟放着一个显示屏，随后他拿起放在台阶上的遥控器，按下开启键。两人盯着显示屏，里面竟传出两
1:40:17|1:40:22|人曾经对话的音频，你忘了曾广文是怎么死的，他是咎由自取，他不做那些事情，我能抓他把柄吗？
1:40:37|1:40:46|里面缓缓走入一个年轻的小伙子，他坐在面向视频的沙发上才露出他的全貌。此人正是[田雨]，开口说道，
1:41:25|1:41:33|这时的画面是[田雨]坐着救护车进入停车场，他买通司机带走了地上的庄艺，而他却给面包车旁的[唐万元]狠狠一脚。
1:42:3|1:42:12|被绑的[魏思蒙]连忙晃着脑袋，此时的[钟小年]蹲下身子研究着[魏思蒙]身上的炸弹，他在尝试将炸弹拿下来，可[魏思蒙]并不想让他去冒这个险。
1:42:24|1:42:35|[魏思蒙]腰上的炸弹正在倒计时，还有1分17秒，[钟小年]跪着忏悔地说道，
1:43:3|1:43:10|[钟小年]真诚地看着[魏思蒙]，双手捧着她的脸深深地吻了下去，此时的被绑的[魏思蒙]痛哭流涕。
1:43:10|1:43:18|而[钟小年]眼看着[魏思蒙]腰上的倒计时只有55秒，很不舍地对[魏思蒙]说道，
1:43:20|1:43:27|[钟小年]说完缓缓站起身，恋恋不舍地看着[魏思蒙]，而泣不成声的[魏思蒙]开口说道，
1:43:27|1:43:48|[钟小年]慢慢向后挪动脚步，可他的眼神却一直停留在[魏思蒙]的身上，伸出手指着[魏思蒙]的小腹，而一直在凳子上挣扎的[魏思蒙]呼喊着[钟小年]的名字。
1:43:56|1:44:6|无法选择的[钟小年]逐渐靠近阳台的边沿，在脚触碰到边沿台阶的那一刻，他知道该结束这一切，缓慢地抬起腿，站上台阶。
1:44:7|1:44:14|站在这人生的最后一步，他想好好再看看[魏思蒙]，当目光划过[魏思蒙]腰上的时候，他知道自己只有32秒的时间。
