0:1:9|0:1:13|一条宽阔的小巷上，阳光洒在街道上显得特别明亮。
0:54:24|0:54:31|没有人知道[尉迟恭]这二十年是怎么度过的，更没有人知道这位战无不胜的英雄内心的脆弱。
0:54:32|0:54:40|远处，突厥境内，一位小勇士单腿倒挂于马侧，两个突厥士兵持长矛迎击小勇士。
0:54:40|0:54:51|他一挥剑，士兵们就挡地不起，小勇士飞驰于马背上射箭，正中靶心，同时射出的两支箭，分别射中两个靶的中心。
0:54:51|0:54:58|赢得观战的可汗以及士兵们一阵叫好，而小勇士显然是不满足这样的箭法与欢呼。
0:54:58|0:55:2|他继续向前骑马，已经离靶有十米远。
0:55:2|0:55:9|正在观战者们疑惑之际，小勇士向后下腰射箭，竟直接从靶的后方射中靶心。
0:55:14|0:55:16|突厥兵败后。
0:55:29|0:55:36|小勇士乐马喊道。
0:55:36|0:55:42|[李世民]站在城墙上，望着小勇士率兵离开的背影，问身边的军师。
0:55:52|0:56:0|二人皆沉默不语，[李世民]担忧地望向城下，静静思索着，眼神看向更远的地方。
0:56:20|0:56:23|[李世民]面带歉意，愧疚地说。
0:56:25|0:56:29|低头思考片刻，[李世民]说道。
0:56:31|0:56:36|[李世民]率[程咬金]赶到靖德的故乡，村子已恢复往日的生机。
0:56:36|0:56:37|[李世民]感慨道。
0:56:59|0:57:9|铁匠铺内，一个学徒远远看见来者，就跑进屋内报告敬德，学徒出来后继续烧火，[程咬金]走近，笑嘻嘻问道。
0:57:17|0:57:31|[程咬金]和[李世民]跟着学徒进屋找到静德。
0:57:31|0:57:37|学徒将二人带往后院。
0:57:37|0:57:39|[程咬金]被泥打脸倒地。
0:57:56|0:57:57|靖德抱住大鹅坐下。
0:58:19|0:58:37|[李世民]问，[程咬金]满脸泥土，愤愤说道。
0:58:37|0:58:42|[李世民]悲愤起身，二人对视，无奈之下失望离开。
0:58:42|0:58:48|靖德看着鹅一语不发，呆在原地傻笑着，学徒跟在二人身后嘟囔道。
0:58:52|0:58:57|[李世民]跟着[程咬金]，[程咬金]却静止走向敬德的马厩处。
0:58:57|0:59:0|学徒讶异地跟出来，盯着[程咬金]。
0:59:0|0:59:2|[程咬金]看着马感叹道。
0:59:37|0:59:46|[李世民]给学徒手上放了一块银元宝就走，学徒拿着银两，有些过意不去地看着二人远去的背影。
0:59:46|0:59:52|[李世民]与[程咬金]牵马走在街道上，[李世民]垂头丧气地不断叹气，感叹道。
1:0:8|1:0:13|[程咬金]突然转身，取下马上挂着的酒葫芦，就往靖德家跑。
1:0:13|1:0:18|[李世民]有些不解，一会儿，[程咬金]就提着酒到了靖德家后院，他喊道。
1:0:42|1:0:58|靖德用种子摆着图案，[程咬金]将两个碗中倒满酒。
1:0:58|1:1:1|程咬金一饮而尽，[尉迟恭]也大口喝酒。
1:1:1|1:1:6|程咬金趁机抢过[尉迟恭]衣内的手帕，[尉迟恭]起身夺回。
1:1:6|1:1:8|程咬金大笑，直至[尉迟恭]说。
1:1:36|1:1:39|[李世民]扶起[尉迟恭]。
1:1:57|1:2:5|被程咬金问住的[尉迟恭]愣在原地，泪湿眼眶，颤抖的嘴角是[尉迟恭]道不尽的心酸与不甘。
1:2:5|1:2:13|[尉迟恭]红着眼看向前方，随后[尉迟恭]前往天王殿，打开殿门，铁鞭安放在天王贡品处。
1:2:13|1:2:17|[尉迟恭]恭敬地看着天王爷，一脸诚恳地说道。
1:2:33|1:2:35|[尉迟恭]拿起铁鞭，尘灰四起。
1:2:35|1:2:39|[尉迟恭]有些激动地看着陪伴自己中战四方的武器。
1:2:39|1:2:43|天王爷的神像居高临下，仿佛双眼洞察一切。
1:2:43|1:2:47|[李世民]和程咬金也来到天王殿注视靖德。
1:2:47|1:2:51|打点好一切后，三人回白凉关率军迎战。
1:2:51|1:2:55|风雨莫测，白凉关外，一场大战正式拉开帷幕。
1:2:56|1:3:7|唐军士兵与突厥士兵在崇山峻岭下，战鼓雷鸣，军旗飘扬，一时间硝烟弥漫，遮云蔽日，阵阵军鼓声声有力。
1:3:21|1:3:24|靖德看向保林，感到诧异又十分熟悉。
1:3:33|1:3:37|进德与保林对视，保林眼中充满了怒火与必胜的决心。
1:3:38|1:3:42|静德拉紧马绳，保林捏紧手中的铁鞭。
1:3:42|1:3:48|几乎同时，静德与保林侧马冲向对方，对决开始。
1:3:48|1:3:52|双方武器一挥，二人皆掉下马背滚到地上。
1:3:52|1:3:56|杵着武器，[尉迟恭]与[苏玉梅]艰难站起。
1:3:56|1:4:2|[尉迟恭]看到[苏玉梅]铁鞭上挂着的铃铛吊坠，震惊错愕地盯着[苏玉梅]。
1:4:2|1:4:5|[苏玉梅]调整好状态后，举着铁鞭朝[尉迟恭]攻去。
1:4:6|1:4:11|[苏玉梅]力气巨大，出招速度极快，[尉迟恭]被逼得接连后退。
1:4:11|1:4:21|[尉迟恭]吃力地挡住[苏玉梅]的铁鞭，他看着[苏玉梅]的铁鞭问道。
1:4:21|1:4:30|[尉迟恭]趁机将[苏玉梅]铁鞭上的铃铛打飞，接住铃铛仔细端响后，[尉迟恭]震惊地问[苏玉梅]。
1:4:34|1:4:42|[苏玉梅]气愤地攻击[尉迟恭]，[尉迟恭]手持铁鞭，钳制住[苏玉梅]。
1:4:42|1:4:50|纠缠间，二人用力分开对方后，[尉迟恭]举起铁鞭仔细端详，这才想起来铁鞭上刻着儿子的名字。
1:4:56|1:5:8|[尉迟恭]欣喜地跪在原地，[苏玉梅]恢复精力起身，举着铁鞭冲[尉迟恭]砸来，[尉迟恭]却在喜悦中失去意识。
1:5:8|1:5:16|宝玲持铁鞭砸向静德，静德闭着眼迎接儿子的攻击，宝玲击中静德后，错愕地愣住。
1:5:16|1:5:23|鲜血顺着静德的左臂滑下，宝玲感到万分不解，手慢慢放下，突厥可含箭状，甩兵喊道。
1:5:26|1:5:46|突厥大兵顺时一拥而上，[李世民]也率唐军迎战，战士们一个个冲上去，挥舞大刀长矛浴血奋战，生命在战场上是如此渺小，战士们高喊口号，悲壮不已，紧张激烈的两军混战中，靖德仍然跪在原地，保林站在他的对面。
1:5:46|1:5:50|程咬金手持斧头，冲过来攻击保林。
1:5:50|1:5:56|保林用铁鞭对抗，将程咬金打下马，踩在脚下，举起铁鞭威胁他。
1:6:4|1:6:9|大唐士兵溃不成军，密旋一线的惊心动魄萦绕心头。
1:6:9|1:6:12|仓皇逃窜，跑回白凉关内，突厥军队大捷。
1:6:13|1:6:35|大获全胜的宝玲未感受到前所未有的满足，宝玲躺在郊外山石上，看着浩瀚无垠的天空，铁鞭立在她的身前，铁鞭见证了宝玲与母亲分离的悲惨往事。
1:6:35|1:6:39|多年前，母亲抱着一个婴孩躲避一群士兵的追杀。
1:6:43|1:6:51|母亲将宝玲与地上的树枝兑换，宝玲抱着铁鞭躲在草丛里。
1:6:51|1:6:53|母亲跑到悬崖前，无路可逃。
1:6:57|1:7:3|年幼的宝玲躲在一旁不敢出声，母亲看着身后的悬崖，被逼得步步后退。
1:7:3|1:7:12|她强忍眼泪纵身一跃，跌入悬崖中，母亲摔得面目全非，而墙堡中裹着的只有树枝。
1:7:12|1:7:18|宝玲就这样保全了性命，一想到这里，宝玲就万分心痛，不忍抬头。
1:7:18|1:7:21|同样怀念往事的还有[尉迟恭]。
1:7:45|1:7:50|[尉迟恭]感慨万千，他将夺来的铃铛挂在铁边上。
1:7:50|1:7:54|一起从前，妻子为保龄铁边上挂上铃铛时的温柔呼唤。
1:8:2|1:8:8|[尉迟恭]专心致志地将铃铛挂在铁边上，寂静，没有察觉到周边的异样。
1:8:9|1:8:13|远处却突然射出一支箭，直插进一旁的树干。
1:8:13|1:8:19|靖德端详着箭矢，又看向箭射来的方向，并未看到射箭之人。
1:8:19|1:8:28|于是，他将箭从树干上拔下，才发现箭矢上绑着一张纸，纸上书法卷卷地写着。
1:8:55|1:9:0|说吧，靖德便策马告别[李世民]，孤身往林中闯去。
1:9:0|1:9:10|[李世民]与士兵们看着靖德的背影感到有些担惊，但靖德没有回头，只身骑马进入树林深处，解救程咬金。
1:9:10|1:9:18|进入树林后，林中弥漫着一层雾气，靖德小心观望，四下里无人，他仍然不敢放松警惕。
1:9:18|1:9:23|突然，宝林骑着马从草堆中飞驰出来，持铁鞭冲向靖德。
1:9:27|1:9:30|宝林在马上，居高临下地对他说。
1:9:53|1:9:59|[宝玲]侧身下马，站在地上，直视靖德，下一秒便冲上前去。
1:9:59|1:10:18|靖德曲起左手，用右手抵抗，正在二人近身对抗时，不远处的山崖上，突厥可汗早就埋伏了一群士兵，二人丝毫没有察觉，靖德在对抗[宝玲]时问，[宝玲]甩开靖德，气愤地说道。
1:10:24|1:10:27|[宝玲]瞬间被激怒，靖德被打到一旁。
1:10:51|1:11:11|就在父子二人争论时，程咬金被吊在树上大喊阵，演出[李世民]率领的唐军，军鼓大阵，号角齐鸣，[李世民]拔剑鼓舞士气，将士们振臂高呼，攻打突厥军队，突厥士兵冲上来迎战，两军交战，将士势均力敌，战况激烈。
1:11:11|1:11:13|让人看得惊心动魄。
1:11:13|1:11:20|而树林中，被挂在树上的[程咬金]，看着树下打斗的[靖德]与[保龄]，仍然高呼转。
1:11:25|1:11:30|突厥士兵早在远山上布阵埋伏，拉弓瞄准。
1:11:30|1:11:34|而山脚下，[保林]将[静德]的武器钳制在树干上。
1:11:46|1:11:50|武器将树干划出一道裂痕，[保林]将[静德]推到树上。
1:11:58|1:12:2|[近德]喊心，[保林]冲[近德]的头上砸下铁鞭。
1:12:2|1:12:6|画面在此危急时刻，转回两军交战的场面。
1:12:6|1:12:9|[李世民]被几个突厥骑兵围攻。
1:12:9|1:12:14|混战时钟，倒下的士兵被重重地推到唐军战鼓上，随后倒在地上。
1:12:17|1:12:31|[李世民]仍与突厥军奋战，而树林的深处，[保林]挥鞭的手却在最紧张的时刻停下，突厥可汗在山上将二人的举动尽收眼底，[保林]转过身去，望着天空。
1:13:1|1:13:6|[苏玉梅]缓缓停下马，挡在可汗与靖德父子中间。
1:13:6|1:13:9|他居高临下地瞪着突厥士兵，举起鞭子。
1:13:9|1:13:16|[苏玉梅]指着众士兵，最后瞪着可汗。
1:13:16|1:13:19|[苏玉梅]挥鞭抽射兵，可汗手持暗器射中[苏玉梅]。
1:13:27|1:13:30|宝玲跪坐在一边，[苏玉梅]神情痛苦。
1:13:33|1:13:45|[苏玉梅]的嘴角流下鲜血，她难受又深情地看着靖德，[苏玉梅]用尽力气缓缓抬手，想要握住靖德的手，却只能轻轻触碰，无力抓住。
1:13:45|1:13:51|最后，她耗尽了全身的力气，嘴角鲜血滑落，痛苦地闭上眼睛。
1:13:55|1:14:3|宝玲抽出[苏玉梅]身上的小暗器，仔细端详着小梳子般的尖锐暗器，这才恍然大悟。
1:14:3|1:14:7|她瞪着突厥可汗，可汗表情阴险诡异。
1:14:7|1:14:11|宝玲站起身，举起暗器，对峙可汗道。
1:14:23|1:14:32|保林揭露真相后，[尉迟恭]狡猾地笑了，他缓缓开口。
1:14:32|1:14:40|突厥[克罕]挥刀冲向保林，保林也持鞭冲向他，竟得将胸前插入的箭矢折断，援助保林。
1:14:42|1:14:48|突厥士兵逃跑，父子二人将可汗逼到此前被划裂的大树旁。
1:14:48|1:14:55|可汗的刀插在树上，[苏玉梅]蹲下，手持铁鞭将他环抱在树干上。
1:14:55|1:15:5|保林剑撞，重击可汗胸膛，像是伐木一般，一边又一边，树干已然断裂，可汗的背部也如断裂一般。
1:15:5|1:15:8|随着保林的最后一击，与树干一起，弯折倒地。
1:15:20|1:15:23|[克罕]口吐鲜血，被保林杀死。
1:15:23|1:15:30|保林与[苏玉梅]负责二人终于解除隔阂，二人眼中饱含深情，真切对望。
1:15:46|1:15:53|二人共同看向了树上被挂着的程咬金，保龄无奈地被逗笑了，上前救下程咬金。
1:15:53|1:16:1|入夜，结束大战的父子二人一同回到[苏玉梅]家中，二人的铁鞭一起摆在架上，十分温情。
1:16:2|1:16:6|竟得坐在窗前，[苏玉梅]在其身后坐着。
1:16:6|1:16:10|[苏玉梅]小心地为竟得肩上的伤口处抹上药。
1:16:10|1:16:17|竟得目视前方，眼神十分坚定，平静的脸上看不出内心的任何波澜。
1:16:17|1:16:22|竟得就这样静静地感受着父子难得的平静团圆。
1:16:22|1:16:27|[苏玉梅]放下药膏碟后，难受地看着父亲身上的伤口。
1:16:27|1:16:30|父子间的亲情血浓于水，[苏玉梅]终于开口叫道，
1:16:39|1:16:48|第一次听到[苏玉梅]开口喊自己爹，一瞬间，欣喜与感动等复杂的情绪涌上静德的心头。
1:16:48|1:17:5|仔细上完药膏后，[苏玉梅]轻柔地为父亲穿上衣袍，静德紧握贴身的小手帕，神情凝重地看着包裹住的手帕，思绪回到从前，怀念着过世的妻子，第一次见到如此入神的父亲，[苏玉梅]正经微坐在父亲身旁。
1:17:6|1:17:12|看着父亲如此宝贝手中的手帕，[苏玉梅]充满好奇，又疑惑不解。
1:17:12|1:17:21|静得沉默良久，才缓缓开口对[苏玉梅]说道。
1:17:27|1:17:33|静得缓缓伸手将手帕交给宝玲，宝玲盯着手帕，珍重地接过。
1:17:33|1:17:38|她小心地仔细观察，生怕把里面的东西弄坏了。
1:17:38|1:17:41|她仔细端详着，迟迟没有打开手帕。
1:17:41|1:17:49|此时，静得默默离开，留下宝玲一人，给她单独的空间，而宝玲一层层地拨开手帕。
1:17:49|1:17:53|正入神，并未察觉到父亲的离开，宝玲缓缓打开手帕。
1:17:54|1:17:58|才看到手帕内包裹的竟是母亲的一缕长发。
1:17:58|1:18:7|杜乌斯人，这一缕长发被父亲珍惜地绑上了系绳与铃铛，精心地包裹于手帕里，贴身携带。
1:18:7|1:18:12|宝玲这才明白，原来父亲心中一直牵挂着他们母子二人。
1:18:13|1:18:18|想到这里，看着母亲的遗物，宝玲早已潸然泪下，泣不成声。
1:18:18|1:18:24|眼泪浸湿宝玲的脸颊，她用这块手帕轻轻擦拭着泪珠。
1:18:24|1:18:27|夜已深，人至静，只剩寥寥传名。
1:18:27|1:18:33|静德独自在房间里批阅竹简，屋檐上潜伏了几个鬼鬼祟祟的黑衣人。
1:18:33|1:18:39|一行黑衣人皆蒙面持利刃，看不清面容，他们用力气勾住一旁的树枝。
1:18:40|1:19:1|杀时间，几道黑影掠过，跃下房檐，进入静德院内，朝静德房间快步走去，静德察觉屋外异样，合上书简，蒙面人刚好来到静德房门口，一左一右站在门侧，屋内，静德轻声抬起架上的铁鞭往门口走，屋外，蒙面人也举着大刀。
1:19:1|1:19:15|悄悄地靠近静德，屋内一角，屋外一步，紧张刺激，静德猛然打开房门，门外却没有一人，转眼到了第二天，天已大亮，[李世民]只身一人进入玄武门。
1:19:15|1:19:22|乍一看，玄武门内空空如也，正在[李世民]疑惑之际，玄武门绸门关闭。
1:19:22|1:19:30|一转眼，玄武门城楼上却布满了弓箭手，早就设下了重重埋伏，迎接[李世民]的是太子与齐王。
1:19:33|1:19:42|秦王[李世民]与太子李建成齐王李元吉的矛盾终于爆发。
1:19:50|1:19:53|双方在玄武门展开激战。
1:19:59|1:20:5|这就是历史上著名的玄武门之变。
1:20:5|1:20:12|御池[尉迟恭]提着太子[李建成]的头颅走出玄武门，[李世民]百感焦急。
1:20:12|1:20:21|[靖德]将太子的头颅举过自己的头顶，向大唐众士兵展示，虎视眈眈围攻[李世民]的士兵健壮，不敢对[李世民]不敬。
1:20:22|1:20:23|[李世民]登上皇位。
1:20:40|1:20:45|就在战争结束，[李世民]冲地后，一切都因尘埃落定。
1:20:45|1:20:58|可就在一个平常的夜晚，[李世民]已经就寝，阴风阵阵，吹着[李世民]床边的帷幕一直飘荡，屋内的烛光全部熄灭，昏暗的样子显得阴森恐怖。
1:20:58|1:21:5|两个白衣的长发男人缓缓从空中降落在[李世民]床边，一边靠近[李世民]，一边喊着。
1:21:34|1:21:38|[李世民]惊醒，额上全是痘大的汗珠。
1:21:38|1:21:44|原来是[李世民]梦中惊现太子和齐王的魂魄，要扼住他的喉咙索命。
1:21:44|1:21:53|梦中的情景是如此清晰，太子与齐王的面孔却是那样可怖，[李世民]真切地感受到无助与害怕。
1:21:53|1:22:0|他大口喘着气，好不容易从梦中清醒，屋外已有小鸟清脆地暴躁。
1:22:31|1:22:42|程咬金告别[李世民]，夕阳西下，隔天夜里，程咬金冲着[李世民]床榻祈祷。
1:22:52|1:22:57|程咬金告退，靖德与书宝对视后，端正在门外守护着[李世民]。
1:22:58|1:23:6|敬德扛着大刀，书宝举着长矛，二人握紧手中的武器，一整夜都没有丝毫松懈。
1:23:6|1:23:14|寂静的夜晚在二人的守卫中缓缓流逝，太阳逐渐升上去，白昼取代了黑夜。
1:23:14|1:23:22|第二天一早，[李世民]推开房门，神清气爽，一扫往日的疲惫，轻松地伸了个懒腰。
1:23:22|1:23:28|程咬金、敬德、秦书宝三人守在门外，程咬金在门外关切地问道。
1:23:34|1:23:38|[李世民]伸完懒腰，感慨又欣慰地说道。
1:24:21|1:24:25|[李世民]听后，肯定了程咬金的计策，欣喜不已。
1:24:25|1:24:32|御池敬德与秦叔保的画像惟妙惟肖，被贴在[李世民]的宫门外，守护安宁。
1:24:32|1:24:40|从此以后，御池公和秦琼的画像就成了中华门神，并流传民间。
