0:2:18|0:2:24|站在汉子身边的短发男子听完，边蹲下身边从口袋里找小刀，
1:0:45|1:0:51|另一边，伊西开着车载着[日泰]等人，继续向前加速追击着盗猎者，
1:0:53|1:1:1|[尕玉]直直地望着窗外一望无际的荒漠，沉下声问道，
1:1:42|1:2:11|原本的荒漠此时正被巨龙般的风雪狠狠肆虐，方圆百里中，唯一一辆吉普车正成为他疯狂宣泄的对象，车上的三人紧紧依偎在一起，又一阵邪风呼啸而过后，[洛桑]颤抖着从睡梦中惊醒，映入眼帘的是白茫茫的一片，接着他打开车门走了出来，
1:2:12|1:2:28|风雪用能刺穿棉衣的力量向他冲来，没过一会儿[洛桑]的眉毛和胡子就结上了厚厚的霜，然后他无意识地向前走去，眯起双眼目睹着横扫一切的风雪。
1:2:28|1:2:48|此时[平措]来到他身边，原本正要大哭的[洛桑]赶忙用手捂住口鼻，然后低下头小声啜泣。
1:2:48|1:3:3|[平措]看着漫天风雪，咬紧牙关，随后转身一把搂过[洛桑]的脖子，二人就以这样搀扶的姿势，顶着风雪向吉普车的方向艰难迈进。
1:3:4|1:3:16|眼看着风雪越来越大，三人最终决定抛弃车辆，也不再等待[刘栋]前来，背好长枪之后步行前进。
1:3:38|1:3:48|面对[尕玉]的提问，[日泰]无奈地回答道，
1:4:4|1:4:16|原本一动不动盯着荒漠的[日泰]，瞬间扭头看向[尕玉]，此时另一边的县城里，[刘栋]面色阴沉，双手捧着一个塑料大包走下楼梯，
1:4:18|1:4:37|然后他来到了一个废旧的木材厂，天刚蒙蒙亮，原本就很荒凉的周围只能零星听到有狗在叫，而后一个寸头大汉来到[刘栋]面前，递给他一把厚厚的钞票，就用力拽走了那个塑料大包，
1:4:39|1:4:52|接着脚底生烟似的快步离开，边走边回头，生怕[刘栋]会反悔，而[刘栋]只是用钞票敲了敲脑袋，
1:4:54|1:5:3|原来塑料大包正是藏羚羊皮，
1:5:9|1:5:15|[日泰]猛的打断[尕玉]的话，随后将枪扛在了肩上，
1:5:27|1:5:47|望着漫天的乌云，他又说。接着他回过头看着[尕玉]不可思议的眼神，终于承认道，
1:5:52|1:6:8|听此，[尕玉]不再纠结[日泰]是否知法犯法，而是扭过头直愣愣地盯着车的正前方[刘栋]此时用[冷雪]和卖藏羚羊皮换来的钱，满载着一车物资来到加油站，
1:6:10|1:6:22|等到车也加满油，他双臂穿过老板腋下将其用力抱起，微笑着告别后转身绕到驾驶座打开车门启动了车辆。
1:6:23|1:6:31|另一边[日泰]等四人在汽油用尽后，隔着老远发现前方雪山下有一辆吉普车，
1:6:33|1:7:4|他们先是按兵不动，然后[日泰]从兜里掏出了一把手枪递给了[尕玉]，接着四人持枪，一点点向吉普车的方向靠近，没一会儿他们就弯腰绕到了车后，但很快就发现车内空无一人，于是[伊西]将长枪背在身上，然后打开车前盖检查发动机，[巴丁]则来到车尾敲击着油箱，
1:7:5|1:7:21|原来这辆车不仅没油，甚至连发动机也报废了，因此二人转身走到[日泰]身边，接着就看到他正摸着地上的脚印，此时一阵大风刮过，
1:7:28|1:7:41|面前连绵的山脉像长矛一般直指苍穹，山峰更是因为云朵的遮挡时隐时现，[日泰]吩咐完找点食物就开始整理枪械，
1:7:45|1:8:0|[巴丁]说完拿起枪瞄准不远处的野兔后，利落的扣动扳机，此时[尕玉]看到[伊西]熟练地装填子弹，开口问道。
1:8:51|1:9:5|话音刚落，[伊西]就将一条血淋淋的兔腿举到了[尕玉]面前，看着还带有皮毛的生兔肉，[尕玉]小心翼翼地接过。
1:9:6|1:9:27|[日泰]瞧他皱紧眉头一脸痛苦，笑了笑后劝他赶紧吃下，于是[尕玉]鼓足勇气张开嘴，用牙齿撕扯下一片生兔肉，看他强忍腥味，五官蜷缩在一起闭眼吞下，[日泰]和伊西没忍住笑出了声。
1:9:27|1:9:41|接着[尕玉]从嘴里捏出了一根毛，将兔腿让给了巴丁，另一边加满汽油装满物资后，[刘栋]就轰响油门向花土沟的方向进发。
1:9:42|1:9:55|途经一座荒山时，吉普车的左前轮突然陷入山前的沙地，高速运转的轮胎不仅没能让车抽身，反而更加深陷。
1:9:56|1:10:4|无奈之下[刘栋]只得推开车门下车，低头看了看前轮后，扭过头就向车尾走去，
1:10:6|1:10:20|他双手用力将固定着物资和备用轮胎的麻绳一圈圈松开，等到没那么牢固之后，率先将放在车厢顶层的轮胎小心取下，靠在了车边。
1:10:21|1:10:52|接着拿起两箱方便面和一袋棉被转身走向车前，原本打算减轻车身重量从而抬出左前轮的他突然双腿一软，整个人矮了半身，走近一看，原本平整的沙地不知何时竟冒出一个大坑，而且坑严丝合缝地卡住了[刘栋]的下半身，更恐怖的是他越挣扎下陷的速度也就越快，
1:10:53|1:11:6|转眼间沙子就淹到了他的胸口，任凭他再怎么用双臂撑着坑前，坚硬的沙地也没能阻止自己往下掉。
1:11:6|1:11:23|此时[刘栋]的胸膛逐渐被严重挤压，每呼一次气，胸腔内的容量就减少一些，终于他忍不住咳了出来，但坑下仿佛有一只无形的大手将他狠狠地扯了下去，
1:11:25|1:11:53|慢慢的，沙子没过了[刘栋]的脖子，但他仍不肯放弃双手高举紧紧捏住坑边的沙子，可惜奇迹没能出现，最终[刘栋]面朝上张开大口，眼睁睁看着自己被沙坑活活吞下，更让人诧异的是，蠕动的沙坑将它淹没后，竟然很快又恢复如初，
1:11:53|1:12:11|和一旁的沙地毫无两样，此时突然让人想起之前平措说过的故事，这很可能就是让北京那个地质学家失踪的流沙，前后不过短短一分钟，一条鲜活的生命，
1:12:11|1:12:21|就这样悄无声息地离开了。荒凉的沙地上，两箱方便面和一袋棉被凌乱地洒落在车边，
1:12:23|1:12:34|周围静悄悄的，只有[刘栋]挣扎时产生的灰土盘旋在空气当中，敞开车门的吉普车也孤零零地立在山前。
1:12:35|1:12:44|倘若后来者经过此地，恐怕只会庆幸找到一车物资，怎么也不会想到脚下曾埋过活人。
1:12:45|1:13:2|另一边，洛桑一行三人拖着饥寒交迫的身子，艰难地翻过雪山，越过冰壶后又横穿沙漠来到了公路旁，见到有车经过，洛桑甩下枪就振臂高呼，
1:13:2|1:13:10|哪料对方不仅没停下，甚至还加速向前开去。夕阳
1:13:10|1:13:43|依旧像火焰般吞吐在广袤的沙漠上，轮胎卷起漫漫黄沙，瞬间将三人淹没其中，一直遭遇相反的则是[日泰]一行人出发的第十七天，在荒山脚下简单吃下兔肉后，四人迈开步向山上爬去，不巧的是原本烈日炎炎的天气突然风雪交加，变幻不定的寒风几乎将众人掀翻，
1:13:44|1:14:13|巴丁和洛桑急切的想要跟上前方的[日泰]和达瓦，但无奈脚步越来越沉，只能含着肩膀抱住长枪一点点挪动着，更糟糕的是在风雪的呼啸中，二人竟一个一个地斜着倒下，又因基本睁不开眼，[日泰]和[尕玉]只能靠感觉前行，因此根本没有察觉到后方二人的情况。
1:14:13|1:14:18|此时雪下得更紧了，
1:14:18|1:14:28|刀割般的风也不断向二人袭去。好在他们屏住呼吸，埋头逃出了让人喘不过气的半山腰，
1:14:29|1:14:38|又向上走了大约半天的距离，之前让人深恶痛绝的烈日和干旱瞬间让二人感到十分温暖。
1:14:39|1:14:52|接着[日泰]和[尕玉]互相搀扶，翻过一座小山头，背好长枪后右弯下腰，撑起了膝盖向来时的路望去，
1:15:0|1:15:11|[尕玉]刚喘着粗气说完，[日泰]就看到从前方山坡处走下来了不少人，带到对方逐渐靠近，才发现是来者不善。
1:15:12|1:15:19|很快，12个手持长枪的年轻男人就将二人包围，并统统瞄准站在最前方的[日泰]，
1:15:21|1:15:55|接着，一个人上前卸掉他背在肩上的长枪，迫于对方的威胁，[日泰]并没有轻举妄动，而是环顾了一下四周，然后就发现了一张熟悉的面孔，[马占林]吸吸鼻子回答道，说完，[日泰]看向[马占林]身边的男子。
1:15:57|1:16:2|此时老板从烟盒里拿出一根烟递给了[日泰]，[日泰]一把推过他的手，
1:16:32|1:16:42|[日泰]眼睛眨也不眨，干脆拒绝。老板低下头斜斜地笑着，
1:16:49|1:17:20|众人一听以后要去当巡山队员，瞬间笑出了声，于是[日泰]立刻一拳将老板揍趴，哪料此时一声枪响，[日泰]瞬间倒地，接着老板站起来问，一个年轻男人哆嗦着回答，于是老板立刻来到他面前卸下他的枪后，狠狠敲了下脑袋，随后将其踹倒在地，
1:17:23|1:17:42|接着老板转身走到[日泰]身边，看他还在不断抽搐，伸手从手下的胸前扯下了长枪，子弹上膛，将枪口对准他的胸腹部连开两枪，沉闷的枪声响彻云霄，
1:17:42|1:17:49|鲜血迸溅，躺在地上的[日泰]就这样结束了生命。接着
1:17:49|1:17:57|老板将枪甩给手下，率领众人扭头就走，不远处[尕玉]被三个男人按压跪在地上，
