0:2:22|0:2:31|夕阳映在长城边上，[梁笑笑]趴在墙边，[秦奋]拿着钻戒单膝跪地。
1:4:0|1:4:4|[梁笑笑]安慰[秦奋]，又像是在安慰自己说，
1:4:14|1:4:20|终于她绷不住了，悲和喜在脸上上演着，她控制着自己的嘴角。
1:4:22|1:4:35|[梁笑笑]惨淡一笑，[梁笑笑]狠咬了一口[秦奋]，[秦奋]倒是没有躲闪，这个时候他还能宠着[梁笑笑]。
1:4:36|1:4:45|[梁笑笑]发泄完心中的苦闷，泪流满面的她还是挤出笑容。
1:5:4|1:5:9|她皱着眉，红着眼睛，流着泪，她知道自己舍不下。
1:5:18|1:5:37|最后的最后，[秦奋]还是不忍惹她生气，[笑笑]思忖着[秦奋]的话，她转身扑到[秦奋]的怀里，[秦奋]轻轻地搂着她。
1:5:37|1:5:47|[秦奋]此刻的内心异常的平静，当他接受了沙滩上好感的说法时，就知道结局如此。
1:6:11|1:6:29|屋顶的风扇轻轻转着，风扇下的人相互依偎，窗外此刻下起了大雨，像是填补了两个人的对白。雨水落在阳台，落在树林，也落在那漂亮的木质楼梯上。不知这雨下了多久，[笑笑]也不知道睡了多久。
1:6:29|1:6:44|她迷迷糊糊地从床上醒来，发现自己吃赤着上身，她又回想了一遍当时的情景，记忆里她最后是哭累了才睡着的。当然，醒在床上倒也不意外，[笑笑]早已习惯被他照顾的感觉。
1:6:44|1:6:53|[笑笑]撑着身子爬起床，用被子裹着身子挪向床边，这双脚刚一挨地便觉得异样。
1:6:53|1:6:59|她抬脚查看，脚掌所有的伤口都已被创可贴包裹得严严实实。
1:6:59|1:7:4|[笑笑]抬眼不见衣服，索性将被子像浴袍一样裹着下了床。
1:7:7|1:7:13|她有些蹒跚地来到空无一人的客厅，长长的被子拖在地上，像极了裙摆。
1:7:13|1:7:22|披散着头发的她像是古罗马神话中下凡的女神，她张望着不见[秦奋]的身影，便坐到沙发椅上。
1:7:22|1:7:29|忽然，她瞥到一旁桌柜上有张扎眼的白纸，冥冥中，她已经猜到白纸上的字。
1:7:30|1:7:37|她仍上前拿起那张纸，正是[秦奋]留下来的信，她仔细读起来。
1:8:2|1:8:10|[梁笑笑]看到这儿，转身坐在地上，抱着膝盖，怅然若失地看着窗外。
1:8:56|1:9:17|飞机驾驶员推动操纵杆，顺利起飞后，飞机翱翔在山河上空。飞机穿过云层，即使是被云遮住的阳光却仍然光芒万丈。
1:9:17|1:9:28|靠近飞机仔细看，不难发现飞机窗户前[梁笑笑]那美丽的人影，此刻的她正单手撑着下巴，平静中带着点忧郁地看着窗外。
1:9:28|1:9:39|飞机滑过云层近影，朝着远处那片灯火璀璨飞去。
1:11:24|1:11:32|[梁笑笑]神色黯然地坐在机场大巴里，看着大巴上转播的节目，她情不自禁地想念起那个人。
1:11:32|1:11:38|公司的休息区，轩轩、[秦奋]坐在两边，中间的[李香山]看着屏幕上的照片说，
1:13:28|1:13:34|一旁的轩轩感到不明觉厉，[秦奋]端着咖啡看着[李香山]，[李香山]不自在地起身。
1:13:48|1:14:4|[秦奋]盯着[李香山]正经地发问，轩轩有些惊讶地瞪着眼睛，她倒也没犹豫，合上本子，抱起电脑起身离开。
1:14:7|1:14:16|这话说给轩轩，但也是说给[秦奋]听，轩轩虚心接受，转而赶紧小跑离开。
1:14:16|1:14:31|[李香山]回到沙发上，下午时分，一辆迷你汽车开进北京时尚设计广场，车上两位正式[芒果]和[梁笑笑]。
1:14:31|1:14:41|这个点未到下班的时候，行人、车流都稀稀落落，都回到同一城市的两个人自然少不了相聚，汽车载着两人径直去他们订好的酒店。
1:14:42|1:14:51|北京的天气不比三亚，不同上次相聚，这次两人都换上了长裤，饶是如此，也难以遮盖两个美女同行的光芒。
1:14:59|1:15:5|他们将包随手放在旁边的空椅子上，便落了座。服务员分别给两位递来菜单。
1:15:7|1:15:15|[芒果]有些不快地翻看着，她突然开口道，
1:15:25|1:15:43|暮色笼罩，这座城市的夜生活开始了。在热情的欢呼声中，豪车上的青年才俊下车，他们朝着相机镜头打招呼、拍照，
1:15:43|1:15:52|热情的声浪为他们的出场欢呼雀跃。各式各样的豪车相继停下，这场名为“冰川融化,地球灭亡”的慈善晚会，
1:15:52|1:15:59|又将是大型得名利场，最后一辆低调的黑色奔驰下来的，正是[李香山]和[秦奋]。
1:15:59|1:16:8|[秦奋]来到这种场合还是有点发怵，相比[李香山]就熟稔多了，他揽住[秦奋]的肩膀，两人勾肩搭背进了会场。
1:17:14|1:17:22|50万的天价拍下一瓶酒，名叫馨予的美女在掌声中踏过红毯，赠来洋酒，完了还跟[李香山]来了个拥抱。
1:17:31|1:17:37|香山无奈地看了眼[秦奋]。
1:18:13|1:18:29|[芒果]拿起戒指仔细看了看那颗象征爱情的钻石，说着，又将钻石还给了[梁笑笑]。
1:19:1|1:19:22|[梁笑笑]等着下文，想到这些，[梁笑笑]就头疼，她用力弄乱头发，[芒果]被她逗乐了。
1:19:28|1:19:35|而这时，酒店门口那辆奔驰车停下，所谓无巧不成书，[李香山]和[秦奋]也到了这个地方，
1:19:35|1:19:42|也许这曾是他们都还没有分开时常来的地方。用餐高峰的餐厅可以说是人满为患，
1:19:43|1:19:51|服务员带路，两人来到室外的桌子旁，而这一墙之隔的里面坐着的就是[芒果]和[梁笑笑]，
1:19:51|1:19:54|倒是谁也没有看到谁。服务员拿来菜单，
1:20:10|1:20:14|说完，[李香山]便急不可耐地拧开了这瓶天价酒。
1:20:14|1:20:25|他起身给自己倒上，他端起杯子仰头大灌，他含着酒，满意极了，点头说道，
1:20:31|1:20:34|[李香山]专心倒着酒没有接话。
1:20:34|1:20:42|两杯倒满后，他放下酒杯坐好，抿着嘴看着[秦奋]。
1:20:43|1:20:56|[秦奋]则是惊异地瞪着眼睛，[李香山]脱下皮鞋又拽下袜子，脚背上有块纱布包裹着，[李香山]小心翼翼地揭开纱布，里面是一个巨大的黑痣，约莫一元硬币大小。
1:20:56|1:21:7|他抬脚踩在[秦奋]的椅子上，见[秦奋]不明白，[李香山]解释说，
1:21:8|1:21:16|[秦奋]摇头。说到这儿，[李香山]反而笑了，[秦奋]这才谨慎地看去。
1:21:27|1:21:35|[李香山]无奈地笑着，重新将纱布包好。[秦奋]只是这么静静地看着他，消化着[李香山]带来的噩耗。
1:21:49|1:21:58|[李香山]端起酒杯十分平静，[秦奋]倒是瞪大了眼睛着急起来，[李香山]坦然地笑着，
1:22:16|1:22:22|[秦奋]仍然不能释怀，所有人都在琢磨怎么活，这个人却琢磨怎么死。
1:22:35|1:22:41|说完，[秦奋]端起面前的酒一饮而下。
1:22:42|1:22:53|烈酒过喉，[秦奋]长出一口气。[秦奋]也接受了这件事儿，转头问[李香山]，
1:22:59|1:23:4|[李香山]等的就是这句话，他眉开眼笑地坐起身子，
1:23:32|1:23:39|[李香山]说到这儿又笑了，他咂着嘴回忆了一下，
1:24:1|1:24:13|听到这儿，[李香山]的脸色一变，他神情不悦地盯着[秦奋]，半晌没有说话，过了一会儿又低头思忖起来，[秦奋]有些心慌地看着[李香山]，生怕[李香山]抱憾终身了。
1:24:13|1:24:20|对于父亲来说，女儿这两个字太致命了。
1:24:40|1:24:48|但又想到女儿还那么小，做父亲的不由掩面流泪，[李香山]皱着眉，调整了许久的情绪。
1:25:22|1:25:38|[秦奋]眼里隐约闪着泪光。[秦奋]硬是挤出了个笑容，[李香山]咂着嘴继续说道，
1:25:42|1:25:50|酒店楼下已是深夜时分，楼上两对旧人酒也喝到了后场。
1:25:51|1:25:58|服务员递过了记账单，[芒果]看了一眼，把卡别到架子上递给服务员。
1:26:4|1:26:9|[梁笑笑]朝着洗手间走去，这一去可就出了事儿。
1:26:13|1:26:22|刚要推门进去的[梁笑笑]突然听到动静，她看到洗手池旁颓坐着一个男人，那锃亮的脑袋一下子就吸引了他。
1:26:22|1:26:31|[梁笑笑]缓步走上前，将信将疑地看着，确认后轻声问道，[秦奋]迷迷糊糊地抬起头。
1:26:31|1:26:37|他定神看了看眼前的人，嘴里不知道嘟囔了一句什么。
1:26:38|1:26:44|他摇摇晃晃地抬起手，搭在[梁笑笑]的肩膀上。
1:26:44|1:26:53|这话听的[梁笑笑]是一头雾水。
1:26:53|1:27:6|他这才把搂着[梁笑笑]的手抬起来，
1:27:38|1:27:50|外面，[芒果]接过服务生送来的银行卡，收拾好两人的包。与此同时，坐在室外的[李香山]也倒空了最后一滴酒，他张望了一番，不见[秦奋]的人影，便撑着椅子起身，
1:27:50|1:28:1|摇摇晃晃地朝着酒店里面走去。正巧路过了在包里翻找东西的[芒果]，他倒是喝太多没注意到，
1:28:1|1:28:10|[芒果]低头整理包，也没看到[李香山]。[李香山]直愣愣杵着，东张西望，他招呼服务员打算找[秦奋]。
1:28:12|1:28:19|[芒果]听出他的声音，[李香山]停在原地，[芒果]笑着上前，
1:28:29|1:28:48|[李香山]双眼迷离，笑容更盛了，还是熟悉的人熟悉的问候。[芒果]笑吟吟地看着他，两人就这么脸贴脸地站在一起，[李香山]突然抱住[芒果]。
1:28:50|1:29:0|画面一转，来到夜店，年轻人们踩着动感的节奏，沐浴在彩色的灯光中。他们摇摆着身子，沉浸其中，用力挥发着身上的荷尔蒙。
1:29:0|1:29:13|彩色大屏旁的沙发上坐着四人，[李香山]端坐着，[芒果]搂着他的胳膊，[秦奋]则是侧躺在沙发上，枕着[梁笑笑]的腿。四人面无表情，显得和周围热烈的气氛格格不入。
1:29:13|1:29:21|[李香山]像一幅挂画一样丝毫不动，[秦奋]抱着胳膊已经睡着了，几人将充耳不闻体现的淋漓尽致。
1:29:21|1:29:25|人生如宴席，再热闹也有散的一天。
1:29:26|1:29:34|黎明时分，天边刚散出一点阳光，豪华KTV的包厢内，吧台上摆满了各式各样、稀奇古怪的酒。
1:29:34|1:29:40|本该热闹的地方却显得格外宁静，百来平米的包厢内空空荡荡，
1:29:40|1:29:45|巨大的榻榻米也显得孤零零的。而[秦奋]还是躺在[梁笑笑]的腿上睡觉，
1:29:45|1:29:51|[梁笑笑]则是撑着胳膊，安安静静地陪着他。又是买醉，又是一宿没睡，
1:29:51|1:29:57|这样的玩法就是年轻人也顶不住。兴许是姿势不舒服，[秦奋]动了一下脑袋，醒了。
1:29:58|1:30:13|[梁笑笑]当即便察觉到了，[秦奋]晃了一下脑袋，看看周遭说道，
1:30:20|1:30:23|听到这儿，[秦奋]撑着身子起来。
1:30:23|1:30:30|毕竟是分开了，谁也不想再去亏欠谁，[秦奋]两个手搓着脑袋。
1:30:46|1:30:53|两人比普通朋友还要客气，虽说是坐在一个沙发，但中间空出来的位置足够再坐两个人了。
1:30:53|1:30:59|[秦奋]没发现自己手指还戴着一个戒指，正是长城上求婚的那个。
1:30:59|1:31:6|他摘下戒指，端详着看了半晌才说话，
1:31:8|1:31:16|[梁笑笑]没有回答这个问题，她放松地靠在沙发上伸了个懒腰。
1:31:28|1:31:46|[秦奋]还保持着先前的动作，抓着戒指紧盯着，[梁笑笑]偏过头，伸手拉起[秦奋]的手，[秦奋]这才放下戒指，两人十指相扣。
1:32:45|1:32:56|公墓上空，洒着细雨，[秦奋]撑着一柄伞跟在[李香山]的背后。[李香山]停下脚步，双手插兜说道，
1:33:52|1:33:55|[李香山]疲惫而用力地笑着，看向[秦奋]。
1:33:59|1:34:6|都这时候了，[李香山]哪还在乎这个，心里能痛快就痛快点。他颤巍巍地坐在淋湿的石墩子上，
1:34:6|1:34:15|接着用双手握住[秦奋]的手，整个身子朝着[秦奋]靠来，[李香山]的脑袋贴着[秦奋]的肚子，他虚弱极了。
1:34:17|1:34:25|两句话像是耗尽了他的体力。
1:34:31|1:34:40|他的身体越来越差，说一句话就得喘三口气儿。
1:34:42|1:34:50|[李香山]索性头也不抬，只是扒着[秦奋]的胳膊说道，[秦奋]隐隐明白了他的意思。
1:34:52|1:34:58|[李香山]暮气沉沉的双眼突然有了神，他硬撑着坐起身来，昂头看着[秦奋]。
1:34:58|1:35:6|[秦奋]撑着伞，单手摁住他的肩膀，两人就这样在雨中对视着。
1:35:10|1:35:17|[秦奋]戴着帽子，撑着伞的样子有些滑稽。
1:35:20|1:35:24|趁着还能动，[秦奋]履行承诺，带着[李香山]去往了三亚。
1:35:24|1:35:34|这天，三亚的机场里，[梁笑笑]刚下飞机拉着行李走过来，一个拉着行李箱的日本人从他面前穿过，道了声抱歉。
1:35:35|1:35:42|[梁笑笑]有些惊异地瞥了一眼，那个匆忙的路人似乎有些眼熟，她快步跟上去。
1:36:0|1:36:8|尖锐的反问让[梁笑笑]只能把目光移开，这一刻她明白自己连熟人都算不上。
1:36:8|1:36:15|所谓“散买卖不散交情“，那是没有爱过的人才能做到的。追悼会现场下起了大雨，
1:36:15|1:36:21|追悼厅里，宾客已经落座，一面墙上挂着[李香山]的海报，还有一些独白。
1:36:21|1:36:28|海报前的长桌上摆满了鲜花，台下坐着二三十名宾客摇着折扇。
1:36:28|1:36:33|[秦奋]走上台，靠着长椅，背对来客，自顾自地看着海报。
1:36:33|1:36:40|调整好情绪的他转过身，摘下鸭舌帽，他眼神轻松地扫过台下的来客，随后说道，
1:37:59|1:38:4|[李香山]听着，眼中隐隐闪着泪光。
1:38:7|1:38:14|[川川]听到这儿，不禁鼻子一酸。
1:38:25|1:38:29|[川川]含泪嗔怪着他，[秦奋]笑着点点头。
1:38:38|1:38:52|阵阵微风吹来，蜡烛轻轻摇曳着，[李香山]拉起女儿的手握在手心。
1:39:14|1:39:16|[李香山]释怀地笑着说道，
1:39:17|1:39:26|门口写着“[李香山]人生告别会“的路牌上倒映出一辆越野车，车上走下一个穿着军装的男人。
1:39:26|1:39:36|他撑着雨伞快步绕到副驾驶门前，打开车门后，搂着[芒果]朝这边走来。门口等候多时的[秦奋]看着二人大步走来，
1:39:36|1:39:43|[芒果]怀里捧着鲜花，临近了给了[秦奋]一个大大的拥抱，一旁的海军男友忙着收伞，
1:39:43|1:39:50|[芒果]则趴在[秦奋]肩头啜泣。追悼厅内，
1:40:13|1:40:21|[邬桑]从出租车跑下，[秦奋]急忙为其撑伞。
1:40:36|1:40:41|[邬桑]挎好包朝里面走去，[秦奋]看着湿透的[笑笑]，半晌说不出话。
1:40:54|1:41:4|[秦奋]拍着[笑笑]的肩膀说着，说完，他轻揽着[笑笑]撑起雨伞，迈步朝里走去。
1:42:12|1:42:17|[芒果]听着有些动容。
1:44:18|1:44:24|听到这里，台下无不动容流泪，[邬桑]轻搂着[川川]。
1:44:41|1:44:49|[川川]怯生生地看着父亲，台下的[笑笑]红着眼睛擦着鼻子，泪水不知从她脸颊淌过几遍了。
1:45:34|1:45:40|听到这里的众人更是神色黯然，不由得低下头，[芒果]也掩面，而泣。
1:45:57|1:46:8|凡是过去，皆为序章。到了告别仪式的最后阶段，宾客们端起了酒杯，放下了花束，一一朝着[李香山]告别。快掉光头发的男人
1:46:8|1:46:12|凑在[李香山]耳边亲身嘱咐，[李香山]努力回应着。
1:46:18|1:46:26|接着，来敬酒的是女下属。
1:46:32|1:46:37|而后，轩轩端着酒杯蹲到[李香山]身边。
1:46:56|1:47:1|轩轩努力克制着眼泪和[李香山]碰杯，
1:47:3|1:47:9|她仰头一口喝下，起身不舍地离开。轩轩前脚刚走，[芒果]又走过来，
1:47:9|1:47:15|而后还跟着[芒果]的新男友。[芒果]一手轻轻拉着[李香山]，另一手揉着他的头发，
1:47:15|1:47:23|[李香山]握着她冰冷的手，按在自己的额头。
1:47:35|1:47:42|[李香山]欣慰地握着[李坚强]的手，看着他。[李坚强]坚定地答道，
1:47:56|1:48:2|说着，[李香山]拍着[李坚强]的手背嘱咐着。[李坚强]用力地握了握他的手，
1:48:2|1:48:9|把时间留给[芒果]，[芒果]蹲下身来，[李香山]用力调整好坐姿。
1:48:38|1:48:41|说着，[李香山]伸手去擦[芒果]脸上的泪珠。
1:48:41|1:48:50|[芒果]忍不住把头埋在[李香山]胳膊里痛哭，[川川]则是别过头去。[秦奋]这时候走上前打断道，
1:48:54|1:49:0|[芒果]起身让开地方，[李香山]努力得和[梁笑笑]握手。
1:49:4|1:49:9|[芒果]看了眼身边的[秦奋]，
1:50:3|1:50:11|话已至此，不论是[梁笑笑]还是另一边的[邬桑]都已经泪流满面，[川川]趴在轮椅上痛哭。
1:50:15|1:50:30|[川川]横抹了一把眼泪，抬起头看着[李香山]。[梁笑笑]赶紧推着[秦奋]离开，
1:50:30|1:50:39|把最后的时间留给这对父女，大手紧紧握着小手。台下众人安安静静地坐着，
1:51:41|1:51:51|[川川]靠在了父亲的肩头，[李香山]轻轻亲吻着她的额头。
1:51:51|1:52:2|下午的港口停满了船舶，夕阳洒下，给海面镶上了金边。一辆饱经风雨的渔船慢慢驶出，向着远处驶去。约莫傍晚时分，
1:52:2|1:52:10|渔船便来到一处安静的海面上，它静静地航行着，承载着一个人的人生，朝着终点而去。
1:52:16|1:52:24|甲板上[李香山]挂着围巾，平静地看着海面，[秦奋]还是老样子，他撑着伞站在轮椅后面。
1:52:24|1:52:39|广阔的海面，远处水天相接，小小的一艘渔船，不过沧海一粟，除了渺小之外，只剩下渺小。[李香山]耷拉着手，眯着眼睛看着海水，神态格外的安详。
1:52:46|1:52:56|他说起话来像个暮气沉沉的老人，[秦奋]低下头看着他，轻轻按住他的肩膀，[李香山]费力地抬手，轻轻拍着[秦奋]的手背。
1:52:56|1:53:2|[秦奋]收起雨伞，扶了把轮椅朝着船舱走去，他也只能送到这儿了。
1:53:7|1:53:13|[秦奋]失了神似的回到船舱，他侧身看着窗外，手紧紧握着围栏。
1:53:15|1:53:21|[李香山]跳海了，[秦奋]脑袋靠着窗框，久久不敢回头。
1:53:21|1:53:32|他最好的朋友就这样结束了生命，即便前期有那么多的铺垫，在这一刻，他心里仍旧难以释怀。他像是被抽走了灵魂一样，
1:53:32|1:53:40|痴呆地看着窗外。用力握着的手已经隐隐发白，甲板上空空的轮椅诉说着一个生命的过往。
1:53:40|1:53:44|正如那句话所说，人生不过一场修行。
1:53:44|1:53:51|在这场漫漫旅途中，一切名望、金钱通通在死亡到来的时候与你无关。
1:53:51|1:53:58|而在获取这些身外之物的时候，所有的经历都将成为你灵魂的一部分。
1:53:58|1:54:11|无论怎样的人生剧本都会经历艰辛和苦难，难得的是应对此番修行的磨难时，怀抱着一颗平和的内心，这也许便是人生的真谛。
1:54:12|1:54:21|这天下午，[秦奋]山间的房子重焕新生，乘着阵阵穿堂风，[川川]正在屋子里擦拭着新搬来的花盆底座。
1:54:21|1:54:28|[秦奋]和[梁笑笑]一人一边抬着花盆走来，木质花盆里是一颗绿萝，
1:54:28|1:54:33|两人合力将这茁壮的绿萝放在底座上。[秦奋]拎起水壶轻轻喷洒着，
1:54:33|1:54:40|[川川]拿起充满生机的叶子朝他喷着水，[梁笑笑]理着[川川]的头发，说道，
1:54:42|1:54:58|[川川]指了指胸口，[梁笑笑]踱步坐到沙发上，[秦奋]也放下水壶，低头走到窗边。
1:54:58|1:55:6|三人似乎各怀心事，沙发椅上的[梁笑笑]隐隐感觉到了什么，但她仍然选择以不变应万变。
1:55:6|1:55:14|[秦奋]撑着桌台，思前想后，他有些踌躇，抬手揉了揉眼睛，倒是希望自己那颗心能安定下来。
1:55:14|1:55:21|[秦奋]顿了顿，还是将柜子打开，他伸手从里面摸出那颗被[梁笑笑]退回来的钻戒。
1:55:21|1:55:30|最后他转过身，两只手似有些紧张地不断地摩擦着钻戒。下定决心后，他看向一旁的[川川]，
1:55:30|1:55:45|他轻声呼唤道，说完，[秦奋]瞥向一旁的[梁笑笑]，而[梁笑笑]像是早知道结局一般，静候着[秦奋]接下来的动作。
1:55:45|1:55:51|只见[秦奋]单膝下跪，手上举起那枚钻戒，对[梁笑笑]说，
1:55:58|1:56:5|刚要套上戒指，[梁笑笑]不满地抽回了手。
1:56:32|1:56:40|[秦奋]顿时眉开眼笑，他兴奋地起身在[川川]额头亲了一口。
1:56:42|1:56:49|[秦奋]牵起[梁笑笑]，为她戴上钻戒。
1:56:49|1:56:56|汽车开在回去的山路上，盎然的树木点缀着行程。
1:57:32|1:57:37|后座的[川川]看到二人恩爱的样子，发现了牢骚，[秦奋]转过头说道，
1:57:40|1:57:53|说完，[秦奋]驾着车继续踏上归途。这段山路承载着两人的悲欢离合，好在如今一切都重归于好。关于爱情和婚姻，不论是[秦奋]还是[梁笑笑]，
1:57:53|1:57:58|都有了新的理解。在两人命运的拉扯中，这些又都相互契合了，
1:57:58|1:58:7|属于[秦奋]的这段爱恨情仇到此就告一段落了。
