0:3:58|0:4:3|神秘人物走出来，一把掀开身上的斗篷露出真面目，[龙师傅]大吃一惊。
1:17:22|1:17:30|[小曼]却擦肩而过，拳头重重地打在了[蔡老板]的头上，这是[汤姆]万万没有想到的。
1:17:42|1:17:47|[小曼]发泄完后走向[卢小鱼]，
1:18:5|1:18:23|[小曼]给[卢小鱼]回忆了他们初次相遇的那晚。爆米花机朝她砸过来的时候，她亲眼看到[卢小鱼]本来可以闪躲，但还是义无反顾地冲到了她的面前，替她挡下了爆米花机。[卢小鱼]叹了口气，内心挣扎了片刻，说，
1:18:46|1:19:3|说完[小曼]背对着[卢小鱼]将一只手伸向身后，[卢小鱼]低头看着[小曼]朝他伸过来的手，内心十分纠结，他慢慢伸出了手，但是又停在了半空中，纠结了一会儿之后，他一把握住了[小曼]的手。
1:19:3|1:19:14|[小曼]终于得到了他的回复，微笑着转头看向[卢小鱼]。[卢小鱼]却眼神凶狠用力将她拽向自己，像[小曼]以前对待自己一样，
1:19:14|1:19:22|抓住她的胳膊用力甩向空中，来了一个180度的过肩摔。[小曼]重重的摔在了地上，
1:19:22|1:19:29|此时他好像也和[卢小鱼]一样失去了痛觉，没有了知觉，只是睁着眼无神地看着天空。
1:19:34|1:19:37|[卢小鱼]绝情的说完这句话，[蔡老板]等人紧接着疯狂大笑。
1:19:37|1:19:40|但是[卢小鱼]脸上的眼泪已经出卖了他。
1:19:43|1:19:50|[小曼]绝望地瘫在地上，堕落街的民众呼喊着她的名字，朝她的位置过去，紧接着整条堕落街陷入了黑暗。
1:19:50|1:19:59|[蔡老板]带领着施工队对堕落街进行了彻底的扫荡，[李建国]的烤肉店轰然倒塌，[杰瑞]的小吃店也名存实亡，
1:19:59|1:20:10|反而和膳集团名声鹊起，不仅企业迅猛扩张，而且得到了[汤姆]的加持，报纸上痛批[杰瑞]烧毁秘籍，破坏文化遗产。[蔡老板]清理
1:20:10|1:20:15|脏乱差的堕落街，让他赚得盆满钵满。
1:20:15|1:20:21|而[卢小鱼]则每天混迹在酒吧里，打扮冷艳的女子在他面前晃动着身躯，
1:20:21|1:20:29|暧昧的气息随即笼罩着整个酒吧。[小曼]穿着病号服坐在医院的病床上，面前摆了满满一桌子食物，
1:20:29|1:20:39|她拿起一个甜甜圈咬了一口，又抓着鸡块塞进嘴里，还没等咽下去，又拿起一块汉堡咬了下去，两侧的腮帮高高隆起。
1:20:39|1:20:43|[卢小鱼]的离去让她想起了小时候母亲离开的场景，
1:20:43|1:20:50|她只能大口地吞着食物等待母亲的回来，也等待着[卢小鱼]。但正吃着，
1:20:50|1:21:3|心里的酸涩便一股脑地涌了出来，[小曼]泪如雨下，忍不住嚎哭起来，嘴里还没嚼烂的食物掉了一桌子。
1:21:3|1:21:14|结束酒局的[卢小鱼]一个人呆坐在酒桌前，看着满桌子的残羹剩饭，和医院里的[小曼]一样，他忍不住抽泣起来，眼泪止不住地冒了出来。
1:21:15|1:21:23|他脑海里回忆起暴雨天离家出走的时候，也想起了和[小曼]独处的那一晚，
1:21:30|1:21:34|这一刻开始他似乎明白了[小曼]的那句话。失去知觉的身体苏醒了过来，
1:21:34|1:21:42|心脏开始剧烈地抽搐，疼痛感撕扯着他的神经，将他丢进了满是[小曼]的回忆里。
1:22:7|1:22:29|当回忆里闪现到[杰瑞]和[汤姆]比拼的那一天，他一把将[小曼]摔倒在地上时，他几乎快要无法呼吸，心脏猛烈的抽搐让他忍不住地抓挠着胸口，身子也被迫蜷缩在椅子上，他在满是[小曼]的回忆里昏了过去，等到再次有意识时，他发现自己在哮天的背上。
1:23:47|1:24:1|[杰瑞]所说的厨神正是[卢小鱼]，[卢小鱼]在经历重创后一直遭受心脏病的折磨，他痛得在床上直打滚，哮天看到后悲痛不已，觉得[卢小鱼]会熬不过去。
1:24:1|1:24:13|就这样过了一整晚，黎明终于降临，[卢小鱼]站在使馆上眺望着远处，心脏病意外打通了他的任督二脉，让他获得了超能力厨艺。
1:24:13|1:24:27|清晨刺眼的阳光和公鸡的叫声打扰了哮天的清梦，他揉了揉眼睛，睡眼惺忪地坐起身，看到使馆上站着的[卢小鱼]后立马瞪大了双眼，一时也很快清醒过来，他激动的喊道。
1:24:43|1:24:50|为了稳妥起见，两个人来到附近一家小吃摊，小商贩正吹着口哨，悠哉地准备食材。
1:24:50|1:24:53|哮天却从背后捂住他的口鼻将他拉远。
1:24:53|1:25:4|[卢小鱼]此时来到小吃摊前准备大显身手，他将菜刀扔起，又敏捷地将其接起，
1:25:4|1:25:9|飞向眼前的案板。在他的刀下食材仿佛活了过来，纷纷飞向空中，
1:25:9|1:25:17|还盯着炒勺挥舞着有力的臂膀，身后的二人早已目瞪口呆，没一会儿就做好了一份饭。
1:25:19|1:25:29|[啸天]夹起一筷子塞进了小商贩的嘴里，自己也吃了一口，嚼了两口后两个人吐了出来。
1:25:48|1:25:54|小商贩和[啸天]继续扭打在一起。
1:25:54|1:26:4|[卢小鱼]的内心沉重极了，他听到小商贩的收音机里传来[蔡老板]的声音，[蔡老板]正在发布会的舞台上唱歌，留着爆炸头的主持人在一旁动情地说。
1:26:38|1:26:43|烹饪协会的三位评委来到了现场，他们在工作人员的引领下依次落座，
1:26:56|1:27:5|礼仪小姐先是给董先生送上一束鲜花，又将认证书放在他面前的桌子上，他拔下笔帽准备落笔签字。
1:27:8|1:27:22|穿着汉服的[卢小鱼]吊着突然出现在舞台上空，他朝着[蔡老板]的方向冲了过去，却因为绳子过短卡在了半空中。
1:27:27|1:27:32|放线的工作人员没有把握好力度，[卢小鱼]脸朝地，整个身子拍在了舞台上。
1:27:32|1:27:40|他双手扶地而起，和[蔡老板]面对面对峙着，舞台两侧的舞美见气氛不对，慌忙退下场。
1:27:53|1:27:57|[蔡老板]看向舞台旁的[汤姆]，[汤姆]冲他点了点头。
1:28:8|1:28:15|台下的大批记者就蜂拥而上，将话筒和摄像机对准了他。
1:29:17|1:29:26|刚才还在病房里打麻将的[梅姐]，[李建国]和[勇俊]三人这会儿出现在了现场。
1:31:14|1:31:18|见[卢小鱼]有外援，[蔡老板]忍不住冷哼一声。鱼头摆放在桌上后，
1:31:18|1:31:24|[卢小鱼]胜券在握，他知道自己已经不是以前的[卢小鱼]了，
1:32:8|1:32:14|小商贩又和[啸天]扭打在一起，[卢小鱼]看着自己的双手，用一只手指轻轻碰了一下另一只手的手心，
1:32:14|1:32:25|疼痛感快速蔓延开来，他这才确信自己恢复了知觉，随即一把扯下脖子上有美元标志的项链。项链的影子映射在墙上，
1:32:27|1:32:31|美元标志被撕裂开来，并拆分为一双筷子和字母s。
1:32:31|1:32:35|舞台上的他戴着项链，穿上[小曼]送的衣服。
1:32:46|1:32:50|场上一片安静，唯独[啸天]在观众席上声嘶力竭，疯狂为[卢小鱼]应援。
1:32:50|1:32:55|[卢小鱼]撸起袖子将手放在一个鱼头上，
1:33:4|1:33:14|建国等人看到他的做法都觉得他不正常。[卢小鱼]摸向最后一个鱼头，[汤姆]看到后也觉得不可思议，
1:33:32|1:33:39|[卢小鱼]决定就用这块鱼头，他将鱼头切开，鱼肉周围立马散发出刺眼的光芒。
1:34:43|1:34:56|[蔡老板]在台下止不住的大笑，接下来的一幕让他立马收起了笑容。舞台上快速组装起一个装置，并将鱼头放入进去。
1:35:17|1:35:25|说着飞行器上的导火索被点燃，只见它底部喷出一团大火，浓烟滚滚的也随即散播开来。
1:35:25|1:35:32|飞行器冲破会场上层的玻璃，将鱼头王成功地飞上云霄。[汤姆]大师的盆菜大乱炖已经出锅了。
1:35:59|1:36:5|飞行器突然降落，[蔡老板]的头发被炸开，发丝间还冒着烟。
1:36:16|1:36:28|[汤姆]的盆菜大乱斗和[卢小鱼]的七龙珠鱼头王正式上桌，两道菜的香气散播开来，评委和台下的观众都沉浸在香气中。
1:36:47|1:36:53|董先生的勺子离开七龙珠鱼头王转向了[汤姆]的盆菜大乱斗，其他两位评委也跟着品尝起来，
1:37:15|1:37:36|突然间画面出现了戏剧性的扭转。盆菜的味道持续猛烈地压制着鱼头王的气息，几番较量之后，鱼头王的味道还是没能起死回生，被盆菜的味道压了下去，原本美味无比的鱼头王此刻也不过是小鱼干的味道。
1:37:42|1:37:51|三位评委毫不留情地吐槽了鱼头王的味道，[蔡老板]似乎是计谋得逞，诡诈的笑浮现在他的脸上。
1:37:56|1:38:7|三位评委依旧在吃着盆菜，这一幕是[汤姆]完全没有意料到的，对于这样的结果，[卢小鱼]等人十分疑惑。
1:38:7|1:38:14|几个人走下台一一品尝了鱼头王的味道。
1:38:16|1:38:30|[卢小鱼]舀起一勺[汤姆]的菜将它放进嘴里，瞬间他觉察到不对劲，口腔里满满都是化学添加剂的味道。[蔡老板]凑近他的耳边悄声说，
1:38:49|1:38:56|[蔡老板]故意将暖水瓶里的热水倒在[卢小鱼]的胳膊上。
1:39:19|1:39:37|[小曼]推着坐在轮椅上的[杰瑞]来到了发布会上，但两人被保安拦在了门外，争吵之余她恰巧看到了[卢小鱼]，[卢小鱼]被四个人压进后厨，并用厚重的铁门将他锁了起来。
1:40:4|1:40:11|[小曼]不知何时端着一些辣椒酱来到了现场。
1:40:34|1:40:50|画面转到了[卢小鱼]所在的后厨，此刻的他正徒手搅拌着辣椒酱，辣椒进入肌肤带来的疼痛让他满脸是汗，也让他回想起了小时候，母亲也是以同样的方法制作辣椒酱，
1:41:20|1:41:26|经过最后一道热油的洗礼，观众和评委手中的辣椒酱就这样诞生了。
1:42:27|1:42:33|隐藏在观众席的辣椒酱干妈，头顶着光环站立起来，她义正言辞地说。
1:44:21|1:44:29|[汤姆]气恼地翻开秘籍，里面却满是她和[杰瑞]的画像，
1:45:0|1:45:16|原来U盘里是张猫和老鼠的图片。[蔡老板]被警察强行带走，台下的观众鼓掌欢呼，[小曼]、[李建国]等人也高兴地围着[杰瑞]庆祝着。
1:45:16|1:45:26|因为用手直接接触辣椒的缘故，[卢小鱼]最终还是招架不住，昏了过去。[小曼]着急地朝他跑去，
1:45:27|1:45:34|[卢小鱼]的嘴角扬起了笑容。他以为[小曼]会给他做人工呼吸，但令人没想到的是当他睁开双眼。
1:45:44|1:45:54|[卢小鱼]推开[啸天]之后，[李建国]也起哄着朝他压过去，[勇俊]在一旁帮着[李建国]抓住[卢小鱼]的手，[小曼]也无法救出[卢小鱼]。舞台上人欢闹嬉戏着，一片其乐融融的景象。
1:46:8|1:46:14|[小曼]撅起嘴巴凑近[卢小鱼]，[卢小鱼]却痛得连连后退。
