0:0:26|0:0:31|成家共有十三口人，这天是一年一度的新年。
1:1:55|1:2:0|此后，[程平]又拿出两块上等的布料。
1:2:48|1:2:51|[程大叔]一拍桌子，众人愣住了。
1:3:1|1:3:11|大家都感到摸不着头脑，谁也不敢违抗他的命令，只能静悄悄地撤退，[程大娘]还不放心，生怕[程大叔]又骂二女儿。
1:3:11|1:3:29|[程大娘]关上门后，还驻足在门外，吃力地踮起脚尖，可惜窗户上被贴了窗纸，瞅不见也听不到，于是她只好脱下身上的大衣离开，屋内，[程大叔]先开口，[程平]和[大川]便分别走到[程大叔]的左右两边，背对着他坐下。
1:3:32|1:3:40|时不时转头看一眼，面色凝重且惊恐。
1:4:0|1:4:3|[程大叔]马上追问。
1:4:3|1:4:14|钱[大川]自信地回答。
1:4:14|1:4:17|在门外听到这个数字，[大嫂]不禁发出感叹和震惊。
1:4:23|1:4:28|大家虽然都坐在客厅，却都不约而同地注意到房间里的对话。
1:4:28|1:4:37|[大川]抬抬手，放在桌上。
1:4:37|1:4:43|[大川]听不下去了，强压怒火回答。
1:4:43|1:4:48|崇[大叔]有些丧气地低下头。
1:4:54|1:5:9|这番话让程[大叔]哑口无言，程[大叔]自愧不如地点点头，嘴巴一撅又扯起咸片。
1:5:9|1:5:12|程[大叔]满脸质疑。
1:5:20|1:5:22|程[大叔]背对无话可说，
1:5:22|1:5:26|只好搬出救兵。
1:5:26|1:5:32|此时，[丁徒]在研究客厅的小物件，马上起身，正经微步地走向房间。
1:5:42|1:5:48|程大叔显然不满[丁徒]的回答，嘴里还动了动，表示泄气了。
1:5:48|1:5:51|[丁徒]双手插着口袋，大摇大摆地就往外走。
1:5:54|1:6:3|客厅里，[程大娘]的起身，小凤在一旁忍不住笑，见房间里没动静，[程大娘]将外套一割，步履蹒跚地往房间里走。
1:6:3|1:6:9|客厅里无人在意，大家还是各做各的，她却又将[丁徒]喊来，[丁徒]跟了进去。
1:6:9|1:6:15|而屋内，[钱大川]盘腿而坐，[程大叔]对新女婿很是好奇，脸上浮现柔和的微笑。
1:6:32|1:6:42|[钱大川]毫不掩饰，[程大叔]也只是笑笑没说话，拿起手边的烟盒抖了抖。
1:6:48|1:6:53|陈平取出火柴，轻轻划拉了一下擦火石，[陈大叔]顺势叼着烟点火。
1:6:53|1:7:2|随后，陈平又把火源给了[大川]，[陈大叔]吐了口烟，又开始查户口了。
1:7:2|1:7:5|[陈大叔]长满皱纹的脸，绽开一丛笑。
1:7:17|1:7:28|大川一身轻松，一个小小的身影出现，原来是[闹闹]。
1:7:28|1:7:39|[闹闹]开心地接过玩具，画面一转，程大娘正询问丁徒[大川]的真实情况。
1:7:52|1:7:59|丁徒手提年货，身披英伦大衣，还没走远，又回头叫住程大娘。
1:8:10|1:8:18|得到丈母娘的承诺，丁徒才算放心，大摇大摆地朝外面走去，不时还回头看一眼程大娘。
1:8:18|1:8:22|雪地里，[大川]正勤勤恳恳地批今天晚上要烧的柴火。
1:8:22|1:8:32|[大川]人高马大，一个斧头下去，柴火马上被劈成了两段，而屋内的女人们正一边吃着水果，一边观赏眼前[大川]壮硕的身影。
1:8:33|1:8:41|不经意间，女人们的脸上都透露出了一丝着迷，而专心批柴的[大川]完全没有察觉到窗边守着的这几个女人。
1:8:41|1:8:46|厨房里，程大娘正在为大家准备这顿一年一次的团圆饭。
1:8:53|1:9:1|王梅提出帮忙，本让人欣慰不已，直到王梅看到程大娘手上的一样东西，她定睛一看，是一枚金戒指。
1:9:1|1:9:5|王梅甩了甩手上的水，将程大娘的手拉了过去。
1:9:22|1:9:28|妈，你这真好，[王梅]就这样拉着程大娘不扎手，这时，程平到屋外喊住大哥[程志]。
1:9:32|1:9:36|[大哥]赶忙跑去，只留下大川一个人处理这些肉货。
1:9:36|1:9:45|二人的背影越来越小，大川利索地将肉都装进了篮子里，画面又回到了厨房，[王梅]正竭力隐藏自己两眼放光。
1:10:20|1:10:23|诚志丧气地背着手，弯着腰就离开了。
1:10:23|1:10:32|[王梅]开始暗戳戳地说起商店。
1:10:32|1:10:37|诚荣和诚萍就在隔壁，他们都明白[王梅]的意图。
1:10:37|1:10:48|一听到[王梅]的声音，诚萍坐不住了。
1:10:48|1:10:49|诚荣也加入了这次谈话。
1:10:55|1:10:59|小凤和程勇离开厨房。
1:11:23|1:11:36|隔壁房间里，程咏搬来一台收音机，为了终止[王梅]的这段谈话，程咏将音乐开到最大，最终程咏和小凤都捂着耳朵落荒而逃。
1:11:36|1:11:48|雪地里，[钱大川]依旧在勤劳地劈柴，[丁途]走进家门，和他寒暄了几句。
1:11:48|1:11:51|二人对话的空隙，[程平]走出大门。
1:11:55|1:11:56|[丁途]轻蔑地向前走了两步。
1:12:15|1:12:27|[丁途]一脸鄙视，丝毫没有让步的意思。
1:12:27|1:12:31|[丁途]说完转身要走，[钱大川]却一把拉住他的英伦风衣。
1:12:36|1:12:40|[钱大川]稍一使劲，[丁途]的瘦瓜个子就被推到了一米之外。
1:12:40|1:12:43|他不服气的表情正好被不远处的[程平]看到。
1:12:43|1:12:49|[程平]小心地走向雪坡，[丁途]还不忘关心。
1:12:49|1:12:53|[程平]没有理会，只是回头看了一眼，便径直走向[大川]。
1:13:13|1:13:23|[大川]揽着[程平]走回家，此时[王梅]正躺在炕上磕着瓜子，好像在想些什么，磕完的瓜子皮就随口吐到地上。
1:13:23|1:13:26|就在这时，[成平]却来到了[王梅]的身边。
1:13:32|1:13:36|[王梅]一边帮[承平]脱鞋，一边为他铺平被褥。
1:13:53|1:13:55|每天晚上睡觉前。
1:14:42|1:14:54|欢迎刚落，[王梅]示意[成平]躺下，慢慢俯下身，耳朵轻轻地贴在[成平]的肚皮上，另一头厨房里，[大川]悄悄地走进了[成大娘]的身边。
1:15:31|1:15:36|[王梅]上一秒才说不好意思，下一秒就打开盒子，发出惊叹。
1:15:58|1:16:15|[钱大川]满脸笑容，衣服一脱搁在椅子上，[王梅]看着他走出房门，用手摸缩着这枚摘不下的金戒指，随后探过头和[成平]捂着嘴说悄悄话，笑得前仰后合，还开玩笑地拍了一下[成平]。
1:16:15|1:16:23|厨房里，[大川]俨然是一个家庭主夫的形象，围着围裙忙前忙后，又是看火又是切菜。
1:16:23|1:16:24|[程大娘]站在身后问道。
1:16:28|1:16:35|[成大娘]一边打着蛋，一边跟[钱大川]娓娓道来。
1:16:35|1:16:44|[成大娘]顿了顿，又补充道。
1:17:23|1:17:27|前[大哥]聊天也没忘记切菜的活。
1:17:27|1:17:31|他抬头，满面感激和真诚。
1:17:31|1:17:35|客厅里，大伙真热热闹闹的，不止节日氛围。
1:17:35|1:17:41|娜娜和小凤一起挂灯笼，大人们将圆桌架好后，[王梅]的一个动作引起注意。
1:18:24|1:18:27|厨房里，[大哥]正在明火颠锅。
1:18:44|1:18:52|妈，咱们今年合合平平的，把这个年做好，屋外，爷孙俩俩正放着鞭炮。
1:18:52|1:18:56|程[父亲]始终对孩子洋溢着可亲的笑容。
1:18:56|1:19:3|不一会儿，大伙就围坐在一起，迎接这个新年的到来。
1:19:3|1:19:6|不一会儿，[大哥]端着他的拿手好菜上了桌。
1:19:10|1:19:16|小凤带头鼓起了掌，带到大春坐定，人终于齐了，程[父亲]悠哉地点着烟。
1:19:16|1:19:27|闹闹准备夹菜时，[王梅]却将她的手挪开，悄悄提醒了一声。
1:19:27|1:19:28|闹闹灵活地跳下桌拜年。
1:20:20|1:20:31|[成勇]拿出一套小地主的袍子给他穿上，还有一个可爱的小帽子。
1:20:31|1:20:34|闹闹给每个人都磕了一个头半年。
1:20:52|1:20:59|闹闹神气地站在炕上大摇大摆，引得众人哄堂大笑，这时[程咏]举起酒杯。
1:21:10|1:21:15|他故作轻松的停顿了一下。
1:22:8|1:22:13|[丑大娘]脸上泛起酒韵，举起酒杯一饮而尽，还捂着嘴偷笑。
1:22:13|1:22:14|二老的酒杯刚空。
1:22:42|1:22:56|他给二老都添上了酒，愁光交错间，[成大叔]举着酒杯的手微微晃动，[成大娘]面带慈祥的微笑，[成大叔]接过话茬，就打开了心扉。
1:23:12|1:23:20|[程大娘]在一旁看了都担心，看着大人们喝酒，闹闹也偷偷喝了一口，随后[程勇]便发言了。
1:23:44|1:23:48|这时，[程咏]示意小凤去房间里拿东西。
1:24:7|1:24:11|[程咏]抱着贴有国旗和募捐二字的箱子和大家打趣。
1:24:18|1:24:21|可惜无人回应，[程咏]感到尴尬。
1:24:23|1:24:26|[程咏]边说边指了指滑稽的募捐箱。
1:24:33|1:24:38|轮到[王梅]。
1:24:38|1:24:47|大川面带羞涩地接酒，[王梅]一脸奉承地向他敬酒。
1:24:47|1:24:50|三人一眼而尽，[王梅]直接用手将嘴抹干净。
1:24:50|1:24:54|正当大川要说些什么的时候，[王梅]打断了他。
1:25:0|1:25:7|成智独自喝着闷酒，成元也站起身来。
1:25:21|1:25:30|此话一出，众人议论纷纷，只见[程大叔]这下来了精神，缓缓吐出一口烟，一脸鄙夷地询问道。
1:25:50|1:25:57|这时，[大哥]站了出来。
1:25:57|1:25:59|程远愤愤不平地为自己辩解。
1:26:45|1:26:48|两兄弟就此吵起架来，你不让我，我不让你。
1:27:7|1:27:13|[大哥]原本和蔼的脸色暗淡下来，丁彤开口了。
1:27:13|1:27:14|程渊一脸不服气。
1:27:31|1:27:39|[父亲]话音刚落，[大哥]低垂的眼睛露出一丝尖锐，原本晒得干黑的脸上挂不住笑，只是撅起嘴。
1:27:41|1:27:50|成平应声附和，[父亲]脸上的皱纹更加崎岖，大家谁也没说话，[大哥]眼看局势不对，先站起身来。
1:28:14|1:28:19|只见[父亲]端着一个空盘子，在房间抽屉里不知摸索着什么。
1:28:19|1:28:23|另一边，大家看着[小儿子]醉酒，迷迷糊糊地睡着了。
1:28:23|1:28:32|不一会儿，[程大叔]端着一盘落着钞票的盘子走了出来，只放在桌子的正中心，大家都吃惊地盯着那盘钱。
1:28:40|1:28:44|[程大叔]费力地坐下，没有回答他的问题。
1:28:44|1:28:46|大家面面相觑，谁也不敢说话。
1:28:46|1:28:50|唯有[王梅]盯着那盘钱咽口水，还眨半眼睛。
1:28:57|1:29:1|说吧，[程大叔]拿起酒往自己杯里添满。
1:29:1|1:29:6|此时，门外传来一阵声响，[程大娘]指了指窗外，示意[程勇]去开门。
1:29:6|1:29:12|黑夜中，只见一个老妇人拎着一个篮子站在门外。
1:29:25|1:29:36|[丁徒]疑惑地走出来。
1:29:36|1:29:41|[成荣]听到声响，摒弃怜惜走到门外，眉眼间透露出痛苦和不安。
1:29:41|1:29:47|到了门口，他瞥见[成荣]躲在边上偷听，老夫人依旧一跪不起。
1:29:47|1:29:48|成荣见状，连忙将他扶起来。
1:30:21|1:30:25|成荣看着[老妇人]手上的年货，原来就是自家准备的。
1:30:25|1:30:37|胸口仿佛被一块无形的大石压住，嘴里不住地颤抖，想忍着泪水往屋里跑去。
1:30:37|1:30:40|成荣将门奋力一关，[老妇人]沉重地叹了口气。
1:30:40|1:30:45|成荣一回到屋里就全身瘫软，趴在沙发上放声嚎哭。
1:31:7|1:31:9|而此时，[老夫人]在门外不知所措。
1:31:14|1:31:17|程咏咽不下这口气，和[丁途]撕打起来。
1:31:17|1:31:23|[丁途]往日里西装革履的样子，直接被按在地上摩擦，两人在雪地里打滚，[小凤]在边上看着。
1:31:31|1:31:39|看热闹不嫌事大的[小凤]本想帮助程咏，怎料他纵身一跃，落顶不稳，三人一起倒在雪地里。
1:31:39|1:31:51|[丁途]顺势将程咏和[小凤]压在地上，[小凤]童的哇哇大叫，三人叠成罗汉状，最底下的程咏被压得起不来声，只好用手边的雪砸[丁途]的眼睛.
1:31:54|1:31:58|听到门外这么大的动静，[父亲]全部都跑了出来。
1:31:58|1:32:3|钱大川先把[丁途]和两人分开，随后，[成平]赶紧拉起小凤。
1:32:40|1:32:43|[丁途]低头看了眼地上被扯下的假发。
1:32:56|1:33:16|腾勇和[丁途]又差点扭打在一起时，[程大叔]从屋里走了出来，大家听到他关门的声音瞬间呆住，愤怒的声音劝说的声音也都戛然而止，世界仿佛被冻结了一般，他慢慢走下雪坡，双手背在身后，弯下腰将[丁途]的假发拾起。
1:33:16|1:33:20|连同他的西装外套也抖了抖，随后走到[丁途]面前，说道。
1:33:26|1:33:34|[丁途]懊恼地接过假发和大衣，只是头也不回地就走了，只留下[程大叔]一脸不解地站在原地。
1:33:34|1:33:39|屋内，[程平]已经哭成了泪人。
1:33:39|1:33:52|他抽气了几声，望着[程大娘]。
1:33:52|1:33:52|他抿了抿嘴。
1:34:12|1:34:18|[成平]抬起失神的双眸望着[程大娘]，她没有说话，只是和女儿抱在一起。
1:34:18|1:34:23|这时，大儿子[程志]举着白酒杯，摇摇晃晃地走了出来。
1:34:33|1:34:42|[成荣]靠在[成大娘]的肩头哭泣着，[成大娘]的双眼逐渐变得呆滞、浑浊。
1:34:42|1:34:50|[成智]将手里的白酒一饮而尽，刚想走上前去对[成荣]说什么，却欲言又止，独自回去。
1:35:18|1:35:25|此时的[成智]呆坐在桌前，望着桌上的饭菜，抹了抹鼻子，心里可真不是滋味。
1:35:33|1:35:37|随后，[成荣]进直出了家门。
1:35:50|1:35:56|[成荣]拨开[程远]和[田哥]的手，自顾自的走出家门，众人纷纷挽留。
1:35:56|1:35:59|[成荣]走下雪坡，[王美]想掺他，却被甩开。
1:35:59|1:36:4|[成勇]和[程平]分别站在两边，刚要上前拉住他的手，也被拨开。
1:36:4|1:36:9|[程远]和[田哥]不放心他一个人走，便跑向前，准备送他回去。
1:36:9|1:36:16|画面一转，[成智]还在自顾自的举着酒瓶不撒手，[王美]感到，一把抢过他手里的酒瓶。
1:36:22|1:36:28|[王梅]开始满屋找刚刚的那盘好菜。
1:36:28|1:36:35|成智揪着[王梅]的衣领。
1:36:35|1:36:41|在场的出城家二老都赶过来拉住成智。
1:36:41|1:36:46|成智生死力节动好，可[王梅]却一脸得意，不紧不慢地整理衣领。
1:36:49|1:36:56|从前一直都唯命是从的程志，这回居然动起手来，狠狠地给了他一记响亮的耳光。
1:36:56|1:37:6|一波未平，一波又起，[王梅]怎么忍得了这口气，随手抄起边上的碗碟，就往地上砸，面目狰狞地向前，要扯程志的头发。
1:37:6|1:37:12|程勇挡在面前，锁住他的手，谁知程志自己又要挠[王梅]的脸，将程勇挤到一边。
1:37:17|1:37:26|可显然无济于事，大人们混乱的声音惊扰到了边上睡觉的闹闹，他只是揉揉眼睛又继续睡觉。
1:37:44|1:37:47|[王梅]被彻底激怒，又开始乱砸一通。
1:37:47|1:37:51|砸累了，她坐下喘了粗气，程咏又继续挑衅她。
1:38:2|1:38:16|王梅就像被戏耍的小丑一般，真的拿起一个盘子，在尖叫声中将原本只有一道裂缝的镜子彻底砸碎，连同一桌子团圆饭一起掀了，身后的墙上被裱起来的精美全家福也东倒西歪。
1:38:16|1:38:21|黑幕过后，这场闹剧结束，一家家也在骂骂咧咧声中散去。
1:38:22|1:38:31|只剩[中年妇女]一个人，站在这片狼藉之中，整个地面已无从下脚，想要找到一个站立的位置都难。
1:38:31|1:38:34|这时，[承平]和[钱大川]拿来扫帚准备打扫，[中年妇女]却说。
1:38:46|1:38:50|听到这话，[承平]与[大川]对视一眼，相对无言。
1:38:50|1:38:56|[承大娘]缓缓吞下，看着满地的残羹剩饭，墙上的灯笼还在发着光。
1:38:56|1:39:6|次日的清晨，[承家]门口出现一个人影，他只顾往门外走去，人影越来越小，最后逐渐消失。
1:39:6|1:39:12|一大早，[承家]二老决定离开家，临走前，[承大娘]依依不舍地对[承大叔]说。
1:39:17|1:39:26|[成大娘]身上还穿着[成平]送的大衣，二老在马车上都回头注视着那栋小洋楼，随后，[成大叔]头也不回地吩咐车夫。
1:39:29|1:39:35|[成大娘]依旧扶着栏杆远跳，目光久久，不能从自己生活了一辈子的家移开。
1:39:35|1:39:45|成[大叔]却看也不看一眼，马车的身影逐渐消失在这片冰天雪地之中，被层层叠叠的树木遮挡，越发地看不清[二老]的踪迹。
1:39:45|1:39:50|成家[二老]在马车上摇摇晃晃，那栋小洋楼也慢慢被冰雪覆盖。
1:39:51|1:40:0|原本华丽的墙面却被银装塑裹起来，和这天地融为一体，其实[成老两口]最期盼的莫过于新年的这一天。
1:40:0|1:40:9|尤其是去年的一场大闹，这个年带给他们的期盼将更多，无论每个人带着怎样的目的，今天一家人总算是齐聚了。
1:40:10|1:40:16|这是[老母亲]最开心的一天，但最终，全家只有[闹闹]一个人过好了年。
1:40:16|1:40:24|这场荒唐的闹剧，最后也以[程家二老]撂下担子，勇敢地追求自己老年幸福生活为中。
1:40:24|1:40:29|虽然情节上略有夸张之处，但却现实地让人不敢正视。
1:40:29|1:40:32|故事的最后，是[老两口]的一段对话。
