0:1:45|0:1:50|[黑羽]族生活在天都城。
1:0:16|1:0:22|贺丽解开布袋，飞出一只心情模样的怪虫，扑腾了几下翅膀，当即飞走。
1:0:22|1:0:27|贺丽做了亏心事，回到屋里找队友，左顾右盼，生怕自己被发现。
1:0:27|1:0:34|见[泥空空]还在原地，自己才安静地坐下，而[光头]已经被忽悠得喝了好几壶绿酒。
1:0:39|1:0:42|[光头]把另一个酒壶使劲往[黑羽]怀里推去。
1:0:48|1:0:50|这可急坏了桌前的[泥空空]。
1:0:50|1:0:55|光头看了妖娆的身段，摇曳的酒壶，兴奋地哼起了歌。
1:0:55|1:1:4|[黑羽]一口气做完，砸了酒壶，做事要吐。
1:1:4|1:1:6|[黑羽]逃跑，光头穷追。
1:1:15|1:1:18|光头顿时更生气了。
1:1:18|1:1:29|身后的手下再一次被喝退，剩下赫利坐在石头上把完整玉佩盯梢，不留神却被光头悄悄近身，光头的眼睛被玉佩所吸引。
1:1:29|1:1:30|赫利回身被吓一跳。
1:1:33|1:1:37|另一边的[黑羽]正在[泥空空]的搀扶下，扶墙救兔。
1:2:34|1:2:36|后来因为好色贪杯被革职。
1:2:46|1:2:56|另一边，喝醉酒的[黑羽]撒起了酒疯，要找光头拼命，[泥空空]却拦不住。
1:2:56|1:3:0|有小兵趁机下黑手，[泥空空]急忙拢住[黑羽]，挡了一棍子。
1:3:3|1:3:7|[费宇]的举动像是导火索一般，点燃了整个地球舞会。
1:3:7|1:3:12|三教九流更是有仇报仇，有怨报怨，[光头]却冷住[鹤影]。
1:3:12|1:3:14|[费宇]赶来。
1:3:24|1:3:31|却看到[光头]跪在地上，死死抱着[赫立]，气氛突然胶着，[黑羽]以为撞破二人的防势。
1:3:31|1:3:37|[赫立]笑着缓解气氛，[光头]的[江城子]趁机起身。
1:3:37|1:3:43|[泥空空]挡住[黑羽]的眼睛。
1:3:43|1:3:48|手下侍卫这才山上来迟，对[泥空空]和[黑羽]刀剑相向。
1:3:55|1:3:58|[江城子]走上前，拍拍他的肩膀。
1:4:13|1:4:16|[江城子]扭头刚要出门，突然回头开始解释。
1:4:20|1:4:22|[黑羽]被吓得花容失色，当场打断。
1:4:22|1:4:26|[江城子]也不多说什么，率先出门。
1:4:26|1:4:28|[泥空空]有些不敢相信地问道。
1:4:33|1:4:40|[泥空空]有些不敢直视贺力。
1:4:40|1:4:42|贺力走上前，刚要伸手搭上[泥空空]的肩膀。
1:4:46|1:4:47|[泥空空]赶忙闪动。
1:4:51|1:4:53|说完，拽着喝醉的[黑羽]逃走。
1:4:53|1:4:57|刘夏赫利愣在当场。
1:4:57|1:5:0|老袁被一盆水泼醒，不满地叹息道。
1:5:5|1:5:7|换好衣裳的[黑羽]跑来。
1:5:14|1:5:19|[泥空空]蹲下身，掏出宝物。
1:5:19|1:5:27|老元正了正，接过宝盒，拿到手上仔细查看一番，又看着上面的花纹有几分熟悉。
1:5:27|1:5:32|一行人跟着老元来到住处，室内错综复杂。
1:5:37|1:5:40|几人一跃跳进石窟深处，发现别有洞天。
1:6:24|1:6:33|[泥空空]毫不含糊打开了这本巨大的古籍，掀起一阵尘埃，几人凑近翻阅着羊皮古书。
1:6:43|1:6:56|老元将它朝着宝盒底端插了进去，轻轻一转，宝盒机关被触发，里面的光球唤起了霓虹般的回忆。
1:7:9|1:7:27|人与大战时期，[黑羽]屠杀蛟人部落，得到了蛟珠和黄金圆盘，可以开启天空之眼，召唤成千上万黑暗恐怖的飞魔。
1:7:39|1:7:44|人皇派遣一名勇士潜入了天空城。
1:7:44|1:7:52|当胶珠再一次散发光芒时，勇士奋不顾身夺取胶珠。
1:7:52|1:7:58|人族大军联合善良的羽人乘虚而入，战胜[羽皇]。
1:7:58|1:8:2|胶珠被封印，那位勇士从此消失。
1:8:29|1:8:35|为什么每次我的手，一接近的时候，老袁抓住[泥空空]的手，刚要端详。
1:8:35|1:8:37|忽然，石洞外传来了动静。
1:8:39|1:8:48|[黑羽]掏出匕首直插胶珠，可胶珠连同盒子一起剧烈地抖动起来，竟直接将[黑羽]手上的匕首晃断。
1:8:48|1:8:51|[黑羽]只能先将盒子关上，准备应对敌人。
1:9:0|1:9:1|赫立一脸兴奋。
1:9:7|1:9:11|一阵阴风，吹灭了山洞的火花。
1:9:11|1:9:15|披长发，穿铠甲的[风啸]从天而降，傲视全场。
1:9:15|1:9:16|[黑羽]惊讶道。
1:9:28|1:9:29|挑衅着[雪猎]。
1:9:40|1:9:42|[雪猎]当即拔剑，领教一次。
1:9:42|1:9:45|[雪猎]一把抓住剑刃，将其踹飞。
1:9:45|1:9:48|风下双刀劈下，却被[江城子]从刀拦住。
1:9:48|1:9:50|风下转头，踹飞[江城子]。
1:9:50|1:9:55|而[雪猎]直奔[黑羽]而来，[泥空空]急忙丢下烟雾弹，带[黑羽]顿走。
1:9:55|1:10:1|另一边的赫利陷入苦战，而[黑羽]昏迷[泥空空]，逃出没多久，便被挥舞翅膀的[雪猎]拦住。
1:10:3|1:10:15|一[泥空空]飞身踹去，却被[雪猎]一拳砸了回去，[黑羽]挥剑直刺，却被[雪猎]专手接住，再一拳打在腹部飞了出去，[老元]跑来抱住[雪猎]。
1:10:15|1:10:29|[老元]一脚踹飞整壶撞到石洞机关，[黑羽]等人借机逃走，[雪猎]正扑[老元]将其一脚踹飞，[老元]趁机钻洞逃走，与此同时，[风啸]在[鹤影]手底下没占到便宜，见[雪猎]走来便上前领命。
1:10:33|1:10:39|这边，[黑羽]和[泥空空]通过机关来到一处石井里。
1:10:39|1:10:45|[泥空空]发射钩索腾空，[黑羽]挥动翅膀起飞，两人脱离了困境。
1:10:45|1:10:50|雪莉一出手，三拳两脚打飞[江城子]的手下。
1:10:50|1:10:52|赫立和[江城子]姗姗来迟。
1:11:2|1:11:13|赫历挥刀而上，雪猎一跃而起，躲过之后潜入赫历的手腕，一脚而将其踹飞，将成为了钢铁场，又被雪猎凌空踹飞。
1:11:13|1:11:26|[风啸]双脚登出，踹飞[黑羽]，扭头一脚踹飞横木，横木撞上石洞的木头封顶，封顶顿时探他下落，挂在石洞上风的钩索，连带着[泥空空]掉入洞顶，没了动静。
1:11:29|1:11:34|新集的[黑羽]，飞身越过[风啸]的攻击来到洞顶。
1:11:50|1:11:54|[风啸]一跃朝着[黑羽]踢来，不料，[黑羽]展开双翼飞走。
1:11:54|1:12:3|[风啸]不肯作罢，一跃跳上石门，又从石门上飞身扑下，抱住了飞行的[黑羽]，将其拖到地面，勒住脖子。
1:12:5|1:12:9|[黑羽]挥轴反击，[风啸]心生不警，猛击[黑羽]的翅孔。
1:12:36|1:12:42|[黑羽]抱着[风啸]一起扑下山崖，两人一同掉进山崖下的湖水中。
1:12:42|1:12:46|[风啸]挣扎着想要回到水面，可[黑羽]却誓死不从。
1:12:46|1:12:53|很快，两人到了湖顶，[风啸]一把抓住旁边摇曳的麻绳，伸手套在[黑羽]的脖子上。
1:12:54|1:12:56|[黑羽]不可思议地瞪大双眼。
1:12:56|1:13:3|[风啸]手里的麻绳越勒越紧，[黑羽]渐渐支撑不住，张开嘴巴，湖水立刻灌了进去。
1:13:3|1:13:7|脖颈的麻绳被[风啸]扯到了最紧，[黑羽]闭上眼睛昏了过去。
1:13:7|1:13:12|[风啸]在[黑羽]身上一阵搜索，从其中掏出盒子。
1:13:12|1:13:16|[风啸]拿到盒子后，不顾昏迷的[黑羽]，直接游走。
1:13:21|1:13:26|[雪猎]单手掐着[贺力]的脖子，直到其失去意识。
1:13:26|1:13:30|另一只手蓄力地抢打锋，[贺力]被打飞，撞在石柱上。
1:13:30|1:13:35|石块坍塌，将虫子阵状直接扑过去，扑在[贺力]的身上。
1:13:35|1:13:41|巨石掀起了阵阵尘土，[雪猎]颇为平静地看着这一幕。
1:13:51|1:13:56|[雪猎]满意地笑了，而[黑羽]沉入湖底，彻底失去意识。
1:13:56|1:14:1|他紧闭双眼，往日活泼的翘脸上没有任何表情。
1:14:6|1:14:15|他甩开膀子奋力下潜，只为救下生命里最重要的人。
1:14:15|1:14:21|[泥空空]在岸边轻轻拍打着[黑羽]的脸颊。
1:14:21|1:14:27|失去意识的[黑羽]突然咳出了几口凶枪的积水。
1:14:27|1:14:28|[黑羽]缓缓睁开双眼。
1:14:37|1:14:46|听到这话，[黑羽]立刻挣扎的起身，[泥空空]惊讶地看着[黑羽]，[黑羽]一跃准备飞翔，不料还没展开翅膀就摔了下来。
1:14:59|1:15:6|而赫利正奋力地将石堆下的[江城子]往外转，身受重伤的[江城子]眼看已经不行。
1:15:6|1:15:8|赫利心急上前。
1:15:18|1:15:23|[泥空空]和[黑羽]闻声赶来，赫利查探一番[江城子]的情况。
1:15:23|1:15:28|愤怒的[泥空空]捏住赫利的脖子，将他摁在[江城子]的尸体面前。
1:16:29|1:16:32|贺利拿起宝剑要走，却被[泥空空]拦下。
1:16:38|1:16:41|[黑羽]见如此消极的[泥空空]，心生不满。
1:16:41|1:16:44|[泥空空]不敢和[黑羽]对视，犹豫了一番说。
1:16:49|1:16:51|一旁的同伴听到后有些惊讶。
1:18:1|1:18:11|赫利苦着脸，不情不愿地朝后退去，[泥空空]转身，看着满地的狼藉，心中泛起无边的苦楚，所谓的友谊化作一场泡影。
1:18:11|1:18:16|夜黑风高，小船里点点灯，漂泊在江上，船上的赫利奋力地拉着帆。
1:18:18|1:18:23|[黑羽]来到船边，贺丽看到[黑羽]走来，不觉得停下手上的动作。
1:18:23|1:18:27|两人顿时一眼，贺丽又开始埋头干活。
1:18:27|1:18:33|[黑羽]往前走去，脚下踢到一个小水壶，这正是[泥空空]随身携带的。
1:18:33|1:18:38|[黑羽]犹豫了一下，弯腰将其捡了起来，[江城子]拂过[黑羽]的青丝。
1:18:38|1:18:43|而[贺丽]固定好船帆，回首望去远处的石窟。
1:18:43|1:18:44|心中不由惦念起[泥空空]来。
1:18:47|1:18:56|[江城子]顺流而下，愈飘愈远，堵雾斯人的黑雨，独立船头不敢回首，生怕惊扰了心中的那片愁绪。
1:18:56|1:19:3|就这样，一夜很快过去，鸟鸣唤来了久违的朝霞，大江上飘起了晨雾。
1:19:4|1:19:11|[赫利]洗漱完毕，他十分注意形象，胆了胆身上的尘土，又理了理自己的衣领。
1:19:11|1:19:14|收拾好仪容后，注意到了摇摆的风铃。
1:19:14|1:19:18|他双手扶住风铃，让其不再发出声响。
1:19:18|1:19:24|扶稳之后，用余光瞥见了远处的天空中，有三只[飞龙]正朝小船的方向飞来。
1:19:24|1:19:25|他急忙大声喊道。
1:19:43|1:19:47|[黑羽]听罢，也将目光聚焦到骑龙之人。
1:19:47|1:19:53|随着[飞龙]越飞越近，[黑羽]二人才逐渐看清，原来骑龙之人正是名轰轰。
1:20:29|1:20:32|[泥空空]将[飞龙]停在岸边，和二人说道。
1:20:54|1:20:59|[泥空空]眼神紧紧盯着[黑羽]，可[黑羽]却故意视而不见，随后他说道。
1:21:3|1:21:5|[飞龙]顿时乖巧无比。
1:21:5|1:21:8|[飞龙]顿时乖巧无比。
1:21:8|1:21:9|[飞龙]顿时乖巧无比。
1:21:9|1:21:11|[飞龙]顿时乖巧无比。
1:21:11|1:21:12|[飞龙]顿时乖巧无比。
1:21:33|1:21:38|[黑羽]说吧，便骑上[飞龙]先行一步，[泥空空]紧接其后。
1:21:45|1:21:49|就这样，三人骑着[飞龙]翱翔在云端，颗粒激动地大喊。
1:22:27|1:22:31|霓虹虹又对板直脸的[黑羽]做了个鬼脸并说道。
1:22:52|1:22:59|夜晚的天都城灯火通明，上到皇宫下到街头，所有人都看着花灯和各样的节目。
1:22:59|1:23:5|皇上心不在焉地与众人看着妖娆的舞蹈，片刻之后他低声说道。
1:23:23|1:23:27|在街头，各家各户的门前都挂着喜庆的灯笼。
1:23:27|1:23:31|百姓们在街道的两边激动地看着表演节目的花车。
1:23:31|1:23:36|壮汉们卖力敲击大鼓，所有人在这一刻都沉浸在节日的喜悦中。
1:23:36|1:23:43|表演节目的花车队伍十分庞大，除了里头的花车外，后面还有杂技，舞蹈等。
1:23:43|1:23:48|但最令人捉摸不透的，就是一批穿着喜庆的衣服带着面具的神秘人。
1:23:48|1:23:52|他们既不唱歌也不跳舞，只是跟随队伍环顾前进。
1:23:52|1:23:57|就这样，一路随着发车从城尾跟到了[皇帝]的城门前。
1:23:57|1:24:1|与此同时，[血烈]的宫殿中也在举行着神秘仪式。
1:24:1|1:24:5|做法的女婴念完咒语后，便开始诡异地移动起来。
1:24:5|1:24:8|[血烈]将所有部下召集到一起，对他们说道。
1:24:26|1:24:40|[江城子]说吧，便眨眼飞到了天都城的上空。
1:24:40|1:24:44|他与队伍中的神秘人相识一笑后，便满腻地朝皇宫飞去。
1:24:44|1:24:49|得到指示的神秘人却下面具掏出武器，原来正是[风啸]和他的部下们。
1:24:52|1:24:55|手持士兵发现时，为时已晚。
1:24:55|1:25:0|[风啸]手持双刀，如同砍瓜切菜一般，将冲来的士兵逐一解决。
1:25:0|1:25:5|他丝毫不恋战，解决掉面前的士兵后，就静止朝城门执枪。
1:25:5|1:25:13|力量惊人的[风啸]，竟从一人之力，将数千精锐的城门推开，随后带领着众多羽人，朝城内杀去。
1:25:16|1:25:29|于是同时，皇宫内也不太平，刻意地趁着花车表演时，已经大领暗杀小队从城墙侧面用钩索攀了上去，轻松解决守卫后，便一路潜伏来到了大殿之中。
1:25:29|1:25:42|这时，皇城内顿时乱作一团，各路守卫急忙奔向皇宫救驾，就在部队刚踏上铁索桥时，[雪烈]点燃了护城巨石，将铁索桥直接砸断，救驾的部队也顺势掉了下去。
1:25:42|1:25:47|这大殿之上，只有区区十几名皇上的贴身侍卫在苦苦支撑。
1:25:47|1:25:54|情况属实危机，皇上自己都不得不拔出手中宝剑，与众将士们一起参与到战斗中。
1:26:37|1:26:41|这一说话，极其兴奋的[泥空空]杀去，二人就此过招。
1:26:41|1:26:45|与此同时，[杨震虎]和[风啸]几人来到了皇宫的密室。
1:26:47|1:26:59|[雪烈]飞到密室大门前，收回他身后的翅膀，随后拿出抢来的钥匙，放入大门的机关针，厚重的石门缓缓上升，[雪烈]等众人满脸期待的朝礼梦去。
1:26:59|1:27:8|就在这时，两支冷箭从[雪烈]的身后射来，[雪烈]迅速格挡，并将箭反弹回去，[杨震虎]带人及时赶到。
1:27:15|1:27:25|[雪烈]说吧，带着几名侍卫潇洒地朝密室里走去，留下[风啸]小队和[杨政府]展开激烈的厮杀，彻影武鹤立战斗时将飞镖射向[皇帝]。
1:27:30|1:27:35|这时，[雪烈]已经穿过密室曲折的走廊来到了大殿之上。
1:27:35|1:27:44|这大殿阴暗至极，[泥空空]如也，但四周的装饰却格外精致，从各类石雕的精细程度便可看出这里曾经的辉煌。
1:27:44|1:27:54|[雪烈]似乎对这里十分熟悉，只见他展开双翅，跃到大殿中央的石柱前，随后将手中从郡王湖抢来的天空之眼嵌在了石柱上。
1:27:54|1:27:59|一瞬间，石柱上方惊弓乍现，真正的天空之眼不见出来。
1:27:59|1:28:5|这时，霓虹宫和[黑羽]也来到密室门前，从[飞龙]身上一跃而下加入战斗。
1:28:5|1:28:8|二人的到来无意让[杨震虎]司部队野虎添翼。
1:28:8|1:28:13|这时，沙迪的[风啸]看到[黑羽]后，咬牙切齿地说道。
1:28:34|1:28:39|[杨政府]一口雾水，但看倪红红急切的样子，便跟着他走进了密室。
1:28:39|1:28:42|二人刚走到走人内，便遭到了敌人的突袭。
1:28:55|1:28:59|二人解决掉面前的敌人，准备朝大殿走去。
1:28:59|1:29:9|这时，又窜出数十名羽人将二人围住，一[泥空空]见状，急忙叫欧咖憋气，随后欧咖一个臭屁将众多羽人熏到直接晕厥。
1:29:9|1:29:13|门外，功力得到提升的[黑羽]和[风啸]打得十分胶着。
1:29:13|1:29:20|连过了十几刀后，[黑羽]竟然占了上风，打得[风啸]只能被迫防守，甚至一度将其逼到了城墙边。
1:29:20|1:29:23|皇宫内，在贺力的帮助下局势也成功扭转。
1:29:24|1:29:29|在消灭完羽人士兵后，赫利和皇上二人合力将[赫颖]活捉。
1:29:29|1:29:31|[赫颖]被迫扔掉武器投降。
1:29:31|1:29:36|另一边，[黑羽]无意间一脚将[风啸]踢到城墙的尖刺上。
1:30:6|1:30:13|在密室里，[血烈]准备打开胶珠和天空之眼融合。
1:30:16|1:30:21|欧咖砸了[血烈]一个措手不解，并迅速从他手中抢走胶珠。
1:30:21|1:30:25|雪烈见状，朝欧卡追去，[杨震虎]一刀劈来。
1:30:25|1:30:28|雪烈一个侧身躲过攻击，随后一脚将其击退。
1:30:28|1:30:35|[杨震虎]被雪烈的力量所震撼，他虽然难以置信，但情况紧急，只能全力投入到战斗中。
1:30:36|1:30:44|可[杨震虎]势大力成的攻击，皆被雪烈轻松躲过，并且还用骨刺将[杨震虎]的肩甲刺穿。
1:30:47|1:30:51|欧卡吊着胶珠开始逃跑，可怎么跑也跑不过飞行的雪猎。
1:30:55|1:31:0|[泥空空]接住胶珠转身就跑，可刚跑两步便被雪猎追上。
1:31:0|1:31:6|他试图反抗，可雪猎仅一个重拳便将[泥空空]打出数秒之外。
1:31:6|1:31:11|他紧咬牙关用全力爬了起来，可刚一抬头便见骨刺朝自己刺来。
1:31:12|1:31:18|就在骨刺要将他刺穿时，欧卡突然撞开了喷喷，自己却被刺中。
1:31:18|1:31:23|雪猎收起骨刺，欧卡瞬间摔在地上，没了生机。
1:31:30|1:31:34|雪烈将焦珠的盒子打开，放在[天空之影]前。
1:31:34|1:31:37|片刻后，焦珠便被[天空之影]吸入其中。
1:31:37|1:31:41|在二者结合的瞬间，焦珠释放出巨大的能力。
1:31:41|1:31:46|此时，霓虹虹顾不上焦珠何去何从，她抱着欧卡哭喊道。
1:32:22|1:32:32|胶珠和[天空之眼]经过短暂的时间融合在一起，胶珠的能量也彻底被激发，只见巨大的能量波动通过[天空之眼]聚汇到一起。
1:32:32|1:32:39|下一秒，所有的能量化为光束射到空中，胶珠巨大的能量仿佛将天空撕开一个口子。
1:32:39|1:32:50|全程上下的人都无比惊讶看向天空，而只有[泥空空]无心看紧，他缓缓地将欧卡放在地上，最后将所有的愤怒化为力量，冲向雪面。
1:32:51|1:32:58|可宁空空毕竟是肉体翻开，虽有一枪愤怒，但在绝对实力面前，这些显得微不足道。
1:32:58|1:33:11|雪猎普通的一拳，就又将宁空空打飞出去，这时，[黑羽]带着侍卫们匆匆赶来。
1:33:11|1:33:20|两名侍卫听命吼，丝毫不敢怠慢，直接伸手试图将焦珠拿下，可不料，二人被焦珠能量吸住的瞬间灰飞烟灭。
1:33:30|1:33:34|通过大殿的窗户，[泥空空]满怀期待地看着天空中的裂缝。
1:33:34|1:33:42|只见裂缝愈发地耀眼，在能量注入之时，已有数十只飞沫从裂缝中钻出来，飞到天都城的各个角落。
1:33:42|1:33:45|这飞沫体型如鸟，但形状怪异。
1:33:45|1:33:51|身体两侧掌有三对小翅，身体呈半透明状态，面部的嘴极为尖锐。
1:33:51|1:33:59|百姓们从未见过飞沫便十分好奇，一男子目不转睛地盯着身旁的飞沫，甚至还想用手去摸。
1:33:59|1:34:2|可下一秒，飞沫突然发难，直接钻入了男子的身体。
1:34:3|1:34:21|还没等男子反应过来，飞沫从他的心脏钻了出来，顿时，城中的百姓像炸开锅一般四散逃命，而城中的数百只飞沫，紧追其后不停地钻入百姓的身体，更可怕的事情发生了，只见从天空的裂缝中，飞出密密麻麻的飞沫。
1:34:21|1:34:26|犹如瀑布一般朝天都城袭来，飞沫飞速俯冲到天都城的大街上。
1:34:27|1:34:35|其破坏力，犹如蝗灾一般寸草呼生，飞沫体型小巧，速度极快，如此彪悍的特点集于一身，[皇帝]见此下令道。
1:35:4|1:35:8|[皇帝]刚要交代，却发现赫利骑着[飞龙]到天空中。
1:35:32|1:35:38|雪猎说吧，面带凶色地抽出自己的宝剑，朝[黑羽]赶去，[黑羽]拔剑抵挡。
1:35:38|1:35:45|长出翅膀的[黑羽]和功力高强的雪猎短时间内打得不分上下，这不禁让雪猎大吃一惊。
1:35:45|1:35:52|[黑羽]抓住雪猎惊讶的剑势，一剑将雪猎左臂的铠甲劈掉，但同时自己也被一脚踹飞。
1:35:52|1:35:57|[黑羽]顾不上疼痛，急忙从地上爬起继续战斗。
1:35:57|1:36:10|只不过，再次起身的[黑羽]逐渐处于下风，就在二人酣战之时，[泥空空]缓缓走到焦珠面前，看了看自己掌心的裂缝后，便直接伸手试图拿出焦珠。
1:36:10|1:36:17|本就能与焦珠产生共鸣的[泥空空]，并没有被焦珠的能量所吞噬，反而越来越靠近焦珠。
1:36:19|1:36:23|雪裂斩他双翅，飞到[泥空空]身边，一剑刺向他的胸膛。
1:36:30|1:36:35|宁空空被雪猎一脚踹飞，[黑羽]飞到雪猎的上胸进行攻击。
1:36:35|1:36:41|这时，[风啸]突然出现，他舍身飞扑，一箭刺中雪猎的后背。
1:36:41|1:36:48|雪猎扶伤，暂时撤出了战斗，[黑羽]和[风啸]急忙将[泥空空]扶了起来。
1:36:55|1:37:12|急性子的[黑羽]话音刚落，便再一次挥剑朝雪裂砍去，而[泥空空]深知自己的使命就是夺回胶珠，他飞身愉悦，将手伸向胶珠，用尽全力将手心朝胶珠靠近，这时，恶力也加入战斗，和[黑羽]一起帮[泥空空]争取时间。
1:37:12|1:37:30|雪裂剑爆发全力，先是一脚踢晕恶力，随后又将[黑羽]砍得节节败退，与此同时，天都城在飞沫的刺耳下已经千疮百孔，天空中的裂缝还在源源不断地涌出飞沫，甚至连厚重的城楼都抵挡不住飞沫的攻击而坍塌。
1:37:30|1:37:43|在密室内，[黑羽]和赫利虽然被雪猎一次又一次地击退，但为了争取时间，阻止雪猎的阴谋，为了保护天都城的百姓们，他们丝毫没有犹豫，一次又一次地站了起来。
1:37:43|1:37:50|虽然不是雪猎的对手，但哪怕能够多争取一秒钟，他们也会愤然不顾地冲上去。
1:37:50|1:37:57|雪猎击退二人后，纵身一跃，一箭直直地刺向[泥空空]，飞羽和赫利飞扑过去想要阻止。
1:37:57|1:38:3|就在雪猎的箭印即将刺中[泥空空]时，他成功地将胶珠从天空之眼中拿了下来。
1:38:3|1:38:7|一瞬间，巨大的能量波动将在场的所有人震飞。
1:38:7|1:38:17|也将城中肆虐的飞沫全部震碎，没了交出的能量，天空中的裂缝也逐渐关闭，剩余的飞沫被竞术吸了回去。
1:38:17|1:38:24|经过一夜战斗，天都城再次迎来了清晨的第一缕阳光，可在密室的[黑羽]却躺在地上没了动静。
1:38:41|1:38:46|赫利将手指放到[泥空空]的鼻孔前，发现[泥空空]没了气息。
1:39:8|1:39:12|[黑羽]哭得伤心欲绝之时，[泥空空]却突然开口。
1:39:32|1:39:38|[黑羽]轻轻捶了一拳[泥空空]的胸口，[泥空空]顺势一把抓住他的手。
1:39:38|1:39:43|而这次不同的是，[黑羽]并没有拒绝，反而和[泥空空]食指相扣。
1:39:43|1:39:47|在这一刻，[泥空空]成为了[黑羽]心中不可或缺的人。
1:39:47|1:39:48|几日后的皇宫内。
1:39:57|1:40:14|皇上从托盘中拿起属于太子的皇冠，为贺力亲手戴上，还散发着光芒的胶珠，也被[杨震虎]封在了振虎司最严格的密室中。
1:40:15|1:40:21|天都城又恢复了往日的繁华，[泥空空]几人带着欧咖找到了老袁。
1:40:21|1:40:23|老袁拿出命药说道。
1:40:26|1:40:36|她之所以能活到现在，就是因为[血烈]释放焦珠能量的时候，她正好在旁边。
1:41:26|1:41:33|就在几人谈笑间，欧卡的手指轻轻地动了一下，手掌和[泥空空]一样泛起了光芒。
1:41:33|1:41:42|他终于有了生命的迹象，午后经历了很多的黑雨，坐在山崖边，俯瞰着重新建成的天都城思考人生。
1:41:42|1:41:49|这时，[泥空空]从身后走来，轻轻地坐到[黑羽]的身边，两人对视一眼后都有些腼腆。
1:41:49|1:41:51|[泥空空]主动问道。
1:42:26|1:42:35|[泥空空]话还没说完，[黑羽]便拉着他的手跳下山崖，随后又张开双翅，将[泥空空]紧紧地抱在怀中飞翔着。
1:42:35|1:42:41|[泥空空]也同样紧抱[黑羽]不敢松手，二人一会儿在山谷间穿梭，一会儿又飞入云端。
1:42:44|1:42:50|[泥空空]逐渐不再害怕，温柔且幸福地看着[黑羽]。
1:42:50|1:43:5|这时，[黑羽]似乎也察觉到了他的眼神，二人互相深情地望着彼此，忽然间，[黑羽]垂直向上飞去，他带着[泥空空]穿过云端后停在了空中，最后，二人深深地稳在了一起。
1:43:5|1:43:12|[泥空空]凭借自己的真心与勇敢打动了[黑羽]，两人从此相濡以沫，厮守一生。
1:43:13|1:43:24|随着[泥空空]收获到了美好的爱情，奇幻之旅也要结束了。
