0:3:2|0:3:9|于是，他拿起垂在耳边的对讲机迅速作出指示。五辆车兵分三路，寻找骊靬古城。
0:52:41|0:52:50|待罗马士兵用铁钉，将城墙缺损处的各个铁制长笼连接固定，最终再由南狄人将灰浆一点一点地糊在上面。
0:52:50|0:52:58|夕阳西下，城墙原本的面目终于展现在众人面前，主楼大殿隔离天日，雄立一方。
0:53:2|0:53:10|闸楼、箭楼盘结交错，高低淋漓，巍然耸立，袅袅之烟，自四方的城郭内随风而起，凛然难犯。
0:53:11|0:53:17|城外险峻的山体之上，兵道绵延数百里，颇具比喻天下之势。
0:53:18|0:53:24|众人激动之心早已溢于言表，罗马士兵率先揽住乌孙人的肩膀，振臂高呼。
0:53:24|0:53:29|三十六国族人随即簇拥起大汉士兵奔向城角。
0:53:29|0:53:35|[雁头]和[老鼠]站在狂欢的人群之外，单手轻抚胸口向[卢魁斯]低头致谢。
0:53:37|0:53:45|[霍安]不知何时坐在了高墙之上，低头瞥见[卢魁斯]之后，冲他摆摆手，二人随即相视一笑。
0:53:48|0:53:59|接着，[霍安]收回目光，眺望远方。夜晚来临，众人齐聚于军帐前，架起烤架。
0:54:7|0:54:26|军帐之内，[雁头]坐于主位，大手一挥，手下便抬起酒缸送出帐外，[卢魁斯]拿起一颗葡萄凑至小王子的耳边，询问他是否喜欢音乐。话音刚落，[霍安]抬手抹去唇边的烈酒，接着便来到军帐前的台阶上，豪情一曲。
0:55:37|0:55:43|一曲大漠英雄刚落，小王子便抬手示意自己也想唱歌。
0:55:44|0:55:49|于是[霍安]迈步上前，将他小心翼翼地抱去霍去病盔甲前的木台之上。
0:55:49|0:55:55|原本坐于帐内的[卢魁斯]、花高等人，也笑着起身踏出军帐。
0:55:55|0:56:4|接着，小王子将食指放于嘴边，挥舞着双臂踩在凳子上的众人见状，随即根据指示慢慢坐下。
0:56:4|0:56:10|[霍安]则拄着木台，坐在他身边，
0:58:12|0:58:22|很快一曲罗马之光结束了，就像歌词唱的那样，流着泪水的罗马士兵坚信，凯歌永远会在罗马城中奏响。
0:58:22|0:58:36|小王子微笑着唱完，退下半步之后，被[霍安]拦腰抱起，接着，[老鼠]走到木台边，接过小王子，捧着他向军帐走去。望着小王子离去的方向，[霍安]忍不住拍手欢送。
0:58:39|0:58:51|众人随即也从悲壮的声音中回过神来，虽然不像[霍安]那般能听懂罗马人的语言，但歌声中暗藏的力量，也忍不住让人拍手称快。
0:58:53|0:59:0|罗马士兵见此情景，也从悲伤中走出来，抹掉脸上的泪水，伸出双手大力鼓掌。
0:59:43|0:59:54|竟在女皇给的药水中投毒，毒瞎了自己的亲弟弟，甚至亲手弑父，以夺王位。无路可走的[卢魁斯]只好带着自己的军队，护卫小王子一路向东，
1:0:10|1:0:13|就是为了取回克拉苏与女皇签署的和平协议，以此来证明大王子提比斯的大逆不道。
1:0:13|1:0:23|说罢，他低头抿了一口酒，然后双手搭在身后的台阶上，抬起头，望向天边。[霍安]听完，举着碗仰面说道。
1:0:37|1:0:51|在一次逃亡途中，妹妹由于受到惊吓不停地哭泣，为了不惊扰追杀者，他便用双手拼命捂住妹妹的嘴巴，就这样，[霍安]亲手杀死了自己在世界上，唯一血脉相连的亲人。
1:0:51|1:1:1|也就是在这个时候，[霍安]撞见了前来营救的霍去病，他有幸在乱战中被救下，并记下了能够影响自己一生的话语。
1:1:13|1:1:18|感叹二人不易。此时，[卢魁斯]的士兵大吼一声，连忙奔至二人面前。
1:1:20|1:1:28|接着士兵说道，之前去往安息国的兄弟已经回来了。待[卢魁斯]快步进入军帐，
1:1:28|1:1:33|抬眼便见到副手，满脸鲜血坐在箱子上涕泪横流。
1:1:33|1:1:57|接着，副手回忆道，一行六人原本快马加鞭往安息国的方向赶去，途中突闻前方传来阵阵马鸣嘶吼之声，几人随后翻身下马，爬上不远处的山头，下方山谷内竟是排列整齐的步兵与骑兵，而大王子提比斯正身披重甲，悠闲地坐在战马之上。
1:1:59|1:2:7|对此[霍安]表示，恐怕提比斯早已经知晓了[卢魁斯]的打算。
1:2:7|1:2:12|端坐于床榻之上的小王子听到这些话之后，轻声唤来[卢魁斯]。
1:2:44|1:2:51|又双手捧起小王子的脑袋，在额头处印上深情一吻。
1:3:3|1:3:9|如果[霍安]来帮忙，那么提比斯就会迁怒于他。大家用15天修复的城，只是一个美梦罢了。
1:3:30|1:3:37|提比斯与太守必有勾结，而都护府的作用，便是维护这丝绸之路上的和平。因此，[霍安]打算回到都护府内，向他的同袍[殷破]借兵。
1:3:37|1:3:46|到时候一定会撕破提比斯和太守的阴谋。此计一出，便引来小王子的轻呼。
1:4:1|1:4:4|封[霍安]为罗马军团首长。
1:4:4|1:4:11|突如其来的任命令[霍安]十分不安，随即便扭头看向了身旁的[卢魁斯]。
1:4:11|1:4:36|见对方冲自己抿嘴一笑，他只好再次回身直面小王子，而小王子像是能看到一般，在[霍安]回身的瞬间伸出小手示意其走进，接着，[霍安]上前一步，又单腿后撤，跪于小王子身前，最后双掌手心向上，小心地将罗马短剑纳入怀中，称自己十分荣幸。
1:4:38|1:4:44|于是，带着众人的希望，[霍安]驾马向都护府赶去。
1:4:46|1:5:5|此时回到几天前，[山豹]一行六人发现十万大军之时，身着重甲，悬壶毗邻陇肩的提比斯，从宝座上缓缓起身，迈着漫不经心的步伐来到一处空地前，[山豹]及[卢魁斯]的几位副手赫然跪在地上，
1:5:7|1:5:24|眼看身旁之人纷纷被斩首倒地，不时轮到自己，[山豹]犹如黑豹一般挺身而出，一手掐住士兵的脖子，一手劫走对方的长剑，转过身就剑指提比斯。
1:5:24|1:5:31|不曾近身，便被对方一剑贯穿胸口，如镜般的刀身瞬间沾满了鲜血。
1:5:32|1:5:41|接着，提比斯一言不发，转身将剑丢给护驾来迟的士兵，内心毫无波动地反身离去。
1:5:42|1:5:50|默默注视一切的谋臣阿格里，忍不住走到提比斯身边，对他说道，现在已经走得太远。
1:6:2|1:6:31|谁知面对训斥，提比斯不仅内心毫无波澜，还主动上前贴近阿格里的耳边，操着沙哑的声音郑重地说道，自己所做的一切都是命中注定，因为他自小就有一个愿望，便是杀掉自己的亲生父亲，而在梦想成真的那一刻，更是与父亲分享了这一喜悦之事。
1:6:31|1:6:36|此时，戒备森严的雁门关外。
1:6:40|1:6:50|整装待发的罗马士兵严阵以待，立于大漠之中，[卢魁斯]听闻后便快步返身城内。
1:6:53|1:6:57|大殿之内，一众身披玄甲，头围包巾的士兵，纷纷低头向[卢魁斯]示意。
1:6:58|1:7:5|还没走进门，他便发现花高一脸局促。稍作犹豫之后，来到了大殿中央。
1:7:5|1:7:12|接着便看到太守的手下[马闯]，冷着双目站在小王子身侧。
1:7:16|1:7:26|本不见[霍安]就感觉不妙，又听闻小王子和花高的高声呼喊，[卢魁斯]瞬间明白，自己已经身陷囹圄。
1:7:36|1:7:44|在小王子的嘶吼声中，[卢魁斯]手持短剑，寒光一闪，手中冷意油然而生。
1:7:56|1:8:6|[马闯]见势头不妙，一箭射中[卢魁斯]左膝，见他折断半截剑仍然骑身而上，[马闯]迅速绕至[卢魁斯]身后，一剑钉入他的后胸口。
1:8:8|1:8:10|偷袭得逞，[卢魁斯]狼狈地跪在地上。
1:8:10|1:8:14|原本犹豫不决又，手持短刀的士兵趁其不备，一脚踹上他的后背。
1:8:22|1:8:32|小王子让他离开的哭喊声不绝于耳，但[卢魁斯]充耳不闻，颤抖双臂，撑起半身，不断向前挪动着。
1:8:32|1:8:41|[马闯]见此，仿佛也陷入了乐趣当中，只要[卢魁斯]起身，他便用剑鞘重击对方的面部，
1:8:41|1:8:49|力道之大，竟将其直接扇翻过身。画面一转，来到城中的小书斋，
1:8:58|1:9:5|及时赶到的[霍安]拽过官兵的衣领扔向一边，又夺走长剑，劈晕压着[秀清]的士兵。
1:9:5|1:9:13|打斗的动静很快引起了巷内其他官兵的注意。
1:9:13|1:9:21|[霍安]竖起刀背近身迎战，三两下便将前来增援的士兵连连击退，接着将[秀清]护在身后。
1:9:23|1:9:30|此时躲在草垛旁的士兵举刀就要砍来，刚踏出半步，便遭迎面一箭。
1:9:30|1:9:34|屋顶之上，[冷月]收弓斜视。
1:9:34|1:9:47|不远处，官兵源源不断从城门洞中鱼贯而出。[霍安]当机立断，吩咐[秀清]照看孩子。
1:9:47|1:9:54|[冷月]也带着[红日]迅速躲进小书斋中。待官兵推开屋外的大门，便隔着窗户放出冷箭。
1:10:13|1:10:18|[冷月]虽然百发百中，但奈何屋外人多势众。
1:10:24|1:10:27|发现官兵即将压到门外，[霍安]连忙催促[秀清]和孩子们逃至二楼。
1:10:28|1:10:32|接着迅速打量屋内的情况。
1:10:32|1:10:40|看到半人高的窗户后立即将其推开，又将挂在屋内的长蔓一头系紧，另一头从窗边抛下。
1:10:42|1:10:50|冷月则拉开长弓，蹲守在二楼的楼梯口，官兵只要冒头便遭射杀。
1:10:51|1:11:3|此时的[霍安]从窗口翻出，抓紧长蔓后快速降至小书斋的后院，待他站稳，便急忙将长蔓绕在腰部，随后大手一张，一道用布做的滑梯显现于身前。
1:11:4|1:11:13|[秀清]连忙将孩子们一个一个排好，将他们扶到长蔓上，小心滑下。
1:11:23|1:11:29|追兵此时已经涌入楼梯，[冷月]见势头不妙，连忙拨下书架向对方砸去。
1:11:34|1:11:40|接着翻身一跃，后仰跳进长蔓，顺势一箭将追兵封喉。
1:11:40|1:11:46|[霍安]随即扔下长蔓，转身跑向巷口。
1:11:50|1:11:55|看到[霍安]等人调转方向从酒坊内穿过，官兵赶忙追上。
1:11:55|1:12:1|为首之人刚刚踏进门槛，便遭迎面一箭，原来[红日]早已在此静候多时。
1:12:3|1:12:12|暴怒的官兵正打算向前继续追击。酒坊内，[红日]的手下迅速逼紧房门，实施冷箭，直射对方的面门。
1:12:13|1:12:22|此时，[霍安]带领众人拐进集市中央。[冷月]与[红日]会合之后，站在队首，瞄准巷口。
1:12:23|1:12:27|官兵刚踏入半步，便被飞驰而来的长箭直插咽喉。
1:12:39|1:12:45|[霍安]撇见此处战况激烈，连忙嘱咐孩子们跟随[秀清]先行离去。
1:12:45|1:12:52|此时弓箭手已然压上，乱箭之中，成功地将[红日]手下的胸口射了对穿。
1:12:52|1:12:59|目睹此景的[红日]立马转身拉弓，一箭射出之后，竟直穿竹竿钉入官兵
1:13:4|1:13:18|看到[霍安]随手拿起一块木板，挡在[冷月]和自己身前，[红日]大喝快走。不巧，南狄小孩逃跑途中，书本掉在了地上，[秀清]看着他转身去拿，不顾危险联盟去追。
1:13:21|1:13:45|[秀清]竟用身体挡住了孩子，后脖颈和背部直直插入了两只长箭，[霍安]大惊失色，连忙竖起一块木板背在身上，来到二人身后，单手扶起[秀清]之后，护着他们一点一点朝巷尾挪动，不过瞬间木板上便插满了长剑，个别箭镞更是直接没入了[霍安]的肩头。
1:13:45|1:13:50|终于，三人迈着艰难的步子挪动到官兵的视线死角。
1:13:51|1:13:59|[霍安]连忙将小孩推向一边。另一边，为救[红日]手下以背作盾挡在他的身前。
1:14:0|1:14:7|咬牙说出一声，兄弟走好。[红日]顺势解下长剑，搭弓怒射。
1:14:9|1:14:20|[霍安]看到一行人深陷困境，连忙冲到巷子边，拉过装满稻草的推车，躲过嗖嗖冷箭之后，又用铁锹掀起路边烧得正旺的炭火。
1:14:21|1:14:29|四散在空中的碳块，瞬间燃烧火苗，砸向推车外的官兵。
1:14:30|1:14:42|接着，又拿起两罐酒瓶抛向空中，不需多言，[红日]便已知晓[霍安]的打算，连续两箭将酒瓶贯穿。煞时，众人身前的推车被火焰吞噬。
1:14:43|1:14:53|趁此时机，[霍安]转身横抱起已经晕倒的[秀清]，连忙奔出了集市。来到大漠中，
1:14:53|1:15:8|胸前衣襟已被血色染黑的[秀清]，乌黑的鬓发中，渗着冷汗躺在地上，[秀清]不顾疼痛，轻轻握住[霍安]的手说。
1:15:11|1:15:19|[秀清]忍不住用沾满灰纱的纤纤玉手抚上[霍安]的脸颊。
1:15:20|1:15:29|一双眼眸似是被露水浸透过，闪着光。
1:15:32|1:15:38|还没等不容易，三个字说完，[秀清]的手便沿着[霍安]的脸颊划至他的胸口，
1:15:38|1:15:46|最终，无力地搭在他的胳膊上。望着弯起嘴角合上双眼的[秀清]，
1:15:46|1:15:54|[霍安]双手垂在身前，泪水夺眶而出。楼兰古城内，[卢魁斯]双脚靠着重锁，
1:15:54|1:16:2|双腿弯曲被吊在铁架之上，唯一能让他直立的，则是环绕在双臂上，手腕一般粗的铁链。
1:16:4|1:16:13|重兵把守之下，囚牢外仍时不时走过陈列的士兵。此时，[提比斯]缓步驻于囚牢门前，
1:16:13|1:16:21|待四名士兵合力推开大门之后，他便提步而入。门外的士兵连忙转动连接铁链的齿轮，
1:16:21|1:16:36|[卢魁斯]随即一点一点被升入半空之中，望着满脸痛苦的[卢魁斯]，[提比斯]微笑着说道，欢迎回家，并表示自己对这个场面期待已久。
1:17:21|1:17:36|说到兴起之处，[提比斯]干脆挑明，他其实早已经和[霍安]的手下[殷破]串通好了，只要十万精兵一到大汉的边境，[殷破]便会将边防帅印和兵符通通上交。
1:17:37|1:17:45|到那时，丝绸之路一带将全部归于罗马帝国所有，而拥有这一切的代价，
1:18:9|1:18:18|毕竟一个手无寸铁的孩子没有任何的威胁。[提比斯]听此垂眼望去，低声表示。
1:18:42|1:18:57|接着，[提比斯]又回想起在柱台之上的情景，风沙裹挟着夕阳，吹入破损的柱台之上，[提比斯]率领一部分精英小队，不断向抱着小王子后退的花高处逼近。
1:19:19|1:19:32|此时，已经无路可退的花高，看到[提比斯]竟示意自己跳下柱台，用力紧闭双眼之后，深吸一口气，抱紧了小王子便仰面朝后面倒去。
1:19:34|1:19:40|就这样，二人掉入了无尽的深渊。得知小王子已经被逼上绝路，[卢魁斯]咬紧牙关。
1:19:44|1:19:48|空气中仿佛凝成了刺人的冰碴，而[提比斯]却无所谓地漫步于刑台之上。
1:19:50|1:19:56|过了一会儿，便表示小王子已死，那么和[卢魁斯]之间便再无冲突。
1:19:56|1:20:11|说完，提比斯再次走回[卢魁斯]身边，在其耳边轻轻表示，要说一个秘密，自己最近在照镜子时，竟然发现镜中人与[卢魁斯]极其相似。
1:20:14|1:20:21|话音刚落，不知何时经握住铁链的[卢魁斯]右腕用力，一边直击提比斯面门，
1:20:30|1:20:39|否则一切都变得枯燥乏味了。说完便抽出随身的短刀，用刀尖描画着[卢魁斯]的面庞，目光凶狠。
1:20:42|1:21:1|姗姗来迟的[霍安]此时蹲在雁门关内，看着被踩在地上的罗马军团旗帜，陷入了沉思。[雁头]率领一众士兵，站在城门洞前，低低地向他道歉。
1:21:4|1:21:6|[老鼠]扭捏了半晌，也随即附和。
1:21:7|1:21:15|接着，[霍安]看到二人推推搡搡，于是眯起眼开口说道。
1:21:20|1:21:31|彼时，提比斯的副将手握短剑，立于雁门关城门前，开口便说，丝绸之路上的各国在日后将由罗马帝国重整。
1:21:39|1:21:44|提比斯抬起双眼，看了眼被压至身前的白戎酋长。
1:22:7|1:22:15|无理的要求，惹得[冷月]大怒。一时间，[霍安]一行人竟被城内三十六一族持棍围住。
1:22:38|1:22:47|待南狄、乌孙、突厥人发泄完怒火，一直没出声的[龟兹人]也紧了紧喉咙，大声说道，自己一辈子被人呼来喝去，这一次，是时候来主动作出选择。
1:22:50|1:22:57|男人的呼声很快引起了其他人的共鸣，纷纷向[雁头]怒喊，快把[霍安]交出去。
1:22:58|1:23:8|[霍安]见状，面色平淡，抬起头向[雁头]望去。
1:23:10|1:23:20|捏着军团旗帜的[霍安]，看了看四周手持棍棒的人群。
1:23:21|1:23:30|他咬紧牙关，目光十分坚定。[冷月]诧异地放下刀走到[霍安]面前。
1:24:0|1:24:6|[冷月]一惊，急忙跟在[霍安]身边，刚一近身便听他说道。
1:24:7|1:24:16|此时，[霍安]抬脚走向[霍去病]的盔甲处。
1:24:54|1:24:58|原本还舞刀弄枪的一族听完松开了武器。
1:25:10|1:25:19|[霍安]说到此处，动情落泪。一番肺腑之言，竟惹得众人跟随[霍安]一同落泪。
1:25:19|1:25:27|接着，便见[霍安]吸了吸鼻子，扬起嘴角巡视众人面庞。
1:25:51|1:25:58|说话间，一滴泪水划过[霍安]的脸颊。
1:26:0|1:26:9|[霍安]饱含深情地抬头看着天空。
1:26:11|1:26:17|[冷月]看着早已泪流满面的[霍安]，低下了头。
1:26:21|1:26:28|猛地听闻[霍安]仿佛交代后事一般的语气，[冷月]再也忍不住浑身发颤。
1:26:29|1:26:38|于是在霍去病的盔甲前，三十六国的旗帜分立两侧，被一点点用麻绳拽上了天空。
1:26:38|1:26:46|待[霍安]亲眼见证此景之后，[雁头]和[老鼠]为其装上手铐，向楼兰古城的方向走去。
1:26:46|1:26:53|一小队人马很快就翻过荒漠，在提比斯副将的带领下走向古城。
1:26:55|1:26:59|此时，[老鼠]和[雁头]回忆道。
1:27:30|1:27:36|[霍安]又根据[老鼠]线人提供的情报，猜到囚室之中必然关押着[卢魁斯]。
1:27:36|1:27:45|不知三人打算的提比斯副将随即带领他们越过一道重门。从小道尽头。
1:27:45|1:27:57|全是被铁笼关押的[卢魁斯]部下，他们看到靠着手铐的[霍安]，愤怒地扒紧铁笼，笼边铜锁在阵阵挤压下，发出铛铛声响。
1:27:59|1:28:4|没能过多停留的[霍安]很快被推上长街，来到大殿之内。
1:28:5|1:28:9|端坐于宝座之上的提比斯，看着一脸愤怒的[霍安]笑了笑。
1:28:47|1:28:54|[雁头]和[老鼠]连忙假意上前拉住他，眼看提比斯霎时坐直了身体，[霍安]低声质疑说。
1:28:56|1:29:1|[殷破]真的会因为一个都护府太守之位而交出丝绸之路吗。
1:29:1|1:29:4|就在提比斯反问[殷破]是否有问题时，
1:29:17|1:29:26|提比斯顿时面色一冷，[霍安]倒是不着痕迹地喘了口气，斜过眼珠和身边的[雁头]对上视线。
1:29:28|1:29:50|城外[殷破]望着黑压压的军队，急忙停下。身边的都尉见此，拿出木盒中大约小臂长的帅印，然而[殷破]没有理会，知会一声马闯，二人便驾马向前走去。混入军阵中的[老鼠]轻声问道。
1:30:10|1:30:16|[雁头]一把将[霍安]推进铁笼，随即拍拍手走到副将身前，向对方讨要商量好的金币。
1:30:30|1:30:33|[雁头]随即卸下[霍安]的手铐。
1:30:33|1:30:40|此时，[殷破]翻身下马，带着马闯等六人漫步至提比斯面前，接着双手一张，笑着说道。
1:30:50|1:30:57|那么他也会按照约定，用边关印件来交换，谁知提比斯竟提起了[霍安]。
1:31:2|1:31:10|此时的[霍安]蹲在铁笼中央，悄悄地说完自己的计划之后，便让士兵分散开来，把住铁笼的栏杆。
1:31:10|1:31:18|在众人的合力之下，铁笼竟被生生拔起两寸多高。摇晃之间声响声惊动了不远处把守的士兵。
1:31:20|1:31:30|借助[霍安]的力道，[卢魁斯]的副将们沉肩撞上铁笼的另一头，瞬间，笼子便倾斜着翻入三米多高的过道之中。
1:31:32|1:31:45|原本牢靠的栏杆也断裂开来，到走出的尽头，另一个牢笼中的士兵见此，激动地大喊，[霍安]，赶快把铜锁的钥匙扔过来。
1:31:46|1:31:54|正当士兵将手伸出铁笼之外，反向解锁时，一波守卫手持短剑，拾阶而下。
1:32:2|1:32:7|另一旁的士兵拽开铜锁，以身迎刃撞开大门冲了出去。
1:32:7|1:32:10|司马看见信号箭后。冲身边的人指示。
1:32:12|1:32:17|混在队伍中的[霍安]手下，长弓拉满，一箭直插提比斯骑兵咽喉。
1:32:25|1:32:31|提比斯发觉不远处的情况之后，扭身望向谋臣[阿格里]。
1:32:48|1:33:1|只要杀了[殷破]，都护府太守之位便归他所有，[殷破]见此连忙握住刀柄，接着二人眼神一换，无声中默契十足，竟齐齐拔刀向提比斯砍去。
1:33:1|1:33:10|还未进身，马闯便遭长剑直竖眉心。被划破脖颈之后，一命呜呼。
1:33:10|1:33:17|随行更是被一拥而上的士兵直插胸部，眨眼间只剩[殷破]一人。
1:33:17|1:33:27|怒极的他横起长剑便向提比斯砍去，谁料对方闪身一躲，一劈一扫，[殷破]的背部和大腿霎时渗出鲜血。
1:33:27|1:33:36|但[殷破]仍不死心，挑起剑再次向提比斯袭去，电光火石之间举剑的右腕竟直接被砍下。
1:33:36|1:33:45|遭疼痛麻痹的[殷破]瞬间定住，提比斯趁机绕至他的身后，接着，甩起长剑，重重地穿过了他的胸膛。
1:33:45|1:33:54|接着舔了舔站在手上的鲜血。楼兰城内，[霍安]带领一众罗马士兵和守卫陷入了混战。
1:33:56|1:34:12|夺过一柄袭来的长剑之后，[霍安]闪躲着身子，连忙向台阶高处，[卢魁斯]囚牢的地方进发，很快，他便来到平台，带上随身的护具，三两下就解决了两个守卫。
1:34:13|1:34:18|此时，城外的守卫连忙向提比斯通报，称城内的监狱里出了大乱子。
1:34:20|1:34:28|提比斯暗暗地说，一定是[霍安]搞的鬼，于是连忙用剑尖怒指手下，沉声说道，立刻派人增援。
1:34:28|1:34:36|接着，他利剑入鞘，斜斜地靠在身后的宝座之上，望着战场上厮杀的人群，冷漠一笑。
1:34:36|1:34:44|而古城之内，[霍安]也终于清理完面前的守卫，和罗马士兵用力一推，打开了囚牢大门。
1:34:44|1:34:51|罗马士兵一看，[卢魁斯]面前还横起一道铁门，连忙返回牢外，吃力地转动齿轮，
1:34:54|1:35:6|[霍安]则趁机从门边的武器架上拿起一把刀，待铁门升起之后，不断用其砍向[卢魁斯]小臂上的铁链，试图将他营救下来。
1:35:16|1:35:29|[卢魁斯]的双眼竟被挖了下来，剑眉之下，整张脸近乎糊满了鲜血，接着他晃了晃凌乱又潮湿的头发，张开被吊在铁链上的手，示意[霍安]与其交握。
1:35:32|1:35:37|[霍安]刚伏上去，便听到[卢魁斯]问，这本是罗马的家事，为何要参与进来。
1:35:38|1:35:45|气急的[霍安]一边疯狂乱砍铁链，一边回答说，这是他的职责。
1:36:13|1:36:18|所有和他一起守护这座城的人，都会是他永远的朋友。
1:36:21|1:36:29|不料，话音刚落，埋伏在顶处的守卫抬起酒桶便泼向囚牢中，挂在墙壁上，燃烧的火把上。
1:36:29|1:36:36|[霍安]一个踉跄连连后退，再抬眼便见及腰的大火已将[卢魁斯]包围。
1:36:36|1:36:41|于是他立刻脱下长袍，急忙甩向身前的火焰。
1:36:59|1:37:5|否则[霍安]和罗马军团都会陪葬于此。
1:37:6|1:37:15|听着[卢魁斯]撕心裂肺的呼喊声，[霍安]后退半步，捡起掉落在脚边的罗马短剑和[卢魁斯]的发带。
1:37:16|1:37:22|已经快要跑出囚牢的[霍安]，听到这颤抖的呼声，瞬间明白了什么。
1:37:22|1:37:30|于是他缓缓转过身，扭头看向门边的武器架，喘了几口粗气，便抬脚走近。
1:37:31|1:37:38|想了想之后，抬手拿起架上的一把剑弩，然后艰难地将箭直直地对准[卢魁斯]的方向。
1:37:43|1:37:52|听到[卢魁斯]用哀求的声音念出，让我回家四个字，原本还很坚定的[霍安]瞬间紧闭双眼垂下了头。
1:37:53|1:38:2|再抬起时，双眼已然含泪。接着，他紧盯[卢魁斯]颤抖着双唇说道。
1:38:3|1:38:10|话音刚落，[霍安]便咬牙扣下扳机，短箭划破滚滚热浪，直直地向[卢魁斯]刺去。
1:38:11|1:38:19|那一瞬间，[卢魁斯]仿佛又回到了那金碧辉煌，让人魂牵梦萦的罗马宫殿。
1:38:19|1:38:28|看到被一箭直插咽喉，却笑着闭上双眼的[卢魁斯]，[霍安]拿起他的发带系在额前便转身离去。
1:38:29|1:38:33|囚牢门外，摩肩接踵之声，声声入耳。
1:38:36|1:38:42|原来是小道内，两列守卫手持盾甲弓弩，有序地跑来。
1:38:42|1:38:48|罗马士兵以及[雁头]的手下连忙蹲在台阶顶端，双手持剑保持警戒。
1:38:48|1:38:58|然而守卫一声令下，躲在长盾后的冷箭手冷箭齐发，四个罗马士兵瞬间被击中，失去平衡，翻滚着跌下台阶。
1:38:58|1:39:6|守卫见此立刻排起长队，将士兵纳入身前，接着拿起长枪乱刺对方胸膛。
1:39:12|1:39:21|待他粗略地止血过后，突然发现了脚边散落的石块。
1:39:21|1:39:28|士兵们也瞬间回过神来，连忙翻起四散在周边的石块，奋力砸向台阶下的守卫。
1:39:28|1:39:35|原本手持长盾，站成一排向上推进的守卫，被砸得歪七扭八。
1:39:37|1:39:41|看来此招可破遁甲阵，[霍安]便高声呼喊众人捡起更大的石头。
1:39:41|1:39:52|看着守卫仍然举着长盾向上走来，罗马士兵连同[霍安]一起，终将四人宽一人长的大石块奋力地推了下去。
1:39:53|1:39:59|[雁头]手下也毫不示弱，七八个人合力搬起石柱，再次砸向守卫。
1:40:4|1:40:11|面前的遁甲阵，终于被巨石扯开一个大口，[霍安]见状连忙率领众人，直冲而下。
1:40:11|1:40:16|然而夺下守卫的长剑之后，[霍安]于心不忍难以痛下杀手。
1:40:19|1:40:23|但刚刚放走对方，就被另一拨人偷袭，小腹处更是遭长枪直入。
1:40:23|1:40:28|罗马士兵也不愿与同胞兵刃相接，仅仅只是怒斥对方赶快离去。
1:40:34|1:40:39|看着周遭守卫连忙逃窜之后，众人也毫不恋战，互相催促着赶快离开此地。
1:40:42|1:40:48|刚拐进一个小道中，士兵斜眼便看到身披重甲，手持短箭的守卫，从东西和北面相拥而来。
1:41:3|1:41:9|罗马士兵听此。操着沙哑的声音高呼说。
1:41:9|1:41:17|接着又振奋下令，列阵迎战。[霍安]及[雁头]手下连同罗马士兵，立刻竖起长盾直冲三面守卫。
1:41:17|1:41:23|突然，[霍安]瞥到身旁散落的大石块，又回想起在雁门关筑城时，罗马人妙用长盾的画面。
1:41:29|1:41:33|在他的指示之下，队伍很快列成尖刺型冲锋阵。
1:41:34|1:41:41|前有长枪军，刺破盾而出，后有巨石，立于双盾之上，左右两旁各列少许遁甲兵。
1:41:42|1:41:45|众人齐心协力，推着巨石阵勇猛向前。
1:41:52|1:41:59|岂料刚一打开城门，抬眼便见到提比斯麾下尾部的守卫，转身怒视[霍安]等人。
1:42:0|1:42:6|长枪直指这一小队人马，于是[霍安]连忙率领众人爬上一旁的矮山。
1:42:8|1:42:10|不巧的是，已被谋臣阿格里发现。
1:42:10|1:42:17|带众人登上山头，士兵望着正前方严阵以待的十万大军，瞬间陷入了绝望。
1:42:28|1:42:36|但[霍安]早已破釜沉舟，高呼说，是兄弟就死在一起。望着近乎不自量力的[霍安]等人，
1:42:36|1:42:45|提比斯那人间修罗模样的面庞，竟扯出一丝微笑。突然，天边的异动引起了他的注意。
1:42:45|1:42:53|回首望去，黑压压一片仿佛能填满天空的苍鹰，竟朝着十万大军奔袭而来。
1:42:53|1:42:59|即便守卫手持长盾短剑，仍然不敌那自高空疾驰而下的猛禽。
1:42:59|1:43:8|从天边到战场，他们几秒内就刺穿了人们头顶上方的空气，随后便肆意攫取着守卫的眼球。
1:43:8|1:43:20|内心暗道不妙的提比斯赶忙向远处望去，不知何时，北面高耸的山头上混着飞沙，竟出现了不计其数的骑兵。
1:43:21|1:43:28|再向西方看去，头戴圆帽的白戎酋长率领手持狼牙棒的骑兵也刚刚翻过山头。
1:43:29|1:43:34|此时，围着长纱的突厥人马则从南方持刀赶来。
1:43:34|1:43:39|而东面的山头上，也涌进了大批的龟兹士兵。
1:43:39|1:43:44|不多时，三十六国人马竟齐齐从四面八方集结而来。
1:43:44|1:43:48|饶是[霍安]也看呆了过去。
1:43:49|1:43:53|最先赶到的匈安人率先锤响攻击的战鼓。
1:43:53|1:44:2|[冷月]一马当先，背着长弓利剑从山头疾驰而下。白戎酋长也不甘落后，带士兵弹起肃杀的战琴，
1:44:2|1:44:11|亮出弯刀，直指提比斯十万军马。南狄人则敲响铜鼓，接着策马从山头奔下。
1:44:15|1:44:19|龟兹人此时则吹起长号，脚声满天之下，他们昂着头颅，奋力直前。
1:44:20|1:44:27|紧随其后的乌孙人则举起重锤敲向铜锣，霎时间骑兵策马扬鞭直冲而下。
