0:0:25|0:0:32|黄土高原上的一条小道蜿蜒曲折。
1:5:18|1:5:30|[游天鸣]在[师父]家住了一晚，第二天早晨，[天鸣]起床走到院子里，边穿自己的衬衣边喊。
1:5:34|1:5:43|家里没有人，[天鸣]来到厨房，打开灶台上的锅盖，里面是[师娘]为他留的一碗地瓜，还冒着热气。
1:5:43|1:5:48|[天鸣]一手拿了一个，吃了起来。
1:5:48|1:5:49|他走出厨房来到堂屋。
1:5:53|1:5:59|把地瓜放到桌子上，然后把自己衣兜里的钱全都掏了出来。
1:5:59|1:6:9|他数了数，本想只留下整钱，但犹豫了一下，把所有的钱都放到了桌子上，用[师父]破旧的收音机压住。
1:6:13|1:6:22|[师父]和[师娘]已经在地里劳作了，[天鸣]提着行李来到了菜地，但是只是远远地看了一眼便继续赶路了。
1:6:29|1:6:33|依旧是父亲送她来拜师时的那条小道。
1:6:33|1:6:38|尤天明现在的步伐中，多了一丝坚毅和担当。
1:6:38|1:6:45|尤天明的家中，穿着碎花连衣裙的妹妹秀芝，急匆匆地走到院子里，准备骑车去上班。
1:6:51|1:6:59|母亲把饭盒放到她的自行车车筐中，他在门口碰到了刚回来的天明。
1:7:55|1:8:5|无双镇热闹的集市上，尤天明来到一个团内前，拿起一个小商品查看。
1:8:5|1:8:11|突然有人在背后捂住了他的眼睛，他正脱开。
1:8:25|1:8:27|傍晚，[二师兄]俩在[童年蓝玉]家的院子里喝酒吃饭。
1:8:59|1:9:0|他们举起酒杯。
1:9:8|1:9:13|[游天鸣]低着头，无奈地笑了。
1:9:15|1:9:20|[童年蓝玉]又喝了一杯。
1:9:45|1:9:47|天明一脸震惊。
1:10:6|1:10:10|[兰兰]起身，进屋拿出钱包。
1:10:10|1:10:13|从钱包里掏出一张照片。
1:10:13|1:10:16|这是[兰兰]和秀芝的合影。
1:10:30|1:10:35|[兰兰]吃了一口菜说。
1:10:54|1:11:1|第二天，森林洞的游家伴们正在为游家老人的大寿祭献上各种食品，大酒万口。
1:11:22|1:11:26|然后给大家递上香烟。
1:11:26|1:11:30|洋乐队开始调试乐器。
1:11:30|1:11:34|[兰兰]说
1:11:34|1:11:37|站在台上的还有一位穿着性感的女歌手。
1:11:47|1:11:50|[游天鸣]站起来，往洋乐队走去。
1:11:51|1:12:0|有[游天鸣]眼睛紧紧盯着洋乐队的演奏，往前走去。
1:12:0|1:12:4|洋乐队前，已经聚集了很多前来的热闹的公民。
1:12:4|1:12:7|布置的鼓棒敲击着架子，配合着其他乐队。
1:13:5|1:13:10|师傅已经有些认不出长大的[童年蓝玉]了，尴尬地笑了笑。
1:13:10|1:13:15|这时，突然又有越来越多的人回到了洋人的这里。
1:13:15|1:13:20|原来，女歌手开始唱歌了。
1:13:20|1:13:27|女歌手身着豹纹紧身裙，戴着项链打扮于幸福时尚。
1:13:45|1:13:47|[焦三爷]气愤地说。
1:13:55|1:13:58|有[游天鸣]直接拿起酒瓶，好饮了一口。
1:14:2|1:14:5|这突然的唢呐声让台上的女歌手吓了一跳。
1:14:52|1:15:0|东洋乐队前围着一层又一层的观众，与游侠般的无人问津，形成鲜明对比。
1:15:0|1:15:14|人群中，有个带着妙镜的年轻人，同学们都不愿意打扰，他领着小兄弟来到[游天鸣]身边。
1:15:14|1:15:20|他拍了拍[游天鸣]的肩膀，[游天鸣]并不理会他。
1:15:49|1:15:52|柳三一拳起身，也给了[兰兰]重重一拳。
1:16:26|1:16:30|大家停下来，洋乐队也停止了演奏。
1:16:30|1:16:40|[焦三爷]失落地环顾四周，看到了散落在地上已经被踩得变形了的七零八落的索纳。
1:16:40|1:16:46|他心疼地捡起来，握在手里，眼神迷离地看向远方。
1:16:53|1:16:59|[焦三爷]背着手气冲冲地走出了雷家，[童年蓝玉]和尤家班都在身后跟着。
1:17:1|1:17:6|[焦三爷]没有理会，大家也不再跟随。
1:17:6|1:17:10|[兰兰]把手搭在[游天鸣]的肩上安慰他。
1:17:10|1:17:17|[焦三爷]独自一人快步走在乡间小道上，逐渐远去的背影显得孤独落寞。
1:17:19|1:17:23|天明家中，母亲熬了一壶中药倒进碗里。
1:17:23|1:17:30|天明坐在床上大口喝下，又喝了一口清水漱口。
1:17:30|1:17:33|母亲摸了摸天明的额头。
1:17:35|1:17:39|母亲整理好枕头让天明躺下。
1:17:48|1:17:55|母亲把水倒在一个碗中。
1:18:33|1:18:38|父亲用脚合上箱子，提着一个铁桶走出去。
1:18:44|1:18:50|父亲看向大门外，问，这谁死了？
1:19:38|1:19:38|[游天鸣]一愁莫展。
1:19:38|1:19:40|这时，[焦三爷]得知了消息，气冲冲地赶到[游天鸣]家。
1:19:40|1:19:41|此时的他已经病得很重了。
1:20:5|1:20:9|[焦三爷]情绪激动，咄嗦了几声。
1:20:9|1:20:13|一时气息不顺，亮亮呛呛地扶住旁边的花台。
1:20:13|1:20:17|[游天鸣]赶忙走过来，轻轻拍打师父的后背。
1:20:17|1:20:19|[焦三爷]转过身，坐在花台上。
1:21:5|1:21:8|[师娘]冲出去，又转过身。
1:21:12|1:21:16|[游天鸣]跟着师父出门了。
1:21:16|1:21:19|[焦三爷]一脚踹开[二师兄]家的铁门，直接冲进院子里。
1:21:26|1:21:33|[二师兄]与[焦三爷]对视，既恐惧又愧疚，他正收拾行李准备外出。
1:21:33|1:21:42|[焦三爷]直接把已经装进蛇皮袋中的衣服往外扔，有的直接飞到了[游天鸣]的头上。
1:21:42|1:21:48|[二师兄]的母亲卧病在床，透过窗户看到[焦三爷]发了风势地扔衣服。
1:21:48|1:21:54|[二师兄]站在一旁，身体有些颤抖，[焦三爷]把袋子里的衣物全都倒了出来。
1:21:57|1:22:2|家里养的一头猪跑出了猪圈，也蒙着一件衣服。
1:22:2|1:22:17|[二师兄]走过去，把他赶走，一件一件地捡起散落在院子里的衣服，甚至跪在地上捡衣服。
1:22:17|1:22:24|他捡了满满一怀的衣服，想重新装进袋子，可是[焦三爷]一脚踩住袋子。
1:22:24|1:22:26|[二师兄]抬头看向师父
1:22:28|1:22:34|又低头使劲扯袋子，可[焦三爷]踩得更重了。
1:22:34|1:22:44|最后，[焦三爷]一脚把[二师兄]踹到了一边，屋里病重的母亲颤抖着嘴唇，流下了眼泪。
1:22:44|1:22:48|[二师兄]用胳膊支撑着身体，他的鼻子出了血。
1:22:50|1:22:54|他用手擦了一下鼻子，又看向师父。
1:22:54|1:23:1|[焦三爷]的情绪平静下来，看到徒弟受了伤，有些心疼地把头扭到了一边。
1:23:1|1:23:5|[焦三爷]又转头看了眼[二师兄]，然后静止走出了家门。
1:23:5|1:23:11|[游天鸣]赶紧追上去。
1:23:11|1:23:16|日落西山，[焦三爷]带着劝回来的徒弟和[游天鸣]走在小路上。
1:23:24|1:23:29|大师兄停住脚步，等后面的[游天鸣]走近，对他说。
1:23:38|1:23:42|[游天鸣]没有回应，继续追着师父走。
1:23:42|1:23:49|[焦三爷]领着徒弟们到了火庄，在村口遇到了提着一面鼓的有本盛。
1:23:54|1:23:58|[焦三爷]在灵堂给窦村长上了三根香，行了礼。
1:24:10|1:24:14|窦村长打过日本鬼子，教过土匪。
1:24:17|1:24:19|让石头压断了四根肋骨。
1:24:37|1:24:41|窦村长的儿孙们给[焦三爷]发了这信。
1:24:54|1:25:1|村民们盯着这个有些陌生的面孔，[游天鸣]紧张地站起来，父亲走过来说。
1:25:5|1:25:7|大师兄对[焦三爷]说。
1:25:11|1:25:16|[焦三爷]看向[游天鸣]，他因为发烧，脸颊通红，满头虚汗。
1:25:18|1:25:22|[焦三爷]思考了一下，站起来说。
1:25:22|1:25:30|大伙儿都看见了，尤家班的班主病了，没有立即吹白鸟嘲讽。
1:25:38|1:25:45|[游天鸣]给师父地上锁纳，师父坐在正中间的太师椅上，他示意了一下徒弟们。
1:25:54|1:26:2|[焦三爷]用尽全力吹响白鸟嘲讽。
1:26:2|1:26:11|索纳生如泣如诉，窦村长的子孙和其他村民们无不为之动容。
1:26:11|1:26:13|犹天明在一旁配合着师父。
1:27:47|1:27:56|突然，[游天鸣]发现，师傅的索纳碗中流出了烟红的血滴。
1:27:56|1:28:0|有本事也注意到了鲜血。
1:28:0|1:28:4|[焦三爷]忍不住咳嗽了两声，吐出了一大口血。
1:28:8|1:28:11|徒弟们围上来，村民们也关切地看着。
1:28:21|1:28:25|徒弟们把鼓抬到[焦三爷]面前。
1:28:26|1:28:29|师父整理衣服，准备敲鼓。
1:28:33|1:28:34|[焦三爷]对[游天鸣]说。
1:28:35|1:28:38|大家没法说服倔强的[焦三爷]，只得继续演奏。
1:28:56|1:29:1|[焦三爷]先是在靠着敲击，后来也和大家一样站了起来。
1:29:1|1:29:8|他抬头看着天宁，天宁的演奏十分投入，眼睛中闪烁着泪花。
1:29:8|1:29:15|[焦三爷]苍白的脸上露出了欣慰的笑容，之后便敲击得更加耐力了。
1:29:59|1:30:3|[游天鸣]眼神恍惚，一时还无法接受。
1:30:9|1:30:11|[游天鸣]的眼神中充满了绝望。
1:30:12|1:30:29|之后，[焦三爷]躺在一辆木制派车上，[游天鸣]和两个师兄一起翻过崎岖的山路，把师父送回了家。
1:30:29|1:30:31|尤天明家里
1:30:46|1:30:54|晚上，微弱的灯光下，[焦三爷]正在牛圈里，拿着一个刷子给牛刷毛。
1:30:54|1:30:56|他对[游天鸣]说
1:31:4|1:31:13|第二天，天空中下起了淅淅沥沥的小雨，[焦三爷]吃力地给牛背披上梭。
1:31:18|1:31:25|[游天鸣]牵着牛出发了。
1:31:25|1:31:29|[师娘]追出家门，不舍得看着牛远去的方向。
1:31:33|1:31:41|尤天明把卖牛的钱放到[焦三爷]的床头，还给师父买了一双鞋，[师娘]也坐在床边。
1:31:41|1:31:42|[焦三爷]连摇头的力气也没有了。
1:32:39|1:32:41|尤天明低下头。
1:32:45|1:32:53|晚上临睡前，尤天明在床上帮师父擦拭身体。
1:32:53|1:32:55|[焦三爷]还是对锁囊念念不忘。
1:33:7|1:33:10|尤天明犹豫了一下。
1:33:14|1:33:20|[焦三爷]有了些许安慰。
1:33:20|1:33:25|见师父咳嗽得厉害，天明和[师娘]赶紧把他扶起来顺气。
1:33:25|1:33:28|[焦三爷]已在天明的胳膊上，慢慢缓了过来。
1:33:46|1:33:53|[师娘]再也忍不住了，转过身，偷偷擦眼泪。
1:34:10|1:34:15|游[天鸣]把脸贴在师傅的脸上，哭了起来。
1:34:15|1:34:18|第二天，游本盛来到[焦三爷]家。
1:34:22|1:34:25|这位是咱县文化局的副局长。
1:34:50|1:34:52|李悟正在喝中药，[焦三爷]听到了。
1:35:9|1:35:14|一列火车驶入画面，由天明城火车来到了西安。
1:35:14|1:35:20|他在街上四处奔波，终于找到了一处古建筑的施工工地，大师兄领着他。
1:35:20|1:35:27|[童年蓝玉]，[蓝玉]和秀芝都在屋顶。
1:35:30|1:35:38|晚上，大师兄在工地宿舍的厨房里做菜，他把最后一道菜端上桌，三师兄在一旁吹起了唢呐。
1:35:41|1:35:44|往日的师兄弟们围坐在一起。
1:35:52|1:35:56|[二师兄]拿起一个馒头，天明发现了师兄无名指的异常。
1:36:1|1:36:3|秀芝转过头，小声说。
1:36:10|1:36:12|[二师兄]捂住自己残疾的左手，失落地说。
1:36:12|1:36:13|三师兄突然剧烈咳嗽起来，[童年蓝玉]轻轻拍打他的后背。
1:36:35|1:36:37|牛天明低头不语。
1:36:37|1:36:42|第二天，天明、秀芝、[兰兰]三人在永宁门前散步。
1:37:1|1:37:2|[兰兰]继续说。
1:37:23|1:37:27|[兰兰]和秀芝都拿尤天明没办法。
1:37:27|1:37:29|突然，他们被唢呐声吸引了注意力。
1:37:31|1:37:36|不远处，有一个轻瘦的老人在吹锁那，身边还放着一个茶缸。
1:37:36|1:37:41|两个年轻的女孩走过去，往茶缸里放了几枚硬币。
1:37:48|1:37:51|[游天鸣]看到这一幕，心中五味杂陈。
1:37:58|1:38:4|剩下，绿油油的稻苗和满山的青松，显得生机勃勃。
1:38:12|1:38:15|丁阿妞也趴在墓碑旁边。
1:38:15|1:38:25|[游天宁]独自一人，穿着红饰才会穿的红边马甲，并系着红绸子的索纳，为师父演奏百鸟嘲讽。
1:38:26|1:38:34|他仿佛看到了坐在太师椅上的师父，那严厉的外表上藏着一颗炽热的心。
1:38:34|1:38:51|[焦三爷]看到刘春明的肩手，欣慰地露出了笑容。
1:38:51|1:38:54|往日跟随师父学习索纳的场景历历在目。
1:38:56|1:39:1|师傅的英荣笑貌永远刻在了天明的心中。
1:39:1|1:39:8|在师傅家的小院子里，少年由天明跟着师傅一句一句地学习索罗，不知不觉地积攒了一整夜。
1:39:55|1:40:15|尤天宁成为孟子以后，第一次回到师父家里，师父喝醉了酒，高兴得手脑阻挡，像极了小孩子。
1:40:50|1:40:57|坟前的尤天宁已经泪流满面了。
1:40:57|1:41:8|[焦三爷]从太师椅上起身，面有不甘地转身，独自大步走向远方，逐渐消失在画面中。
