0:2:2|0:2:9|十年之约一晃而过，如今的[吴邪]手持寄满各种古墓信息的盗墓笔记，立于青铜门前。
1:11:55|1:12:8|就在千钧一发之际，[张起灵]闻声赶来，只见他面对成群的猫头鹰淡定自若，右手持剑，划破掌心，使其体内的麒麟之血沾满剑身，随后全力将剑插入地面。
1:12:8|1:12:30|一瞬间，[吕子乔]和[陈美嘉]被三道弓术包围，下一秒，身披铠甲手持长剑，[吕子乔]无心观战，抓住机会带着[陈美嘉]向后跑去，可[陈美嘉]脚腕扭伤，行动缓慢。
1:12:30|1:12:33|[吕子乔]见赵，毫不犹豫地抱起[陈美嘉]。
1:12:55|1:13:1|几人穿过狭窄闭塞的洞穴后，竟有一片散发着淡淡光芒的花海映入眼帘。
1:13:8|1:13:14|几人欣赏片刻后，准备继续前进时，无依非看到[张伟]正解开裤腰带。
1:13:29|1:13:34|[张伟]正畅快之时，一支麻醉镖惊感地射到他的后脖颈上。
1:13:34|1:13:36|[张伟]拔下后问道。
1:13:36|1:13:39|可他话音刚落，便两眼一翻晕倒在地。
1:13:39|1:13:44|紧接着，[唐悠悠]也被射中。
1:13:44|1:13:53|反应过来的[吴邪]和[胡一菲]急忙躲到掩体后，正准备与敌人大战一番的[胡一菲]看到了自己腿上扎着的麻醉镖后，无奈地对[吴邪]说道。
1:13:58|1:14:7|无邪的位置已被敌人锁定，哪怕他稍微露出一根手指，也会被数枚麻醉弹击中，自保都成问题，更何况救人。
1:14:7|1:14:15|无邪思考片刻后，不忍地朝山洞内跑去，黄黑红剑状收起麻醉枪并令手下将晕倒的三人绑住。
1:14:15|1:14:28|几个小时后，[曾小贤]和王胖子驾驶着决地者一号来到了一处悬崖边，决地者一号朝空中射出两枚照明弹，只见在数百米的悬崖之下，云顶天宫赫然显现。
1:14:28|1:14:32|二人虽居高临下，俯视宫殿，但仍然被其气势所震撼。
1:14:32|1:14:39|王胖子见后说道。
1:14:39|1:14:49|这时，决地者一号突然发现道路上有动静，将画面放大后，原来是黄黑红的特种部队正绑着一飞三人朝云顶天宫内走去。
1:14:49|1:14:50|王胖子对[曾小贤]说道。
1:15:4|1:15:16|没多久，特种部队便进入到云顶天宫内，架好了设备，[胡一菲]和[唐悠悠]被绑在一边，[张伟]也缓缓从电椅上醒来。
1:15:16|1:15:19|[唐悠悠]指了指桌上各种带血的工具，此时黄黑虹说道。
1:15:57|1:16:2|恼羞成怒的黄飞鸿命令手下开动电椅开关。
1:16:2|1:16:6|黄飞鸿见[张伟]还不开口，便示意手下加强电流。
1:16:6|1:16:9|不料[胡一菲]和[唐悠悠]在一旁，开始了神助攻。
1:16:14|1:16:17|[张伟]被电得全身抽搐，有话都说不出。
1:16:17|1:16:21|黄飞鸿见状，一次又一次地加强电流。
1:16:21|1:16:25|而他此刻，丝毫没有觉察到，脚下的水流正缓缓地流向电影。
1:16:25|1:16:26|下一秒，黄飞鸿便一起出电。
1:16:56|1:17:0|片刻之后，手下擦干积水，救下了[黄黑红]。
1:17:0|1:17:3|[黄黑红]命手下更换了自己的假发后，说道，
1:17:23|1:17:26|不料，[黄黑红]出去后，竟将通道炸毁。
1:17:26|1:17:28|[唐悠悠]看着被堵死的通道。
1:17:28|1:17:29|担心地说。
1:17:32|1:17:40|可就在这时，一阵异响传来，二人闻声望去，只见大殿之上布满蛛丝的石棺竟缓缓移动。
1:17:40|1:17:53|二人虽然无比害怕，但被铁链绑住双手也动弹不得，只能眼睁睁地看着这诡异的一幕，突然一只手死死地扒住石棺，下一秒[张启灵]站了起来。
1:17:53|1:17:55|随后，紫桥抱着[陈美嘉]也从棺中走出。
1:18:0|1:18:2|[张启灵]走来，为二人斩断铁链。
1:19:18|1:19:30|随着黄黑虹启动开关，一朵无辜云赫然升起，响彻整个地宫的爆炸声结束后，众人好奇地朝青铜门望去，只见硝烟之中的青铜门竟然完好无损。
1:19:30|1:19:35|[曾小贤]感叹道。
1:19:35|1:19:39|黄黑虹看着直播弹幕漫天的嘲讽，尴尬地解释道。
1:19:44|1:19:48|黄黑红关闭直播后对身边的手下说道。
1:20:13|1:20:33|另外黑死张家人的水晶蛊好了吗？就在说话之间，黄黑红身后的青铜门竟缓缓打开。门内再次散发出耀眼的光芒。在场的所有人都难以置信地看向青铜门。黄黑红正在想该如何向观众解释时，身边的手下自讨没趣地说道：“老大，有人打我们脸。”
1:20:38|1:20:42|这是[曾小贤]驾驶着决定者一号来到青铜门前。
1:20:54|1:21:3|黄飞鸿看到只有王胖子和[曾小贤]后，便说道。
1:21:3|1:21:20|话音刚落，一直躲在暗处伺机而动的[吴邪]张启灵和战斗力几乎没有的爱情公寓几人，手持武器一起走到青铜门前。甚至连被电到生活不能自理的[张伟]，主旨怪死死地盯着黄飞鸿。几人誓死要守护青铜门背后的秘密。
1:21:36|1:21:43|还没等[曾小贤]说第二句，黄黑红便扣动扳机，可依妃瞬间便来到[曾小贤]的面前接住了子弹。
1:22:34|1:22:39|[张伟]用谨慎的力气掏出主角光环的说明书看后说道。
1:23:7|1:23:8|梅家。
1:23:12|1:23:18|[吕子乔]和[陈美嘉]，这对一直针锋相对的冤家，终于不再隐藏自己对对方的爱。
1:23:18|1:23:22|在生命的最后一刻，食指相扣，缓缓地闭上了双眼。
1:23:22|1:23:26|而躲在一旁的[吴邪]三人，也决定收死一搏。
1:23:26|1:23:31|在对视片刻后，从掩体后钻出，对特种兵们倾泻着心中的怒火。
1:23:31|1:23:34|一瞬间，刚刚安静下来的地宫，再次炮火连天。
1:23:35|1:23:46|前线的特种兵也被突然出现的三人打得溃不成军，可无奈敌人太多，片刻之后，地宫再一次的安静下来。
1:23:46|1:23:51|只见青铜门后一片漆黑，只有一棵参天大树屹立其中。
1:23:58|1:24:2|[曾小贤]听后，便开始仔细地观察着大树。
1:24:2|1:24:12|这大树说来奇怪，它有着无比粗壮的树干和遮天蔽日的树枝，但却不曾长出一片树叶，并且内部到处都遍布着薄薄的一层水。
1:24:12|1:24:14|[曾小贤]看到水中的倒影后说道。
1:24:27|1:24:32|[曾小贤]听后惊讶地回头，没想到大树上竟真的写着WiFi密码。
1:24:47|1:24:55|张青铜门前的王胖子和吴邪虽然没死，但也被抓住。
1:24:55|1:24:58|[张起灵]身负重伤，躲在了石壁上方。
1:25:36|1:25:40|话音刚落，[曾小贤]便被自己的话所启发。
1:26:10|1:26:21|胡一飞听罢，有气无力地看向他，察觉到不对的[曾小贤]向下看去，只见一飞捂着腰间的伤口，鲜血伴随着心跳不停地从伤口涌出，渗透他的衣服。
1:26:26|1:26:28|一飞用尽最后的力气，扑到[曾小贤]的怀中。
1:27:4|1:27:11|依菲满眼不舍地看着自责的[曾小贤]，随后缓缓抬起满是鲜血的手，温柔地抚摸着她的脸庞。
1:27:11|1:27:15|此刻，依菲终于对[曾小贤]袒露心扉。
1:27:43|1:27:47|伊菲发自内心地和[曾小贤]道完晚安后，便闭上了双眼。
1:27:47|1:28:2|[曾小贤]直到最后一刻，都没敢和在怀里这个暗恋了许久的女人对视，直到伊菲离开之后，他才颤抖着呼喊着伊菲的名字。
1:28:2|1:28:7|[曾小贤]紧紧地抱着已经离开的胡伊菲，气不成声。
1:28:7|1:28:10|他感受着伊菲逐渐变凉的体温，无比绝望。
1:28:11|1:28:15|他看向一旁的深坑后，一个大胆的想法在脑海中浮现。
1:28:15|1:28:19|接着，他抱起胡怡妃走到洞边。
1:28:43|1:28:49|[曾小贤]说话，眼神坚毅地与深空对视片刻后，毫不犹豫地跳了下去。
1:28:49|1:28:56|现实世界中的[曾小贤]，突然从医院的病房中惊醒，他大口喘着粗气，问向一旁的医生。
1:29:45|1:29:48|[曾小贤]看着医生离去的背影，十分无奈。
1:29:48|1:29:53|这时，坐在对面病床上，戴着眼镜看报纸的病友突然说道，
1:31:45|1:31:52|三叔听罢，从病床上缓缓起身，长叹了一口气。
1:32:28|1:32:33|[曾小贤]重回青铜门后，竟发现一旁的深坑正在慢慢消失。
1:32:33|1:32:37|紧接着，参天大树也充满血色。
1:33:21|1:33:27|张[启灵]指了指他的下半身，[曾小贤]低头一看，竟发现自己已变成灵魂飘在空中。
1:33:38|1:33:41|[曾小贤]皱着眉沉思了片刻之后说道，
1:33:45|1:33:49|只见其余牺牲者们也在空中漂浮着。
1:34:21|1:34:28|张[启灵]见后情不自禁地抚摸了一下，不曾想张[启灵]的血液竟然激活了铠甲。
1:34:28|1:34:33|护灵铠的左臂忽然飞到了[陈美嘉]的胳膊上，并散发出一阵黯淡的光芒。
1:34:33|1:34:37|大光芒散去后，只见[陈美嘉]竟然重塑肉体。
1:35:0|1:35:16|张[启灵]的眼神格外地坚韧，她调整好坐姿后，将一旁的瓷罐置于面前，又将流血的手掌悬于瓷罐上方，她体内的麒麟之血就这样一滴一滴地流入瓷罐中，这让本就身负重伤的张[启灵]变得更加虚弱。
1:35:16|1:35:23|爱琴公寓的几人看到张[启灵]为了守护青铜门，可以牺牲自己的生命的举动甚是感动，不禁纷纷落泪。
1:35:25|1:35:28|麒麟之血已经滴满了一瓷罐。
1:35:28|1:35:34|张[启灵]瘦弱的身体仿佛被抽干了一般，面无血色，已经连站起来的力气都没有了。
1:35:34|1:35:39|所以，将麒麟之血浇灌在护灵铠上的重刃，落在了[陈美嘉]身上。
1:35:39|1:35:43|[陈美嘉]格外认真地朝护灵铠走去。
1:35:43|1:35:46|全村人的希望，就这样被[陈美嘉]一不留神撒了一地。
1:35:46|1:35:48|这时，她又看向[张起灵]。
1:35:59|1:36:2|[胡一菲]手持降魔宝剑，[唐悠悠]兼备除妖弯弓。
1:36:2|1:36:9|[吕子乔]身披防御铠甲，[陈美嘉]和[张伟]，分别带着象征魔法与力量的左右护臂。
1:36:9|1:36:16|而[曾小贤]却只分到了一个没有任何能力的裙摆，有神器加持的己人，重新杀毁了黄黑红的大本营。
1:36:16|1:36:30|[胡一菲]大摇大摆地出现在敌人面前，特种兵箭杖丝毫不敢怠慢，火速躲到掩体之后，就在特种兵扣动扳机的一瞬间，[胡一菲]发动了绑箭的特殊能力，瞬间移动到士兵面前将其斩杀。
1:36:30|1:36:36|虽然[胡一菲]可以有瞬间移动的能力，但斩杀敌人的瞬间还是会停留在原地。
1:36:36|1:36:46|就在[胡一菲]还在痛快地斩杀敌人时，一个子弹精准地射向[胡一菲]的头部，就在这微妙之间，[胡一菲]身前赫然出现一道透明屏障，让队友可以笼罩在这无敌的屏障之后。
1:37:3|1:37:10|这时，一名狙击手准备从后方偷袭二人，刚刚瞄准好时，竟发现自己的身体缓缓腾空。
1:37:10|1:37:14|这能力正是拥有魔法左臂的[陈美嘉]所使。
1:37:14|1:37:19|只见狙击手被[陈美嘉]抬高到数十米后，重重甩飞，[唐悠悠]悄然从几人身后跑出。
1:37:43|1:37:46|[曾小贤]低头，看向自己的裙子，无奈地说道。
1:37:48|1:38:2|这时，之前被甩飞的士兵晕乎乎地站了起来，[曾小贤]慌忙地从地上拿起板砖将其砸晕，仅仅几分钟，特种兵们就被悉数解决，一名通信兵拿起电话慌张地求助。
1:38:10|1:38:25|就在这时，黄黑红驾驶着绝地者二号抵达战场。
1:38:25|1:38:36|只见绝地者二号背后的导弹发射器迅速瞄准己人，己人也决定用超能力与其对抗，可导弹发射后，己人瞬间破弓，立马逃窜。
1:38:38|1:39:2|在绝地者二号密集的火力压制下，超能力也无法与其正面对抗，几人被打到掩体之后不敢露面，这时王胖子捡起了掉落在地上的机枪，王胖子誓死如归地反击着，就在二号即将一把抓起他时，[张起灵]及时出现将他拉到一边。
1:39:8|1:39:17|王胖子仍然不死心地朝着决定者二号拥挤手雷，手雷的冲击力让其不经后退了两步。
1:39:17|1:39:27|[张伟]抓起时机凌空跃起，静止飞到决定者二号的上方，随后贯注全力四向驾驶舱，可这全力一击，禁止让机甲掉落层漆。
1:39:27|1:39:33|紧接着，二号一个铁拳将其重重击飞到柱子上，好在[陈美嘉]及时用超能力将其平稳地接住。
1:39:35|1:39:41|就在[陈美嘉]查看[张启灵]伤逝之时，二号无情的大脚已经朝二人重重地踩来。
1:39:41|1:39:48|就在这千钧一发之际，紫桥发动铠甲能力，竟硬生生地扛住了足有数十吨重的冲击力。
1:39:48|1:39:57|紫桥强大的保护欲将铠甲的全部实力都发挥了出来，巨大的机械脚掌也被一点点抬起。
1:40:2|1:40:5|每家拽起受伤的[张麒麟]便朝后走去。
1:40:5|1:40:9|看到每家走远后，紫桥也坚持不住，被重重地踩在脚下。
1:40:11|1:40:19|刚刚用尽全力的紫桥，再也没有力气站起身来，只能任由绝地者二号那巨大的铁脚掌无情地踩踏着自己。
1:40:19|1:40:27|黄黑红见到踩踏并没有能对穿着铠甲的紫桥造成严重的伤害，便一把将他抛在空中，随后用机枪扫射。
1:40:27|1:40:31|紫桥完全凭借下意识，用屏障阻挡着飞来的子弹。
1:40:31|1:40:42|可这还没完，只见绝地者二号突然跳起，用机械爪，[陈美嘉]将紫桥怼在重炮前，一炮就让紫桥射回地面，紧接着，数枚导弹接踵而至。
1:40:42|1:40:48|紫桥躺在地上，已经彻底失去了抵抗能力，没走远的[陈美嘉]亲眼目睹了这一切。
1:40:48|1:40:56|她看着自己心爱的紫桥为了保护自己而被如此残忍地虐待，心中的怒火已经无法截止。
1:40:56|1:40:59|只见[陈美嘉]眼眸一光，全身颤抖着发动超能力。
1:41:7|1:41:10|这一波攻击让机甲严重受损。
1:41:34|1:41:37|依妃一声令下，所有人都发动方式。
1:41:37|1:41:40|[张伟]射箭扔出巨石，将机甲砸倒在地上。
1:41:40|1:41:45|随后，依妃在[陈美嘉]超能力的加持下，手持降魔宝剑飞向机甲。
1:41:45|1:41:49|在空中，依妃的意志也让宝剑展现出最终形态。
1:41:49|1:41:55|原本仅一米长的宝剑瞬间喷涌出熊熊烈火，黄飞鸿慌张地朝依妃开火。
1:41:55|1:41:59|而这时，[吕子乔]用尽最后的力气，发动屏障保护着依妃。
1:41:59|1:42:5|[胡一菲]也不负众望，全力一击，直接砍穿机甲，但可惜，并未伤到黄黑红。
1:42:5|1:42:14|机甲铁拳再次袭来，[胡一菲]也被击退数米，而黄黑红没注意的是，[胡一菲]在飞出的瞬间，将宝剑扔向机甲身后的张麒麟。
1:42:14|1:42:22|本就身为护灵人的张麒麟，在接到宝剑的瞬间，便与宝剑产生了心灵感应，让宝剑的威力发挥到了极致。
1:42:22|1:42:26|张麒麟奋力挥下，绝地者二号的铁臂瞬间被斩断。
1:42:56|1:43:10|可令众人没想到的是，废墟之中，绝地者二号竟然自动修复并缓缓起身。
1:43:12|1:43:17|众人摆好阵型准备战斗，可身体马上变成了灵魂。
1:43:17|1:43:23|黄飞鸿将无邪扔在地上，紧接着再次抬脚准备将其踩碎。
1:43:26|1:43:34|所有人都急忙朝[吴邪]跑去，可即使是发动宝剑瞬移的能力，也无法将昏迷的[吴邪]从铁脚下救出。
1:43:34|1:43:43|[曾小贤]深知这一点，就在他的大脑飞速思考着办法时，决定者一号将主角光环拿到了[曾小贤]的面前。
1:43:43|1:43:49|他看着主角光环，瞬间回忆起这几天的过往，这段不该他们出现的冒险。
1:43:49|1:43:52|此刻，他毫不犹豫地将主角光环扔向[吴邪]。
1:43:53|1:44:2|就在铁脚即将与无邪接触的瞬间，光环在二者之间瞬间形成一道屏障，可下一秒光环竟被铁脚踩碎。
1:44:2|1:44:9|黄黑红得意洋洋地抬起脚，本想嘲讽众人一番，可不料脚下的无邪竟缓缓地从地上爬起。
1:44:31|1:44:35|没想到，[吴邪]竟然再一次地站了起来，并且甩了甩头发。
1:44:35|1:44:39|就这样，黄黑红每踩一脚，[吴邪]就站起来一次。
1:44:39|1:44:47|并且，[吴邪]每次站起来，还更换着不同的造型，一次比一次欠打，气得黄黑红牙痒了。
1:44:47|1:44:54|原来，刚才的主角光环并没有被砍碎，反而在重力的紧压下，使光环和[吴邪]更快地融合在一起。
1:44:57|1:45:4|[吴邪]接过王胖子的散弹枪，在光环的加持下，看都没看便一枪打中了金甲的命脉。
1:45:4|1:45:9|王胖子见状，迅速捕枪。
1:45:27|1:45:29|[曾小贤]将手放在铁球上。
1:45:31|1:45:36|[胡一菲]半信半疑地将手放上之后，铁球竟然增加了一格重量。
1:45:45|1:45:51|听完[曾小贤]的话，大家瞬间明白了他的意思，便纷纷将手叠在决定者一号的身上。
1:45:51|1:46:0|每多一个人，决定者一号的电量便多了一个，但所有人都将能量汇聚到决定者一号时，他竟然散发出了耀眼的光芒。
1:46:23|1:46:28|决定者一号带着众人的意志在空中引爆了自己和黄黑红同归于尽。
1:46:28|1:46:32|战斗过后，盗墓笔记三人组互相搀扶着，汇聚到一起。
1:46:59|1:47:16|王[胖子]说吧，便搀扶着二人朝洞口走去，可还没走几步，[张起灵]似乎和一股神秘的力量产生了强烈的共鸣，他突然驻足回头朝青铜门望去，只见溃然不动的大门前赫然漂浮着如同灵魂一般的护灵铠，但与之前不同的是。
1:47:16|1:47:19|他仿佛多了一丝生命力。
1:47:19|1:47:26|第二天清晨，汽车的鸣笛声叫醒了繁华的上海市，在爱情公寓的几人也和往日一样汇聚于堂。
1:49:38|1:49:44|也衬托出烟火的璀璨。
1:50:30|1:50:35|[曾小贤]的深夜电台虽然几乎没有听众，但[胡一菲]一直以来都悄悄地关注着。
1:50:35|1:50:48|当听到[曾小贤]难得的情话后，[胡一菲]的上女心也顿时想路乱撞，脸上也露出了发自内心的笑容，开心地跳起了舞，这对大家期待了很久的CP也终于快修成正果。
1:50:50|1:50:53|影片到这里就要跟您说再见了，感谢您的聆听。
1:50:53|1:50:59|影片的最后将为您带来电影彩蛋部分，现在为您讲述彩蛋部分。
1:50:59|1:51:3|本片彩蛋是爱情公寓几对CP互相说的话。
1:51:3|1:51:13|除了[张伟]没有CP之外，其他几人分别是[胡一菲]和[曾小贤]，[吕子乔]和[陈美嘉]，还有[唐悠悠]与她一直未出现的男朋友关谷。
