0:1:54|0:2:2|画面中，羊孤独的身影在冰雪中前行，艳阳当空，两只狼悄悄地跟在它的身后。
0:51:43|0:51:53|渐渐的，羊感到一阵剧烈的眩晕，疲惫和恐惧让它面色惨白，它感到眼前所有的物体都在漂浮摇晃着。
0:51:53|0:52:0|帐篷外，夕阳西下，老鹰盘旋低飞，天色很快又暗了下来。
0:52:0|0:52:7|不一会儿，羊昏睡了过去，转眼来到第二天清晨，羊猛然惊醒，匕首还插在身旁的地上。
0:52:8|0:52:14|他小心翼翼地拉开帐篷，探头向外查看，狼似乎已经没了踪影。
0:52:14|0:52:24|他慢慢走出帐篷，又在附近仔细地查探了一圈，确定两只狼已经走了，这才安心下来收拾好东西，继续上路。
0:52:35|0:52:39|这天已经是第38天，海拔4986米。
0:52:39|0:52:45|[杨柳松]走到一片辽阔平坦的荒漠，四周日照强烈，一片干涸。
0:52:45|0:52:49|身体开始发出信号，[杨柳松]此刻急需水源。
0:52:49|0:52:52|他拿起望远镜勘探周围，寻找湖泊。
0:52:53|0:53:0|无果之后，他又拿出一台手持GPS机，仔细观察着上面显示的地质信息。
0:53:0|0:53:5|随后，他驾车向GPS上显示的水源坐标出发。
0:53:5|0:53:11|一阵跋涉后，[杨柳松]终于到达，可眼前却依旧是一片绝望的荒漠沙地。
0:53:12|0:53:17|[杨柳松]的眼中已经没有胶着，而更多的是无声的愤怒。
0:53:17|0:53:22|这似乎是上天对他的戏弄，是要将他彻底击垮的试探。
0:53:22|0:53:29|无奈，[杨柳松]只能向GPS所指示的下一个地方前进，可结果却是同样的。
0:53:29|0:53:33|当[杨柳松]到达时，眼前除了日光暴晒后的荒芜沙土，什么也没有。
0:53:40|0:53:47|[杨柳松]从书包里拿出杯子，看了一眼里面仅剩的一点水，犹豫了片刻，慢慢地喝了一口。
0:53:47|0:53:52|随后，他又看了一遍杯子，里面还剩最后一口。
0:53:52|0:53:58|他很想留下这最后一点的希望，但自己实在太渴，这是他此刻最难抵挡的诱惑。
0:53:59|0:54:2|他闭着眼，喝下了这最后一口。
0:54:2|0:54:9|突然，身旁的异动引起了他的注意，他抬眼望去，竟然又是那两只狼。
0:54:9|0:54:13|他们又朝他走来，正在不远处的山丘上盯着羊。
0:54:13|0:54:16|羊不敢停留，骑上车子迅速离开。
0:54:30|0:54:36|他走过干涸荒芜的沙漠，来到GPS所显示的下一片湖泊附近。
0:54:36|0:54:45|他在一块小土丘旁停了下来，把行李卸掉放在这里，自己则带上水杯和小锅出发，在四周寻找。
0:54:45|0:54:51|功夫不负有心人，这里的泥土是湿润的，是被水冲刷过的痕迹。
0:54:51|0:54:56|他继续向前，前方终于出现了一片浅浅的水域。
0:54:56|0:54:59|[杨柳松]兴奋地跑了过去，将东西扔在地上。
0:55:2|0:55:8|迫不及待地伸手进水，沾了一口在嘴里，可下一秒，他便将水吐了出来。
0:55:21|0:55:32|紧接着，[杨柳松]再次返回放置行李的地方，他漫无目的地看着眼前这片荒芜人烟的平原，无助的失望不断涌上心头。
0:55:32|0:55:39|随后，他走向倒在地上的自行车，丢下手里的东西慢慢地坐了下来，发出了几声喘息。
0:55:40|0:55:47|双腿的乏困与身体的疲惫双双侵袭，他靠在行李包上仰起头再也不想动弹。
0:55:47|0:55:52|这时，天空中一架飞机划过，留下两道白色的痕迹。
0:55:52|0:56:2|[杨柳松]低下头思索了一会儿，再次扶起自行车走向未知的前方，看不到边际的茫茫平原仿佛要与天空衔接。
0:56:2|0:56:5|[杨柳松]推着自行车的身躯显得格外的渺小。
0:56:6|0:56:14|崎岖的沿海地区坑坑洼洼，自行车上的零件也由于不停的抖动，发出金属碰撞的声音。
0:56:14|0:56:24|不知不觉已经到了正午，头顶的太阳发出的燥热更加强烈，只见那两只狼隔得很远跟在羊的身后。
0:56:24|0:56:32|此时，羊推着自行车闷头向前走去，它屈着上半身握住自行车的手把，全然不顾身后的情况。
0:56:33|0:56:37|又往前走了几步，他突然看向天空，随后停下。
0:56:37|0:56:42|紧接着，羊转头看向身后，眼里满是疲惫。
0:56:42|0:56:46|两只狼看他驻足不前，也停下来观察他的动向。
0:56:52|0:57:3|心情失落的他看着一眼望不到头的枪膛无人区毫无办法，一只狼看着他渐行渐远的身影，也快速地挪动脚步跟了上去。
0:57:3|0:57:17|可还没走多远，他又停了下来，回头看向愣在原地的同伴，紧接着发出警告的嚎叫声，随后二狼并行齐齐地跟在羊的后面，这时地上的沿海也逐渐消融。
0:57:18|0:57:22|亮晶晶的水面上，倒映出狼目视前方的身影。
0:57:22|0:57:30|这时，推着自行车的羊，感觉到前方的路越来越模糊，脚底也像踩了棉花一般，使不上力气。
0:57:30|0:57:37|很快，脚底的水变得越来越深，羊走在水里的每一步都能带起飞溅的水花。
0:57:37|0:57:41|裤腿逃不过水花的清洗，被浸湿的范围也越来越大。
0:57:42|0:57:48|而[杨柳松]自己却毫不在意，推着自行车像没事人一样慢慢地走远。
0:57:48|0:57:59|太阳洒下来的光射在水面上，像是一个个柔和的光环漂浮在湖上，这时的盐湖宛如一块无瑕的翡翠闪烁着美丽的光泽。
0:57:59|0:58:3|远处望去，白茫茫的一片湖水与天空合为一体。
0:58:4|0:58:6|都快分不清是水还是天。
0:58:6|0:58:24|此时的[杨柳松]骑着自行车漂浮在这一片浅水中，车轮在身后划出一道波光粼粼的浪花，晴朗的高空万里无云，仿佛用清水沙溪过一般，只有处于水田交界的边界，残余着几亩洁白的云彩。
0:58:24|0:58:33|[杨柳松]骑着自行车的身影渐行渐远，空荡荡的湖面上看不到任何的波澜，湖面仿佛一面空镜，倒映出天空的俊俏美色。
0:58:34|0:58:40|几朵飘悠悠的白云，洋洋洒洒地点缀于边际。
0:58:56|0:59:3|夕阳发出的光终于不再那么热烈，可却将阳生前的道路照得格外明亮。
0:59:3|0:59:7|这时，画面再次来到出发前的回忆中。
0:59:7|0:59:10|此刻，阳骑着自行车拉着坐在轮椅上的[蓝天]。
0:59:21|0:59:30|[蓝天]拽着[杨柳松]放在车座上的行李，惬意的二人在空旷的道路上肆意地呼喊，露出发自内心的笑容。
0:59:30|0:59:36|这时，[蓝天]故意转动轮椅偏向右边，[杨柳松]的自行车差一点就骑到了沟壑里。
0:59:40|0:59:50|说完，[蓝天]的双手用力地转动轮椅，身体也跟着向前倾斜，[杨柳松]却轻轻松松地骑着自行车将他超越。
0:59:50|1:0:5|到达公路的最上方时，[杨柳松]停在一边看向前方，这时[蓝天]的笑容也逐渐消失，随即他一脸倔强地转动轮椅，一次又一次频率越来越高，默默地看着他从自己的身边经过。
1:0:6|1:0:11|此时，[蓝天]握住把手，任由轮椅在下坡路上自由滑行。
1:0:11|1:0:15|没过多久，他直接放开把手，将双臂打开。
1:0:15|1:0:21|[蓝天]坐在轮椅上，享受着脸上吹来的微风，不由地展露美丽的笑容。
1:0:21|1:0:28|在这一刻，他的双手无需再用力转动，却能轻易地徜徉在这片宽阔无比的马路上。
1:0:29|1:0:34|[蓝天]仰着头闭上眼睛，享受着这一刻的快感。
1:0:34|1:0:37|[杨柳松]看着他的背影，也跟着笑了起来。
1:0:37|1:0:43|可很快，他的脸色变得严肃起来，随即登起自行车，飞快地向[蓝天]赶去。
1:0:43|1:0:51|而此时，[蓝天]依旧闭着眼睛张开双臂，[杨柳松]追赶上来，骑到[蓝天]的面前将轮椅拦住。
1:0:51|1:0:54|[蓝天]还没反应过来，就被甩了出去。
1:0:54|1:0:57|[杨柳松]张开手将他抱住，二人双双跌落在地上。
1:0:59|1:1:7|[杨柳松]坐起身想要扶起[蓝天]，可他却突然闹脾气，直接甩开了[杨柳松]的手，艰难地朝着轮椅的方向爬去。
1:1:7|1:1:12|[杨柳松]再次上前打算抱他，却还是被[蓝天]狠心地拒绝。
1:1:12|1:1:19|怄气的[蓝天]抬手扯掉帽子扔在地上，抓住轮椅的轮子，挪动手臂慢慢向前攀爬。
1:1:26|1:1:30|突然，她将头埋在手臂上大哭了起来。
1:1:30|1:1:33|身后的羊看着她，心里也不是滋味。
1:2:0|1:2:5|[杨柳松]将躺在地上的[蓝天]缓缓地浮起，他这次没有再挣扎。
1:2:5|1:2:9|[蓝天]坐起来，眼里含着泪花看向[杨柳松]。
1:3:24|1:3:32|看向嚎啕大哭的[蓝天]，[杨柳松]伸出双手将他紧紧地抱在怀里，轻轻地抚摸他的后背。
1:3:32|1:3:43|画面再次回到荒凉的沙漠，这是[杨柳松]横穿枪膛的第四十天，海拔4991米。
1:3:43|1:3:53|[杨柳松]拿着小铁锹在地上挖出一个深坑，紧接着将落在里面的土刨了出来，他把一个小盆放在坑里，随后快速拿出一旁的雨衣盖在上面。
1:3:54|1:4:4|[杨柳松]双手死死地按住雨衣，并拿起早已准备好的石头压在上面，又捧了一手的沙子撒上去，生怕会留有一丝的缝隙。
1:4:4|1:4:19|最后，他仔细地查看包裹洞口的四角，确保没有漏风后，他拿起石块掰成两半，将小的那一块轻轻地放在中间，做好一切准备工作后，[杨柳松]双手合十闭上双眼祈祷着。
1:4:19|1:4:41|很快，他又返回帐篷，拿着睡袋和小包走向远处，几座经历风吹日晒却屹立不倒的残壁依旧坚挺，而走在沙漠里的[蓝天]，脚步却变得亮亮呛呛，头顶的太阳越发猛烈，仿佛一阵燃烧的火焰，空气炽热得让人窒息，[蓝天]走在沙漠里，
1:4:41|1:4:47|仿佛快要蒸发了一般，它一边向前走，一边四处张望着远方。
1:4:47|1:4:53|此时，筋疲力尽的它双腿开始发软，走路也开始变得摇摇晃晃。
1:4:53|1:5:0|走到残壁的背阴处后，它再也坚持不住，扔掉手里的东西，整个人躺在沙滩上。
1:5:0|1:5:8|随着时间流逝，太阳也慢慢转向[羊柳松]所睡的地方，周围的空气变得越来越热，躺在地上的羊也被热醒。
1:5:9|1:5:15|只见他拿开脸上的衣服，眯着眼睛侧过身，支起胳膊从地上爬起来。
1:5:15|1:5:19|羊恍惚地看了眼周围，头脑也变得逐渐清醒。
1:5:19|1:5:24|很快，他已经按照原路返回到搭建帐篷的地方。
1:5:24|1:5:29|羊仰头看着一望无际的天空，逐渐又失落地低下头。
1:5:29|1:5:33|极度的口渴与疲劳像两块石头一样，重重地压在羊的肩头。
1:5:34|1:5:39|这时，他像是想起什么一般，向帐篷的附近大步走去。
1:5:39|1:5:44|慢慢地，他竟然小跑起来，仿佛是用尽了全身的力气。
1:5:44|1:5:48|他呼吱带喘地跑过来，手里紧紧地提着自己的水壶。
1:5:49|1:5:53|只见他一个华贵坐在地上，一把掀开压在洞口里的雨衣。
1:5:53|1:6:3|这一刻，他愣在原地，慢慢拿起放在坑里的小盆，看着空空如也的杯子，[杨柳松]整个人如同泄了气的皮球一般。
1:6:3|1:6:10|他低着头，深深地叹了口气，无助地看向远处的夕阳，然后丢掉手里的杯子。
1:6:10|1:6:15|夕阳的余晖近战光芒，头顶的天空像燃起了熊熊烈火。
1:6:15|1:6:26|[杨柳松]的背影出现在了镜头里，他拿着水杯放到当部，将尿液收集在水杯里，随后又举起水杯看了眼，便抬头喝了下去。
1:6:26|1:6:31|[杨柳松]一次性还不敢喝太多，只是稍微抿一口便作罢。
1:6:31|1:6:39|到了晚上，[杨柳松]坐在帐篷里打开手电筒，翻看着自己的背包，可是里面并没有什么惊喜的发现。
1:6:39|1:6:43|[杨柳松]拿起放在一旁的钱包，抽出一张一百元的现金。
1:6:43|1:6:54|在微弱的手电筒光下，[杨柳松]拿着那张钱仔细地端详起来，不知此时的他是否开始后悔，没有拿钱再多买一些食物。
1:6:54|1:7:0|如今，这个人人不能缺的东西，却成了旅途中最没有用的那一个。
1:7:0|1:7:4|[杨柳松]抬起头思索了一会儿，睁大眼睛望向天空。
1:7:12|1:7:22|他睁着一双渴望的眼睛，仿佛还要等老天一句回答，可除了呼呼的冷风给了回应之外，身旁很快再次恢复了寂静。
1:7:23|1:7:29|第二天一早，只见一只[大狼]悄无声息地走进了帐篷，目不转睛地看着正熟睡的羊。
1:7:29|1:7:36|刚好，羊在这一刻也醒过来，它嘴唇惨白，看着眼前这只庞然大物。
1:7:36|1:7:41|[大狼]见它醒来后，便将头扭向别处，可身体却依旧靠得很近。
1:7:41|1:7:44|羊心里清楚，就算自己现在想跑，已是来不及。
1:7:45|1:7:57|所以，他索性就一动不动地躺在这里看着那只[大狼]，可过了好一会儿，[大狼]也没有要攻击的意思，反而像一条狗一样，在他旁边吐着舌头喘着热气。
1:7:57|1:8:3|他转身时与羊对视了一眼，随后便慢悠悠地走出帐篷。
1:8:3|1:8:13|羊看着[大狼]搭拉着尾巴的背影，心里五味杂陈，或许是多天以来的相处，让原本真盲相对的他们成为互相依托的朋友。
1:8:14|1:8:22|又或许是这些狼看出他如今的饥寒交迫，不愿错过这戈壁滩上唯一一顿的美餐。
1:8:22|1:8:28|狼的身影渐渐离他越来越远，帐篷里的羊依旧静静地躺在那里。
1:8:28|1:8:35|戴着黑色毛线帽的他，面容有黑，与这时苍白干裂的嘴唇形成巨大的反差。
1:8:35|1:8:37|画面此时再次回到旅程前。
1:9:2|1:9:9|坐在一旁的[杨柳松]立刻坐直身子，担心地看向她。
1:9:9|1:9:13|看到[蓝天]的笑脸，[杨柳松]也笑着接过她手里的酒瓶。
1:9:18|1:9:22|[蓝天]听后轻轻叹了口气，整理了一下自己腿上的毛毯。
1:9:41|1:9:42|[蓝天]将头撇向另一边。
1:10:55|1:11:4|[蓝天]歪着头，看着[杨柳松]那双真挚的眼睛，默默地点了点头，一颗痘大的泪珠汇聚在他的眼角摇摇欲坠。
1:11:37|1:11:46|羊仰头喝下杯中的酒，却被呛得皱紧眉头。
1:11:46|1:11:47|两人坐在湖边。
1:11:55|1:12:2|湖水在温暖阳光的照耀下，像一块无瑕的翡翠闪烁着美丽的光泽。
1:12:26|1:12:30|[杨柳松]低头不说话，[蓝天]转头看向他，眼里满是不舍。
1:12:30|1:12:36|可当看到杨转头时，他立马看向别处，不愿展露自己的脆弱。
1:12:36|1:12:40|看到[蓝天]微笑逞强的样子，[杨柳松]不愿再多说什么。
1:12:40|1:12:45|他解开安全带下车，从后备箱里拿出自己的自行车和行李。
1:12:46|1:12:53|坐在车上的[蓝天]听着车后的动静，不由自主地从后视镜里观察[杨柳松]的一举一动。
1:12:53|1:13:0|随后，他低头将身上的安全带系好，这时，[杨柳松]已经骑着自行车来到车窗前。
1:13:0|1:13:4|两人对视许久后，[蓝天]伸出大拇指对着[杨柳松]笑了笑。
1:13:5|1:13:10|一阵冷风袭来，离别的情绪逐渐涌上心头。
1:13:10|1:13:15|杨抬起头，望向远方，又转头看向坐在车内的[蓝天]。
1:13:15|1:13:22|随后，他决绝地将自行车推向另一条分岔路，立刻抬脚坐上去，骑向自己选择的道路。
1:13:23|1:13:31|[蓝天]用余光看到羊的身影逐渐离自己越来越远，这才敢扭头目送他的背影离去。
1:13:31|1:13:39|此后，他开动汽车，走向另一条相反的道路，可眼睛却一分一秒都不愿从羊的背影移开。
1:13:39|1:13:46|此后，[蓝天]干脆将车停在路边，默默注视着羊骑自行车的身影。
1:13:46|1:13:51|草木荒凉的山峰被沙尘所掩盖，只有山顶依旧存有一片雪白。
1:13:52|1:13:58|宽阔的公路上，杨低头使劲地蹬着自行车，嘴里不断地呼出热气。
1:13:58|1:14:4|他抬头看向前方的道路，可脑袋里却早已乱作一团。
1:14:4|1:14:10|这时，杨忍不住回头看了一眼，却看到[蓝天]的车停在原地，一动不动。
1:14:10|1:14:19|车里的[蓝天]看到杨回头的样子，欣慰地笑了笑，可很快，离别的痛苦席卷了[蓝天]整个身体。
1:14:19|1:14:26|他低下头，将双手扶在方向盘上，回忆着这么多天以来二人相处的日子。
1:14:35|1:14:39|[蓝天]想着想着，忍不住开始啜泣。
1:14:39|1:14:43|可这时，耳边突然传来敲车窗的声音。
1:14:43|1:14:46|他猛然一下将头抬起，发现[杨柳松]就站在外面。
1:14:47|1:14:52|紧接着，他立刻摇下车窗，惊讶地看着气喘吁吁的[杨柳松]。
1:14:52|1:14:59|头顶的阳光穿过山峰照亮阴暗潮湿的山背，一串淡淡的光运在空中浮动。
1:14:59|1:15:3|这时，[杨柳松]背着[蓝天]的身影出现在山坡上。
1:15:3|1:15:9|此刻的[蓝天]戴着毛线帽乖乖地趴在[杨柳松]的后背，紧紧地搂住他的脖子。
1:15:9|1:15:13|[杨柳松]小心地看着脚下的鹿，一阵一阵的热气从嘴里呼出。
1:15:23|1:15:42|[杨柳松]弯下腰，将快要滑落的[蓝天]向上挪了挪，再次气喘吁吁地向前走去，可走了还没几步，[杨柳松]再次停下脚步，故意发出一声长叹，背上的[蓝天]被他逗得笑起来，他扬起手臂高声欢呼，喜悦的心情溢于言表。
1:15:42|1:16:3|杨只好再次弯下腰，调整了一下姿势，随后大喊着向山坡重去。很快，二人来到山坡的最佳位置，[蓝天]坐在搭好的帐篷前挥载着手中的风马旗，一旁的[杨柳松]正蹲在地上调整摄像机。晚上，两人并肩而坐的背影出现在山坡上。
1:16:3|1:16:9|他们抬起头看着空中的繁星点点，享受着此刻互相陪伴的温暖。
1:16:9|1:16:17|回忆到此结束，[杨柳松]打开灯露出有黑的脸庞，随后又快速关掉，耳旁回响起了[蓝天]的声音。
1:16:39|1:16:58|[杨柳松]再次迷迷糊糊地睁开眼时，已经是第二天的早上，只见他的脸经过风吹日晒，已经开始大块的脱皮，重度缺水的嘴唇上也浮起干燥的嘴皮，随后他缓缓地拿起一旁的水杯，看着里面稀少的尿液发神。
1:17:5|1:17:16|可身体极度的缺水很快打消了胡思乱想的念头，[杨柳松]将掉在嘴里的夹子拿出来，可这时，他的内心又开始挣扎。
1:17:16|1:17:20|很快，他像是想起什么一般，眼睛突然变得亮晶晶。
1:17:20|1:17:24|紧接着，他费力地坐起身，充满蜥蜴地看向水杯。
1:17:24|1:17:29|内心强烈想要生存的欲望打破他最后一丝的倔强。
1:17:29|1:17:34|[杨柳松]的眼神浑浊地死死地盯着可以让他活下来的水源。
1:17:34|1:17:38|这一刻，他不带有丝毫的犹豫，抬手抓住杯盖。
1:17:38|1:17:42|随着手指的转动，杯盖也跟着转起来，很快就被打开。
1:17:43|1:17:55|看着杯子里少许的尿液，[杨柳松]得冒火的喉咙忍不住泛起口水，它将水杯靠近自己的嘴唇，可传来的异味却引起身体的不适。
1:17:55|1:18:12|在一阵干呕后，[杨柳松]极力咽下胃里泛上来的酸水，它深呼吸一口气后，这才逐渐平复急促的呼吸，[杨柳松]看着杯子里的尿液，一股异味扑面而来，没有办法，它只能屏住呼吸，抬头立刻喝了下去。
1:18:21|1:18:28|[杨柳松]无比珍惜的唯一水源，在不可抗力的因素下，猝不及防地就被吐了出去。
1:18:28|1:18:34|他刚闭上眼睛想缓一会儿，可地上的白血却在一瞬间让他清醒。
1:18:34|1:18:38|[杨柳松]转头望向四周，一时间不敢相信自己的双眼。
1:19:12|1:19:19|又看向四周被雪扑平的平原与山峰，本来已经被浇灭的希望之火再次燃烧起来。
1:19:44|1:19:53|此时，[杨柳松]觉得整个身体都充满了活力，它骑着自行车在雪地里转圈，发出快活的呼喊声。
1:19:53|1:20:6|远处，正在吃草的驯鹿，吓得历经耳朵左右观察，满眼望去，竟是看不到边的雪地，星星点点的枯草，只有在这时才显露出自己的模样。
1:20:6|1:20:14|[杨柳松]已经收拾好行李，爬上穿越枪膛的道路，自行车的轮胎印在地上划出歪歪扭扭的痕迹。
1:20:14|1:20:17|[杨柳松]骑着自行车的背影也多了几分飒爽。
1:20:17|1:20:23|前方，矮矮白雪的山峰直插云霄，青砂般的宝物在上空流连。
1:20:23|1:20:28|这些天以来的艰难度日，让[杨柳松]有一种劫后余生的感觉。
1:20:57|1:21:18|时间转瞬即逝，今天已经是横川羌塘的第五十五天，仰此时身处的地方海拔四千九百九十八米，只见他将被浸湿的衣服甩了两下晾在一旁的空地上，随后坐在另一边拉起裤腿，这时一阵水流呼的一下从上方流下来。
1:21:18|1:21:21|背过身的[杨柳松]却丝毫没有注意到。
1:21:21|1:21:31|水流的速度越来越快，直到流躺在[杨柳松]的脚边，他才猛然一下站起身来，赶紧转过身，把已经浸在水里的行李拿起来丢向另一边。
1:21:32|1:21:51|一旁的自行车还随意地躺在地上，[杨柳松]大跨步向自行车跑过去，余光又瞟到水里泡着的帐篷，随即又立马转身将帐篷拿起，丢在没有水的空地上，紧接着，他再次跑向自行车，将其从地上扶起。
1:21:51|1:21:55|立刻握住把手向较为干涸的岸边走去。
1:21:55|1:22:2|本以为万无一事的[杨柳松]，低头看了看周围的东西，才发现刚刚晾好的衣服再次被浸湿。
1:22:17|1:22:22|戈壁滩的洪水泛滥得特别快，周围也没有遮挡的地方。
1:22:22|1:22:28|[杨景沃]骑自行车艰难地向前迈出一步，积水已经淹到了他的腰部。
1:22:28|1:22:35|他用力提起自行车向前移了移，可身体却在水的阻力下移动不动。
1:22:35|1:22:41|[杨]不死心地前倾身体，使劲一推，双腿一下没站稳，向后仰去。
1:22:41|1:22:48|自行车带着行李也跟着倒下，[杨]只好费力地拖着自行车，艰难地向岸边迎去。
1:22:56|1:23:6|泛滥的积雪融水将大片的荒漠变成一条湍急的河流，无助的[杨]随着河流涌动的方向正在急速后退。
1:23:6|1:23:15|此刻，河水已经没过他的肩膀，[杨]只好费力地伸手向上扑腾，拖着车子加快速度游向岸边靠拢。
1:23:15|1:23:21|功夫不负有心人，几个小时后，[杨]终于拖着东西来到了水流较平缓的地方。
1:23:22|1:23:28|他筋疲力尽地坐在自行车的轮子上，仰起头长呼一口气。
1:23:28|1:23:34|稍作停歇后，他站起来，吃力地将自行车扶起，向岸边慢慢走去。
1:23:34|1:23:45|没过多久，他安全抵达河岸，疲惫不堪的[杨]顺手将自行车推在一边，整个人倒下去，平躺在岸上，可隔岸却传来狼崽的呼救声。
1:23:58|1:24:12|羊回过头，看到[大狼]仔可怜的模样有些于心不忍，他爬起来，看了看周围湍急的水流，更加觉得头疼不已。晚上，一轮明月挂在天空上，发出阴冷的寒光。
1:24:12|1:24:21|蜷缩在帐篷里的羊，开着小小的煤油灯放在脚边，他双手不停地搓着自己的脚面以及双腿，整个身体都在瑟瑟发抖。
1:24:21|1:24:28|头顶的应急灯发出微弱的光亮，仰目视前方，像是在思索什么。
1:24:28|1:24:33|随后他眼珠一转，看向放在一旁装有半袋血的风口袋里。
1:24:33|1:24:37|他情不自禁地伸出手将其拿起，慢慢地移到自己的身旁。
1:24:54|1:25:1|[杨柳松]打开风口袋看了眼，又抬头看向前方，手上的动作也跟着停下来。
1:25:1|1:25:7|思索半晌后，他心底里最后一根防线被一天的鸡肠鹿鹿所打败。
1:25:7|1:25:13|只见他缓缓将手伸入袋子里，小心翼翼地抓了一小把血，张大嘴巴吃了进去。
1:25:24|1:25:41|羊吃了一口后，逐渐失去控制，又伸手抓了一把又一把，接连吃进嘴里。
1:25:41|1:26:4|尽管已经被呛得不停咳嗽，羊的嘴巴依旧在不停地咀嚼，进食带来的快感令羊感受到前所未有的满足，可很快，他的眼神逐渐变得暗淡，咀嚼的动作也慢了下来，他逐渐意识到一个严重的问题。
1:26:4|1:26:9|第二天一早，[杨柳松]在帐篷里，手里拿着压缩饼干。
1:26:10|1:26:25|低头快速地啃食，吃得狼吞虎咽，就连撒在手里的碎屑也舔得干干净净，可很快，他就变了脸，抬起手扇自己嘴巴。
1:26:25|1:26:28|[杨柳松]坐在原地懊悔不已，却没有办法控制身体。
1:26:34|1:26:39|帐篷外洪水波涛汹涌，发出来势汹汹的警告声。
1:26:39|1:26:49|[杨柳松]所在的高地戈壁滩，只剩下安放帐篷的一小处空地，如果待在原地不动，即将面临被冲走的风险。
1:26:49|1:27:1|[杨柳松]蹲在一旁思虑了一会儿，立刻脱下裤子，扛着大包小包慢慢地走向肆意翻滚的河流，只见他拿着两根登山杖，谨慎又小心地迈出每一步。
1:27:2|1:27:11|到了河流最中间，水流变得愈发的湍急，[杨柳松]的下半身已经完全浸在了水里，身上的背包个个都难逃被水淹的命运。
1:27:12|1:27:19|水里的每一步都走得异常的艰难，[杨柳松]的表情也由于用力过猛开始变得狰狞。
1:27:19|1:27:24|可下一秒，它就因为没有站稳而被水流原路冲回。
1:27:24|1:27:33|几个小时后，[杨柳松]的身影再次出现在了浪涛里，只见它尖头扛着自行车，逆着水流的方向大跨步地向前行走。
1:27:39|1:27:53|此时，成功抵达对岸的[杨柳松]换上羽绒服，慌乱地拿手搓着裸露的大腿，动得止不住在原地踏起步来，可[大狼]却在原来的地方发出孤独的哼唧声。
1:27:53|1:27:59|[杨柳松]看了一眼陪伴多天以来的[大狼]，嘴巴呼了一口气，咬着牙再次脱下羽绒服。
1:28:10|1:28:15|很快，[杨柳松]已经重新整理好行李，走在没有被洪水侵袭的高地。
1:28:15|1:28:18|[大狼]乖乖地跟在他的身后。
1:28:18|1:28:24|这时，[杨柳松]突然转头看着[大狼]。
1:28:24|1:28:28|[大狼]听后，吓得他向后退了几步，但还是盯着他看。
1:28:28|1:28:33|[杨柳松]白了他一眼，转身推着自行车继续向前走。
1:28:33|1:28:36|懵懂的小狼仔放慢脚步，偷偷地跟在他的身后。
1:28:37|1:28:43|[杨柳松]加快脚步向前走，跟在后面的狼仔捶着脑袋也赶紧加快速度。
1:28:43|1:28:46|突然，一个黑影从[杨柳松]头顶掠过。
1:28:46|1:28:52|羊不明所以地抬头看去，发现一只老鹰正在空中盘旋。
1:28:52|1:28:56|它回头看向[小狼]，这时，老鹰却飞冲下来。
1:28:56|1:29:0|感受到危险的[小狼]，慌忙地向后跑去。
1:29:0|1:29:3|羊推开车子，快速捡起几个石头扔向老鹰。
1:29:11|1:29:17|老鹰吓得落荒而逃，羊看着受惊的[小狼]有些不忍心。
1:29:17|1:29:23|[小狼]看见它停下来，也不再害怕，乖乖地趴在地上，歪着头看着它。
1:29:23|1:29:26|时间流逝得无影无踪，去得快，来得也快。
1:29:26|1:29:33|今天，已经是羊深入无人区的第六十四天，海拔位于四千九百九十七米。
1:29:33|1:29:38|此刻，[小狼]颠颠地跑在羊的身边，咬着它的背包肩带玩傻着。
1:29:50|1:29:58|满面愁容的[杨柳松]与他玩耍，[小狼]识趣地走开，他独自来到一旁的草地上，时不时地抬头看向远处。
1:29:59|1:30:12|一旁的洞里突然钻出一只地鼠，胆小的[小狼]仔立刻向后逃跑，空地上的两只地鼠抱在一起僵持不下，甚至双双站起身来，想要展示自己的能力。
1:30:12|1:30:17|只见他俩都抓着对方的后脑勺，丝毫不敢松懈。
1:30:17|1:30:25|[小狼]本想看个热闹，却还是害怕那只探头的地鼠，只好兴兴地朝着[杨柳松]搭好的帐篷快速跑回来。
1:30:25|1:30:28|此时，[杨柳松]坐在地上目视前方。
1:31:2|1:31:13|[杨柳松]推着压满东西的自行车，[小狼]则乖乖地呆在背包里露出一颗小脑袋，远处的一群骆驼好奇地盯着路过的[杨柳松]。
1:31:13|1:31:22|一望无垠的沙地上，矗立着造型各异的土墩与小山包，从空中俯瞰这一片荒地，竟颇有一份辽阔的壮美。
1:31:22|1:31:24|[杨柳松]的身影包裹在这一片风景中。
1:31:25|1:31:31|正缓慢地向前行进，途经的地方遍布牦牛的尸首，让人不禁有些害怕。
1:31:31|1:31:37|今天是旅程的第65天，所处之地，海拔位于4987米。
1:31:37|1:31:47|[杨柳松]跪在岸边，拿着杯子轻轻捋了一层水，不过看着还是很浑浊，它皱着眉头面露蓝色，这时，一旁的[小狼]突然嚎叫。
1:31:52|1:32:7|[杨柳松]感觉不对劲，抬头看向海面，眼前的一幕令他的瞳孔逐渐放大，只见一堵乌云接连天地，海面卷起一个螺旋状的水柱，这时龙卷风的移动速度越来越快，直直地冲着沿岸袭来。
1:32:8|1:32:20|[杨柳松]站在原地，眼睛跟随龙卷风移动的方向看去，只见水浪形成一个巨大的旋转漏斗，正在卷起岸边的风沙向中心地带咆哮而去。
