0:1:34|0:1:39|此时[李艳]对着镜子疯狂擦汗，然后张开嘴打开了电风扇。
1:5:29|1:5:36|[小琪]坐在宿舍的床上，将那只装满塑料眼珠子的玻璃瓶贴在自己脸上。
1:5:36|1:5:56|[Leslie Guan]来到阳台，一只手撑着头，眼睛看着照片，[阿威]则是将下巴抵在桌子上，看着两只乌龟慢慢地爬来爬去，[叮当]靠在病床上输着液，拿过一旁无聊时折的纸飞机看了看，挤了挤飞机的头部后，用力将它一挥飞了出去。
1:6:20|1:6:41|每天只会想着自己,从来都不考虑女人的感受，随后女人深吸一口气，说自己真的不知道对方要干嘛了，然后让对方想清楚后，再打给自己,说完，挂断了电话，一直在对面默默看着的[Wasabi]，注意到女人痛哭之后，上前安慰了一番，
1:6:42|1:6:59|然后将热茶放到女人面前，后者抬起头捋了捋头发后说了一声谢谢，然后转过身，从桌上抽了几张卫生纸抵在眼睛上，再次低声哭泣着，抽泣完又顺便用卫生纸擦了擦鼻子，稍微平静了一下。
1:6:59|1:7:19|女人转过身，从包里拿出一根烟夹在手指上问能不能点燃，听到[寿司师傅]的拒绝，女人原本已经忍下的眼泪再次夺眶而出，随后她将烟放下，双手盖住脸，用食指抹了抹眼泪，回头看了看四周都没人，女人祈求让他抽一根，
1:7:30|1:7:46|女人一边哭一边说，自己等一会就没事了，但眼泪还是不停地往下流，因此她不得不用双手抵着自己的鼻子冷静一下，随后她啃了啃手指，望着厨房的位置说：其实这家店味道还挺好的，然后问[寿司师傅]是哪里学的手艺，
1:8:26|1:8:41|他们好像没什么，就是一对普通的小情侣，他们手拉手放在餐桌下，眼神交流也非常温馨，后来两个人点了拉面做好了，
1:9:0|1:9:20|此时女人已经停止了哭泣，满脸微笑地回忆着当时的情景，然后说到，原来爱就是这么简单的事情，送走了女人，[Wasabi]来到置物柜旁边，打开了自己的那一格，从里面拿出一沓厚厚的东西之后，慢慢地坐在这屋置物柜旁边的凳子上，
1:9:20|1:9:47|原来这些都是[Wasabi]从全世界各地送来的菜谱，同时还附上了自己的照片，随后，寿司师傅拿下一张纸，写下完美一餐的菜谱，此时画面一转，[小琪]闭着眼睛和[小丽]站在工厂的过道中，已经第九十九天了，[小琪]慢慢睁眼，看到过道外[小方]还在等待的身影说道：
1:9:51|1:10:10|[小方]虽然背靠大树坚持着，但是他并没有像之前那样望着[小琪]，而是低头沉思着，草莓拿着玩偶冲[司机华]说道：[司机华]听完后从餐桌旁站起来说：大人的事情，小孩不要管那么多。
1:10:10|1:10:18|此时草莓拿起[司机华]放在餐桌上的手机，在通讯录里翻找着钢琴家这个备注名，
1:10:27|1:11:1|[李艳]听完直接愣住了，正在街头卖着无敌冰沙的[司机华]接听了草莓的电话，他说已经帮他约好了[李艳]，明天下午三点就可以见面了，[司机华]十分开心，也十分惊讶，看到身旁经过一辆跑车后，说到：完蛋了，镜头一转，寿司师傅来到一家超市对着菜单挑选材料，
1:11:7|1:11:38|寿司师傅拿起放在桌上的手机，按了几个键拨了出去，说完[Wasabi]将手机扔了出去，结果后者直接被摔散架了，看到[Wasabi]还是不接自己的电话，寿司师傅抽紧了眉头，[Wasabi]则是焦急地拿着装好的手机不停地摁着.另一边[司机华]戴上法拉利的帽子问草莓，自己这样像不像专业车手，
1:11:43|1:11:52|[司机华]听完之后摸了摸草莓的头，就听她说道：随后[司机华]抱着空调转身就走了。
1:11:52|1:12:15|此刻深圳汽车站内，[李艳]换上连衣裙，跑上了楼梯，踏上人行天桥之后，她的手机铃声再次响了起来.打开一看，[司机华]说自己已经到了，问[李艳]在哪里，[李艳]对着铝制扶手整理了一下仪态之后，转过身，发现了[司机华]的后背，随后她垫着脚尖挪动到[司机华]身后，想了一会儿，点了点对方的肩膀，
1:12:16|1:12:34|四目相对，两个人都大吃一惊，原本微笑的表情也都消失不见.相互打量一番后，[李艳]指了指[司机华]头上的法拉利帽子，身上的同款衣服以及地上的空调之后，又看向自己的打扮，随后二人一起发出了笑声。
1:12:34|1:12:52|在来往的人群中笑了好一会之后，原来二人都对自己的身份说了谎，[李艳]笑了笑，先开口说道：另一边，寿司师傅和学徒们正在准备菜品，
1:12:59|1:13:7|店门前写到：只给一个人的完美一餐。此时[大福]正在收拾行李。
1:13:49|1:14:5|正当[Leslie Guan]还要说什么的时候，手机突然响了，[大福]赶忙接起来。另一边[阿威]扛着太阳伞回到[小琪]前，屋檐上挂着那只好不容易找来的灯泡，
1:14:7|1:14:32|[阿威]将灯泡取下来，放到耳边摇了摇，然后笑了笑说道：随后将灯泡牢牢抓紧在手中。画面转到病房，[阿威]躺在[叮当]旁边痴痴地注视着她，[叮当]望着天花板虚弱地说道：
1:14:42|1:14:55|果断拒绝之后，[叮当]将目光从天花板挪到[阿威]脸上，然后开口说道：[阿威]没有回答，而是双手抱臂望着[叮当]，然后整个身体转向，他说：
1:14:58|1:15:26|[阿威]十分认真地向[叮当]建议到，看着对方望着自己，她扬起嘴角又笑了笑，[叮当]被感动了，然后慢慢地将目光再次移到天花板上，另一边[Wasabi]正坐在窗前烦躁地翻着杂志，然后把它随手扔向后面，结果窗户上的一些便利贴纷纷掉了下来，她急忙上前捡起来，歪歪斜斜地重新贴了上去，贴好之后突然发现这个心形已经被填满了，
1:15:26|1:15:29|然后她盯着便利贴笑了笑。
1:15:32|1:15:40|短发学徒冲眼镜学徒说道：此时一个女人到了店门口，
1:15:50|1:15:59|寿司师傅立刻抬起头发现[Wasabi]已经到了自己身边，他立刻站起身双手放在背后撑在桌子上，听到对方说道：
1:16:2|1:16:10|[Wasabi]抬头问着寿司师傅，此时后者将一盘寿司放在餐桌上。
1:16:12|1:16:18|[Wasabi]听完后拿起筷子，然后夹起一个小的放进嘴里。
1:16:20|1:16:25|鱼女对鱼仔说道：[Wasabi]吃进去后停顿了一下，然后慢慢地咽了下去。
1:16:25|1:16:39|随后她抿着嘴唇，再次拿起筷子夹起了第二个放进嘴里，嚼了两下之后，拿起一旁的盘子迅速吐了进去，鱼仔着急地说道：
1:17:2|1:17:10|说完寿司师傅不好意思地低下了头，知道早前对方是骗自己的，[Wasabi]抿了抿嘴，然后叹口气说道：
1:17:21|1:17:30|[Wasabi]眼眶含泪朝他说道：
1:17:50|1:17:58|[李艳]抬起满是水泡的手，向正在装空调的[司机华]说道：此时[Leslie Guan]扶着[大福]的胳膊走了过来。
1:18:3|1:18:9|两人来到一个影视城内，此时四个半裸上身的男人不断冲着手中的火把吹着酒精。
1:18:10|1:18:33|沅沅穿着埃及服装走了出来，沅沅从身后拿出一个牌子，上面写着：不准拍照，看上去沅沅从一个模特沦为了举牌女郎，突然什么东西砸向了[Leslie Guan]，因此他急忙弯下腰，
1:18:40|1:18:53|将他安置好之后，大幅转过影视城内的灯光打向舞台中，不少人围挤在刀具火盆下，突然他发现了一个落单的女生，[大福]放下打光灯，拿起刀具火盆冲了过去，
1:18:58|1:19:5|于是二人一起躲在道具火盆下，冲到了[Leslie Guan]身边，放下道具火盆后，[大福]惊讶地说：
1:19:8|1:19:16|沅沅扭头看向了[Leslie Guan]。寿司师傅到了[Wasabi]身前，
1:19:19|1:19:35|[Wasabi]听完后低下头想了想之后又抬头看向寿司师傅，然后微笑着向他点了点头。
1:20:5|1:20:31|沅沅低下头想一想，说道：含着眼泪向沅沅请求道：她被打动了，随后转过身看向[大福]的方向，随后沅沅捡起地上一块干净的冰雹敷在[大福]额头的伤口上。
1:20:31|1:20:35|[大福]感受到沅沅手中的温度后，也痴痴地望向对方。
1:20:42|1:20:49|[司机华]坐在上铺向[李艳]建议道：[李艳]爬上去按下空调开关，随后望着[司机华]开心地说道：
1:20:59|1:21:13|沅沅将手从[大福]的伤口上挪开，此时二人一起望向发出声响的人群，他们正在捡地上的冰雹互相砸着闹着并大呼非常凉快。
1:21:13|1:21:45|此时画面又一转，[Wasabi]深情地注视着寿司师傅，后者笑了笑，小丽抱着一大盆玩偶来到[小琪]身边向她说着，但后者却根本没有注意到[小方]的影子，[小琪]查看了墙根下，甚至是屋顶上，但都没有任何发现，
1:21:46|1:21:57|前九十九天，[小方]每天都会不定点地出现在屋顶大树旁和墙根下，但第一百天他却不见了，于是[小琪]跑到小卖部，
1:22:6|1:22:15|[小琪]立刻骑上自行车向火车站奔去，此时[小方]就拿着行李艳售票处排队买票，并回忆着，
1:22:36|1:23:7|说完老板将手表解下来递给[小方]，然后将表放在[小方]手中，在[小方]已经买好火车票的同时，[小琪]也奋力地骑着自行车，闷热的天气下，她满头是汗地向火车站的方向而去，生怕赶不上[小方]，终于骑到了，她扔下自行车就上候车站跑过去，回头看了看没有[小方]的身影就奔向了火车站台。
1:23:9|1:23:16|此时[小方]坐在座位上，还不时地看着腕上的手表，
1:23:25|1:23:32|[小琪]一把抢过大喇叭喊着，然后抹着眼泪说道：
1:23:43|1:23:49|听到声音[小方]立刻回头向窗外望了望，发现[小琪]后又迅速转身。
1:23:49|1:23:55|想了想对方这样的质问，他低下头止不住地哭了出来。另一边，
1:23:55|1:24:12|[小琪]看到[小方]迟迟没有回应，也无力地坐在地上伤心的哭着，即便是这样，[小方]也没有回头看她一眼，而是撑着额头不断哭泣着，又听到对方叫了一下自己的名字，他终于忍不住嚎啕大哭了。
1:24:12|1:24:28|此时站台上的人已经走光了，唯独[小琪]拿着大喇叭跪在地上抽泣着，画面转向病房，[阿威]拿着头盔冲进了病房，然后将[叮当]扶起来。
1:24:28|1:24:39|原来二人骑着[阿威]的小摩托出去了，
1:24:51|1:24:58|香港的夜晚，[阿威]载着[叮当]闯过红绿灯，一直向前开着，她抱着[阿威]的腰，缓缓地将头靠在他的肩膀上。
1:24:59|1:25:2|躲过两旁的风，[叮当]笑得十分开心，
1:25:13|1:25:20|突然所有地方都停电了，
1:25:30|1:25:40|鱼仔原本就能见证寿司师傅和[Wasabi]亲吻了，这样的话，他就可以打赌成功，娶金鱼女了，但是停电让它的梦想破灭了。
1:25:54|1:26:9|坐在沙发上，[司机华]比划着扣安全带和轰油门的动作，说着[李艳]也装作系好了安全带和[司机华]坐着，
1:26:13|1:26:29|然后[司机华]小心翼翼地拿起[李艳]的手，珍惜地放在了自己的耳边，[司机华]闭上双眼认真地说道：[李艳]开心地笑了笑，并望向对方。
1:26:29|1:26:54|另一边[阿威]载着[叮当]行驶在高架桥上，透过后视镜看到对方依偎在自己肩上，突然一道光闪过[阿威]老婆的遗像，原来正是[阿威]快速骑着小摩托车留下的灯影，另一边[司机华]已经将[李艳]的手从耳边拉下放在胸前，亲了一口后和她十指相扣，
1:26:54|1:27:2|然后将交握的手放在心脏处摩擦着。此时，那道小摩托的灯影闪进寿司店里，
1:27:2|1:27:15|寿司师傅和[Wasabi]面对面站着，然后二人闭着眼睛慢慢唇齿相碰，二人对面的鱼缸里，鱼仔和鱼女也在用力亲吻对方，
1:27:15|1:27:23|此时，在一片黑暗的城市中，[阿威]载着[叮当]，骑着摩托车穿梭在各个高架桥上。画面一转，
1:27:23|1:27:40|[阿威]的车灯正对着镜头，车灯下能清晰看到，[叮当]双手牢牢抱住[阿威]的腰，在风的作用下，[阿威]戴着头盔眯起了眼睛，而[叮当]则被他牢牢护在身后，
1:27:52|1:28:12|[阿威]回头向[叮当]温柔地笑了笑，[叮当]眨了眨眼睛后再次将头靠在肩膀上，此时这辆小摩托正平行于灯火通明的高楼大厦向前开着，每跃过一座高楼后面的灯就灭掉了，渐渐的，整个香港彻底停了电，黑暗中只有小摩托。
1:28:18|1:28:40|沅沅摆着姿势向摄影师笑着，摄影师不是别人，正是[大福]，拍完之后他看了看相机，然后望着沅沅说道：说完他看了看手上的旧手表。
1:28:47|1:29:8|原来[大福]竟然是[小方]的儿子，此时电影又回到了二十年前的某一天，工厂中午下班的铃声响了，[小琪]整理整理桌上的东西后擦了擦手站起来，然后向窗外看去，[小方]穿着衬衫和西裤都站在墙根下向[小琪]微笑着。
