0:3:33|0:3:40|[程勇]开着一辆印有王子神油广告的破旧面包车，停在了他父亲住的敬老院门前，
1:33:12|1:33:36|[程勇]抽着烟眯着眼睛看着[黄毛]，随后两个人来到码头去取新一批的货物，[黄毛]刚从洗手间出来，
1:33:50|1:33:55|[黄毛]赶紧飞奔到[程勇]身边，无奈地方太大，他跑了好久，
1:33:58|1:34:14|[程勇]正在收拾货品，看[黄毛]过来看了他一眼诧异的问道，[程勇]看向满头大汗的[黄毛]怎么了？[黄毛]大喘气的看着[程勇]，然后突然笑着说，
1:34:17|1:34:56|[程勇]转过身锁住大货舱的门，[黄毛]带着微笑看着[程勇]，锁好转身发现[黄毛]把车开走了，[程勇]从后面看着[黄毛]把车开的左右乱扭。他眼神坚定的把车开向前方，穿过数个大货舱，终于拦住了赶来的曹斌和警察[程勇]看着前方的一切满脸迷茫，[黄毛]冲着曹斌做了一个挑衅的表情示意他跟上来，曹斌被这个表情激怒，给车上挂上警报，随后两个人在路上开始了你追我赶，
1:34:57|1:35:22|[程勇]看着眼前的一切面色镇静，一动不动的看着，[黄毛]开得飞快，警车也穷追不舍，眼见着就要追上来，[黄毛]一个急转弯，后面的警车紧随其后，曹斌脸上也是一副志在必得的表情，车灯照亮了整个码头，[黄毛]紧张的关注着后面的警车，把车开到货箱中间的小巷子里，警车紧随其后，
1:35:48|1:36:3|[黄毛]踩下油门加速前进，冲向门口冲刺，撞向大门和警车。曹斌把车停下来，看着[黄毛]开车远去，[黄毛]回头看到警车停下气息的笑一笑，但是下一秒
1:36:6|1:36:9|一辆巨量大货车撞向[黄毛]，
1:36:13|1:37:26|药箱全部掉出来，药粒一粒一粒的掉在地上，白色药盒和黑色的柏油马路交织成一幅场景，曹斌带着满头是血的[黄毛]冲向医院，他颤颤巍巍地抱着他，还是没忍住跌倒了。曹斌赶忙扶好[黄毛]，他看着[黄毛]瘫坐在地上，医生忙推着移动病床赶过来，从曹兵手上抬走[黄毛]，曹兵连脚带累的看着[黄毛]被推走，他就这么一直呆呆的看着不动，[程勇]赶过来从楼梯跑上来，他慌张的在医院找着，终于他看到曹斌一行人，曹斌看着他久久没有说话
1:37:58|1:38:22|[程勇]睁大眼睛瘫坐在地上喘息着，[程勇]来到停尸间，医生拉开裹尸布，他呆呆的看着停尸间里的[黄毛]，医生把遗物递给他，他难过的看着这个透明袋子里只有50块钱、一张身份证和几粒药片。
1:38:22|1:38:58|晚上，[程勇]来到[黄毛]处的小破棚，他坐在[黄毛]的床上，看着小破棚周遭的一切，眼里带着难过和遗憾，他拿起桌子上的全家福仔细端详，又放回原处。他又拿起桌子上的火车票，看着上面印的字，[程勇]终于忍不住嚎啕大哭。
1:39:21|1:39:48|[黄毛]的小狗趴在地上，夜晚的城市依旧灯火通明，晨起阳台上的花有些败露，一夜未停的雨滴滴答答的放在缸子里，形成点点波纹，阴霾的天气让上海的白天变得灰暗，
1:41:20|1:41:44|[刘思慧]在网上一个一个病友群的发问，他告诉大家，现在有大量印度格列宁成本价在售，药效和正版相同，一个又一个病人在网上看到消息，看到消息后，不同的地方，不同的家庭都用希望的眼神看着电脑屏幕，
1:42:14|1:42:24|一句又一句感谢在屏幕前蹦出消息，一个又一个“我需要”冲出聊天框，[刘思慧]带着泪花看着这一切。
1:42:33|1:42:41|屏幕前的消息，是一句一句感谢，是一句一句求救，是一句一句带着求生希望的“我要买”
1:43:12|1:43:18|[刘思慧]接过[程勇]手上厚厚一沓订单，离开了[程勇]的办公室，
1:43:20|1:43:34|[程勇]望着办公室外已经不再运转的纺织厂，第二天[程勇]拉着儿子的手来到机场，
1:43:47|1:44:55|儿子紧紧地抱着[程勇]不撒手。[曹斌]在旁边看着这一幕，儿子跟[曹斌]摆摆手，随后跟着空姐一步一步离开了爸爸。[曹斌]拍拍[程勇]的肩膀，[程勇]边擦眼泪，边离开机场，留下一脸诧异的[曹斌]，夜幕时分，[程勇]开着一辆面包车驶入一个小巷子，一堆戴着口罩的人靠着墙看到车立刻起身过来，带着两个帽子全副武装的[程勇]下车发药，
1:45:0|1:45:37|[程勇]立刻上车把面包车横放，他一个人拦住了警方的车，警方持枪下车，[程勇]看到病友们走远了，再缓缓下车，双手抱头，[程勇]看着远去的病友们双手抱头，警方反手把[程勇]压在地上压制住，忽然他看到病友们也被抓住了，他挣扎着挣扎着起来，
1:46:46|1:46:55|法庭上[刘思慧]、老刘、[曹斌]、[吕受益]紧张地看着[程勇]，[程勇]缓缓地站起来，
1:47:50|1:47:57|[程勇]被送上押送车，[曹斌]站在他后面插兜看着，[程勇]转身对他说道，
1:48:0|1:48:10|[程勇]看到[曹斌]点头后，走向押送车，
1:48:12|1:48:35|押送车从法庭离开，[曹斌]站在原地看着，押送车驶入法庭门口的街道上，警察忽然瞪大了眼睛，看了看[程勇]，对旁边的同事说道，
1:48:38|1:48:46|低着头的[程勇]也因为颠簸缓缓抬起头来，他看到了让他震惊的一幕，
1:48:48|1:49:4|街道两边满满的站着戴着口罩的病友，
1:49:30|1:50:46|街道两边的病友不顾细菌，每个人都卸下口罩，静静的注视着这辆押送车，[程勇]含泪看着这些人，这些人里有[刘牧师]，有[刘思慧]，有[刘思慧]女儿，有[吕受益]太太还有[黄毛]老婆。每一个人都卸下口罩，静静地注视着他，[程勇]转过身，不再看窗外，靠在在车上忍着，不让眼泪流下来了。
1:51:8|1:51:21|此案引起政府部门高度重视，[程勇]获得减刑并提前释放，政府持续推动医疗体制改革，大批慢粒白血病人陆续得到有效救助。
1:51:23|1:51:42|三年后，[程勇]出狱了，[曹斌]站在车旁，等待着出狱的[程勇]，上车后递给他一包烟，
