0:1:28|0:1:34|驾驶员下了车径直冲向俱乐部入口。
0:58:58|0:59:6|他看到公交车内男人抓着扶手，一步一步逼向[路小星][林冲]低下头，紧紧握住手机，片刻间作出决定，
0:59:13|0:59:29|[林冲]冲到马路对面，拦下一辆公交车快步蹬了上去，他急忙戴上耳机焦急地看着前面[路小星]坐的公交车。手机震动响起，[路小星]淡定地将手机举到耳边。
0:59:37|0:59:42|此时[林冲]心急如焚，不停张望前车，[路小星]不明就里，依旧听言戴上耳机。
1:0:2|1:0:14|[路小星]不知道男人早将她的动作尽收眼底，正不加掩饰地看着她，[林冲]举着手机一直盯着前车，不料自己所乘的公交车竟开始右转，[林冲]眼睁睁地看着前车径直开走。
1:0:14|1:0:19|着急的向后车门跑去，边跑边死盯着[路小星]坐的公交车。
1:0:20|1:0:26|公交车恰好到站稳稳停到站前[林冲]忙跑下车奔向路口，[路小星]则强装镇定站起身。
1:0:39|1:0:47|[路小星]僵硬地往前走，[林冲]举着手机只能看到摄像头里的车门。
1:0:50|1:0:58|[林冲]焦急万分，脚下轮滑越来越快，公交车很快到站停在路边，男人站在[路小星]右后侧，随着[路小星]步伐缓慢踏下楼梯。
1:1:7|1:1:18|男人跟在[小星]身侧，手里刀子紧紧抵在小心腰部，没有丝毫松懈，[路小星]缓缓移动到盲道上，小心向前走着，她慢慢垂下手机，将手伸进挎包里摸索着着。
1:1:18|1:1:26|男人警醒地盯着[小星]侧面，却丝毫没有注意到手上动作，突然[小星]掏出防狼喷雾，深吸一口气向后喷去。
1:1:50|1:1:58|[小星]在[梁聪]和[林冲]指引下迅速拐进一条路，[林冲]焦急地盯着手机，脚下速度越来越快，此时[小星]已经跑到尽头。
1:2:0|1:2:8|[小星]慌忙停下脚步感受地板上的纹路，男人很快追来，他顺着[小星]的路走进商场，还不停地揉眼睛。
1:2:10|1:2:15|[小星]立刻拐弯，顺着右边通道奔跑起来，男人边快走边往后看了一眼，表情越发狠绝。
1:2:18|1:2:26|[小星]快步冲进楼梯通道，她不受控制撞到墙上，[林冲]越发着急向前滑行，而[小星]也跌跌撞撞地下楼。
1:2:26|1:2:38|男人急步行走在商场里，狰狞地打量四周，此时[小星]顺利走下楼梯，继续沿盲道奔跑，[梁聪]越跑越快，而[小星]早已体力不支，她脚下一个踉跄竟摔倒在地。
1:2:54|1:3:3|[小星]摸着盲道，前面的路在脑海中似乎变得清晰，此时男人急速向楼梯口奔去，[小星]举着手机摸索着站起身。
1:3:4|1:3:12|[林冲]看着视频中的路线满脸担忧，[小星]顺着脑海中的路线，一手举着手机，一手向前摸索着奔跑起来。
1:3:12|1:3:20|速度也在渐渐加快，男人一头扎进楼梯间，快步向楼下冲去，[梁聪]嗅着地面上[小星]的气息，飞速向[小星]跑去。
1:3:20|1:3:32|[路小星]不敢停下脚步，飞快向前跑，[梁聪]终于找到[路小星]，狂奔在[路小星]身后，此时男人也出现在最后面。
1:3:32|1:3:36|在看到[路小星]后，他表情越发狰狞，速度越来越快。
1:3:38|1:3:46|[路小星]快速奔跑着，[梁聪]紧追不舍，男人离他们也就100米开外的距离，[路小星]顺着盲道上了一个斜坡，冲进一楼停车场。
1:3:49|1:3:55|[路小星]听从[林冲]指示，径直跑向电梯，[梁聪]也跑进停车场，向[路小星]奔去。
1:3:55|1:4:2|[路小星]踉跄着扑到电梯门上，按下电梯按钮，她刚爬进电梯[梁聪]也冲进来。
1:4:3|1:4:21|此时男人也进入停车场，[路小星]急忙爬到门边按下按钮，门马上就合住了，不料男人一只手臂伸进电梯，门被打开了，男人狠毒地看向[路小星]，从口袋里掏出一只注射器，顶掉上面针套，他上前握住[路小星]下巴，将注射器扎进[路小星]脖子一推到底。
1:4:21|1:4:31|很快[路小星]眼神变得迷离，男人刚拔出注射器就被[梁聪]扑上来咬住衣角，只见[梁聪]嘶吼着将男人拽出电梯间，怎么也不肯松口。
1:4:31|1:4:42|而[路小星]下意识捂住脖子，无力地晕在电梯角落，[梁聪]死咬住男人衣服不放，他完全无法挣脱，于是男人掏出口袋中手术刀，毫不犹豫地朝[梁聪]刺去。
1:4:42|1:4:55|鲜血刹时间溅满男人和[路小星]的脸，[梁聪]呜咽着，却依旧不肯松口，电梯门渐渐合上男人只能眼睁睁看[路小星]离开，电梯里[路小星]无意蹙醋着眉，终究没能醒来。
1:4:55|1:5:0|男人把所有怨气都撒在[梁聪]身上，[梁聪]终于没了力气，无力地松了口。
1:5:0|1:5:5|电梯成功上了一层，[路小星]暂时得救了。
1:5:5|1:5:12|[梁聪]鲜血淋漓地躺在地上，已是强弓末弩，男人咬紧牙关恶，狠狠地瞪了[梁聪]一眼。
1:5:12|1:5:20|跨过它的身体朝楼上跑去，此时[梁聪]双眼紧闭，瘫倒在地上，壮烈地走完了一生。
1:5:29|1:5:35|一位清洁工人正在拖地，她看到电梯里满脸鲜血的[路小星]吓得瘫倒在地。
1:5:35|1:5:49|只见[路小星]瘫坐在电梯角落，没有丝毫知觉，一位警察冲进电梯急忙扶起[路小星]，另一位警察跑向大门，男人从角落里探出脑袋，静静看着眼前这一幕。
1:5:49|1:5:58|[路小星]躺在病床上，手腕处的划痕格外刺眼，[林冲]坐在病床边担忧的神色溢于言表。
1:6:6|1:6:9|[鲁力]急忙握住[路小星]的手，无奈地看向一边。
1:6:50|1:6:56|[路小星]的手将、僵在半空，一时间无法动弹，[林冲]心疼地看着泪流满面的[路小星]。
1:6:56|1:7:5|而[鲁力]紧促眉头不忍地转过身，[路小星]嘴唇颤抖着，鼻孔微微张大，随着情绪加深。
1:7:5|1:7:12|她的肩膀忍不住颤抖起来，[路小星]紧紧抱住怀中牵引带，不断摩梭着有[梁聪]模样的狗牌。
1:7:12|1:7:20|她痛苦地闭上双眼，无力低头，[路小星]哭着哭着，直接从病床上滑下瘫坐在地上。
1:7:20|1:7:29|她将牵引带紧紧按在胸口，似乎想将[梁聪]融入生命一般，[路小星]发出无力的嘶吼，差点喘不上气。
1:7:45|1:7:54|[鲁力]捂着嘴一动不动沉默看向窗外，[林冲]站在一边垂头不语，他和[林冲]在此时唯一能做的就是无声的陪伴。
1:7:54|1:8:1|警局中一派忙碌景象，一位便衣警察拿着文件急匆匆的向[鲁力]办公室走去。
1:8:48|1:8:54|[鲁力]一声令下后，警员纷纷向各自岗位奔去，另一边[林冲]认真地形容男人长相。
1:8:54|1:8:59|不一会儿屏幕上出现了嫌疑人头像，竟与男人有8分相似。
1:8:59|1:9:5|此时男人正用电脑查看新闻，只见新闻栏中详细描写了那一晚的伤人事件。
1:9:5|1:9:13|新闻表示，公安部门已经就目击证人等信息展开搜索，看到这里男人面带凶色，嘴角微微抽搐。
1:9:13|1:9:20|他定了定神，快速敲击键盘查询其余资料，夜间警察局依旧灯火通明，
1:9:37|1:9:42|[林冲]猛地起身，瞬间吸引办公室内无数目光，他打开手机快速翻出一首歌曲。
1:9:57|1:10:4|只见屏幕上显示着虫儿飞，这首歌曲演唱者正是[梁聪]。
1:10:19|1:10:27|[鲁力]兴奋地捶了几下[林冲]胸口，又一把拦住他肩膀用力晃了晃，
1:10:34|1:10:40|他凑近[路小星]，得意地捶捶自己胸口，[林冲]又皱着眉撑起下巴。
1:10:52|1:11:2|[路小星]抱着牵引绳失落的撇向一边。[林冲]自知失言，激动消失的一干二净，心虚地抿了抿嘴。
1:11:2|1:11:9|他思索一阵，突然起身轻轻去握[路小星]的手，[路小星]无措地松开牵引绳，直起身子。
1:11:9|1:11:15|只见[林冲]弯着腰，一手握住[路小星]的手，一手背在身后，满眼真诚的看向[路小星]。
1:11:18|1:11:26|[路小星]呆呆地面向[林冲]，不知他到底想干什么，夜间[林冲]将[路小星]带到一处露天轮滑场，教她滑轮滑。
1:12:0|1:12:3|仿佛受到[林冲]情绪的感染，[路小星]也露出难得的笑容。
1:12:3|1:12:9|就这样二人手牵手悠闲地滑行在轮滑场里头，顶灯光仿佛星星一般萦绕空中。
1:12:9|1:12:17|[路小星]的轮滑技术并不熟练，时不时就会磕绊地向前冲一下，但这并不影响她此刻难得的放松心情。
1:12:28|1:12:42|男人缓步走进地下室里面，两个女孩毫无知觉的躺在病床上打着点滴，其中一个女孩一袭白裙，手脚都被仅仅附在床上，脸上全是整容医生画出的线条。
1:13:44|1:13:50|男人弯下腰将妹妹翻过身又捧起她的头，没曾想到妹妹脑后一大片血迹，男人惊慌地摇晃妹妹的身体。
1:13:54|1:14:16|地下室里男人缓步向前走，去痴迷的看着投影里的女孩，他再次回想起那个雨夜，他瘫在地上抱着妹妹哭嚎的场景，男人仰头看着照片上的女孩身着白裙，笑得十分灿烂，男人神色中透露出无尽的回忆，那一夜他抱着妹妹的尸体在地上坐了很久，天气如同心情一般。
1:14:16|1:14:18|再也没有晴过。
1:14:18|1:14:26|此。依旧是黑夜，男人站在落地窗前静静看向屋外，过了许久他才回过身，缓步向书桌走去，
1:14:26|1:14:33|只见他轻描淡写的拉开抽屉，里面竟放着十几部一模一样的手机，角落里还零散摆放着十几张sim卡。
1:14:33|1:14:39|男人随机抽出一部手机又插进一张卡，他面无表情的按下开机键。
1:14:39|1:14:54|屏幕照亮了他阴霾的面孔，随后他往手机里安装一个软件，同一时刻，[镜框]还守在警局电脑前，这家伙的新ID已经登陆了，[鲁力]立刻窜到屏幕前。
1:15:6|1:15:9|此时一辆出租车停到了[路小星]曾经居住的别墅面前。
1:15:9|1:15:26|下了车后，[路小星]犹豫地伸出手抓住[林冲]胳膊，[林冲]一边带领[路小星]往前走，一边好奇抬头打量这栋豪华别墅，另一边[鲁力]带着[镜框]驾车疾驰在公路上。挂了电话看向[鲁力]。
1:15:44|1:15:53|[林冲]小心的推开大门里面黑乎乎一片，他扶着[路小星]缓步走进大厅，而[路小星]摸索墙面，打开了屋里所有的灯。
1:15:53|1:15:59|[林冲]在看到别墅全貌后惊异的张大嘴巴，他像个好奇宝宝左顾右盼着。
1:16:4|1:16:19|[路小星]摸索墙壁，缓步登上一旁的旋转楼梯，[林冲]则兴奋地走进客厅，将自己摔进沙发里，他拍拍沙发结实的坐垫，又翻身躺进另一侧的位置，只见[林冲]伸展双臂十分放松。
1:16:19|1:16:26|[路小星]则来到[梁聪]房中摸索着找寻什么东西，在碰到[梁聪]相框后，她欣慰地笑了笑。
1:16:26|1:16:44|随后找到了摆在斗柜中间的尤克里里，她取下尤克里里抱在怀里细细摩梭着，[林冲]翻起桌上相框，里面是[路小星]一家4口的全家福照片。
1:16:48|1:17:3|[林冲]突然皱眉凑近看向照片中的[梁聪]，他立刻举起桌上另一个相框，又回头看向墙壁上照片，[路小星]抱着尤克里里勉强勾了一下嘴角。
1:17:3|1:17:11|她带着[林冲]来到地下室，[林冲]眼里透露出无法掩饰的激动与欣喜。
1:17:14|1:17:23|[林冲]激动地跑下楼梯，站在地下室中央四处打量着，这里到处贴着乐队海报，正前方摆放着一套架子鼓。
1:17:28|1:17:31|[林冲]激动地敲了一段后，笑嘻嘻地看向[路小星]。
1:17:31|1:17:44|[路小星]神色忧郁，默默的站在楼梯边，[林冲]见状急忙将鼓槌搁到一边，随后[林冲]站在[梁聪]一向前擦燃一根火柴，点燃三支香，他恭敬地对着[梁聪]照片拜了三拜。
1:18:10|1:18:19|[林冲]担忧地看向[路小星]一时间无言以答，这时候[鲁力]和[镜框]也来到富华山庄，一眼望去这栋别墅门口仅有一盏路灯照明。
1:18:19|1:18:33|显得格外阴森，[鲁力]和[镜框]下了车，警惕地看向院内只见别墅内黑黢黢一片，似乎许久都没有人来，二人熟练地翻过院墙，纵身跳进院内，[鲁力]揉了揉膝盖，又从怀中掏出一把手枪。
1:18:33|1:18:40|[镜框]也立刻掏出手枪警惕的看向四周又将装饰[镜框]摘下塞进怀里，跟在[鲁力]身后。
1:18:40|1:18:55|二人一前一后悄无声息潜入别墅内部，他们靠着墙，紧身向里扫了几眼，径直走进大厅中央，[鲁力]试探地敲了敲窗格，而近况立刻埋伏在一处走廊角落，随后[鲁力]举起手电查探情况。
1:18:55|1:19:17|[镜框]则紧跟其后，他左手举手电，右手举枪，猫着腰小心打量四周，突然[鲁力]回头冲他扬扬下巴，[镜框]默契点头，转身检查另一边，[鲁力]又往前走了几步，扫过一片书架，书架上全力着唐峥的奖杯和照片，[鲁力]伸手拿起一个相框，上面是一对七八岁的兄妹，同时举起一个奖杯，他皱眉端详许久后，
1:19:17|1:19:29|将相框小心放回原处，另一边[镜框]来到一处向下的楼梯前，他用手电筒不断扫视周围，小心地踩下台阶，很快地下室那扇大铁门映入眼帘。
1:19:29|1:19:32|[镜框]用嘴叼住手电筒试探着晃着解锁。
1:19:32|1:19:56|此时[鲁力]也悄悄推开一扇大门，他警觉的向前走着，手电筒不断扫视周围，突然他冲一个方向盯了半晌，摸索着打开开关，灯亮了，[鲁力]皱眉扫视一圈，目光凝滞在前方，停在他面前的是一辆高尔夫6，[鲁力]的眉头舒展开了，忍不住扬起嘴角，[鲁力]拉开一个柜子，掉出一堆车牌，
1:19:58|1:20:3|[鲁力]专注的看向车牌，向后招招手，背后的人影没有反驳，缓步走向[鲁力]。
1:20:3|1:20:13|[鲁力]突然觉察到不对劲，他回过头看到唐峥，[鲁力]刚起身就被唐峥一脚踢到墙上，[鲁力]举枪，却又被唐峥制住，再次撞到墙上。
1:20:13|1:20:20|随后唐征一把将[鲁力]摔趴在地上。
1:20:23|1:20:32|[鲁力]硬挨了唐峥一扳手，猛地抱住他的腰，唐峥将[鲁力]推出几米外又再次扑了上去，只见[鲁力]顺势抓住唐峥胳膊，来了个过肩摔。
1:20:32|1:20:55|他扑向唐峥再次扭打在一起，连珠子都压断了，唐争不甘示弱地翻起身，握进拳头向[鲁力]挥去，[鲁力]一手挡住，一手蛮横的将唐峥按在架子上唐峥猛的翻身，又将[鲁力]摔到另一边，随后扑上前顺手扯过一截链子，套上[鲁力]的脖子，他猛地向后一扯，[鲁力]瞬间喘不过气来，[鲁力]疯狂转了身旁架子。
1:20:55|1:21:6|架子骤然倒塌，将唐峥压在下面，[鲁力]喘息着将脖子上铁链拿下，又扑了上去。唐峥在情急下抄袭手边扳手，抡到[鲁力]膝盖，[鲁力]强忍疼痛。
1:21:6|1:21:15|搂住扑来的唐峥揪住他后背，一把将他灌倒在地，[鲁力]一把提起唐峥后衣领，使他跪倒在地上，反手拧住他胳膊。
1:21:18|1:21:30|不料唐征突然掏出一把手术刀，用力捅进[鲁力]，腹部鲜血瞬时涌出，只见唐峥满脸扭曲，露出一丝变态的快意，[鲁力]用尽全身力气将唐峥推倒在地，自己无力地瘫在地上。
1:21:30|1:21:40|唐峥恶狠狠地瞪着[鲁力]，强撑站起身，只见他满手鲜血捂着胳膊，走到[鲁力]面前，[鲁力]捂着腹部强打精神，咬牙盯着唐峥。
1:21:40|1:21:58|而随着失血后遗症的加重，[鲁力]眼中的唐峥变得模糊不清，唐峥慢悠悠地蹲到[鲁力]面前，瞪大的双眼异常可怖，他不加掩饰地直勾勾盯着[鲁力]，嘴角挂着变态的笑意而[鲁力]眼神渐渐迷离起来，他再也撑不住身子缓缓向后仰去。
1:21:58|1:22:4|唐峥的脸变得越来越模糊，终于[鲁力]毫无知觉地闭上眼睛歪头倒向一边。
1:22:4|1:22:17|此时[镜框]对[鲁力]的遭遇毫无觉察，他终于倒开铁锁，推开铁门，冲进地下室，里面黑乎乎一片，能见度极低，[镜框]一手持枪一手举手电，侧着身子小心往近走。
1:22:17|1:22:26|在看到三个躺在病床上，脸部被包成粽子的女孩后，[镜框]小心走上前摸女孩的脉搏，随后他又举起手电筒警惕地向四周扫去。
1:22:26|1:22:49|突然墙角一个绿色按钮吸引了他的注意，[镜框]试探按下后耳边响起机械运作的声音，竟有一扇密室大门开启，他定睛一看，眼前仅想让他目瞪口呆，只见其黑密室里坐着三个神志不清的女孩都挂着吊瓶，中间摆放一个相框，再仔细一看他们三人和相框中唐倩的长相一模一样。
1:22:58|1:23:6|[林冲]从沙发上拿起了[梁聪]的尤克里里，他端着看了半晌，笑着走出屋外，此时[路小星]正坐在雕塑旁的座椅上。
1:23:6|1:23:13|听到琴声后，她不由得直起身子。
1:24:0|1:24:6|[林冲]抱着尤客里里边弹边坐到[路小星]身边。
1:24:6|1:24:13|突如其来的手机震动打断了两人的气氛，[林冲]将尤客里里靠在脚边，诧异地掏出手机。
1:24:18|1:24:41|[林冲]和[路小星]相视一笑后迅速回了消息，而此时[鲁力]的手机在唐峥手里，他单手扶住方向盘，笑看向手机屏幕，唐峥的副驾驶上还放着一个黑色的大桶，在得到确切位置后，唐峥笑容越发肆无忌惮，他将[鲁力]手机随手丢到窗外驾驶汽车绝尘而去，同时警方和救护车已经到达富华山庄，
1:24:58|1:25:24|此时大雨倾盆，蓝湖别墅内出现一串脚印，脚印一路通往客厅中央，还带着大量泥沙与富贵的大理石地板极不相配，顺着脚印望到头，只见一双黑色皮鞋立在墙边，轻轻放下一个黑色大桶，他左手托着芭蕾娃娃音乐盒，右手掀开白布打开钢琴琴键，此时[路小星]摸索着走进客厅，在摸到沙发边框后又一路摸下去找到挎包，
1:25:24|1:25:46|在听到弹奏声后小心起身向钢琴方向走去，殊不知挎包突然张开手机滑落在地毯上，唐峥坐在钢琴前面无表情地按着琴键[林冲]，[路小星]摸到墙壁后挨着墙缓步向钢琴走去。
1:25:52|1:25:58|唐峥摆弄着音乐盒并没有回头，[路小星]慌张地向后退步。
1:26:21|1:26:28|[路小星]皱着眉头，不知在想些什么，[唐峥]了然的点点头，站起身，[路小星]听到动静再次慌忙的退了好几步。
1:26:28|1:26:36|只见[唐峥]环部走向[路小星]，[路小星]后退时被[镜框]绊了个踉跄。
1:26:58|1:27:3|[林冲]无意间走进客厅，他猛扑向[唐峥]却被甩到一边，
1:27:12|1:27:33|[路小星]急忙摸索着朝楼上走去，[唐峥]愤怒地扯住[林冲]衣领，一拳将他打翻在地。转身走向[路小星]，[林冲]心急如焚，不要命似的将[唐峥]扑倒在地，挡在楼梯口前。[唐峥]双手扯住[林冲]衣领，将他甩到吧台上，[路小星]来到沙发旁，急忙伸手去摸挎包，却怎么也找不见手机，她焦急的趴在地上摸索着，可手机却掉落在另一个方向。
1:27:33|1:27:55|[唐峥]再次掏出手术刀捅进[林冲]腹部，他狠绝地看向[林冲]，手里刀又往里捅了几分，[唐峥]正准备将[林冲]甩出去，却不知[林冲]哪来的力气，一手死抓住刀子不让他抽走，另一只手还攀住他肩膀不松手，[唐峥]恼怒地掐住[林冲]脖子，力气大到[林冲]直翻白眼，随后他像丢垃圾一样将[林冲]丢到一边。
1:27:55|1:28:0|跨过[林冲]朝楼梯走去，[林冲]皱着眉头，眼睛都没力气睁开了。随后
1:28:0|1:28:12|[唐僧峥]吹着口哨，顺着旋转楼梯慢悠悠的往上走，[路小星]听到动静后惊慌的直起身子，她不再寻找手机，而是扯过挎包，从中翻出一个报警器。
1:28:12|1:28:23|随后[路小星]踉跄起身，跌跌撞撞地走进[梁聪]的屋子，而此时[唐铮]已走到客厅，[路小星]在[梁聪]桌子上来回摸索着，拿起一只音叉，[唐铮]不慌不忙的走到沙发旁。
1:28:23|1:28:43|捡起[路小星]手机，[路小星]蹲在墙边摸索，找到插座后，将手中音叉插进插孔，音叉成功导致电路跳闸，屋里瞬间漆黑一片，[路小星]忙将音叉丢到一旁，向另一边爬去，[唐峥]若有所思，他抬头看向昏暗的四周又缓缓转过身看向身后楼梯。
1:28:43|1:28:54|只见[路小星]挎包躺在楼梯一脚，[唐峥]缓步踏上楼梯，静静在挎包边上站了一阵，他再次抬头看向黑黢黢的四周，不紧不慢地从口袋中掏出烟盒。
1:28:54|1:29:1|抽出一支香烟叼在嘴里，并用打火机将它点燃，他吸了一口烟并没有将打火机熄灭。
1:29:1|1:29:4|而是举起它继续缓步向上走去。
1:29:4|1:29:8|在[唐峥]看来，这种猫抓老鼠的游戏才是最有意思的。
1:29:8|1:29:20|此时[路小星]蹲在一片黑暗中，仔细聆听外面动静，而[唐峥]脚步跨上最后一级台阶，变得悄无声息起来，只见他一手夹着香烟，一手举着打火机。
1:29:20|1:29:22|漫不经心地在走廊里转悠着。
1:29:22|1:29:33|很快[唐峥]便找准位置，他深吸一口烟将他扔到地上，径直朝[梁聪]卧室方向走去，他每一步都很有力，仿佛在刻意提醒[路小星]。
1:29:33|1:29:38|[路小星]也感受到[唐峥]的逼近，这时手举打火机站在房间门口。
1:29:38|1:29:46|他先是四处打量一下，才慢悠悠地晃进[梁聪]卧室，透过月光可以勉强看清屋内摆设。
1:29:46|1:29:57|[唐峥]向前走了几步，手举打火机借着火光仔细扫视一遍卧室，突然他的视线停留在窗户上，[唐真]面无表情的走到窗边后灭了打火机。
1:29:57|1:30:3|猛然打开窗户向下看去，趁此机会[路小星]偷偷推开衣柜门，[路小星]挪到门口。
1:30:3|1:30:17|此时唐峥并不知道背后发生的事情，他从口袋中掏出[路小星]手机潇洒的丢出窗外，[路小星]也借机溜出[梁聪]卧室，摸索旁边墙壁慌忙朝前走去，唐峥关上窗户若有所思的回过头。
1:30:17|1:30:35|而[路小星]在走廊里脑海中浮现出家中路线，突然脑海中近在咫尺的大门旁边出现一个男人的影子，吓得他踉跄后退好几步，突然背后响起的声音让她警觉的偏过头。此刻唐峥正推开衣柜门举起打火机查看里面情况。
1:30:35|1:30:41|[路小星]似是感受到面前的火光，面前男人也消失不见，她鼓足勇气继续向前走去。
1:30:41|1:30:53|一条长长的血迹划过半个客厅，只见[林冲]喘着粗气拼命向前爬着，在前方不远处的茶几上放着他的手机，[林冲]绝望的看着，无力地趴到地上。
1:30:53|1:31:3|唐真拨开一处推拉门，驻足在门口查探着，突然的警报声让唐峥瞬间变色，他表情狰狞，把腿向警报方向跑去。
1:31:3|1:31:15|在偌大的别墅转了好几圈后，他终于来到警报所在地，只见浴缸边上插着一只报警器，安置了报警器的[路小星]又悄悄溜出浴室，唐峥刚从浴缸边上扯下报警器。
1:31:15|1:31:34|[路小星]就从门外推倒一面柜子，正正堵住浴室大门，唐峥这才反应过来，他愤怒的摔了报警器，试图去开浴室门，门外被架子堵得严实，一时半会都没法把门踹开，小小星急忙摸索下楼，此时[镜框]冲进富华山庄车库，这才看到昏迷的[鲁力]。
1:31:57|1:32:4|[林冲]不省人事地躺在茶几前，[路小星]摸索着来到落地窗前想打开窗户，不料唐峥早已在上面拴了铁链。
1:32:4|1:32:20|唐峥还在气急败坏地踹门，迟迟没能出来，[路小星]又摸索着走上楼梯去尝试开正门，不曾想正门也被唐峥紧紧锁住，唐峥一脚一脚踹着，外面的架子渐渐有所松动，很快他能伸出半个脑袋，
1:32:46|1:33:9|警车呼啸着朝[路小星]家驶去，[路小星]焦急摸索着突然被什么东西绊倒在地，她扑在地上摸到[林冲]身体，[路小星]大吃一惊，急忙附上[林冲]脸颊。唐峥为了推开门早已满头大汗，他用力将架子又推出一些，终于他挤出浴室向外冲去，[路小星]用尽全身力气才扶起[林冲]上半身，而唐峥又绕了好几圈。
1:33:9|1:33:32|才找到楼梯口，[路小星]费力的拖着昏迷的[林冲]朝楼梯口方向移去，唐真脚步越来越近，[路小星]也将[林冲]拖到楼梯口的一处房间，唐峥看到二人后愣了一下，随后更加狰狞，脚下速度越来越快，[路小星]将[林冲]放到一边爬向房门，赶在唐征扑上来之前将他挡在另一边路，唐僧又没有逮到[路小星]恼羞成怒的拍着房门，
1:33:40|1:33:46|[林冲]手机再次响起，唐峥走到茶几旁，拿起手机用力摔到地上，此刻[路小星]跪在[林冲]身边，颤颤巍巍地试着[林冲]鼻吸。
1:33:48|1:33:57|[林冲]突然他感受到手指尖湿漉漉的一块，放在鼻尖一闻，顿时大惊失色，她连滚带爬地挪到架子旁，拿出医药箱。
1:33:57|1:34:11|从中翻出一个白色瓶子，打开仔细闻了闻，正当[路小星]给[林冲]上药时，屋外唐峥抄起一根高尔夫球杆，毫不客气的挥下门锁，只见唐峥挥足架势，一棍又一棍砸在门锁上，[路小星]一时不敢动弹。
1:34:12|1:34:20|门锁被敲开了，唐征飞起一脚踹开房门，居高临下地看着屋内，他面孔狰狞，缓步踏进房中。
1:34:20|1:34:26|一手端着球杆，另一只手掏出打火机，而这一次他擦了好几回，也没能打出火苗。
1:34:26|1:34:48|唐峥合上打火机盖子警惕地向前走去，他将球棍转了个最顺手的姿势握着，细细打量屋子内部可巡视了一圈，也没能看到二人身影，于是唐峥将目光停滞在窗帘上，他抿着嘴上前拉开窗帘，窗帘背后什么都没有，突然[路小星]握着一把剪刀从书架旁冒了出来。
1:34:49|1:34:59|[路小星]紧握剪刀，迷茫地看向前方胡乱挥舞着，这一幕让唐僧峥兴趣大发，他站在[路小星]身侧，用球棍轻轻敲向[路小星]肩膀，[路小星]手握剪刀，。
1:34:59|1:35:5|惊慌地刺向唐峥一手紧紧扶住背后书架，唐峥又用球棍戳向[路小星]另一边肩膀。
1:35:5|1:35:16|[路小星]惊慌地挥舞剪刀摸着墙向后退去，唐真峥有注意到[林冲]被藏在书架后面。只见他眉头猝起，似乎要醒过来，唐峥将[路小星]逼到客厅。
1:35:16|1:35:35|时不时敲击墙面刺激[路小星]，突然他将球棍丢到一边，冲上前去制住[路小星]的手，又从背后勒住她脖子，[路小星]掰住他的手，一个过肩摔将[唐峥]撂翻在地，趁[唐峥]还没爬起来，[路小星]急忙摸索走向吧台，随后[路小星]拎起吧台上铁桶，又提着它拐向另一边。
1:35:35|1:35:44|[唐峥]原本受伤的胳膊疼得更厉害了，他挣扎半天才翻起身，快步追了上去。
1:35:50|1:36:2|[路小星]擦亮火柴，举到[唐峥]面前，铁桶不断涌出液体，让[唐峥]真大惊失色，[路小星]举起火柴向前，[唐峥]真吓得僵在一边，没曾想这桶汽油全浇在自己身上。
1:36:2|1:36:8|[唐峥]自嘲的笑了笑，[唐峥]狞笑着看向[路小星]。
1:36:22|1:36:27|[唐峥]恼怒看向[路小星]身上汽油滴答留着，他往后退了几步，轻轻抬起脚尖
1:36:35|1:36:56|[唐峥]无奈将手伸进口袋，无意间踢到远处架子鼓，他转转眼珠即从星来，只见他将钥匙举到[路小星]面前轻轻晃了晃。[路小星]微侧过深认真辨别方向，突然[唐峥]将钥匙丢到远处，[路小星]着急拿钥匙，只能一手举火柴，一手摸索方向，而这根火柴燃到尽头又
1:36:56|1:36:58|又熄灭了。
1:36:59|1:37:18|等火柴再次亮起，[唐峥]举起鼓架朝[路小星]砸来，不料只砸到面前的玻璃，而[路小星]手中火柴在慌乱中掉到地上，火势瞬间慢开，捎上[唐峥]胳膊，[路小星]忙在地面上摸索，很快摸到钥匙，此时火焰已经燃遍[唐峥]全身，他在火场里挣扎着无暇顾及[路小星]。
1:37:18|1:37:24|[路小星]顺着楼梯一路摸索上去，[梁聪]的照片留在那里，冥冥之中保佑着姐姐。
1:37:24|1:37:36|很快消防喷头开始喷水，这才缓解火势。[路小星]出了地下室后慌乱锁门，顺着墙向前走去，不料[唐峥]冲出火场，三两步追上[路小星]，他从背后一把扯住[路小星]衣服。
1:37:36|1:37:59|将她用力甩到旁边吧台上，唐真的半边脸都被大火烧毁了，十分恐怖，他踉跄上前将[路小星]拖起来，用一巴掌把她扇倒在地，随后他不依不饶，拖着[路小星]毫不留情打在[路小星]身上，[路小星]撞碎玻璃，摔倒在地，唐峥着烫伤的手腕，跌跌撞撞地趴在钢琴边，[路小星]则强撑起身子一点一点向外爬去。
1:37:59|1:38:11|唐峥再次变得魔怔起来，他迷恋地盯着钢琴上的音乐盒，过了许久才颤巍巍的伸出手，小心的摸着保护罩，他缓缓捧起音乐盒，狰狞着走向[路小星]。
1:38:11|1:38:22|此时[路小星]还强撑双臂用力向外爬着，唐峥将音乐盒捧在眼前，透过音乐和保护罩看着一点点挪动的[路小星]，他神情涣散，精神已经出现崩塌征兆。
