0:1:29|0:1:38|[孙悟空]啃了口手上的脆桃，把桃子甩了出去，桃子高速旋转着击中李天王，
0:50:41|0:50:48|[江流儿]赶紧回房关上门。蜂拥而至的山妖在楼梯前被[孙悟空]一脚踩晕，
0:50:48|0:50:56|[孙悟空]抡飞一只山妖，[猪八戒]见山妖朝他飞来，立马变成苍蝇。刚躲过一劫，又被山妖吞进肚里。
0:50:58|0:51:8|山妖打嗝，吐出了苍蝇，苍蝇嗡的一声变成[猪八戒]，压倒了木桌。鼻青脸肿的[老板娘]偷偷走进屋里，躲在柱子后
0:51:8|0:51:19|暗中观察。趁着客堂战况激烈，她悄无声息地爬到楼上，正想朝客房挪去，两只被打飞的山妖射穿二楼地板，卡在她脚下。客房内，
0:51:19|0:51:26|[江流儿]背靠房门，大喘粗气，小女孩躺在凉席上，拿着[孙悟空]的布偶正在酣睡。
0:51:26|0:51:46|[老板娘]眼中隐含血光扑了过来，[江流儿]抱着小女孩钻到桌下，对跟来的[老板娘]胡蹬乱踢，[老板娘]抬起桌子，[江流儿]把桌脚砸在她脚尖上。[孙悟空]听到尖叫声，立马甩开山妖，跃上二楼。
0:51:46|0:51:49|另一只山妖扑向他，反被他打到墙上。
0:51:49|0:52:0|[孙悟空]在客堂里跳跃着，抓起柱子抡了一圈，踢飞扑来的山妖，那个山妖像保龄球般撞到角落的一堆山妖。[孙悟空]再次跳上楼上，
0:52:0|0:52:13|又被山妖扑倒，他朝[猪八戒]大喊，[孙悟空]把身上的山妖砸向[猪八戒]，[猪八戒]旋转着飞向二楼，却卡在围栏上，一只山妖扑向他的屁股。
0:52:14|0:52:25|客房内，[江流儿]趁[老板娘]抬起桌子，就抱着小女孩从她的胯下钻了出去。[老板娘]刚追出房门，就被滑过来的[猪八戒]一肚皮撞开，砸穿外墙，飞出客栈。
0:52:26|0:52:31|[孙悟空]被山妖扑到墙角，周遭的山妖一涌而上。
0:52:34|0:52:44|[江流儿]正担心[孙悟空]，面前却爬上来两只山妖，他抱着小女孩跑到[老板娘]砸穿的墙洞前。[猪八戒]见山妖爬到他身后，
0:52:44|0:52:54|慌忙地冲向墙洞，把[江流儿]也撞了出去。几人落到棚顶又被弹飞，正巧压倒刚刚站起来要发威的[老板娘]，
0:52:54|0:53:1|[猪八戒]起不来身，只能打滚跑掉。客栈里，[孙悟空]仍被一堆山妖压在地上，
0:53:1|0:53:7|怒吼一声，炸飞身上的所有的山妖，整个客栈轰然倒塌。
0:53:8|0:53:13|[孙悟空]跃上山妖的背脊，轻松几跳，逃出了客栈。
0:53:15|0:53:18|[混沌]站在木杆上，俯视着[孙悟空]。
0:53:18|0:53:40|他看似白脸小生，头戴双翅乌纱帽，双手间汇聚出一颗光球，猛然冲向地面，炸飞四周的灰尘，[孙悟空]吼道，他跳上岸边停靠的破旧木船，一秒拉下船帆，废墟的灰尘突然蔓向四周，一只变异山妖破地而出。
0:53:40|0:54:2|[孙悟空]扫了眼船上，抓起撑船的竹竿，跳上了帆顶，他右手挥舞着竹竿，跃向空中，法印渐渐亮起，[孙悟空]痛苦地喊着，一竿打碎朝他扑来的山妖。山妖的低吼声越过他，堵住了[猪八戒]和[江流儿]，这些山妖通体乌黑，背上却像岩浆一般涌动发亮。
0:54:2|0:54:22|[孙悟空]抡起竹竿把山妖一个个打飞，又把竹竿插进地里，身体腾空来了一圈旋转飞踢，他在空中舞动竹竿，旋转的竿头一挥就打翻了一堆山妖。一只山妖被打飞到木船旁，[猪八戒]一个泰山压顶，山妖竟像木炭一样碎成小块。
0:54:22|0:54:27|[江流儿]见山妖朝船上奔来，便把小女孩塞给了[猪八戒]。
0:54:28|0:54:34|他抬起上船的踏板，正巧卡住了张牙舞爪扑上来的山妖。
0:54:34|0:54:43|[孙悟空]用竹竿推开了一众山妖，踩上竹竿，弹跳出去，又伸手接住弹回来的竿子，一棒打碎了上船的山妖。
0:54:43|0:54:48|他稍停片刻，转身扔出竹竿，竹竿穿透了扑向[江流儿]的山妖。
0:54:51|0:54:59|[江流儿]见[孙悟空]的法印燃起火焰，紧张地抓住他的胳膊。木船驶离河岸，山妖聚在岸边。
0:55:0|0:55:8|不远处的山谷霞光万丈，[孙悟空]察觉到不对劲，扭头一看，一颗光球直冲着他们飞过来。
0:55:8|0:55:19|巨大的爆炸声后，一双形同鹰爪的脚缓缓地落在船上，他一脚踹开[猪八戒]，用法力把小女孩缓缓收到手中。
0:55:21|0:55:27|[混沌]单手举着小女孩，伸手拿走她手里的[孙悟空]布偶，看了一眼。
0:55:34|0:55:41|[混沌]突然看向脚下，[江流儿]死抓着他的衣角，随即就被气流弹到柱子上。
0:55:44|0:55:55|[混沌]对[江流儿]抬起手掌，[孙悟空]见状，赶忙提起竹竿打向他。两人法力对撞，[孙悟空]没扛几秒就被打飞到杂物堆里，[混沌]
0:55:55|0:56:3|一脚踩上[孙悟空]的头。
0:56:3|0:56:14|[混沌]把[孙悟空]踩进甲板里，旋转升天后，顺手丢下一个火球，整艘木船瞬间被火焰吞噬。[混沌]抓着小女孩落回岸边，
0:56:14|0:56:21|一甩衣袖，身边的山妖顿时化成灰烬，他狂笑着旋转而去。
0:56:21|0:56:39|海岸上，平躺在地的[猪八戒]不断地往外吐水，[江流儿]也趴在礁石上轻咳着，趴在丛林边的[孙悟空]动了动手指，双手撑地吃力地支起腰身，再摇摇晃晃地站了起来。
0:56:39|0:56:47|他默默回头看了眼[江流儿]，便低头走向丛林，[江流儿]急忙追上去。
0:57:4|0:57:10|[孙悟空]看[江流儿]在一旁，又放下了想揍[猪八戒]的拳头。
0:57:14|0:57:20|[孙悟空]把头扭向一边，闭上了眼睛，[江流儿]不敢置信地摇着头后退。
0:57:29|0:57:47|[江流儿]抹着泪跑进丛林里，他只顾着埋头跑，被一颗石子绊出去老远，爬起来后又接着哭。他一路跑到河里，哆哆嗦嗦地淌过小河。
0:57:47|0:57:57|[江流儿]靠在河岸的巨石上，顺着石头瘫坐在地，他的小手冻得通红，脸颊的两坨高原红也更深了些。
0:57:57|0:58:4|碎金子般的阳光透过树叶洒下来，[江流儿]用小手揉了揉眼睛，疲惫地叹气。
0:58:5|0:58:10|他撑起膝盖站起来，扶上巨石，正要离开。
0:58:10|0:58:17|两只山妖爬过来，[江流儿]惊恐地缩在巨石背后，
0:58:19|0:58:28|听到这个消息，[江流儿]想了想，咬紧牙关跟了上去，
0:58:33|0:58:53|丛林边，[孙悟空]愤怒地在岩石上猛砸右手的法印，打飞的石块误伤了一旁的[猪八戒]，[猪八戒]忽然飘到半空中，[孙悟空]的右手边悬浮起了一块块石头，手上的光芒瞬间炸开，[孙悟空]像耗尽全身力气般颓然倒下，身体浮在浅滩上。
0:58:53|0:59:3|寂静的丛林里，[江流儿]迈着小碎步走走停停，他谨慎地拨开两旁的树叶，头顶突然划过一节载着山妖的树桶。
0:59:3|0:59:13|[江流儿]吓得五官失控，赶忙朝树桶飞走的方向看去，一根藤条从悬崖上落下，一直延伸到远处的云霄里。
0:59:28|0:59:49|[孙悟空]在水中睁开双眼，眼前拿着布偶的[江流儿]渐渐消失，只剩布偶漂在水里，[孙悟空]拨开布偶周围的小鱼，他深陷回忆。
1:0:18|1:0:39|[孙悟空]脑海中浮现当年大闹天宫的情景，他从万箭中穿过，化作一团火焰，他站在云顶峰石上与十万天兵对峙，他鲜艳夺目的披风被云霄上的风雪卷起。
1:0:39|1:0:52|[孙悟空]猛地浮出水面，从回忆中抽离，他趴在浅滩里喘着粗气，看了看手里的布偶，捏紧了它。
1:0:54|1:1:2|[猪八戒]眼中有了光，用力地点头。
1:1:35|1:1:52|岩洞里，山妖们齐齐为[混沌]嚎叫着，其中一只山妖却发现一只画着鬼脸的小树桩悄摸摸地溜进岩壁的小山洞里，他急忙追上来，可面前出现了三个石洞。
1:1:52|1:2:0|[江流儿]正在他头顶上的钟乳石上，一个打滑险些掉下去，山妖看着石洞，举起爪子。
1:2:8|1:2:16|山妖被[江流儿]踩断的钟乳石砸中，他幡然醒悟，乐呵呵地跑进钟乳石尖指的石洞里。
1:2:17|1:2:21|[江流儿]从石头上掉下来，卡在悬空的木板里。
1:2:21|1:2:29|女山妖拽回刚离开的山妖凑近[江流儿]，反被打了一拳，
1:2:36|1:2:52|女山妖突然吃了一闷棍，一口尖牙掉了一半。[法明]单手舞花棍却甩飞了棍子，被打晕的女山妖拽着身旁的山妖掉下了洞口，扎进了[混沌]的铁炉里。
1:3:5|1:3:13|[法明]想把[江流儿]拽出来，两人却掉了下去。
1:3:13|1:3:22|[江流儿]一把抓住吊在半空中的球形木笼。
1:3:24|1:3:39|球形木笼像一个大摆锤被绳子吊着，撞飞岩洞四周围观的山妖，[混沌]极为不满，[混沌]身后的山妖惊慌地跳下石台。
1:3:39|1:3:50|烧得通亮的铁炉砸下来，[混沌]急忙用手去挡，刚松手又被迎面甩来的木笼带飞，狠狠地砸在石台上，[混沌]撑起身子，气得咬牙切齿。
1:3:50|1:3:55|铁炉和木笼顺着石台先后地滚出了岩洞，
1:3:58|1:4:19|木笼飞出妖洞，被鸟形围栏挡在了伸出断崖的圆形祭坛上，铁炉也卡在了断崖通向祭坛的木桥入口处，祭坛孤独地耸立在茫茫云海中间。断崖三面环山，崖壁上都是悬空的寺庙，一脸灰的[江流儿]扑向师傅。
1:4:21|1:4:40|小女孩看向天空，黑色圆盘正向太阳缓缓靠拢，崖壁逐渐笼罩上黑影，山妖聚集在高峰上。[混沌]掐住山妖的嘴。
1:4:41|1:4:48|[混沌]法力冲顶，瞬间移动，冲向[江流儿]。
1:5:4|1:5:12|[江流儿]被掐得直翻白眼，喘不过气来，他看着天上展翅飞翔的猎鹰，渐渐闭上了眼睛。
1:5:12|1:5:26|崖底的白雾出现了一个漩涡，白龙猛然冲了上来，它撞开[混沌]，带走[江流儿]，[混沌]定睛一看，白龙身上还坐着两个人。
1:5:26|1:5:33|白龙在空中飞舞着调转方向，面朝[混沌]直直地俯冲下去。
1:5:33|1:5:40|白龙闪电般钻到断崖上的妖洞里，迷雾中显现出一只龙眼。
1:5:43|1:5:47|白龙咬起脚下惊呆的女山妖甩向天际，
1:5:48|1:6:1|又飞向空中一口叼住她，摆动着尾巴钻进云层。[江流儿]趴在地上费力地抬头，妖洞洞口冒出了团团浓郁的烟雾，一个人形黑影
1:6:2|1:6:8|悄然出现，[孙悟空]从烟雾中走出来，半眯起眼看着祭坛。
1:6:10|1:6:24|一堆山妖挤在岩石后围观，[混沌]站起来骂道，
1:6:32|1:6:45|[猪八戒]拿着钉耙，身体一块块膨胀，他的身形大了数倍，举着钉耙就朝[混沌]挥去，不料中了[混沌]的法球，霎时变成了小猪仔，
1:6:45|1:6:56|一路滚到了[江流儿]的脚下。[猪八戒]看到自己的猪蹄变小，顿时蒙了。[孙悟空]把石头藏在身后，瞬间跳起十几丈高，扔出石头，击飞[混沌]的法球，
1:6:56|1:7:2|一众山妖被法球打下了悬崖。[孙悟空]飞起一拳被[混沌]单手挡住，
1:7:2|1:7:8|[混沌]抓住他转了半圈，一脚把他踢进了妖洞里，连着砸穿了好几堵墙。
1:7:11|1:7:18|[混沌]冲向祭坛，却被横飞而来的石块推到了一旁，他的乌纱帽被炸飞，头发散落下来。
1:7:20|1:7:32|[孙悟空]飞起两脚，又踢出两块巨石，[混沌]抬脚踢碎一块，后仰躲掉一块，甩掉飞上来的山妖，一飞冲天，朝[孙悟空]抓去，[孙悟空]被[混沌]迎面一击。
1:7:32|1:7:41|还没缓过来，[混沌]就闪现在他身后，一脚把他踢出了屋顶。[混沌]又抢先一步飞到空中，一脚把[孙悟空]踹回地面。
1:7:41|1:7:48|[混沌]蓄力，拉出了一个火光法球，法球直直撞上[孙悟空]，祭台上升起了一朵蘑菇云。
1:7:52|1:8:11|[混沌]重重地落回地面，喘着气站起来，看着躺平不动的[孙悟空]，一步步朝他走去，[混沌]的脚腕突然被[孙悟空]抓住。
1:8:18|1:8:29|[孙悟空]周身光芒四射，一拳把[混沌]捶到天上。看热闹的山妖也喝起彩来，[混沌]看了看四周的小妖，不服气地甩出了一个法球。
1:8:29|1:8:40|[孙悟空]扛住了法球的攻击，四肢并用，光速开跑，躲开[混沌]的法力追击。[混沌]放出形如回旋镖的光刀，[孙悟空]连着倒翻，躲过攻击，纵身一跃，
1:8:40|1:8:45|跳到悬空的寺庙上。他在屋檐上奔跑闪躲，又迎着光刀扑向了[混沌]。
1:8:46|1:8:57|[混沌]携来一块巨石挡在面前，却被[孙悟空]一掌劈碎，[混沌]连翻好几个跟头，没坐稳就被[孙悟空]扑下悬崖。两人在桥下的木桥台上缠斗，
1:8:57|1:9:1|[孙悟空]被[混沌]甩到桥头，又拽着绳索弹回去。
1:9:4|1:9:13|[混沌]放出一个追踪法球，[孙悟空]在木架中间旋转跳跃，躲开法球的疯狂撞击，[孙悟空]一拳砸向[混沌]的面门。
1:9:14|1:9:26|桥上的铁炉摇摇欲坠，[孙悟空]立马冲向[混沌]，两人撞散了桥台的木架，[混沌]甩出法球被[孙悟空]打飞，法球击中铁炉旁的木架。
1:9:26|1:9:36|铁炉顺着桥台一层层滚下去，两人在纷飞的碎木片中搏斗着，[混沌]似乎耗尽了力量，[孙悟空]迅速从身后抱住了他。
1:9:37|1:9:55|[混沌]的身体逐渐膨胀，脸庞由白变黑，嘴角撕裂，露出了一口尖牙，铁炉轰隆地砸下来。祭坛下，半掩于浓雾的木桥吱呀作响，[混沌]嘶吼着坠入了深谷，[孙悟空]两手撑着木板的断口爬了上来。
1:10:5|1:10:14|[江流儿]欣喜地接住[孙悟空]丢上来的布偶，此时太阳被黑色圆盘挡住，日全食出现了。
1:10:14|1:10:25|木桥似乎受到了剧烈撞击般上下晃动起来，小八戒被震得撞在了木桥的护栏上，深渊中响起了一声闷雷，山妖们万分惊恐。
1:10:25|1:10:41|木桥突然停止晃动，扶着牢笼的[江流儿]起身跑到了桥边，向下看去，深渊的白雾里伸出了一个四指巨爪，拍在了支撑祭坛的石柱上，一个长着血盆大口的怪物在白雾中立起了身子。
1:10:41|1:10:50|这只看似巨型肉虫的怪物顺着木架爬上祭坛，站在崖边的[江流儿]吓得瞪圆了眼睛。
1:11:1|1:11:9|怪物没有耳目和鼻子，浑身褶皱六条腿，这便是上古凶兽[混沌]的真身。
1:11:9|1:11:21|[混沌]紧贴崖壁，向[江流儿]等人爬去，他张开巨口，仰天长啸，扑向装着童男童女的木笼。[江流儿]赶忙躲开，空荡荡的木笼
1:11:21|1:11:31|滚下了深谷。灰尘散去，小女孩抓着[江流儿]的衣襟挂在他身上，[法明]和孩子们就在旁边，他们站在崖壁的凸起处，
1:11:31|1:11:38|身下便是万丈悬崖。[混沌]爬起来，凑近[江流儿]，却被一块落石砸中头部。
1:11:38|1:11:45|[孙悟空]跳跃着踩断崖壁上刺出来的坚石，石头砸在了[混沌]身上，它从崖壁上滑到谷底。
1:11:45|1:11:53|[混沌]口中射出了一条光柱，[孙悟空]被光柱击中，像失魂落魄般从空中掉落。
1:11:53|1:11:59|[混沌]抬起巨爪把[孙悟空]打进崖壁里，[江流儿]和[法明]带着孩子暂时躲在栈道上。
1:11:59|1:12:7|[混沌]举起一块坚石，塞住[孙悟空]所在的洞口，[江流儿]抱着小女孩跑到了栈道边又焦急地折返。
1:12:18|1:12:21|[江流儿]笑着答应，转身跑向[混沌]。
1:12:23|1:12:34|他顺着岩石缝隙爬到洞口附近，[混沌]仍在原地，用爪子按着坚石往洞里推，[江流儿]爬上洞口，[孙悟空]正被坚石压在石壁上。
1:13:0|1:13:14|[江流儿]从石堆里拔出了一根木棍，木棍飞出去，卡在[混沌]的两颗尖牙中间，[江流儿]呆住了，站在原地吸了吸鼻涕。
1:13:14|1:13:22|[混沌]抬起巨爪，[江流儿]躲过[混沌]的重击，却被强大的气流冲到了桥下。
1:13:22|1:13:39|他站起来，对咆哮的[混沌]喊到，[江流儿]喊完转身就跑，成功激怒了[混沌]，[混沌]两只前爪猛拍向他，却只砸中他身后的岩石。
1:13:39|1:13:48|[混沌]张口怒吼，六肢扑腾着去追[江流儿]。石洞里，[孙悟空]卯足了劲推开了坚石，
1:13:48|1:13:54|坚石被他的蛮力炸开，右手的法印迸发光芒。
1:13:54|1:14:5|[江流儿]跳下断石层站稳，面前是一条狭窄的石桥，[混沌]撞破他身后的石壁，[江流儿]赶忙跑上石桥。
1:14:5|1:14:14|它一掌拍断半个桥梁，幸好[江流儿]已经跑到对面，[混沌]张嘴朝[江流儿]猛扑过去。
1:14:25|1:14:31|[孙悟空]穿破云层，跳到[混沌]的背上。
1:14:34|1:14:42|[江流儿]害怕地捂住头，又露出了一只眼偷看[混沌]。[孙悟空]从[混沌]头上跳下，[江流儿]双手高举迎着他。
